	Kazachstania_africana	Saccharomyces_cerevisiae
OG0000066	augustus_masked-scaffold_2-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.5&CDS=1-1086, genemark-scaffold_1-processed-gene-16.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.76&CDS=1-1080, genemark-scaffold_3-processed-gene-3.94-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.94&CDS=1-1077	YMR318C
OG0000067	genemark-scaffold_10-processed-gene-3.86-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.86&CDS=1-1383, snap_masked-scaffold_10-processed-gene-1.134-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.134&CDS=1-2358	YIL131C, YNL068C
OG0000068	augustus_masked-scaffold_10-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.72&CDS=1-2301, genemark-scaffold_8-processed-gene-6.178-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.178&CDS=1-1578	YIL085C, YNL029C
OG0000069	augustus_masked-scaffold_8-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.120&CDS=1-1533, genemark-scaffold_10-processed-gene-2.154-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.154&CDS=1-2340	YIL095W, YNL020C
OG0000070	genemark-scaffold_10-processed-gene-3.107-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.107&CDS=1-573, genemark-scaffold_2-processed-gene-9.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.87&CDS=1-573	YGL147C, YNL067W
OG0000071	genemark-scaffold_10-processed-gene-3.108-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.108&CDS=1-3984, genemark-scaffold_2-processed-gene-7.57-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.57&CDS=1-6639	YIL126W, YOR290C
OG0000072	snap_masked-scaffold_10-processed-gene-4.204-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-4.204&CDS=1-1407, snap_masked-scaffold_6-processed-gene-1.65-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.65&CDS=1-1749	YMR198W, YPL253C
OG0000073	genemark-scaffold_10-processed-gene-4.31-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-4.31&CDS=1-1161	YCR102C, YLR460C, YNL134C
OG0000074	genemark-scaffold_11-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.105&CDS=1-1140, genemark-scaffold_3-processed-gene-4.123-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.123&CDS=1-1269	YGL071W, YPL202C
OG0000075	genemark-scaffold_11-processed-gene-1.46-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.46&CDS=1-1131, genemark-scaffold_3-processed-gene-4.119-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.119&CDS=1-1212	YGL082W, YPL191C
OG0000076	snap_masked-scaffold_11-processed-gene-1.112-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.112&CDS=1-1650, snap_masked-scaffold_4-processed-gene-2.116-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.116&CDS=1-1347	YAL028W, YOR324C
OG0000077	genemark-scaffold_11-processed-gene-1.78-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.78&CDS=1-4143, genemark-scaffold_4-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.67&CDS=1-3165	YAL017W, YOL045W
OG0000078	genemark-scaffold_11-processed-gene-2.112-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.112&CDS=1-4140, genemark-scaffold_7-processed-gene-6.67-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.67&CDS=1-4116	YIL013C, YOR011W
OG0000079	genemark-scaffold_11-processed-gene-3.111-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.111&CDS=1-714, genemark-scaffold_3-processed-gene-1.111-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.111&CDS=1-714, genemark-scaffold_9-processed-gene-5.54-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.54&CDS=1-723	YDR533C
OG0000080	genemark-scaffold_11-processed-gene-3.128-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.128&CDS=1-2142, genemark-scaffold_12-processed-gene-3.57-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.57&CDS=1-2103	YBL067C, YER098W
OG0000081	genemark-scaffold_11-processed-gene-3.152-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.152&CDS=1-1287, genemark-scaffold_12-processed-gene-3.85-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.85&CDS=1-1272	YBL069W, YER101C
OG0000082	genemark-scaffold_11-processed-gene-3.129-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.129&CDS=1-600, genemark-scaffold_12-processed-gene-3.59-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.59&CDS=1-600	YBL072C, YER102W
OG0000083	genemark-scaffold_11-processed-gene-3.131-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.131&CDS=1-1944, genemark-scaffold_9-processed-gene-3.99-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.99&CDS=1-1914	YBL075C, YLL024C
OG0000084	genemark-scaffold_11-processed-gene-4.180-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-4.180&CDS=1-2826, genemark-scaffold_12-processed-gene-3.91-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.91&CDS=1-2790	YBL085W, YER114C
OG0000085	genemark-scaffold_12-processed-gene-0.52-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.52&CDS=1-768, genemark-scaffold_9-processed-gene-3.110-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.110&CDS=1-768	YHL033C, YLL045C
OG0000086	genemark-scaffold_12-processed-gene-1.36-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.36&CDS=1-2646, genemark-scaffold_5-processed-gene-2.63-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.63&CDS=1-2409	YER047C, YPL074W
OG0000087	genemark-scaffold_12-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.24&CDS=1-2655, maker-scaffold_2-snap-gene-2.93-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.93&CDS=1-5043	YER070W, YIL066C
OG0000088	genemark-scaffold_12-processed-gene-2.2-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.2&CDS=1-1959, genemark-scaffold_3-processed-gene-9.45-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.45&CDS=1-1539	YER073W, YOR374W
OG0000089	genemark-scaffold_12-processed-gene-2.43-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.43&CDS=1-1218, genemark-scaffold_2-processed-gene-1.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.94&CDS=1-1374	YDL155W, YLR210W
OG0000090	genemark-scaffold_12-processed-gene-2.46-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.46&CDS=1-1650, genemark-scaffold_2-processed-gene-1.91-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.91&CDS=1-1242	YDL161W, YLR206W
OG0000091	genemark-scaffold_2-processed-gene-0.35-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.35&CDS=1-2091, genemark-scaffold_3-processed-gene-4.112-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.112&CDS=1-2142, genemark-scaffold_7-processed-gene-7.25-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.25&CDS=1-2142	YPR159W
OG0000092	genemark-scaffold_2-processed-gene-0.49-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.49&CDS=1-1755, genemark-scaffold_6-processed-gene-7.243-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.243&CDS=1-1740	YLL061W, YPL274W
OG0000093	genemark-scaffold_2-processed-gene-4.105-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.105&CDS=1-909, genemark-scaffold_3-processed-gene-6.11-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.11&CDS=1-1098	YPR013C, YPR015C
OG0000094	augustus_masked-scaffold_2-processed-gene-8.111-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.111&CDS=1-3831, genemark-scaffold_3-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.21&CDS=1-2838	YBR084W, YGR204W
OG0000095	genemark-scaffold_2-processed-gene-8.72-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.72&CDS=1-822, genemark-scaffold_5-processed-gene-4.16-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.16&CDS=1-756	YGR214W, YLR048W
OG0000096	genemark-scaffold_2-processed-gene-9.73-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.73&CDS=1-1308, genemark-scaffold_5-processed-gene-4.31-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.31&CDS=1-1308	YGR254W, YHR174W
OG0000097	genemark-scaffold_2-processed-gene-10.131-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.131&CDS=1-1092, genemark-scaffold_9-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.43&CDS=1-1092, snap_masked-scaffold_7-processed-gene-7.157-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.157&CDS=1-1092	YMR152W
OG0000098	snap_masked-scaffold_2-processed-gene-10.16-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.16&CDS=1-1587, snap_masked-scaffold_6-processed-gene-5.22-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.22&CDS=1-1737	YDL085W, YMR145C
OG0000099	augustus_masked-scaffold_6-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.56&CDS=1-1056, genemark-scaffold_2-processed-gene-10.139-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.139&CDS=1-1479, genemark-scaffold_2-processed-gene-12.78-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.78&CDS=1-1719	YMR136W
OG0000100	genemark-scaffold_2-processed-gene-10.121-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.121&CDS=1-915, genemark-scaffold_3-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.20&CDS=1-921	YBR085W, YMR056C
OG0000101	genemark-scaffold_2-processed-gene-10.123-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.123&CDS=1-2391, genemark-scaffold_3-processed-gene-8.70-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.70&CDS=1-2259	YKL072W, YMR053C
OG0000102	genemark-scaffold_2-processed-gene-10.125-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.125&CDS=1-3048, snap_masked-scaffold_3-processed-gene-8.25-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.25&CDS=1-2988	YKL068W, YMR047C
OG0000103	genemark-scaffold_2-processed-gene-11.121-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.121&CDS=1-4551, genemark-scaffold_9-processed-gene-2.32-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.32&CDS=1-4608	YDR135C, YLL015W
OG0000104	augustus_masked-scaffold_8-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.99&CDS=1-471, genemark-scaffold_2-processed-gene-12.63-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.63&CDS=1-555	YDR178W, YLR164W
OG0000105	genemark-scaffold_2-processed-gene-13.144-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.144&CDS=1-2526, genemark-scaffold_5-processed-gene-7.77-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.77&CDS=1-2526	YDR385W, YOR133W
OG0000106	genemark-scaffold_7-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.34&CDS=1-1776, snap_masked-scaffold_2-processed-gene-13.38-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.38&CDS=1-3021	YGL084C, YPL189W
OG0000107	genemark-scaffold_2-processed-gene-13.127-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.127&CDS=1-465, genemark-scaffold_3-processed-gene-4.135-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.135&CDS=1-489	YGL089C, YPL187W
OG0000108	genemark-scaffold_2-processed-gene-13.171-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.171&CDS=1-783, genemark-scaffold_5-processed-gene-8.166-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.166&CDS=1-783	YHR203C, YJR145C
OG0000109	genemark-scaffold_2-processed-gene-13.140-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.140&CDS=1-1200, genemark-scaffold_5-processed-gene-8.144-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.144&CDS=1-1125, genemark-scaffold_8-processed-gene-6.169-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.169&CDS=1-1125	YJR148W
OG0000110	genemark-scaffold_3-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.0&CDS=1-1419, genemark-scaffold_4-processed-gene-3.75-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.75&CDS=1-1542, genemark-scaffold_6-processed-gene-5.122-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.122&CDS=1-1545	YOR306C
OG0000111	augustus_masked-scaffold_3-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.46&CDS=1-2121	YKL220C, YNR060W, YOR381W
OG0000112	genemark-scaffold_3-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.4&CDS=1-573, genemark-scaffold_8-processed-gene-2.66-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.66&CDS=1-573	YBL027W, YBR084C-A
OG0000113	genemark-scaffold_3-processed-gene-1.141-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.141&CDS=1-480, genemark-scaffold_6-processed-gene-5.89-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.89&CDS=1-549	YBR005W, YDR003W
OG0000114	genemark-scaffold_3-processed-gene-1.127-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.127&CDS=1-396, genemark-scaffold_6-processed-gene-4.119-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.119&CDS=1-396	YBL003C, YDR225W
OG0000115	genemark-scaffold_3-processed-gene-1.131-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.131&CDS=1-864, genemark-scaffold_6-processed-gene-4.139-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.139&CDS=1-936	YBR024W, YBR037C
OG0000116	genemark-scaffold_3-processed-gene-2.0-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.0&CDS=1-3360, genemark-scaffold_6-processed-gene-4.132-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.132&CDS=1-3798	YAR042W, YDL019C
OG0000117	genemark-scaffold_3-processed-gene-2.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.1&CDS=1-1674	YOL055C, YPL258C, YPR121W
OG0000118	genemark-scaffold_3-processed-gene-2.21-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.21&CDS=1-1221, genemark-scaffold_6-processed-gene-4.107-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.107&CDS=1-1170	YDL022W, YOL059W
OG0000119	genemark-scaffold_6-processed-gene-4.129-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.129&CDS=1-1755, snap_masked-scaffold_3-processed-gene-2.88-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.88&CDS=1-1380	YDL036C, YOL066C
OG0000120	genemark-scaffold_3-processed-gene-2.31-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.31&CDS=1-9207, snap_masked-scaffold_7-processed-gene-3.120-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.120&CDS=1-9207	YBR140C, YOL081W
OG0000121	snap_masked-scaffold_3-processed-gene-10.42-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.42&CDS=1-834, snap_masked-scaffold_3-processed-gene-3.23-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.23&CDS=1-882, snap_masked-scaffold_4-processed-gene-1.35-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.35&CDS=1-357	YEL028W
OG0000122	genemark-scaffold_3-processed-gene-7.109-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.109&CDS=1-1824, snap_masked-scaffold_4-processed-gene-1.40-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.40&CDS=1-1419	YFL042C, YLR072W
OG0000123	genemark-scaffold_3-processed-gene-8.58-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.58&CDS=1-1230, genemark-scaffold_8-processed-gene-2.77-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.77&CDS=1-1248	YKL081W, YPL048W
OG0000124	genemark-scaffold_3-processed-gene-10.73-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.73&CDS=1-495, genemark-scaffold_5-processed-gene-6.94-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.94&CDS=1-495	YDR418W, YEL054C
OG0000125	genemark-scaffold_9-processed-gene-2.27-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.27&CDS=1-438, snap_masked-scaffold_3-processed-gene-11.9-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.9&CDS=1-438	YDR450W, YML026C
OG0000126	genemark-scaffold_3-processed-gene-11.136-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.136&CDS=1-588, genemark-scaffold_9-processed-gene-2.11-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.11&CDS=1-594	YDR453C, YML028W
OG0000127	genemark-scaffold_4-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.112&CDS=1-1095, genemark-scaffold_6-processed-gene-7.245-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.245&CDS=1-1029, genemark-scaffold_9-processed-gene-0.60-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.60&CDS=1-1032	YCL064C
OG0000128	genemark-scaffold_4-processed-gene-1.46-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.46&CDS=1-1563, genemark-scaffold_4-processed-gene-8.1-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.1&CDS=1-1833	YDR501W, YLR183C
OG0000129	genemark-scaffold_4-processed-gene-1.44-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.44&CDS=1-2451, genemark-scaffold_4-processed-gene-8.2-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.2&CDS=1-5184	YLR187W, YNL279W
OG0000130	genemark-scaffold_4-processed-gene-1.60-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.60&CDS=1-1722, genemark-scaffold_4-processed-gene-7.45-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.45&CDS=1-1791	YEL063C, YNL268W
OG0000131	genemark-scaffold_4-processed-gene-1.51-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.51&CDS=1-618	YCL067C, YCR039C, YCR096C
OG0000132	augustus_masked-scaffold_8-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.41&CDS=1-1968, genemark-scaffold_4-processed-gene-4.54-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.54&CDS=1-2538	YIL156W, YKR098C
OG0000133	augustus_masked-scaffold_4-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.29&CDS=1-5022, snap_masked-scaffold_8-processed-gene-0.102-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.102&CDS=1-4362	YIL149C, YKR095W
OG0000134	genemark-scaffold_4-processed-gene-4.59-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.59&CDS=1-2118, genemark-scaffold_8-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.7&CDS=1-2865	YKR089C, YOR081C
OG0000135	genemark-scaffold_8-processed-gene-1.37-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.37&CDS=1-1374, snap_masked-scaffold_4-processed-gene-5.34-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.34&CDS=1-1374	YBR118W, YPR080W
OG0000136	genemark-scaffold_5-processed-gene-0.50-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.50&CDS=1-2952, snap_masked-scaffold_4-processed-gene-7.100-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.100&CDS=1-2550	YJR061W, YKL201C
OG0000137	genemark-scaffold_4-processed-gene-8.19-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.19&CDS=1-4035, genemark-scaffold_4-processed-gene-9.127-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.127&CDS=1-3384	YDR326C, YHR080C
OG0000138	genemark-scaffold_4-processed-gene-9.132-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.132&CDS=1-816, genemark-scaffold_5-processed-gene-8.125-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.125&CDS=1-1296	YDR348C, YHR097C
OG0000139	genemark-scaffold_5-processed-gene-1.48-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.48&CDS=1-708, snap_masked-scaffold_9-processed-gene-1.153-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-1.153&CDS=1-708	YBR181C, YPL090C
OG0000140	maker-scaffold_5-snap-gene-1.3-mRNA-1_1&gene=maker-scaffold_5-snap-gene-1.3&CDS=1-966, maker-scaffold_9-snap-gene-1.1-mRNA-1_1&gene=maker-scaffold_9-snap-gene-1.1&CDS=1-921	YBR189W, YPL081W
OG0000141	augustus_masked-scaffold_5-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.21&CDS=1-687, snap_masked-scaffold_5-processed-gene-2.3-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.3&CDS=1-948	YBR197C, YPL077C
OG0000142	genemark-scaffold_5-processed-gene-4.33-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.33&CDS=1-1200, genemark-scaffold_6-processed-gene-7.200-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.200&CDS=1-1200	YHR179W, YPL171C
OG0000143	augustus_masked-scaffold_5-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.46&CDS=1-3570, snap_masked-scaffold_6-processed-gene-7.9-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.9&CDS=1-2847	YDR420W, YGR014W
OG0000144	genemark-scaffold_5-processed-gene-8.135-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.135&CDS=1-3168, snap_masked-scaffold_9-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.30&CDS=1-3345	YLR450W, YML075C
OG0000145	genemark-scaffold_6-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.7&CDS=1-900, maker-scaffold_6-augustus-gene-4.1-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-4.1&CDS=1-1842	YDL015C, YDL236W
OG0000146	augustus_masked-scaffold_6-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.106&CDS=1-1476, genemark-scaffold_7-processed-gene-1.119-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.119&CDS=1-1182	YJL139C, YKR061W
OG0000147	genemark-scaffold_6-processed-gene-6.110-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.110&CDS=1-7956, genemark-scaffold_9-processed-gene-2.33-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.33&CDS=1-2349	YLR304C, YLR305C
OG0000148	genemark-scaffold_6-processed-gene-7.203-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.203&CDS=1-465, genemark-scaffold_9-processed-gene-1.107-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.107&CDS=1-465	YGL031C, YGR148C
OG0000149	genemark-scaffold_7-processed-gene-4.106-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.106&CDS=1-3300, genemark-scaffold_8-processed-gene-5.10-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.10&CDS=1-3297	YOR227W, YPL137C
OG0000150	genemark-scaffold_7-processed-gene-4.138-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.138&CDS=1-1818, genemark-scaffold_8-processed-gene-5.24-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.24&CDS=1-1833	YOR204W, YPL119C
OG0000151	augustus_masked-scaffold_7-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.117&CDS=1-2514, augustus_masked-scaffold_7-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.118&CDS=1-2565	YOR162C, YOR172W
OG0000152	augustus_masked-scaffold_7-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.147&CDS=1-1263, genemark-scaffold_9-processed-gene-4.17-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.17&CDS=1-1224	YDL066W, YLR174W
