	Saccharomyces_cerevisiae	yHMPu5000034990_Candida_corydali
OG0000077	YJR004C	augustus_masked-flattened_line_13-processed-gene-3.236-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.236&CDS=1-1944, snap_masked-flattened_line_13-processed-gene-2.79-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.79&CDS=1-2397, snap_masked-flattened_line_33-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.46&CDS=1-3213
OG0000078	YJR019C	augustus_masked-flattened_line_17-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-2.39&CDS=1-882, snap_masked-flattened_line_17-processed-gene-2.84-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.84&CDS=1-1056, snap_masked-flattened_line_51-processed-gene-0.155-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.155&CDS=1-918
OG0000079	YKR014C, YNL093W, YOR089C	maker-flattened_line_19-snap-gene-1.4-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-1.4&CDS=1-2955
OG0000080	YML111W, YMR275C, YNR069C	snap_masked-flattened_line_1-processed-gene-5.93-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.93&CDS=1-2169
OG0000081	YML116W, YMR279C, YOR378W	snap_masked-flattened_line_11-processed-gene-2.46-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.46&CDS=1-1521
OG0000082	YMR110C	genemark-flattened_line_9-processed-gene-3.119-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.119&CDS=1-1860, snap_masked-flattened_line_0-processed-gene-4.50-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.50&CDS=1-1644, snap_masked-flattened_line_0-processed-gene-6.111-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.111&CDS=1-1644
OG0000083	YMR233W, YOR295W	snap_masked-flattened_line_19-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.10&CDS=1-354, snap_masked-flattened_line_19-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.9&CDS=1-330
OG0000084	YOL055C, YPL258C, YPR121W	maker-flattened_line_7-augustus-gene-0.40-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-0.40&CDS=1-5889
OG0000085	YOR049C	snap_masked-flattened_line_0-processed-gene-3.72-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.72&CDS=1-1566, snap_masked-flattened_line_0-processed-gene-7.166-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.166&CDS=1-1566, snap_masked-flattened_line_1-processed-gene-4.30-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.30&CDS=1-960
OG0000086	YOR388C, YPL275W, YPL276W	augustus_masked-flattened_line_3-processed-gene-7.156-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-7.156&CDS=1-2109
OG0000087	YPL088W	snap_masked-flattened_line_0-processed-gene-1.48-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.48&CDS=1-1023, snap_masked-flattened_line_0-processed-gene-9.30-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.30&CDS=1-1023, snap_masked-flattened_line_29-processed-gene-1.131-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.131&CDS=1-1026
OG0000088	Q0045, Q0065, Q0070	maker-flattened_line_65-snap-gene-0.17-mRNA-1_1&gene=maker-flattened_line_65-snap-gene-0.17&CDS=1-564
OG0000089	YAL005C	snap_masked-flattened_line_0-processed-gene-2.3-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.3&CDS=1-1932, snap_masked-flattened_line_0-processed-gene-9.17-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.17&CDS=1-1932
OG0000090	YAL015C, YOL043C	snap_masked-flattened_line_21-processed-gene-2.171-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.171&CDS=1-1017
OG0000091	YAL017W, YOL045W	snap_masked-flattened_line_13-processed-gene-3.18-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.18&CDS=1-3438
OG0000092	YAL024C	snap_masked-flattened_line_0-processed-gene-3.88-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.88&CDS=1-4086, snap_masked-flattened_line_0-processed-gene-8.12-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.12&CDS=1-4086
OG0000093	YAL025C	snap_masked-flattened_line_0-processed-gene-3.71-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.71&CDS=1-912, snap_masked-flattened_line_0-processed-gene-7.167-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.167&CDS=1-912
OG0000094	YAL030W, YOR327C	augustus_masked-flattened_line_21-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.24&CDS=1-834
OG0000095	YAL034C, YOR338W	genemark-flattened_line_41-processed-gene-1.64-mRNA-1_1&gene=genemark-flattened_line_41-processed-gene-1.64&CDS=1-1014
OG0000096	YAL040C	snap_masked-flattened_line_15-processed-gene-2.100-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.100&CDS=1-1368, snap_masked-flattened_line_15-processed-gene-3.79-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.79&CDS=1-1665
OG0000097	YAL051W, YLL054C, YOR363C	
OG0000098	YAL056W, YOR371C	snap_masked-flattened_line_1-processed-gene-4.22-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.22&CDS=1-3081
OG0000099	YAL060W, YAL061W	genemark-flattened_line_3-processed-gene-6.123-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-6.123&CDS=1-1101
OG0000100	YAL062W, YOR375C	augustus_masked-flattened_line_53-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.195&CDS=1-11289
OG0000101	YBL003C, YDR225W	genemark-flattened_line_11-processed-gene-1.31-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.31&CDS=1-393
OG0000102	YBL027W, YBR084C-A	snap_masked-flattened_line_9-processed-gene-5.113-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.113&CDS=1-585
OG0000103	YBL054W, YER088C	snap_masked-flattened_line_33-processed-gene-1.236-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.236&CDS=1-570
OG0000104	YBL068W, YER099C	snap_masked-flattened_line_27-processed-gene-1.204-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.204&CDS=1-963
OG0000105	YBL072C, YER102W	snap_masked-flattened_line_17-processed-gene-3.10-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.10&CDS=1-603
OG0000106	YBL085W, YER114C	augustus_masked-flattened_line_3-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.85&CDS=1-3708
OG0000107	YBL087C, YER117W	maker-flattened_line_1-snap-gene-2.37-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-2.37&CDS=1-411
OG0000108	YBL091C	snap_masked-flattened_line_0-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.70&CDS=1-1230, snap_masked-flattened_line_0-processed-gene-10.119-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.119&CDS=1-1230
OG0000109	YBL099W	maker-flattened_line_0-snap-gene-4.167-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-4.167&CDS=1-1638, maker-flattened_line_0-snap-gene-7.2-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-7.2&CDS=1-1638
OG0000110	YBL101C, YPR030W	snap_masked-flattened_line_5-processed-gene-5.86-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.86&CDS=1-2862
OG0000111	YBL106C, YPR032W	snap_masked-flattened_line_37-processed-gene-1.87-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.87&CDS=1-3189
OG0000112	YBR001C, YDR001C	snap_masked-flattened_line_3-processed-gene-3.57-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.57&CDS=1-2634
OG0000113	YBR004C	maker-flattened_line_0-snap-gene-2.145-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-2.145&CDS=1-2325, maker-flattened_line_0-snap-gene-9.118-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-9.118&CDS=1-2325
OG0000114	YBR005W, YDR003W	genemark-flattened_line_39-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.88&CDS=1-1002
OG0000115	YBR016W, YDL012C	snap_masked-flattened_line_15-processed-gene-3.81-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.81&CDS=1-342
OG0000116	YBR020W, YDR009W	snap_masked-flattened_line_25-processed-gene-1.174-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.174&CDS=1-1512
OG0000117	YBR031W, YDR012W	augustus_masked-flattened_line_5-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-2.25&CDS=1-1689
OG0000118	YBR033W, YKL038W	augustus_masked-flattened_line_23-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.45&CDS=1-2319
OG0000119	YBR041W	snap_masked-flattened_line_0-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.84&CDS=1-1950, snap_masked-flattened_line_0-processed-gene-10.105-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.105&CDS=1-1950
OG0000120	YBR042C, YDR018C	snap_masked-flattened_line_23-processed-gene-2.110-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.110&CDS=1-1878
OG0000121	YBR043C	snap_masked-flattened_line_0-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.58&CDS=1-1887, snap_masked-flattened_line_0-processed-gene-10.138-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.138&CDS=1-1887
OG0000122	YBR048W, YDR025W	snap_masked-flattened_line_35-processed-gene-1.65-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-1.65&CDS=1-465
OG0000123	YBR066C, YDR043C	snap_masked-flattened_line_9-processed-gene-2.19-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.19&CDS=1-951
OG0000124	YBR078W, YDR055W	snap_masked-flattened_line_1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-0.70&CDS=1-1278
OG0000125	YBR082C, YDR059C	maker-flattened_line_33-augustus-gene-0.42-mRNA-1_1&gene=maker-flattened_line_33-augustus-gene-0.42&CDS=1-1431
OG0000126	YBR089C-A, YPR052C	snap_masked-flattened_line_1-processed-gene-5.97-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.97&CDS=1-276
OG0000127	YBR097W	snap_masked-flattened_line_0-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.60&CDS=1-2097, snap_masked-flattened_line_0-processed-gene-10.136-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.136&CDS=1-2097
OG0000128	YBR102C	snap_masked-flattened_line_0-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.81&CDS=1-1683, snap_masked-flattened_line_0-processed-gene-10.108-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.108&CDS=1-1683
OG0000129	YBR103W	snap_masked-flattened_line_0-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.59&CDS=1-1281, snap_masked-flattened_line_0-processed-gene-10.137-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.137&CDS=1-1281
OG0000130	YBR104W, YPR058W	snap_masked-flattened_line_7-processed-gene-2.109-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.109&CDS=1-894
OG0000131	YBR105C, YGR066C	snap_masked-flattened_line_13-processed-gene-3.14-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.14&CDS=1-1287
OG0000132	YBR118W, YPR080W	snap_masked-flattened_line_31-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.81&CDS=1-1374
OG0000133	YBR139W	snap_masked-flattened_line_0-processed-gene-5.73-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.73&CDS=1-1635, snap_masked-flattened_line_0-processed-gene-6.98-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.98&CDS=1-1635
OG0000134	YBR140C, YOL081W	snap_masked-flattened_line_5-processed-gene-1.83-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.83&CDS=1-7821
OG0000135	YBR147W, YOL092W	snap_masked-flattened_line_13-processed-gene-2.53-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.53&CDS=1-948
OG0000136	YBR161W, YPL057C	genemark-flattened_line_13-processed-gene-3.134-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.134&CDS=1-1233
OG0000137	YBR172C, YPL105C	snap_masked-flattened_line_1-processed-gene-7.95-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.95&CDS=1-2286
OG0000138	YBR176W	snap_masked-flattened_line_0-processed-gene-4.44-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.44&CDS=1-927, snap_masked-flattened_line_0-processed-gene-6.117-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.117&CDS=1-927
OG0000139	YBR181C, YPL090C	snap_masked-flattened_line_23-processed-gene-1.118-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.118&CDS=1-708
OG0000140	YBR183W, YPL087W	augustus_masked-flattened_line_27-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.38&CDS=1-2391
OG0000141	YBR189W, YPL081W	maker-flattened_line_7-snap-gene-0.122-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-0.122&CDS=1-930
OG0000142	YBR199W	snap_masked-flattened_line_0-processed-gene-1.42-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.42&CDS=1-1368, snap_masked-flattened_line_0-processed-gene-9.36-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.36&CDS=1-1368
OG0000143	YBR214W, YGL056C	snap_masked-flattened_line_31-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.80&CDS=1-1812
OG0000144	YBR216C, YGL060W	snap_masked-flattened_line_5-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.73&CDS=1-1860
OG0000145	YBR230C	snap_masked-flattened_line_0-processed-gene-2.33-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.33&CDS=1-597, snap_masked-flattened_line_0-processed-gene-9.11-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.11&CDS=1-597
OG0000146	YBR238C, YGL107C	snap_masked-flattened_line_13-processed-gene-3.65-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.65&CDS=1-1845
OG0000147	YBR241C, YGL104C	augustus_masked-flattened_line_3-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.32&CDS=1-1830
OG0000148	YBR242W, YGL101W	snap_masked-flattened_line_3-processed-gene-3.87-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.87&CDS=1-753
OG0000149	YBR253W	snap_masked-flattened_line_0-processed-gene-2.18-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.18&CDS=1-360, snap_masked-flattened_line_0-processed-gene-8.45-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.45&CDS=1-360
OG0000150	YBR254C	snap_masked-flattened_line_0-processed-gene-2.19-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.19&CDS=1-522, snap_masked-flattened_line_0-processed-gene-8.44-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.44&CDS=1-522
OG0000151	YBR255W	snap_masked-flattened_line_0-processed-gene-2.17-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.17&CDS=1-1905, snap_masked-flattened_line_0-processed-gene-8.46-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.46&CDS=1-1905
OG0000152	YBR278W	genemark-flattened_line_0-processed-gene-1.68-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.68&CDS=1-567, genemark-flattened_line_0-processed-gene-10.55-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.55&CDS=1-567
OG0000153	YBR281C	snap_masked-flattened_line_0-processed-gene-5.70-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.70&CDS=1-2748, snap_masked-flattened_line_0-processed-gene-5.76-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.76&CDS=1-2748
OG0000154	YBR282W	snap_masked-flattened_line_0-processed-gene-1.1-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.1&CDS=1-498, snap_masked-flattened_line_0-processed-gene-10.127-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.127&CDS=1-498
OG0000155	YBR294W, YLR092W	snap_masked-flattened_line_23-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.107&CDS=1-2499
OG0000156	YCL011C, YNL004W	augustus_masked-flattened_line_9-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.80&CDS=1-1545
OG0000157	YCL025C, YDR508C	genemark-flattened_line_37-processed-gene-1.52-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-1.52&CDS=1-1752
OG0000158	YCL035C, YDR513W	snap_masked-flattened_line_27-processed-gene-1.261-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.261&CDS=1-342
OG0000159	YCL036W, YDR514C	maker-flattened_line_9-snap-gene-2.140-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-2.140&CDS=1-2436
OG0000160	YCL040W, YDR516C	snap_masked-flattened_line_3-processed-gene-7.45-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-7.45&CDS=1-1443
OG0000161	YCL048W, YDR522C	augustus_masked-flattened_line_21-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.84&CDS=1-1290
OG0000162	YCL054W	snap_masked-flattened_line_0-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.79&CDS=1-2328, snap_masked-flattened_line_0-processed-gene-10.110-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.110&CDS=1-2328
OG0000163	YCL064C, YIL167W	snap_masked-flattened_line_17-processed-gene-1.147-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.147&CDS=1-1044
OG0000164	YCL066W, YCR040W	snap_masked-flattened_line_15-processed-gene-3.76-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.76&CDS=1-570
OG0000165	YCL068C, YCR038C	snap_masked-flattened_line_3-processed-gene-2.77-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.77&CDS=1-3936
OG0000166	YCR010C, YNR002C	snap_masked-flattened_line_11-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.35&CDS=1-786
OG0000167	YCR012W	snap_masked-flattened_line_0-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.90&CDS=1-1254, snap_masked-flattened_line_0-processed-gene-10.99-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.99&CDS=1-1254
OG0000168	YCR013C	snap_masked-flattened_line_0-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.66&CDS=1-2385, snap_masked-flattened_line_0-processed-gene-10.130-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.130&CDS=1-2385
OG0000169	YCR019W	genemark-flattened_line_0-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.146&CDS=1-1014, genemark-flattened_line_0-processed-gene-10.23-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.23&CDS=1-1014
OG0000170	YCR023C	snap_masked-flattened_line_0-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.93&CDS=1-1680, snap_masked-flattened_line_0-processed-gene-10.96-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.96&CDS=1-1680
OG0000171	YCR026C, YEL016C	snap_masked-flattened_line_1-processed-gene-7.111-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.111&CDS=1-2034
OG0000172	YCR031C, YJL191W	snap_masked-flattened_line_5-processed-gene-6.142-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-6.142&CDS=1-396
OG0000173	YCR048W, YNR019W	augustus_masked-flattened_line_61-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_61-processed-gene-0.13&CDS=1-2181
OG0000174	YCR067C, YNR026C	snap_masked-flattened_line_23-processed-gene-2.92-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.92&CDS=1-2739
OG0000175	YCR073C, YNR031C	snap_masked-flattened_line_1-processed-gene-6.83-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.83&CDS=1-4416
OG0000176	YCR073W-A, YNR034W	snap_masked-flattened_line_41-processed-gene-1.108-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.108&CDS=1-1125
OG0000177	YCR094W, YNR048W	snap_masked-flattened_line_1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-0.49&CDS=1-1287
OG0000178	YCR105W, YMR318C	snap_masked-flattened_line_37-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.72&CDS=1-1107
OG0000179	YDL042C, YOL068C	snap_masked-flattened_line_21-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.115&CDS=1-1647
OG0000180	YDL048C, YLR375W	snap_masked-flattened_line_7-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.24&CDS=1-1101
OG0000181	YDL049C, YJL174W	snap_masked-flattened_line_69-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_69-processed-gene-0.42&CDS=1-807
OG0000182	YDL061C, YLR388W	snap_masked-flattened_line_19-processed-gene-1.90-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.90&CDS=1-183
OG0000183	YDL075W, YLR406C	augustus_masked-flattened_line_7-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-1.95&CDS=1-336
