	Candida_infanticola	Saccharomyces_cerevisiae
OG0000066	augustus_masked-LWLF01000001.1-processed-gene-14.55-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-14.55&CDS=1-441, augustus_masked-LWLF01000021.1-processed-gene-8.69-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.69&CDS=1-993	YNL097C, YOR064C
OG0000067	augustus_masked-LWLF01000001.1-processed-gene-15.150-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-15.150&CDS=1-1767, augustus_masked-LWLF01000022.1-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.129&CDS=1-2244	YHR031C, YML061C
OG0000068	augustus_masked-LWLF01000001.1-processed-gene-16.94-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-16.94&CDS=1-2088, augustus_masked-LWLF01000015.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LWLF01000015.1-processed-gene-0.16&CDS=1-2088, snap_masked-LWLF01000015.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LWLF01000015.1-processed-gene-0.38&CDS=1-519	YDL234C
OG0000069	maker-LWLF01000001.1-augustus-gene-16.118-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-16.118&CDS=1-2697, maker-LWLF01000022.1-augustus-gene-14.66-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-14.66&CDS=1-2334, snap_masked-LWLF01000021.1-processed-gene-2.35-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-2.35&CDS=1-2439	YJR126C
OG0000070	augustus_masked-LWLF01000021.1-processed-gene-22.188-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.188&CDS=1-1344, snap_masked-LWLF01000001.1-processed-gene-16.25-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-16.25&CDS=1-852	YKL088W, YKR072C
OG0000071	augustus_masked-LWLF01000001.1-processed-gene-20.41-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-20.41&CDS=1-1038, snap_masked-LWLF01000022.1-processed-gene-10.82-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-10.82&CDS=1-1020	YDR004W, YER095W
OG0000072	augustus_masked-LWLF01000001.1-processed-gene-20.46-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-20.46&CDS=1-2148, augustus_masked-LWLF01000021.1-processed-gene-20.79-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-20.79&CDS=1-2337	YBR073W, YGL163C
OG0000073	augustus_masked-LWLF01000022.1-processed-gene-14.110-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.110&CDS=1-1671, maker-LWLF01000001.1-augustus-gene-20.111-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-20.111&CDS=1-2199	YCR045C, YEL060C
OG0000074	augustus_masked-LWLF01000001.1-processed-gene-21.157-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-21.157&CDS=1-2286, augustus_masked-LWLF01000001.1-processed-gene-24.3-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-24.3&CDS=1-2313	YDL132W, YGR003W
OG0000075	augustus_masked-LWLF01000001.1-processed-gene-22.112-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-22.112&CDS=1-2010, augustus_masked-LWLF01000001.1-processed-gene-27.120-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.120&CDS=1-2013, augustus_masked-LWLF01000021.1-processed-gene-22.225-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.225&CDS=1-2007	YAL054C
OG0000076	genemark-LWLF01000001.1-processed-gene-27.56-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-27.56&CDS=1-1836, genemark-LWLF01000001.1-processed-gene-27.93-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-27.93&CDS=1-2961	YCR011C, YOL075C
OG0000077	augustus_masked-LWLF01000022.1-processed-gene-12.114-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-12.114&CDS=1-870, genemark-LWLF01000001.1-processed-gene-27.49-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-27.49&CDS=1-762	YBR002C, YMR101C
OG0000078	augustus_masked-LWLF01000021.1-processed-gene-3.195-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-3.195&CDS=1-852, augustus_masked-LWLF01000021.1-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.70&CDS=1-666	YGR152C, YOR101W
OG0000079	augustus_masked-LWLF01000021.1-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.66&CDS=1-957, augustus_masked-LWLF01000022.1-processed-gene-19.55-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.55&CDS=1-1002	YIL153W, YPL152W
OG0000080	augustus_masked-LWLF01000021.1-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.74&CDS=1-1311, genemark-LWLF01000021.1-processed-gene-6.82-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-6.82&CDS=1-1344	YGL194C, YNL330C
OG0000081	augustus_masked-LWLF01000022.1-processed-gene-19.78-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.78&CDS=1-1686, snap_masked-LWLF01000021.1-processed-gene-8.125-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-8.125&CDS=1-1986	YDR477W, YKL101W
OG0000082	augustus_masked-LWLF01000021.1-processed-gene-10.39-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-10.39&CDS=1-1995, augustus_masked-LWLF01000022.1-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-6.90&CDS=1-1938	YAL005C, YJL034W
OG0000083	augustus_masked-LWLF01000021.1-processed-gene-11.99-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.99&CDS=1-594, maker-LWLF01000022.1-augustus-gene-6.63-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-6.63&CDS=1-603	YFL005W, YFL038C
OG0000084	augustus_masked-LWLF01000021.1-processed-gene-11.114-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.114&CDS=1-1413, augustus_masked-LWLF01000021.1-processed-gene-16.75-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-16.75&CDS=1-1416	YGL003C, YGL116W
OG0000085	augustus_masked-LWLF01000021.1-processed-gene-11.116-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.116&CDS=1-3252	YDR038C, YDR039C, YDR040C
OG0000086	augustus_masked-LWLF01000021.1-processed-gene-12.121-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.121&CDS=1-2043	YIL009W, YMR246W, YOR317W
OG0000087	augustus_masked-LWLF01000021.1-processed-gene-13.33-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.33&CDS=1-1968	YMR006C, YMR008C, YOL011W
OG0000088	genemark-LWLF01000021.1-processed-gene-21.89-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-21.89&CDS=1-444, snap_masked-LWLF01000021.1-processed-gene-13.132-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-13.132&CDS=1-2751	YML104C, YOR357C
OG0000089	augustus_masked-LWLF01000021.1-processed-gene-14.44-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.44&CDS=1-987, augustus_masked-LWLF01000021.1-processed-gene-16.105-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-16.105&CDS=1-1230	YIR013C, YLR013W
OG0000090	augustus_masked-LWLF01000021.1-processed-gene-16.93-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-16.93&CDS=1-798, augustus_masked-LWLF01000022.1-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-5.118&CDS=1-648	YFL034C-B, YIL106W
OG0000091	augustus_masked-LWLF01000022.1-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.75&CDS=1-735, genemark-LWLF01000021.1-processed-gene-16.44-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-16.44&CDS=1-663	YGL019W, YOR039W
OG0000092	augustus_masked-LWLF01000021.1-processed-gene-16.102-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-16.102&CDS=1-1182, augustus_masked-LWLF01000022.1-processed-gene-2.174-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-2.174&CDS=1-987	YHR030C, YJL106W
OG0000093	augustus_masked-LWLF01000021.1-processed-gene-17.149-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-17.149&CDS=1-1089, augustus_masked-LWLF01000022.1-processed-gene-8.132-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.132&CDS=1-1089	YBR249C, YDR035W
OG0000094	augustus_masked-LWLF01000021.1-processed-gene-17.157-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-17.157&CDS=1-567, augustus_masked-LWLF01000021.1-processed-gene-21.126-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.126&CDS=1-567	YGL147C, YNL067W
OG0000095	augustus_masked-LWLF01000021.1-processed-gene-18.79-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-18.79&CDS=1-1263	YOR388C, YPL275W, YPL276W
OG0000096	augustus_masked-LWLF01000022.1-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.124&CDS=1-1707, genemark-LWLF01000021.1-processed-gene-19.37-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-19.37&CDS=1-1617	YFR037C, YJL176C
OG0000097	augustus_masked-LWLF01000021.1-processed-gene-22.178-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.178&CDS=1-1587	YIL120W, YIL121W, YNL065W
OG0000098	augustus_masked-LWLF01000022.1-processed-gene-24.120-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-24.120&CDS=1-1029, snap_masked-LWLF01000021.1-processed-gene-22.121-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-22.121&CDS=1-1098	YJR068W, YOR144C
OG0000099	augustus_masked-LWLF01000021.1-processed-gene-22.257-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.257&CDS=1-1275, augustus_masked-LWLF01000022.1-processed-gene-23.12-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-23.12&CDS=1-1569	YHR169W, YNR038W
OG0000100	augustus_masked-LWLF01000021.1-processed-gene-22.217-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.217&CDS=1-1074	YDL246C, YJR159W, YLR070C
OG0000101	augustus_masked-LWLF01000022.1-processed-gene-15.142-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.142&CDS=1-690, genemark-LWLF01000022.1-processed-gene-0.58-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-0.58&CDS=1-1647	YPL150W, YPL209C
OG0000102	snap_masked-LWLF01000022.1-processed-gene-4.81-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-4.81&CDS=1-1011	YGR192C, YJL052W, YJR009C
OG0000103	augustus_masked-LWLF01000022.1-processed-gene-11.109-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-11.109&CDS=1-1644, augustus_masked-LWLF01000022.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-6.67&CDS=1-1641	YER065C, YPR006C
OG0000104	augustus_masked-LWLF01000022.1-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-10.18&CDS=1-1986, augustus_masked-LWLF01000022.1-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.85&CDS=1-2790	YJL095W, YLR362W
OG0000105	augustus_masked-LWLF01000022.1-processed-gene-11.64-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-11.64&CDS=1-1344, augustus_masked-LWLF01000022.1-processed-gene-11.65-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-11.65&CDS=1-1344	YOL119C, YOR306C
OG0000106	genemark-LWLF01000022.1-processed-gene-24.10-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-24.10&CDS=1-2100, maker-LWLF01000022.1-augustus-gene-18.146-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-18.146&CDS=1-2502	YCR098C, YML123C
OG0000107	augustus_masked-LWLF01000022.1-processed-gene-18.21-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.21&CDS=1-1683	YER056C, YER060W, YER060W-A
OG0000108	augustus_masked-LWLF01000022.1-processed-gene-19.88-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.88&CDS=1-846	YLL052C, YLL053C, YPR192W
OG0000109	genemark-LWLF01000022.1-processed-gene-24.58-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-24.58&CDS=1-840	YLL062C, YMR321C, YPL273W
OG0000110		YCL069W, YGR224W, YKR105C, YPR198W
OG0000111	augustus_masked-LWLF01000001.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.62&CDS=1-2664	YDR069C, YER144C
OG0000112	snap_masked-LWLF01000001.1-processed-gene-0.120-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-0.120&CDS=1-825	YOR390W, YPL279C
OG0000113	augustus_masked-LWLF01000001.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.94&CDS=1-261	YJL136C, YKR057W
OG0000114	augustus_masked-LWLF01000001.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.105&CDS=1-495	YDR418W, YEL054C
OG0000115	augustus_masked-LWLF01000001.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.108&CDS=1-3510, augustus_masked-LWLF01000022.1-processed-gene-13.72-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-13.72&CDS=1-7548	YIL126W
OG0000116	augustus_masked-LWLF01000001.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.78&CDS=1-1134	YDL022W, YOL059W
OG0000117	augustus_masked-LWLF01000001.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.112&CDS=1-552	YGR273C, YMR295C
OG0000118	augustus_masked-LWLF01000001.1-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.66&CDS=1-2121	YFL004W, YPL019C
OG0000119	augustus_masked-LWLF01000001.1-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.102&CDS=1-1977	YJL082W, YKR018C
OG0000120	augustus_masked-LWLF01000001.1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.86&CDS=1-894	YBR240C, YDR207C
OG0000121	augustus_masked-LWLF01000001.1-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.52&CDS=1-2799, maker-LWLF01000001.1-augustus-gene-18.126-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-18.126&CDS=1-4776	YGR204W
OG0000122	augustus_masked-LWLF01000001.1-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.85&CDS=1-1518, augustus_masked-LWLF01000021.1-processed-gene-9.57-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-9.57&CDS=1-1479	YLR034C
OG0000123	augustus_masked-LWLF01000001.1-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-3.129&CDS=1-2886	YAL017W, YOL045W
OG0000124	augustus_masked-LWLF01000001.1-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-3.134&CDS=1-525	YIL111W, YNL052W
OG0000125	augustus_masked-LWLF01000001.1-processed-gene-3.163-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-3.163&CDS=1-930	YGR283C, YMR310C
OG0000126	genemark-LWLF01000001.1-processed-gene-3.27-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-3.27&CDS=1-651	YER031C, YGL210W
OG0000127	augustus_masked-LWLF01000001.1-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-3.142&CDS=1-1239	YDR151C, YLR136C
OG0000128	augustus_masked-LWLF01000001.1-processed-gene-3.171-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-3.171&CDS=1-1224	YBR214W, YGL056C
OG0000129	augustus_masked-LWLF01000001.1-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-4.95&CDS=1-1077	YJL137C, YKR058W
OG0000130	augustus_masked-LWLF01000001.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-4.100&CDS=1-2121, augustus_masked-LWLF01000022.1-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-5.143&CDS=1-2589	YLR144C
OG0000131	augustus_masked-LWLF01000001.1-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-4.85&CDS=1-783	YGR214W, YLR048W
OG0000132	augustus_masked-LWLF01000001.1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-4.89&CDS=1-1245	YDR479C, YHR150W
OG0000133	snap_masked-LWLF01000001.1-processed-gene-5.96-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-5.96&CDS=1-1722	YNL293W, YOL112W
OG0000134	snap_masked-LWLF01000001.1-processed-gene-5.102-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-5.102&CDS=1-255	YPR169W-A, YPR170W-B
OG0000135	augustus_masked-LWLF01000001.1-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-6.30&CDS=1-1539	YDR389W, YOR134W
OG0000136	augustus_masked-LWLF01000001.1-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-6.34&CDS=1-303	YKL032C, YMR072W
OG0000137	augustus_masked-LWLF01000001.1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-6.12&CDS=1-315	YEL039C, YJR048W
OG0000138	genemark-LWLF01000001.1-processed-gene-6.69-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-6.69&CDS=1-1104	YDR213W, YLR228C
OG0000139	augustus_masked-LWLF01000001.1-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-6.22&CDS=1-1308	YJL134W, YKR053C
OG0000140	augustus_masked-LWLF01000001.1-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-7.54&CDS=1-627	YBR242W, YGL101W
OG0000141	genemark-LWLF01000001.1-processed-gene-7.9-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-7.9&CDS=1-1455	YMR182C, YPL230W
OG0000142	snap_masked-LWLF01000001.1-processed-gene-7.111-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-7.111&CDS=1-936	YDL088C, YMR153W
OG0000143	augustus_masked-LWLF01000001.1-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-7.73&CDS=1-1326	YBL091C-A, YER120W
OG0000144	augustus_masked-LWLF01000022.1-processed-gene-17.78-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.78&CDS=1-1626, maker-LWLF01000001.1-augustus-gene-7.153-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-7.153&CDS=1-2040	YDR428C
OG0000145	augustus_masked-LWLF01000022.1-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-5.142&CDS=1-2460, maker-LWLF01000001.1-snap-gene-7.50-mRNA-1_1&gene=maker-LWLF01000001.1-snap-gene-7.50&CDS=1-1185	YLL057C
OG0000146	snap_masked-LWLF01000001.1-processed-gene-8.148-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-8.148&CDS=1-3114	YLR187W, YNL278W
OG0000147	genemark-LWLF01000001.1-processed-gene-8.77-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-8.77&CDS=1-444	YBR082C, YDR059C
OG0000148	genemark-LWLF01000001.1-processed-gene-8.94-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-8.94&CDS=1-1392	YDR263C, YOR033C
OG0000149	augustus_masked-LWLF01000001.1-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-8.27&CDS=1-957	YCL011C, YNL004W
OG0000150	augustus_masked-LWLF01000001.1-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-8.28&CDS=1-735	YER062C, YIL053W
OG0000151	maker-LWLF01000001.1-augustus-gene-9.117-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-9.117&CDS=1-387	YJL190C, YLR367W
OG0000152	augustus_masked-LWLF01000001.1-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-9.91&CDS=1-2703	YBL106C, YPR032W
OG0000153	augustus_masked-LWLF01000001.1-processed-gene-9.74-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-9.74&CDS=1-1089, augustus_masked-LWLF01000021.1-processed-gene-9.70-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-9.70&CDS=1-1263	YOR099W
OG0000154	augustus_masked-LWLF01000001.1-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-9.79&CDS=1-3816	YCR073C, YNR031C
OG0000155	augustus_masked-LWLF01000001.1-processed-gene-9.112-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-9.112&CDS=1-1200	YCL037C, YDR515W
OG0000156	augustus_masked-LWLF01000001.1-processed-gene-10.122-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-10.122&CDS=1-417	YBR010W, YNL031C
OG0000157	snap_masked-LWLF01000001.1-processed-gene-10.97-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-10.97&CDS=1-4056	YHR155W, YNL257C
OG0000158	genemark-LWLF01000021.1-processed-gene-14.115-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-14.115&CDS=1-1899, snap_masked-LWLF01000001.1-processed-gene-10.99-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-10.99&CDS=1-2052	YJL092W
OG0000159	augustus_masked-LWLF01000001.1-processed-gene-10.138-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-10.138&CDS=1-276	YHR132W-A, YNL157W
OG0000160	maker-LWLF01000001.1-snap-gene-10.119-mRNA-1_1&gene=maker-LWLF01000001.1-snap-gene-10.119&CDS=1-3651	YBR021W, YIR028W
OG0000161	augustus_masked-LWLF01000001.1-processed-gene-10.160-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-10.160&CDS=1-564	YBR014C, YDL010W
OG0000162	augustus_masked-LWLF01000001.1-processed-gene-10.143-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-10.143&CDS=1-1524, augustus_masked-LWLF01000022.1-processed-gene-21.14-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-21.14&CDS=1-1485	YJR152W
OG0000163	augustus_masked-LWLF01000001.1-processed-gene-10.164-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-10.164&CDS=1-1422	YDR463W, YHR006W
OG0000164	augustus_masked-LWLF01000001.1-processed-gene-10.146-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-10.146&CDS=1-561	YBL027W, YBR084C-A
OG0000165	augustus_masked-LWLF01000001.1-processed-gene-11.109-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-11.109&CDS=1-816	YDR451C, YML027W
OG0000166	augustus_masked-LWLF01000001.1-processed-gene-12.70-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-12.70&CDS=1-2013	YDR264C, YOR034C
OG0000167	augustus_masked-LWLF01000001.1-processed-gene-12.82-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-12.82&CDS=1-1209	YDR200C, YLR238W
OG0000168	snap_masked-LWLF01000001.1-processed-gene-12.32-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-12.32&CDS=1-1245	YBR241C, YGL104C
OG0000169	genemark-LWLF01000001.1-processed-gene-12.192-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-12.192&CDS=1-3111	YIR033W, YKL020C
OG0000170	augustus_masked-LWLF01000001.1-processed-gene-12.121-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-12.121&CDS=1-516	YBR005W, YDR003W
OG0000171	augustus_masked-LWLF01000001.1-processed-gene-13.165-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-13.165&CDS=1-1773, snap_masked-LWLF01000022.1-processed-gene-16.113-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-16.113&CDS=1-1230	YDL025C
