	Candida_tropicalis	Saccharomyces_cerevisiae
OG0000052	maker-NW_003020039.1-augustus-gene-0.147-mRNA-1_1&gene=maker-NW_003020039.1-augustus-gene-0.147&CDS=1-1596	YDL246C, YJR159W, YLR070C
OG0000053	snap_masked-NW_003020039.1-processed-gene-2.2-mRNA-1_1&gene=snap_masked-NW_003020039.1-processed-gene-2.2&CDS=1-1722, snap_masked-NW_003020055.1-processed-gene-21.146-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-21.146&CDS=1-1725	YCL025C, YDR508C
OG0000054	snap_masked-NW_003020039.1-processed-gene-2.7-mRNA-1_1&gene=snap_masked-NW_003020039.1-processed-gene-2.7&CDS=1-1611, snap_masked-NW_003020039.1-processed-gene-3.146-mRNA-1_1&gene=snap_masked-NW_003020039.1-processed-gene-3.146&CDS=1-1773	YBR293W, YMR088C
OG0000055	genemark-NW_003020039.1-processed-gene-2.127-mRNA-1_1&gene=genemark-NW_003020039.1-processed-gene-2.127&CDS=1-1875, snap_masked-NW_003020049.1-processed-gene-12.40-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-12.40&CDS=1-1887	YMR008C, YOL011W
OG0000056	genemark-NW_003020039.1-processed-gene-2.132-mRNA-1_1&gene=genemark-NW_003020039.1-processed-gene-2.132&CDS=1-1233, genemark-NW_003020039.1-processed-gene-3.67-mRNA-1_1&gene=genemark-NW_003020039.1-processed-gene-3.67&CDS=1-1377, genemark-NW_003020049.1-processed-gene-13.84-mRNA-1_1&gene=genemark-NW_003020049.1-processed-gene-13.84&CDS=1-1245	YPL092W
OG0000057	augustus_masked-NW_003020049.1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NW_003020049.1-processed-gene-2.65&CDS=1-4353, genemark-NW_003020040.1-processed-gene-0.31-mRNA-1_1&gene=genemark-NW_003020040.1-processed-gene-0.31&CDS=1-4470, snap_masked-NW_003020060.1-processed-gene-6.45-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-6.45&CDS=1-4497	YNR070W
OG0000058	genemark-NW_003020040.1-processed-gene-0.45-mRNA-1_1&gene=genemark-NW_003020040.1-processed-gene-0.45&CDS=1-1464, snap_masked-NW_003020049.1-processed-gene-18.22-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-18.22&CDS=1-1107	YER028C, YGL209W
OG0000059	snap_masked-NW_003020040.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NW_003020040.1-processed-gene-1.82&CDS=1-1248, snap_masked-NW_003020058.1-processed-gene-11.205-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-11.205&CDS=1-1293	YBR078W, YDR055W
OG0000060	genemark-NW_003020055.1-processed-gene-2.84-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-2.84&CDS=1-1020, snap_masked-NW_003020040.1-processed-gene-3.168-mRNA-1_1&gene=snap_masked-NW_003020040.1-processed-gene-3.168&CDS=1-1029	YML019W, YOR085W
OG0000061	maker-NW_003020056.1-snap-gene-11.108-mRNA-1_1&gene=maker-NW_003020056.1-snap-gene-11.108&CDS=1-948, snap_masked-NW_003020040.1-processed-gene-3.182-mRNA-1_1&gene=snap_masked-NW_003020040.1-processed-gene-3.182&CDS=1-993	YBR002C, YMR101C
OG0000062	augustus_masked-NW_003020041.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NW_003020041.1-processed-gene-0.49&CDS=1-3042, genemark-NW_003020041.1-processed-gene-0.155-mRNA-1_1&gene=genemark-NW_003020041.1-processed-gene-0.155&CDS=1-1302, genemark-NW_003020055.1-processed-gene-0.76-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-0.76&CDS=1-1302	YLL011W
OG0000063	genemark-NW_003020049.1-processed-gene-11.5-mRNA-1_1&gene=genemark-NW_003020049.1-processed-gene-11.5&CDS=1-1176, snap_masked-NW_003020041.1-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NW_003020041.1-processed-gene-0.117&CDS=1-1107	YHR208W, YJR148W
OG0000064	genemark-NW_003020049.1-processed-gene-2.10-mRNA-1_1&gene=genemark-NW_003020049.1-processed-gene-2.10&CDS=1-6084	YOL055C, YPL258C, YPR121W
OG0000065	snap_masked-NW_003020049.1-processed-gene-3.5-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-3.5&CDS=1-1068, snap_masked-NW_003020055.1-processed-gene-3.42-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.42&CDS=1-996	YCL064C, YIL167W
OG0000066	snap_masked-NW_003020049.1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-3.22&CDS=1-1092, snap_masked-NW_003020057.1-processed-gene-3.78-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.78&CDS=1-1080, snap_masked-NW_003020057.1-processed-gene-3.85-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.85&CDS=1-1086	YGL185C
OG0000067	augustus_masked-NW_003020049.1-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-NW_003020049.1-processed-gene-5.26&CDS=1-957, maker-NW_003020049.1-augustus-gene-5.33-mRNA-1_1&gene=maker-NW_003020049.1-augustus-gene-5.33&CDS=1-1497, snap_masked-NW_003020049.1-processed-gene-5.57-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-5.57&CDS=1-1497	YER073W
OG0000068	augustus_masked-NW_003020049.1-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-NW_003020049.1-processed-gene-6.112&CDS=1-2130, snap_masked-NW_003020055.1-processed-gene-13.55-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.55&CDS=1-2247	YBL011W, YKR067W
OG0000069	snap_masked-NW_003020049.1-processed-gene-7.16-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-7.16&CDS=1-1263, snap_masked-NW_003020049.1-processed-gene-7.23-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-7.23&CDS=1-1263	YMR243C, YOR316C
OG0000070	snap_masked-NW_003020049.1-processed-gene-8.5-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-8.5&CDS=1-2265, snap_masked-NW_003020058.1-processed-gene-11.181-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-11.181&CDS=1-2025	YGR068C, YOR018W
OG0000071	augustus_masked-NW_003020049.1-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-NW_003020049.1-processed-gene-8.117&CDS=1-222, augustus_masked-NW_003020060.1-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-NW_003020060.1-processed-gene-7.130&CDS=1-312	YFL017W-A, YJR022W
OG0000072	snap_masked-NW_003020049.1-processed-gene-12.49-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-12.49&CDS=1-891, snap_masked-NW_003020055.1-processed-gene-20.124-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-20.124&CDS=1-915	YIL117C, YNL058C
OG0000073	genemark-NW_003020058.1-processed-gene-8.103-mRNA-1_1&gene=genemark-NW_003020058.1-processed-gene-8.103&CDS=1-1704, snap_masked-NW_003020049.1-processed-gene-13.31-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-13.31&CDS=1-1710	YLL012W, YLR020C
OG0000074	maker-NW_003020049.1-snap-gene-15.136-mRNA-1_1&gene=maker-NW_003020049.1-snap-gene-15.136&CDS=1-3648, maker-NW_003020049.1-snap-gene-17.52-mRNA-1_1&gene=maker-NW_003020049.1-snap-gene-17.52&CDS=1-1242	YLR251W, YOR014W
OG0000075	snap_masked-NW_003020049.1-processed-gene-16.38-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-16.38&CDS=1-1374, snap_masked-NW_003020056.1-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-3.32&CDS=1-1374	YBR118W, YPR080W
OG0000076	genemark-NW_003020049.1-processed-gene-21.127-mRNA-1_1&gene=genemark-NW_003020049.1-processed-gene-21.127&CDS=1-1473	YER056C, YER060W, YER060W-A
OG0000077	augustus_masked-NW_003020049.1-processed-gene-22.137-mRNA-1_1&gene=augustus_masked-NW_003020049.1-processed-gene-22.137&CDS=1-3147, augustus_masked-NW_003020061.1-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-NW_003020061.1-processed-gene-3.34&CDS=1-3147, snap_masked-NW_003020061.1-processed-gene-3.180-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-3.180&CDS=1-3147	YLR389C
OG0000078	snap_masked-NW_003020055.1-processed-gene-10.83-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.83&CDS=1-2193, snap_masked-NW_003020055.1-processed-gene-4.72-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.72&CDS=1-2154, snap_masked-NW_003020055.1-processed-gene-4.82-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-4.82&CDS=1-2184	YPR159W
OG0000079	snap_masked-NW_003020055.1-processed-gene-5.26-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-5.26&CDS=1-543, snap_masked-NW_003020056.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-0.93&CDS=1-537	YDL137W, YDL192W
OG0000080	genemark-NW_003020055.1-processed-gene-6.89-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-6.89&CDS=1-2139, genemark-NW_003020055.1-processed-gene-6.96-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-6.96&CDS=1-2181	YLR098C, YOR337W
OG0000081	augustus_masked-NW_003020055.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-6.67&CDS=1-507, snap_masked-NW_003020060.1-processed-gene-5.35-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-5.35&CDS=1-246	YDR276C, YDR525W-A
OG0000082	genemark-NW_003020055.1-processed-gene-15.45-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-15.45&CDS=1-1986, snap_masked-NW_003020055.1-processed-gene-6.21-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.21&CDS=1-2175, snap_masked-NW_003020055.1-processed-gene-6.34-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-6.34&CDS=1-2127	YGL205W
OG0000083	snap_masked-NW_003020055.1-processed-gene-10.65-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.65&CDS=1-783, snap_masked-NW_003020057.1-processed-gene-9.45-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-9.45&CDS=1-789	YHL033C, YLL045C
OG0000084	snap_masked-NW_003020055.1-processed-gene-12.13-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.13&CDS=1-3219, snap_masked-NW_003020056.1-processed-gene-4.59-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-4.59&CDS=1-3030	YJL089W, YMR280C
OG0000085	genemark-NW_003020055.1-processed-gene-12.113-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-12.113&CDS=1-615, snap_masked-NW_003020056.1-processed-gene-15.175-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-15.175&CDS=1-621	YKR014C, YOR089C
OG0000086	snap_masked-NW_003020055.1-processed-gene-12.41-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.41&CDS=1-1689	YDR144C, YLR120C, YLR121C
OG0000087	snap_masked-NW_003020055.1-processed-gene-13.51-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.51&CDS=1-390, snap_masked-NW_003020058.1-processed-gene-10.39-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-10.39&CDS=1-390	YBL002W, YDR224C
OG0000088	snap_masked-NW_003020055.1-processed-gene-13.48-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.48&CDS=1-396, snap_masked-NW_003020058.1-processed-gene-10.17-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-10.17&CDS=1-393	YBL003C, YDR225W
OG0000089	maker-NW_003020055.1-snap-gene-20.135-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-20.135&CDS=1-1674, snap_masked-NW_003020055.1-processed-gene-20.112-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-20.112&CDS=1-1695, snap_masked-NW_003020055.1-processed-gene-20.132-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-20.132&CDS=1-1692	YEL063C
OG0000090	genemark-NW_003020056.1-processed-gene-3.42-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-3.42&CDS=1-936	YLL062C, YMR321C, YPL273W
OG0000091	genemark-NW_003020056.1-processed-gene-4.119-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-4.119&CDS=1-492, snap_masked-NW_003020056.1-processed-gene-6.96-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-6.96&CDS=1-912, snap_masked-NW_003020056.1-processed-gene-7.71-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-7.71&CDS=1-960	YJL145W
OG0000092	augustus_masked-NW_003020056.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-NW_003020056.1-processed-gene-5.32&CDS=1-2133, augustus_masked-NW_003020056.1-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-NW_003020056.1-processed-gene-5.33&CDS=1-2754, snap_masked-NW_003020061.1-processed-gene-3.178-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-3.178&CDS=1-1821	YDR034C
OG0000093	maker-NW_003020056.1-snap-gene-13.1-mRNA-1_1&gene=maker-NW_003020056.1-snap-gene-13.1&CDS=1-441, snap_masked-NW_003020059.1-processed-gene-6.23-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-6.23&CDS=1-363	YDR519W, YNL135C
OG0000094	snap_masked-NW_003020057.1-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.44&CDS=1-1701	YGR087C, YLR044C, YLR134W
OG0000095	genemark-NW_003020058.1-processed-gene-4.30-mRNA-1_1&gene=genemark-NW_003020058.1-processed-gene-4.30&CDS=1-645, snap_masked-NW_003020058.1-processed-gene-4.111-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-4.111&CDS=1-1650, snap_masked-NW_003020059.1-processed-gene-4.1-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-4.1&CDS=1-2025	YMR110C
OG0000096	snap_masked-NW_003020058.1-processed-gene-8.6-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-8.6&CDS=1-735	YFL060C, YMR095C, YNL334C
OG0000097	snap_masked-NW_003020059.1-processed-gene-5.21-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-5.21&CDS=1-339, snap_masked-NW_003020059.1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-5.7&CDS=1-348	YCL035C, YDR513W
OG0000098	augustus_masked-NW_003020060.1-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NW_003020060.1-processed-gene-1.12&CDS=1-558	YCL067C, YCR039C, YCR096C
OG0000099	genemark-NW_003020061.1-processed-gene-0.94-mRNA-1_1&gene=genemark-NW_003020061.1-processed-gene-0.94&CDS=1-1241, maker-NW_003020061.1-augustus-gene-0.0-mRNA-1_1&gene=maker-NW_003020061.1-augustus-gene-0.0&CDS=1-2940	YLR378C, YMR283C
OG0000100	snap_masked-NW_003020061.1-processed-gene-2.8-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-2.8&CDS=1-1008	YGR192C, YJL052W, YJR009C
OG0000101	snap_masked-NW_003020038.1-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-0.114&CDS=1-3351	YAL056W, YOR371C
OG0000102	snap_masked-NW_003020038.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-0.118&CDS=1-708	YBR181C, YPL090C
OG0000103	genemark-NW_003020038.1-processed-gene-0.63-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-0.63&CDS=1-1701, genemark-NW_003020038.1-processed-gene-1.105-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-1.105&CDS=1-1686	YBR132C
OG0000104	snap_masked-NW_003020038.1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-1.7&CDS=1-3729	YIL151C, YKR096W
OG0000105	snap_masked-NW_003020038.1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-1.35&CDS=1-873, snap_masked-NW_003020058.1-processed-gene-8.18-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-8.18&CDS=1-873	YNL202W
OG0000106	snap_masked-NW_003020038.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-1.27&CDS=1-963, snap_masked-NW_003020055.1-processed-gene-15.94-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.94&CDS=1-957	YDL236W
OG0000107	augustus_masked-NW_003020038.1-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-2.2&CDS=1-3966, snap_masked-NW_003020038.1-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-2.97&CDS=1-1029	YJR132W
OG0000108	snap_masked-NW_003020038.1-processed-gene-2.102-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-2.102&CDS=1-2031	YGR241C, YHR161C
OG0000109	genemark-NW_003020038.1-processed-gene-2.69-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-2.69&CDS=1-2523	YOR256C, YPL176C
OG0000110	snap_masked-NW_003020038.1-processed-gene-3.83-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-3.83&CDS=1-2625	YBR033W, YKL038W
OG0000111	snap_masked-NW_003020038.1-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-3.84&CDS=1-1875	YDR107C, YLR083C
OG0000112	snap_masked-NW_003020038.1-processed-gene-3.85-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-3.85&CDS=1-1305, snap_masked-NW_003020057.1-processed-gene-12.206-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-12.206&CDS=1-1926	YDR207C
OG0000113	genemark-NW_003020038.1-processed-gene-3.47-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-3.47&CDS=1-1332	YDR132C, YLR108C
OG0000114	snap_masked-NW_003020038.1-processed-gene-3.112-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-3.112&CDS=1-519, snap_masked-NW_003020038.1-processed-gene-3.92-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-3.92&CDS=1-519	YLR109W
OG0000115	genemark-NW_003020038.1-processed-gene-3.58-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-3.58&CDS=1-3333, genemark-NW_003020038.1-processed-gene-3.77-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-3.77&CDS=1-3450	YGL156W
OG0000116	snap_masked-NW_003020038.1-processed-gene-3.101-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-3.101&CDS=1-1002	YGR283C, YMR310C
OG0000117	snap_masked-NW_003020038.1-processed-gene-4.124-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-4.124&CDS=1-516	YMR242C, YOR312C
OG0000118	snap_masked-NW_003020038.1-processed-gene-4.131-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-4.131&CDS=1-270	YBR089C-A, YPR052C
OG0000119	snap_masked-NW_003020038.1-processed-gene-5.69-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.69&CDS=1-3606	YDR379W, YOR127W
OG0000120	snap_masked-NW_003020038.1-processed-gene-5.63-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.63&CDS=1-2514	YBR294W, YLR092W
OG0000121	genemark-NW_003020038.1-processed-gene-6.10-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-6.10&CDS=1-1665, snap_masked-NW_003020056.1-processed-gene-10.12-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-10.12&CDS=1-1437	YMR155W
OG0000122	maker-NW_003020038.1-snap-gene-7.149-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-7.149&CDS=1-2610, snap_masked-NW_003020038.1-processed-gene-6.125-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.125&CDS=1-606	YCR088W
OG0000123	snap_masked-NW_003020038.1-processed-gene-6.129-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.129&CDS=1-1527, snap_masked-NW_003020061.1-processed-gene-3.158-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-3.158&CDS=1-1641	YKL217W
OG0000124	genemark-NW_003020038.1-processed-gene-6.50-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-6.50&CDS=1-1380	YDL088C, YMR153W
OG0000125	snap_masked-NW_003020038.1-processed-gene-11.89-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.89&CDS=1-768	YDR098C, YER174C
OG0000126	snap_masked-NW_003020038.1-processed-gene-11.128-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.128&CDS=1-1503	YMR169C, YMR170C
OG0000127	snap_masked-NW_003020038.1-processed-gene-12.130-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.130&CDS=1-1041, snap_masked-NW_003020058.1-processed-gene-6.21-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-6.21&CDS=1-1032	YPR086W
OG0000128	snap_masked-NW_003020038.1-processed-gene-13.33-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.33&CDS=1-2076	YMR182C, YPL230W
OG0000129	augustus_masked-NW_003020038.1-processed-gene-15.0-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-15.0&CDS=1-1713, maker-NW_003020038.1-augustus-gene-15.89-mRNA-1_1&gene=maker-NW_003020038.1-augustus-gene-15.89&CDS=1-2478	YAL067C
OG0000130	genemark-NW_003020038.1-processed-gene-15.44-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-15.44&CDS=1-1503	YGR248W, YHR163W
OG0000131	genemark-NW_003020056.1-processed-gene-1.58-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-1.58&CDS=1-2364, snap_masked-NW_003020038.1-processed-gene-15.99-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.99&CDS=1-3318	YER176W
OG0000132	augustus_masked-NW_003020038.1-processed-gene-15.7-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-15.7&CDS=1-2484	YIL085C, YNL029C
OG0000133	snap_masked-NW_003020038.1-processed-gene-15.118-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.118&CDS=1-4512	YCL068C, YCR038C
OG0000134	snap_masked-NW_003020038.1-processed-gene-16.45-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.45&CDS=1-426, snap_masked-NW_003020039.1-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NW_003020039.1-processed-gene-0.139&CDS=1-387	YNL322C
OG0000135	maker-NW_003020038.1-snap-gene-16.2-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-16.2&CDS=1-828	YLR287C-A, YOR182C
OG0000136	genemark-NW_003020038.1-processed-gene-16.25-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-16.25&CDS=1-1740, genemark-NW_003020056.1-processed-gene-14.12-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-14.12&CDS=1-1878	YDL206W
OG0000137	snap_masked-NW_003020038.1-processed-gene-16.69-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.69&CDS=1-2433	YFL004W, YPL019C
OG0000138	augustus_masked-NW_003020038.1-processed-gene-16.105-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-16.105&CDS=1-1797, snap_masked-NW_003020038.1-processed-gene-17.118-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.118&CDS=1-2601	YMR302C
OG0000139	augustus_masked-NW_003020038.1-processed-gene-16.91-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-16.91&CDS=1-2496, snap_masked-NW_003020038.1-processed-gene-17.140-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.140&CDS=1-1686	YIR026C
OG0000140	snap_masked-NW_003020038.1-processed-gene-17.134-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.134&CDS=1-1212	YBR241C, YGL104C
OG0000141	snap_masked-NW_003020038.1-processed-gene-17.136-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.136&CDS=1-669	YBR242W, YGL101W
OG0000142	snap_masked-NW_003020038.1-processed-gene-19.51-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.51&CDS=1-2925, snap_masked-NW_003020039.1-processed-gene-3.153-mRNA-1_1&gene=snap_masked-NW_003020039.1-processed-gene-3.153&CDS=1-3072	YIL130W
OG0000143	snap_masked-NW_003020038.1-processed-gene-19.67-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.67&CDS=1-2412	YER066W, YFL009W
