	Eremothecium_gossypii	Saccharomyces_cerevisiae
OG0000077	augustus_masked-AE016816-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-4.23&CDS=1-5415, augustus_masked-AE016817-processed-gene-13.186-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-13.186&CDS=1-4674	YHR023W, YOR326W
OG0000078	augustus_masked-AE016816-processed-gene-5.166-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-5.166&CDS=1-2634, maker-AE016816-augustus-gene-5.62-mRNA-1_1&gene=maker-AE016816-augustus-gene-5.62&CDS=1-5466	YHR027C, YOR219C
OG0000079	augustus_masked-AE016816-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-5.146&CDS=1-2373	YOR229W, YOR230W, YPL139C
OG0000080	augustus_masked-AE016816-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-6.2&CDS=1-2454, augustus_masked-AE016816-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-7.131&CDS=1-2061	YBL052C, YOR244W
OG0000081	augustus_masked-AE016818-processed-gene-12.39-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-12.39&CDS=1-1908, maker-AE016817-snap-gene-2.58-mRNA-1_1&gene=maker-AE016817-snap-gene-2.58&CDS=1-3012	YDR444W, YGL144C
OG0000082	augustus_masked-AE016817-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-2.154&CDS=1-1230, augustus_masked-AE016818-processed-gene-14.15-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-14.15&CDS=1-1410	YNL064C, YNL077W
OG0000083	augustus_masked-AE016817-processed-gene-3.165-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-3.165&CDS=1-1404, augustus_masked-AE016820-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-1.103&CDS=1-1320	YER119C, YIL088C
OG0000084	augustus_masked-AE016817-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-3.142&CDS=1-309, augustus_masked-AE016818-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.96&CDS=1-309	YBR009C, YNL030W
OG0000085	augustus_masked-AE016817-processed-gene-3.154-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-3.154&CDS=1-2232, augustus_masked-AE016818-processed-gene-12.30-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-12.30&CDS=1-1467	YMR215W, YOL132W
OG0000086	augustus_masked-AE016817-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-4.97&CDS=1-3303, genemark-AE016817-processed-gene-5.118-mRNA-1_1&gene=genemark-AE016817-processed-gene-5.118&CDS=1-1485	YNL301C, YOL120C
OG0000087	augustus_masked-AE016817-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-4.85&CDS=1-1989, augustus_masked-AE016820-processed-gene-15.60-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-15.60&CDS=1-282	YGR221C, YHR149C
OG0000088	genemark-AE016817-processed-gene-5.129-mRNA-1_1&gene=genemark-AE016817-processed-gene-5.129&CDS=1-2136	YER056C, YER060W, YER060W-A
OG0000089	augustus_masked-AE016817-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-5.40&CDS=1-1680, genemark-AE016820-processed-gene-9.110-mRNA-1_1&gene=genemark-AE016820-processed-gene-9.110&CDS=1-1671	YER065C, YPR006C
OG0000090	augustus_masked-AE016817-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-6.93&CDS=1-1413, augustus_masked-AE016819-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-5.67&CDS=1-1641	YER123W, YHR135C
OG0000091	augustus_masked-AE016817-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-6.102&CDS=1-2328, augustus_masked-AE016819-processed-gene-15.65-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-15.65&CDS=1-2355	YJL200C, YLR304C
OG0000092	snap_masked-AE016817-processed-gene-6.68-mRNA-1_1&gene=snap_masked-AE016817-processed-gene-6.68&CDS=1-1008, snap_masked-AE016817-processed-gene-9.88-mRNA-1_1&gene=snap_masked-AE016817-processed-gene-9.88&CDS=1-1125	YAL018C, YOL048C
OG0000093	augustus_masked-AE016817-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-10.90&CDS=1-2517, augustus_masked-AE016817-processed-gene-9.17-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-9.17&CDS=1-2631	YMR054W, YOR270C
OG0000094	augustus_masked-AE016817-processed-gene-11.146-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-11.146&CDS=1-1407, augustus_masked-AE016817-processed-gene-9.46-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-9.46&CDS=1-1299	YDL078C, YKL085W
OG0000095	genemark-AE016817-processed-gene-10.34-mRNA-1_1&gene=genemark-AE016817-processed-gene-10.34&CDS=1-1974, snap_masked-AE016819-processed-gene-14.103-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-14.103&CDS=1-1542	YGR068C, YOR018W
OG0000096	augustus_masked-AE016817-processed-gene-12.67-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-12.67&CDS=1-1359, maker-AE016817-snap-gene-10.56-mRNA-1_1&gene=maker-AE016817-snap-gene-10.56&CDS=1-1662	YDL025C, YOR267C
OG0000097	snap_masked-AE016817-processed-gene-10.157-mRNA-1_1&gene=snap_masked-AE016817-processed-gene-10.157&CDS=1-2373, snap_masked-AE016820-processed-gene-10.46-mRNA-1_1&gene=snap_masked-AE016820-processed-gene-10.46&CDS=1-1410	YDR420W, YGR014W
OG0000098	augustus_masked-AE016817-processed-gene-11.176-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-11.176&CDS=1-1599, augustus_masked-AE016819-processed-gene-12.145-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-12.145&CDS=1-1557	YML120C, YMR145C
OG0000099	augustus_masked-AE016817-processed-gene-13.185-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-13.185&CDS=1-3933, augustus_masked-AE016820-processed-gene-13.1-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-13.1&CDS=1-4641	YAL026C, YER166W
OG0000100	genemark-AE016817-processed-gene-13.17-mRNA-1_1&gene=genemark-AE016817-processed-gene-13.17&CDS=1-2103, genemark-AE016820-processed-gene-11.34-mRNA-1_1&gene=genemark-AE016820-processed-gene-11.34&CDS=1-1836	YLR098C, YOR337W
OG0000101	augustus_masked-AE016817-processed-gene-13.241-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-13.241&CDS=1-2913, augustus_masked-AE016817-processed-gene-13.243-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-13.243&CDS=1-2421	YAL051W, YOR363C
OG0000102	augustus_masked-AE016820-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-4.39&CDS=1-2061, maker-AE016817-augustus-gene-13.254-mRNA-1_1&gene=maker-AE016817-augustus-gene-13.254&CDS=1-2652	YAL054C, YLR153C
OG0000103	augustus_masked-AE016818-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-0.9&CDS=1-906, augustus_masked-AE016820-processed-gene-10.86-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-10.86&CDS=1-915	YGR086C, YPL004C
OG0000104	augustus_masked-AE016818-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-2.130&CDS=1-2187, augustus_masked-AE016820-processed-gene-9.38-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-9.38&CDS=1-2712	YDR258C, YLL026W
OG0000105	augustus_masked-AE016818-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-2.114&CDS=1-2961, augustus_masked-AE016819-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-1.55&CDS=1-2874	YGR240C, YMR205C
OG0000106	augustus_masked-AE016818-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.87&CDS=1-3846, snap_masked-AE016818-processed-gene-3.125-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-3.125&CDS=1-3213	YJL050W, YLR398C
OG0000107	augustus_masked-AE016818-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-3.81&CDS=1-1719, genemark-AE016818-processed-gene-6.148-mRNA-1_1&gene=genemark-AE016818-processed-gene-6.148&CDS=1-1818	YBR015C, YJL186W
OG0000108	augustus_masked-AE016818-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-3.89&CDS=1-840, augustus_masked-AE016819-processed-gene-15.50-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-15.50&CDS=1-840	YDL049C, YJL174W
OG0000109	augustus_masked-AE016818-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-10.140&CDS=1-1512, snap_masked-AE016818-processed-gene-4.67-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-4.67&CDS=1-2049	YCR008W, YKL168C
OG0000110	augustus_masked-AE016818-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.129&CDS=1-2001, genemark-AE016818-processed-gene-10.22-mRNA-1_1&gene=genemark-AE016818-processed-gene-10.22&CDS=1-1836	YDR338C, YHR032W
OG0000111	augustus_masked-AE016818-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.88&CDS=1-393, genemark-AE016820-processed-gene-14.119-mRNA-1_1&gene=genemark-AE016820-processed-gene-14.119&CDS=1-393	YBL003C, YDR225W
OG0000112	augustus_masked-AE016818-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.79&CDS=1-1572, augustus_masked-AE016820-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-1.66&CDS=1-1689	YBR139W, YMR297W
OG0000113	augustus_masked-AE016818-processed-gene-11.118-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-11.118&CDS=1-2727, genemark-AE016818-processed-gene-7.7-mRNA-1_1&gene=genemark-AE016818-processed-gene-7.7&CDS=1-2625	YMR266W, YOL084W
OG0000114	augustus_masked-AE016818-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.86&CDS=1-2322, augustus_masked-AE016819-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-7.67&CDS=1-2901	YDL126C, YLR397C
OG0000115	augustus_masked-AE016818-processed-gene-10.160-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-10.160&CDS=1-2073, augustus_masked-AE016818-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.28&CDS=1-2319	YHR031C, YML061C
OG0000116	augustus_masked-AE016818-processed-gene-14.8-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-14.8&CDS=1-3837, augustus_masked-AE016818-processed-gene-9.66-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-9.66&CDS=1-4506	YML072C, YOR086C
OG0000117	augustus_masked-AE016818-processed-gene-10.133-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-10.133&CDS=1-948	YOL055C, YPL258C, YPR121W
OG0000118	augustus_masked-AE016818-processed-gene-10.163-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-10.163&CDS=1-1170, augustus_masked-AE016819-processed-gene-14.128-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-14.128&CDS=1-1659	YGR059W, YHR107C
OG0000119	augustus_masked-AE016818-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-13.8&CDS=1-2310, genemark-AE016820-processed-gene-11.6-mRNA-1_1&gene=genemark-AE016820-processed-gene-11.6&CDS=1-1767	YDR037W, YNL072W
OG0000120	augustus_masked-AE016818-processed-gene-13.24-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-13.24&CDS=1-3864, snap_masked-AE016819-processed-gene-14.93-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-14.93&CDS=1-4323	YIL126W, YOR290C
OG0000121	augustus_masked-AE016819-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-0.10&CDS=1-546, genemark-AE016820-processed-gene-9.101-mRNA-1_1&gene=genemark-AE016820-processed-gene-9.101&CDS=1-1122	YKL032C, YMR072W
OG0000122	augustus_masked-AE016819-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-2.43&CDS=1-1818, snap_masked-AE016819-processed-gene-6.154-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-6.154&CDS=1-855	YGL073W, YOR140W
OG0000123	augustus_masked-AE016819-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-3.27&CDS=1-3258, snap_masked-AE016819-processed-gene-14.58-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-14.58&CDS=1-3072	YBR245C, YOR304W
OG0000124	augustus_masked-AE016819-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-5.103&CDS=1-1110	YCR102C, YLR460C, YNL134C
OG0000125	augustus_masked-AE016819-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-6.61&CDS=1-3093, augustus_masked-AE016819-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-8.28&CDS=1-2697	YFR040W, YKR028W
OG0000126	augustus_masked-AE016819-processed-gene-10.36-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-10.36&CDS=1-3009, genemark-AE016819-processed-gene-11.163-mRNA-1_1&gene=genemark-AE016819-processed-gene-11.163&CDS=1-2178	YDR466W, YDR490C
OG0000127	augustus_masked-AE016819-processed-gene-13.70-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-13.70&CDS=1-2181, augustus_masked-AE016820-processed-gene-16.34-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-16.34&CDS=1-2061	YBL011W, YKR067W
OG0000128	augustus_masked-AE016819-processed-gene-14.138-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-14.138&CDS=1-1491, augustus_masked-AE016820-processed-gene-13.19-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-13.19&CDS=1-6219	YGL009C, YGL202W
OG0000129	augustus_masked-AE016820-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-0.44&CDS=1-1608	YLR237W, YOR071C, YOR192C
OG0000130	augustus_masked-AE016820-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-0.38&CDS=1-4200, augustus_masked-AE016820-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-11.58&CDS=1-4476	YDR135C, YGR281W
OG0000131	augustus_masked-AE016820-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-2.150&CDS=1-921	YLL052C, YLL053C, YPR192W
OG0000132	augustus_masked-AE016820-processed-gene-16.36-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-16.36&CDS=1-2769, augustus_masked-AE016820-processed-gene-2.161-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-2.161&CDS=1-1668	YCR088W, YJL020C
OG0000133	augustus_masked-AE016820-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-4.28&CDS=1-4164, genemark-AE016820-processed-gene-3.132-mRNA-1_1&gene=genemark-AE016820-processed-gene-3.132&CDS=1-2583	YDR164C, YNR067C
OG0000134	augustus_masked-AE016820-processed-gene-8.148-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-8.148&CDS=1-3288	YDR038C, YDR039C, YDR040C
OG0000135	augustus_masked-AE016814-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.65&CDS=1-867	YHR043C, YHR044C
OG0000136	augustus_masked-AE016814-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.71&CDS=1-2388	YOR256C, YPL176C
OG0000137	augustus_masked-AE016814-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.11&CDS=1-1689, augustus_masked-AE016816-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-1.33&CDS=1-1758	YLR044C
OG0000138	augustus_masked-AE016814-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.21&CDS=1-1320	YDR312W, YHR066W
OG0000139	augustus_masked-AE016814-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.57&CDS=1-1542	YCL011C, YNL004W
OG0000140	augustus_masked-AE016814-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.109&CDS=1-1008, augustus_masked-AE016817-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-1.36&CDS=1-1248	YPR065W
OG0000141	snap_masked-AE016814-processed-gene-4.104-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-4.104&CDS=1-549	YMR206W, YNR014W
OG0000142	augustus_masked-AE016814-processed-gene-5.162-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.162&CDS=1-1212	YGR109C, YPR120C
OG0000143	augustus_masked-AE016814-processed-gene-5.165-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.165&CDS=1-435	YGR118W, YPR132W
OG0000144	genemark-AE016814-processed-gene-5.25-mRNA-1_1&gene=genemark-AE016814-processed-gene-5.25&CDS=1-495	YDR418W, YEL054C
OG0000145	augustus_masked-AE016814-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.143&CDS=1-2094	YBR214W, YGL056C
OG0000146	augustus_masked-AE016814-processed-gene-5.186-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.186&CDS=1-1839	YBR216C, YGL060W
OG0000147	snap_masked-AE016814-processed-gene-5.297-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-5.297&CDS=1-288	YGL089C, YPL187W
OG0000148	augustus_masked-AE016814-processed-gene-5.201-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.201&CDS=1-1089	YBR031W, YDR012W
OG0000149	augustus_masked-AE016814-processed-gene-5.202-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.202&CDS=1-1500, augustus_masked-AE016819-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-10.16&CDS=1-1500	YKL217W
OG0000150	augustus_masked-AE016815-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-1.72&CDS=1-1287	YDL222C, YNL194C
OG0000151	snap_masked-AE016815-processed-gene-1.131-mRNA-1_1&gene=snap_masked-AE016815-processed-gene-1.131&CDS=1-5733	YHR146W, YNL173C
OG0000152	augustus_masked-AE016815-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-2.34&CDS=1-468	YBR048W, YDR025W
OG0000153	augustus_masked-AE016815-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-2.47&CDS=1-1218	YBR078W, YDR055W
OG0000154	augustus_masked-AE016815-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-3.20&CDS=1-1704	YKL127W, YMR105C
OG0000155	snap_masked-AE016815-processed-gene-3.73-mRNA-1_1&gene=snap_masked-AE016815-processed-gene-3.73&CDS=1-2202	YKL121W, YMR102C
OG0000156	augustus_masked-AE016815-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-4.148&CDS=1-438	YHL001W, YKL006W
OG0000157	augustus_masked-AE016815-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-4.128&CDS=1-1239	YHL003C, YKL008C
OG0000158	augustus_masked-AE016815-processed-gene-4.163-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-4.163&CDS=1-324	YGR027C, YLR333C
OG0000159	augustus_masked-AE016815-processed-gene-4.166-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-4.166&CDS=1-1389	YHL017W, YKL039W
OG0000160	augustus_masked-AE016815-processed-gene-5.154-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-5.154&CDS=1-564	YKL065C, YMR040W
OG0000161	maker-AE016815-augustus-gene-5.114-mRNA-1_1&gene=maker-AE016815-augustus-gene-5.114&CDS=1-4056	YMR042W, YMR043W
OG0000162	augustus_masked-AE016815-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-6.23&CDS=1-891	YFL059W, YNL333W
OG0000163	augustus_masked-AE016815-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-7.62&CDS=1-1350	YBR177C, YPL095C
OG0000164	augustus_masked-AE016815-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-7.78&CDS=1-1059	YDL246C, YJR159W
OG0000165	maker-AE016815-augustus-gene-7.5-mRNA-1_1&gene=maker-AE016815-augustus-gene-7.5&CDS=1-1761	YFL048C, YLR080W
OG0000166	genemark-AE016816-processed-gene-0.141-mRNA-1_1&gene=genemark-AE016816-processed-gene-0.141&CDS=1-372	YGR034W, YLR344W
OG0000167	augustus_masked-AE016816-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-0.98&CDS=1-1545	YDL161W, YLR206W
OG0000168	augustus_masked-AE016816-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-1.30&CDS=1-1107	YGR214W, YLR048W
OG0000169	augustus_masked-AE016816-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-1.13&CDS=1-309	YGR209C, YLR043C
OG0000170	maker-AE016816-snap-gene-1.182-mRNA-1_1&gene=maker-AE016816-snap-gene-1.182&CDS=1-1515	YDR353W, YHR106W
OG0000171	maker-AE016816-augustus-gene-1.120-mRNA-1_1&gene=maker-AE016816-augustus-gene-1.120&CDS=1-3303	YDR351W, YHR103W
OG0000172	augustus_masked-AE016816-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-2.10&CDS=1-1635	YNL095C, YOR092W
OG0000173	augustus_masked-AE016816-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-2.29&CDS=1-768	YHL033C, YLL045C
OG0000174	genemark-AE016816-processed-gene-3.28-mRNA-1_1&gene=genemark-AE016816-processed-gene-3.28&CDS=1-1410	YER081W, YIL074C
OG0000175	augustus_masked-AE016816-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-4.18&CDS=1-2994	YJL045W, YKL148C
OG0000176	snap_masked-AE016816-processed-gene-4.94-mRNA-1_1&gene=snap_masked-AE016816-processed-gene-4.94&CDS=1-255	YHR021C, YKL156W
OG0000177	augustus_masked-AE016816-processed-gene-5.159-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-5.159&CDS=1-837	YDR272W, YOR040W
OG0000178	augustus_masked-AE016820-processed-gene-9.35-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-9.35&CDS=1-3654, genemark-AE016816-processed-gene-5.35-mRNA-1_1&gene=genemark-AE016816-processed-gene-5.35&CDS=1-2403	YDR270W
OG0000179	augustus_masked-AE016816-processed-gene-5.171-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-5.171&CDS=1-462	YOR226C, YPL135W
OG0000180	maker-AE016816-snap-gene-5.57-mRNA-1_1&gene=maker-AE016816-snap-gene-5.57&CDS=1-4722	YOR231W, YPL140C
