	Komagataella_pastoris	Saccharomyces_cerevisiae
OG0000063	augustus_masked-chromosome_2-processed-gene-20.115-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-20.115&CDS=1-1332, snap_masked-chromosome_2-processed-gene-20.196-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.196&CDS=1-1764	YBL089W, YER119C, YIL088C
OG0000064	snap_masked-chromosome_2-processed-gene-20.159-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.159&CDS=1-1263, snap_masked-chromosome_4-processed-gene-5.94-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-5.94&CDS=1-2316	YDR247W, YHR082C, YPL026C
OG0000065	snap_masked-chromosome_2-processed-gene-22.266-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.266&CDS=1-543, snap_masked-chromosome_4-processed-gene-5.95-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-5.95&CDS=1-564	YDL137W, YDL192W, YMR138W
OG0000066	snap_masked-chromosome_2-processed-gene-22.255-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.255&CDS=1-2385, snap_masked-chromosome_2-processed-gene-22.256-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.256&CDS=1-2211	YML111W, YMR275C, YNR069C
OG0000067	snap_masked-chromosome_3-processed-gene-20.41-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-20.41&CDS=1-867, snap_masked-chromosome_3-processed-gene-5.170-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-5.170&CDS=1-837	YDL222C, YML052W, YNL194C
OG0000068	maker-chromosome_3-snap-gene-10.3-mRNA-1_1&gene=maker-chromosome_3-snap-gene-10.3&CDS=1-2757, snap_masked-chromosome_4-processed-gene-9.100-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-9.100&CDS=1-3465	YDR216W, YJR127C, YML081W
OG0000069	augustus_masked-chromosome_3-processed-gene-13.100-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-13.100&CDS=1-594	YDR533C, YMR322C, YOR391C, YPL280W
OG0000070	snap_masked-chromosome_4-processed-gene-0.28-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-0.28&CDS=1-1644	YBR298C, YDL247W, YGR289C, YJR160C
OG0000071	snap_masked-chromosome_4-processed-gene-1.15-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.15&CDS=1-1020	YDL244W, YFL058W, YJR156C, YNL332W
OG0000072	genemark-chromosome_4-processed-gene-1.112-mRNA-1_1&gene=genemark-chromosome_4-processed-gene-1.112&CDS=1-1125, snap_masked-chromosome_4-processed-gene-7.112-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-7.112&CDS=1-942	YBR147W, YDR352W, YOL092W
OG0000073	augustus_masked-chromosome_4-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-3.128&CDS=1-1593, snap_masked-chromosome_4-processed-gene-4.18-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-4.18&CDS=1-1563	YLR152C, YNL095C, YOR092W
OG0000074	snap_masked-chromosome_4-processed-gene-14.58-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-14.58&CDS=1-1554, snap_masked-chromosome_4-processed-gene-16.93-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.93&CDS=1-1494	YOR389W, YPL277C, YPL278C
OG0000075	maker-chromosome_1-snap-gene-1.117-mRNA-1_1&gene=maker-chromosome_1-snap-gene-1.117&CDS=1-1758, snap_masked-chromosome_3-processed-gene-0.6-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-0.6&CDS=1-1803	YBR021W, YIR028W
OG0000076	snap_masked-chromosome_1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.49&CDS=1-2046, snap_masked-chromosome_3-processed-gene-1.123-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-1.123&CDS=1-2217	YBL011W, YKR067W
OG0000077	augustus_masked-chromosome_3-processed-gene-12.116-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-12.116&CDS=1-2379, snap_masked-chromosome_1-processed-gene-2.0-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-2.0&CDS=1-2340	YJL200C, YLR304C
OG0000078	snap_masked-chromosome_1-processed-gene-2.30-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-2.30&CDS=1-5433, snap_masked-chromosome_4-processed-gene-10.122-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-10.122&CDS=1-5556	YGR184C, YLR024C
OG0000079	snap_masked-chromosome_1-processed-gene-25.102-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.102&CDS=1-1437, snap_masked-chromosome_1-processed-gene-3.145-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-3.145&CDS=1-1434	YBR283C, YLR378C
OG0000080	maker-chromosome_2-augustus-gene-16.97-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-16.97&CDS=1-3345, snap_masked-chromosome_1-processed-gene-4.133-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-4.133&CDS=1-1611	YGL116W, YJL014W
OG0000081	snap_masked-chromosome_1-processed-gene-4.160-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-4.160&CDS=1-5193, snap_masked-chromosome_2-processed-gene-12.139-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-12.139&CDS=1-5634, snap_masked-chromosome_2-processed-gene-5.1-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-5.1&CDS=1-5265	YLR342W
OG0000082	maker-chromosome_1-snap-gene-4.60-mRNA-1_1&gene=maker-chromosome_1-snap-gene-4.60&CDS=1-3195, snap_masked-chromosome_3-processed-gene-6.58-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-6.58&CDS=1-1788	YLR343W, YMR307W
OG0000083	snap_masked-chromosome_1-processed-gene-26.146-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.146&CDS=1-549, snap_masked-chromosome_1-processed-gene-4.154-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-4.154&CDS=1-483	YDR155C, YML078W
OG0000084	snap_masked-chromosome_1-processed-gene-6.44-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-6.44&CDS=1-1620, snap_masked-chromosome_3-processed-gene-18.72-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-18.72&CDS=1-1764	YDR037W, YNL073W
OG0000085	augustus_masked-chromosome_2-processed-gene-9.9-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-9.9&CDS=1-390, maker-chromosome_1-snap-gene-7.101-mRNA-1_1&gene=maker-chromosome_1-snap-gene-7.101&CDS=1-390	YJL190C, YLR367W
OG0000086	augustus_masked-chromosome_1-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-7.116&CDS=1-1587, augustus_masked-chromosome_4-processed-gene-12.129-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-12.129&CDS=1-1527	YDL091C, YML013W
OG0000087	snap_masked-chromosome_1-processed-gene-14.14-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-14.14&CDS=1-1248, snap_masked-chromosome_1-processed-gene-7.38-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-7.38&CDS=1-1914	YDL159W, YJL128C
OG0000088	snap_masked-chromosome_1-processed-gene-18.44-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-18.44&CDS=1-1344, snap_masked-chromosome_1-processed-gene-8.18-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-8.18&CDS=1-1326	YKL046C, YMR238W
OG0000089	snap_masked-chromosome_1-processed-gene-8.24-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-8.24&CDS=1-789, snap_masked-chromosome_2-processed-gene-12.114-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-12.114&CDS=1-804	YCR010C, YNR002C
OG0000090	snap_masked-chromosome_1-processed-gene-8.51-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-8.51&CDS=1-1272, snap_masked-chromosome_3-processed-gene-2.154-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.154&CDS=1-1158	YER045C, YIL036W
OG0000091	augustus_masked-chromosome_1-processed-gene-9.20-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-9.20&CDS=1-729, maker-chromosome_4-snap-gene-7.188-mRNA-1_1&gene=maker-chromosome_4-snap-gene-7.188&CDS=1-747	YHL033C, YLL045C
OG0000092	snap_masked-chromosome_1-processed-gene-10.1-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.1&CDS=1-762, snap_masked-chromosome_4-processed-gene-2.30-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-2.30&CDS=1-762	YFR031C-A, YIL018W
OG0000093	augustus_masked-chromosome_1-processed-gene-10.131-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-10.131&CDS=1-1311, snap_masked-chromosome_2-processed-gene-10.53-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-10.53&CDS=1-1236	YDL066W, YLR174W
OG0000094	snap_masked-chromosome_1-processed-gene-10.30-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.30&CDS=1-573, snap_masked-chromosome_1-processed-gene-12.28-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.28&CDS=1-573	YGL147C, YNL067W
OG0000095	maker-chromosome_3-augustus-gene-21.7-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-21.7&CDS=1-3024, snap_masked-chromosome_1-processed-gene-10.39-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.39&CDS=1-1101	YAL036C, YGR173W
OG0000096	snap_masked-chromosome_1-processed-gene-10.24-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.24&CDS=1-5826, snap_masked-chromosome_1-processed-gene-15.143-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-15.143&CDS=1-6441	YER172C, YGR271W
OG0000097	snap_masked-chromosome_1-processed-gene-11.82-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.82&CDS=1-2340, snap_masked-chromosome_2-processed-gene-6.59-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-6.59&CDS=1-2310	YDL132W, YGR003W
OG0000098	genemark-chromosome_1-processed-gene-12.61-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-12.61&CDS=1-1311, snap_masked-chromosome_2-processed-gene-15.1-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-15.1&CDS=1-1140	YDR505C, YLR177W
OG0000099	snap_masked-chromosome_1-processed-gene-12.41-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.41&CDS=1-1071, snap_masked-chromosome_4-processed-gene-11.39-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-11.39&CDS=1-1074	YCR105W, YMR318C
OG0000100	snap_masked-chromosome_1-processed-gene-12.44-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.44&CDS=1-1284, snap_masked-chromosome_3-processed-gene-15.12-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.12&CDS=1-2127	YDR523C, YHR102W
OG0000101	snap_masked-chromosome_1-processed-gene-12.54-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.54&CDS=1-2859, snap_masked-chromosome_2-processed-gene-22.261-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.261&CDS=1-3135	YBR038W, YNL192W
OG0000102	snap_masked-chromosome_1-processed-gene-13.105-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.105&CDS=1-3267	YDR038C, YDR039C, YDR040C
OG0000103	snap_masked-chromosome_1-processed-gene-14.15-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-14.15&CDS=1-2010, snap_masked-chromosome_3-processed-gene-1.131-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-1.131&CDS=1-2148	YJR005W, YKL135C
OG0000104	snap_masked-chromosome_1-processed-gene-14.37-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-14.37&CDS=1-1569, snap_masked-chromosome_3-processed-gene-12.22-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.22&CDS=1-1602	YBR139W, YMR297W
OG0000105	snap_masked-chromosome_1-processed-gene-15.117-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-15.117&CDS=1-2805, snap_masked-chromosome_2-processed-gene-7.148-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.148&CDS=1-2967	YGR240C, YMR205C
OG0000106	augustus_masked-chromosome_3-processed-gene-14.43-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-14.43&CDS=1-2337, maker-chromosome_1-augustus-gene-15.51-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-15.51&CDS=1-4578	YAR035W, YER024W
OG0000107	snap_masked-chromosome_1-processed-gene-15.134-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-15.134&CDS=1-1212, snap_masked-chromosome_3-processed-gene-4.154-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.154&CDS=1-1128	YFL039C, YPR034W
OG0000108	snap_masked-chromosome_1-processed-gene-15.164-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-15.164&CDS=1-2289, snap_masked-chromosome_2-processed-gene-22.260-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.260&CDS=1-2178	YFL050C, YOL130W
OG0000109	augustus_masked-chromosome_1-processed-gene-16.129-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-16.129&CDS=1-1452, snap_masked-chromosome_3-processed-gene-5.136-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-5.136&CDS=1-1800	YKL221W, YNL125C
OG0000110	snap_masked-chromosome_1-processed-gene-16.54-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-16.54&CDS=1-1905, snap_masked-chromosome_4-processed-gene-16.57-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.57&CDS=1-1611	YIL038C, YPR072W
OG0000111	augustus_masked-chromosome_1-processed-gene-25.123-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-25.123&CDS=1-648, maker-chromosome_1-snap-gene-17.61-mRNA-1_1&gene=maker-chromosome_1-snap-gene-17.61&CDS=1-618	YBR264C, YKR014C
OG0000112	snap_masked-chromosome_1-processed-gene-17.159-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-17.159&CDS=1-885, snap_masked-chromosome_3-processed-gene-1.127-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-1.127&CDS=1-939	YJL079C, YKR013W
OG0000113	augustus_masked-chromosome_1-processed-gene-18.166-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-18.166&CDS=1-1518, snap_masked-chromosome_4-processed-gene-2.26-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-2.26&CDS=1-1134	YBR212W, YHR086W
OG0000114	maker-chromosome_1-snap-gene-18.117-mRNA-1_1&gene=maker-chromosome_1-snap-gene-18.117&CDS=1-1002, snap_masked-chromosome_3-processed-gene-10.25-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-10.25&CDS=1-993	YIL035C, YOR061W
OG0000115	snap_masked-chromosome_1-processed-gene-19.14-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-19.14&CDS=1-1071, snap_masked-chromosome_3-processed-gene-4.168-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.168&CDS=1-945	YDL047W, YNR032W
OG0000116	maker-chromosome_1-augustus-gene-21.4-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-21.4&CDS=1-2892	YFL060C, YMR095C, YNL334C
OG0000117	snap_masked-chromosome_1-processed-gene-21.134-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-21.134&CDS=1-888	YFL059W, YMR096W, YNL333W
OG0000118	snap_masked-chromosome_1-processed-gene-21.174-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-21.174&CDS=1-1524, snap_masked-chromosome_4-processed-gene-6.45-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.45&CDS=1-4371	YDR359C, YLR324W
OG0000119	snap_masked-chromosome_1-processed-gene-23.71-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-23.71&CDS=1-3165, snap_masked-chromosome_2-processed-gene-19.80-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-19.80&CDS=1-3354	YLR389C, YPR122W
OG0000120	snap_masked-chromosome_1-processed-gene-23.74-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-23.74&CDS=1-1893, snap_masked-chromosome_2-processed-gene-11.41-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-11.41&CDS=1-1452	YGR197C, YJR015W
OG0000121	snap_masked-chromosome_1-processed-gene-23.97-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-23.97&CDS=1-1362, snap_masked-chromosome_4-processed-gene-6.83-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.83&CDS=1-1332	YER028C, YGL209W
OG0000122	snap_masked-chromosome_1-processed-gene-24.72-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.72&CDS=1-5067, snap_masked-chromosome_1-processed-gene-25.72-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.72&CDS=1-4551	YDR135C, YLL015W
OG0000123	genemark-chromosome_3-processed-gene-14.122-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-14.122&CDS=1-3813, snap_masked-chromosome_1-processed-gene-26.171-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.171&CDS=1-2058	YKR001C, YLL001W
OG0000124	maker-chromosome_3-snap-gene-16.52-mRNA-1_1&gene=maker-chromosome_3-snap-gene-16.52&CDS=1-4035, snap_masked-chromosome_1-processed-gene-26.189-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.189&CDS=1-4677	YHR023W, YOR326W
OG0000125	snap_masked-chromosome_1-processed-gene-26.147-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.147&CDS=1-1287, snap_masked-chromosome_4-processed-gene-14.49-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-14.49&CDS=1-1002	YJR125C, YLL038C
OG0000126	maker-chromosome_1-augustus-gene-26.13-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-26.13&CDS=1-2943, snap_masked-chromosome_3-processed-gene-4.172-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.172&CDS=1-2514	YBR073W, YGL163C
OG0000127	snap_masked-chromosome_1-processed-gene-26.222-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.222&CDS=1-4248, snap_masked-chromosome_2-processed-gene-19.93-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-19.93&CDS=1-2517	YDL037C, YIR019C
OG0000128	snap_masked-chromosome_2-processed-gene-3.44-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-3.44&CDS=1-3207, snap_masked-chromosome_2-processed-gene-7.190-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.190&CDS=1-2958	YIL002C, YOR109W
OG0000129	snap_masked-chromosome_2-processed-gene-4.138-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-4.138&CDS=1-1962, snap_masked-chromosome_2-processed-gene-8.71-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-8.71&CDS=1-2382	YHR031C, YML061C
OG0000130	genemark-chromosome_2-processed-gene-4.93-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-4.93&CDS=1-1287, snap_masked-chromosome_3-processed-gene-7.68-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.68&CDS=1-1371	YDR125C, YLR099C
OG0000131	augustus_masked-chromosome_2-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-4.24&CDS=1-3453, snap_masked-chromosome_4-processed-gene-14.28-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-14.28&CDS=1-2256	YAL023C, YGR199W
OG0000132	augustus_masked-chromosome_3-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-9.120&CDS=1-2256, snap_masked-chromosome_2-processed-gene-6.38-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-6.38&CDS=1-2631, snap_masked-chromosome_4-processed-gene-7.62-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-7.62&CDS=1-2811	YKL015W
OG0000133	snap_masked-chromosome_2-processed-gene-8.84-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-8.84&CDS=1-1935, snap_masked-chromosome_3-processed-gene-7.106-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.106&CDS=1-1527	YKL139W, YPR161C
OG0000134	snap_masked-chromosome_2-processed-gene-8.92-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-8.92&CDS=1-1524, snap_masked-chromosome_4-processed-gene-15.29-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.29&CDS=1-1266	YOL027C, YPR125W
OG0000135	augustus_masked-chromosome_3-processed-gene-17.17-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-17.17&CDS=1-2037, snap_masked-chromosome_2-processed-gene-9.100-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-9.100&CDS=1-1533	YDR479C, YHR150W
OG0000136	snap_masked-chromosome_2-processed-gene-10.5-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-10.5&CDS=1-426	YDR276C, YDR525W-A, YJL151C
OG0000137	augustus_masked-chromosome_4-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-5.11&CDS=1-2157, snap_masked-chromosome_2-processed-gene-10.47-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-10.47&CDS=1-1278	YER047C, YPR173C
OG0000138	snap_masked-chromosome_2-processed-gene-11.31-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-11.31&CDS=1-1596, snap_masked-chromosome_3-processed-gene-19.57-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-19.57&CDS=1-1185	YKL088W, YKR072C
OG0000139	snap_masked-chromosome_2-processed-gene-12.133-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-12.133&CDS=1-1992, snap_masked-chromosome_3-processed-gene-20.39-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-20.39&CDS=1-1164	YML017W, YPR163C
OG0000140	snap_masked-chromosome_2-processed-gene-12.147-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-12.147&CDS=1-1362, snap_masked-chromosome_2-processed-gene-19.77-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-19.77&CDS=1-2136	YIL078W, YKL194C
OG0000141	maker-chromosome_2-augustus-gene-12.90-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-12.90&CDS=1-2124, snap_masked-chromosome_4-processed-gene-16.84-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.84&CDS=1-1716	YHR194W, YOR147W
OG0000142	snap_masked-chromosome_2-processed-gene-13.117-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-13.117&CDS=1-3024, snap_masked-chromosome_3-processed-gene-17.75-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.75&CDS=1-2757	YDR395W, YJR132W
OG0000143	augustus_masked-chromosome_2-processed-gene-13.1-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-13.1&CDS=1-1614, snap_masked-chromosome_3-processed-gene-17.76-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.76&CDS=1-1803	YDR398W, YHR196W
OG0000144	maker-chromosome_2-augustus-gene-13.116-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-13.116&CDS=1-1944, snap_masked-chromosome_3-processed-gene-17.100-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.100&CDS=1-1527	YBR241C, YGL104C
OG0000145	genemark-chromosome_2-processed-gene-14.82-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-14.82&CDS=1-3105, snap_masked-chromosome_4-processed-gene-10.137-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-10.137&CDS=1-2661	YJL089W, YMR280C
