	Metschnikowia_arizonensis	Saccharomyces_cerevisiae
OG0000056	augustus_masked-ari-_s14-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s14-processed-gene-0.15&CDS=1-2337, augustus_masked-ari-_s32-processed-gene-1.177-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-1.177&CDS=1-2400, genemark-ari-_s202-processed-gene-0.36-mRNA-1_1&gene=genemark-ari-_s202-processed-gene-0.36&CDS=1-1992	YJL200C, YLR304C
OG0000057	augustus_masked-ari-_s148-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-ari-_s148-processed-gene-0.55&CDS=1-1398, augustus_masked-ari-_s190-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-ari-_s190-processed-gene-0.38&CDS=1-1266	YBL089W, YER119C, YIL088C
OG0000058	augustus_masked-ari-_s148-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-ari-_s148-processed-gene-0.58&CDS=1-1626, augustus_masked-ari-_s9-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-5.104&CDS=1-1938, genemark-ari-_s84-processed-gene-0.91-mRNA-1_1&gene=genemark-ari-_s84-processed-gene-0.91&CDS=1-2127	YBR015C, YJL186W
OG0000059	augustus_masked-ari-_s164-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-ari-_s164-processed-gene-0.61&CDS=1-1605, snap_masked-ari-_s168-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ari-_s168-processed-gene-0.75&CDS=1-1419	YDL155W, YGR108W, YPR119W
OG0000060	augustus_masked-ari-_s164-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-ari-_s164-processed-gene-0.62&CDS=1-1104, augustus_masked-ari-_s315-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-ari-_s315-processed-gene-0.66&CDS=1-1551	YGL028C, YGR279C, YMR305C
OG0000061	augustus_masked-ari-_s164-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-ari-_s164-processed-gene-0.66&CDS=1-1554, augustus_masked-ari-_s164-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-ari-_s164-processed-gene-0.77&CDS=1-1767, augustus_masked-ari-_s178-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s178-processed-gene-0.10&CDS=1-1554	YGR197C, YJR015W
OG0000062	augustus_masked-ari-_s168-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s168-processed-gene-0.11&CDS=1-1974, augustus_masked-ari-_s74-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s74-processed-gene-0.7&CDS=1-1893	YMR006C, YMR008C, YOL011W
OG0000063	augustus_masked-ari-_s3-processed-gene-4.248-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-4.248&CDS=1-1614, augustus_masked-ari-_s4-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.68&CDS=1-738, augustus_masked-ari-_s6-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s6-processed-gene-0.19&CDS=1-1305, snap_masked-ari-_s176-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ari-_s176-processed-gene-0.9&CDS=1-453	YLR380W
OG0000064	augustus_masked-ari-_s181-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s181-processed-gene-0.12&CDS=1-1278, augustus_masked-ari-_s44-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.36&CDS=1-1191	YCR094W, YNL323W, YNR048W
OG0000065	augustus_masked-ari-_s20-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s20-processed-gene-0.2&CDS=1-1620, augustus_masked-ari-_s245-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-ari-_s245-processed-gene-0.126&CDS=1-1770, genemark-ari-_s32-processed-gene-0.34-mRNA-1_1&gene=genemark-ari-_s32-processed-gene-0.34&CDS=1-948	YDR037W, YNL073W
OG0000066	augustus_masked-ari-_s202-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-ari-_s202-processed-gene-0.58&CDS=1-2310, augustus_masked-ari-_s424-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s424-processed-gene-0.3&CDS=1-2250	YAL053W, YGL139W, YPL221W
OG0000067	augustus_masked-ari-_s217-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s217-processed-gene-0.22&CDS=1-1413, augustus_masked-ari-_s75-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s75-processed-gene-0.5&CDS=1-1449	YCL040W, YDR516C, YGL253W
OG0000068	augustus_masked-ari-_s217-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-ari-_s217-processed-gene-0.46&CDS=1-2673, augustus_masked-ari-_s9-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-4.113&CDS=1-2250	YML111W, YMR275C, YNR069C
OG0000069	augustus_masked-ari-_s43-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.7&CDS=1-1470, genemark-ari-_s23-processed-gene-0.44-mRNA-1_1&gene=genemark-ari-_s23-processed-gene-0.44&CDS=1-2307	YCR065W, YIL131C, YNL068C
OG0000070	augustus_masked-ari-_s243-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s243-processed-gene-0.20&CDS=1-723, augustus_masked-ari-_s258-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ari-_s258-processed-gene-0.23&CDS=1-891	YGL076C, YNL002C, YPL198W
OG0000071	augustus_masked-ari-_s253-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-ari-_s253-processed-gene-0.73&CDS=1-1545, augustus_masked-ari-_s5-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-ari-_s5-processed-gene-0.36&CDS=1-1251	YDL159W, YOR231W, YPL140C
OG0000072	augustus_masked-ari-_s253-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-ari-_s253-processed-gene-0.117&CDS=1-3576, augustus_masked-ari-_s64-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-ari-_s64-processed-gene-0.31&CDS=1-3600	YJL042W, YOR227W, YPL137C
OG0000073	augustus_masked-ari-_s329-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s329-processed-gene-0.22&CDS=1-1227, augustus_masked-ari-_s350-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s350-processed-gene-0.4&CDS=1-1179, maker-ari-_s268-snap-gene-0.43-mRNA-1_1&gene=maker-ari-_s268-snap-gene-0.43&CDS=1-873	YBR207W, YER145C
OG0000074	augustus_masked-ari-_s272-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.16&CDS=1-1095, maker-ari-_s283-augustus-gene-0.0-mRNA-1_1&gene=maker-ari-_s283-augustus-gene-0.0&CDS=1-4380	YBR118W, YMR189W, YPR080W
OG0000075	augustus_masked-ari-_s3-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-0.21&CDS=1-1560, augustus_masked-ari-_s3-processed-gene-4.290-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-4.290&CDS=1-2334, genemark-ari-_s32-processed-gene-1.74-mRNA-1_1&gene=genemark-ari-_s32-processed-gene-1.74&CDS=1-1689	YGL257C, YNR059W
OG0000076	augustus_masked-ari-_s3-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-0.11&CDS=1-846, augustus_masked-ari-_s58-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-1.57&CDS=1-1851	YER165W, YHL034C, YLL046C
OG0000077	augustus_masked-ari-_s3-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-2.91&CDS=1-2496, augustus_masked-ari-_s34-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-2.116&CDS=1-2463	YDR326C, YFL042C, YHR080C
OG0000078	augustus_masked-ari-_s441-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s441-processed-gene-0.25&CDS=1-2799, snap_masked-ari-_s3-processed-gene-3.159-mRNA-1_1&gene=snap_masked-ari-_s3-processed-gene-3.159&CDS=1-2526	YDR385W, YKL173W, YOR133W
OG0000079	augustus_masked-ari-_s32-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-1.176&CDS=1-999, augustus_masked-ari-_s58-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-3.77&CDS=1-1503	YBL056W, YBR125C, YER089C
OG0000080	augustus_masked-ari-_s34-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-0.39&CDS=1-1503, maker-ari-_s9-augustus-gene-5.0-mRNA-1_1&gene=maker-ari-_s9-augustus-gene-5.0&CDS=1-1917	YMR169C, YMR170C, YOR374W
OG0000081	augustus_masked-ari-_s357-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s357-processed-gene-0.6&CDS=1-2625, augustus_masked-ari-_s9-processed-gene-5.163-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-5.163&CDS=1-2133	YFL050C, YKL064W, YOL130W
OG0000082	augustus_masked-ari-_s357-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s357-processed-gene-0.7&CDS=1-561, augustus_masked-ari-_s58-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-2.3&CDS=1-576	YDL072C, YKL065C, YMR040W
OG0000083	augustus_masked-ari-_s37-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-ari-_s37-processed-gene-0.56&CDS=1-4518	YBL017C, YIL173W, YJL222W, YNR065C
OG0000084	maker-ari-_s426-snap-gene-0.0-mRNA-1_1&gene=maker-ari-_s426-snap-gene-0.0&CDS=1-234	Q0045, Q0060, Q0065, Q0070
OG0000085	augustus_masked-ari-_s50-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-2.68&CDS=1-579	YDR533C, YMR322C, YOR391C, YPL280W
OG0000086	augustus_masked-ari-_s58-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-3.67&CDS=1-2181	YBR297W, YFL052W, YGR288W, YPR196W
OG0000087	augustus_masked-ari-_s58-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-3.68&CDS=1-1719, maker-ari-_s9-augustus-gene-3.130-mRNA-1_1&gene=maker-ari-_s9-augustus-gene-3.130&CDS=1-1860	YBR298C, YDL247W, YJR160C
OG0000088	augustus_masked-ari-_s78-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-1.59&CDS=1-2502, augustus_masked-ari-_s9-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.90&CDS=1-1887, maker-ari-_s95-augustus-gene-1.208-mRNA-1_1&gene=maker-ari-_s95-augustus-gene-1.208&CDS=1-2934	YEL015W, YEL061C
OG0000089	augustus_masked-ari-_s89-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ari-_s89-processed-gene-0.49&CDS=1-828, augustus_masked-ari-_s95-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.36&CDS=1-876	YDL127W, YDL179W, YNL289W
OG0000090		YBR067C, YDR542W, YER011W, YIL011W, YOR010C
OG0000091	augustus_masked-ari-_C29119-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C29119-processed-gene-0.2&CDS=1-330, augustus_masked-ari-_s123-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s123-processed-gene-0.4&CDS=1-1284, snap_masked-ari-_C30455-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ari-_C30455-processed-gene-0.0&CDS=1-270	YML048W
OG0000092	augustus_masked-ari-_s13-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-1.12&CDS=1-1650, snap_masked-ari-_C34463-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ari-_C34463-processed-gene-0.8&CDS=1-1995	YBR212W, YHR086W
OG0000093	augustus_masked-ari-_s1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.33&CDS=1-2823, augustus_masked-ari-_s50-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-4.61&CDS=1-2118	YER041W, YGR258C
OG0000094	augustus_masked-ari-_s106-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.57&CDS=1-2526, augustus_masked-ari-_s13-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-1.9&CDS=1-2664	YBR073W, YGL163C
OG0000095	augustus_masked-ari-_s106-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.47&CDS=1-4641, augustus_masked-ari-_s253-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-ari-_s253-processed-gene-0.108&CDS=1-5529	YHR023W, YOR326W
OG0000096	maker-ari-_s106-augustus-gene-0.36-mRNA-1_1&gene=maker-ari-_s106-augustus-gene-0.36&CDS=1-1878, maker-ari-_s117-augustus-gene-0.51-mRNA-1_1&gene=maker-ari-_s117-augustus-gene-0.51&CDS=1-2376	YNL104C, YOR108W
OG0000097	augustus_masked-ari-_s107-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.19&CDS=1-6378, snap_masked-ari-_s304-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ari-_s304-processed-gene-0.20&CDS=1-294, snap_masked-ari-_s382-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ari-_s382-processed-gene-0.9&CDS=1-294	YJL207C
OG0000098	augustus_masked-ari-_s107-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.38&CDS=1-1290, augustus_masked-ari-_s134-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-3.99&CDS=1-2310	YPL074W, YPR173C
OG0000099	augustus_masked-ari-_s107-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.12&CDS=1-1818, augustus_masked-ari-_s381-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s381-processed-gene-0.1&CDS=1-1398	YKL221W, YNL125C
OG0000100	augustus_masked-ari-_s107-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.45&CDS=1-2478, augustus_masked-ari-_s9-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-4.102&CDS=1-2244	YAR035W, YER024W
OG0000101	augustus_masked-ari-_s107-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.58&CDS=1-294, augustus_masked-ari-_s178-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s178-processed-gene-0.11&CDS=1-486	YGL089C, YPL187W
OG0000102	augustus_masked-ari-_s11-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.2&CDS=1-1833, augustus_masked-ari-_s9-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.69&CDS=1-1716	YKR008W, YLR399C
OG0000103	augustus_masked-ari-_s11-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.12&CDS=1-1353, augustus_masked-ari-_s50-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-3.79&CDS=1-1227	YLR090W, YNL064C
OG0000104	augustus_masked-ari-_s382-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s382-processed-gene-0.1&CDS=1-1359, snap_masked-ari-_s114-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ari-_s114-processed-gene-0.6&CDS=1-1374	YEL036C, YML115C
OG0000105	augustus_masked-ari-_s114-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s114-processed-gene-0.22&CDS=1-2439, augustus_masked-ari-_s341-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s341-processed-gene-0.0&CDS=1-2583	YHR154W, YMR277W
OG0000106	augustus_masked-ari-_s115-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.24&CDS=1-2379, augustus_masked-ari-_s3-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-1.49&CDS=1-5319	YER125W, YGL141W
OG0000107	augustus_masked-ari-_s117-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.90&CDS=1-2787, augustus_masked-ari-_s89-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-ari-_s89-processed-gene-0.71&CDS=1-2604	YJL092W, YOL095C
OG0000108	augustus_masked-ari-_s125-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-ari-_s125-processed-gene-0.80&CDS=1-1911, augustus_masked-ari-_s245-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-ari-_s245-processed-gene-0.181&CDS=1-603	YBR062C, YDR143C
OG0000109	augustus_masked-ari-_s125-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-ari-_s125-processed-gene-0.73&CDS=1-2319, augustus_masked-ari-_s91-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s91-processed-gene-0.28&CDS=1-2802	YJL212C, YPR194C
OG0000110	augustus_masked-ari-_s127-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s127-processed-gene-0.15&CDS=1-2055, augustus_masked-ari-_s72-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s72-processed-gene-0.3&CDS=1-2136	YJR005W, YKL135C
OG0000111	augustus_masked-ari-_s64-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-ari-_s64-processed-gene-0.35&CDS=1-330, augustus_masked-ari-_s9-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-3.8&CDS=1-4230, maker-ari-_s128-augustus-gene-0.18-mRNA-1_1&gene=maker-ari-_s128-augustus-gene-0.18&CDS=1-726	YDL112W
OG0000112	augustus_masked-ari-_s13-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-0.109&CDS=1-4374, augustus_masked-ari-_s50-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-4.97&CDS=1-4542	YDR011W, YOR153W
OG0000113	augustus_masked-ari-_s13-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-0.98&CDS=1-843, augustus_masked-ari-_s134-processed-gene-4.145-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-4.145&CDS=1-681	YIR013C, YLR013W
OG0000114	augustus_masked-ari-_s13-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.144&CDS=1-939, maker-ari-_s14-augustus-gene-0.1-mRNA-1_1&gene=maker-ari-_s14-augustus-gene-0.1&CDS=1-1881	YLR146C, YPR069C
OG0000115	augustus_masked-ari-_s13-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-3.127&CDS=1-993, augustus_masked-ari-_s442-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s442-processed-gene-0.8&CDS=1-1008	YCR034W, YLR372W
OG0000116	augustus_masked-ari-_s288-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-ari-_s288-processed-gene-0.47&CDS=1-990, maker-ari-_s13-snap-gene-3.7-mRNA-1_1&gene=maker-ari-_s13-snap-gene-3.7&CDS=1-957	YBR002C, YMR101C
OG0000117	augustus_masked-ari-_s13-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-3.134&CDS=1-198, snap_masked-ari-_s153-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ari-_s153-processed-gene-0.20&CDS=1-207	YOL077W-A, YOR020W-A
OG0000118	augustus_masked-ari-_s157-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s157-processed-gene-0.19&CDS=1-1245, maker-ari-_s13-augustus-gene-3.5-mRNA-1_1&gene=maker-ari-_s13-augustus-gene-3.5&CDS=1-3045	YGR263C, YJR002W
OG0000119	augustus_masked-ari-_s13-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-3.122&CDS=1-696, augustus_masked-ari-_s245-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-ari-_s245-processed-gene-0.180&CDS=1-903	YBR061C, YGL136C
OG0000120	augustus_masked-ari-_s13-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-4.45&CDS=1-2064, augustus_masked-ari-_s132-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s132-processed-gene-0.5&CDS=1-2385	YKR001C, YLL001W
OG0000121	augustus_masked-ari-_s13-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-5.82&CDS=1-1935, snap_masked-ari-_s46-processed-gene-0.45-mRNA-1_1&gene=snap_masked-ari-_s46-processed-gene-0.45&CDS=1-1719	YDR398W, YHR196W
OG0000122	augustus_masked-ari-_s13-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-6.123&CDS=1-1899, augustus_masked-ari-_s345-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s345-processed-gene-0.17&CDS=1-1818	YGL125W, YPL023C
OG0000123	augustus_masked-ari-_s13-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-6.134&CDS=1-1263, augustus_masked-ari-_s99-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-ari-_s99-processed-gene-0.27&CDS=1-1278, genemark-ari-_s23-processed-gene-0.42-mRNA-1_1&gene=genemark-ari-_s23-processed-gene-0.42&CDS=1-729	YDL131W
OG0000124	augustus_masked-ari-_s13-processed-gene-7.225-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-7.225&CDS=1-2907, augustus_masked-ari-_s339-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s339-processed-gene-0.28&CDS=1-1362	YIL107C, YJL155C
OG0000125	augustus_masked-ari-_s13-processed-gene-7.234-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-7.234&CDS=1-714, augustus_masked-ari-_s34-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-2.123&CDS=1-747	YGR152C, YOR101W
OG0000126	augustus_masked-ari-_s78-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-1.53&CDS=1-486, maker-ari-_s134-augustus-gene-1.103-mRNA-1_1&gene=maker-ari-_s134-augustus-gene-1.103&CDS=1-1869	YDR178W, YLR164W
OG0000127	augustus_masked-ari-_s134-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-1.81&CDS=1-1269, snap_masked-ari-_s34-processed-gene-1.125-mRNA-1_1&gene=snap_masked-ari-_s34-processed-gene-1.125&CDS=1-1128	YCL048W, YDR522C
OG0000128	augustus_masked-ari-_s134-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-2.123&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000129	augustus_masked-ari-_s3-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-0.12&CDS=1-768, maker-ari-_s134-augustus-gene-3.180-mRNA-1_1&gene=maker-ari-_s134-augustus-gene-3.180&CDS=1-1377	YFR031C-A, YIL018W
OG0000130	augustus_masked-ari-_s134-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-3.91&CDS=1-771, augustus_masked-ari-_s3-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-0.9&CDS=1-768	YHL033C, YLL045C
OG0000131	augustus_masked-ari-_s134-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-3.75&CDS=1-1431, augustus_masked-ari-_s168-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s168-processed-gene-0.9&CDS=1-1467	YBR283C, YLR378C
OG0000132	augustus_masked-ari-_s134-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-3.77&CDS=1-1305, augustus_masked-ari-_s58-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-3.87&CDS=1-1458	YER048C, YIR004W
OG0000133	augustus_masked-ari-_s134-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-3.106&CDS=1-1011, augustus_masked-ari-_s4-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.61&CDS=1-1095	YNL274C, YPL113C
OG0000134	augustus_masked-ari-_s134-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-4.112&CDS=1-1335, augustus_masked-ari-_s443-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ari-_s443-processed-gene-0.34&CDS=1-633	YIR017C, YNL103W
OG0000135	augustus_masked-ari-_s138-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-ari-_s138-processed-gene-0.30&CDS=1-876	YFL059W, YMR096W, YNL333W
OG0000136	augustus_masked-ari-_s138-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s138-processed-gene-0.25&CDS=1-702	YFL060C, YMR095C, YNL334C
OG0000137	augustus_masked-ari-_s32-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-0.72&CDS=1-4647, maker-ari-_s14-augustus-gene-0.0-mRNA-1_1&gene=maker-ari-_s14-augustus-gene-0.0&CDS=1-5049, maker-ari-_s50-augustus-gene-2.140-mRNA-1_1&gene=maker-ari-_s50-augustus-gene-2.140&CDS=1-4086	YDR135C
OG0000138	augustus_masked-ari-_s150-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s150-processed-gene-0.22&CDS=1-1044, maker-ari-_s3-augustus-gene-2.0-mRNA-1_1&gene=maker-ari-_s3-augustus-gene-2.0&CDS=1-2061	YMR303C, YOL086C
OG0000139	augustus_masked-ari-_s160-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s160-processed-gene-0.8&CDS=1-2172, augustus_masked-ari-_s303-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s303-processed-gene-0.2&CDS=1-2661	YDR258C, YLL026W
OG0000140	augustus_masked-ari-_s164-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s164-processed-gene-0.64&CDS=1-1467, augustus_masked-ari-_s217-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s217-processed-gene-0.21&CDS=1-1410	YBR263W, YLR058C
