	Candida_homilentoma	Saccharomyces_cerevisiae
OG0000043	-processed-gene-3.9-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.9&CDS=1-4182, -processed-gene-5.79-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.79&CDS=1-3048	YGL092W, YKL068W, YMR047C
OG0000044	-processed-gene-1.80-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-1.80&CDS=1-1038, -processed-gene-4.121-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.121&CDS=1-1035, -processed-gene-8.49-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.49&CDS=1-1035, -snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002316229|dbj|BCGB01000004.1|-snap-gene-2.1&CDS=1-3084	YPL088W
OG0000045	-processed-gene-18.48-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-18.48&CDS=1-3534, -processed-gene-6.43-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-6.43&CDS=1-1989, -processed-gene-8.122-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.122&CDS=1-6120	YBR260C, YER155C
OG0000046	-processed-gene-14.81-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.81&CDS=1-3069, -processed-gene-8.124-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.124&CDS=1-3468	YIL002C, YNL106C, YOR109W
OG0000047	-processed-gene-5.90-mRNA-1_1&gene=genemark-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.90&CDS=1-1758, -processed-gene-8.106-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.106&CDS=1-1794, -snap-gene-6.131-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-6.131&CDS=1-1212	YER133W, YML016C
OG0000048	-processed-gene-1.75-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-1.75&CDS=1-2385, -processed-gene-6.90-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.90&CDS=1-2421	YAL053W, YGL139W, YPL221W
OG0000049	-processed-gene-0.43-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-0.43&CDS=1-1167, -processed-gene-1.71-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-1.71&CDS=1-1104, -processed-gene-10.17-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-10.17&CDS=1-1158, -processed-gene-20.63-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.63&CDS=1-1152	YLL057C
OG0000050	-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-0.60&CDS=1-1233, -processed-gene-10.71-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.71&CDS=1-1995, -processed-gene-2.57-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-2.57&CDS=1-1731, -processed-gene-6.62-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-6.62&CDS=1-2583	YDL170W
OG0000051	-processed-gene-4.59-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-4.59&CDS=1-1386, -processed-gene-4.60-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-4.60&CDS=1-1305	YBL089W, YER119C, YIL088C
OG0000052	-augustus-gene-3.77-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-3.77&CDS=1-2418, -processed-gene-5.42-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-5.42&CDS=1-3948	YCL024W, YDR477W, YDR507C
OG0000053	-processed-gene-5.68-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.68&CDS=1-4458, -processed-gene-7.72-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-7.72&CDS=1-4497, -processed-gene-7.98-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-7.98&CDS=1-4350	YDR011W, YOR153W
OG0000054	-augustus-gene-8.8-mRNA-1_1&gene=maker-gi|1002316227|dbj|BCGB01000006.1|-augustus-gene-8.8&CDS=1-2148, -processed-gene-14.66-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-14.66&CDS=1-1611, -processed-gene-6.35-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-6.35&CDS=1-5157	YDL020C, YKL140W
OG0000055	-processed-gene-11.74-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-11.74&CDS=1-2028, -processed-gene-8.56-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.56&CDS=1-1950, -snap-gene-14.4-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-14.4&CDS=1-2748	YJL034W, YLL024C
OG0000056	-processed-gene-12.5-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.5&CDS=1-2751, -processed-gene-8.38-mRNA-1_1&gene=augustus_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.38&CDS=1-2550	YCR037C, YJL198W, YNR013C
OG0000057	-processed-gene-18.146-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.146&CDS=1-1530, -processed-gene-21.125-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-21.125&CDS=1-1647, -processed-gene-8.66-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.66&CDS=1-2073	YLR034C, YOL122C
OG0000058	-processed-gene-0.119-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-0.119&CDS=1-969, -processed-gene-0.52-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-0.52&CDS=1-984, -processed-gene-14.53-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.53&CDS=1-1032, -processed-gene-8.85-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.85&CDS=1-939	YKL128C
OG0000059	-processed-gene-11.88-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.88&CDS=1-993, -processed-gene-8.88-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.88&CDS=1-1002	YGR192C, YJL052W, YJR009C
OG0000060	-processed-gene-2.63-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-2.63&CDS=1-1047, -processed-gene-4.115-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-4.115&CDS=1-1044, -processed-gene-9.78-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-9.78&CDS=1-1104	YMR303C, YOL086C
OG0000061	-processed-gene-1.92-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-1.92&CDS=1-1389, -processed-gene-10.147-mRNA-1_1&gene=genemark-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-10.147&CDS=1-1386, -processed-gene-2.59-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-2.59&CDS=1-1458, -processed-gene-6.18-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-6.18&CDS=1-1398	YOL119C
OG0000062	-processed-gene-1.82-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-1.82&CDS=1-885, -processed-gene-4.104-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-4.104&CDS=1-855	YFR032C, YHL034C, YLL046C
OG0000063	-augustus-gene-18.63-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-18.63&CDS=1-2640, -processed-gene-4.94-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-4.94&CDS=1-2028, -processed-gene-5.61-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.61&CDS=1-1905	YMR008C, YOL011W
OG0000064	-processed-gene-19.36-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.36&CDS=1-4452, -processed-gene-6.121-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.121&CDS=1-1479	YER056C, YER060W, YER060W-A
OG0000065	-processed-gene-7.115-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.115&CDS=1-1578, -processed-gene-7.62-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.62&CDS=1-5046, -snap-gene-11.85-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-11.85&CDS=1-4872	YBR008C, YLL028W
OG0000066	-processed-gene-1.121-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-1.121&CDS=1-1668, -processed-gene-20.56-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.56&CDS=1-1716, -processed-gene-8.53-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.53&CDS=1-1641, -processed-gene-9.58-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-9.58&CDS=1-1644	YDR242W
OG0000067	-processed-gene-24.140-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.140&CDS=1-4194, -processed-gene-8.82-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.82&CDS=1-3636	YJL042W, YOR227W, YPL137C
OG0000068	-processed-gene-10.59-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-10.59&CDS=1-723	YDR533C, YMR322C, YOR391C, YPL280W
OG0000069	-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-10.92&CDS=1-2274, -processed-gene-11.213-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.213&CDS=1-2577	YML111W, YMR275C, YNR069C
OG0000070	-processed-gene-12.76-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-12.76&CDS=1-1836, -processed-gene-15.108-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.108&CDS=1-2001, -processed-gene-7.64-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-7.64&CDS=1-1974, -processed-gene-8.6-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-8.6&CDS=1-1761	YBR015C
OG0000071	-processed-gene-11.2-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-11.2&CDS=1-1980, -processed-gene-4.110-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-4.110&CDS=1-1110	YER045C, YIL036W, YNL167C
OG0000072	-processed-gene-11.32-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-11.32&CDS=1-3615, -processed-gene-19.67-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.67&CDS=1-2202, -processed-gene-23.39-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-23.39&CDS=1-2220	YER015W, YPL235W
OG0000073	-processed-gene-4.3-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-4.3&CDS=1-2943, -processed-gene-5.74-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-5.74&CDS=1-2526	YDR385W, YKL173W, YOR133W
OG0000074	-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-4.62&CDS=1-1014	YDL244W, YFL058W, YJR156C, YNL332W
OG0000075	-processed-gene-17.66-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-17.66&CDS=1-1611, -processed-gene-6.56-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-6.56&CDS=1-1638, -processed-gene-7.96-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.96&CDS=1-1644	YLR343W, YMR307W
OG0000076	-processed-gene-10.76-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-10.76&CDS=1-2031, -processed-gene-9.129-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-9.129&CDS=1-2004	YDR475C, YGR237C, YOR019W
OG0000077	-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-1.68&CDS=1-4665	YBL017C, YIL173W, YJL222W, YNR065C
OG0000078	-processed-gene-16.57-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.57&CDS=1-1245, -processed-gene-6.72-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-6.72&CDS=1-1047	YNL283C, YOL105C, YOR008C
OG0000079	-processed-gene-11.67-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-11.67&CDS=1-1230, -processed-gene-16.79-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.79&CDS=1-1308	YCR094W, YNL323W, YNR048W
OG0000080		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000081	-processed-gene-0.34-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.34&CDS=1-801, -processed-gene-19.13-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.13&CDS=1-801	YDL049C, YJL174W
OG0000082	-processed-gene-16.118-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-16.118&CDS=1-1074, -processed-gene-2.114-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-2.114&CDS=1-3228	YPL150W, YPL209C
OG0000083	-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-3.96&CDS=1-1452, -processed-gene-6.2-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-6.2&CDS=1-1587	YIL120W, YIL121W
OG0000084	-processed-gene-3.140-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-3.140&CDS=1-1485, -processed-gene-5.94-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.94&CDS=1-1839	YDR505C, YLR177W
OG0000085	-processed-gene-16.89-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-16.89&CDS=1-1782, -processed-gene-4.49-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-4.49&CDS=1-1155	YLR273C, YOR178C
OG0000086	-processed-gene-4.56-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-4.56&CDS=1-1674, -processed-gene-5.20-mRNA-1_1&gene=augustus_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-5.20&CDS=1-1455	YDR256C, YGR088W
OG0000087	-augustus-gene-5.86-mRNA-1_1&gene=maker-gi|1002316225|dbj|BCGB01000008.1|-augustus-gene-5.86&CDS=1-843, -processed-gene-14.61-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-14.61&CDS=1-1305	YDR218C, YLR314C
OG0000088	-processed-gene-2.87-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.87&CDS=1-3003, -processed-gene-6.6-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-6.6&CDS=1-1968	YER041W, YGR258C
OG0000089	-processed-gene-21.70-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-21.70&CDS=1-7962, -processed-gene-7.162-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-7.162&CDS=1-7911	YLR454W, YPR117W
OG0000090	-processed-gene-2.40-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-2.40&CDS=1-5772, -processed-gene-7.199-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-7.199&CDS=1-6060	YER172C, YGR271W
OG0000091	-processed-gene-0.96-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-0.96&CDS=1-1419, -processed-gene-7.222-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-7.222&CDS=1-1428	YJL081C, YPR034W
OG0000092	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-0.36&CDS=1-1638, -processed-gene-12.105-mRNA-1_1&gene=genemark-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-12.105&CDS=1-1638	YBR239C, YJL103C
OG0000093	-processed-gene-14.48-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.48&CDS=1-2691, -processed-gene-2.139-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.139&CDS=1-2037	YER075C, YOR208W
OG0000094	-processed-gene-17.41-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.41&CDS=1-2349, -processed-gene-3.17-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.17&CDS=1-2409	YJL200C, YLR304C
OG0000095	-processed-gene-15.11-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-15.11&CDS=1-2028, -processed-gene-4.122-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.122&CDS=1-1983, -processed-gene-9.62-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-9.62&CDS=1-2067	YPR159W
OG0000096	-processed-gene-5.81-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.81&CDS=1-1143, -processed-gene-5.82-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.82&CDS=1-1062	YCL036W, YDR514C
OG0000097	-processed-gene-0.111-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-0.111&CDS=1-1716, -processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-0.16&CDS=1-1662, -processed-gene-5.62-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.62&CDS=1-1659	YOR348C
OG0000098	-processed-gene-24.0-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.0&CDS=1-1980, -snap-gene-5.106-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-snap-gene-5.106&CDS=1-2184	YER109C, YMR164C
OG0000099	-processed-gene-5.94-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.94&CDS=1-1101, -processed-gene-7.55-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.55&CDS=1-1041	YER107C, YOR026W
OG0000100	-processed-gene-6.54-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.54&CDS=1-1134, -processed-gene-7.125-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.125&CDS=1-1191	YKR042W, YNL066W
OG0000101	-processed-gene-0.115-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-0.115&CDS=1-1035, -processed-gene-11.126-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.126&CDS=1-1032, -processed-gene-6.57-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.57&CDS=1-1035	YPR127W
OG0000102	-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-5.100&CDS=1-1656, -processed-gene-7.84-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.84&CDS=1-1653	YIR031C, YNL117W
OG0000103	-processed-gene-7.57-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-7.57&CDS=1-1779, -processed-gene-8.87-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.87&CDS=1-1653	YDR037W, YNL073W
OG0000104	-augustus-gene-8.69-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-augustus-gene-8.69&CDS=1-2952, -processed-gene-18.79-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.79&CDS=1-2565	YBL008W, YOR038C
OG0000105	-processed-gene-0.67-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-0.67&CDS=1-1791, -processed-gene-8.135-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.135&CDS=1-1788	YGL003C, YGL116W
OG0000106	-processed-gene-11.0-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-11.0&CDS=1-2391, -processed-gene-8.114-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.114&CDS=1-2451	YAR035W, YER024W
OG0000107	-processed-gene-1.65-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-1.65&CDS=1-1656, -processed-gene-10.42-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.42&CDS=1-1827	YKL139W, YPR161C
OG0000108	-processed-gene-2.67-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-2.67&CDS=1-5319, -processed-gene-2.88-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-2.88&CDS=1-5721	YGR184C, YLR024C
OG0000109	-processed-gene-1.68-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-1.68&CDS=1-1365, -processed-gene-4.51-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-4.51&CDS=1-1278	YGL194C, YPR068C
OG0000110	-processed-gene-13.17-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-13.17&CDS=1-2508, -processed-gene-7.57-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-7.57&CDS=1-3261	YDR466W, YDR490C
OG0000111	-processed-gene-0.16-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-0.16&CDS=1-1536, -processed-gene-8.32-mRNA-1_1&gene=augustus_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.32&CDS=1-2001	YEL047C, YJR051W
OG0000112	-processed-gene-8.77-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.77&CDS=1-2454, -processed-gene-9.97-mRNA-1_1&gene=augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-9.97&CDS=1-2937	YBR073W, YGL163C
OG0000113	-processed-gene-4.23-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-4.23&CDS=1-1584, -processed-gene-8.59-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.59&CDS=1-1749, -processed-gene-9.102-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-9.102&CDS=1-1629	YML054C
OG0000114	-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.110&CDS=1-7167, -processed-gene-8.60-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.60&CDS=1-4704	YHR023W, YOR326W
OG0000115	-processed-gene-2.106-mRNA-1_1&gene=genemark-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-2.106&CDS=1-2829, -processed-gene-8.25-mRNA-1_1&gene=augustus_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-8.25&CDS=1-1542	YBR033W, YKL038W
OG0000116	-processed-gene-2.15-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-2.15&CDS=1-1644, -processed-gene-9.51-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-9.51&CDS=1-1611	YGR249W, YOR140W
OG0000117	-processed-gene-1.85-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-1.85&CDS=1-1629, -processed-gene-7.67-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-7.67&CDS=1-1614, -processed-gene-9.99-mRNA-1_1&gene=augustus_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-9.99&CDS=1-1722	YIL166C
