	Lachancea_dasiensis	Saccharomyces_cerevisiae
OG0000083	augustus_masked-LADA0D-processed-gene-9.63-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-9.63&CDS=1-4083, genemark-LADA0G-processed-gene-10.146-mRNA-1_1&gene=genemark-LADA0G-processed-gene-10.146&CDS=1-2055	YKR001C, YLL001W
OG0000084	genemark-LADA0D-processed-gene-10.154-mRNA-1_1&gene=genemark-LADA0D-processed-gene-10.154&CDS=1-1551	YER056C, YER060W, YER060W-A
OG0000085	augustus_masked-LADA0G-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-10.90&CDS=1-2838, genemark-LADA0E-processed-gene-0.92-mRNA-1_1&gene=genemark-LADA0E-processed-gene-0.92&CDS=1-2595	YHL007C, YNL298W
OG0000086	genemark-LADA0E-processed-gene-1.112-mRNA-1_1&gene=genemark-LADA0E-processed-gene-1.112&CDS=1-1176, maker-LADA0E-snap-gene-1.95-mRNA-1_1&gene=maker-LADA0E-snap-gene-1.95&CDS=1-1818	YGR012W, YJL063C
OG0000087	snap_masked-LADA0E-processed-gene-1.65-mRNA-1_1&gene=snap_masked-LADA0E-processed-gene-1.65&CDS=1-3855, snap_masked-LADA0G-processed-gene-12.88-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-12.88&CDS=1-5808	YDR420W, YGR014W
OG0000088	genemark-LADA0E-processed-gene-2.24-mRNA-1_1&gene=genemark-LADA0E-processed-gene-2.24&CDS=1-2319, genemark-LADA0E-processed-gene-5.36-mRNA-1_1&gene=genemark-LADA0E-processed-gene-5.36&CDS=1-1695	YDL025C, YNL183C
OG0000089	genemark-LADA0E-processed-gene-3.4-mRNA-1_1&gene=genemark-LADA0E-processed-gene-3.4&CDS=1-1755	YOL055C, YPL258C, YPR121W
OG0000090	genemark-LADA0E-processed-gene-11.3-mRNA-1_1&gene=genemark-LADA0E-processed-gene-11.3&CDS=1-1917, genemark-LADA0E-processed-gene-3.7-mRNA-1_1&gene=genemark-LADA0E-processed-gene-3.7&CDS=1-2223	YJR045C, YLR369W
OG0000091	augustus_masked-LADA0E-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-LADA0E-processed-gene-3.112&CDS=1-7719, snap_masked-LADA0H-processed-gene-8.109-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-8.109&CDS=1-7113	YLR454W, YPR117W
OG0000092	genemark-LADA0E-processed-gene-11.5-mRNA-1_1&gene=genemark-LADA0E-processed-gene-11.5&CDS=1-813, genemark-LADA0E-processed-gene-3.13-mRNA-1_1&gene=genemark-LADA0E-processed-gene-3.13&CDS=1-852	YDL049C, YJL174W
OG0000093	genemark-LADA0E-processed-gene-4.11-mRNA-1_1&gene=genemark-LADA0E-processed-gene-4.11&CDS=1-1797, snap_masked-LADA0F-processed-gene-2.19-mRNA-1_1&gene=snap_masked-LADA0F-processed-gene-2.19&CDS=1-1557	YDR131C, YJL149W
OG0000094	maker-LADA0E-augustus-gene-6.107-mRNA-1_1&gene=maker-LADA0E-augustus-gene-6.107&CDS=1-1437	YDR155C, YDR304C, YHR057C
OG0000095	genemark-LADA0E-processed-gene-7.10-mRNA-1_1&gene=genemark-LADA0E-processed-gene-7.10&CDS=1-2031, genemark-LADA0H-processed-gene-13.4-mRNA-1_1&gene=genemark-LADA0H-processed-gene-13.4&CDS=1-2595	YHR031C, YML061C
OG0000096	genemark-LADA0E-processed-gene-7.31-mRNA-1_1&gene=genemark-LADA0E-processed-gene-7.31&CDS=1-5577, genemark-LADA0F-processed-gene-7.84-mRNA-1_1&gene=genemark-LADA0F-processed-gene-7.84&CDS=1-4677	YHR023W, YOR326W
OG0000097	genemark-LADA0E-processed-gene-8.132-mRNA-1_1&gene=genemark-LADA0E-processed-gene-8.132&CDS=1-1377, genemark-LADA0E-processed-gene-9.109-mRNA-1_1&gene=genemark-LADA0E-processed-gene-9.109&CDS=1-1236	YNL064C, YNL077W
OG0000098	genemark-LADA0E-processed-gene-9.85-mRNA-1_1&gene=genemark-LADA0E-processed-gene-9.85&CDS=1-2037, genemark-LADA0H-processed-gene-2.79-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.79&CDS=1-1995	YIL130W, YJL206C
OG0000099	genemark-LADA0E-processed-gene-9.87-mRNA-1_1&gene=genemark-LADA0E-processed-gene-9.87&CDS=1-3942, genemark-LADA0G-processed-gene-5.26-mRNA-1_1&gene=genemark-LADA0G-processed-gene-5.26&CDS=1-4731	YIL126W, YOR290C
OG0000100	genemark-LADA0E-processed-gene-10.123-mRNA-1_1&gene=genemark-LADA0E-processed-gene-10.123&CDS=1-309, genemark-LADA0F-processed-gene-5.42-mRNA-1_1&gene=genemark-LADA0F-processed-gene-5.42&CDS=1-309	YBR009C, YNL030W
OG0000101	augustus_masked-LADA0E-processed-gene-13.67-mRNA-1_1&gene=augustus_masked-LADA0E-processed-gene-13.67&CDS=1-2529, augustus_masked-LADA0F-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-LADA0F-processed-gene-7.61&CDS=1-2541	YAL051W, YOR363C
OG0000102	genemark-LADA0E-processed-gene-13.27-mRNA-1_1&gene=genemark-LADA0E-processed-gene-13.27&CDS=1-1665, genemark-LADA0H-processed-gene-17.206-mRNA-1_1&gene=genemark-LADA0H-processed-gene-17.206&CDS=1-1659, genemark-LADA0H-processed-gene-5.41-mRNA-1_1&gene=genemark-LADA0H-processed-gene-5.41&CDS=1-1710	YDR242W
OG0000103	genemark-LADA0F-processed-gene-0.88-mRNA-1_1&gene=genemark-LADA0F-processed-gene-0.88&CDS=1-1758, genemark-LADA0H-processed-gene-4.94-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.94&CDS=1-1770, maker-LADA0G-snap-gene-14.170-mRNA-1_1&gene=maker-LADA0G-snap-gene-14.170&CDS=1-5748	YJL216C
OG0000104	genemark-LADA0F-processed-gene-1.34-mRNA-1_1&gene=genemark-LADA0F-processed-gene-1.34&CDS=1-1725	YDR144C, YLR120C, YLR121C
OG0000105	genemark-LADA0F-processed-gene-2.100-mRNA-1_1&gene=genemark-LADA0F-processed-gene-2.100&CDS=1-2835, genemark-LADA0F-processed-gene-7.91-mRNA-1_1&gene=genemark-LADA0F-processed-gene-7.91&CDS=1-1959	YLR098C, YOR337W
OG0000106	genemark-LADA0F-processed-gene-5.10-mRNA-1_1&gene=genemark-LADA0F-processed-gene-5.10&CDS=1-2892, maker-LADA0H-augustus-gene-5.140-mRNA-1_1&gene=maker-LADA0H-augustus-gene-5.140&CDS=1-3630	YMR266W, YOL084W
OG0000107	genemark-LADA0F-processed-gene-5.17-mRNA-1_1&gene=genemark-LADA0F-processed-gene-5.17&CDS=1-1866, genemark-LADA0H-processed-gene-3.11-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.11&CDS=1-1683	YBR015C, YJL186W
OG0000108	genemark-LADA0F-processed-gene-7.79-mRNA-1_1&gene=genemark-LADA0F-processed-gene-7.79&CDS=1-2232, genemark-LADA0F-processed-gene-9.42-mRNA-1_1&gene=genemark-LADA0F-processed-gene-9.42&CDS=1-2253	YAL023C, YGR199W
OG0000109	genemark-LADA0F-processed-gene-8.116-mRNA-1_1&gene=genemark-LADA0F-processed-gene-8.116&CDS=1-486, genemark-LADA0H-processed-gene-5.42-mRNA-1_1&gene=genemark-LADA0H-processed-gene-5.42&CDS=1-777	YPR013C, YPR015C
OG0000110	genemark-LADA0H-processed-gene-3.19-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.19&CDS=1-1635, maker-LADA0G-snap-gene-3.0-mRNA-1_1&gene=maker-LADA0G-snap-gene-3.0&CDS=1-1044	YER133W, YPL179W
OG0000111	genemark-LADA0G-processed-gene-4.108-mRNA-1_1&gene=genemark-LADA0G-processed-gene-4.108&CDS=1-1206, genemark-LADA0H-processed-gene-17.170-mRNA-1_1&gene=genemark-LADA0H-processed-gene-17.170&CDS=1-1200	YHR179W, YPL171C
OG0000112	augustus_masked-LADA0G-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-5.108&CDS=1-390, genemark-LADA0H-processed-gene-3.30-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.30&CDS=1-390	YJL190C, YLR367W
OG0000113	genemark-LADA0G-processed-gene-6.51-mRNA-1_1&gene=genemark-LADA0G-processed-gene-6.51&CDS=1-4299, genemark-LADA0H-processed-gene-5.24-mRNA-1_1&gene=genemark-LADA0H-processed-gene-5.24&CDS=1-3756	YDR164C, YNR067C
OG0000114	genemark-LADA0G-processed-gene-9.31-mRNA-1_1&gene=genemark-LADA0G-processed-gene-9.31&CDS=1-666	YFL060C, YMR095C, YNL334C
OG0000115	genemark-LADA0G-processed-gene-10.110-mRNA-1_1&gene=genemark-LADA0G-processed-gene-10.110&CDS=1-3615, snap_masked-LADA0H-processed-gene-1.105-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-1.105&CDS=1-3498	YDR507C, YKL101W
OG0000116	augustus_masked-LADA0H-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-0.1&CDS=1-405	YCL067C, YCR039C, YCR096C
OG0000117	genemark-LADA0H-processed-gene-12.103-mRNA-1_1&gene=genemark-LADA0H-processed-gene-12.103&CDS=1-1272, genemark-LADA0H-processed-gene-14.8-mRNA-1_1&gene=genemark-LADA0H-processed-gene-14.8&CDS=1-1233	YDL066W, YLR174W
OG0000118	genemark-LADA0H-processed-gene-12.118-mRNA-1_1&gene=genemark-LADA0H-processed-gene-12.118&CDS=1-1572	YHR216W, YLR432W, YML056C
OG0000119	augustus_masked-LADA0H-processed-gene-16.67-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-16.67&CDS=1-2724, genemark-LADA0H-processed-gene-16.125-mRNA-1_1&gene=genemark-LADA0H-processed-gene-16.125&CDS=1-2922	YJR061W, YKL201C
OG0000120		YBR297W, YFL052W, YGR288W, YPR196W
OG0000121	genemark-LADA0A-processed-gene-0.86-mRNA-1_1&gene=genemark-LADA0A-processed-gene-0.86&CDS=1-723, genemark-LADA0F-processed-gene-14.93-mRNA-1_1&gene=genemark-LADA0F-processed-gene-14.93&CDS=1-723	YAL049C
OG0000122	augustus_masked-LADA0A-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-1.143&CDS=1-834	YKR075C, YOR062C
OG0000123	augustus_masked-LADA0A-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-1.132&CDS=1-1215	YDR277C, YOR047C
OG0000124	genemark-LADA0A-processed-gene-2.13-mRNA-1_1&gene=genemark-LADA0A-processed-gene-2.13&CDS=1-1731, genemark-LADA0E-processed-gene-3.14-mRNA-1_1&gene=genemark-LADA0E-processed-gene-3.14&CDS=1-1716	YJL172W
OG0000125	augustus_masked-LADA0A-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-3.131&CDS=1-2316	YBR214W, YGL056C
OG0000126	genemark-LADA0A-processed-gene-4.6-mRNA-1_1&gene=genemark-LADA0A-processed-gene-4.6&CDS=1-1338, genemark-LADA0C-processed-gene-10.229-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.229&CDS=1-1344	YER152C
OG0000127	augustus_masked-LADA0A-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-4.129&CDS=1-1374	YER054C, YIL045W
OG0000128	genemark-LADA0A-processed-gene-5.19-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.19&CDS=1-2214, genemark-LADA0D-processed-gene-11.3-mRNA-1_1&gene=genemark-LADA0D-processed-gene-11.3&CDS=1-1611	YJL110C
OG0000129	genemark-LADA0A-processed-gene-6.33-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.33&CDS=1-2076, genemark-LADA0F-processed-gene-0.114-mRNA-1_1&gene=genemark-LADA0F-processed-gene-0.114&CDS=1-2064	YBR019C
OG0000130	genemark-LADA0A-processed-gene-6.40-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.40&CDS=1-2331, genemark-LADA0G-processed-gene-6.84-mRNA-1_1&gene=genemark-LADA0G-processed-gene-6.84&CDS=1-2286	YJR126C
OG0000131	augustus_masked-LADA0A-processed-gene-7.40-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.40&CDS=1-783	YHR203C, YJR145C
OG0000132	augustus_masked-LADA0A-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.48&CDS=1-2490	YAL056W, YOR371C
OG0000133	genemark-LADA0A-processed-gene-7.198-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.198&CDS=1-1383	YAL062W, YOR375C
OG0000134	genemark-LADA0A-processed-gene-7.200-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.200&CDS=1-1149, genemark-LADA0F-processed-gene-11.103-mRNA-1_1&gene=genemark-LADA0F-processed-gene-11.103&CDS=1-1134	YHR112C
OG0000135	maker-LADA0B-augustus-gene-1.43-mRNA-1_1&gene=maker-LADA0B-augustus-gene-1.43&CDS=1-435	YGR243W, YHR162W
OG0000136	genemark-LADA0B-processed-gene-1.34-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.34&CDS=1-1059, genemark-LADA0D-processed-gene-11.29-mRNA-1_1&gene=genemark-LADA0D-processed-gene-11.29&CDS=1-936	YER185W
OG0000137	genemark-LADA0B-processed-gene-2.135-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.135&CDS=1-2151	YJR059W, YKL198C
OG0000138	genemark-LADA0B-processed-gene-3.131-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.131&CDS=1-2526	YDR385W, YOR133W
OG0000139	genemark-LADA0B-processed-gene-4.26-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.26&CDS=1-504	YGR131W, YPR149W
OG0000140	augustus_masked-LADA0B-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-4.85&CDS=1-435	YGR118W, YPR132W
OG0000141	genemark-LADA0B-processed-gene-5.46-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.46&CDS=1-900, genemark-LADA0E-processed-gene-0.114-mRNA-1_1&gene=genemark-LADA0E-processed-gene-0.114&CDS=1-909	YKL107W
OG0000142	genemark-LADA0B-processed-gene-6.94-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.94&CDS=1-1356, genemark-LADA0H-processed-gene-12.120-mRNA-1_1&gene=genemark-LADA0H-processed-gene-12.120&CDS=1-1302	YLR438W
OG0000143	genemark-LADA0B-processed-gene-6.130-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.130&CDS=1-468	YBR048W, YDR025W
OG0000144	genemark-LADA0B-processed-gene-6.115-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.115&CDS=1-1761	YLL061W, YPL274W
OG0000145	genemark-LADA0B-processed-gene-7.45-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.45&CDS=1-1278	YNL283C, YOL105C
OG0000146	genemark-LADA0B-processed-gene-8.29-mRNA-1_1&gene=genemark-LADA0B-processed-gene-8.29&CDS=1-1440, genemark-LADA0E-processed-gene-11.37-mRNA-1_1&gene=genemark-LADA0E-processed-gene-11.37&CDS=1-1329	YKL221W
OG0000147	snap_masked-LADA0B-processed-gene-8.131-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-8.131&CDS=1-2724	YBR150C, YOL089C
OG0000148	augustus_masked-LADA0B-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-8.84&CDS=1-201	YLR264W, YOR167C
OG0000149	genemark-LADA0B-processed-gene-9.202-mRNA-1_1&gene=genemark-LADA0B-processed-gene-9.202&CDS=1-1173, genemark-LADA0F-processed-gene-0.109-mRNA-1_1&gene=genemark-LADA0F-processed-gene-0.109&CDS=1-1146	YGL255W
OG0000150	genemark-LADA0B-processed-gene-9.204-mRNA-1_1&gene=genemark-LADA0B-processed-gene-9.204&CDS=1-3837, genemark-LADA0D-processed-gene-11.26-mRNA-1_1&gene=genemark-LADA0D-processed-gene-11.26&CDS=1-3882	YKL215C
OG0000151	genemark-LADA0B-processed-gene-9.238-mRNA-1_1&gene=genemark-LADA0B-processed-gene-9.238&CDS=1-1455, snap_masked-LADA0D-processed-gene-8.59-mRNA-1_1&gene=snap_masked-LADA0D-processed-gene-8.59&CDS=1-1530	YGR260W
OG0000152	genemark-LADA0F-processed-gene-0.89-mRNA-1_1&gene=genemark-LADA0F-processed-gene-0.89&CDS=1-1932, maker-LADA0C-snap-gene-0.117-mRNA-1_1&gene=maker-LADA0C-snap-gene-0.117&CDS=1-2157	YDR213W
OG0000153	maker-LADA0C-augustus-gene-1.140-mRNA-1_1&gene=maker-LADA0C-augustus-gene-1.140&CDS=1-1203	YDR185C, YLR168C
OG0000154	genemark-LADA0C-processed-gene-1.31-mRNA-1_1&gene=genemark-LADA0C-processed-gene-1.31&CDS=1-516	YDR178W, YLR164W
OG0000155	genemark-LADA0C-processed-gene-2.96-mRNA-1_1&gene=genemark-LADA0C-processed-gene-2.96&CDS=1-1509	YMR169C, YMR170C
OG0000156	genemark-LADA0C-processed-gene-2.118-mRNA-1_1&gene=genemark-LADA0C-processed-gene-2.118&CDS=1-522	YGR085C, YPR102C
OG0000157	genemark-LADA0C-processed-gene-3.40-mRNA-1_1&gene=genemark-LADA0C-processed-gene-3.40&CDS=1-1374	YBR118W, YPR080W
OG0000158	maker-LADA0C-augustus-gene-3.53-mRNA-1_1&gene=maker-LADA0C-augustus-gene-3.53&CDS=1-3186	YGR092W, YPR111W
OG0000159	genemark-LADA0C-processed-gene-5.72-mRNA-1_1&gene=genemark-LADA0C-processed-gene-5.72&CDS=1-2358	YOR256C, YPL176C
OG0000160	augustus_masked-LADA0C-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-6.34&CDS=1-498, maker-LADA0D-augustus-gene-2.135-mRNA-1_1&gene=maker-LADA0D-augustus-gene-2.135&CDS=1-798	YPL148C
OG0000161	genemark-LADA0C-processed-gene-6.93-mRNA-1_1&gene=genemark-LADA0C-processed-gene-6.93&CDS=1-1248	YOR237W, YPL145C
OG0000162	genemark-LADA0C-processed-gene-6.68-mRNA-1_1&gene=genemark-LADA0C-processed-gene-6.68&CDS=1-369	YOR234C, YPL143W
OG0000163	augustus_masked-LADA0C-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-6.42&CDS=1-1362	YOR231W, YPL140C
OG0000164	genemark-LADA0C-processed-gene-6.98-mRNA-1_1&gene=genemark-LADA0C-processed-gene-6.98&CDS=1-1365	YOR229W, YOR230W
OG0000165	augustus_masked-LADA0C-processed-gene-7.125-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-7.125&CDS=1-6081, genemark-LADA0F-processed-gene-10.6-mRNA-1_1&gene=genemark-LADA0F-processed-gene-10.6&CDS=1-2631	YER070W
OG0000166	genemark-LADA0C-processed-gene-7.28-mRNA-1_1&gene=genemark-LADA0C-processed-gene-7.28&CDS=1-1662, genemark-LADA0G-processed-gene-9.1-mRNA-1_1&gene=genemark-LADA0G-processed-gene-9.1&CDS=1-1662	YJR152W
OG0000167	genemark-LADA0C-processed-gene-8.100-mRNA-1_1&gene=genemark-LADA0C-processed-gene-8.100&CDS=1-1755	YNL098C, YOR101W
OG0000168	genemark-LADA0C-processed-gene-8.109-mRNA-1_1&gene=genemark-LADA0C-processed-gene-8.109&CDS=1-3057	YGL049C, YGR162W
OG0000169	genemark-LADA0C-processed-gene-8.134-mRNA-1_1&gene=genemark-LADA0C-processed-gene-8.134&CDS=1-2202	YJL099W, YKR027W
OG0000170	snap_masked-LADA0C-processed-gene-9.120-mRNA-1_1&gene=snap_masked-LADA0C-processed-gene-9.120&CDS=1-1596	YGR041W, YLR353W
OG0000171	genemark-LADA0C-processed-gene-9.35-mRNA-1_1&gene=genemark-LADA0C-processed-gene-9.35&CDS=1-396	YGR034W, YLR344W
OG0000172	genemark-LADA0C-processed-gene-10.185-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.185&CDS=1-321	YGR027C, YLR333C
OG0000173	augustus_masked-LADA0C-processed-gene-10.150-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-10.150&CDS=1-924, snap_masked-LADA0G-processed-gene-2.41-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-2.41&CDS=1-744	YIL119C
OG0000174	genemark-LADA0C-processed-gene-10.247-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.247&CDS=1-1524, genemark-LADA0H-processed-gene-15.19-mRNA-1_1&gene=genemark-LADA0H-processed-gene-15.19&CDS=1-1680	YFL040W
OG0000175	genemark-LADA0C-processed-gene-10.251-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.251&CDS=1-1065	YDL246C, YJR159W
OG0000176	maker-LADA0C-augustus-gene-10.3-mRNA-1_1&gene=maker-LADA0C-augustus-gene-10.3&CDS=1-987	YNL301C, YOL120C
OG0000177	snap_masked-LADA0C-processed-gene-10.34-mRNA-1_1&gene=snap_masked-LADA0C-processed-gene-10.34&CDS=1-180	YPR169W-A, YPR170W-B
OG0000178	genemark-LADA0C-processed-gene-10.230-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.230&CDS=1-1029, genemark-LADA0F-processed-gene-0.106-mRNA-1_1&gene=genemark-LADA0F-processed-gene-0.106&CDS=1-1029	YOL151W
OG0000179	genemark-LADA0D-processed-gene-0.86-mRNA-1_1&gene=genemark-LADA0D-processed-gene-0.86&CDS=1-1482	YGR197C, YJR015W
OG0000180	augustus_masked-LADA0D-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-0.61&CDS=1-618	YGL089C, YPL187W
OG0000181	genemark-LADA0D-processed-gene-1.54-mRNA-1_1&gene=genemark-LADA0D-processed-gene-1.54&CDS=1-1734, genemark-LADA0F-processed-gene-0.110-mRNA-1_1&gene=genemark-LADA0F-processed-gene-0.110&CDS=1-1683	YDL210W
OG0000182	augustus_masked-LADA0D-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-2.48&CDS=1-279	YBR089C-A, YPR052C
OG0000183	genemark-LADA0D-processed-gene-2.14-mRNA-1_1&gene=genemark-LADA0D-processed-gene-2.14&CDS=1-693	YBL027W, YBR084C-A
OG0000184	genemark-LADA0D-processed-gene-2.37-mRNA-1_1&gene=genemark-LADA0D-processed-gene-2.37&CDS=1-2925, genemark-LADA0F-processed-gene-9.40-mRNA-1_1&gene=genemark-LADA0F-processed-gene-9.40&CDS=1-2841	YBR084W
OG0000185	augustus_masked-LADA0D-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-3.96&CDS=1-708	YBR181C, YPL090C
OG0000186	maker-LADA0D-augustus-gene-4.95-mRNA-1_1&gene=maker-LADA0D-augustus-gene-4.95&CDS=1-1044	YBR189W, YPL081W
OG0000187	genemark-LADA0D-processed-gene-4.45-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.45&CDS=1-2460, genemark-LADA0G-processed-gene-6.79-mRNA-1_1&gene=genemark-LADA0G-processed-gene-6.79&CDS=1-2493	YDR160W
OG0000188	genemark-LADA0D-processed-gene-5.7-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.7&CDS=1-1263, genemark-LADA0H-processed-gene-17.193-mRNA-1_1&gene=genemark-LADA0H-processed-gene-17.193&CDS=1-1236	YPL048W
OG0000189	genemark-LADA0D-processed-gene-6.103-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.103&CDS=1-1656	YIR031C, YNL117W
OG0000190	augustus_masked-LADA0D-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-7.63&CDS=1-1845	YHR123W, YNL130C
OG0000191	augustus_masked-LADA0D-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-8.22&CDS=1-2277	YKL072W, YMR053C
OG0000192	genemark-LADA0D-processed-gene-10.131-mRNA-1_1&gene=genemark-LADA0D-processed-gene-10.131&CDS=1-747	YER062C, YIL053W
OG0000193	genemark-LADA0D-processed-gene-10.155-mRNA-1_1&gene=genemark-LADA0D-processed-gene-10.155&CDS=1-1482	YER059W, YIL050W
OG0000194	maker-LADA0D-augustus-gene-10.63-mRNA-1_1&gene=maker-LADA0D-augustus-gene-10.63&CDS=1-663	YER056C-A, YIL052C
OG0000195	genemark-LADA0D-processed-gene-11.6-mRNA-1_1&gene=genemark-LADA0D-processed-gene-11.6&CDS=1-1092	YBR031W, YDR012W
OG0000196	augustus_masked-LADA0D-processed-gene-11.201-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-11.201&CDS=1-5586	YAR042W, YDL019C
OG0000197	genemark-LADA0D-processed-gene-11.25-mRNA-1_1&gene=genemark-LADA0D-processed-gene-11.25&CDS=1-783, genemark-LADA0G-processed-gene-1.26-mRNA-1_1&gene=genemark-LADA0G-processed-gene-1.26&CDS=1-729	YIR042C
OG0000198	genemark-LADA0D-processed-gene-11.65-mRNA-1_1&gene=genemark-LADA0D-processed-gene-11.65&CDS=1-1854, genemark-LADA0G-processed-gene-14.80-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.80&CDS=1-1854	YHL047C
OG0000199	genemark-LADA0D-processed-gene-11.30-mRNA-1_1&gene=genemark-LADA0D-processed-gene-11.30&CDS=1-1785	YOR389W, YPL277C
OG0000200	genemark-LADA0E-processed-gene-0.84-mRNA-1_1&gene=genemark-LADA0E-processed-gene-0.84&CDS=1-1389, genemark-LADA0E-processed-gene-0.91-mRNA-1_1&gene=genemark-LADA0E-processed-gene-0.91&CDS=1-1389	YHR018C
OG0000201	genemark-LADA0E-processed-gene-1.130-mRNA-1_1&gene=genemark-LADA0E-processed-gene-1.130&CDS=1-1590	YBR270C, YJL058C
OG0000202	genemark-LADA0E-processed-gene-1.111-mRNA-1_1&gene=genemark-LADA0E-processed-gene-1.111&CDS=1-1404	YGR010W, YLR328W
OG0000203	genemark-LADA0E-processed-gene-1.136-mRNA-1_1&gene=genemark-LADA0E-processed-gene-1.136&CDS=1-612	YLR029C, YMR121C
OG0000204	genemark-LADA0E-processed-gene-2.31-mRNA-1_1&gene=genemark-LADA0E-processed-gene-2.31&CDS=1-987	YHR139C, YNL160W
OG0000205	snap_masked-LADA0E-processed-gene-2.135-mRNA-1_1&gene=snap_masked-LADA0E-processed-gene-2.135&CDS=1-318	YHR141C, YNL162W
OG0000206	genemark-LADA0E-processed-gene-2.21-mRNA-1_1&gene=genemark-LADA0E-processed-gene-2.21&CDS=1-1140, genemark-LADA0F-processed-gene-4.81-mRNA-1_1&gene=genemark-LADA0F-processed-gene-4.81&CDS=1-1950	YLR286C
OG0000207	genemark-LADA0E-processed-gene-2.45-mRNA-1_1&gene=genemark-LADA0E-processed-gene-2.45&CDS=1-2244	YHR146W, YNL173C
OG0000208	genemark-LADA0E-processed-gene-3.2-mRNA-1_1&gene=genemark-LADA0E-processed-gene-3.2&CDS=1-909	YDL021W, YOL056W
OG0000209	genemark-LADA0E-processed-gene-3.23-mRNA-1_1&gene=genemark-LADA0E-processed-gene-3.23&CDS=1-1350	YDR312W, YHR066W
OG0000210	genemark-LADA0E-processed-gene-3.12-mRNA-1_1&gene=genemark-LADA0E-processed-gene-3.12&CDS=1-552	YJL177W, YKL180W
OG0000211	genemark-LADA0E-processed-gene-4.40-mRNA-1_1&gene=genemark-LADA0E-processed-gene-4.40&CDS=1-1188	YJL138C, YKR059W
OG0000212	augustus_masked-LADA0E-processed-gene-4.138-mRNA-1_1&gene=augustus_masked-LADA0E-processed-gene-4.138&CDS=1-1146	YJL137C, YKR058W
