	Saccharomyces_cerevisiae	Vanderwaltozyma_polyspora
OG0000066	YGL049C, YGR162W	augustus_masked-NW_001834641.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NW_001834641.1-processed-gene-0.40&CDS=1-2529, augustus_masked-NW_001834659.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NW_001834659.1-processed-gene-0.75&CDS=1-2700
OG0000067	YGR027C, YLR333C	augustus_masked-NW_001834655.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NW_001834655.1-processed-gene-0.34&CDS=1-324, augustus_masked-NW_001834674.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NW_001834674.1-processed-gene-0.163&CDS=1-324
OG0000068	YGR086C, YPL004C	augustus_masked-NW_001834529.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NW_001834529.1-processed-gene-0.5&CDS=1-1008, augustus_masked-NW_001834558.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834558.1-processed-gene-0.13&CDS=1-978
OG0000069	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	
OG0000070	YGR118W, YPR132W	augustus_masked-NW_001834681.1-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.44&CDS=1-435, augustus_masked-NW_001834691.1-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-1.32&CDS=1-435
OG0000071	YGR192C, YJL052W, YJR009C	augustus_masked-NW_001834667.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NW_001834667.1-processed-gene-0.84&CDS=1-996
OG0000072	YGR214W, YLR048W	augustus_masked-NW_001834676.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NW_001834676.1-processed-gene-0.92&CDS=1-753, maker-NW_001834691.1-augustus-gene-1.229-mRNA-1_1&gene=maker-NW_001834691.1-augustus-gene-1.229&CDS=1-756
OG0000073	YGR279C, YMR305C	augustus_masked-NW_001834649.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.63&CDS=1-1179, augustus_masked-NW_001834687.1-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.13&CDS=1-1155
OG0000074	YHL033C, YLL045C	augustus_masked-NW_001834554.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NW_001834554.1-processed-gene-0.5&CDS=1-765, augustus_masked-NW_001834640.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NW_001834640.1-processed-gene-0.50&CDS=1-765
OG0000075	YHR131C, YNL144C	augustus_masked-NW_001834681.1-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.21&CDS=1-2499, snap_masked-NW_001834612.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NW_001834612.1-processed-gene-0.43&CDS=1-2271
OG0000076	YHR216W, YLR432W, YML056C	maker-NW_001834639.1-snap-gene-0.94-mRNA-1_1&gene=maker-NW_001834639.1-snap-gene-0.94&CDS=1-1557
OG0000077	YIL095W, YNL020C	augustus_masked-NW_001834654.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.63&CDS=1-2139, augustus_masked-NW_001834681.1-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.25&CDS=1-2103
OG0000078	YIL131C, YNL068C	augustus_masked-NW_001834654.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.73&CDS=1-2382, augustus_masked-NW_001834681.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-0.45&CDS=1-2412
OG0000079	YIL133C, YNL069C	augustus_masked-NW_001834681.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-0.44&CDS=1-600, snap_masked-NW_001834654.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NW_001834654.1-processed-gene-0.127&CDS=1-600
OG0000080	YJL083W, YKR019C	augustus_masked-NW_001834549.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834549.1-processed-gene-0.13&CDS=1-2388, augustus_masked-NW_001834638.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NW_001834638.1-processed-gene-0.12&CDS=1-2712
OG0000081	YJL129C, YKR050W	maker-NW_001834606.1-snap-gene-0.18-mRNA-1_1&gene=maker-NW_001834606.1-snap-gene-0.18&CDS=1-3819, maker-NW_001834679.1-augustus-gene-0.102-mRNA-1_1&gene=maker-NW_001834679.1-augustus-gene-0.102&CDS=1-3183
OG0000082	YJL172W, YOL153C	augustus_masked-NW_001834682.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NW_001834682.1-processed-gene-1.73&CDS=1-1662, augustus_masked-NW_001834687.1-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.25&CDS=1-1551
OG0000083	YKL127W, YMR105C	augustus_masked-NW_001834673.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NW_001834673.1-processed-gene-0.83&CDS=1-1710, augustus_masked-NW_001834694.1-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-3.101&CDS=1-1707
OG0000084	YLL010C, YLR019W	augustus_masked-NW_001834627.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NW_001834627.1-processed-gene-0.18&CDS=1-1050, augustus_masked-NW_001834689.1-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-1.137&CDS=1-1431
OG0000085	YLR237W, YOR071C, YOR192C	augustus_masked-NW_001834671.1-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.122&CDS=1-1824
OG0000086	YLR442C, YML065W	augustus_masked-NW_001834639.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834639.1-processed-gene-0.2&CDS=1-2760, snap_masked-NW_001834651.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NW_001834651.1-processed-gene-0.58&CDS=1-2913
OG0000087	YML109W, YMR273C	augustus_masked-NW_001834674.1-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NW_001834674.1-processed-gene-0.157&CDS=1-3168, genemark-NW_001834597.1-processed-gene-0.35-mRNA-1_1&gene=genemark-NW_001834597.1-processed-gene-0.35&CDS=1-3003
OG0000088	YOL055C, YPL258C, YPR121W	augustus_masked-NW_001834678.1-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.141&CDS=1-1647
OG0000089	YOR214C, YPL130W	snap_masked-NW_001834645.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-NW_001834645.1-processed-gene-0.100&CDS=1-1254, snap_masked-NW_001834663.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NW_001834663.1-processed-gene-0.70&CDS=1-798
OG0000090	YOR256C, YPL176C	augustus_masked-NW_001834650.1-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-NW_001834650.1-processed-gene-0.158&CDS=1-2397, augustus_masked-NW_001834663.1-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NW_001834663.1-processed-gene-0.117&CDS=1-2337
OG0000091	YAL003W	augustus_masked-NW_001834666.1-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-NW_001834666.1-processed-gene-0.151&CDS=1-621, snap_masked-NW_001834662.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NW_001834662.1-processed-gene-0.24&CDS=1-618
OG0000092	YAL051W, YOR363C	augustus_masked-NW_001834665.1-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.153&CDS=1-3264
OG0000093	YAL058W	augustus_masked-NW_001834626.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834626.1-processed-gene-0.15&CDS=1-1710, augustus_masked-NW_001834665.1-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.157&CDS=1-1581
OG0000094	YAL062W, YOR375C	augustus_masked-NW_001834665.1-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.158&CDS=1-1386
OG0000095	YAR042W	augustus_masked-NW_001834668.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.84&CDS=1-3636, augustus_masked-NW_001834678.1-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.142&CDS=1-3765
OG0000096	YBL005W, YGL013C	augustus_masked-NW_001834671.1-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.159&CDS=1-3387
OG0000097	YBL021C	augustus_masked-NW_001834693.1-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.154&CDS=1-444, genemark-NW_001834585.1-processed-gene-0.16-mRNA-1_1&gene=genemark-NW_001834585.1-processed-gene-0.16&CDS=1-351
OG0000098	YBL039C	augustus_masked-NW_001834682.1-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NW_001834682.1-processed-gene-1.94&CDS=1-1728, augustus_masked-NW_001834687.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.56&CDS=1-1737
OG0000099	YBL056W	augustus_masked-NW_001834616.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NW_001834616.1-processed-gene-0.58&CDS=1-1323, augustus_masked-NW_001834647.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NW_001834647.1-processed-gene-0.57&CDS=1-1374
OG0000100	YBL068W, YER099C	snap_masked-NW_001834678.1-processed-gene-0.185-mRNA-1_1&gene=snap_masked-NW_001834678.1-processed-gene-0.185&CDS=1-1017
OG0000101	YBL069W, YER101C	augustus_masked-NW_001834694.1-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-2.80&CDS=1-1242
OG0000102	YBL087C, YER117W	genemark-NW_001834678.1-processed-gene-0.49-mRNA-1_1&gene=genemark-NW_001834678.1-processed-gene-0.49&CDS=1-345
OG0000103	YBL099W	augustus_masked-NW_001834678.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.84&CDS=1-1632, augustus_masked-NW_001834694.1-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-3.85&CDS=1-1638
OG0000104	YBL101C	genemark-NW_001834651.1-processed-gene-0.29-mRNA-1_1&gene=genemark-NW_001834651.1-processed-gene-0.29&CDS=1-2937, snap_masked-NW_001834676.1-processed-gene-0.192-mRNA-1_1&gene=snap_masked-NW_001834676.1-processed-gene-0.192&CDS=1-3087
OG0000105	YBR014C, YDL010W	augustus_masked-NW_001834678.1-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.149&CDS=1-786
OG0000106	YBR015C	augustus_masked-NW_001834678.1-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.150&CDS=1-1851, augustus_masked-NW_001834692.1-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.121&CDS=1-2022
OG0000107	YBR016W, YDL012C	augustus_masked-NW_001834692.1-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.84&CDS=1-246
OG0000108	YBR020W, YDR009W	augustus_masked-NW_001834668.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.77&CDS=1-1554
OG0000109	YBR024W, YBR037C	augustus_masked-NW_001834668.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.79&CDS=1-957
OG0000110	YBR031W, YDR012W	augustus_masked-NW_001834644.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834644.1-processed-gene-0.2&CDS=1-1086
OG0000111	YBR048W, YDR025W	augustus_masked-NW_001834671.1-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.116&CDS=1-465
OG0000112	YBR059C	augustus_masked-NW_001834512.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834512.1-processed-gene-0.2&CDS=1-2514, augustus_masked-NW_001834653.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NW_001834653.1-processed-gene-0.106&CDS=1-3303
OG0000113	YBR068C, YDR046C	augustus_masked-NW_001834660.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.65&CDS=1-1788
OG0000114	YBR112C	augustus_masked-NW_001834620.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NW_001834620.1-processed-gene-0.26&CDS=1-2196, genemark-NW_001834458.1-processed-gene-0.5-mRNA-1_1&gene=genemark-NW_001834458.1-processed-gene-0.5&CDS=1-1242
OG0000115	YBR140C	augustus_masked-NW_001834644.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NW_001834644.1-processed-gene-0.24&CDS=1-9102, snap_masked-NW_001834692.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NW_001834692.1-processed-gene-0.25&CDS=1-9090
OG0000116	YBR161W, YPL057C	augustus_masked-NW_001834608.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NW_001834608.1-processed-gene-0.33&CDS=1-1329
OG0000117	YBR177C, YPL095C	augustus_masked-NW_001834685.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.75&CDS=1-1353
OG0000118	YBR182C, YPL089C	augustus_masked-NW_001834685.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.78&CDS=1-2028
OG0000119	YBR238C	augustus_masked-NW_001834670.1-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.153&CDS=1-2088, augustus_masked-NW_001834693.1-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.121&CDS=1-1827
OG0000120	YCL025C	augustus_masked-NW_001834689.1-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-1.83&CDS=1-1830, augustus_masked-NW_001834690.1-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.20&CDS=1-1911
OG0000121	YCL026C-B	augustus_masked-NW_001834690.1-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.21&CDS=1-579, augustus_masked-NW_001834690.1-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.22&CDS=1-579
OG0000122	YCL037C	augustus_masked-NW_001834689.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.34&CDS=1-1155, augustus_masked-NW_001834690.1-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.25&CDS=1-1017
OG0000123	YCL040W	augustus_masked-NW_001834689.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.13&CDS=1-1503, augustus_masked-NW_001834690.1-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.54&CDS=1-1491
OG0000124	YCL066W, YCR040W	snap_masked-NW_001834689.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NW_001834689.1-processed-gene-0.59&CDS=1-666
OG0000125	YCL068C, YCR038C	augustus_masked-NW_001834684.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NW_001834684.1-processed-gene-1.85&CDS=1-4263
OG0000126	YCR008W	augustus_masked-NW_001834642.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NW_001834642.1-processed-gene-0.45&CDS=1-1359, augustus_masked-NW_001834691.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-0.80&CDS=1-1788
OG0000127	YCR010C, YNR002C	augustus_masked-NW_001834642.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NW_001834642.1-processed-gene-0.62&CDS=1-849
OG0000128	YCR030C	augustus_masked-NW_001834684.1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NW_001834684.1-processed-gene-1.80&CDS=1-2403, augustus_masked-NW_001834689.1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-1.89&CDS=1-2535
OG0000129	YCR031C, YJL191W	augustus_masked-NW_001834689.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-1.87&CDS=1-402
OG0000130	YCR035C	augustus_masked-NW_001834684.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NW_001834684.1-processed-gene-1.82&CDS=1-1176, augustus_masked-NW_001834689.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-1.85&CDS=1-1128
OG0000131	YCR045C	augustus_masked-NW_001834687.1-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.11&CDS=1-1554, augustus_masked-NW_001834694.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-0.64&CDS=1-1395
OG0000132	YDL021W, YOL056W	augustus_masked-NW_001834678.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.105&CDS=1-981
OG0000133	YDL022W	augustus_masked-NW_001834668.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.59&CDS=1-1179, genemark-NW_001834678.1-processed-gene-0.24-mRNA-1_1&gene=genemark-NW_001834678.1-processed-gene-0.24&CDS=1-1278
OG0000134	YDL061C, YLR388W	augustus_masked-NW_001834686.1-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-NW_001834686.1-processed-gene-1.107&CDS=1-219
OG0000135	YDL082W, YMR142C	snap_masked-NW_001834659.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NW_001834659.1-processed-gene-0.42&CDS=1-597
OG0000136	YDL083C, YMR143W	augustus_masked-NW_001834592.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NW_001834592.1-processed-gene-0.19&CDS=1-429
OG0000137	YDL084W	augustus_masked-NW_001834659.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NW_001834659.1-processed-gene-0.91&CDS=1-1323, augustus_masked-NW_001834669.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NW_001834669.1-processed-gene-0.163&CDS=1-1326
OG0000138	YDL124W	augustus_masked-NW_001834552.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NW_001834552.1-processed-gene-0.14&CDS=1-894, augustus_masked-NW_001834658.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NW_001834658.1-processed-gene-0.55&CDS=1-939
OG0000139	YDL126C	augustus_masked-NW_001834658.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001834658.1-processed-gene-0.69&CDS=1-2436, augustus_masked-NW_001834690.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-0.28&CDS=1-2469
OG0000140	YDL127W, YDL179W	genemark-NW_001834658.1-processed-gene-0.5-mRNA-1_1&gene=genemark-NW_001834658.1-processed-gene-0.5&CDS=1-888
OG0000141	YDL131W, YDL182W	augustus_masked-NW_001834690.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-0.6&CDS=1-1332
OG0000142	YDL134C, YDL188C	snap_masked-NW_001834690.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NW_001834690.1-processed-gene-0.67&CDS=1-1140
OG0000143	YDL136W, YDL191W	augustus_masked-NW_001834632.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NW_001834632.1-processed-gene-0.47&CDS=1-393
OG0000144	YDL137W	augustus_masked-NW_001834632.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NW_001834632.1-processed-gene-0.46&CDS=1-543, augustus_masked-NW_001834690.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-0.29&CDS=1-543
OG0000145	YDL138W, YDL194W	genemark-NW_001834632.1-processed-gene-0.12-mRNA-1_1&gene=genemark-NW_001834632.1-processed-gene-0.12&CDS=1-2412
OG0000146	YDL161W, YLR206W	augustus_masked-NW_001834684.1-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NW_001834684.1-processed-gene-1.91&CDS=1-1599
OG0000147	YDL178W, YEL071W	augustus_masked-NW_001834658.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NW_001834658.1-processed-gene-0.54&CDS=1-870
OG0000148	YDL195W	augustus_masked-NW_001834632.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834632.1-processed-gene-0.44&CDS=1-3756, augustus_masked-NW_001834684.1-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NW_001834684.1-processed-gene-1.88&CDS=1-3828
OG0000149	YDL208W	augustus_masked-NW_001834648.1-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.118&CDS=1-450, augustus_masked-NW_001834679.1-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NW_001834679.1-processed-gene-1.34&CDS=1-450
OG0000150	YDL222C, YNL194C	augustus_masked-NW_001834498.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NW_001834498.1-processed-gene-0.6&CDS=1-1215
OG0000151	YDL237W	augustus_masked-NW_001834677.1-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.111&CDS=1-1197, snap_masked-NW_001834642.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NW_001834642.1-processed-gene-0.39&CDS=1-1101
OG0000152	YDR006C	augustus_masked-NW_001834678.1-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.147&CDS=1-2187, maker-NW_001834692.1-augustus-gene-1.73-mRNA-1_1&gene=maker-NW_001834692.1-augustus-gene-1.73&CDS=1-2964
OG0000153	YDR011W	augustus_masked-NW_001834668.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.78&CDS=1-4722, maker-NW_001834692.1-snap-gene-0.35-mRNA-1_1&gene=maker-NW_001834692.1-snap-gene-0.35&CDS=1-4464
OG0000154	YDR081C	augustus_masked-NW_001834683.1-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NW_001834683.1-processed-gene-1.58&CDS=1-2331, genemark-NW_001834686.1-processed-gene-1.113-mRNA-1_1&gene=genemark-NW_001834686.1-processed-gene-1.113&CDS=1-2229
OG0000155	YDR093W, YER166W	maker-NW_001834555.1-snap-gene-0.7-mRNA-1_1&gene=maker-NW_001834555.1-snap-gene-0.7&CDS=1-3948
OG0000156	YDR096W, YER169W	augustus_masked-NW_001834683.1-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NW_001834683.1-processed-gene-1.63&CDS=1-2472
OG0000157	YDR107C, YLR083C	augustus_masked-NW_001834680.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NW_001834680.1-processed-gene-0.77&CDS=1-1974
OG0000158	YDR110W	augustus_masked-NW_001834586.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001834586.1-processed-gene-0.21&CDS=1-1371, augustus_masked-NW_001834680.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NW_001834680.1-processed-gene-0.54&CDS=1-1326
OG0000159	YDR134C, YLR110C	augustus_masked-NW_001834680.1-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NW_001834680.1-processed-gene-1.116&CDS=1-402
OG0000160	YDR141C	augustus_masked-NW_001834680.1-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NW_001834680.1-processed-gene-1.118&CDS=1-5061, genemark-NW_001834692.1-processed-gene-1.189-mRNA-1_1&gene=genemark-NW_001834692.1-processed-gene-1.189&CDS=1-5058
OG0000161	YDR144C, YLR120C	augustus_masked-NW_001834680.1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NW_001834680.1-processed-gene-1.120&CDS=1-1764
OG0000162	YDR178W, YLR164W	augustus_masked-NW_001834657.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.84&CDS=1-519
OG0000163	YDR252W, YPL037C	augustus_masked-NW_001834679.1-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NW_001834679.1-processed-gene-1.23&CDS=1-432
OG0000164	YDR261C	augustus_masked-NW_001834622.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NW_001834622.1-processed-gene-0.34&CDS=1-1641, augustus_masked-NW_001834629.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NW_001834629.1-processed-gene-0.71&CDS=1-1620
