	Saccharomyces_cerevisiae	yHMPu5000034648_Candida_restingae
OG0000035	YIL002C, YNL106C, YOR109W	snap_masked-NODE_18_length_250478_cov_22.7918_ID_35-processed-gene-1.132-mRNA-1_1&gene=snap_masked-NODE_18_length_250478_cov_22.7918_ID_35-processed-gene-1.132&CDS=1-3387, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-1.85&CDS=1-3102
OG0000036	YIL166C	augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-1.69&CDS=1-1629, maker-NODE_3_length_909521_cov_21.0721_ID_5-snap-gene-5.60-mRNA-1_1&gene=maker-NODE_3_length_909521_cov_21.0721_ID_5-snap-gene-5.60&CDS=1-4914, snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.43&CDS=1-1650, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.129-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.129&CDS=1-1872
OG0000037	YJL042W, YOR227W, YPL137C	snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.67&CDS=1-3222, snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.44&CDS=1-3705
OG0000038	YJR061W, YKL201C	snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-1.44&CDS=1-1860, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.72-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.72&CDS=1-2334, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.5-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.5&CDS=1-2592
OG0000039	YLR361C, YOR137C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.39&CDS=1-1593, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-5.59-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-5.59&CDS=1-1491, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.48&CDS=1-2085
OG0000040	YML072C, YNL087W, YOR086C	genemark-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-6.50-mRNA-1_1&gene=genemark-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-6.50&CDS=1-4806, maker-NODE_11_length_576536_cov_25.4156_ID_21-snap-gene-0.84-mRNA-1_1&gene=maker-NODE_11_length_576536_cov_25.4156_ID_21-snap-gene-0.84&CDS=1-3585
OG0000041	YAL054C, YLR153C	augustus_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.26&CDS=1-2028, snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.55&CDS=1-2028
OG0000042	YAR019C, YDR523C	snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.102&CDS=1-1179, snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.114-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.114&CDS=1-4362
OG0000043	YAR035W, YER024W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-2.50-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-2.50&CDS=1-2163, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.154-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.154&CDS=1-2319
OG0000044	YBR008C	snap_masked-NODE_26_length_127389_cov_24.3691_ID_51-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_26_length_127389_cov_24.3691_ID_51-processed-gene-0.67&CDS=1-1713, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.11-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.11&CDS=1-1752, snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.129-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.129&CDS=1-1710
OG0000045	YBR009C, YNL030W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-0.35&CDS=1-309, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.13-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.13&CDS=1-309
OG0000046	YBR010W, YNL031C	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-0.16&CDS=1-408, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.51-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.51&CDS=1-408
OG0000047	YBR015C	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.47&CDS=1-1842, snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-0.46&CDS=1-1674, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-0.87&CDS=1-1812
OG0000048	YBR021W, YIR028W	maker-NODE_7_length_639868_cov_21.9189_ID_13-augustus-gene-4.56-mRNA-1_1&gene=maker-NODE_7_length_639868_cov_21.9189_ID_13-augustus-gene-4.56&CDS=1-3285, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-9.37-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-9.37&CDS=1-1752
OG0000049	YBR025C, YHL014C	augustus_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.20&CDS=1-1221, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.223-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.223&CDS=1-1188
OG0000050	YBR073W, YGL163C	genemark-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.178-mRNA-1_1&gene=genemark-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.178&CDS=1-2460, snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.171-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.171&CDS=1-2460
OG0000051	YBR103W, YGR082W	maker-NODE_9_length_597890_cov_22.9962_ID_17-snap-gene-4.189-mRNA-1_1&gene=maker-NODE_9_length_597890_cov_22.9962_ID_17-snap-gene-4.189&CDS=1-1755, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.67&CDS=1-510
OG0000052	YBR150C, YOL089C	maker-NODE_1_length_1198608_cov_23.6179_ID_1-augustus-gene-4.68-mRNA-1_1&gene=maker-NODE_1_length_1198608_cov_23.6179_ID_1-augustus-gene-4.68&CDS=1-2649, snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.75&CDS=1-876
OG0000053	YBR245C, YOR304W	augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.222-mRNA-1_1&gene=augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.222&CDS=1-3849, snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-2.82-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-2.82&CDS=1-3537
OG0000054	YBR263W, YLR058C	augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-2.20&CDS=1-1410, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.47&CDS=1-1458
OG0000055	YBR293W, YMR088C	snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.88&CDS=1-1665, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-4.91-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-4.91&CDS=1-1719
OG0000056	YCR010C, YNR002C	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-0.98&CDS=1-774, snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.125-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.125&CDS=1-768
OG0000057	YCR105W, YMR318C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-9.21-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-9.21&CDS=1-1089, snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.57&CDS=1-1110
OG0000058	YDL020C	maker-NODE_21_length_209931_cov_23.3478_ID_41-augustus-gene-1.76-mRNA-1_1&gene=maker-NODE_21_length_209931_cov_23.3478_ID_41-augustus-gene-1.76&CDS=1-2535, snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-0.24&CDS=1-2025, snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-0.33&CDS=1-1623
OG0000059	YDL025C, YNL183C	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-4.128-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-4.128&CDS=1-2517, snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.58&CDS=1-2106
OG0000060	YDL114W, YLR426W	snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.98&CDS=1-921, snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-0.39&CDS=1-897
OG0000061	YDL124W	snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-0.82&CDS=1-903, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.102-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.102&CDS=1-903, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.153-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.153&CDS=1-903
OG0000062	YDL138W, YDL194W	augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.209-mRNA-1_1&gene=augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.209&CDS=1-1581, snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.96&CDS=1-2178
OG0000063	YDL206W, YJR106W	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.137-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.137&CDS=1-2259, snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.49&CDS=1-1164
OG0000064	YDL216C, YFR004W	augustus_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.15&CDS=1-939, snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-3.55&CDS=1-1686
OG0000065	YDL246C, YJR159W, YLR070C	maker-NODE_1_length_1198608_cov_23.6179_ID_1-augustus-gene-0.46-mRNA-1_1&gene=maker-NODE_1_length_1198608_cov_23.6179_ID_1-augustus-gene-0.46&CDS=1-1512
OG0000066	YDR038C, YDR039C, YDR040C	snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-1.43&CDS=1-3219
OG0000067	YDR093W, YER166W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.15&CDS=1-4974, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.161-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.161&CDS=1-4599
OG0000068	YDR178W, YLR164W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-7.48&CDS=1-444, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.62-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.62&CDS=1-480
OG0000069	YDR207C	genemark-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.12-mRNA-1_1&gene=genemark-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.12&CDS=1-1131, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.46&CDS=1-1128, snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.127-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.127&CDS=1-1698
OG0000070	YDR313C, YGL023C	snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.64-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.64&CDS=1-2682, snap_masked-NODE_37_length_8854_cov_21.728_ID_73-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_37_length_8854_cov_21.728_ID_73-processed-gene-0.7&CDS=1-774
OG0000071	YDR338C, YHR032W	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-6.8-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-6.8&CDS=1-1659, snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-3.26-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-3.26&CDS=1-1779
OG0000072	YDR395W, YJR132W	snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.138-mRNA-1_1&gene=snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.138&CDS=1-3153, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.62-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.62&CDS=1-3006
OG0000073	YDR406W, YOR153W	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-1.73-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-1.73&CDS=1-4569, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-5.3-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-5.3&CDS=1-4380
OG0000074	YDR463W, YHR006W	snap_masked-NODE_32_length_50595_cov_18.8577_ID_63-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_32_length_50595_cov_18.8577_ID_63-processed-gene-0.30&CDS=1-1656, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.71-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.71&CDS=1-1314
OG0000075	YDR466W, YDR490C	augustus_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.104&CDS=1-3441, maker-NODE_24_length_169180_cov_32.6027_ID_47-snap-gene-0.58-mRNA-1_1&gene=maker-NODE_24_length_169180_cov_32.6027_ID_47-snap-gene-0.58&CDS=1-2532
OG0000076	YER015W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-4.74-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-4.74&CDS=1-2127, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.80-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.80&CDS=1-2220, snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.74-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.74&CDS=1-2250
OG0000077	YER017C, YMR089C	snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-0.4&CDS=1-2883, snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-1.65&CDS=1-2304
OG0000078	YER028C, YGL209W	augustus_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.7&CDS=1-1086, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.92&CDS=1-1530
OG0000079	YER056C, YER060W, YER060W-A	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-1.104-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-1.104&CDS=1-1512
OG0000080	YER070W, YIL066C	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-3.2-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-3.2&CDS=1-2460, snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.10-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.10&CDS=1-2622
OG0000081	YER075C, YOR208W	genemark-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.135-mRNA-1_1&gene=genemark-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.135&CDS=1-2904, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-4.83-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-4.83&CDS=1-1917
OG0000082	YER123W, YNL154C	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-1.111&CDS=1-1500, snap_masked-NODE_25_length_145781_cov_22.9048_ID_49-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_25_length_145781_cov_22.9048_ID_49-processed-gene-0.68&CDS=1-1188
OG0000083	YER133W, YML016C	maker-NODE_11_length_576536_cov_25.4156_ID_21-snap-gene-2.43-mRNA-1_1&gene=maker-NODE_11_length_576536_cov_25.4156_ID_21-snap-gene-2.43&CDS=1-1209, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-1.46&CDS=1-1509
OG0000084	YFL011W, YMR011W	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-5.30-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-5.30&CDS=1-1680, snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.89&CDS=1-1665
OG0000085	YFL021W	augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.107&CDS=1-1800, snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.92&CDS=1-900, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.107-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.107&CDS=1-1875
OG0000086	YFL039C, YPR034W	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.169-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.169&CDS=1-1128, snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-1.29&CDS=1-1305
OG0000087	YFL041W, YMR058W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.24&CDS=1-1794, snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.73&CDS=1-1842
OG0000088	YFL042C, YLR072W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-1.88&CDS=1-3159, snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.67-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.67&CDS=1-2142
OG0000089	YFL060C, YMR095C, YNL334C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.87&CDS=1-696
OG0000090	YFR031C-A, YIL018W	snap_masked-NODE_34_length_47638_cov_35.8433_ID_67-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_34_length_47638_cov_35.8433_ID_67-processed-gene-0.40&CDS=1-762, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.165-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.165&CDS=1-762
OG0000091	YFR042W, YJL097W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.62&CDS=1-738, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.27&CDS=1-639
OG0000092	YGL003C, YGL116W	snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.104-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.104&CDS=1-2007, snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-3.17&CDS=1-1659
