	Neurospora_crassa	Saccharomyces_cerevisiae
OG0002408	XP_962657.1	YGL184C
OG0002409	XP_962658.1	YGR028W
OG0002410	XP_962659.1	YJR058C
OG0002411	XP_962661.1	YNL265C
OG0002412	XP_962662.3	YDR392W
OG0002413	XP_962663.2	YDR435C
OG0002414	XP_962669.1	YKL165C
OG0002415	XP_962671.1	YPL084W
OG0002416	XP_962672.2	YML042W
OG0002417	XP_962673.1	YFR037C
OG0002418	XP_962674.2	YPR004C
OG0002419	XP_962675.2	YDR376W
OG0002420	XP_962678.3	YNL138W
OG0002421	XP_962679.1	YEL032W
OG0002422	XP_962682.3	YJL085W
OG0002423	XP_962690.3	YNL082W
OG0002424	XP_962691.1	YFL025C
OG0002425	XP_962692.3	YER168C
OG0002426	XP_962694.3	YEL036C
OG0002427	XP_962696.1	YGR158C
OG0002428	XP_962697.2	YER005W
OG0002429	XP_962698.1	YOL032W
OG0002430	XP_962699.1	YJR142W
OG0002431	XP_962700.1	YOR224C
OG0002432	XP_962701.1	YPL101W
OG0002433	XP_962702.1	YAR008W
OG0002434	XP_962705.3	YEL051W
OG0002435	XP_962706.1	YDR416W
OG0002436	XP_962714.3	YMR226C
OG0002437	XP_962715.1	YGR157W
OG0002438	XP_962716.3	YDR429C
OG0002439	XP_962723.2	YNL016W
OG0002440	XP_962740.1	YIR006C
OG0002441	XP_962756.2	YJR095W
OG0002442	XP_962781.1	YJR093C
OG0002443	XP_962782.1	YGL172W
OG0002444	XP_962785.3	YDR170C
OG0002445	XP_962786.1	YNL071W
OG0002446	XP_962817.1	YKL120W
OG0002447	XP_962818.1	YKL018W
OG0002448	XP_962820.1	YJL026W
OG0002449	XP_962822.2	YNL118C
OG0002450	XP_962825.2	YIL046W
OG0002451	XP_962841.3	YKL217W
OG0002452	XP_962854.3	YCR028C
OG0002453	XP_962855.1	YGL255W
OG0002454	XP_962861.3	YJL044C
OG0002455	XP_962863.3	YDL113C
OG0002456	XP_962868.2	YOR005C
OG0002457	XP_962870.1	YDR440W
OG0002458	XP_962872.3	YPL045W
OG0002459	XP_962874.1	YHR024C
OG0002460	XP_962875.2	YML020W
OG0002461	XP_962876.3	YMR229C
OG0002462	XP_962881.3	YOR058C
OG0002463	XP_962900.1	YNL284C
OG0002464	XP_962902.3	YLR128W
OG0002465	XP_962903.1	YKL003C
OG0002466	XP_962906.3	YHR142W
OG0002467	XP_962914.1	YGL225W
OG0002468	XP_962916.2	YNR021W
OG0002469	XP_962921.1	YCR084C
OG0002470	XP_962923.1	YLR056W
OG0002471	XP_962925.1	YCL012C
OG0002472	XP_962928.3	YOR115C
OG0002473	XP_962931.3	YJL062W
OG0002474	XP_962932.1	YDR325W
OG0002475	XP_962933.1	YPL043W
OG0002476	XP_962940.2	YLL057C
OG0002477	XP_962945.3	YAL010C
OG0002478	XP_962949.2	YPR067W
OG0002479	XP_962952.1	YMR309C
OG0002480	XP_962953.1	YHR165C
OG0002481	XP_962958.2	YJR035W
OG0002482	XP_962960.3	YNL112W
OG0002483	XP_962964.2	YDR323C
OG0002484	XP_962965.1	YBR213W
OG0002485	XP_962987.1	YDR329C
OG0002486	XP_962991.1	YCR008W
OG0002487	XP_962992.2	YHR067W
OG0002488	XP_962994.2	YLR362W
OG0002489	XP_962995.3	YLR148W
OG0002490	XP_962999.3	YLR359W
OG0002491	XP_963001.2	YDR232W
OG0002492	XP_963004.1	YGL095C
OG0002493	XP_963005.1	YLL006W
OG0002494	XP_963006.2	YOR175C
OG0002495	XP_963017.1	YNR016C
OG0002496	XP_963034.2	YKL170W
OG0002497	XP_963035.2	YGL070C
OG0002498	XP_963036.2	YJR017C
OG0002499	XP_963048.1	YEL040W
OG0002500	XP_963051.1	YGL187C
OG0002501	XP_963068.2	YIR038C
OG0002502	XP_963077.1	YOL127W
OG0002503	XP_963078.2	YBR141C
OG0002504	XP_963079.2	YEL038W
OG0002505	XP_963081.1	YHR082C
OG0002506	XP_963082.1	YJR001W
OG0002507	XP_963083.1	YCL018W
OG0002508	XP_963089.1	YOR141C
OG0002509	XP_963091.1	YPL203W
OG0002510	XP_963095.1	YGR181W
OG0002511	XP_963097.3	YGL064C
OG0002512	XP_963104.1	YPL002C
OG0002513	XP_963112.2	YMR038C
OG0002514	XP_963113.1	YOR150W
OG0002515	XP_963115.2	YER093C
OG0002516	XP_963124.1	YDR359C
OG0002517	XP_963125.1	YKL021C
OG0002518	XP_963131.2	YNL102W
OG0002519	XP_963133.2	YJL141C
OG0002520	XP_963146.2	YFL038C
OG0002521	XP_963149.3	YOR140W
OG0002522	XP_963155.1	YPR135W
OG0002523	XP_963161.1	YPL165C
OG0002524	XP_963162.2	YGL073W
OG0002525	XP_963165.1	YBR127C
OG0002526	XP_963168.1	YNL110C
OG0002527	XP_963172.2	YHR011W
OG0002528	XP_963176.2	YMR302C
OG0002529	XP_963177.1	YDR512C
OG0002530	XP_963181.1	YDR398W
OG0002531	XP_963185.2	YJR124C
OG0002532	XP_963198.2	YPL164C
OG0002533	XP_963200.1	YIL164C
OG0002534	XP_963209.1	YKL073W
OG0002535	XP_963212.2	YGR245C
OG0002536	XP_963216.1	YJL024C
OG0002537	XP_963218.1	YPL160W
OG0002538	XP_963220.1	YBL071W-A
OG0002539	XP_963223.1	YML085C
OG0002540	XP_963224.2	YBL047C
OG0002541	XP_963230.2	YJR123W
OG0002542	XP_963241.1	YHR068W
OG0002543	XP_963243.1	YGL148W
OG0002544	XP_963245.3	YMR231W
OG0002545	XP_963246.1	YDR311W
OG0002546	XP_963248.3	YIL125W
OG0002547	XP_963249.1	YDR267C
OG0002548	XP_963253.2	YJR121W
OG0002549	XP_963279.2	YGR260W
OG0002550	XP_963280.2	YJL059W
OG0002551	XP_963281.1	YGL026C
OG0002552	XP_963282.1	YMR193W
OG0002553	XP_963288.1	YBR269C
OG0002554	XP_963310.3	YLR319C
OG0002555	XP_963313.1	YGR244C
OG0002556	XP_963317.2	YOR063W
OG0002557	XP_963319.2	YDL114W
OG0002558	XP_963321.1	YLL028W
OG0002559	XP_963328.1	YPL235W
OG0002560	XP_963330.1	YGR048W
OG0002561	XP_963351.1	YNL321W
OG0002562	XP_963354.1	YGL048C
OG0002563	XP_963355.3	YER075C
OG0002564	XP_963364.2	YDL086W
OG0002565	XP_963366.1	YAL005C
OG0002566	XP_963372.2	YNL072W
OG0002567	XP_963373.1	YKL089W
OG0002568	XP_963374.1	YOR165W
OG0002569	XP_963397.1	YNL290W
OG0002570	XP_963415.1	YDR057W
OG0002571	XP_963428.2	YPL249C
OG0002572	XP_963430.3	YDR457W
OG0002573	XP_963434.1	YCR090C
OG0002574	XP_963436.1	YGR211W
OG0002575	XP_963443.2	YMR240C
OG0002576	XP_963444.1	YOR307C
OG0002577	XP_963445.2	YIL155C
OG0002578	XP_963477.2	YPL020C
OG0002579	XP_963478.1	YJR077C
OG0002580	XP_963482.3	YOL137W
OG0002581	XP_963488.1	YGR178C
OG0002582	XP_963498.1	YOL140W
OG0002583	XP_963502.3	YBR240C
OG0002584	XP_963510.1	YDL195W
OG0002585	XP_963513.1	YLR038C
OG0002586	XP_963520.1	YIL157C
OG0002587	XP_963521.1	YGR220C
OG0002588	XP_963522.1	YMR132C
OG0002589	XP_963533.1	YDR294C
OG0002590	XP_963534.2	YJL183W
OG0002591	XP_963536.2	YML092C
OG0002592	XP_963539.2	YOR217W
OG0002593	XP_963540.2	YBL038W
OG0002594	XP_963541.1	YBR087W
OG0002595	XP_963567.1	YNL218W
OG0002596	XP_963568.3	YLL027W
OG0002597	XP_963589.2	YNR037C
OG0002598	XP_963590.1	YDR167W
OG0002599	XP_963591.2	YMR224C
OG0002600	XP_963597.3	YCL047C
OG0002601	XP_963603.1	YMR201C
OG0002602	XP_963604.1	YBR106W
OG0002603	XP_963612.1	YBL040C
OG0002604	XP_963615.1	YDR137W
OG0002605	XP_963618.1	YOR036W
OG0002606	XP_963620.1	YNL048W
OG0002607	XP_963621.1	YKR056W
OG0002608	XP_963622.1	YMR215W
OG0002609	XP_963627.1	YMR286W
OG0002610	XP_963628.1	YPR023C
OG0002611	XP_963642.3	YDR428C
OG0002612	XP_963662.2	YOR035C
OG0002613	XP_963677.2	YLR153C
OG0002614	XP_963689.1	YOL143C
OG0002615	XP_963690.3	YDR524C
OG0002616	XP_963693.1	YOR296W
OG0002617	XP_963695.2	YDR245W
OG0002618	XP_963704.1	YMR105C
OG0002619	XP_963711.3	YDR191W
OG0002620	XP_963715.1	YLR129W
OG0002621	XP_963721.2	YJL121C
OG0002622	XP_963722.1	YER049W
OG0002623	XP_963724.2	YHR112C
OG0002624	XP_963725.2	YPL015C
OG0002625	XP_963728.2	YHR204W
OG0002626	XP_963732.3	YGR217W
OG0002627	XP_963735.2	YER019W
OG0002628	XP_963738.2	YFR028C
OG0002629	XP_963740.1	YKR081C
OG0002630	XP_963750.2	YIL034C
OG0002631	XP_963751.3	YNR030W
OG0002632	XP_963756.1	YOR065W
OG0002633	XP_963757.2	YDR035W
OG0002634	XP_963772.1	YGR257C
OG0002635	XP_963776.2	YBL041W
OG0002636	XP_963777.1	YLR305C
OG0002637	XP_963783.2	YDL206W
OG0002638	XP_963785.3	YBL097W
OG0002639	XP_963786.1	YFL045C
OG0002640	XP_963787.2	YOL021C
OG0002641	XP_963788.1	YER006W
OG0002642	XP_963793.1	YOL034W
OG0002643	XP_963807.1	YAL012W
OG0002644	XP_963810.3	YDL045C
OG0002645	XP_963814.2	YBR233W
OG0002646	XP_963818.1	YNL250W
OG0002647	XP_963821.1	YDL174C
OG0002648	XP_963824.1	YJL140W
OG0002649	XP_963826.1	YDR496C
OG0002650	XP_963827.1	YDR152W
OG0002651	XP_963828.1	YDR161W
OG0002652	XP_963830.2	YDL154W
OG0002653	XP_963840.3	YJL012C
OG0002654	XP_963841.1	YDR465C
OG0002655	XP_963850.2	YEL050C
OG0002656	XP_963854.2	YLR251W
OG0002657	XP_963855.1	YOL003C
OG0002658	XP_963859.1	YLR337C
OG0002659	XP_963862.1	YGR159C
OG0002660	XP_963864.3	YBR268W
OG0002661	XP_963865.1	YMR227C
OG0002662	XP_963866.1	YPL011C
OG0002663	XP_963867.3	YML038C
OG0002664	XP_963869.3	YDR091C
OG0002665	XP_963870.1	YKL012W
OG0002666	XP_963874.1	YCR092C
OG0002667	XP_963877.1	YKL197C
OG0002668	XP_963878.1	YBR202W
OG0002669	XP_963880.1	YOR294W
OG0002670	XP_963891.1	YLR084C
OG0002671	XP_963893.2	YGR005C
OG0002672	XP_963907.1	YBR256C
OG0002673	XP_963908.1	YDR386W
OG0002674	XP_963909.2	YEL058W
OG0002675	XP_963910.1	YBR034C
OG0002676	XP_963912.3	YCR014C
OG0002677	XP_963921.3	YMR287C
OG0002678	XP_963926.2	YJR143C
OG0002679	XP_963929.1	YPL147W
OG0002680	XP_963931.1	YHR104W
OG0002681	XP_963932.2	YKL193C
OG0002682	XP_963950.2	YDL104C
OG0002683	XP_963951.1	YPR103W
OG0002684	XP_963953.2	YHR070W
OG0002685	XP_963954.2	YDL193W
OG0002686	XP_963955.1	YLR166C
OG0002687	XP_963963.1	YDR408C
OG0002688	XP_963973.1	YGR133W
OG0002689	XP_964009.1	YOR346W
OG0002690	XP_964011.1	YDR400W
OG0002691	XP_964016.1	YHR134W
OG0002692	XP_964019.1	YKL134C
OG0002693	XP_964021.1	YPL169C
OG0002694	XP_964022.1	YIR002C
OG0002695	XP_964024.3	YER055C
OG0002696	XP_964030.3	YMR190C
OG0002697	XP_964037.1	YOR157C
OG0002698	XP_964042.1	YDR469W
OG0002699	XP_964043.1	YDR064W
OG0002700	XP_964045.3	YML060W
OG0002701	XP_964046.2	YJR141W
OG0002702	XP_964047.1	YMR288W
OG0002703	XP_964049.2	YHR007C
OG0002704	XP_964051.2	YPL155C
OG0002705	XP_964054.1	YMR120C
OG0002706	XP_964055.1	YDR258C
OG0002707	XP_964056.1	YDR013W
OG0002708	XP_964057.1	YGR125W
OG0002709	XP_964058.1	YNL286W
OG0002710	XP_964060.1	YPL050C
OG0002711	XP_964068.1	YLL001W
OG0002712	XP_964069.3	YLL018C-A
OG0002713	XP_964071.2	YKL221W
OG0002714	XP_964074.2	YDL116W
OG0002715	XP_964079.2	YPL098C
OG0002716	XP_964087.2	YNL040W
OG0002717	XP_964097.2	YDL140C
OG0002718	XP_964098.1	YAR003W
OG0002719	XP_964102.2	YAL044W-A
OG0002720	XP_964103.1	YDL103C
OG0002721	XP_964105.1	YMR109W
OG0002722	XP_964106.1	YDR128W
OG0002723	XP_964107.1	YDR092W
OG0002724	XP_964112.1	YML013W
OG0002725	XP_964113.3	YKL025C
OG0002726	XP_964114.3	YNL147W
OG0002727	XP_964119.2	YNL326C
OG0002728	XP_964120.1	YDR419W
OG0002729	XP_964123.1	YJR132W
OG0002730	XP_964124.2	YPL162C
OG0002731	XP_964129.1	YDL143W
OG0002732	XP_964130.1	YKL145W
OG0002733	XP_964155.1	YHL008C
OG0002734	XP_964166.2	YDR121W
OG0002735	XP_964169.1	YHR037W
OG0002736	XP_964172.3	YGR266W
OG0002737	XP_964173.1	YGR101W
OG0002738	XP_964182.1	YKL099C
OG0002739	XP_964186.3	YMR165C
OG0002740	XP_964187.1	YMR236W
OG0002741	XP_964188.1	YCL030C
OG0002742	XP_964195.1	YLR097C
OG0002743	XP_964200.2	YLR109W
OG0002744	XP_964203.1	YDR265W
OG0002745	XP_964204.1	YDR414C
OG0002746	XP_964206.2	YLR151C
OG0002747	XP_964208.1	YJR025C
OG0002748	XP_964217.1	YDL003W
OG0002749	XP_964218.1	YGL167C
OG0002750	XP_964222.1	YNL315C
OG0002751	XP_964231.2	YPR091C
OG0002752	XP_964234.1	YDR088C
OG0002753	XP_964235.2	YPL167C
OG0002754	XP_964237.3	YDR150W
OG0002755	XP_964238.1	YLR323C
OG0002756	XP_964239.2	YNR007C
OG0002757	XP_964240.1	YNL243W
OG0002758	XP_964260.1	YHR087W
OG0002759	XP_964266.3	YDR047W
OG0002760	XP_964271.2	YJL194W
OG0002761	XP_964273.1	YJR131W
OG0002762	XP_964275.1	YIR009W
OG0002763	XP_964276.1	YBR234C
OG0002764	XP_964278.3	YKR039W
OG0002765	XP_964281.1	YMR097C
OG0002766	XP_964291.2	YJR104C
OG0002767	XP_964294.1	YLR354C
OG0002768	XP_964295.2	YPL076W
OG0002769	XP_964305.1	YPR144C
OG0002770	XP_964306.1	YPL078C
OG0002771	XP_964308.1	YDR140W
OG0002772	XP_964310.1	YMR123W
OG0002773	XP_964316.3	YLR127C
OG0002774	XP_964321.1	YER173W
OG0002775	XP_964329.3	YGR094W
OG0002776	XP_964344.3	YPL030W
OG0002777	XP_964345.2	YNL244C
OG0002778	XP_964346.3	YNL080C
OG0002779	XP_964349.1	YJR010W
OG0002780	XP_964355.3	YGR195W
OG0002781	XP_964356.1	YOR288C
OG0002782	XP_964357.2	YLR181C
OG0002783	XP_964364.3	YDR536W
OG0002784	XP_964366.2	YFR004W
OG0002785	XP_964367.2	YNL330C
OG0002786	XP_964373.3	YLR411W
OG0002787	XP_964378.2	YJR125C
OG0002788	XP_964380.1	YNR003C
OG0002789	XP_964389.1	YHR111W
OG0002790	XP_964390.1	YKR065C
OG0002791	XP_964396.3	YPR184W
OG0002792	XP_964416.2	YML072C
OG0002793	XP_964421.1	YGR095C
OG0002794	XP_964422.1	YPL152W
OG0002795	XP_964426.3	YNL023C
OG0002796	XP_964429.2	YPR048W
OG0002797	XP_964433.3	YGL058W
OG0002798	XP_964435.1	YMR244W
OG0002799	XP_964442.3	YIL129C
OG0002800	XP_964443.1	YHR042W
OG0002801	XP_964447.2	YOR262W
OG0002802	XP_964449.1	YHR026W
OG0002803	XP_964450.1	YKL058W
OG0002804	XP_964451.2	YGL194C
OG0002805	XP_964453.2	YKL035W
OG0002806	XP_964458.1	YOR130C
OG0002807	XP_964459.1	YDR243C
OG0002808	XP_964460.1	YGR076C
OG0002809	XP_964462.1	YER177W
OG0002810	XP_964464.1	YJL041W
OG0002811	XP_964466.3	YER025W
OG0002812	XP_964468.2	YKL024C
OG0002813	XP_964470.3	YDL101C
OG0002814	XP_964481.3	YER094C
OG0002815	XP_964486.1	YDR139C
OG0002816	XP_964487.1	YGR231C
OG0002817	XP_964488.2	YGL044C
OG0002818	XP_964494.2	YOR002W
OG0002819	XP_964496.1	YGR284C
OG0002820	XP_964498.1	YMR049C
OG0002821	XP_964502.3	YMR313C
OG0002822	XP_964506.2	YDR049W
OG0002823	XP_964507.3	YKL140W
OG0002824	XP_964508.1	YJR034W
OG0002825	XP_964515.3	YMR074C
OG0002826	XP_964516.1	YDR204W
OG0002827	XP_964518.1	YDL213C
OG0002828	XP_964521.2	YGR112W
OG0002829	XP_964526.3	YGR152C
OG0002830	XP_964527.3	YDR090C
OG0002831	XP_964528.1	YLR003C
OG0002832	XP_964547.1	YGL037C
OG0002833	XP_964548.1	YOR027W
OG0002834	XP_964551.1	YJL108C
OG0002835	XP_964555.1	YOR348C
OG0002836	XP_964560.2	YDR531W
OG0002837	XP_964572.1	YAR015W
OG0002838	XP_964577.1	YJL212C
OG0002839	XP_964583.3	YBR037C
OG0002840	XP_964584.2	YPL138C
OG0002841	XP_964591.1	YGR235C
OG0002842	XP_964593.1	YOR206W
OG0002843	XP_964594.1	YOL009C
OG0002844	XP_964601.1	YML130C
OG0002845	XP_964602.3	YNL209W
OG0002846	XP_964603.1	YOL139C
OG0002847	XP_964606.3	YBR135W
OG0002848	XP_964609.3	YDR301W
OG0002849	XP_964610.1	YFR019W
OG0002850	XP_964617.1	YMR043W
OG0002851	XP_964622.1	YLR330W
OG0002852	XP_964624.1	YMR260C
OG0002853	XP_964625.1	YOR181W
OG0002854	XP_964627.3	YPL022W
OG0002855	XP_964629.3	YHR039C
OG0002856	XP_964630.1	YER166W
OG0002857	XP_964638.1	YGR264C
OG0002858	XP_964648.3	YDR229W
OG0002859	XP_964649.1	YLR118C
OG0002860	XP_964658.3	YLR430W
OG0002861	XP_964666.2	YBR025C
OG0002862	XP_964670.2	YML002W
OG0002863	XP_964674.1	YBR088C
OG0002864	XP_964682.1	YKL125W
OG0002865	XP_964684.1	YEL003W
OG0002866	XP_964685.1	YBL059C-A
OG0002867	XP_964686.1	YJR085C
OG0002868	XP_964690.1	YDR511W
OG0002869	XP_964693.2	YMR001C
OG0002870	XP_964696.1	YDR489W
OG0002871	XP_964699.1	YJR024C
OG0002872	XP_964700.3	YAL058W
OG0002873	XP_964709.3	YBR111C
OG0002874	XP_964712.3	YHR023W
OG0002875	XP_964714.1	YBR260C
OG0002876	XP_964715.1	YDR158W
OG0002877	XP_964725.1	YPR166C
OG0002878	XP_964726.1	YOR196C
OG0002879	XP_964727.2	YOR327C
OG0002880	XP_964729.1	YKL100C
OG0002881	XP_964731.2	YDR045C
OG0002882	XP_964732.1	YGL242C
OG0002883	XP_964741.1	YLL018C
OG0002884	XP_964746.2	YPL040C
OG0002885	XP_964750.3	YLR459W
OG0002886	XP_964751.1	YGR103W
OG0002887	XP_964753.2	YBL063W
OG0002888	XP_964796.3	YKL213C
OG0002889	XP_964807.1	YLR070C
OG0002890	XP_964810.1	YKR016W
OG0002891	XP_964812.2	YKL212W
OG0002892	XP_964814.2	YDR255C
OG0002893	XP_964815.1	YAL042W
OG0002894	XP_964817.3	YCR044C
OG0002895	XP_964824.1	YPR010C
OG0002896	XP_964834.2	YOR386W
OG0002897	XP_964840.1	YOL138C
OG0002898	XP_964855.2	YBR187W
OG0002899	XP_964857.1	YNL287W
OG0002900	XP_964861.2	YMR063W
OG0002901	XP_964869.1	YGR208W
OG0002902	XP_964870.2	YPR167C
OG0002903	XP_964872.2	YER048W-A
OG0002904	XP_964876.1	YLR347C
OG0002905	XP_964878.1	YFR011C
OG0002906	XP_964879.1	YGL050W
OG0002907	XP_964880.3	YLR246W
OG0002908	XP_964882.2	YDR397C
OG0002909	XP_964885.1	YOL152W
OG0002910	XP_964893.2	YDL084W
OG0002911	XP_964902.2	YHR071W
OG0002912	XP_964908.1	YPL060W
OG0002913	XP_964918.2	YBR220C
OG0002914	XP_964924.2	YHR086W
OG0002915	XP_964926.1	YHL030W
OG0002916	XP_964927.2	YDR330W
OG0002917	XP_964931.2	YNL037C
OG0002918	XP_964933.1	YCR047C
OG0002919	XP_964934.1	YHR181W
OG0002920	XP_964945.1	YLR241W
OG0002921	XP_964950.1	YCR072C
OG0002922	XP_964959.2	YHR183W
OG0002923	XP_964967.3	YJR126C
OG0002924	XP_964971.1	YKL150W
OG0002925	XP_964972.1	YDR162C
OG0002926	XP_964973.1	YNL222W
OG0002927	XP_964976.1	YML056C
OG0002928	XP_964977.1	YIR034C
OG0002929	XP_964983.3	YOR061W
OG0002930	XP_964988.3	YKL194C
OG0002931	XP_964989.1	YOR111W
OG0002932	XP_965002.1	YDL072C
OG0002933	XP_965007.1	YPL126W
OG0002934	XP_965008.1	YOR210W
OG0002935	XP_965011.2	YBR271W
OG0002936	XP_965014.1	YPR112C
OG0002937	XP_965018.1	YOR194C
OG0002938	XP_965019.2	YGL116W
OG0002939	XP_965021.3	YLR191W
OG0002940	XP_965022.1	YLR401C
OG0002941	XP_965024.1	YLR403W
OG0002942	XP_965026.1	YNR018W
OG0002943	XP_965028.1	YOR188W
OG0002944	XP_965029.1	YML021C
OG0002945	XP_965030.3	YDR182W
OG0002946	XP_965039.1	YPL183C
OG0002947	XP_965042.2	YGR086C
OG0002948	XP_965045.1	YGR258C
OG0002949	XP_965051.3	YCL038C
OG0002950	XP_965056.2	YPR176C
OG0002951	XP_965057.1	YNL305C
OG0002952	XP_965058.2	YJR076C
OG0002953	XP_965061.1	YIR005W
OG0002954	XP_965067.3	YGR119C
OG0002955	XP_965069.3	YMR189W
OG0002956	XP_965071.1	YIR012W
OG0002957	XP_965075.1	YPR006C
OG0002958	XP_965084.3	YFR041C
OG0002959	XP_965087.1	YOR362C
OG0002960	XP_965088.2	YBL004W
OG0002961	XP_965089.3	YGR093W
OG0002962	XP_965090.2	YMR036C
OG0002963	XP_965091.1	YEL055C
OG0002964	XP_965092.3	YGR003W
OG0002965	XP_965093.1	YNL310C
OG0002966	XP_965098.2	YFL046W
OG0002967	XP_965101.1	YGR091W
OG0002968	XP_965102.1	YLR117C
OG0002969	XP_965108.2	YBL102W
OG0002970	XP_965110.1	YHL023C
OG0002971	XP_965112.2	YDR019C
OG0002972	XP_965113.1	YKR086W
OG0002973	XP_965114.1	YLR196W
OG0002974	XP_965122.2	YER163C
OG0002975	XP_965126.1	YER095W
OG0002976	XP_965128.3	YJL053W
OG0002977	XP_965131.1	YPR036W
OG0002978	XP_965132.3	YFL034W
OG0002979	XP_965137.3	YEL046C
OG0002980	XP_965143.2	YNR015W
OG0002981	XP_965144.3	YBR011C
OG0002982	XP_965145.1	YMR225C
OG0002983	XP_965147.2	YHR075C
OG0002984	XP_965149.2	YIL110W
OG0002985	XP_965151.1	YHR076W
OG0002986	XP_965157.3	YIL128W
OG0002987	XP_965158.1	YML055W
OG0002988	XP_965159.1	YKL207W
OG0002989	XP_965164.1	YOL040C
OG0002990	XP_965170.1	YJL096W
OG0002991	XP_965171.2	YDL028C
OG0002992	XP_965172.1	YDR382W
OG0002993	XP_965174.1	YER126C
OG0002994	XP_965198.2	YER118C
OG0002995	XP_965201.1	YNL200C
OG0002996	XP_965202.1	YPL013C
OG0002997	XP_965224.1	YML081C-A
OG0002998	XP_965236.2	YNL239W
OG0002999	XP_965242.2	YGL200C
OG0003000	XP_965244.1	YDR270W
OG0003001	XP_965246.2	YOR301W
OG0003002	XP_965255.1	YDR353W
OG0003003	XP_965256.1	YPR107C
OG0003004	XP_965260.3	YML102W
OG0003005	XP_965262.1	YLR245C
OG0003006	XP_965268.1	YBR193C
OG0003007	XP_965271.1	YHR062C
OG0003008	XP_965272.1	YBL029C-A
OG0003009	XP_965273.1	YFR048W
OG0003010	XP_965276.1	YNL329C
OG0003011	XP_965277.1	YFR016C
OG0003012	XP_965286.1	YIL001W
OG0003013	XP_965287.2	YAR018C
OG0003014	XP_965288.1	YML086C
OG0003015	XP_965291.1	YOR370C
OG0003016	XP_965293.1	YPR063C
OG0003017	XP_965294.2	YOR128C
OG0003018	XP_965295.2	YLR405W
OG0003019	XP_965304.1	YNL240C
OG0003020	XP_965307.1	YMR235C
OG0003021	XP_965316.1	YER170W
OG0003022	XP_965317.1	YPR125W
OG0003023	XP_965318.1	YJL036W
OG0003024	XP_965329.1	YIL022W
OG0003025	XP_965330.1	YNL306W
OG0003026	XP_965331.1	YDR375C
OG0003027	XP_965333.2	YGR183C
OG0003028	XP_965334.3	YGR184C
OG0003029	XP_965337.1	YMR055C
OG0003030	XP_965341.2	YIL094C
OG0003031	XP_965342.2	YLR069C
OG0003032	XP_965347.3	YDR244W
OG0003033	XP_965348.1	YGR276C
OG0003034	XP_965350.1	YML094W
OG0003035	XP_965352.2	YML065W
OG0003036	XP_965353.3	YPL151C
OG0003037	XP_965354.1	YGR232W
OG0003038	XP_965360.1	YDL119C
OG0003039	XP_965364.2	YJR116W
OG0003040	XP_965366.2	YML035C
OG0003041	XP_965367.1	YEL004W
OG0003042	XP_965368.1	YHR200W
OG0003043	XP_965370.1	YJR014W
OG0003044	XP_965382.3	YDR452W
OG0003045	XP_965390.1	YBR221C
OG0003046	XP_965392.1	YML008C
OG0003047	XP_965393.2	YBR065C
OG0003048	XP_965394.1	YDR493W
OG0003049	XP_965395.3	YGR285C
OG0003050	XP_965396.1	YBR115C
OG0003051	XP_965404.1	YJL069C
OG0003052	XP_965407.2	YGL045W
OG0003053	XP_965410.1	YJL029C
OG0003054	XP_965414.2	YMR276W
OG0003055	XP_965415.3	YEL062W
OG0003056	XP_965416.1	YPL097W
OG0003057	XP_965419.1	YGL237C
OG0003058	XP_965423.1	YDL147W
OG0003059	XP_965426.1	YJR152W
OG0003060	XP_965431.2	YLR243W
OG0003061	XP_965433.3	YGL010W
OG0003062	XP_965434.3	YDR404C
OG0003063	XP_965438.3	YOR245C
OG0003064	XP_965443.3	YLR143W
OG0003065	XP_965444.2	YER130C
OG0003066	XP_965448.1	YOL010W
OG0003067	XP_965450.1	YJR109C
OG0003068	XP_965454.1	YBR171W
OG0003069	XP_965458.1	YER172C
OG0003070	XP_965460.1	YJR068W
OG0003071	XP_965462.3	YDL240W
OG0003072	XP_965463.2	YNL115C
OG0003073	XP_965466.1	YGL001C
OG0003074	XP_965474.3	YOL057W
OG0003075	XP_965475.1	YDR248C
OG0003076	XP_965478.1	YLR393W
OG0003077	XP_965479.1	YHL031C
OG0003078	XP_965487.3	YFL031W
OG0003079	XP_965488.1	YLR398C
OG0003080	XP_965489.1	YMR048W
OG0003081	XP_965509.2	YLR309C
OG0003082	XP_965515.1	YGR042W
OG0003083	XP_965525.1	YGR165W
OG0003084	XP_965533.1	YFL017C
OG0003085	XP_965538.3	YLR026C
OG0003086	XP_965542.3	YNL272C
OG0003087	XP_965544.1	YJL203W
OG0003088	XP_965545.1	YOR357C
OG0003089	XP_965547.1	YBR192W
OG0003090	XP_965549.1	YKL013C
OG0003091	XP_965550.1	YFR010W
OG0003092	XP_965581.1	YJL123C
OG0003093	XP_965588.2	YKL029C
OG0003094	XP_965617.1	YML036W
OG0003095	XP_965618.1	YLR142W
OG0003096	XP_965622.2	YIL039W
OG0003097	XP_965625.3	YPL063W
OG0003098	XP_965630.2	YDR032C
OG0003099	XP_965633.2	YMR158W
OG0003100	XP_965636.2	YBR218C
OG0003101	XP_965639.1	YER029C
OG0003102	XP_965641.1	YGL206C
OG0003103	XP_965642.2	YNL061W
OG0003104	XP_965644.1	YKL151C
OG0003105	XP_965645.1	YBL099W
OG0003106	XP_965646.2	YHR028C
OG0003107	XP_965655.1	YPL115C
