	Metschnikowia_aberdeeniae	Saccharomyces_cerevisiae
OG0000059	augustus_masked-abe-_s17-processed-gene-5.167-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-5.167&CDS=1-1032	YDR541C, YGL039W, YGL157W, YOL151W
OG0000060	augustus_masked-abe-_s2-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-6.127&CDS=1-2505, augustus_masked-abe-_s75-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-1.81&CDS=1-1329, augustus_masked-abe-_s77-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-1.13&CDS=1-1218, snap_masked-abe-_s2-processed-gene-1.29-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-1.29&CDS=1-1074	YBR004C
OG0000061	augustus_masked-abe-_s2-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-2.134&CDS=1-1530, augustus_masked-abe-_s2-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-7.139&CDS=1-1383	YDL159W, YOR231W, YPL140C
OG0000062	augustus_masked-abe-_s75-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-0.42&CDS=1-3546, maker-abe-_s2-augustus-gene-3.122-mRNA-1_1&gene=maker-abe-_s2-augustus-gene-3.122&CDS=1-4677	YML072C, YNL087W, YOR086C
OG0000063	augustus_masked-abe-_s2-processed-gene-7.189-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-7.189&CDS=1-1662, augustus_masked-abe-_s70-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-8.110&CDS=1-1593, snap_masked-abe-_s69-processed-gene-0.124-mRNA-1_1&gene=snap_masked-abe-_s69-processed-gene-0.124&CDS=1-1836	YLR343W, YMR307W
OG0000064	augustus_masked-abe-_s2-processed-gene-7.157-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-7.157&CDS=1-1191, augustus_masked-abe-_s70-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-6.102&CDS=1-1263	YCR094W, YNL323W, YNR048W
OG0000065	augustus_masked-abe-_s70-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-1.136&CDS=1-1059, augustus_masked-abe-_s77-processed-gene-2.168-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.168&CDS=1-837, snap_masked-abe-_s25-processed-gene-1.137-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-1.137&CDS=1-753	YJL079C, YKR013W
OG0000066	augustus_masked-abe-_s25-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-2.45&CDS=1-1143, augustus_masked-abe-_s25-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.35&CDS=1-1950	YLR455W, YMR042W, YMR043W
OG0000067	augustus_masked-abe-_s25-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.1&CDS=1-4470	YBL017C, YIL173W, YJL222W, YNR065C
OG0000068	augustus_masked-abe-_s25-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.132&CDS=1-1356, augustus_masked-abe-_s70-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-2.122&CDS=1-1284	YBR199W, YJL139C, YKR061W
OG0000069	maker-abe-_s34-augustus-gene-1.106-mRNA-1_1&gene=maker-abe-_s34-augustus-gene-1.106&CDS=1-1917, snap_masked-abe-_s25-processed-gene-6.291-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-6.291&CDS=1-1503	YMR169C, YMR170C, YOR374W
OG0000070	augustus_masked-abe-_s34-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.56&CDS=1-2142, augustus_masked-abe-_s7-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.112&CDS=1-2466	YFL050C, YKL064W, YOL130W
OG0000071	maker-abe-_s4-snap-gene-2.9-mRNA-1_1&gene=maker-abe-_s4-snap-gene-2.9&CDS=1-1740	YBR297W, YFL052W, YGR288W, YPR196W
OG0000072	augustus_masked-abe-_s6-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-abe-_s6-processed-gene-0.44&CDS=1-1434, augustus_masked-abe-_s7-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.117&CDS=1-1863	YCR065W, YIL131C, YNL068C
OG0000073	augustus_masked-abe-_s7-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.50&CDS=1-1542, augustus_masked-abe-_s70-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-3.62&CDS=1-1836, snap_masked-abe-_s70-processed-gene-3.123-mRNA-1_1&gene=snap_masked-abe-_s70-processed-gene-3.123&CDS=1-1548	YGR197C, YJR015W
OG0000074	augustus_masked-abe-_s7-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.133&CDS=1-1314, augustus_masked-abe-_s70-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-4.10&CDS=1-1308	YDL155W, YGR108W, YPR119W
OG0000075	augustus_masked-abe-_s7-processed-gene-11.8-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-11.8&CDS=1-7359, augustus_masked-abe-_s7-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.56&CDS=1-5490, maker-abe-_s75-augustus-gene-0.103-mRNA-1_1&gene=maker-abe-_s75-augustus-gene-0.103&CDS=1-3402	YGR204W, YNL271C
OG0000076	augustus_masked-abe-_s76-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-abe-_s76-processed-gene-0.113&CDS=1-4410, snap_masked-abe-_s7-processed-gene-6.67-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-6.67&CDS=1-1824	YLR273C, YOL141W, YOR178C
OG0000077	augustus_masked-abe-_s7-processed-gene-9.58-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-9.58&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
OG0000078	augustus_masked-abe-_s7-processed-gene-10.35-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-10.35&CDS=1-1950, maker-abe-_s75-augustus-gene-10.106-mRNA-1_1&gene=maker-abe-_s75-augustus-gene-10.106&CDS=1-2310	YDR107C, YER113C, YLR083C
OG0000079	augustus_masked-abe-_s7-processed-gene-11.40-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-11.40&CDS=1-4554, augustus_masked-abe-_s75-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-1.89&CDS=1-4374, augustus_masked-abe-_s75-processed-gene-11.112-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-11.112&CDS=1-4353	YDR011W, YOR153W
OG0000080	augustus_masked-abe-_s70-processed-gene-8.112-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-8.112&CDS=1-5652, genemark-abe-_s75-processed-gene-3.39-mRNA-1_1&gene=genemark-abe-_s75-processed-gene-3.39&CDS=1-12915	YGR032W, YLR342W, YNR016C
OG0000081	augustus_masked-abe-_s75-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-6.17&CDS=1-1026, augustus_masked-abe-_s77-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.133&CDS=1-1002, augustus_masked-abe-_s77-processed-gene-2.190-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.190&CDS=1-993	YDL078C, YKL085W
OG0000082		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000083	augustus_masked-abe-_C12224-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-abe-_C12224-processed-gene-0.7&CDS=1-819, maker-abe-_C12212-augustus-gene-0.7-mRNA-1_1&gene=maker-abe-_C12212-augustus-gene-0.7&CDS=1-897	YHL034C, YLL046C
OG0000084	augustus_masked-abe-_s1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.14&CDS=1-4131, snap_masked-abe-_s12-processed-gene-7.181-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-7.181&CDS=1-4218	YGL092W, YKL113C
OG0000085	augustus_masked-abe-_s1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.16&CDS=1-450	YBR067C, YIL011W, YOR010C
OG0000086	augustus_masked-abe-_s1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.19&CDS=1-2178, augustus_masked-abe-_s13-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-6.55&CDS=1-1872, augustus_masked-abe-_s7-processed-gene-11.26-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-11.26&CDS=1-2109, augustus_masked-abe-_s77-processed-gene-2.185-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.185&CDS=1-2121	
OG0000087	augustus_masked-abe-_s1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.49&CDS=1-591, augustus_masked-abe-_s77-processed-gene-2.167-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.167&CDS=1-1272	YHR179W, YPL171C
OG0000088	augustus_masked-abe-_s7-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.68&CDS=1-2337, maker-abe-_s1-augustus-gene-1.51-mRNA-1_1&gene=maker-abe-_s1-augustus-gene-1.51&CDS=1-2793	YAL023C, YGR199W
OG0000089	augustus_masked-abe-_s7-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-8.84&CDS=1-2511, snap_masked-abe-_s1-processed-gene-1.83-mRNA-1_1&gene=snap_masked-abe-_s1-processed-gene-1.83&CDS=1-2559	YJL092W, YOL095C
OG0000090	augustus_masked-abe-_s1-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-2.13&CDS=1-2826, augustus_masked-abe-_s7-processed-gene-9.70-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-9.70&CDS=1-3354	YER017C, YMR089C
OG0000091	augustus_masked-abe-_s1-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-2.40&CDS=1-1317, augustus_masked-abe-_s7-processed-gene-10.25-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-10.25&CDS=1-1230	YLR090W, YNL064C
OG0000092	augustus_masked-abe-_s1-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-4.33&CDS=1-2493, augustus_masked-abe-_s75-processed-gene-11.126-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-11.126&CDS=1-2610	YBR073W, YGL163C
OG0000093	augustus_masked-abe-_s1-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-4.15&CDS=1-4653, maker-abe-_s2-augustus-gene-2.144-mRNA-1_1&gene=maker-abe-_s2-augustus-gene-2.144&CDS=1-6921	YHR023W, YOR326W
OG0000094	augustus_masked-abe-_s1-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-4.17&CDS=1-2664, augustus_masked-abe-_s52-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-abe-_s52-processed-gene-0.2&CDS=1-2565	YMR266W, YOL084W
OG0000095	augustus_masked-abe-_s10-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-abe-_s10-processed-gene-0.0&CDS=1-1812	YOR389W, YPL277C, YPL278C
OG0000096	augustus_masked-abe-_s12-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.60&CDS=1-3450, snap_masked-abe-_s25-processed-gene-5.78-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-5.78&CDS=1-6618	YJL130C, YJR109C
OG0000097	augustus_masked-abe-_s12-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.9&CDS=1-816, augustus_masked-abe-_s6-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-abe-_s6-processed-gene-0.22&CDS=1-909	YDL114W, YLR426W
OG0000098	augustus_masked-abe-_s2-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-3.114&CDS=1-1686, maker-abe-_s12-augustus-gene-2.0-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-2.0&CDS=1-3708, maker-abe-_s70-augustus-gene-5.0-mRNA-1_1&gene=maker-abe-_s70-augustus-gene-5.0&CDS=1-2166	YHR032W
OG0000099	maker-abe-_s70-augustus-gene-3.1-mRNA-1_1&gene=maker-abe-_s70-augustus-gene-3.1&CDS=1-2676, snap_masked-abe-_s12-processed-gene-2.129-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-2.129&CDS=1-306	YLR243W, YOR262W
OG0000100	augustus_masked-abe-_s12-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.59&CDS=1-696	YFL060C, YMR095C, YNL334C
OG0000101	augustus_masked-abe-_s12-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.57&CDS=1-876, maker-abe-_s81-snap-gene-0.35-mRNA-1_1&gene=maker-abe-_s81-snap-gene-0.35&CDS=1-948	YFL059W, YNL333W
OG0000102	augustus_masked-abe-_s12-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.9&CDS=1-378, augustus_masked-abe-_s13-processed-gene-11.111-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-11.111&CDS=1-360	YGL089C, YPL187W
OG0000103	augustus_masked-abe-_s12-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.27&CDS=1-1677, augustus_masked-abe-_s75-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-3.157&CDS=1-1770	YDR037W, YNL073W
OG0000104	augustus_masked-abe-_s12-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.101&CDS=1-981, augustus_masked-abe-_s75-processed-gene-9.67-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-9.67&CDS=1-993	YCR034W, YLR372W
OG0000105	augustus_masked-abe-_s25-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.32&CDS=1-4710, maker-abe-_s12-snap-gene-5.144-mRNA-1_1&gene=maker-abe-_s12-snap-gene-5.144&CDS=1-2043	YFL033C, YNL161W
OG0000106	augustus_masked-abe-_s12-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.133&CDS=1-1014	YLL062C, YMR321C, YPL273W
OG0000107	snap_masked-abe-_s12-processed-gene-6.44-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-6.44&CDS=1-1020, snap_masked-abe-_s70-processed-gene-6.49-mRNA-1_1&gene=snap_masked-abe-_s70-processed-gene-6.49&CDS=1-1095	YER107C, YOR026W
OG0000108	augustus_masked-abe-_s12-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.126&CDS=1-1038, augustus_masked-abe-_s7-processed-gene-10.31-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-10.31&CDS=1-1419	YJL116C, YKR042W
OG0000109	augustus_masked-abe-_s12-processed-gene-7.138-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.138&CDS=1-2550, snap_masked-abe-_s4-processed-gene-2.203-mRNA-1_1&gene=snap_masked-abe-_s4-processed-gene-2.203&CDS=1-1716	YOR059C, YOR201C
OG0000110	augustus_masked-abe-_s12-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.145&CDS=1-1692, augustus_masked-abe-_s13-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-6.68&CDS=1-1737	YOR348C, YPL265W
OG0000111	augustus_masked-abe-_s75-processed-gene-11.122-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-11.122&CDS=1-1131, maker-abe-_s12-augustus-gene-7.11-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-7.11&CDS=1-3264	YFL039C, YJL081C
OG0000112	augustus_masked-abe-_s13-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-1.118&CDS=1-2943, snap_masked-abe-_s2-processed-gene-4.49-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-4.49&CDS=1-2829	YGR240C, YMR205C
OG0000113	augustus_masked-abe-_s13-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-1.145&CDS=1-5778, augustus_masked-abe-_s70-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-3.73&CDS=1-6159	YER172C, YGR271W
OG0000114	augustus_masked-abe-_s13-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-1.123&CDS=1-1719, augustus_masked-abe-_s4-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-0.123&CDS=1-2082	YDR194C, YMR290C
OG0000115	augustus_masked-abe-_s13-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-1.126&CDS=1-2463, snap_masked-abe-_s2-processed-gene-0.3-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-0.3&CDS=1-1041	YMR303C, YOL086C
OG0000116	augustus_masked-abe-_s25-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.16&CDS=1-1443, snap_masked-abe-_s13-processed-gene-2.61-mRNA-1_1&gene=snap_masked-abe-_s13-processed-gene-2.61&CDS=1-2238	YGR052W, YHR082C
OG0000117	augustus_masked-abe-_s13-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-2.131&CDS=1-1734, augustus_masked-abe-_s69-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.0&CDS=1-1863	YLL028W, YOR273C
OG0000118	augustus_masked-abe-_s13-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-2.137&CDS=1-2166, augustus_masked-abe-_s17-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-5.107&CDS=1-2076, augustus_masked-abe-_s2-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-3.120&CDS=1-2217	YER015W
OG0000119	augustus_masked-abe-_s13-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-2.139&CDS=1-2175, maker-abe-_s25-augustus-gene-4.104-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-4.104&CDS=1-1839	YIL078W, YKL194C
OG0000120	augustus_masked-abe-_s13-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-2.165&CDS=1-999, augustus_masked-abe-_s7-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-10.11&CDS=1-435	YDR214W, YNL281W
OG0000121	maker-abe-_s13-snap-gene-3.0-mRNA-1_1&gene=maker-abe-_s13-snap-gene-3.0&CDS=1-4239, snap_masked-abe-_s77-processed-gene-2.63-mRNA-1_1&gene=snap_masked-abe-_s77-processed-gene-2.63&CDS=1-4758	YJL095W, YLR362W
OG0000122	augustus_masked-abe-_s13-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-3.26&CDS=1-1395, genemark-abe-_s7-processed-gene-9.23-mRNA-1_1&gene=genemark-abe-_s7-processed-gene-9.23&CDS=1-1332	YDR030C, YNL317W
OG0000123	augustus_masked-abe-_s13-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-4.118&CDS=1-1536, augustus_masked-abe-_s34-processed-gene-6.224-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-6.224&CDS=1-1719, augustus_masked-abe-_s4-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-0.110&CDS=1-1305	YLR380W
OG0000124	augustus_masked-abe-_s13-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-4.128&CDS=1-1188, snap_masked-abe-_s70-processed-gene-6.27-mRNA-1_1&gene=snap_masked-abe-_s70-processed-gene-6.27&CDS=1-1185	YBR025C, YHL014C
OG0000125	augustus_masked-abe-_s13-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-5.113&CDS=1-1362, snap_masked-abe-_s75-processed-gene-5.78-mRNA-1_1&gene=snap_masked-abe-_s75-processed-gene-5.78&CDS=1-2724	YIL107C, YJL155C
OG0000126	augustus_masked-abe-_s13-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-5.130&CDS=1-2232, augustus_masked-abe-_s25-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-1.68&CDS=1-3207	YKL197C, YLR397C
OG0000127	augustus_masked-abe-_s13-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-5.131&CDS=1-3621, snap_masked-abe-_s70-processed-gene-3.107-mRNA-1_1&gene=snap_masked-abe-_s70-processed-gene-3.107&CDS=1-3213	YJL050W, YLR398C
OG0000128	augustus_masked-abe-_s13-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-6.60&CDS=1-1410, augustus_masked-abe-_s70-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-1.135&CDS=1-3096	YDR388W, YJL020C
OG0000129	augustus_masked-abe-_s13-processed-gene-11.173-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-11.173&CDS=1-1851, augustus_masked-abe-_s13-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-7.30&CDS=1-1389	YKL221W, YNL125C
OG0000130	augustus_masked-abe-_s13-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-7.20&CDS=1-2346, augustus_masked-abe-_s75-processed-gene-8.69-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-8.69&CDS=1-2067	YKR001C, YLL001W
OG0000131	maker-abe-_s13-snap-gene-8.47-mRNA-1_1&gene=maker-abe-_s13-snap-gene-8.47&CDS=1-1386, maker-abe-_s17-augustus-gene-0.40-mRNA-1_1&gene=maker-abe-_s17-augustus-gene-0.40&CDS=1-1737	YGL038C, YJR075W
OG0000132	augustus_masked-abe-_s13-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-8.17&CDS=1-1212, augustus_masked-abe-_s25-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-1.69&CDS=1-2535	YKL132C, YMR113W
OG0000133	augustus_masked-abe-_s13-processed-gene-9.81-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-9.81&CDS=1-2661, snap_masked-abe-_s34-processed-gene-4.87-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-4.87&CDS=1-2421	YDR258C, YLL026W
OG0000134	augustus_masked-abe-_s13-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-10.65&CDS=1-1164, augustus_masked-abe-_s75-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-3.152&CDS=1-1341	YOR334W, YPL060W
OG0000135	augustus_masked-abe-_s77-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-1.30&CDS=1-3567, snap_masked-abe-_s13-processed-gene-10.146-mRNA-1_1&gene=snap_masked-abe-_s13-processed-gene-10.146&CDS=1-2334	YDL090C, YER075C
OG0000136	augustus_masked-abe-_s13-processed-gene-11.127-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-11.127&CDS=1-1290, augustus_masked-abe-_s70-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-0.82&CDS=1-2295	YER047C, YPR173C
OG0000137	augustus_masked-abe-_s17-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-0.23&CDS=1-1221, augustus_masked-abe-_s7-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.69&CDS=1-1275	YDL066W, YLR174W
OG0000138	augustus_masked-abe-_s17-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-1.8&CDS=1-486, augustus_masked-abe-_s75-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-2.92&CDS=1-618	YDR155C, YDR304C
OG0000139	augustus_masked-abe-_s17-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-2.95&CDS=1-2226, augustus_masked-abe-_s6-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-abe-_s6-processed-gene-0.59&CDS=1-792	YHR203C, YJR145C
OG0000140	maker-abe-_s17-augustus-gene-2.139-mRNA-1_1&gene=maker-abe-_s17-augustus-gene-2.139&CDS=1-6567, snap_masked-abe-_s2-processed-gene-4.77-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-4.77&CDS=1-2337	YJL200C, YLR304C
OG0000141	augustus_masked-abe-_s17-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-2.126&CDS=1-2616, augustus_masked-abe-_s7-processed-gene-11.11-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-11.11&CDS=1-2430	YKL188C, YPL147W
OG0000142	augustus_masked-abe-_s17-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-4.13&CDS=1-2016, snap_masked-abe-_s2-processed-gene-6.77-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-6.77&CDS=1-2034	YAL054C, YLR153C
OG0000143	augustus_masked-abe-_s69-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.29&CDS=1-996, genemark-abe-_s17-processed-gene-4.133-mRNA-1_1&gene=genemark-abe-_s17-processed-gene-4.133&CDS=1-2061	YEL007W, YHR177W
OG0000144	augustus_masked-abe-_s17-processed-gene-5.168-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-5.168&CDS=1-570, augustus_masked-abe-_s75-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-0.29&CDS=1-660	YIR001C, YIR005W
OG0000145	augustus_masked-abe-_s7-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-8.82&CDS=1-2133, maker-abe-_s17-snap-gene-5.92-mRNA-1_1&gene=maker-abe-_s17-snap-gene-5.92&CDS=1-4713	YDL138W, YDL194W
