	Hanseniaspora_valbyensis	Saccharomyces_cerevisiae
OG0000069	augustus_masked-scaffold_338-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_338-processed-gene-0.4&CDS=1-765, augustus_masked-scaffold_505-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_505-processed-gene-0.2&CDS=1-1698, genemark-scaffold_393-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_393-processed-gene-0.4&CDS=1-825	YLR335W
OG0000070	augustus_masked-scaffold_390-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_390-processed-gene-0.3&CDS=1-1041, augustus_masked-scaffold_5-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.6&CDS=1-1257, augustus_masked-scaffold_573-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_573-processed-gene-0.1&CDS=1-1407	YOR334W
OG0000071	augustus_masked-scaffold_6-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.71&CDS=1-1314, snap_masked-scaffold_396-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scaffold_396-processed-gene-0.1&CDS=1-1323	YBR267W, YLR387C
OG0000072	augustus_masked-scaffold_4-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.13&CDS=1-531, augustus_masked-scaffold_4-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.14&CDS=1-2607, augustus_masked-scaffold_4-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.15&CDS=1-858	YPR185W
OG0000073	augustus_masked-scaffold_4-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.33&CDS=1-1428, genemark-scaffold_41-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_41-processed-gene-0.18&CDS=1-1347, snap_masked-scaffold_4-processed-gene-1.81-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.81&CDS=1-1509	YGR212W
OG0000074	augustus_masked-scaffold_4-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.113&CDS=1-1083, augustus_masked-scaffold_409-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scaffold_409-processed-gene-0.8&CDS=1-678, maker-scaffold_6-snap-gene-3.0-mRNA-1_1&gene=maker-scaffold_6-snap-gene-3.0&CDS=1-2274	YLR130C
OG0000075	genemark-scaffold_400-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_400-processed-gene-0.1&CDS=1-1050, genemark-scaffold_9-processed-gene-1.127-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.127&CDS=1-603	YBR241C, YGL104C
OG0000076	augustus_masked-scaffold_409-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scaffold_409-processed-gene-0.7&CDS=1-657, augustus_masked-scaffold_6-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.73&CDS=1-699, genemark-scaffold_409-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_409-processed-gene-0.3&CDS=1-699	YMR314W
OG0000077	genemark-scaffold_416-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_416-processed-gene-0.3&CDS=1-864, genemark-scaffold_439-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_439-processed-gene-0.0&CDS=1-861	YBR014C, YDL010W
OG0000078	genemark-scaffold_597-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_597-processed-gene-0.5&CDS=1-825, maker-scaffold_454-snap-gene-0.4-mRNA-1_1&gene=maker-scaffold_454-snap-gene-0.4&CDS=1-870	YDR151C, YLR136C
OG0000079	augustus_masked-scaffold_6-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.78&CDS=1-2988, genemark-scaffold_475-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_475-processed-gene-0.3&CDS=1-819, genemark-scaffold_582-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_582-processed-gene-0.3&CDS=1-798	YMR027W
OG0000080	augustus_masked-scaffold_5-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.4&CDS=1-1728, genemark-scaffold_635-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_635-processed-gene-0.2&CDS=1-1701, genemark-scaffold_90-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_90-processed-gene-0.7&CDS=1-321	YJR052W
OG0000081	augustus_masked-scaffold_5-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.56&CDS=1-885	YLL052C, YLL053C, YPR192W
OG0000082	snap_masked-scaffold_547-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scaffold_547-processed-gene-0.8&CDS=1-186, snap_masked-scaffold_559-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scaffold_559-processed-gene-0.8&CDS=1-186, snap_masked-scaffold_6-processed-gene-4.24-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.24&CDS=1-237	YHR001W-A
OG0000083	genemark-scaffold_566-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_566-processed-gene-0.0&CDS=1-717, genemark-scaffold_568-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_568-processed-gene-0.3&CDS=1-699	YGR136W, YPR154W
OG0000084	augustus_masked-scaffold_588-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_588-processed-gene-0.5&CDS=1-1302, genemark-scaffold_611-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_611-processed-gene-0.3&CDS=1-1293, genemark-scaffold_9-processed-gene-1.124-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.124&CDS=1-705	YGL097W
OG0000085	augustus_masked-scaffold_6-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.86&CDS=1-2628, augustus_masked-scaffold_621-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_621-processed-gene-0.1&CDS=1-2043, augustus_masked-scaffold_627-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_627-processed-gene-0.3&CDS=1-2040	YLR436C
OG0000086	augustus_masked-scaffold_7-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.67&CDS=1-1089, snap_masked-scaffold_7-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.4&CDS=1-1083	YMR303C, YOL086C
OG0000087	snap_masked-scaffold_7-processed-gene-1.2-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.2&CDS=1-387	YDR276C, YDR525W-A, YJL151C
OG0000088	augustus_masked-scaffold_9-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-1.80&CDS=1-2262	YOR389W, YPL277C, YPL278C
OG0000089	genemark-scaffold_94-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_94-processed-gene-0.8&CDS=1-3531	YBL005W, YER184C, YGL013C
OG0000090		YBL017C, YIL173W, YJL222W, YNR065C
OG0000091	snap_masked-scaffold_1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.51&CDS=1-3234	YBL106C, YPR032W
OG0000092	snap_masked-scaffold_1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.55&CDS=1-2613	YBL101C, YPR030W
OG0000093	snap_masked-scaffold_1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.74&CDS=1-981	YBL068W, YER099C
OG0000094	augustus_masked-scaffold_1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.11&CDS=1-600	YBL072C, YER102W
OG0000095	augustus_masked-scaffold_1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.18&CDS=1-1011, augustus_masked-scaffold_1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.19&CDS=1-321	YBL058W
OG0000096	augustus_masked-scaffold_1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.38&CDS=1-1542	YBL056W, YER089C
OG0000097	augustus_masked-scaffold_1-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.54&CDS=1-2103	YFR015C, YLR258W
OG0000098	snap_masked-scaffold_1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.18&CDS=1-2016	YEL041W, YJR049C
OG0000099	augustus_masked-scaffold_1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.73&CDS=1-321	YEL039C, YJR048W
OG0000100	augustus_masked-scaffold_455-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_455-processed-gene-0.1&CDS=1-756, snap_masked-scaffold_1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.39&CDS=1-1389	YOR370C
OG0000101	augustus_masked-scaffold_1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.81&CDS=1-1425	YBL089W, YER119C
OG0000102	augustus_masked-scaffold_591-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_591-processed-gene-0.3&CDS=1-1446, snap_masked-scaffold_1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.46&CDS=1-2322	YPR024W
OG0000103	genemark-scaffold_591-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_591-processed-gene-0.4&CDS=1-315, snap_masked-scaffold_1-processed-gene-2.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.60&CDS=1-1101	YPR025C
OG0000104	augustus_masked-scaffold_1-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.24&CDS=1-2370	YDR263C, YOR033C
OG0000105	augustus_masked-scaffold_1-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.26&CDS=1-2244	YBL067C, YER098W
OG0000106	augustus_masked-scaffold_1-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.30&CDS=1-1263	YFR024C-A, YHR016C
OG0000107	snap_masked-scaffold_1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.73&CDS=1-1683	YCL011C, YNL004W
OG0000108	snap_masked-scaffold_1-processed-gene-3.0-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.0&CDS=1-7584	YEL022W, YJR031C
OG0000109	augustus_masked-scaffold_1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.66&CDS=1-429, genemark-scaffold_364-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_364-processed-gene-0.4&CDS=1-1869	YEL013W
OG0000110	snap_masked-scaffold_1-processed-gene-3.32-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.32&CDS=1-2604	YFR022W, YOR018W
OG0000111	snap_masked-scaffold_1-processed-gene-3.23-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.23&CDS=1-1086	YBR031W, YDR012W
OG0000112	snap_masked-scaffold_1-processed-gene-4.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.38&CDS=1-1014, snap_masked-scaffold_10-processed-gene-1.75-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.75&CDS=1-1008	YGR015C
OG0000113	genemark-scaffold_211-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_211-processed-gene-0.0&CDS=1-327, maker-scaffold_1-snap-gene-4.33-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.33&CDS=1-1263	YBR279W
OG0000114	augustus_masked-scaffold_1-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.14&CDS=1-261	YJR094W-A, YPR043W
OG0000115	augustus_masked-scaffold_1-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.28&CDS=1-954	YBL087C, YER117W
OG0000116	snap_masked-scaffold_1-processed-gene-5.8-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.8&CDS=1-3351	YBL085W, YER114C
OG0000117	augustus_masked-scaffold_1-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.39&CDS=1-312	YER019C-A, YER087C-B
OG0000118	snap_masked-scaffold_1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.27&CDS=1-1173	YCR105W, YMR318C
OG0000119	augustus_masked-scaffold_1-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.36&CDS=1-1746	YBR270C, YJL058C
OG0000120	genemark-scaffold_212-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_212-processed-gene-0.4&CDS=1-1773, maker-scaffold_1-snap-gene-6.30-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.30&CDS=1-1047	YBR276C
OG0000121	maker-scaffold_1-snap-gene-6.26-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.26&CDS=1-2868	YJL105W, YKR029C
OG0000122	snap_masked-scaffold_1-processed-gene-7.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.47&CDS=1-2916	YJL076W, YKR010C
OG0000123	augustus_masked-scaffold_1-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.12&CDS=1-318, snap_masked-scaffold_158-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scaffold_158-processed-gene-0.1&CDS=1-318	YJR085C
OG0000124	snap_masked-scaffold_10-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.52&CDS=1-2193	YBR294W, YLR092W
OG0000125	maker-scaffold_10-snap-gene-0.70-mRNA-1_1&gene=maker-scaffold_10-snap-gene-0.70&CDS=1-1089	YBR189W, YPL081W
OG0000126	augustus_masked-scaffold_10-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.12&CDS=1-4623, augustus_masked-scaffold_5-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.86&CDS=1-4545	YPL058C
OG0000127	augustus_masked-scaffold_10-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.21&CDS=1-1809	YDR247W, YPL026C
OG0000128	snap_masked-scaffold_10-processed-gene-1.49-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.49&CDS=1-3249	YDR251W, YPL032C
OG0000129	snap_masked-scaffold_10-processed-gene-1.50-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.50&CDS=1-504	YDR252W, YPL037C
OG0000130	snap_masked-scaffold_10-processed-gene-1.64-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.64&CDS=1-1242	YDR253C, YPL038W
OG0000131	snap_masked-scaffold_10-processed-gene-1.72-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.72&CDS=1-2034	YBR169C, YPL106C
OG0000132	augustus_masked-scaffold_10-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.33&CDS=1-3600	YBR172C, YPL105C
OG0000133	snap_masked-scaffold_10-processed-gene-1.78-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.78&CDS=1-1422	YBR177C, YPL095C
OG0000134	snap_masked-scaffold_10-processed-gene-2.14-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.14&CDS=1-708	YBR181C, YPL090C
OG0000135	augustus_masked-scaffold_10-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.103&CDS=1-261, genemark-scaffold_549-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_549-processed-gene-0.0&CDS=1-945	YBR185C
OG0000136	maker-scaffold_10-snap-gene-2.4-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.4&CDS=1-2628	YDR213W, YLR228C
OG0000137	snap_masked-scaffold_10-processed-gene-2.34-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.34&CDS=1-1443	YDR200C, YLR238W
OG0000138	augustus_masked-scaffold_10-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.123&CDS=1-2289	YBR161W, YPL057C
OG0000139	augustus_masked-scaffold_104-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_104-processed-gene-0.2&CDS=1-2706, augustus_masked-scaffold_500-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_500-processed-gene-0.2&CDS=1-2304	YGL167C
OG0000140	genemark-scaffold_106-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_106-processed-gene-0.4&CDS=1-507, genemark-scaffold_57-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_57-processed-gene-0.9&CDS=1-507	YMR286W
OG0000141	genemark-scaffold_109-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_109-processed-gene-0.3&CDS=1-1032	YLL062C, YPL273W
OG0000142	genemark-scaffold_11-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.94&CDS=1-2433	YJL084C, YKR021W
OG0000143	augustus_masked-scaffold_11-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-1.33&CDS=1-1524, maker-scaffold_235-snap-gene-0.4-mRNA-1_1&gene=maker-scaffold_235-snap-gene-0.4&CDS=1-3129	YDR301W
OG0000144	genemark-scaffold_11-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.67&CDS=1-1212	YDR300C, YHR033W
OG0000145	genemark-scaffold_614-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_614-processed-gene-0.2&CDS=1-489, maker-scaffold_11-snap-gene-2.55-mRNA-1_1&gene=maker-scaffold_11-snap-gene-2.55&CDS=1-2508	YLR014C
OG0000146	maker-scaffold_222-augustus-gene-0.6-mRNA-1_1&gene=maker-scaffold_222-augustus-gene-0.6&CDS=1-693, snap_masked-scaffold_11-processed-gene-2.18-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.18&CDS=1-543	YHR067W
OG0000147	genemark-scaffold_11-processed-gene-2.86-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.86&CDS=1-1389	YDR312W, YHR066W
OG0000148	augustus_masked-scaffold_633-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_633-processed-gene-0.0&CDS=1-825, snap_masked-scaffold_11-processed-gene-2.25-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.25&CDS=1-1551	YOR022C
OG0000149	genemark-scaffold_11-processed-gene-2.92-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.92&CDS=1-1395	YER027C, YGL208W
OG0000150	maker-scaffold_111-snap-gene-0.5-mRNA-1_1&gene=maker-scaffold_111-snap-gene-0.5&CDS=1-2244	YDL109C, YGL144C
OG0000151	genemark-scaffold_112-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_112-processed-gene-0.6&CDS=1-675, snap_masked-scaffold_602-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scaffold_602-processed-gene-0.7&CDS=1-786	YPR067W
OG0000152	maker-scaffold_116-augustus-gene-0.2-mRNA-1_1&gene=maker-scaffold_116-augustus-gene-0.2&CDS=1-735	YDL161W, YLR206W
OG0000153	genemark-scaffold_12-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.26&CDS=1-1890	YIL105C, YNL047C
OG0000154	maker-scaffold_12-snap-gene-0.89-mRNA-1_1&gene=maker-scaffold_12-snap-gene-0.89&CDS=1-4905	YIL109C, YNL049C
OG0000155	genemark-scaffold_12-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.37&CDS=1-1518	YHR146W, YNL173C
OG0000156	genemark-scaffold_12-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.11&CDS=1-1641, maker-scaffold_12-snap-gene-0.91-mRNA-1_1&gene=maker-scaffold_12-snap-gene-0.91&CDS=1-2052	YHR137W
OG0000157	genemark-scaffold_12-processed-gene-1.54-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.54&CDS=1-1200	YDL222C, YNL194C
OG0000158	genemark-scaffold_12-processed-gene-1.56-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.56&CDS=1-2067	YDL224C, YNL197C
OG0000159	genemark-scaffold_12-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.79&CDS=1-1125	YNL098C, YOR101W
OG0000160	maker-scaffold_12-snap-gene-1.5-mRNA-1_1&gene=maker-scaffold_12-snap-gene-1.5&CDS=1-555	YNL096C, YOR096W
OG0000161	genemark-scaffold_12-processed-gene-1.64-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.64&CDS=1-2061	YNL095C, YOR092W
OG0000162	genemark-scaffold_12-processed-gene-2.122-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.122&CDS=1-480	YIL111W, YNL052W
OG0000163	augustus_masked-scaffold_12-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-2.72&CDS=1-498, genemark-scaffold_12-processed-gene-2.126-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.126&CDS=1-4485	YNL054W
OG0000164	genemark-scaffold_12-processed-gene-2.167-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.167&CDS=1-1233	YNL108C, YOR110W
OG0000165	genemark-scaffold_12-processed-gene-2.171-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.171&CDS=1-1353	YHR115C, YNL116W
OG0000166	augustus_masked-scaffold_121-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scaffold_121-processed-gene-0.15&CDS=1-699, genemark-scaffold_368-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_368-processed-gene-0.2&CDS=1-759	YDL018C
OG0000167	genemark-scaffold_419-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_419-processed-gene-0.6&CDS=1-177, snap_masked-scaffold_124-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_124-processed-gene-0.2&CDS=1-930	YNL315C
OG0000168	genemark-scaffold_129-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_129-processed-gene-0.12&CDS=1-693, genemark-scaffold_527-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_527-processed-gene-0.0&CDS=1-2058	YOR305W
OG0000169	augustus_masked-scaffold_6-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.19&CDS=1-321, genemark-scaffold_13-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.94&CDS=1-315	YOL039W
OG0000170	genemark-scaffold_13-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.104&CDS=1-528	YGR085C, YPR102C
OG0000171	genemark-scaffold_13-processed-gene-0.126-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.126&CDS=1-3315	YML109W, YMR273C
OG0000172	genemark-scaffold_13-processed-gene-0.110-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.110&CDS=1-741	YML106W, YMR271C
OG0000173	genemark-scaffold_13-processed-gene-1.92-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.92&CDS=1-2316, maker-scaffold_13-augustus-gene-1.51-mRNA-1_1&gene=maker-scaffold_13-augustus-gene-1.51&CDS=1-135	YHL024W
OG0000174	maker-scaffold_13-augustus-gene-1.54-mRNA-1_1&gene=maker-scaffold_13-augustus-gene-1.54&CDS=1-1452	YJL138C, YKR059W
OG0000175	genemark-scaffold_13-processed-gene-1.98-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.98&CDS=1-1419	YJL134W, YKR053C
OG0000176	genemark-scaffold_13-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.99&CDS=1-1005	YJL133W, YKR052C
OG0000177	augustus_masked-scaffold_13-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-1.90&CDS=1-597	YDL082W, YMR142C
OG0000178	genemark-scaffold_13-processed-gene-1.111-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.111&CDS=1-423	YDL083C, YMR143W
OG0000179	genemark-scaffold_13-processed-gene-2.105-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.105&CDS=1-1554	YDL088C, YMR153W
OG0000180	genemark-scaffold_13-processed-gene-2.81-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.81&CDS=1-1515	YDL085W, YMR145C
OG0000181	genemark-scaffold_13-processed-gene-2.123-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.123&CDS=1-1635, genemark-scaffold_35-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_35-processed-gene-0.24&CDS=1-1632	YJR152W
OG0000182	genemark-scaffold_13-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.96&CDS=1-1497	YCL036W, YDR514C
OG0000183	augustus_masked-scaffold_4-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.98&CDS=1-3267, genemark-scaffold_130-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_130-processed-gene-0.5&CDS=1-246	YNL297C
OG0000184	genemark-scaffold_134-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_134-processed-gene-0.5&CDS=1-1098	YDL127W, YDL179W
OG0000185	augustus_masked-scaffold_14-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-0.25&CDS=1-1896, maker-scaffold_331-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_331-snap-gene-0.1&CDS=1-312	YBR085C-A
