	Saccharomyces_cerevisiae	Spathaspora_passalidarum
OG0000043	YGR197C, YJR015W	augustus_masked-scaffold_5-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.123&CDS=1-3102, augustus_masked-scaffold_8-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.1&CDS=1-1755, augustus_masked-scaffold_8-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.2&CDS=1-1695
OG0000044	YGR281W	augustus_masked-scaffold_1-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.92&CDS=1-4233, augustus_masked-scaffold_2-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.65&CDS=1-4230, augustus_masked-scaffold_3-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.2&CDS=1-4278, snap_masked-scaffold_3-processed-gene-1.58-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.58&CDS=1-4374
OG0000045	YJL039C	augustus_masked-scaffold_4-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.59&CDS=1-1545, augustus_masked-scaffold_4-processed-gene-17.34-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-17.34&CDS=1-1545, maker-scaffold_2-augustus-gene-20.78-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-20.78&CDS=1-7527, maker-scaffold_2-augustus-gene-6.92-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-6.92&CDS=1-2829
OG0000046	YJL116C, YKR042W, YNL066W	augustus_masked-scaffold_4-processed-gene-15.41-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-15.41&CDS=1-1131, augustus_masked-scaffold_7-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.49&CDS=1-1185
OG0000047	YJR019C	augustus_masked-scaffold_3-processed-gene-14.34-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.34&CDS=1-1065, augustus_masked-scaffold_3-processed-gene-14.35-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.35&CDS=1-996, augustus_masked-scaffold_3-processed-gene-14.36-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.36&CDS=1-918, augustus_masked-scaffold_3-processed-gene-14.37-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.37&CDS=1-1056
OG0000048	YKL217W	augustus_masked-scaffold_1-processed-gene-22.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.116&CDS=1-1557, augustus_masked-scaffold_2-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.23&CDS=1-1536, augustus_masked-scaffold_5-processed-gene-14.99-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.99&CDS=1-1599, maker-scaffold_5-snap-gene-14.0-mRNA-1_1&gene=maker-scaffold_5-snap-gene-14.0&CDS=1-1710
OG0000049	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
OG0000050	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-scaffold_6-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.132&CDS=1-3033
OG0000051	YLR343W, YMR307W	augustus_masked-scaffold_1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.6&CDS=1-1647, augustus_masked-scaffold_1-processed-gene-20.99-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.99&CDS=1-1578, augustus_masked-scaffold_1-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.24&CDS=1-1644
OG0000052	YAL005C, YLL024C	augustus_masked-scaffold_4-processed-gene-16.42-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-16.42&CDS=1-1959, maker-scaffold_1-augustus-gene-8.157-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.157&CDS=1-2973
OG0000053	YAL021C, YOL042W	augustus_masked-scaffold_6-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.34&CDS=1-2451, snap_masked-scaffold_4-processed-gene-8.68-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.68&CDS=1-1152
OG0000054	YAL054C, YLR153C	augustus_masked-scaffold_1-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.14&CDS=1-2025, augustus_masked-scaffold_3-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.15&CDS=1-2028
OG0000055	YAR035W, YER024W	augustus_masked-scaffold_1-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.119&CDS=1-2217, augustus_masked-scaffold_5-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.131&CDS=1-2616
OG0000056	YBL002W, YDR224C	augustus_masked-scaffold_1-processed-gene-8.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.10&CDS=1-393, augustus_masked-scaffold_5-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.18&CDS=1-390
OG0000057	YBL089W, YER119C	augustus_masked-scaffold_3-processed-gene-17.73-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.73&CDS=1-1326, augustus_masked-scaffold_7-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.55&CDS=1-1416
OG0000058	YBR002C, YMR101C	augustus_masked-scaffold_6-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.73&CDS=1-942, maker-scaffold_4-augustus-gene-14.97-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-14.97&CDS=1-945
OG0000059	YBR005W, YDR003W	augustus_masked-scaffold_3-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.11&CDS=1-567, augustus_masked-scaffold_3-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.14&CDS=1-552
OG0000060	YBR008C	augustus_masked-scaffold_3-processed-gene-9.44-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.44&CDS=1-1635, augustus_masked-scaffold_4-processed-gene-12.50-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.50&CDS=1-1647, maker-scaffold_6-snap-gene-5.159-mRNA-1_1&gene=maker-scaffold_6-snap-gene-5.159&CDS=1-3207
OG0000061	YBR009C, YNL030W	augustus_masked-scaffold_1-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.17&CDS=1-309, augustus_masked-scaffold_2-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.13&CDS=1-309
OG0000062	YBR078W, YDR055W	augustus_masked-scaffold_1-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.12&CDS=1-1254, augustus_masked-scaffold_6-processed-gene-9.2-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.2&CDS=1-1245
OG0000063	YBR084W, YGR204W	augustus_masked-scaffold_2-processed-gene-10.41-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.41&CDS=1-2838, augustus_masked-scaffold_2-processed-gene-20.13-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.13&CDS=1-2970
OG0000064	YBR109C, YOR257W	maker-scaffold_1-augustus-gene-20.40-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-20.40&CDS=1-1536, maker-scaffold_2-augustus-gene-13.0-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-13.0&CDS=1-549
OG0000065	YBR118W, YPR080W	augustus_masked-scaffold_3-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.27&CDS=1-1374, augustus_masked-scaffold_6-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.23&CDS=1-1374
OG0000066	YBR245C, YOR304W	augustus_masked-scaffold_1-processed-gene-14.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.89&CDS=1-3000, augustus_masked-scaffold_5-processed-gene-13.27-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.27&CDS=1-3150
OG0000067	YBR249C, YDR035W	augustus_masked-scaffold_1-processed-gene-9.38-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.38&CDS=1-1098, maker-scaffold_3-augustus-gene-12.85-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.85&CDS=1-1113
OG0000068	YCL036W, YDR514C	augustus_masked-scaffold_8-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.26&CDS=1-1389, snap_masked-scaffold_8-processed-gene-7.181-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.181&CDS=1-1002
OG0000069	YCL037C, YDR515W	augustus_masked-scaffold_5-processed-gene-14.129-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.129&CDS=1-867, maker-scaffold_8-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_8-snap-gene-0.2&CDS=1-1431
OG0000070	YCL064C, YIL167W	augustus_masked-scaffold_3-processed-gene-18.81-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-18.81&CDS=1-1044, augustus_masked-scaffold_5-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.8&CDS=1-993
OG0000071	YCR023C	augustus_masked-scaffold_7-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.68&CDS=1-1710, augustus_masked-scaffold_7-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.92&CDS=1-1671, maker-scaffold_1-augustus-gene-6.101-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.101&CDS=1-3627
OG0000072	YDL042C, YOL068C	augustus_masked-scaffold_3-processed-gene-18.78-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-18.78&CDS=1-1548, snap_masked-scaffold_4-processed-gene-12.32-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.32&CDS=1-1737
OG0000073	YDL066W, YLR174W	augustus_masked-scaffold_2-processed-gene-16.77-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.77&CDS=1-1233, augustus_masked-scaffold_3-processed-gene-14.40-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.40&CDS=1-1266
OG0000074	YDL137W, YDL192W	augustus_masked-scaffold_2-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.88&CDS=1-537, augustus_masked-scaffold_5-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.12&CDS=1-543
OG0000075	YDL246C, YJR159W	augustus_masked-scaffold_2-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.41&CDS=1-1092, maker-scaffold_2-augustus-gene-17.8-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-17.8&CDS=1-2202
OG0000076	YDR037W, YNL073W	augustus_masked-scaffold_5-processed-gene-15.171-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.171&CDS=1-1785, augustus_masked-scaffold_8-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.116&CDS=1-1590
OG0000077	YDR276C, YDR525W-A, YJL151C	snap_masked-scaffold_3-processed-gene-3.41-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.41&CDS=1-477
OG0000078	YDR398W, YHR196W	augustus_masked-scaffold_2-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.63&CDS=1-1923, augustus_masked-scaffold_5-processed-gene-15.182-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.182&CDS=1-1503
OG0000079	YDR463W, YHR006W	augustus_masked-scaffold_4-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.16&CDS=1-1644, augustus_masked-scaffold_5-processed-gene-10.55-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.55&CDS=1-1527
OG0000080	YDR519W, YNL135C	augustus_masked-scaffold_8-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.57&CDS=1-363, maker-scaffold_4-augustus-gene-13.89-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-13.89&CDS=1-432
OG0000081	YDR536W	augustus_masked-scaffold_2-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.29&CDS=1-1620, augustus_masked-scaffold_3-processed-gene-17.82-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.82&CDS=1-1638, augustus_masked-scaffold_6-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.11&CDS=1-1632
OG0000082	YEL066W, YPR193C	augustus_masked-scaffold_2-processed-gene-10.14-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.14&CDS=1-462, augustus_masked-scaffold_3-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.22&CDS=1-462
OG0000083	YER004W	augustus_masked-scaffold_4-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.42&CDS=1-690, augustus_masked-scaffold_4-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.24&CDS=1-684, augustus_masked-scaffold_6-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.126&CDS=1-684
OG0000084	YER056C, YER060W, YER060W-A	augustus_masked-scaffold_3-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.20&CDS=1-1503
OG0000085	YER075C, YOR208W	augustus_masked-scaffold_1-processed-gene-19.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.10&CDS=1-1545, augustus_masked-scaffold_2-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.58&CDS=1-2409
OG0000086	YFL050C, YOL130W	augustus_masked-scaffold_5-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.12&CDS=1-2550, augustus_masked-scaffold_5-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.0&CDS=1-2154
OG0000087	YFR031C-A, YIL018W	augustus_masked-scaffold_1-processed-gene-13.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.17&CDS=1-762, augustus_masked-scaffold_5-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.21&CDS=1-762
OG0000088	YGL120C, YNR011C	augustus_masked-scaffold_5-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.78&CDS=1-2253, snap_masked-scaffold_5-processed-gene-11.84-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.84&CDS=1-2400
OG0000089	YGL194C, YPR068C	augustus_masked-scaffold_5-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.8&CDS=1-1245, augustus_masked-scaffold_7-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.82&CDS=1-1200
OG0000090	YGR177C, YOR377W	augustus_masked-scaffold_2-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.51&CDS=1-1380, augustus_masked-scaffold_5-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.102&CDS=1-1434
OG0000091	YGR184C, YLR024C	augustus_masked-scaffold_1-processed-gene-17.45-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.45&CDS=1-5415, augustus_masked-scaffold_1-processed-gene-17.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.73&CDS=1-5373
OG0000092	YGR192C, YJL052W, YJR009C	augustus_masked-scaffold_5-processed-gene-14.113-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.113&CDS=1-999
OG0000093	YGR249W, YOR140W	augustus_masked-scaffold_2-processed-gene-9.49-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.49&CDS=1-2343, augustus_masked-scaffold_6-processed-gene-10.49-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.49&CDS=1-1635
OG0000094	YGR255C, YPR086W	augustus_masked-scaffold_2-processed-gene-10.49-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.49&CDS=1-927, maker-scaffold_1-augustus-gene-6.103-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.103&CDS=1-2433
OG0000095	YGR263C, YNL239W	augustus_masked-scaffold_4-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.37&CDS=1-1266, maker-scaffold_3-snap-gene-19.190-mRNA-1_1&gene=maker-scaffold_3-snap-gene-19.190&CDS=1-3618
OG0000096	YHL019C, YPL259C	augustus_masked-scaffold_3-processed-gene-19.115-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.115&CDS=1-1842, augustus_masked-scaffold_6-processed-gene-10.34-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.34&CDS=1-1308
OG0000097	YHL033C, YLL045C	augustus_masked-scaffold_1-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.43&CDS=1-786, augustus_masked-scaffold_5-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.24&CDS=1-783
OG0000098	YHR216W, YLR432W, YML056C	augustus_masked-scaffold_3-processed-gene-9.36-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.36&CDS=1-2154
OG0000099	YIL120W, YIL121W	augustus_masked-scaffold_2-processed-gene-12.75-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.75&CDS=1-1500, maker-scaffold_2-snap-gene-12.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-12.0&CDS=1-1668
OG0000100	YIL126W, YOR290C	augustus_masked-scaffold_5-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.35&CDS=1-3867, snap_masked-scaffold_3-processed-gene-12.66-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.66&CDS=1-4950
OG0000101	YIL159W, YNL271C	augustus_masked-scaffold_2-processed-gene-20.12-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.12&CDS=1-5265, augustus_masked-scaffold_4-processed-gene-12.52-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.52&CDS=1-5226
OG0000102	YIR033W, YKL020C, YOR278W	augustus_masked-scaffold_3-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.28&CDS=1-4188
OG0000103	YJL079C, YKR013W	augustus_masked-scaffold_1-processed-gene-12.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.19&CDS=1-735, maker-scaffold_1-snap-gene-14.134-mRNA-1_1&gene=maker-scaffold_1-snap-gene-14.134&CDS=1-936
OG0000104	YJL084C, YKR021W	augustus_masked-scaffold_3-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.73&CDS=1-1686, augustus_masked-scaffold_7-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.59&CDS=1-2772
OG0000105	YJL089W, YMR280C	augustus_masked-scaffold_5-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.112&CDS=1-3141, augustus_masked-scaffold_6-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.12&CDS=1-2979
OG0000106	YJL172W, YOL153C	augustus_masked-scaffold_2-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.14&CDS=1-1734, augustus_masked-scaffold_6-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.1&CDS=1-1722
OG0000107	YKL002W	augustus_masked-scaffold_1-processed-gene-18.131-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.131&CDS=1-1089, augustus_masked-scaffold_1-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.13&CDS=1-1086, augustus_masked-scaffold_4-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.54&CDS=1-1677
OG0000108	YKL081W, YPL048W	augustus_masked-scaffold_4-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.60&CDS=1-1239, augustus_masked-scaffold_5-processed-gene-12.51-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.51&CDS=1-1791
OG0000109	YKL106W, YLR027C	augustus_masked-scaffold_2-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.65&CDS=1-1245, augustus_masked-scaffold_3-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.43&CDS=1-1305
OG0000110	YKL128C	augustus_masked-scaffold_2-processed-gene-16.86-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.86&CDS=1-900, augustus_masked-scaffold_5-processed-gene-14.117-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.117&CDS=1-963, augustus_masked-scaffold_6-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.33&CDS=1-990
OG0000111	YLL052C, YLL053C, YPR192W	augustus_masked-scaffold_2-processed-gene-15.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.79&CDS=1-813
OG0000112	YLL062C, YMR321C, YPL273W	augustus_masked-scaffold_6-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.3&CDS=1-888
OG0000113	YLR090W, YNL064C	augustus_masked-scaffold_2-processed-gene-12.98-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.98&CDS=1-1209, augustus_masked-scaffold_4-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.50&CDS=1-1377
OG0000114	YLR273C, YOR178C	augustus_masked-scaffold_1-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.130&CDS=1-2085, augustus_masked-scaffold_8-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.126&CDS=1-1821
OG0000115	YLR454W, YPR117W	augustus_masked-scaffold_1-processed-gene-24.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.83&CDS=1-7887, augustus_masked-scaffold_7-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.113&CDS=1-7488
OG0000116	YML019W, YOR085W	augustus_masked-scaffold_5-processed-gene-13.29-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.29&CDS=1-1020, snap_masked-scaffold_6-processed-gene-10.248-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-10.248&CDS=1-1014
OG0000117	YML072C, YOR086C	augustus_masked-scaffold_1-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.100&CDS=1-4785, maker-scaffold_4-augustus-gene-9.12-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-9.12&CDS=1-3636
OG0000118	YML111W, YMR275C, YNR069C	augustus_masked-scaffold_6-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.107&CDS=1-2586
OG0000119	YMR266W, YOL084W	augustus_masked-scaffold_3-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.36&CDS=1-2721, augustus_masked-scaffold_6-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.5&CDS=1-2574
OG0000120	YNL027W	augustus_masked-scaffold_2-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.17&CDS=1-1218, augustus_masked-scaffold_5-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.61&CDS=1-1254, augustus_masked-scaffold_5-processed-gene-11.64-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.64&CDS=1-1953
OG0000121	YNL104C, YOR108W	augustus_masked-scaffold_3-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.6&CDS=1-1725, maker-scaffold_1-augustus-gene-0.84-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.84&CDS=1-2349
OG0000122	YOL054W	augustus_masked-scaffold_5-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.15&CDS=1-450, maker-scaffold_5-augustus-gene-3.75-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.75&CDS=1-951, maker-scaffold_5-augustus-gene-3.76-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.76&CDS=1-1107
