	Saccharomyces_cerevisiae	Spathaspora_hagerdaliae
OG0000037	YER045C, YIL036W	augustus_masked-LQHL01000892.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000892.1-processed-gene-0.0&CDS=1-693, genemark-LQHL01001640.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQHL01001640.1-processed-gene-0.16&CDS=1-459, genemark-LQHL01001777.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001777.1-processed-gene-0.9&CDS=1-1146
OG0000038	YER176W, YGR252W	augustus_masked-LQHL01000780.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000780.1-processed-gene-0.1&CDS=1-1074, augustus_masked-LQHL01001754.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LQHL01001754.1-processed-gene-0.23&CDS=1-6429, genemark-LQHL01001869.1-processed-gene-0.80-mRNA-1_1&gene=genemark-LQHL01001869.1-processed-gene-0.80&CDS=1-2130
OG0000039	YGL151W	augustus_masked-LQHL01000702.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000702.1-processed-gene-0.2&CDS=1-765, augustus_masked-LQHL01000934.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000934.1-processed-gene-0.2&CDS=1-603, augustus_masked-LQHL01001340.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001340.1-processed-gene-0.4&CDS=1-2166, snap_masked-LQHL01001249.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001249.1-processed-gene-0.1&CDS=1-948
OG0000040	YGR136W, YPR154W	augustus_masked-LQHL01000422.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000422.1-processed-gene-0.0&CDS=1-546, augustus_masked-LQHL01001669.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LQHL01001669.1-processed-gene-0.19&CDS=1-390, genemark-LQHL01001774.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001774.1-processed-gene-0.15&CDS=1-801
OG0000041	YGR197C, YJR015W	genemark-LQHL01001799.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQHL01001799.1-processed-gene-0.18&CDS=1-1782, genemark-LQHL01001802.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001802.1-processed-gene-0.10&CDS=1-1542, genemark-LQHL01001802.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001802.1-processed-gene-0.9&CDS=1-1491
OG0000042	YHL034C, YIR001C, YLL046C	genemark-LQHL01001457.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001457.1-processed-gene-0.13&CDS=1-522, maker-LQHL01001753.1-snap-gene-0.34-mRNA-1_1&gene=maker-LQHL01001753.1-snap-gene-0.34&CDS=1-834
OG0000043	YHR117W, YNL121C	augustus_masked-LQHL01001736.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQHL01001736.1-processed-gene-0.16&CDS=1-3840, augustus_masked-LQHL01001759.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LQHL01001759.1-processed-gene-0.17&CDS=1-1572, genemark-LQHL01001382.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001382.1-processed-gene-0.13&CDS=1-1230
OG0000044	YIL042C	augustus_masked-LQHL01000928.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000928.1-processed-gene-0.1&CDS=1-672, augustus_masked-LQHL01000970.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000970.1-processed-gene-0.0&CDS=1-576, augustus_masked-LQHL01001697.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001697.1-processed-gene-0.4&CDS=1-3036, genemark-LQHL01001609.1-processed-gene-0.20-mRNA-1_1&gene=genemark-LQHL01001609.1-processed-gene-0.20&CDS=1-1302
OG0000045	YIL124W	augustus_masked-LQHL01001298.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001298.1-processed-gene-0.2&CDS=1-756, genemark-LQHL01001148.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001148.1-processed-gene-0.0&CDS=1-879, maker-LQHL01000861.1-augustus-gene-0.3-mRNA-1_1&gene=maker-LQHL01000861.1-augustus-gene-0.3&CDS=1-513, maker-LQHL01001215.1-snap-gene-0.7-mRNA-1_1&gene=maker-LQHL01001215.1-snap-gene-0.7&CDS=1-1350
OG0000046	YJL084C, YKR021W	augustus_masked-LQHL01000968.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000968.1-processed-gene-0.1&CDS=1-1686, genemark-LQHL01001550.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001550.1-processed-gene-0.3&CDS=1-2952, snap_masked-LQHL01000776.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000776.1-processed-gene-0.0&CDS=1-417
OG0000047	YJL089W, YMR280C	augustus_masked-LQHL01001465.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001465.1-processed-gene-0.4&CDS=1-2682, genemark-LQHL01001873.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001873.1-processed-gene-0.5&CDS=1-3474, maker-LQHL01001589.1-snap-gene-0.17-mRNA-1_1&gene=maker-LQHL01001589.1-snap-gene-0.17&CDS=1-1365
OG0000048	YJR144W	augustus_masked-LQHL01001708.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LQHL01001708.1-processed-gene-0.37&CDS=1-3774, augustus_masked-LQHL01001818.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LQHL01001818.1-processed-gene-0.49&CDS=1-3357, genemark-LQHL01001425.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001425.1-processed-gene-0.5&CDS=1-2547, genemark-LQHL01001854.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001854.1-processed-gene-0.13&CDS=1-2628
OG0000049	YKL081W, YPL048W, YPL050C	genemark-LQHL01001765.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001765.1-processed-gene-0.10&CDS=1-2244, genemark-LQHL01001839.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001839.1-processed-gene-0.12&CDS=1-1239
OG0000050	YKL128C	genemark-LQHL01001452.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001452.1-processed-gene-0.11&CDS=1-990, genemark-LQHL01001551.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001551.1-processed-gene-0.6&CDS=1-996, genemark-LQHL01001681.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001681.1-processed-gene-0.14&CDS=1-924, genemark-LQHL01001847.1-processed-gene-0.64-mRNA-1_1&gene=genemark-LQHL01001847.1-processed-gene-0.64&CDS=1-927
OG0000051	YKL213C, YOL087C	augustus_masked-LQHL01001455.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQHL01001455.1-processed-gene-0.8&CDS=1-771, genemark-LQHL01001253.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001253.1-processed-gene-0.3&CDS=1-2349, genemark-LQHL01001785.1-processed-gene-0.28-mRNA-1_1&gene=genemark-LQHL01001785.1-processed-gene-0.28&CDS=1-3414
OG0000052	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
OG0000053	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-LQHL01001683.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-LQHL01001683.1-processed-gene-0.24&CDS=1-3117
OG0000054	YMR180C, YPL228W	augustus_masked-LQHL01001853.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-LQHL01001853.1-processed-gene-0.79&CDS=1-1614, snap_masked-LQHL01001392.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01001392.1-processed-gene-0.2&CDS=1-843, snap_masked-LQHL01001392.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQHL01001392.1-processed-gene-0.3&CDS=1-951
OG0000055	YOR222W, YPL134C, YPR086W	genemark-LQHL01001408.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001408.1-processed-gene-0.7&CDS=1-1044, maker-LQHL01001811.1-augustus-gene-0.48-mRNA-1_1&gene=maker-LQHL01001811.1-augustus-gene-0.48&CDS=1-1905
OG0000056	YOR388C	genemark-LQHL01001580.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001580.1-processed-gene-0.21&CDS=1-1125, genemark-LQHL01001763.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001763.1-processed-gene-0.12&CDS=1-1125, genemark-LQHL01001835.1-processed-gene-0.67-mRNA-1_1&gene=genemark-LQHL01001835.1-processed-gene-0.67&CDS=1-1125, snap_masked-LQHL01001613.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-LQHL01001613.1-processed-gene-0.22&CDS=1-1185
OG0000057	YAL023C	augustus_masked-LQHL01000917.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000917.1-processed-gene-0.1&CDS=1-1500, augustus_masked-LQHL01001413.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQHL01001413.1-processed-gene-0.9&CDS=1-1989, augustus_masked-LQHL01001551.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQHL01001551.1-processed-gene-0.8&CDS=1-2079
OG0000058	YAL060W, YAL061W	genemark-LQHL01001540.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001540.1-processed-gene-0.4&CDS=1-1149, genemark-LQHL01001674.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001674.1-processed-gene-0.6&CDS=1-1149
OG0000059	YBL002W, YDR224C	genemark-LQHL01001780.1-processed-gene-0.35-mRNA-1_1&gene=genemark-LQHL01001780.1-processed-gene-0.35&CDS=1-390, genemark-LQHL01001846.1-processed-gene-0.74-mRNA-1_1&gene=genemark-LQHL01001846.1-processed-gene-0.74&CDS=1-393
OG0000060	YBR002C, YMR101C	genemark-LQHL01001785.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001785.1-processed-gene-0.31&CDS=1-900, genemark-LQHL01001793.1-processed-gene-0.46-mRNA-1_1&gene=genemark-LQHL01001793.1-processed-gene-0.46&CDS=1-936
OG0000061	YBR009C, YNL030W	genemark-LQHL01001603.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001603.1-processed-gene-0.9&CDS=1-309, genemark-LQHL01001846.1-processed-gene-0.67-mRNA-1_1&gene=genemark-LQHL01001846.1-processed-gene-0.67&CDS=1-309
OG0000062	YBR010W, YNL031C	genemark-LQHL01001603.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001603.1-processed-gene-0.6&CDS=1-408, genemark-LQHL01001846.1-processed-gene-0.49-mRNA-1_1&gene=genemark-LQHL01001846.1-processed-gene-0.49&CDS=1-408
OG0000063	YBR078W, YDR055W	genemark-LQHL01001562.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001562.1-processed-gene-0.0&CDS=1-1269, genemark-LQHL01001829.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001829.1-processed-gene-0.15&CDS=1-1260
OG0000064	YBR150C, YOL089C	genemark-LQHL01001428.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001428.1-processed-gene-0.5&CDS=1-2814, maker-LQHL01001869.1-snap-gene-0.138-mRNA-1_1&gene=maker-LQHL01001869.1-snap-gene-0.138&CDS=1-5292
OG0000065	YBR172C, YPL105C	augustus_masked-LQHL01000931.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000931.1-processed-gene-0.2&CDS=1-1518, snap_masked-LQHL01001715.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LQHL01001715.1-processed-gene-0.5&CDS=1-2625
OG0000066	YBR175W, YMR146C	augustus_masked-LQHL01001804.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LQHL01001804.1-processed-gene-0.43&CDS=1-1821, genemark-LQHL01001854.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQHL01001854.1-processed-gene-0.26&CDS=1-1107
OG0000067	YBR191W, YPL079W	maker-LQHL01001636.1-snap-gene-0.22-mRNA-1_1&gene=maker-LQHL01001636.1-snap-gene-0.22&CDS=1-438, snap_masked-LQHL01001365.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-LQHL01001365.1-processed-gene-0.11&CDS=1-480
OG0000068	YCL064C, YIL167W	genemark-LQHL01001710.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001710.1-processed-gene-0.15&CDS=1-996, genemark-LQHL01001757.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001757.1-processed-gene-0.3&CDS=1-1056
OG0000069	YCR023C	genemark-LQHL01001704.1-processed-gene-0.43-mRNA-1_1&gene=genemark-LQHL01001704.1-processed-gene-0.43&CDS=1-1827, genemark-LQHL01001764.1-processed-gene-0.38-mRNA-1_1&gene=genemark-LQHL01001764.1-processed-gene-0.38&CDS=1-1722, genemark-LQHL01001818.1-processed-gene-0.48-mRNA-1_1&gene=genemark-LQHL01001818.1-processed-gene-0.48&CDS=1-1794
OG0000070	YCR066W	augustus_masked-LQHL01000569.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000569.1-processed-gene-0.1&CDS=1-477, genemark-LQHL01000475.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01000475.1-processed-gene-0.1&CDS=1-561, genemark-LQHL01001854.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LQHL01001854.1-processed-gene-0.30&CDS=1-552
OG0000071	YDL137W, YDL192W	genemark-LQHL01001635.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001635.1-processed-gene-0.9&CDS=1-537, genemark-LQHL01001863.1-processed-gene-0.56-mRNA-1_1&gene=genemark-LQHL01001863.1-processed-gene-0.56&CDS=1-543
OG0000072	YDL210W	genemark-LQHL01001249.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001249.1-processed-gene-0.4&CDS=1-1668, genemark-LQHL01001828.1-processed-gene-0.20-mRNA-1_1&gene=genemark-LQHL01001828.1-processed-gene-0.20&CDS=1-1686, genemark-LQHL01001866.1-processed-gene-0.123-mRNA-1_1&gene=genemark-LQHL01001866.1-processed-gene-0.123&CDS=1-1671
OG0000073	YDL222C, YNL194C	genemark-LQHL01001864.1-processed-gene-0.100-mRNA-1_1&gene=genemark-LQHL01001864.1-processed-gene-0.100&CDS=1-759, genemark-LQHL01001864.1-processed-gene-0.101-mRNA-1_1&gene=genemark-LQHL01001864.1-processed-gene-0.101&CDS=1-843
OG0000074	YDL233W	augustus_masked-LQHL01000633.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000633.1-processed-gene-0.2&CDS=1-894, snap_masked-LQHL01001597.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001597.1-processed-gene-0.0&CDS=1-2073, snap_masked-LQHL01001746.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-LQHL01001746.1-processed-gene-0.26&CDS=1-942
OG0000075	YDL236W, YGL141W	augustus_masked-LQHL01001400.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQHL01001400.1-processed-gene-0.6&CDS=1-4002, genemark-LQHL01001135.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001135.1-processed-gene-0.2&CDS=1-918
OG0000076	YDL246C, YJR159W, YLR070C	maker-LQHL01001868.1-snap-gene-0.56-mRNA-1_1&gene=maker-LQHL01001868.1-snap-gene-0.56&CDS=1-1611
OG0000077	YDR122W, YLR096W	maker-LQHL01001778.1-snap-gene-0.11-mRNA-1_1&gene=maker-LQHL01001778.1-snap-gene-0.11&CDS=1-4035, maker-LQHL01001795.1-snap-gene-0.17-mRNA-1_1&gene=maker-LQHL01001795.1-snap-gene-0.17&CDS=1-4035
OG0000078	YDR126W	genemark-LQHL01001028.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001028.1-processed-gene-0.2&CDS=1-237, genemark-LQHL01001038.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001038.1-processed-gene-0.2&CDS=1-237, genemark-LQHL01001430.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001430.1-processed-gene-0.7&CDS=1-477
OG0000079	YDR169C	augustus_masked-LQHL01001669.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LQHL01001669.1-processed-gene-0.23&CDS=1-1890, maker-LQHL01001774.1-snap-gene-0.6-mRNA-1_1&gene=maker-LQHL01001774.1-snap-gene-0.6&CDS=1-294, snap_masked-LQHL01000126.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000126.1-processed-gene-0.0&CDS=1-216
OG0000080	YDR214W	augustus_masked-LQHL01000270.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000270.1-processed-gene-0.1&CDS=1-453, augustus_masked-LQHL01000386.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000386.1-processed-gene-0.2&CDS=1-375, maker-LQHL01001822.1-augustus-gene-0.56-mRNA-1_1&gene=maker-LQHL01001822.1-augustus-gene-0.56&CDS=1-1050
OG0000081	YDR276C, YDR525W-A	augustus_masked-LQHL01001858.1-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-LQHL01001858.1-processed-gene-0.113&CDS=1-246, genemark-LQHL01001843.1-processed-gene-0.62-mRNA-1_1&gene=genemark-LQHL01001843.1-processed-gene-0.62&CDS=1-456
OG0000082	YDR389W, YOR134W	augustus_masked-LQHL01000153.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000153.1-processed-gene-0.1&CDS=1-351, genemark-LQHL01001607.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001607.1-processed-gene-0.15&CDS=1-1944
OG0000083	YDR519W, YNL135C	genemark-LQHL01001471.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001471.1-processed-gene-0.10&CDS=1-567, genemark-LQHL01001736.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001736.1-processed-gene-0.19&CDS=1-366
OG0000084	YEL063C	genemark-LQHL01001680.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001680.1-processed-gene-0.8&CDS=1-1701, genemark-LQHL01001793.1-processed-gene-0.53-mRNA-1_1&gene=genemark-LQHL01001793.1-processed-gene-0.53&CDS=1-1701, maker-LQHL01001634.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQHL01001634.1-snap-gene-0.0&CDS=1-3405
OG0000085	YEL066W, YPR193C	augustus_masked-LQHL01001754.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LQHL01001754.1-processed-gene-0.24&CDS=1-444, augustus_masked-LQHL01001754.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LQHL01001754.1-processed-gene-0.25&CDS=1-483
OG0000086	YER056C, YER060W, YER060W-A	genemark-LQHL01001620.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001620.1-processed-gene-0.10&CDS=1-1509
OG0000087	YER129W, YGL179C	genemark-LQHL01001797.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001797.1-processed-gene-0.21&CDS=1-2454, snap_masked-LQHL01000515.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01000515.1-processed-gene-0.2&CDS=1-657
OG0000088	YFL060C, YMR095C, YNL334C	genemark-LQHL01001818.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LQHL01001818.1-processed-gene-0.29&CDS=1-744
OG0000089	YGL243W, YIL065C	augustus_masked-LQHL01001268.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQHL01001268.1-processed-gene-0.6&CDS=1-231, augustus_masked-LQHL01001318.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQHL01001318.1-processed-gene-0.5&CDS=1-1647
OG0000090	YGR037C	augustus_masked-LQHL01001833.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LQHL01001833.1-processed-gene-0.34&CDS=1-258, maker-LQHL01000942.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQHL01000942.1-snap-gene-0.4&CDS=1-258, maker-LQHL01001055.1-augustus-gene-0.6-mRNA-1_1&gene=maker-LQHL01001055.1-augustus-gene-0.6&CDS=1-252
OG0000091	YGR192C, YJL052W, YJR009C	genemark-LQHL01001413.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001413.1-processed-gene-0.7&CDS=1-1005
OG0000092	YGR249W, YOR140W	genemark-LQHL01001849.1-processed-gene-0.33-mRNA-1_1&gene=genemark-LQHL01001849.1-processed-gene-0.33&CDS=1-2169, genemark-LQHL01001865.1-processed-gene-0.149-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.149&CDS=1-1977
OG0000093	YHL033C, YLL045C	genemark-LQHL01001753.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001753.1-processed-gene-0.6&CDS=1-786, genemark-LQHL01001844.1-processed-gene-0.70-mRNA-1_1&gene=genemark-LQHL01001844.1-processed-gene-0.70&CDS=1-780
OG0000094	YHR001W, YKR003W	genemark-LQHL01001161.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001161.1-processed-gene-0.2&CDS=1-1290, maker-LQHL01001421.1-snap-gene-0.13-mRNA-1_1&gene=maker-LQHL01001421.1-snap-gene-0.13&CDS=1-966
OG0000095	YHR098C	augustus_masked-LQHL01000850.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000850.1-processed-gene-0.2&CDS=1-1293, augustus_masked-LQHL01001633.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQHL01001633.1-processed-gene-0.3&CDS=1-1527, augustus_masked-LQHL01001842.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-LQHL01001842.1-processed-gene-0.70&CDS=1-2763
OG0000096	YHR198C, YHR199C	augustus_masked-LQHL01001424.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LQHL01001424.1-processed-gene-0.7&CDS=1-2043, maker-LQHL01001779.1-snap-gene-0.24-mRNA-1_1&gene=maker-LQHL01001779.1-snap-gene-0.24&CDS=1-2037
OG0000097	YIL076W	augustus_masked-LQHL01000997.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000997.1-processed-gene-0.0&CDS=1-921, genemark-LQHL01001524.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001524.1-processed-gene-0.5&CDS=1-921, genemark-LQHL01001714.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001714.1-processed-gene-0.8&CDS=1-921
OG0000098	YIL097W	augustus_masked-LQHL01000845.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000845.1-processed-gene-0.0&CDS=1-402, augustus_masked-LQHL01001670.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LQHL01001670.1-processed-gene-0.24&CDS=1-447, maker-LQHL01001405.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LQHL01001405.1-augustus-gene-0.1&CDS=1-1665
OG0000099	YIL120W, YIL121W, YNL065W	maker-LQHL01001866.1-snap-gene-0.165-mRNA-1_1&gene=maker-LQHL01001866.1-snap-gene-0.165&CDS=1-2979
OG0000100	YIL166C	augustus_masked-LQHL01001385.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQHL01001385.1-processed-gene-0.3&CDS=1-1743, augustus_masked-LQHL01001799.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQHL01001799.1-processed-gene-0.16&CDS=1-1788, genemark-LQHL01001574.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001574.1-processed-gene-0.6&CDS=1-1656
OG0000101	YIR033W, YKL020C	augustus_masked-LQHL01001156.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001156.1-processed-gene-0.1&CDS=1-2001, genemark-LQHL01001199.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001199.1-processed-gene-0.0&CDS=1-2742
OG0000102	YJL158C, YJL160C, YKL164C	maker-LQHL01001600.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQHL01001600.1-snap-gene-0.0&CDS=1-753
OG0000103	YJL193W, YOR307C	genemark-LQHL01001713.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQHL01001713.1-processed-gene-0.34&CDS=1-1443, genemark-LQHL01001843.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQHL01001843.1-processed-gene-0.45&CDS=1-1344
OG0000104	YJR019C	genemark-LQHL01001324.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001324.1-processed-gene-0.0&CDS=1-1143, genemark-LQHL01001834.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQHL01001834.1-processed-gene-0.24&CDS=1-1056, maker-LQHL01001860.1-snap-gene-0.115-mRNA-1_1&gene=maker-LQHL01001860.1-snap-gene-0.115&CDS=1-4002
OG0000105	YKL014C	augustus_masked-LQHL01001200.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001200.1-processed-gene-0.2&CDS=1-681, genemark-LQHL01001139.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001139.1-processed-gene-0.4&CDS=1-2499, maker-LQHL01001256.1-augustus-gene-0.5-mRNA-1_1&gene=maker-LQHL01001256.1-augustus-gene-0.5&CDS=1-3495
OG0000106	YKL043W	augustus_masked-LQHL01000014.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000014.1-processed-gene-0.1&CDS=1-279, augustus_masked-LQHL01001561.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01001561.1-processed-gene-0.0&CDS=1-783, genemark-LQHL01001453.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001453.1-processed-gene-0.1&CDS=1-1356
OG0000107	YLL016W, YLR310C	genemark-LQHL01001791.1-processed-gene-0.32-mRNA-1_1&gene=genemark-LQHL01001791.1-processed-gene-0.32&CDS=1-4041, snap_masked-LQHL01000527.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01000527.1-processed-gene-0.2&CDS=1-249
OG0000108	YLL062C, YMR321C, YPL273W	genemark-LQHL01001452.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001452.1-processed-gene-0.9&CDS=1-921
OG0000109	YLR248W	snap_masked-LQHL01000980.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000980.1-processed-gene-0.0&CDS=1-1437, snap_masked-LQHL01001214.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001214.1-processed-gene-0.1&CDS=1-1785, snap_masked-LQHL01001582.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-LQHL01001582.1-processed-gene-0.14&CDS=1-1437
OG0000110	YLR284C, YOR180C	maker-LQHL01001635.1-snap-gene-0.2-mRNA-1_1&gene=maker-LQHL01001635.1-snap-gene-0.2&CDS=1-4068, snap_masked-LQHL01000008.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000008.1-processed-gene-0.0&CDS=1-243
