	Hanseniaspora_uvarum	Saccharomyces_cerevisiae
OG0000068	snap_masked-APLS01000001.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-1.27&CDS=1-837	YDL049C, YJL174W
OG0000069	snap_masked-APLS01000001.1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-1.21&CDS=1-369	YDR134C, YLR110C
OG0000070	snap_masked-APLS01000001.1-processed-gene-2.6-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-2.6&CDS=1-3714	YDR122W, YLR096W
OG0000071	snap_masked-APLS01000001.1-processed-gene-2.14-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-2.14&CDS=1-1320	YBR161W, YPL057C
OG0000072	snap_masked-APLS01000001.1-processed-gene-2.43-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-2.43&CDS=1-1416	YDR200C, YLR238W
OG0000073	maker-APLS01000001.1-snap-gene-2.161-mRNA-1_1&gene=maker-APLS01000001.1-snap-gene-2.161&CDS=1-2325	YDR213W, YLR228C
OG0000074	augustus_masked-APLS01000001.1-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-3.87&CDS=1-1059	YBR183W, YPL087W
OG0000075	snap_masked-APLS01000001.1-processed-gene-3.112-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-3.112&CDS=1-2358	YBR182C, YPL089C
OG0000076	snap_masked-APLS01000001.1-processed-gene-3.113-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-3.113&CDS=1-708	YBR181C, YPL090C
OG0000077	snap_masked-APLS01000001.1-processed-gene-3.116-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-3.116&CDS=1-1425	YBR177C, YPL095C
OG0000078	augustus_masked-APLS01000001.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-3.71&CDS=1-3600	YBR172C, YPL105C
OG0000079	snap_masked-APLS01000001.1-processed-gene-3.124-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-3.124&CDS=1-2034	YBR169C, YPL106C
OG0000080	augustus_masked-APLS01000001.1-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-4.109&CDS=1-903	YDR253C, YPL038W
OG0000081	snap_masked-APLS01000001.1-processed-gene-4.74-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-4.74&CDS=1-474	YDR252W, YPL037C
OG0000082	snap_masked-APLS01000001.1-processed-gene-4.75-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-4.75&CDS=1-2550	YDR251W, YPL032C
OG0000083	augustus_masked-APLS01000001.1-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-4.132&CDS=1-774, augustus_masked-APLS01000083.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-APLS01000083.1-processed-gene-0.6&CDS=1-774	YDR248C
OG0000084	augustus_masked-APLS01000001.1-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-4.133&CDS=1-3048, augustus_masked-APLS01000083.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-APLS01000083.1-processed-gene-0.7&CDS=1-3048	YPL040C
OG0000085	snap_masked-APLS01000001.1-processed-gene-4.81-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-4.81&CDS=1-4569, snap_masked-APLS01000026.1-processed-gene-0.122-mRNA-1_1&gene=snap_masked-APLS01000026.1-processed-gene-0.122&CDS=1-4542	YPL058C
OG0000086	maker-APLS01000001.1-snap-gene-4.99-mRNA-1_1&gene=maker-APLS01000001.1-snap-gene-4.99&CDS=1-930	YBR189W, YPL081W
OG0000087	snap_masked-APLS01000001.1-processed-gene-5.42-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-5.42&CDS=1-2508	YBR294W, YLR092W
OG0000088	augustus_masked-APLS01000001.1-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-5.14&CDS=1-360	YER131W, YGL189C
OG0000089	augustus_masked-APLS01000001.1-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-5.33&CDS=1-5763	YER132C, YGL197W
OG0000090	snap_masked-APLS01000001.1-processed-gene-6.117-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-6.117&CDS=1-1041	YER045C, YIL036W
OG0000091	augustus_masked-APLS01000001.1-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-6.76&CDS=1-2184	YDR409W, YOR156C
OG0000092	genemark-APLS01000001.1-processed-gene-7.57-mRNA-1_1&gene=genemark-APLS01000001.1-processed-gene-7.57&CDS=1-2055	YGR004W, YLR324W
OG0000093	maker-APLS01000001.1-augustus-gene-7.113-mRNA-1_1&gene=maker-APLS01000001.1-augustus-gene-7.113&CDS=1-3114	YDR351W, YHR103W
OG0000094	snap_masked-APLS01000001.1-processed-gene-7.22-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-7.22&CDS=1-1215	YDR277C, YOR047C
OG0000095	snap_masked-APLS01000001.1-processed-gene-7.43-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-7.43&CDS=1-1365	YDR273W, YOR042W
OG0000096	augustus_masked-APLS01000001.1-processed-gene-7.138-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-7.138&CDS=1-1458, snap_masked-APLS01000001.1-processed-gene-7.26-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-7.26&CDS=1-1521	YOR049C
OG0000097	augustus_masked-APLS01000001.1-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.131&CDS=1-2079	YKR072C, YOR054C
OG0000098	snap_masked-APLS01000001.1-processed-gene-8.241-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.241&CDS=1-1182	YKR076W, YMR251W
OG0000099	snap_masked-APLS01000001.1-processed-gene-8.249-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.249&CDS=1-2418	YBL009W, YGL021W
OG0000100	snap_masked-APLS01000001.1-processed-gene-8.311-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.311&CDS=1-1674	YDR358W, YHR108W
OG0000101	augustus_masked-APLS01000001.1-processed-gene-8.216-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.216&CDS=1-3543	YDR379W, YOR127W
OG0000102	augustus_masked-APLS01000001.1-processed-gene-8.174-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.174&CDS=1-2526	YDR385W, YOR133W
OG0000103	augustus_masked-APLS01000037.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-APLS01000037.1-processed-gene-0.71&CDS=1-1323, genemark-APLS01000001.1-processed-gene-8.55-mRNA-1_1&gene=genemark-APLS01000001.1-processed-gene-8.55&CDS=1-1134	YKL082C
OG0000104	snap_masked-APLS01000002.1-processed-gene-0.131-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.131&CDS=1-408	YDR447C, YML024W
OG0000105	snap_masked-APLS01000002.1-processed-gene-0.133-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.133&CDS=1-861	YDR451C, YML027W
OG0000106	snap_masked-APLS01000002.1-processed-gene-0.120-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.120&CDS=1-669	YER031C, YGL210W
OG0000107	snap_masked-APLS01000002.1-processed-gene-1.72-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.72&CDS=1-1095	YER037W, YGL224C
OG0000108	augustus_masked-APLS01000002.1-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.44&CDS=1-1314	YER027C, YGL208W
OG0000109	maker-APLS01000002.1-snap-gene-2.105-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-2.105&CDS=1-408	YDR471W, YHR010W
OG0000110	snap_masked-APLS01000002.1-processed-gene-2.82-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.82&CDS=1-1380	YDR312W, YHR066W
OG0000111	augustus_masked-APLS01000003.1-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-2.26&CDS=1-2883, snap_masked-APLS01000002.1-processed-gene-2.63-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.63&CDS=1-2805	YBR084W
OG0000112	snap_masked-APLS01000002.1-processed-gene-3.123-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.123&CDS=1-2325	YDR303C, YHR056C
OG0000113	augustus_masked-APLS01000002.1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.78&CDS=1-1215	YDR300C, YHR033W
OG0000114	snap_masked-APLS01000002.1-processed-gene-4.249-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.249&CDS=1-261	YHR021C, YKL156W
OG0000115	snap_masked-APLS01000002.1-processed-gene-4.222-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.222&CDS=1-1596	YLL012W, YLR020C
OG0000116	maker-APLS01000002.1-snap-gene-4.185-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-4.185&CDS=1-5289	YHR047C, YKL157W
OG0000117	snap_masked-APLS01000003.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.84&CDS=1-468, snap_masked-APLS01000051.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-APLS01000051.1-processed-gene-0.10&CDS=1-468	YPR098C
OG0000118	snap_masked-APLS01000003.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.106&CDS=1-558, snap_masked-APLS01000051.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-APLS01000051.1-processed-gene-0.13&CDS=1-558	YGR082W
OG0000119	augustus_masked-APLS01000003.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-1.64&CDS=1-1491	YCR048W, YNR019W
OG0000120	snap_masked-APLS01000003.1-processed-gene-1.140-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.140&CDS=1-2910	YCR067C, YNR026C
OG0000121	genemark-APLS01000003.1-processed-gene-1.26-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-1.26&CDS=1-807	YOR390W, YPL279C
OG0000122	snap_masked-APLS01000003.1-processed-gene-1.151-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.151&CDS=1-1332	YML118W, YMR285C
OG0000123	maker-APLS01000003.1-snap-gene-2.44-mRNA-1_1&gene=maker-APLS01000003.1-snap-gene-2.44&CDS=1-3924	YML100W, YMR261C
OG0000124	snap_masked-APLS01000003.1-processed-gene-2.51-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.51&CDS=1-564	YBL027W, YBR084C-A
OG0000125	snap_masked-APLS01000003.1-processed-gene-2.57-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.57&CDS=1-441	YBR082C, YDR059C
OG0000126	augustus_masked-APLS01000003.1-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-2.36&CDS=1-297	YBR089C-A, YPR052C
OG0000127	snap_masked-APLS01000003.1-processed-gene-3.117-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-3.117&CDS=1-891	YBR104W, YPR058W
OG0000128	snap_masked-APLS01000003.1-processed-gene-3.136-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-3.136&CDS=1-1788	YJR059W, YKL198C
OG0000129	maker-APLS01000003.1-augustus-gene-3.109-mRNA-1_1&gene=maker-APLS01000003.1-augustus-gene-3.109&CDS=1-5523	YJR061W, YKL201C
OG0000130	snap_masked-APLS01000003.1-processed-gene-3.168-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-3.168&CDS=1-756	YGR038W, YLR350W
OG0000131	augustus_masked-APLS01000003.1-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-3.81&CDS=1-324	YGR027C, YLR333C
OG0000132	genemark-APLS01000003.1-processed-gene-4.1-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-4.1&CDS=1-1176	YGR023W, YLR332W
OG0000133	snap_masked-APLS01000003.1-processed-gene-4.112-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-4.112&CDS=1-378	YFL034C-A, YLR061W
OG0000134	augustus_masked-APLS01000003.1-processed-gene-4.201-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-4.201&CDS=1-2346	YER066W, YFL009W
OG0000135	snap_masked-APLS01000004.1-processed-gene-0.111-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-0.111&CDS=1-1305, snap_masked-APLS01000048.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-APLS01000048.1-processed-gene-0.16&CDS=1-1305	YDR415C
OG0000136	augustus_masked-APLS01000004.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-APLS01000004.1-processed-gene-0.71&CDS=1-933, augustus_masked-APLS01000048.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-APLS01000048.1-processed-gene-0.27&CDS=1-933	YEL051W
OG0000137	snap_masked-APLS01000004.1-processed-gene-0.88-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-0.88&CDS=1-807, snap_masked-APLS01000048.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-APLS01000048.1-processed-gene-0.13&CDS=1-807	YJR101W
OG0000138	snap_masked-APLS01000004.1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-0.113&CDS=1-741, snap_masked-APLS01000048.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-APLS01000048.1-processed-gene-0.18&CDS=1-243	YJR102C
OG0000139	snap_masked-APLS01000004.1-processed-gene-0.97-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-0.97&CDS=1-2364	YDR463W, YHR006W
OG0000140	snap_masked-APLS01000004.1-processed-gene-1.8-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-1.8&CDS=1-897	YBR066C, YDR043C
OG0000141	snap_masked-APLS01000004.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-1.11&CDS=1-1797	YBR049C, YDR026C
OG0000142	snap_masked-APLS01000004.1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-1.35&CDS=1-444	YBR048W, YDR025W
OG0000143	augustus_masked-APLS01000004.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-APLS01000004.1-processed-gene-2.10&CDS=1-5880	YCR073C, YNR031C
OG0000144	augustus_masked-APLS01000004.1-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-APLS01000004.1-processed-gene-2.13&CDS=1-1194	YMR253C, YPL264C
OG0000145	genemark-APLS01000004.1-processed-gene-2.98-mRNA-1_1&gene=genemark-APLS01000004.1-processed-gene-2.98&CDS=1-411	YGR209C, YLR043C
OG0000146	snap_masked-APLS01000004.1-processed-gene-2.125-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-2.125&CDS=1-1767	YGR108W, YPR119W
OG0000147	augustus_masked-APLS01000004.1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-APLS01000004.1-processed-gene-2.46&CDS=1-1044	YBR291C, YFR045W
OG0000148	snap_masked-APLS01000004.1-processed-gene-3.122-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-3.122&CDS=1-573	YKL065C, YMR040W
OG0000149	maker-APLS01000004.1-snap-gene-3.55-mRNA-1_1&gene=maker-APLS01000004.1-snap-gene-3.55&CDS=1-2535	YDR264C, YOR034C
OG0000150	maker-APLS01000004.1-snap-gene-3.57-mRNA-1_1&gene=maker-APLS01000004.1-snap-gene-3.57&CDS=1-1497	YDR348C, YHR097C
OG0000151	snap_masked-APLS01000005.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-0.59&CDS=1-1170	YJL138C, YKR059W
OG0000152	maker-APLS01000005.1-snap-gene-0.76-mRNA-1_1&gene=maker-APLS01000005.1-snap-gene-0.76&CDS=1-1035	YJL136C, YKR057W
OG0000153	snap_masked-APLS01000005.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-0.38&CDS=1-1407	YJL134W, YKR053C
OG0000154	augustus_masked-APLS01000005.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-APLS01000005.1-processed-gene-0.2&CDS=1-1026	YJL133W, YKR052C
OG0000155	maker-APLS01000005.1-snap-gene-0.78-mRNA-1_1&gene=maker-APLS01000005.1-snap-gene-0.78&CDS=1-3621	YJL129C, YKR050W
OG0000156	snap_masked-APLS01000005.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-0.72&CDS=1-594	YDL082W, YMR142C
OG0000157	augustus_masked-APLS01000005.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-APLS01000005.1-processed-gene-0.14&CDS=1-441	YDL083C, YMR143W
OG0000158	augustus_masked-APLS01000005.1-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-APLS01000005.1-processed-gene-1.140&CDS=1-2997	YDL088C, YMR153W
OG0000159	snap_masked-APLS01000005.1-processed-gene-1.14-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-1.14&CDS=1-1524	YDL085W, YMR145C
OG0000160	augustus_masked-APLS01000005.1-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-APLS01000005.1-processed-gene-1.136&CDS=1-1365	YCL036W, YDR514C
OG0000161	augustus_masked-APLS01000005.1-processed-gene-2.190-mRNA-1_1&gene=augustus_masked-APLS01000005.1-processed-gene-2.190&CDS=1-1584	YIL085C, YNL029C
OG0000162	snap_masked-APLS01000005.1-processed-gene-2.5-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-2.5&CDS=1-309	YBR009C, YNL030W
OG0000163	snap_masked-APLS01000005.1-processed-gene-2.6-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-2.6&CDS=1-417	YBR010W, YNL031C
OG0000164	snap_masked-APLS01000005.1-processed-gene-2.9-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-2.9&CDS=1-1005	YNL037C, YOR136W
OG0000165	snap_masked-APLS01000005.1-processed-gene-2.10-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-2.10&CDS=1-1782	YIL095W, YNL020C
OG0000166	snap_masked-APLS01000005.1-processed-gene-2.60-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-2.60&CDS=1-1824	YIL105C, YNL047C
OG0000167	augustus_masked-APLS01000005.1-processed-gene-2.252-mRNA-1_1&gene=augustus_masked-APLS01000005.1-processed-gene-2.252&CDS=1-1095	YHR146W, YNL173C
OG0000168	snap_masked-APLS01000005.1-processed-gene-2.39-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-2.39&CDS=1-1140	YDL222C, YNL194C
OG0000169	snap_masked-APLS01000005.1-processed-gene-2.41-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-2.41&CDS=1-2142	YDL224C, YNL197C
OG0000170	snap_masked-APLS01000006.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-0.69&CDS=1-1086	YBR031W, YDR012W
OG0000171	snap_masked-APLS01000006.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-0.71&CDS=1-1671	YJL112W, YKR036C
OG0000172	snap_masked-APLS01000006.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-0.59&CDS=1-2505	YFR022W, YOR018W
OG0000173	snap_masked-APLS01000006.1-processed-gene-1.126-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-1.126&CDS=1-4323	YEL022W, YJR031C
OG0000174	snap_masked-APLS01000006.1-processed-gene-1.109-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-1.109&CDS=1-1371	YCL011C, YNL004W
OG0000175	snap_masked-APLS01000006.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-1.112&CDS=1-1146	YFR024C-A, YHR016C
OG0000176	snap_masked-APLS01000006.1-processed-gene-1.116-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-1.116&CDS=1-1818	YBL067C, YER098W
OG0000177	genemark-APLS01000006.1-processed-gene-1.71-mRNA-1_1&gene=genemark-APLS01000006.1-processed-gene-1.71&CDS=1-4509, snap_masked-APLS01000012.1-processed-gene-1.181-mRNA-1_1&gene=snap_masked-APLS01000012.1-processed-gene-1.181&CDS=1-4467	YOR153W
OG0000178	snap_masked-APLS01000006.1-processed-gene-1.134-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-1.134&CDS=1-4446	YBL079W, YER105C
OG0000179	snap_masked-APLS01000006.1-processed-gene-1.121-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-1.121&CDS=1-2193	YDR263C, YOR033C
OG0000180	snap_masked-APLS01000006.1-processed-gene-2.210-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-2.210&CDS=1-771	YBL091C-A, YER120W
OG0000181	augustus_masked-APLS01000006.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-APLS01000006.1-processed-gene-2.10&CDS=1-1401	YBL089W, YER119C
OG0000182	snap_masked-APLS01000006.1-processed-gene-2.186-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-2.186&CDS=1-321	YEL039C, YJR048W
OG0000183	snap_masked-APLS01000006.1-processed-gene-2.223-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-2.223&CDS=1-1968	YEL041W, YJR049C
OG0000184	snap_masked-APLS01000006.1-processed-gene-2.228-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-2.228&CDS=1-2091	YFR015C, YLR258W
OG0000185	snap_masked-APLS01000006.1-processed-gene-2.199-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-2.199&CDS=1-1536	YBL056W, YER089C
OG0000186	augustus_masked-APLS01000006.1-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-APLS01000006.1-processed-gene-2.37&CDS=1-1962	YBL061C, YER096W
OG0000187	snap_masked-APLS01000006.1-processed-gene-2.242-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-2.242&CDS=1-597	YBL072C, YER102W
OG0000188	augustus_masked-APLS01000006.1-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-APLS01000006.1-processed-gene-2.74&CDS=1-2559	YBL101C, YPR030W
OG0000189	augustus_masked-APLS01000007.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-APLS01000007.1-processed-gene-0.83&CDS=1-696, augustus_masked-APLS01000058.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-APLS01000058.1-processed-gene-0.7&CDS=1-696	YKL041W
OG0000190	augustus_masked-APLS01000007.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-APLS01000007.1-processed-gene-0.102&CDS=1-1044, augustus_masked-APLS01000058.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-APLS01000058.1-processed-gene-0.10&CDS=1-1044	YHL020C
OG0000191	augustus_masked-APLS01000007.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-APLS01000007.1-processed-gene-0.84&CDS=1-2430, augustus_masked-APLS01000058.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-APLS01000058.1-processed-gene-0.8&CDS=1-2430	YKL058W
OG0000192	augustus_masked-APLS01000058.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-APLS01000058.1-processed-gene-0.9&CDS=1-1119, snap_masked-APLS01000007.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-APLS01000007.1-processed-gene-0.45&CDS=1-1338	YMR028W
OG0000193	augustus_masked-APLS01000007.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-APLS01000007.1-processed-gene-0.93&CDS=1-1266	YDL048C, YLR375W
OG0000194	snap_masked-APLS01000007.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-APLS01000007.1-processed-gene-0.56&CDS=1-1377	YKL043W, YMR016C
OG0000195	maker-APLS01000007.1-snap-gene-0.40-mRNA-1_1&gene=maker-APLS01000007.1-snap-gene-0.40&CDS=1-750	YGR214W, YLR048W
OG0000196	snap_masked-APLS01000007.1-processed-gene-1.102-mRNA-1_1&gene=snap_masked-APLS01000007.1-processed-gene-1.102&CDS=1-1692, snap_masked-APLS01000019.1-processed-gene-0.186-mRNA-1_1&gene=snap_masked-APLS01000019.1-processed-gene-0.186&CDS=1-1692	YLR044C
OG0000197	snap_masked-APLS01000007.1-processed-gene-1.135-mRNA-1_1&gene=snap_masked-APLS01000007.1-processed-gene-1.135&CDS=1-2301	YKL105C, YMR086W
OG0000198	snap_masked-APLS01000007.1-processed-gene-1.140-mRNA-1_1&gene=snap_masked-APLS01000007.1-processed-gene-1.140&CDS=1-1185	YHR208W, YJR148W
OG0000199	augustus_masked-APLS01000007.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-APLS01000007.1-processed-gene-1.67&CDS=1-780	YHR203C, YJR145C
OG0000200	snap_masked-APLS01000007.1-processed-gene-1.131-mRNA-1_1&gene=snap_masked-APLS01000007.1-processed-gene-1.131&CDS=1-774	YHR198C, YHR199C
OG0000201	snap_masked-APLS01000007.1-processed-gene-2.6-mRNA-1_1&gene=snap_masked-APLS01000007.1-processed-gene-2.6&CDS=1-1992	YKL187C, YLR413W
