	Hyphopichia_burtonii	Saccharomyces_cerevisiae
OG0000057	genemark-scaffold_2-processed-gene-6.54-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.54&CDS=1-1620, genemark-scaffold_6-processed-gene-3.90-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.90&CDS=1-1659, genemark-scaffold_7-processed-gene-0.39-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.39&CDS=1-1671	YLR343W, YMR307W
OG0000058	genemark-scaffold_2-processed-gene-7.30-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.30&CDS=1-1326, genemark-scaffold_9-processed-gene-3.56-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.56&CDS=1-1230	YHL028W, YNL283C, YOL105C
OG0000059	augustus_masked-scaffold_2-processed-gene-11.54-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.54&CDS=1-5388, genemark-scaffold_3-processed-gene-13.60-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-13.60&CDS=1-1503	YER056C, YER060W, YER060W-A
OG0000060	augustus_masked-scaffold_2-processed-gene-12.106-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.106&CDS=1-5700, genemark-scaffold_3-processed-gene-9.135-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.135&CDS=1-3300	YDR038C, YDR039C, YDR040C
OG0000061	genemark-scaffold_2-processed-gene-14.20-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.20&CDS=1-1158, snap_masked-scaffold_3-processed-gene-12.32-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.32&CDS=1-1224	YJL116C, YKR042W, YNL066W
OG0000062	maker-scaffold_2-snap-gene-16.126-mRNA-1_1&gene=maker-scaffold_2-snap-gene-16.126&CDS=1-1695, maker-scaffold_3-snap-gene-6.123-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.123&CDS=1-1935	YBR149W, YDR368W, YOR120W
OG0000063	genemark-scaffold_2-processed-gene-16.38-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.38&CDS=1-1131, genemark-scaffold_3-processed-gene-11.9-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.9&CDS=1-1050, genemark-scaffold_6-processed-gene-5.67-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.67&CDS=1-1044	YMR303C, YOL086C
OG0000064	genemark-scaffold_3-processed-gene-6.79-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.79&CDS=1-999, genemark-scaffold_5-processed-gene-1.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.29&CDS=1-1005	YGR192C, YJL052W, YJR009C
OG0000065	genemark-scaffold_3-processed-gene-13.58-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-13.58&CDS=1-1707, genemark-scaffold_9-processed-gene-3.62-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.62&CDS=1-1659	YDR342C, YDR343C, YHR092C
OG0000066	augustus_masked-scaffold_5-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.108&CDS=1-4164, snap_masked-scaffold_3-processed-gene-14.107-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.107&CDS=1-3063	YIL002C, YNL106C, YOR109W
OG0000067	augustus_masked-scaffold_7-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.66&CDS=1-2622, genemark-scaffold_3-processed-gene-16.24-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-16.24&CDS=1-1329	YMR042W, YMR043W, YMR044W
OG0000068	augustus_masked-scaffold_4-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.7&CDS=1-1566	YDR533C, YMR322C, YOR391C, YPL280W
OG0000069	augustus_masked-scaffold_4-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.61&CDS=1-2526, augustus_masked-scaffold_7-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.148&CDS=1-3567	YDR385W, YKL173W, YOR133W
OG0000070	augustus_masked-scaffold_4-processed-gene-8.47-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.47&CDS=1-5634	YBL017C, YIL173W, YJL222W, YNR065C
OG0000071	genemark-scaffold_5-processed-gene-3.35-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.35&CDS=1-1089, genemark-scaffold_9-processed-gene-4.201-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.201&CDS=1-1221	YCR102C, YLR460C, YNL134C
OG0000072	genemark-scaffold_6-processed-gene-0.74-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.74&CDS=1-1014	YDL244W, YFL058W, YJR156C, YNL332W
OG0000073	genemark-scaffold_7-processed-gene-4.149-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.149&CDS=1-1560, genemark-scaffold_7-processed-gene-8.60-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.60&CDS=1-1689	YIL120W, YIL121W, YNL065W
OG0000074		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000075	genemark-scaffold_1-processed-gene-0.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.70&CDS=1-1521, genemark-scaffold_3-processed-gene-17.135-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-17.135&CDS=1-1494, genemark-scaffold_5-processed-gene-9.133-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.133&CDS=1-1518	YIL162W
OG0000076	genemark-scaffold_1-processed-gene-0.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.47&CDS=1-1395, genemark-scaffold_3-processed-gene-17.85-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-17.85&CDS=1-1449	YJL081C, YPR034W
OG0000077	augustus_masked-scaffold_1-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.132&CDS=1-1158, genemark-scaffold_1-processed-gene-6.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.78&CDS=1-1143, genemark-scaffold_3-processed-gene-1.40-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.40&CDS=1-945	YKL138C
OG0000078	genemark-scaffold_1-processed-gene-2.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.105&CDS=1-1386, genemark-scaffold_7-processed-gene-4.116-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.116&CDS=1-1446	YGR177C, YOR377W
OG0000079	augustus_masked-scaffold_3-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.88&CDS=1-1758, genemark-scaffold_1-processed-gene-2.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.109&CDS=1-741	YIR038C, YJL031C
OG0000080	genemark-scaffold_1-processed-gene-3.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.52&CDS=1-2376, genemark-scaffold_2-processed-gene-6.50-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.50&CDS=1-2736	YDL132W, YGR003W
OG0000081	augustus_masked-scaffold_3-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.79&CDS=1-2946, genemark-scaffold_1-processed-gene-4.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.55&CDS=1-2862	YGR240C, YMR205C
OG0000082	genemark-scaffold_1-processed-gene-6.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.103&CDS=1-2103, genemark-scaffold_5-processed-gene-4.120-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.120&CDS=1-2085, genemark-scaffold_5-processed-gene-7.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.28&CDS=1-1926	YPR159W
OG0000083	augustus_masked-scaffold_2-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.8&CDS=1-2115, augustus_masked-scaffold_3-processed-gene-14.5-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.5&CDS=1-2166, genemark-scaffold_1-processed-gene-9.51-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.51&CDS=1-1698	YDL174C
OG0000084	augustus_masked-scaffold_8-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.123&CDS=1-975, genemark-scaffold_1-processed-gene-9.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.100&CDS=1-3054	YNL148C, YPL174C
OG0000085	genemark-scaffold_1-processed-gene-9.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.83&CDS=1-1320, genemark-scaffold_9-processed-gene-2.115-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.115&CDS=1-3114	YGR052W, YHR082C
OG0000086	genemark-scaffold_1-processed-gene-10.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.30&CDS=1-1341, snap_masked-scaffold_5-processed-gene-6.128-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.128&CDS=1-3366	YHR131C, YNL144C
OG0000087	genemark-scaffold_1-processed-gene-10.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.42&CDS=1-1455, genemark-scaffold_8-processed-gene-4.69-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.69&CDS=1-1674	YDR256C, YGR088W
OG0000088	genemark-scaffold_1-processed-gene-11.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.70&CDS=1-2634, genemark-scaffold_3-processed-gene-6.68-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.68&CDS=1-2763	YMR266W, YOL084W
OG0000089	augustus_masked-scaffold_1-processed-gene-12.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.11&CDS=1-5268, genemark-scaffold_3-processed-gene-14.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-14.91&CDS=1-2598	YDR466W, YOL097C
OG0000090	genemark-scaffold_1-processed-gene-13.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.77&CDS=1-4710, genemark-scaffold_3-processed-gene-11.27-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.27&CDS=1-5685	YHR023W, YOR326W
OG0000091	genemark-scaffold_1-processed-gene-15.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.109&CDS=1-1773, genemark-scaffold_7-processed-gene-4.126-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.126&CDS=1-1794	YBL026W, YHR124W
OG0000092	genemark-scaffold_1-processed-gene-16.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.30&CDS=1-3837, genemark-scaffold_6-processed-gene-4.38-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.38&CDS=1-2736	YHL007C, YNL298W
OG0000093	genemark-scaffold_1-processed-gene-16.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.47&CDS=1-1323, genemark-scaffold_5-processed-gene-5.37-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.37&CDS=1-1317, genemark-scaffold_6-processed-gene-8.36-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.36&CDS=1-1323	YGR254W
OG0000094	genemark-scaffold_1-processed-gene-17.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.92&CDS=1-2070, genemark-scaffold_10-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.72&CDS=1-1929	YDL113C, YDR425W
OG0000095	genemark-scaffold_1-processed-gene-17.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.96&CDS=1-1995, genemark-scaffold_3-processed-gene-14.81-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-14.81&CDS=1-3057	YER075C, YOR208W
OG0000096	augustus_masked-scaffold_1-processed-gene-18.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.110&CDS=1-354, genemark-scaffold_6-processed-gene-8.10-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.10&CDS=1-327	YDR382W, YOL039W
OG0000097	genemark-scaffold_7-processed-gene-6.21-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.21&CDS=1-1674, snap_masked-scaffold_1-processed-gene-20.2-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.2&CDS=1-1641	YBR139W, YMR297W
OG0000098	genemark-scaffold_1-processed-gene-20.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.79&CDS=1-1533, genemark-scaffold_3-processed-gene-9.100-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.100&CDS=1-2658	YBL052C, YOR244W
OG0000099	genemark-scaffold_1-processed-gene-20.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.64&CDS=1-2292, genemark-scaffold_6-processed-gene-5.70-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.70&CDS=1-2862	YNL183C, YOR267C
OG0000100	augustus_masked-scaffold_2-processed-gene-9.2-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.2&CDS=1-4788, augustus_masked-scaffold_5-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.69&CDS=1-6330, maker-scaffold_1-snap-gene-22.134-mRNA-1_1&gene=maker-scaffold_1-snap-gene-22.134&CDS=1-2202	YGL077C
OG0000101	genemark-scaffold_1-processed-gene-23.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.75&CDS=1-315, genemark-scaffold_1-processed-gene-23.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.76&CDS=1-1050, maker-scaffold_6-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_6-snap-gene-0.2&CDS=1-2046	YPR127W
OG0000102	augustus_masked-scaffold_1-processed-gene-25.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.82&CDS=1-447, genemark-scaffold_8-processed-gene-5.254-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.254&CDS=1-498	YBR109C, YPR188C
OG0000103	genemark-scaffold_1-processed-gene-25.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.48&CDS=1-1722, genemark-scaffold_10-processed-gene-0.67-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.67&CDS=1-1623, genemark-scaffold_7-processed-gene-1.95-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.95&CDS=1-1623	YIL166C
OG0000104	genemark-scaffold_1-processed-gene-25.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.60&CDS=1-3645, snap_masked-scaffold_6-processed-gene-4.116-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.116&CDS=1-4317	YJL089W, YMR280C
OG0000105	augustus_masked-scaffold_1-processed-gene-26.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-26.102&CDS=1-3798, genemark-scaffold_10-processed-gene-1.87-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.87&CDS=1-2601	YGL115W, YMR019W
OG0000106	augustus_masked-scaffold_5-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.106&CDS=1-987, genemark-scaffold_1-processed-gene-26.170-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.170&CDS=1-993	YIL035C, YOR061W
OG0000107	genemark-scaffold_10-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.86&CDS=1-1458, genemark-scaffold_6-processed-gene-5.58-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.58&CDS=1-1353	YER028C, YGL209W
OG0000108	genemark-scaffold_2-processed-gene-9.40-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.40&CDS=1-1335, maker-scaffold_12-augustus-gene-0.0-mRNA-1_1&gene=maker-scaffold_12-augustus-gene-0.0&CDS=1-1818, maker-scaffold_2-augustus-gene-9.143-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-9.143&CDS=1-4356	YMR238W
OG0000109	genemark-scaffold_2-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.27&CDS=1-1722	YOL055C, YPL258C, YPR121W
OG0000110	genemark-scaffold_2-processed-gene-1.31-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.31&CDS=1-2031, maker-scaffold_5-snap-gene-9.7-mRNA-1_1&gene=maker-scaffold_5-snap-gene-9.7&CDS=1-1797	YGL003C, YGL116W
OG0000111	genemark-scaffold_5-processed-gene-3.10-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.10&CDS=1-2595, maker-scaffold_2-augustus-gene-4.155-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-4.155&CDS=1-5007	YHR028C, YOR206W
OG0000112	genemark-scaffold_2-processed-gene-5.52-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.52&CDS=1-1224, genemark-scaffold_4-processed-gene-5.17-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.17&CDS=1-1647, maker-scaffold_7-snap-gene-0.81-mRNA-1_1&gene=maker-scaffold_7-snap-gene-0.81&CDS=1-5508	YOR197W
OG0000113	genemark-scaffold_2-processed-gene-14.0-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.0&CDS=1-1437, genemark-scaffold_2-processed-gene-6.67-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.67&CDS=1-1497	YER048C, YIR004W
OG0000114	genemark-scaffold_2-processed-gene-7.58-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.58&CDS=1-777, maker-scaffold_6-augustus-gene-8.233-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-8.233&CDS=1-1119	YCR010C, YNR002C
OG0000115	genemark-scaffold_2-processed-gene-8.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.86&CDS=1-3936, genemark-scaffold_3-processed-gene-8.5-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.5&CDS=1-4806	YIL126W, YOR290C
OG0000116	genemark-scaffold_2-processed-gene-8.107-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.107&CDS=1-2241, maker-scaffold_2-augustus-gene-13.136-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-13.136&CDS=1-3111	YJR005W, YKL135C
OG0000117	augustus_masked-scaffold_2-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.60&CDS=1-3747, genemark-scaffold_3-processed-gene-17.123-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-17.123&CDS=1-2505	YGR068C, YOR018W
OG0000118	genemark-scaffold_2-processed-gene-9.65-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.65&CDS=1-1536, genemark-scaffold_7-processed-gene-5.26-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.26&CDS=1-1485	YDR125C, YLR099C
OG0000119	genemark-scaffold_2-processed-gene-13.52-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.52&CDS=1-1485, maker-scaffold_2-snap-gene-17.92-mRNA-1_1&gene=maker-scaffold_2-snap-gene-17.92&CDS=1-2457	YBR212W, YHR086W
OG0000120	genemark-scaffold_5-processed-gene-5.5-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.5&CDS=1-3555, maker-scaffold_2-augustus-gene-15.132-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-15.132&CDS=1-3615	YML020W, YPL008W
OG0000121	genemark-scaffold_2-processed-gene-15.122-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-15.122&CDS=1-1050, genemark-scaffold_3-processed-gene-11.11-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.11&CDS=1-1017	YML019W, YOR085W
OG0000122	augustus_masked-scaffold_2-processed-gene-18.232-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.232&CDS=1-5304, genemark-scaffold_2-processed-gene-18.109-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.109&CDS=1-5733	YGR184C, YLR024C
OG0000123	genemark-scaffold_3-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.24&CDS=1-3465, genemark-scaffold_4-processed-gene-5.21-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.21&CDS=1-6630	YJL130C, YJR109C
OG0000124	genemark-scaffold_3-processed-gene-1.25-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.25&CDS=1-1908, genemark-scaffold_3-processed-gene-8.7-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.7&CDS=1-1863	YEL065W, YHL040C
OG0000125	augustus_masked-scaffold_3-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.61&CDS=1-1275, genemark-scaffold_4-processed-gene-10.54-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.54&CDS=1-525	YJR017C, YKL024C
OG0000126	genemark-scaffold_3-processed-gene-3.41-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.41&CDS=1-2733, genemark-scaffold_7-processed-gene-3.68-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.68&CDS=1-1281	YDL131W, YDL182W
OG0000127	genemark-scaffold_3-processed-gene-3.47-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.47&CDS=1-1455, genemark-scaffold_9-processed-gene-4.194-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.194&CDS=1-2106, genemark-scaffold_9-processed-gene-4.195-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.195&CDS=1-2724	YDL020C
OG0000128	genemark-scaffold_3-processed-gene-3.49-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.49&CDS=1-309, genemark-scaffold_4-processed-gene-5.43-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.43&CDS=1-309	YBR009C, YNL030W
OG0000129	genemark-scaffold_3-processed-gene-5.109-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.109&CDS=1-2058, genemark-scaffold_5-processed-gene-8.58-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.58&CDS=1-1779	YDR398W, YHR196W
OG0000130	augustus_masked-scaffold_3-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.10&CDS=1-8322, genemark-scaffold_3-processed-gene-14.95-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-14.95&CDS=1-2583	YCR011C, YPR143W
OG0000131	genemark-scaffold_3-processed-gene-9.132-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.132&CDS=1-1764	YBR298C, YDL247W, YJR160C
OG0000132	genemark-scaffold_3-processed-gene-9.120-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.120&CDS=1-390, genemark-scaffold_5-processed-gene-6.18-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.18&CDS=1-390	YBL002W, YDR224C
OG0000133	augustus_masked-scaffold_3-processed-gene-11.57-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.57&CDS=1-5823, snap_masked-scaffold_3-processed-gene-17.175-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-17.175&CDS=1-6432	YER172C, YGR271W
OG0000134	genemark-scaffold_3-processed-gene-12.80-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.80&CDS=1-1218, genemark-scaffold_4-processed-gene-10.57-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.57&CDS=1-1329	YLR090W, YNL064C
OG0000135	genemark-scaffold_3-processed-gene-14.76-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-14.76&CDS=1-1833, genemark-scaffold_5-processed-gene-2.76-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.76&CDS=1-1791	YNL104C, YOR108W
OG0000136	genemark-scaffold_3-processed-gene-15.36-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-15.36&CDS=1-939	YLL062C, YMR321C, YPL273W
OG0000137	genemark-scaffold_3-processed-gene-16.46-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-16.46&CDS=1-8220, genemark-scaffold_9-processed-gene-1.113-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.113&CDS=1-7977	YLR454W, YPR117W
OG0000138	genemark-scaffold_4-processed-gene-2.99-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.99&CDS=1-7083, maker-scaffold_9-snap-gene-2.42-mRNA-1_1&gene=maker-scaffold_9-snap-gene-2.42&CDS=1-1779	YGL158W, YLR248W
OG0000139	genemark-scaffold_4-processed-gene-3.105-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.105&CDS=1-1284, genemark-scaffold_8-processed-gene-3.62-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.62&CDS=1-2403	YAR003W, YCL039W
OG0000140	genemark-scaffold_4-processed-gene-4.14-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.14&CDS=1-1167, genemark-scaffold_4-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.15&CDS=1-1167, genemark-scaffold_8-processed-gene-5.219-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.219&CDS=1-1134	YOR084W
OG0000141	genemark-scaffold_4-processed-gene-12.153-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.153&CDS=1-1734, genemark-scaffold_4-processed-gene-6.37-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.37&CDS=1-1848, genemark-scaffold_7-processed-gene-3.48-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.48&CDS=1-1704	YBR132C
OG0000142	genemark-scaffold_4-processed-gene-7.11-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.11&CDS=1-3933, maker-scaffold_5-augustus-gene-7.155-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.155&CDS=1-5739	YDR216W, YML080W
