	Nakaseomyces_castellii	Saccharomyces_cerevisiae
OG0000518	snap_masked-CACA0S05-processed-gene-3.118-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.118&CDS=1-393	YKL167C
OG0000519	augustus_masked-CACA0S05-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.80&CDS=1-1761	YJL163C
OG0000520	augustus_masked-CACA0S05-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.81&CDS=1-2775	YKL165C
OG0000521	augustus_masked-CACA0S05-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-4.54&CDS=1-1287	YKL162C
OG0000522	genemark-CACA0S05-processed-gene-4.103-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.103&CDS=1-621	YNL222W
OG0000523	genemark-CACA0S05-processed-gene-4.104-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.104&CDS=1-1356	YNL223W
OG0000524	genemark-CACA0S05-processed-gene-4.99-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.99&CDS=1-2322	YNL224C
OG0000525	genemark-CACA0S05-processed-gene-4.105-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.105&CDS=1-1812	YNL227C
OG0000526	genemark-CACA0S05-processed-gene-4.127-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.127&CDS=1-885	YGR046W
OG0000527	genemark-CACA0S05-processed-gene-4.106-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.106&CDS=1-906	YNL229C
OG0000528	genemark-CACA0S05-processed-gene-4.107-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.107&CDS=1-960	YNL230C
OG0000529	genemark-CACA0S05-processed-gene-4.108-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.108&CDS=1-1023	YNL231C
OG0000530	genemark-CACA0S05-processed-gene-4.128-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.128&CDS=1-813	YNL232W
OG0000531	snap_masked-CACA0S05-processed-gene-4.30-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-4.30&CDS=1-2412	YNL233W
OG0000532	augustus_masked-CACA0S05-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-4.81&CDS=1-1860	YNL234W
OG0000533	augustus_masked-CACA0S05-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-4.82&CDS=1-3132	YNL236W
OG0000534	genemark-CACA0S05-processed-gene-4.131-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.131&CDS=1-2349	YNL238W
OG0000535	genemark-CACA0S05-processed-gene-4.132-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.132&CDS=1-1338	YNL239W
OG0000536	genemark-CACA0S05-processed-gene-4.109-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.109&CDS=1-1467	YNL240C
OG0000537	genemark-CACA0S05-processed-gene-4.110-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.110&CDS=1-1998	YBL024W
OG0000538	genemark-CACA0S05-processed-gene-4.112-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.112&CDS=1-558	YOR163W
OG0000539	genemark-CACA0S05-processed-gene-4.134-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.134&CDS=1-909	YOR164C
OG0000540	genemark-CACA0S05-processed-gene-4.113-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.113&CDS=1-2295	YOR165W
OG0000541	genemark-CACA0S05-processed-gene-4.135-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.135&CDS=1-1566	YOR166C
OG0000542	genemark-CACA0S05-processed-gene-4.114-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.114&CDS=1-2424	YOR168W
OG0000543	genemark-CACA0S05-processed-gene-4.115-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.115&CDS=1-1893	YDR390C
OG0000544	genemark-CACA0S05-processed-gene-4.138-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.138&CDS=1-2109	YDR389W
OG0000545	genemark-CACA0S05-processed-gene-4.116-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.116&CDS=1-1476	YKR063C
OG0000546	genemark-CACA0S05-processed-gene-4.139-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.139&CDS=1-909	YKR062W
OG0000547	genemark-CACA0S05-processed-gene-4.117-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.117&CDS=1-1746	YKR069W
OG0000548	genemark-CACA0S05-processed-gene-4.118-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.118&CDS=1-1059	YKR070W
OG0000549	genemark-CACA0S05-processed-gene-4.141-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.141&CDS=1-1350	YOR056C
OG0000550	genemark-CACA0S05-processed-gene-4.119-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.119&CDS=1-420	YKR074W
OG0000551	augustus_masked-CACA0S05-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-4.72&CDS=1-1014	YOR061W
OG0000552	genemark-CACA0S05-processed-gene-4.121-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.121&CDS=1-1161	YOR063W
OG0000553	augustus_masked-CACA0S05-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-4.74&CDS=1-1089	YKR076W
OG0000554	augustus_masked-CACA0S05-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-4.75&CDS=1-1314	YKR077W
OG0000555	genemark-CACA0S05-processed-gene-4.142-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.142&CDS=1-2439	YKR079C
OG0000556	genemark-CACA0S05-processed-gene-4.125-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.125&CDS=1-963	YKR080W
OG0000557	augustus_masked-CACA0S05-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-4.78&CDS=1-3450	YKR082W
OG0000558	genemark-CACA0S05-processed-gene-4.143-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.143&CDS=1-360	YKR083C
OG0000559	genemark-CACA0S05-processed-gene-4.144-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.144&CDS=1-1824	YKR084C
OG0000560	genemark-CACA0S05-processed-gene-4.145-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.145&CDS=1-747	YKR085C
OG0000561	augustus_masked-CACA0S05-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.97&CDS=1-1902	YKR087C
OG0000562	snap_masked-CACA0S05-processed-gene-5.26-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-5.26&CDS=1-810	YKR092C
OG0000563	genemark-CACA0S05-processed-gene-5.72-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.72&CDS=1-2817	YNL287W
OG0000564	genemark-CACA0S05-processed-gene-5.73-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.73&CDS=1-1317	YNL288W
OG0000565	augustus_masked-CACA0S05-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.99&CDS=1-3147	YOL051W
OG0000566	genemark-CACA0S05-processed-gene-5.57-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.57&CDS=1-1437	YOL049W
OG0000567	augustus_masked-CACA0S05-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.117&CDS=1-642	YOR021C
OG0000568	genemark-CACA0S05-processed-gene-5.75-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.75&CDS=1-2091	YOR022C
OG0000569	augustus_masked-CACA0S05-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.119&CDS=1-1743	YOR023C
OG0000570	augustus_masked-CACA0S05-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.101&CDS=1-615	YHR013C
OG0000571	augustus_masked-CACA0S05-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.121&CDS=1-1743	YHR011W
OG0000572	maker-CACA0S05-augustus-gene-5.0-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-5.0&CDS=1-2226	YHR009C
OG0000573	augustus_masked-CACA0S05-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.103&CDS=1-1599	YHR007C
OG0000574	genemark-CACA0S05-processed-gene-5.79-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.79&CDS=1-1344	YML038C
OG0000575	augustus_masked-CACA0S05-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.123&CDS=1-1434	YML037C
OG0000576	genemark-CACA0S05-processed-gene-5.60-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.60&CDS=1-525	YML036W
OG0000577	genemark-CACA0S05-processed-gene-5.81-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.81&CDS=1-2196	YML035C
OG0000578	genemark-CACA0S05-processed-gene-5.82-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.82&CDS=1-1413	YML032C
OG0000579	genemark-CACA0S05-processed-gene-5.63-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.63&CDS=1-1740	YML031W
OG0000580	genemark-CACA0S05-processed-gene-5.83-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.83&CDS=1-1836	YDR456W
OG0000581	genemark-CACA0S05-processed-gene-5.64-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.64&CDS=1-420	YML030W
OG0000582	augustus_masked-CACA0S05-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.108&CDS=1-2733	YML029W
OG0000583	genemark-CACA0S05-processed-gene-5.84-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.84&CDS=1-864	YML025C
OG0000584	augustus_masked-CACA0S05-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.128&CDS=1-1065	YML023C
OG0000585	genemark-CACA0S05-processed-gene-5.68-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.68&CDS=1-1716	YJL172W
OG0000586	augustus_masked-CACA0S05-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.129&CDS=1-621	YJL170C
OG0000587	genemark-CACA0S05-processed-gene-5.87-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.87&CDS=1-2058	YJL168C
OG0000588	genemark-CACA0S05-processed-gene-5.69-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.69&CDS=1-1008	YKL172W
OG0000589	maker-CACA0S05-augustus-gene-5.1-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-5.1&CDS=1-1299	YJL167W
OG0000590	augustus_masked-CACA0S05-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.132&CDS=1-1005	YJL162C
OG0000591	augustus_masked-CACA0S05-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.134&CDS=1-2364	YJL157C
OG0000592	augustus_masked-CACA0S05-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-5.135&CDS=1-2199	YJL156C
OG0000593	snap_masked-CACA0S05-processed-gene-5.49-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-5.49&CDS=1-1368	YJL155C
OG0000594	genemark-CACA0S05-processed-gene-5.94-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.94&CDS=1-2832	YJL154C
OG0000595	genemark-CACA0S05-processed-gene-6.1-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.1&CDS=1-1809	YJL149W
OG0000596	snap_masked-CACA0S05-processed-gene-6.96-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.96&CDS=1-627	YJL148W
OG0000597	snap_masked-CACA0S05-processed-gene-6.97-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.97&CDS=1-1149	YJL146W
OG0000598	genemark-CACA0S05-processed-gene-6.4-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.4&CDS=1-894	YJL145W
OG0000599	genemark-CACA0S05-processed-gene-6.5-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.5&CDS=1-486	YJL143W
OG0000600	genemark-CACA0S05-processed-gene-6.8-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.8&CDS=1-1983	YJL141C
OG0000601	genemark-CACA0S05-processed-gene-6.6-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.6&CDS=1-702	YJL121C
OG0000602	snap_masked-CACA0S05-processed-gene-6.102-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.102&CDS=1-393	YJL122W
OG0000603	augustus_masked-CACA0S05-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-6.74&CDS=1-426	YHR189W
OG0000604	augustus_masked-CACA0S05-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-6.55&CDS=1-2565	YMR287C
OG0000605	snap_masked-CACA0S05-processed-gene-6.122-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.122&CDS=1-258	YMR286W
OG0000606	genemark-CACA0S05-processed-gene-6.11-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.11&CDS=1-1476	YMR285C
OG0000607	genemark-CACA0S05-processed-gene-6.28-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.28&CDS=1-1773	YMR284W
OG0000608	genemark-CACA0S05-processed-gene-6.29-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.29&CDS=1-369	YMR159C
OG0000609	genemark-CACA0S05-processed-gene-6.12-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.12&CDS=1-2226	YMR160W
OG0000610	genemark-CACA0S05-processed-gene-6.13-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.13&CDS=1-699	YMR161W
OG0000611	genemark-CACA0S05-processed-gene-6.30-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.30&CDS=1-4860	YMR162C
OG0000612	snap_masked-CACA0S05-processed-gene-6.126-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.126&CDS=1-1860	YMR163C
OG0000613	genemark-CACA0S05-processed-gene-6.33-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.33&CDS=1-2415	YMR165C
OG0000614	genemark-CACA0S05-processed-gene-6.34-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.34&CDS=1-1104	YMR166C
OG0000615	genemark-CACA0S05-processed-gene-6.14-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.14&CDS=1-2268	YMR167W
OG0000616	genemark-CACA0S05-processed-gene-6.35-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.35&CDS=1-1848	YMR168C
OG0000617	snap_masked-CACA0S05-processed-gene-6.132-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.132&CDS=1-1749	YMR171C
OG0000618	genemark-CACA0S05-processed-gene-6.15-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.15&CDS=1-870	YNL202W
OG0000619	genemark-CACA0S05-processed-gene-6.38-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.38&CDS=1-2364	YNL201C
OG0000620	genemark-CACA0S05-processed-gene-6.39-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.39&CDS=1-726	YNL200C
OG0000621	snap_masked-CACA0S05-processed-gene-6.137-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.137&CDS=1-1467	YNL195C
OG0000622	snap_masked-CACA0S05-processed-gene-6.109-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.109&CDS=1-1509	YNL193W
OG0000623	augustus_masked-CACA0S05-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-6.62&CDS=1-3339	YNL192W
OG0000624	augustus_masked-CACA0S05-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-6.63&CDS=1-1059	YNL191W
OG0000625	genemark-CACA0S05-processed-gene-6.18-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.18&CDS=1-1392	YJL123C
OG0000626	genemark-CACA0S05-processed-gene-6.19-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.19&CDS=1-549	YJL124C
OG0000627	genemark-CACA0S05-processed-gene-6.20-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.20&CDS=1-1164	YJL125C
OG0000628	genemark-CACA0S05-processed-gene-6.42-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.42&CDS=1-891	YJL126W
OG0000629	snap_masked-CACA0S05-processed-gene-6.115-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.115&CDS=1-2031	YJL127C
OG0000630	maker-CACA0S05-snap-gene-6.0-mRNA-1_1&gene=maker-CACA0S05-snap-gene-6.0&CDS=1-3702	YJL129C
OG0000631	genemark-CACA0S05-processed-gene-6.24-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.24&CDS=1-1104	YJL131C
OG0000632	genemark-CACA0S05-processed-gene-6.44-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.44&CDS=1-648	YJL140W
OG0000633	genemark-CACA0S05-processed-gene-6.45-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.45&CDS=1-1251	YDR306C
OG0000634	snap_masked-CACA0S05-processed-gene-6.121-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-6.121&CDS=1-1908	YDR307W
OG0000635	genemark-CACA0S05-processed-gene-6.46-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.46&CDS=1-450	YDR308C
OG0000636	genemark-CACA0S05-processed-gene-7.96-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.96&CDS=1-2757	YDR310C
OG0000637	genemark-CACA0S05-processed-gene-7.94-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.94&CDS=1-1890	YDR311W
OG0000638	genemark-CACA0S05-processed-gene-7.97-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.97&CDS=1-1476	YHR065C
OG0000639	genemark-CACA0S05-processed-gene-7.98-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.98&CDS=1-798	YDR313C
OG0000640	augustus_masked-CACA0S05-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.52&CDS=1-2049	YDR314C
OG0000641	augustus_masked-CACA0S05-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.73&CDS=1-822	YDR315C
OG0000642	genemark-CACA0S05-processed-gene-7.100-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.100&CDS=1-1176	YHR068W
OG0000643	genemark-CACA0S05-processed-gene-7.101-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.101&CDS=1-1299	YDR316W
OG0000644	snap_masked-CACA0S05-processed-gene-7.8-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-7.8&CDS=1-1230	YDR317W
OG0000645	augustus_masked-CACA0S05-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.56&CDS=1-1071	YDR318W
OG0000646	snap_masked-CACA0S05-processed-gene-7.26-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-7.26&CDS=1-1329	YDR320C
OG0000647	maker-CACA0S05-augustus-gene-7.142-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-7.142&CDS=1-2022	YDR321W
OG0000648	augustus_masked-CACA0S05-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.75&CDS=1-270	YDR322C-A
OG0000649	augustus_masked-CACA0S05-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.76&CDS=1-1602	YDR323C
OG0000650	genemark-CACA0S05-processed-gene-7.124-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.124&CDS=1-2292	YDR324C
OG0000651	genemark-CACA0S05-processed-gene-7.106-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.106&CDS=1-2952	YDR325W
OG0000652	genemark-CACA0S05-processed-gene-7.126-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.126&CDS=1-525	YDR328C
OG0000653	augustus_masked-CACA0S05-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.80&CDS=1-1344	YDR329C
OG0000654	genemark-CACA0S05-processed-gene-7.107-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.107&CDS=1-1491	YDR330W
OG0000655	genemark-CACA0S05-processed-gene-7.108-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.108&CDS=1-1161	YDR331W
OG0000656	genemark-CACA0S05-processed-gene-7.109-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.109&CDS=1-708	YGR033C
OG0000657	genemark-CACA0S05-processed-gene-7.129-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.129&CDS=1-945	YGR031W
OG0000658	augustus_masked-CACA0S05-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.62&CDS=1-480	YGR030C
OG0000659	genemark-CACA0S05-processed-gene-7.130-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.130&CDS=1-1059	YGR028W
OG0000660	genemark-CACA0S05-processed-gene-7.131-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.131&CDS=1-729	YDR196C
OG0000661	genemark-CACA0S05-processed-gene-7.132-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.132&CDS=1-1143	YDR198C
OG0000662	genemark-CACA0S05-processed-gene-7.112-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.112&CDS=1-459	YDR201W
OG0000663	genemark-CACA0S05-processed-gene-7.113-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.113&CDS=1-1494	YFL022C
OG0000664	genemark-CACA0S05-processed-gene-7.135-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.135&CDS=1-2964	YFL023W
OG0000665	genemark-CACA0S05-processed-gene-7.114-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.114&CDS=1-2454	YFL024C
OG0000666	genemark-CACA0S05-processed-gene-7.115-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.115&CDS=1-3042	YFL025C
OG0000667	genemark-CACA0S05-processed-gene-7.136-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.136&CDS=1-1440	YFL026W
OG0000668	augustus_masked-CACA0S05-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.67&CDS=1-1440	YFL027C
OG0000669	genemark-CACA0S05-processed-gene-7.117-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.117&CDS=1-855	YFL028C
OG0000670	genemark-CACA0S05-processed-gene-7.118-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.118&CDS=1-1107	YFL029C
OG0000671	genemark-CACA0S05-processed-gene-7.138-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.138&CDS=1-1125	YFL030W
OG0000672	augustus_masked-CACA0S05-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.70&CDS=1-579	YFR008W
OG0000673	augustus_masked-CACA0S05-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.71&CDS=1-624	YDR041W
OG0000674	augustus_masked-CACA0S05-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.72&CDS=1-1041	YDR044W
OG0000675	genemark-CACA0S05-processed-gene-7.141-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.141&CDS=1-300	YDR045C
OG0000676	maker-CACA0S05-augustus-gene-8.3-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-8.3&CDS=1-2979	YDR047W
OG0000677	genemark-CACA0S05-processed-gene-8.56-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.56&CDS=1-744	YDR050C
OG0000678	genemark-CACA0S05-processed-gene-8.58-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.58&CDS=1-909	YNL006W
OG0000679	genemark-CACA0S05-processed-gene-8.59-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.59&CDS=1-1437	YLR175W
OG0000680	genemark-CACA0S05-processed-gene-8.81-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.81&CDS=1-723	YNL010W
OG0000681	genemark-CACA0S05-processed-gene-8.60-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.60&CDS=1-1329	YNL011C
OG0000682	snap_masked-CACA0S05-processed-gene-8.133-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-8.133&CDS=1-1587	YNL012W
OG0000683	snap_masked-CACA0S05-processed-gene-8.134-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-8.134&CDS=1-240	YNL015W
OG0000684	genemark-CACA0S05-processed-gene-8.83-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.83&CDS=1-531	YDL120W
OG0000685	genemark-CACA0S05-processed-gene-8.61-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.61&CDS=1-849	YNL032W
OG0000686	genemark-CACA0S05-processed-gene-8.62-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.62&CDS=1-1410	YML005W
OG0000687	genemark-CACA0S05-processed-gene-8.63-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.63&CDS=1-1440	YNL027W
OG0000688	augustus_masked-CACA0S05-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-8.17&CDS=1-1383	YNL026W
OG0000689	genemark-CACA0S05-processed-gene-8.85-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.85&CDS=1-1038	YNL025C
OG0000690	snap_masked-CACA0S05-processed-gene-8.138-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-8.138&CDS=1-2109	YNL023C
OG0000691	genemark-CACA0S05-processed-gene-8.87-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.87&CDS=1-1425	YNL022C
OG0000692	genemark-CACA0S05-processed-gene-8.65-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.65&CDS=1-2094	YNL021W
OG0000693	genemark-CACA0S05-processed-gene-8.66-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.66&CDS=1-1134	YNL035C
OG0000694	augustus_masked-CACA0S05-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-8.20&CDS=1-2121	YNL039W
OG0000695	augustus_masked-CACA0S05-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-8.21&CDS=1-2382	YNL041C
OG0000696	augustus_masked-CACA0S05-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-8.42&CDS=1-1107	YNL042W
OG0000697	maker-CACA0S05-augustus-gene-8.5-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-8.5&CDS=1-2292	YNL045W
OG0000698	genemark-CACA0S05-processed-gene-8.92-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.92&CDS=1-1524	YNL048W
OG0000699	genemark-CACA0S05-processed-gene-8.68-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.68&CDS=1-2409	YIL107C
