	Candida_dubliniensis	Saccharomyces_cerevisiae
OG0000061	genemark-NC_012867.1-processed-gene-19.109-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-19.109&CDS=1-1389, maker-NC_012861.1-augustus-gene-15.44-mRNA-1_1&gene=maker-NC_012861.1-augustus-gene-15.44&CDS=1-867	YHR039C-A, YPL092W
OG0000062	genemark-NC_012861.1-processed-gene-18.23-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-18.23&CDS=1-876	YJL158C, YJL160C, YKL164C
OG0000063	genemark-NC_012861.1-processed-gene-20.103-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-20.103&CDS=1-1548	YER056C, YER060W, YER060W-A
OG0000064	augustus_masked-NC_012861.1-processed-gene-21.68-mRNA-1_1&gene=augustus_masked-NC_012861.1-processed-gene-21.68&CDS=1-825, genemark-NC_012864.1-processed-gene-6.76-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-6.76&CDS=1-1734	YMR182C, YPL230W
OG0000065	genemark-NC_012862.1-processed-gene-4.29-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-4.29&CDS=1-2127, genemark-NC_012862.1-processed-gene-4.7-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-4.7&CDS=1-2172, genemark-NC_012865.1-processed-gene-7.16-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-7.16&CDS=1-1986	YGL205W
OG0000066	maker-NC_012862.1-augustus-gene-6.76-mRNA-1_1&gene=maker-NC_012862.1-augustus-gene-6.76&CDS=1-1833, maker-NC_012862.1-snap-gene-7.136-mRNA-1_1&gene=maker-NC_012862.1-snap-gene-7.136&CDS=1-1698	YHR132W-A, YNL157W
OG0000067	genemark-NC_012862.1-processed-gene-13.61-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-13.61&CDS=1-2163, genemark-NC_012862.1-processed-gene-13.78-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-13.78&CDS=1-2241, genemark-NC_012862.1-processed-gene-8.3-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-8.3&CDS=1-2160	YPR159W
OG0000068	genemark-NC_012862.1-processed-gene-8.39-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-8.39&CDS=1-1647	YDR144C, YLR120C, YLR121C
OG0000069	genemark-NC_012862.1-processed-gene-11.59-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-11.59&CDS=1-2250, genemark-NC_012866.1-processed-gene-1.55-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.55&CDS=1-1584	YDL138W, YDL194W
OG0000070	genemark-NC_012862.1-processed-gene-13.45-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-13.45&CDS=1-1509, genemark-NC_012867.1-processed-gene-9.30-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-9.30&CDS=1-1524	YIL120W, YIL121W
OG0000071	augustus_masked-NC_012862.1-processed-gene-15.11-mRNA-1_1&gene=augustus_masked-NC_012862.1-processed-gene-15.11&CDS=1-1923, maker-NC_012862.1-augustus-gene-14.27-mRNA-1_1&gene=maker-NC_012862.1-augustus-gene-14.27&CDS=1-1923	YDR453C, YML028W
OG0000072	genemark-NC_012862.1-processed-gene-16.75-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-16.75&CDS=1-2619, genemark-NC_012867.1-processed-gene-5.22-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-5.22&CDS=1-1671	YBR237W, YNL112W
OG0000073	genemark-NC_012862.1-processed-gene-16.86-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-16.86&CDS=1-1005	YGR192C, YJL052W, YJR009C
OG0000074	genemark-NC_012863.1-processed-gene-3.85-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.85&CDS=1-1791, genemark-NC_012863.1-processed-gene-6.36-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.36&CDS=1-1740	YJL172W, YOL153C
OG0000075	genemark-NC_012863.1-processed-gene-6.32-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-6.32&CDS=1-5373, snap_masked-NC_012863.1-processed-gene-6.52-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-6.52&CDS=1-5694	YGR184C, YLR024C
OG0000076	augustus_masked-NC_012865.1-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NC_012865.1-processed-gene-3.90&CDS=1-7722, snap_masked-NC_012863.1-processed-gene-12.50-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-12.50&CDS=1-8193	YLR454W, YPR117W
OG0000077	genemark-NC_012863.1-processed-gene-13.17-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-13.17&CDS=1-447, genemark-NC_012864.1-processed-gene-8.28-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-8.28&CDS=1-513	YBR109C, YPR188C
OG0000078	genemark-NC_012864.1-processed-gene-0.72-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-0.72&CDS=1-1320, genemark-NC_012867.1-processed-gene-9.13-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-9.13&CDS=1-1179	YLR090W, YNL064C
OG0000079	maker-NC_012864.1-snap-gene-3.4-mRNA-1_1&gene=maker-NC_012864.1-snap-gene-3.4&CDS=1-561	YCL067C, YCR039C, YCR096C
OG0000080	genemark-NC_012864.1-processed-gene-4.57-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-4.57&CDS=1-2751, maker-NC_012864.1-augustus-gene-4.98-mRNA-1_1&gene=maker-NC_012864.1-augustus-gene-4.98&CDS=1-5922	YBR150C, YOL089C
OG0000081	genemark-NC_012865.1-processed-gene-1.86-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-1.86&CDS=1-1692, genemark-NC_012865.1-processed-gene-2.48-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-2.48&CDS=1-1713, genemark-NC_012865.1-processed-gene-2.72-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-2.72&CDS=1-1704	YEL063C
OG0000082	genemark-NC_012865.1-processed-gene-5.85-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-5.85&CDS=1-1710, genemark-NC_012866.1-processed-gene-3.61-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.61&CDS=1-1737, genemark-NC_012866.1-processed-gene-6.13-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.13&CDS=1-1725	YDR242W
OG0000083	genemark-NC_012865.1-processed-gene-9.65-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.65&CDS=1-1524, genemark-NC_012865.1-processed-gene-9.96-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.96&CDS=1-1524	YBL089W, YER119C
OG0000084	augustus_masked-NC_012867.1-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-NC_012867.1-processed-gene-9.94&CDS=1-2685, genemark-NC_012867.1-processed-gene-6.92-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-6.92&CDS=1-801	YNL148C, YPL174C
OG0000085	augustus_masked-NC_012867.1-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-NC_012867.1-processed-gene-7.130&CDS=1-924, genemark-NC_012867.1-processed-gene-7.47-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-7.47&CDS=1-759	YMR123W, YOR258W
OG0000086	genemark-NC_012867.1-processed-gene-15.42-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-15.42&CDS=1-1404, genemark-NC_012867.1-processed-gene-16.4-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-16.4&CDS=1-1404	YCL040W, YDR516C
OG0000087	genemark-NC_012867.1-processed-gene-16.18-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-16.18&CDS=1-1200, genemark-NC_012867.1-processed-gene-16.33-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-16.33&CDS=1-1194, genemark-NC_012867.1-processed-gene-21.74-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-21.74&CDS=1-1197	YGR234W
OG0000088		YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000089	snap_masked-NC_012860.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-0.25&CDS=1-735	YER045C, YIL036W
OG0000090	genemark-NC_012860.1-processed-gene-0.50-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-0.50&CDS=1-3042	YGR238C, YHR158C
OG0000091	genemark-NC_012860.1-processed-gene-0.76-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-0.76&CDS=1-1626, genemark-NC_012866.1-processed-gene-4.98-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.98&CDS=1-1983	YMR110C
OG0000092	genemark-NC_012860.1-processed-gene-1.8-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-1.8&CDS=1-312	YCL035C, YDR513W
OG0000093	augustus_masked-NC_012860.1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-1.96&CDS=1-4347, snap_masked-NC_012861.1-processed-gene-6.69-mRNA-1_1&gene=snap_masked-NC_012861.1-processed-gene-6.69&CDS=1-1752	YDL174C
OG0000094	genemark-NC_012860.1-processed-gene-1.38-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-1.38&CDS=1-2406	YMR199W, YPL256C
OG0000095	genemark-NC_012860.1-processed-gene-2.7-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-2.7&CDS=1-762	YMR233W, YOR295W
OG0000096	genemark-NC_012860.1-processed-gene-3.37-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-3.37&CDS=1-1473	YJL134W, YKR053C
OG0000097	snap_masked-NC_012860.1-processed-gene-3.79-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-3.79&CDS=1-4371	YDR409W, YOR156C
OG0000098	augustus_masked-NC_012860.1-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-3.16&CDS=1-1452	YHR203C, YJR145C
OG0000099	genemark-NC_012860.1-processed-gene-3.55-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-3.55&CDS=1-1899, genemark-NC_012865.1-processed-gene-3.43-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-3.43&CDS=1-1701	YCR023C
OG0000100	augustus_masked-NC_012860.1-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-4.27&CDS=1-1527	YBR273C, YJL048C
OG0000101	genemark-NC_012860.1-processed-gene-4.106-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.106&CDS=1-1026, genemark-NC_012860.1-processed-gene-4.109-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.109&CDS=1-987	YCR021C
OG0000102	genemark-NC_012860.1-processed-gene-4.131-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.131&CDS=1-1818	YDR247W, YPL026C
OG0000103	genemark-NC_012860.1-processed-gene-4.132-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.132&CDS=1-1548	YBR020W, YDR009W
OG0000104	genemark-NC_012860.1-processed-gene-5.47-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.47&CDS=1-876, genemark-NC_012863.1-processed-gene-1.17-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-1.17&CDS=1-870	YNL202W
OG0000105	snap_masked-NC_012860.1-processed-gene-5.21-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-5.21&CDS=1-393	YGR034W, YLR344W
OG0000106	genemark-NC_012860.1-processed-gene-6.50-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.50&CDS=1-2382	YGR056W, YLR357W
OG0000107	genemark-NC_012860.1-processed-gene-6.82-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.82&CDS=1-606	YDL082W, YMR142C
OG0000108	genemark-NC_012860.1-processed-gene-6.67-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.67&CDS=1-426	YDL083C, YMR143W
OG0000109	genemark-NC_012860.1-processed-gene-6.90-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.90&CDS=1-1278	YBR078W, YDR055W
OG0000110	genemark-NC_012860.1-processed-gene-7.91-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.91&CDS=1-795	YDR099W, YER177W
OG0000111	genemark-NC_012860.1-processed-gene-7.102-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.102&CDS=1-1275	YBR177C, YPL095C
OG0000112	genemark-NC_012860.1-processed-gene-7.121-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.121&CDS=1-3627	YHR155W, YNL257C
OG0000113	genemark-NC_012860.1-processed-gene-7.128-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.128&CDS=1-1032, genemark-NC_012867.1-processed-gene-11.93-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-11.93&CDS=1-1038	YPR086W
OG0000114	genemark-NC_012860.1-processed-gene-7.131-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.131&CDS=1-717	YBR278W, YJL065C
OG0000115	genemark-NC_012860.1-processed-gene-8.61-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.61&CDS=1-1260	YLR449W, YML074C
OG0000116	genemark-NC_012860.1-processed-gene-8.70-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.70&CDS=1-2538	YDR200C, YLR238W
OG0000117	genemark-NC_012860.1-processed-gene-9.7-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.7&CDS=1-393	YBL003C, YDR225W
OG0000118	maker-NC_012860.1-augustus-gene-9.107-mRNA-1_1&gene=maker-NC_012860.1-augustus-gene-9.107&CDS=1-4833	YHR047C, YKL157W
OG0000119	maker-NC_012860.1-snap-gene-9.50-mRNA-1_1&gene=maker-NC_012860.1-snap-gene-9.50&CDS=1-2127	YIR035C, YIR036C
OG0000120	genemark-NC_012860.1-processed-gene-10.19-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.19&CDS=1-1281, genemark-NC_012861.1-processed-gene-9.103-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-9.103&CDS=1-1254	YDL131W
OG0000121	snap_masked-NC_012860.1-processed-gene-10.70-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-10.70&CDS=1-1296	YMR177W, YPL224C
OG0000122	genemark-NC_012860.1-processed-gene-12.53-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.53&CDS=1-744, genemark-NC_012860.1-processed-gene-26.67-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-26.67&CDS=1-624	YGR235C
OG0000123	genemark-NC_012860.1-processed-gene-12.81-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.81&CDS=1-1671, genemark-NC_012861.1-processed-gene-5.74-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-5.74&CDS=1-1632	YDL210W
OG0000124	snap_masked-NC_012860.1-processed-gene-12.102-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-12.102&CDS=1-723	YGL076C, YPL198W
OG0000125	snap_masked-NC_012860.1-processed-gene-14.68-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-14.68&CDS=1-396	YCR031C, YJL191W
OG0000126	snap_masked-NC_012860.1-processed-gene-14.69-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-14.69&CDS=1-390	YJL190C, YLR367W
OG0000127	genemark-NC_012865.1-processed-gene-7.15-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-7.15&CDS=1-1416, snap_masked-NC_012860.1-processed-gene-14.70-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-14.70&CDS=1-1395	YOL119C
OG0000128	genemark-NC_012860.1-processed-gene-14.10-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.10&CDS=1-435	YGR118W, YPR132W
OG0000129	genemark-NC_012860.1-processed-gene-15.43-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.43&CDS=1-2025	YER059W, YIL050W
OG0000130	snap_masked-NC_012860.1-processed-gene-15.97-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-15.97&CDS=1-339	YER056C-A, YIL052C
OG0000131	genemark-NC_012860.1-processed-gene-15.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.56&CDS=1-897	YBR104W, YPR058W
OG0000132	genemark-NC_012860.1-processed-gene-16.48-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.48&CDS=1-3237	YDR326C, YHR080C
OG0000133	genemark-NC_012860.1-processed-gene-16.70-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.70&CDS=1-2652	YGL158W, YLR248W
OG0000134	genemark-NC_012860.1-processed-gene-18.11-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.11&CDS=1-960	YAL015C, YOL043C
OG0000135	genemark-NC_012860.1-processed-gene-18.25-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.25&CDS=1-2265, genemark-NC_012867.1-processed-gene-20.125-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-20.125&CDS=1-1884	YMR008C
OG0000136	genemark-NC_012860.1-processed-gene-18.17-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.17&CDS=1-1851	YBR214W, YGL056C
OG0000137	augustus_masked-NC_012860.1-processed-gene-19.111-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-19.111&CDS=1-2130	YDR213W, YLR228C
OG0000138	genemark-NC_012860.1-processed-gene-19.32-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.32&CDS=1-762	YDL127W, YDL179W
OG0000139	genemark-NC_012860.1-processed-gene-19.36-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.36&CDS=1-639, genemark-NC_012862.1-processed-gene-3.10-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-3.10&CDS=1-585	YNR018W
OG0000140	genemark-NC_012860.1-processed-gene-19.21-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.21&CDS=1-1755	YGR138C, YPR156C
OG0000141	genemark-NC_012860.1-processed-gene-20.40-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-20.40&CDS=1-1833	YDL042C, YOL068C
OG0000142	genemark-NC_012860.1-processed-gene-20.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-20.56&CDS=1-630	YDR134C, YLR110C
OG0000143	genemark-NC_012860.1-processed-gene-21.112-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-21.112&CDS=1-1653	YIR031C, YNL117W
OG0000144	genemark-NC_012860.1-processed-gene-21.131-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-21.131&CDS=1-1140	YDL175C, YIL079C
OG0000145	genemark-NC_012860.1-processed-gene-22.25-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-22.25&CDS=1-1770	YIL113W, YNL053W
OG0000146	genemark-NC_012860.1-processed-gene-22.17-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-22.17&CDS=1-2838	YEL007W, YHR177W
OG0000147	genemark-NC_012860.1-processed-gene-22.34-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-22.34&CDS=1-2319	YBL101C, YPR030W
OG0000148	genemark-NC_012860.1-processed-gene-23.78-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-23.78&CDS=1-2946	YNL298W, YOL113W
OG0000149	genemark-NC_012860.1-processed-gene-23.106-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-23.106&CDS=1-318	YHR141C, YNL162W
OG0000150	genemark-NC_012860.1-processed-gene-24.16-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-24.16&CDS=1-411	YDR447C, YML024W
OG0000151	augustus_masked-NC_012860.1-processed-gene-24.141-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-24.141&CDS=1-903	YFR031C-A, YIL018W
OG0000152	genemark-NC_012860.1-processed-gene-25.76-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-25.76&CDS=1-2019	YDR505C, YLR177W
OG0000153	genemark-NC_012860.1-processed-gene-25.79-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-25.79&CDS=1-1476	YDR501W, YLR183C
OG0000154	snap_masked-NC_012860.1-processed-gene-25.108-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-25.108&CDS=1-270	YDR500C, YLR185W
OG0000155	snap_masked-NC_012860.1-processed-gene-25.133-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-25.133&CDS=1-2388, snap_masked-NC_012860.1-processed-gene-26.0-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-26.0&CDS=1-2388	YMR250W
OG0000156	genemark-NC_012860.1-processed-gene-25.90-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-25.90&CDS=1-1158, genemark-NC_012867.1-processed-gene-17.33-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-17.33&CDS=1-1155	YLL057C
OG0000157	genemark-NC_012860.1-processed-gene-25.71-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-25.71&CDS=1-474	YDR252W, YPL037C
OG0000158	genemark-NC_012860.1-processed-gene-26.68-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-26.68&CDS=1-2895	YDR251W, YPL032C
OG0000159	genemark-NC_012860.1-processed-gene-26.55-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-26.55&CDS=1-1086, genemark-NC_012860.1-processed-gene-26.59-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-26.59&CDS=1-1038	YJR111C
OG0000160	snap_masked-NC_012860.1-processed-gene-26.33-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-26.33&CDS=1-252	YPR169W-A, YPR170W-B
OG0000161	genemark-NC_012860.1-processed-gene-26.65-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-26.65&CDS=1-1590	YLR260W, YOR171C
OG0000162	snap_masked-NC_012860.1-processed-gene-27.132-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-27.132&CDS=1-7914	YBR140C, YOL081W
OG0000163	genemark-NC_012860.1-processed-gene-28.59-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-28.59&CDS=1-393	YHL001W, YKL006W
OG0000164	augustus_masked-NC_012860.1-processed-gene-29.2-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-29.2&CDS=1-5481, genemark-NC_012861.1-processed-gene-14.88-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-14.88&CDS=1-957	YNL297C
OG0000165	genemark-NC_012860.1-processed-gene-29.99-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-29.99&CDS=1-2409	YDR264C, YOR034C
OG0000166	genemark-NC_012860.1-processed-gene-29.84-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-29.84&CDS=1-1389	YCL048W, YDR522C
OG0000167	genemark-NC_012860.1-processed-gene-29.86-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-29.86&CDS=1-1656	YDR463W, YHR006W
OG0000168	genemark-NC_012860.1-processed-gene-30.76-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-30.76&CDS=1-2220, genemark-NC_012867.1-processed-gene-8.93-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-8.93&CDS=1-1716	YDL206W
OG0000169	genemark-NC_012860.1-processed-gene-31.1-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.1&CDS=1-3450	YJR127C, YML081W
OG0000170	genemark-NC_012860.1-processed-gene-31.6-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.6&CDS=1-2010	YBR216C, YGL060W
OG0000171	genemark-NC_012860.1-processed-gene-31.31-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.31&CDS=1-2433	YDR069C, YER144C
OG0000172	genemark-NC_012860.1-processed-gene-31.33-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.33&CDS=1-1089	YBR031W, YDR012W
OG0000173	genemark-NC_012860.1-processed-gene-31.34-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.34&CDS=1-813	YJL079C, YKR013W
OG0000174	genemark-NC_012860.1-processed-gene-31.15-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.15&CDS=1-1143, genemark-NC_012860.1-processed-gene-31.39-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.39&CDS=1-1146	YER145C
OG0000175	genemark-NC_012860.1-processed-gene-31.35-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.35&CDS=1-3183	YJL105W, YKR029C
OG0000176	genemark-NC_012860.1-processed-gene-31.38-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.38&CDS=1-2595	YJL082W, YKR018C
OG0000177	genemark-NC_012860.1-processed-gene-31.41-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-31.41&CDS=1-2652	YKL121W, YMR102C
OG0000178	genemark-NC_012861.1-processed-gene-0.89-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-0.89&CDS=1-1770, genemark-NC_012867.1-processed-gene-9.15-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-9.15&CDS=1-1467	YHR124W
OG0000179	snap_masked-NC_012861.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NC_012861.1-processed-gene-0.48&CDS=1-267	YGR008C, YLR327C
OG0000180	genemark-NC_012861.1-processed-gene-2.61-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-2.61&CDS=1-1680	YHL017W, YKL039W
OG0000181	genemark-NC_012861.1-processed-gene-2.63-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-2.63&CDS=1-1533	YDL161W, YLR206W
OG0000182	genemark-NC_012861.1-processed-gene-2.84-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-2.84&CDS=1-1458	YGR108W, YPR119W
OG0000183	genemark-NC_012861.1-processed-gene-2.87-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-2.87&CDS=1-687	YFL061W, YNL335W
OG0000184	genemark-NC_012861.1-processed-gene-3.43-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-3.43&CDS=1-357	YER131W, YGL189C
OG0000185	genemark-NC_012861.1-processed-gene-3.40-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-3.40&CDS=1-1092, genemark-NC_012863.1-processed-gene-12.82-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-12.82&CDS=1-1098	YGL185C
OG0000186	genemark-NC_012861.1-processed-gene-3.45-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-3.45&CDS=1-528	YKL141W, YMR118C
