	Metschnikowia_similis	Saccharomyces_cerevisiae
OG0000075	augustus_masked-sim-_C26685-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_C26685-processed-gene-0.3&CDS=1-1710	YGR138C, YPR156C
OG0000076	augustus_masked-sim-_C27073-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_C27073-processed-gene-0.8&CDS=1-1011	YBR161W, YPL057C
OG0000077	augustus_masked-sim-_C27237-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_C27237-processed-gene-0.11&CDS=1-1737	YER054C, YIL045W
OG0000078	genemark-sim-_C27743-processed-gene-0.48-mRNA-1_1&gene=genemark-sim-_C27743-processed-gene-0.48&CDS=1-4056	YCR073C, YNR031C
OG0000079	snap_masked-sim-_C27743-processed-gene-0.17-mRNA-1_1&gene=snap_masked-sim-_C27743-processed-gene-0.17&CDS=1-792	YIR013C, YLR013W
OG0000080	augustus_masked-sim-_C27759-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_C27759-processed-gene-0.16&CDS=1-2568	YBR205W, YOR099W
OG0000081	maker-sim-_C27759-augustus-gene-0.92-mRNA-1_1&gene=maker-sim-_C27759-augustus-gene-0.92&CDS=1-4623	YBR169C, YPL106C
OG0000082	snap_masked-sim-_C27759-processed-gene-0.42-mRNA-1_1&gene=snap_masked-sim-_C27759-processed-gene-0.42&CDS=1-3126	YJL076W, YKR010C
OG0000083	genemark-sim-_s10-processed-gene-0.85-mRNA-1_1&gene=genemark-sim-_s10-processed-gene-0.85&CDS=1-492	YBR191W, YPL079W
OG0000084	snap_masked-sim-_s101-processed-gene-0.41-mRNA-1_1&gene=snap_masked-sim-_s101-processed-gene-0.41&CDS=1-678	YDR259C, YOR028C
OG0000085	augustus_masked-sim-_s110-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s110-processed-gene-0.12&CDS=1-3582	YDR122W, YLR096W
OG0000086	augustus_masked-sim-_s111-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-0.8&CDS=1-678	YDR185C, YLR168C
OG0000087	maker-sim-_s111-snap-gene-0.45-mRNA-1_1&gene=maker-sim-_s111-snap-gene-0.45&CDS=1-1824	YDR178W, YLR164W
OG0000088	augustus_masked-sim-_s111-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-0.37&CDS=1-396	YCR031C, YJL191W
OG0000089	augustus_masked-sim-_s6-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-sim-_s6-processed-gene-1.235&CDS=1-1392, snap_masked-sim-_s111-processed-gene-0.90-mRNA-1_1&gene=snap_masked-sim-_s111-processed-gene-0.90&CDS=1-1347	YBR028C
OG0000090	augustus_masked-sim-_s111-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-1.66&CDS=1-369	YHR132W-A, YNL157W
OG0000091	augustus_masked-sim-_s111-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-1.83&CDS=1-858	YHR133C, YNL156C
OG0000092	augustus_masked-sim-_s111-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-1.73&CDS=1-2535, augustus_masked-sim-_s200-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s200-processed-gene-0.10&CDS=1-486	YDR089W
OG0000093	genemark-sim-_s111-processed-gene-1.123-mRNA-1_1&gene=genemark-sim-_s111-processed-gene-1.123&CDS=1-3540	YNL087W, YOR086C
OG0000094	maker-sim-_s111-augustus-gene-2.2-mRNA-1_1&gene=maker-sim-_s111-augustus-gene-2.2&CDS=1-1959	YGR248W, YHR163W
OG0000095	augustus_masked-sim-_s111-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-2.154&CDS=1-390	YBL003C, YDR225W
OG0000096	augustus_masked-sim-_s111-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-2.122&CDS=1-390	YBL002W, YDR224C
OG0000097	augustus_masked-sim-_s111-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-2.128&CDS=1-819	YHR198C, YHR199C
OG0000098	augustus_masked-sim-_s111-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-2.133&CDS=1-1029, genemark-sim-_s178-processed-gene-0.30-mRNA-1_1&gene=genemark-sim-_s178-processed-gene-0.30&CDS=1-681	YJL117W
OG0000099	augustus_masked-sim-_s111-processed-gene-2.170-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-2.170&CDS=1-1512	YLL012W, YLR020C
OG0000100	augustus_masked-sim-_s111-processed-gene-2.171-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-2.171&CDS=1-966	YJL133W, YKR052C
OG0000101	augustus_masked-sim-_s111-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-2.137&CDS=1-2967	YGL049C, YGR162W
OG0000102	augustus_masked-sim-_s112-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-sim-_s112-processed-gene-0.71&CDS=1-945, augustus_masked-sim-_s384-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s384-processed-gene-0.0&CDS=1-1908, augustus_masked-sim-_s61-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s61-processed-gene-0.3&CDS=1-567	
OG0000103	snap_masked-sim-_s112-processed-gene-0.120-mRNA-1_1&gene=snap_masked-sim-_s112-processed-gene-0.120&CDS=1-246	YHR021C, YKL156W
OG0000104	augustus_masked-sim-_s112-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-sim-_s112-processed-gene-0.53&CDS=1-1197	YDR312W, YHR066W
OG0000105	augustus_masked-sim-_s112-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-sim-_s112-processed-gene-0.58&CDS=1-435	YGR118W, YPR132W
OG0000106	genemark-sim-_s112-processed-gene-0.40-mRNA-1_1&gene=genemark-sim-_s112-processed-gene-0.40&CDS=1-1713	YDL224C, YNL197C
OG0000107	genemark-sim-_s116-processed-gene-0.3-mRNA-1_1&gene=genemark-sim-_s116-processed-gene-0.3&CDS=1-3228	YBL101C, YPR030W
OG0000108	augustus_masked-sim-_s116-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-sim-_s116-processed-gene-0.48&CDS=1-1212	YDL088C, YMR153W
OG0000109	genemark-sim-_s116-processed-gene-1.102-mRNA-1_1&gene=genemark-sim-_s116-processed-gene-1.102&CDS=1-1962	YKL126W, YMR104C
OG0000110	augustus_masked-sim-_s116-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-sim-_s116-processed-gene-1.27&CDS=1-1767	YJR130C, YML082W
OG0000111	augustus_masked-sim-_s116-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-sim-_s116-processed-gene-1.28&CDS=1-3105	YLR450W, YML075C
OG0000112	maker-sim-_s116-augustus-gene-1.93-mRNA-1_1&gene=maker-sim-_s116-augustus-gene-1.93&CDS=1-2991	YHR137W, YLR212C
OG0000113	augustus_masked-sim-_s121-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-0.78&CDS=1-3501	YJR127C, YML081W
OG0000114	maker-sim-_s121-augustus-gene-0.1-mRNA-1_1&gene=maker-sim-_s121-augustus-gene-0.1&CDS=1-2232	YBL089W, YER119C
OG0000115	augustus_masked-sim-_s121-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-0.88&CDS=1-651	YGL135W, YPL220W
OG0000116	augustus_masked-sim-_s121-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-1.14&CDS=1-1620	YNL293W, YOL112W
OG0000117	snap_masked-sim-_s121-processed-gene-1.62-mRNA-1_1&gene=snap_masked-sim-_s121-processed-gene-1.62&CDS=1-2337	YBR150C, YOL089C
OG0000118	snap_masked-sim-_s121-processed-gene-1.64-mRNA-1_1&gene=snap_masked-sim-_s121-processed-gene-1.64&CDS=1-1065	YEL006W, YIL006W
OG0000119	augustus_masked-sim-_s121-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-1.36&CDS=1-1434, snap_masked-sim-_s265-processed-gene-0.16-mRNA-1_1&gene=snap_masked-sim-_s265-processed-gene-0.16&CDS=1-594	YLR004C
OG0000120	maker-sim-_s121-augustus-gene-2.1-mRNA-1_1&gene=maker-sim-_s121-augustus-gene-2.1&CDS=1-3009	YFL004W, YPL019C
OG0000121	augustus_masked-sim-_s121-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.94&CDS=1-1305, snap_masked-sim-_s160-processed-gene-0.1-mRNA-1_1&gene=snap_masked-sim-_s160-processed-gene-0.1&CDS=1-1080	YDR531W
OG0000122	augustus_masked-sim-_s121-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.80&CDS=1-822	YGL096W, YPL177C
OG0000123	genemark-sim-_s121-processed-gene-2.18-mRNA-1_1&gene=genemark-sim-_s121-processed-gene-2.18&CDS=1-2286	YMR119W, YNL008C
OG0000124	augustus_masked-sim-_s123-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s123-processed-gene-0.1&CDS=1-2589	YDR351W, YHR103W
OG0000125	augustus_masked-sim-_s129-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s129-processed-gene-0.17&CDS=1-792, augustus_masked-sim-_s410-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s410-processed-gene-0.2&CDS=1-1548	YDR052C
OG0000126	augustus_masked-sim-_s133-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.111&CDS=1-768, snap_masked-sim-_s197-processed-gene-0.22-mRNA-1_1&gene=snap_masked-sim-_s197-processed-gene-0.22&CDS=1-768	YLR441C
OG0000127	augustus_masked-sim-_s133-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.115&CDS=1-1206	YIL135C, YNL074C
OG0000128	augustus_masked-sim-_s133-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.118&CDS=1-1770	YIL085C, YNL029C
OG0000129	augustus_masked-sim-_s133-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.149&CDS=1-1074, snap_masked-sim-_s77-processed-gene-0.50-mRNA-1_1&gene=snap_masked-sim-_s77-processed-gene-0.50&CDS=1-348	YFL026W
OG0000130	augustus_masked-sim-_s133-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.121&CDS=1-1161	YER027C, YGL208W
OG0000131	augustus_masked-sim-_s133-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.131&CDS=1-1902	YDR263C, YOR033C
OG0000132	augustus_masked-sim-_s133-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.136&CDS=1-468	YCL048W, YDR522C
OG0000133	maker-sim-_s134-snap-gene-0.20-mRNA-1_1&gene=maker-sim-_s134-snap-gene-0.20&CDS=1-3618	YNL106C, YOR109W
OG0000134	augustus_masked-sim-_s136-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.106&CDS=1-1995	YDR146C, YLR131C
OG0000135	augustus_masked-sim-_s136-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.90&CDS=1-861	YLR270W, YOR173W
OG0000136	augustus_masked-sim-_s136-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.110&CDS=1-477	YGL089C, YPL187W
OG0000137	genemark-sim-_s136-processed-gene-0.30-mRNA-1_1&gene=genemark-sim-_s136-processed-gene-0.30&CDS=1-315	YMR194W, YPL249C-A
OG0000138	augustus_masked-sim-_s136-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.103&CDS=1-318	YHR141C, YNL162W
OG0000139	augustus_masked-sim-_s142-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s142-processed-gene-0.15&CDS=1-519	YLR456W, YPR172W
OG0000140	augustus_masked-sim-_s147-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s147-processed-gene-0.4&CDS=1-1536	YBR214W, YGL056C
OG0000141	augustus_masked-sim-_s152-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.38&CDS=1-1644, snap_masked-sim-_s346-processed-gene-2.36-mRNA-1_1&gene=snap_masked-sim-_s346-processed-gene-2.36&CDS=1-2304	YOR080W
OG0000142	augustus_masked-sim-_s16-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_s16-processed-gene-0.8&CDS=1-1860	YBR238C, YGL107C
OG0000143	maker-sim-_s164-snap-gene-0.77-mRNA-1_1&gene=maker-sim-_s164-snap-gene-0.77&CDS=1-1491	YDR501W, YLR183C
OG0000144	augustus_masked-sim-_s167-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.5&CDS=1-1221	YHL003C, YKL008C
OG0000145	augustus_masked-sim-_s170-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.14&CDS=1-1668	YDR247W, YPL026C
OG0000146	augustus_masked-sim-_s178-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.92&CDS=1-2907	YJL084C, YKR021W
OG0000147	augustus_masked-sim-_s413-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-sim-_s413-processed-gene-0.43&CDS=1-366, genemark-sim-_s18-processed-gene-0.204-mRNA-1_1&gene=genemark-sim-_s18-processed-gene-0.204&CDS=1-357	YNL322C
OG0000148	augustus_masked-sim-_s345-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.112&CDS=1-1935, genemark-sim-_s18-processed-gene-0.165-mRNA-1_1&gene=genemark-sim-_s18-processed-gene-0.165&CDS=1-1884	YNL101W
OG0000149	augustus_masked-sim-_s18-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.127&CDS=1-2928	YDR251W, YPL032C
OG0000150	augustus_masked-sim-_s18-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.131&CDS=1-936, augustus_masked-sim-_s294-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sim-_s294-processed-gene-0.23&CDS=1-966	YKL128C
OG0000151	augustus_masked-sim-_s18-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.133&CDS=1-3543	YOR227W, YPL137C
OG0000152	augustus_masked-sim-_s18-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.98&CDS=1-534	YOR226C, YPL135W
OG0000153	augustus_masked-sim-_s18-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.101&CDS=1-4311	YBL079W, YER105C
OG0000154	augustus_masked-sim-_s296-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s296-processed-gene-0.13&CDS=1-3180, genemark-sim-_s18-processed-gene-0.183-mRNA-1_1&gene=genemark-sim-_s18-processed-gene-0.183&CDS=1-2958	YNL192W
OG0000155	augustus_masked-sim-_s18-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.108&CDS=1-591	YER067W, YIL057C
OG0000156	snap_masked-sim-_s180-processed-gene-0.33-mRNA-1_1&gene=snap_masked-sim-_s180-processed-gene-0.33&CDS=1-474, snap_masked-sim-_s349-processed-gene-0.23-mRNA-1_1&gene=snap_masked-sim-_s349-processed-gene-0.23&CDS=1-2298	YLR148W
OG0000157	augustus_masked-sim-_s181-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.97&CDS=1-3708	YDR379W, YOR127W
OG0000158	augustus_masked-sim-_s181-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.102&CDS=1-357	YER131W, YGL189C
OG0000159	augustus_masked-sim-_s495-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-sim-_s495-processed-gene-0.114&CDS=1-513, genemark-sim-_s181-processed-gene-0.27-mRNA-1_1&gene=genemark-sim-_s181-processed-gene-0.27&CDS=1-549	YGL068W
OG0000160	augustus_masked-sim-_s182-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.19&CDS=1-1017	YCL064C, YIL167W
OG0000161	augustus_masked-sim-_s182-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.11&CDS=1-336	YDL075W, YLR406C
OG0000162	augustus_masked-sim-_s183-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sim-_s183-processed-gene-0.35&CDS=1-1503	YMR169C, YMR170C
OG0000163	snap_masked-sim-_s189-processed-gene-0.10-mRNA-1_1&gene=snap_masked-sim-_s189-processed-gene-0.10&CDS=1-2979	YJR091C, YPR042C
OG0000164	snap_masked-sim-_s189-processed-gene-0.12-mRNA-1_1&gene=snap_masked-sim-_s189-processed-gene-0.12&CDS=1-288	YJR094W-A, YPR043W
OG0000165	genemark-sim-_s19-processed-gene-0.96-mRNA-1_1&gene=genemark-sim-_s19-processed-gene-0.96&CDS=1-957	YNL302C, YOL121C
OG0000166	augustus_masked-sim-_s19-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.35&CDS=1-759	YIR035C, YIR036C
OG0000167	snap_masked-sim-_s19-processed-gene-0.84-mRNA-1_1&gene=snap_masked-sim-_s19-processed-gene-0.84&CDS=1-2727	YIL151C, YKR096W
OG0000168	augustus_masked-sim-_s192-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.30&CDS=1-1374	YFL048C, YLR080W
OG0000169	augustus_masked-sim-_s192-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.50&CDS=1-2808, augustus_masked-sim-_s308-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sim-_s308-processed-gene-0.52&CDS=1-507	YPR097W
OG0000170	augustus_masked-sim-_s193-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s193-processed-gene-0.14&CDS=1-315	YGR209C, YLR043C
OG0000171	augustus_masked-sim-_s194-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.110&CDS=1-1914	YEL047C, YJR051W
OG0000172	maker-sim-_s200-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s200-augustus-gene-0.0&CDS=1-390	YHL001W, YKL006W
OG0000173	augustus_masked-sim-_s200-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-sim-_s200-processed-gene-1.45&CDS=1-1269	YDR300C, YHR033W
OG0000174	augustus_masked-sim-_s200-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-sim-_s200-processed-gene-2.77&CDS=1-1938	YLR273C, YOR178C
OG0000175	augustus_masked-sim-_s200-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-sim-_s200-processed-gene-2.72&CDS=1-558, genemark-sim-_s306-processed-gene-0.242-mRNA-1_1&gene=genemark-sim-_s306-processed-gene-0.242&CDS=1-636	YNR018W
OG0000176	augustus_masked-sim-_s200-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-sim-_s200-processed-gene-3.78&CDS=1-657	YER031C, YGL210W
OG0000177	genemark-sim-_s202-processed-gene-0.7-mRNA-1_1&gene=genemark-sim-_s202-processed-gene-0.7&CDS=1-708	YBR181C, YPL090C
OG0000178	augustus_masked-sim-_s203-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-sim-_s203-processed-gene-0.42&CDS=1-723	YGL076C, YPL198W
OG0000179	maker-sim-_s203-snap-gene-0.118-mRNA-1_1&gene=maker-sim-_s203-snap-gene-0.118&CDS=1-1017	YGL082W, YPL191C
OG0000180	maker-sim-_s204-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s204-augustus-gene-0.0&CDS=1-1635	YPR013C, YPR015C
OG0000181	genemark-sim-_s212-processed-gene-0.63-mRNA-1_1&gene=genemark-sim-_s212-processed-gene-0.63&CDS=1-4578, snap_masked-sim-_s282-processed-gene-0.96-mRNA-1_1&gene=snap_masked-sim-_s282-processed-gene-0.96&CDS=1-2937	YOL075C
OG0000182	augustus_masked-sim-_s212-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sim-_s212-processed-gene-0.52&CDS=1-768	YDR066C, YER139C
OG0000183	genemark-sim-_s212-processed-gene-0.70-mRNA-1_1&gene=genemark-sim-_s212-processed-gene-0.70&CDS=1-612	YLR029C, YMR121C
OG0000184	maker-sim-_s212-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s212-augustus-gene-0.0&CDS=1-3741	YLR028C, YMR120C
OG0000185	augustus_masked-sim-_s213-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s213-processed-gene-0.3&CDS=1-3657	YAL017W, YOL045W
OG0000186	augustus_masked-sim-_s213-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s213-processed-gene-0.2&CDS=1-1200	YAL015C, YOL043C
OG0000187	augustus_masked-sim-_s217-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-sim-_s217-processed-gene-0.188&CDS=1-2682	YDR206W, YLR233C
OG0000188	augustus_masked-sim-_s217-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-sim-_s217-processed-gene-0.195&CDS=1-1617	YDR497C, YOL103W
OG0000189	augustus_masked-sim-_s217-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-sim-_s217-processed-gene-0.202&CDS=1-561	YNL096C, YOR096W
OG0000190	augustus_masked-sim-_s217-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-sim-_s217-processed-gene-0.168&CDS=1-1839	YDL229W, YNL209W
OG0000191	augustus_masked-sim-_s217-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-sim-_s217-processed-gene-0.210&CDS=1-1362, maker-sim-_s425-snap-gene-0.1-mRNA-1_1&gene=maker-sim-_s425-snap-gene-0.1&CDS=1-1131	YJL155C
OG0000192	maker-sim-_s310-snap-gene-0.1-mRNA-1_1&gene=maker-sim-_s310-snap-gene-0.1&CDS=1-1680, snap_masked-sim-_s217-processed-gene-0.113-mRNA-1_1&gene=snap_masked-sim-_s217-processed-gene-0.113&CDS=1-1743	YKR093W
OG0000193	augustus_masked-sim-_s346-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-sim-_s346-processed-gene-2.93&CDS=1-5778, snap_masked-sim-_s219-processed-gene-0.25-mRNA-1_1&gene=snap_masked-sim-_s219-processed-gene-0.25&CDS=1-516	YIL068C
OG0000194	maker-sim-_s22-snap-gene-0.0-mRNA-1_1&gene=maker-sim-_s22-snap-gene-0.0&CDS=1-2766	YJL098W, YKR028W
OG0000195	augustus_masked-sim-_s22-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sim-_s22-processed-gene-0.24&CDS=1-627, augustus_masked-sim-_s246-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-sim-_s246-processed-gene-0.126&CDS=1-1263	YJR013W
OG0000196	augustus_masked-sim-_s22-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s22-processed-gene-0.20&CDS=1-1965	YCR026C, YEL016C
OG0000197	augustus_masked-sim-_s222-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-sim-_s222-processed-gene-0.29&CDS=1-966	YBL068W, YER099C
OG0000198	augustus_masked-sim-_s225-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-sim-_s225-processed-gene-0.40&CDS=1-2091, augustus_masked-sim-_s226-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s226-processed-gene-0.17&CDS=1-2118	YBR019C
OG0000199	augustus_masked-sim-_s227-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sim-_s227-processed-gene-0.35&CDS=1-2001	YBR216C, YGL060W
OG0000200	augustus_masked-sim-_s227-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-sim-_s227-processed-gene-0.36&CDS=1-1056	YJL116C, YKR042W
OG0000201	snap_masked-sim-_s227-processed-gene-0.120-mRNA-1_1&gene=snap_masked-sim-_s227-processed-gene-0.120&CDS=1-987	YBR273C, YJL048C
OG0000202	augustus_masked-sim-_s227-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-sim-_s227-processed-gene-0.28&CDS=1-591	YBL072C, YER102W
OG0000203	augustus_masked-sim-_s228-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s228-processed-gene-0.18&CDS=1-912	YDR368W, YOR120W
OG0000204	augustus_masked-sim-_s233-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-sim-_s233-processed-gene-0.119&CDS=1-2106	YMR042W, YMR043W
OG0000205	maker-sim-_s233-augustus-gene-0.50-mRNA-1_1&gene=maker-sim-_s233-augustus-gene-0.50&CDS=1-201	YLR264W, YOR167C
OG0000206	augustus_masked-sim-_s235-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-sim-_s235-processed-gene-0.97&CDS=1-1086	YDL246C, YJR159W
OG0000207	augustus_masked-sim-_s235-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-sim-_s235-processed-gene-0.119&CDS=1-1437	YGR121C, YPR138C
OG0000208	augustus_masked-sim-_s235-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-sim-_s235-processed-gene-0.126&CDS=1-1449	YDR418W, YEL054C
OG0000209	genemark-sim-_s235-processed-gene-0.39-mRNA-1_1&gene=genemark-sim-_s235-processed-gene-0.39&CDS=1-792	YGR214W, YLR048W
OG0000210	augustus_masked-sim-_s235-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-sim-_s235-processed-gene-1.120&CDS=1-903	YGL162W, YPR009W
OG0000211	augustus_masked-sim-_s235-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-sim-_s235-processed-gene-1.138&CDS=1-1275	YMR177W, YPL224C
OG0000212	augustus_masked-sim-_s235-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-sim-_s235-processed-gene-1.157&CDS=1-3912, augustus_masked-sim-_s236-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s236-processed-gene-0.6&CDS=1-618	YMR012W
OG0000213	maker-sim-_s236-augustus-gene-0.47-mRNA-1_1&gene=maker-sim-_s236-augustus-gene-0.47&CDS=1-423	YDR447C, YML024W
