	Metschnikowia_cerradonensis	Saccharomyces_cerevisiae
OG0000032	genemark-cer-_s38-processed-gene-0.117-mRNA-1_1&gene=genemark-cer-_s38-processed-gene-0.117&CDS=1-1698, genemark-cer-_s38-processed-gene-0.118-mRNA-1_1&gene=genemark-cer-_s38-processed-gene-0.118&CDS=1-1725, genemark-cer-_s581-processed-gene-0.18-mRNA-1_1&gene=genemark-cer-_s581-processed-gene-0.18&CDS=1-1701, genemark-cer-_s776-processed-gene-1.209-mRNA-1_1&gene=genemark-cer-_s776-processed-gene-1.209&CDS=1-1752	YJL172W, YOL153C
OG0000033	genemark-cer-_s41-processed-gene-0.38-mRNA-1_1&gene=genemark-cer-_s41-processed-gene-0.38&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000034	genemark-cer-_s47-processed-gene-0.58-mRNA-1_1&gene=genemark-cer-_s47-processed-gene-0.58&CDS=1-2664, genemark-cer-_s62-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.6&CDS=1-2562, snap_masked-cer-_s633-processed-gene-0.3-mRNA-1_1&gene=snap_masked-cer-_s633-processed-gene-0.3&CDS=1-2571	YLL005C, YMR266W, YOL084W
OG0000035	genemark-cer-_s48-processed-gene-0.114-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.114&CDS=1-1878, genemark-cer-_s71-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s71-processed-gene-0.5&CDS=1-2679, snap_masked-cer-_s649-processed-gene-0.160-mRNA-1_1&gene=snap_masked-cer-_s649-processed-gene-0.160&CDS=1-921	YDL230W, YER075C, YOR208W
OG0000036	augustus_masked-cer-_s149-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-cer-_s149-processed-gene-0.7&CDS=1-2685, augustus_masked-cer-_s151-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-cer-_s151-processed-gene-0.8&CDS=1-1761, augustus_masked-cer-_s421-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-cer-_s421-processed-gene-0.2&CDS=1-3195, genemark-cer-_C40406-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_C40406-processed-gene-0.0&CDS=1-351, snap_masked-cer-_s312-processed-gene-0.40-mRNA-1_1&gene=snap_masked-cer-_s312-processed-gene-0.40&CDS=1-480	
OG0000037	genemark-cer-_C48172-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_C48172-processed-gene-0.1&CDS=1-1098, genemark-cer-_s195-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s195-processed-gene-0.0&CDS=1-1089, genemark-cer-_s238-processed-gene-0.58-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.58&CDS=1-1080	YCR105W, YMR318C
OG0000038	genemark-cer-_s11-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s11-processed-gene-0.5&CDS=1-1953, genemark-cer-_s49-processed-gene-2.77-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.77&CDS=1-1632, genemark-cer-_s9-processed-gene-0.44-mRNA-1_1&gene=genemark-cer-_s9-processed-gene-0.44&CDS=1-1917	YBR015C, YJL186W
OG0000039	genemark-cer-_s128-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s128-processed-gene-0.13&CDS=1-1272, genemark-cer-_s284-processed-gene-0.26-mRNA-1_1&gene=genemark-cer-_s284-processed-gene-0.26&CDS=1-1155, genemark-cer-_s612-processed-gene-0.17-mRNA-1_1&gene=genemark-cer-_s612-processed-gene-0.17&CDS=1-1248	YBR207W, YER145C
OG0000040	genemark-cer-_s28-processed-gene-0.54-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.54&CDS=1-636, genemark-cer-_s649-processed-gene-0.44-mRNA-1_1&gene=genemark-cer-_s649-processed-gene-0.44&CDS=1-639, snap_masked-cer-_s135-processed-gene-0.4-mRNA-1_1&gene=snap_masked-cer-_s135-processed-gene-0.4&CDS=1-252	YKR014C, YOR089C
OG0000041	genemark-cer-_s137-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s137-processed-gene-0.14&CDS=1-3552, maker-cer-_s608-augustus-gene-0.48-mRNA-1_1&gene=maker-cer-_s608-augustus-gene-0.48&CDS=1-4701	YML072C, YNL087W, YOR086C
OG0000042	genemark-cer-_s146-processed-gene-0.20-mRNA-1_1&gene=genemark-cer-_s146-processed-gene-0.20&CDS=1-1539, genemark-cer-_s425-processed-gene-0.29-mRNA-1_1&gene=genemark-cer-_s425-processed-gene-0.29&CDS=1-1527	YER056C, YER060W, YER060W-A
OG0000043	maker-cer-_s148-augustus-gene-0.70-mRNA-1_1&gene=maker-cer-_s148-augustus-gene-0.70&CDS=1-1971, snap_masked-cer-_s148-processed-gene-0.3-mRNA-1_1&gene=snap_masked-cer-_s148-processed-gene-0.3&CDS=1-780	YCL036W, YDR514C, YKL114C
OG0000044	genemark-cer-_s156-processed-gene-0.20-mRNA-1_1&gene=genemark-cer-_s156-processed-gene-0.20&CDS=1-1272, genemark-cer-_s48-processed-gene-1.142-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.142&CDS=1-1197, genemark-cer-_s720-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s720-processed-gene-0.2&CDS=1-1260	YKL106W, YLR027C
OG0000045	genemark-cer-_s156-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s156-processed-gene-0.21&CDS=1-1653, genemark-cer-_s325-processed-gene-0.35-mRNA-1_1&gene=genemark-cer-_s325-processed-gene-0.35&CDS=1-1716	YDR342C, YDR343C, YHR092C
OG0000046	augustus_masked-cer-_s324-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-cer-_s324-processed-gene-0.25&CDS=1-663, genemark-cer-_s159-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-0.28&CDS=1-930, genemark-cer-_s223-processed-gene-0.78-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.78&CDS=1-594	YKR055W, YPR165W
OG0000047	genemark-cer-_s16-processed-gene-2.86-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.86&CDS=1-408, genemark-cer-_s338-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s338-processed-gene-0.12&CDS=1-408, genemark-cer-_s49-processed-gene-2.124-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.124&CDS=1-408	YBR010W, YNL031C
OG0000048	genemark-cer-_s16-processed-gene-2.99-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.99&CDS=1-1155, genemark-cer-_s594-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s594-processed-gene-0.3&CDS=1-1632, genemark-cer-_s695-processed-gene-0.42-mRNA-1_1&gene=genemark-cer-_s695-processed-gene-0.42&CDS=1-2496	YDR523C, YHR102W
OG0000049	augustus_masked-cer-_s90-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-cer-_s90-processed-gene-0.13&CDS=1-2481, genemark-cer-_s160-processed-gene-0.71-mRNA-1_1&gene=genemark-cer-_s160-processed-gene-0.71&CDS=1-4317, snap_masked-cer-_s90-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_s90-processed-gene-0.2&CDS=1-576	YBL034C, YGR013W
OG0000050	genemark-cer-_s164-processed-gene-0.18-mRNA-1_1&gene=genemark-cer-_s164-processed-gene-0.18&CDS=1-2061, genemark-cer-_s36-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s36-processed-gene-0.6&CDS=1-1896, snap_masked-cer-_s299-processed-gene-0.16-mRNA-1_1&gene=snap_masked-cer-_s299-processed-gene-0.16&CDS=1-1869	YMR008C, YOL011W
OG0000051	genemark-cer-_s626-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s626-processed-gene-0.12&CDS=1-2913, snap_masked-cer-_s173-processed-gene-2.121-mRNA-1_1&gene=snap_masked-cer-_s173-processed-gene-2.121&CDS=1-2526	YDR385W, YKL173W, YOR133W
OG0000052	genemark-cer-_s177-processed-gene-0.136-mRNA-1_1&gene=genemark-cer-_s177-processed-gene-0.136&CDS=1-5493, snap_masked-cer-_s47-processed-gene-0.6-mRNA-1_1&gene=snap_masked-cer-_s47-processed-gene-0.6&CDS=1-4641, snap_masked-cer-_s540-processed-gene-0.5-mRNA-1_1&gene=snap_masked-cer-_s540-processed-gene-0.5&CDS=1-390	YHR023W, YOR326W
OG0000053	genemark-cer-_s177-processed-gene-0.145-mRNA-1_1&gene=genemark-cer-_s177-processed-gene-0.145&CDS=1-3660, genemark-cer-_s644-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s644-processed-gene-0.10&CDS=1-3579	YJL042W, YOR227W, YPL137C
OG0000054	genemark-cer-_s218-processed-gene-0.125-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-0.125&CDS=1-1527, genemark-cer-_s67-processed-gene-0.70-mRNA-1_1&gene=genemark-cer-_s67-processed-gene-0.70&CDS=1-1656, maker-cer-_s756-snap-gene-0.12-mRNA-1_1&gene=maker-cer-_s756-snap-gene-0.12&CDS=1-1209	YER133W, YML016C
OG0000055	genemark-cer-_s218-processed-gene-1.97-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-1.97&CDS=1-759, genemark-cer-_s311-processed-gene-0.56-mRNA-1_1&gene=genemark-cer-_s311-processed-gene-0.56&CDS=1-771, genemark-cer-_s732-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s732-processed-gene-0.4&CDS=1-792	YCR010C, YNR002C
OG0000056	genemark-cer-_s276-processed-gene-0.58-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.58&CDS=1-2295, genemark-cer-_s619-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s619-processed-gene-0.2&CDS=1-2091, snap_masked-cer-_s284-processed-gene-0.25-mRNA-1_1&gene=snap_masked-cer-_s284-processed-gene-0.25&CDS=1-450, snap_masked-cer-_s370-processed-gene-0.90-mRNA-1_1&gene=snap_masked-cer-_s370-processed-gene-0.90&CDS=1-255	YGL014W
OG0000057	genemark-cer-_s301-processed-gene-0.79-mRNA-1_1&gene=genemark-cer-_s301-processed-gene-0.79&CDS=1-999, genemark-cer-_s353-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s353-processed-gene-0.19&CDS=1-1485	YBL056W, YBR125C, YER089C
OG0000058	genemark-cer-_s324-processed-gene-0.27-mRNA-1_1&gene=genemark-cer-_s324-processed-gene-0.27&CDS=1-3966, maker-cer-_s47-snap-gene-0.47-mRNA-1_1&gene=maker-cer-_s47-snap-gene-0.47&CDS=1-1440	YBR118W, YMR189W, YPR080W
OG0000059	augustus_masked-cer-_s49-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-cer-_s49-processed-gene-2.25&CDS=1-2265, genemark-cer-_s352-processed-gene-0.93-mRNA-1_1&gene=genemark-cer-_s352-processed-gene-0.93&CDS=1-1332, genemark-cer-_s48-processed-gene-0.96-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.96&CDS=1-1233, genemark-cer-_s667-processed-gene-0.24-mRNA-1_1&gene=genemark-cer-_s667-processed-gene-0.24&CDS=1-1077	YBR004C
OG0000060	genemark-cer-_s353-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s353-processed-gene-0.9&CDS=1-2232	YBR297W, YFL052W, YGR288W, YPR196W
OG0000061	augustus_masked-cer-_s359-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-cer-_s359-processed-gene-0.16&CDS=1-4374, genemark-cer-_s387-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s387-processed-gene-0.2&CDS=1-4320, genemark-cer-_s425-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s425-processed-gene-0.15&CDS=1-4572	YDR011W, YOR153W
OG0000062	genemark-cer-_s366-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s366-processed-gene-0.7&CDS=1-312, genemark-cer-_s48-processed-gene-1.147-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.147&CDS=1-723, genemark-cer-_s79-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s79-processed-gene-0.4&CDS=1-894	YJL079C, YKR013W
OG0000063	augustus_masked-cer-_s38-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-cer-_s38-processed-gene-0.185&CDS=1-936, genemark-cer-_s366-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s366-processed-gene-0.8&CDS=1-2766, maker-cer-_s704-augustus-gene-0.88-mRNA-1_1&gene=maker-cer-_s704-augustus-gene-0.88&CDS=1-2286	YGR003W, YKR074W
OG0000064	augustus_masked-cer-_s425-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-cer-_s425-processed-gene-0.68&CDS=1-1746, genemark-cer-_s456-processed-gene-0.96-mRNA-1_1&gene=genemark-cer-_s456-processed-gene-0.96&CDS=1-1977, genemark-cer-_s521-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s521-processed-gene-0.15&CDS=1-2196	YLR098C, YOR337W
OG0000065	genemark-cer-_s435-processed-gene-2.13-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-2.13&CDS=1-2814, genemark-cer-_s47-processed-gene-0.76-mRNA-1_1&gene=genemark-cer-_s47-processed-gene-0.76&CDS=1-2481	YCR037C, YJL198W, YNR013C
OG0000066	genemark-cer-_s439-processed-gene-0.32-mRNA-1_1&gene=genemark-cer-_s439-processed-gene-0.32&CDS=1-1824, genemark-cer-_s577-processed-gene-0.37-mRNA-1_1&gene=genemark-cer-_s577-processed-gene-0.37&CDS=1-1458	YDL159W, YOR231W, YPL140C
OG0000067	genemark-cer-_s455-processed-gene-0.37-mRNA-1_1&gene=genemark-cer-_s455-processed-gene-0.37&CDS=1-3591, genemark-cer-_s47-processed-gene-0.83-mRNA-1_1&gene=genemark-cer-_s47-processed-gene-0.83&CDS=1-3069	YIL002C, YNL106C, YOR109W
OG0000068	genemark-cer-_s48-processed-gene-1.115-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.115&CDS=1-1002, genemark-cer-_s48-processed-gene-1.175-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.175&CDS=1-993, genemark-cer-_s704-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s704-processed-gene-0.1&CDS=1-1026	YDL078C, YKL085W
OG0000069	genemark-cer-_s49-processed-gene-2.74-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.74&CDS=1-1395, genemark-cer-_s726-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s726-processed-gene-0.8&CDS=1-1293	YBL089W, YER119C, YIL088C
OG0000070	genemark-cer-_s578-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s578-processed-gene-0.0&CDS=1-2310, genemark-cer-_s737-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s737-processed-gene-0.1&CDS=1-1509	YCR065W, YIL131C, YNL068C
OG0000071	genemark-cer-_s672-processed-gene-0.48-mRNA-1_1&gene=genemark-cer-_s672-processed-gene-0.48&CDS=1-4515	YBL017C, YIL173W, YJL222W, YNR065C
OG0000072	augustus_masked-cer-_s776-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-cer-_s776-processed-gene-1.120&CDS=1-5673, genemark-cer-_s776-processed-gene-1.242-mRNA-1_1&gene=genemark-cer-_s776-processed-gene-1.242&CDS=1-5367, snap_masked-cer-_s91-processed-gene-0.11-mRNA-1_1&gene=snap_masked-cer-_s91-processed-gene-0.11&CDS=1-354	YGR184C, YLR024C
OG0000073	genemark-cer-_s656-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s656-processed-gene-0.0&CDS=1-1887, snap_masked-cer-_C46766-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_C46766-processed-gene-0.1&CDS=1-432	YER059W, YIL050W
OG0000074	genemark-cer-_C48666-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_C48666-processed-gene-0.3&CDS=1-1353, snap_masked-cer-_s159-processed-gene-2.44-mRNA-1_1&gene=snap_masked-cer-_s159-processed-gene-2.44&CDS=1-1227	YLR090W, YNL064C
OG0000075	genemark-cer-_C48730-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_C48730-processed-gene-0.8&CDS=1-759, genemark-cer-_s297-processed-gene-0.22-mRNA-1_1&gene=genemark-cer-_s297-processed-gene-0.22&CDS=1-759	YER062C, YIL053W
OG0000076	genemark-cer-_s608-processed-gene-0.44-mRNA-1_1&gene=genemark-cer-_s608-processed-gene-0.44&CDS=1-1287, genemark-cer-_s684-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s684-processed-gene-0.7&CDS=1-534, snap_masked-cer-_s102-processed-gene-0.15-mRNA-1_1&gene=snap_masked-cer-_s102-processed-gene-0.15&CDS=1-669	YLR449W
OG0000077	augustus_masked-cer-_s746-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-cer-_s746-processed-gene-0.2&CDS=1-405, genemark-cer-_s11-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s11-processed-gene-0.7&CDS=1-1617	YHL017W, YKL039W
OG0000078	genemark-cer-_s112-processed-gene-0.39-mRNA-1_1&gene=genemark-cer-_s112-processed-gene-0.39&CDS=1-4488, snap_masked-cer-_s707-processed-gene-0.4-mRNA-1_1&gene=snap_masked-cer-_s707-processed-gene-0.4&CDS=1-282	YER132C, YGL197W
OG0000079	genemark-cer-_s119-processed-gene-0.98-mRNA-1_1&gene=genemark-cer-_s119-processed-gene-0.98&CDS=1-342, genemark-cer-_s438-processed-gene-0.102-mRNA-1_1&gene=genemark-cer-_s438-processed-gene-0.102&CDS=1-309	YGR074W, YLR147C
OG0000080	genemark-cer-_s120-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s120-processed-gene-0.13&CDS=1-615, genemark-cer-_s9-processed-gene-0.48-mRNA-1_1&gene=genemark-cer-_s9-processed-gene-0.48&CDS=1-651	YDR399W, YJR133W
OG0000081	maker-cer-_s120-snap-gene-1.9-mRNA-1_1&gene=maker-cer-_s120-snap-gene-1.9&CDS=1-1437, maker-cer-_s760-augustus-gene-0.45-mRNA-1_1&gene=maker-cer-_s760-augustus-gene-0.45&CDS=1-2469	YGL202W, YHR137W
OG0000082	genemark-cer-_s120-processed-gene-1.113-mRNA-1_1&gene=genemark-cer-_s120-processed-gene-1.113&CDS=1-1707, genemark-cer-_s764-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s764-processed-gene-0.2&CDS=1-2031	YGL003C, YGL116W
OG0000083	genemark-cer-_s120-processed-gene-1.118-mRNA-1_1&gene=genemark-cer-_s120-processed-gene-1.118&CDS=1-1119, genemark-cer-_s38-processed-gene-0.108-mRNA-1_1&gene=genemark-cer-_s38-processed-gene-0.108&CDS=1-1095	YBR249C, YDR035W
OG0000084	genemark-cer-_s120-processed-gene-1.143-mRNA-1_1&gene=genemark-cer-_s120-processed-gene-1.143&CDS=1-1290, genemark-cer-_s631-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s631-processed-gene-0.4&CDS=1-1359	YKL046C, YMR238W
OG0000085	augustus_masked-cer-_s213-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-cer-_s213-processed-gene-0.7&CDS=1-1266, genemark-cer-_s120-processed-gene-1.135-mRNA-1_1&gene=genemark-cer-_s120-processed-gene-1.135&CDS=1-1530	YER028C, YGL209W
OG0000086	snap_masked-cer-_s131-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_s131-processed-gene-0.2&CDS=1-2091, snap_masked-cer-_s739-processed-gene-0.13-mRNA-1_1&gene=snap_masked-cer-_s739-processed-gene-0.13&CDS=1-246, snap_masked-cer-_s739-processed-gene-0.14-mRNA-1_1&gene=snap_masked-cer-_s739-processed-gene-0.14&CDS=1-351	YIL005W
OG0000087	genemark-cer-_s137-processed-gene-0.23-mRNA-1_1&gene=genemark-cer-_s137-processed-gene-0.23&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000088	genemark-cer-_s137-processed-gene-1.81-mRNA-1_1&gene=genemark-cer-_s137-processed-gene-1.81&CDS=1-696, genemark-cer-_s777-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s777-processed-gene-0.3&CDS=1-672	YIR001C, YIR005W
OG0000089	snap_masked-cer-_s137-processed-gene-1.158-mRNA-1_1&gene=snap_masked-cer-_s137-processed-gene-1.158&CDS=1-762, snap_masked-cer-_s173-processed-gene-5.79-mRNA-1_1&gene=snap_masked-cer-_s173-processed-gene-5.79&CDS=1-762	YFR031C-A, YIL018W
OG0000090	genemark-cer-_s137-processed-gene-1.115-mRNA-1_1&gene=genemark-cer-_s137-processed-gene-1.115&CDS=1-777, genemark-cer-_s173-processed-gene-5.37-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-5.37&CDS=1-774	YHL033C, YLL045C
OG0000091	genemark-cer-_s137-processed-gene-1.90-mRNA-1_1&gene=genemark-cer-_s137-processed-gene-1.90&CDS=1-1431, snap_masked-cer-_s288-processed-gene-0.3-mRNA-1_1&gene=snap_masked-cer-_s288-processed-gene-0.3&CDS=1-1473	YBR283C, YLR378C
OG0000092	genemark-cer-_s137-processed-gene-1.123-mRNA-1_1&gene=genemark-cer-_s137-processed-gene-1.123&CDS=1-2391, genemark-cer-_s682-processed-gene-0.36-mRNA-1_1&gene=genemark-cer-_s682-processed-gene-0.36&CDS=1-1290	YER047C, YPR173C
OG0000093	genemark-cer-_s137-processed-gene-1.129-mRNA-1_1&gene=genemark-cer-_s137-processed-gene-1.129&CDS=1-1011, genemark-cer-_s761-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s761-processed-gene-0.5&CDS=1-1095	YNL274C, YPL113C
OG0000094	genemark-cer-_s148-processed-gene-0.113-mRNA-1_1&gene=genemark-cer-_s148-processed-gene-0.113&CDS=1-1449, genemark-cer-_s489-processed-gene-0.49-mRNA-1_1&gene=genemark-cer-_s489-processed-gene-0.49&CDS=1-1602	YGL253W, YLR446W
OG0000095	genemark-cer-_s148-processed-gene-0.85-mRNA-1_1&gene=genemark-cer-_s148-processed-gene-0.85&CDS=1-435	YBR067C, YIL011W, YOR010C
OG0000096	genemark-cer-_s148-processed-gene-0.126-mRNA-1_1&gene=genemark-cer-_s148-processed-gene-0.126&CDS=1-1281, snap_masked-cer-_s538-processed-gene-0.5-mRNA-1_1&gene=snap_masked-cer-_s538-processed-gene-0.5&CDS=1-420	YHR179W, YPL171C
OG0000097	genemark-cer-_s155-processed-gene-0.52-mRNA-1_1&gene=genemark-cer-_s155-processed-gene-0.52&CDS=1-453, genemark-cer-_s352-processed-gene-0.83-mRNA-1_1&gene=genemark-cer-_s352-processed-gene-0.83&CDS=1-2622, genemark-cer-_s697-processed-gene-0.34-mRNA-1_1&gene=genemark-cer-_s697-processed-gene-0.34&CDS=1-2670	YLR241W
OG0000098	genemark-cer-_s159-processed-gene-1.105-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-1.105&CDS=1-2382, genemark-cer-_s635-processed-gene-0.22-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.22&CDS=1-2904	YER017C, YMR089C
OG0000099	genemark-cer-_s159-processed-gene-2.75-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-2.75&CDS=1-7701, snap_masked-cer-_s67-processed-gene-3.42-mRNA-1_1&gene=snap_masked-cer-_s67-processed-gene-3.42&CDS=1-8193	YLR454W, YPR117W
OG0000100	genemark-cer-_s159-processed-gene-2.120-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-2.120&CDS=1-1524, genemark-cer-_s616-processed-gene-0.36-mRNA-1_1&gene=genemark-cer-_s616-processed-gene-0.36&CDS=1-1515, snap_masked-cer-_s237-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_s237-processed-gene-0.1&CDS=1-345	YGR260W
OG0000101	augustus_masked-cer-_s419-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-cer-_s419-processed-gene-0.2&CDS=1-1179, maker-cer-_s420-snap-gene-0.3-mRNA-1_1&gene=maker-cer-_s420-snap-gene-0.3&CDS=1-1209, snap_masked-cer-_s16-processed-gene-0.4-mRNA-1_1&gene=snap_masked-cer-_s16-processed-gene-0.4&CDS=1-1899	YGL203C
OG0000102	genemark-cer-_s16-processed-gene-0.81-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-0.81&CDS=1-315, genemark-cer-_s38-processed-gene-0.89-mRNA-1_1&gene=genemark-cer-_s38-processed-gene-0.89&CDS=1-315	YDL081C, YDL130W
OG0000103	genemark-cer-_s16-processed-gene-1.88-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-1.88&CDS=1-1500, genemark-cer-_s173-processed-gene-3.85-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-3.85&CDS=1-2277	YGR052W, YHR082C
OG0000104	genemark-cer-_s16-processed-gene-2.109-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.109&CDS=1-309, genemark-cer-_s49-processed-gene-2.93-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.93&CDS=1-309	YBR009C, YNL030W
OG0000105	genemark-cer-_s359-processed-gene-0.91-mRNA-1_1&gene=genemark-cer-_s359-processed-gene-0.91&CDS=1-861, snap_masked-cer-_s160-processed-gene-0.14-mRNA-1_1&gene=snap_masked-cer-_s160-processed-gene-0.14&CDS=1-792	YIR013C, YLR013W
OG0000106	genemark-cer-_s160-processed-gene-0.87-mRNA-1_1&gene=genemark-cer-_s160-processed-gene-0.87&CDS=1-1617, genemark-cer-_s223-processed-gene-0.75-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.75&CDS=1-921	YDR352W, YOL092W
OG0000107	augustus_masked-cer-_s172-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-cer-_s172-processed-gene-0.49&CDS=1-711, maker-cer-_s160-snap-gene-0.58-mRNA-1_1&gene=maker-cer-_s160-snap-gene-0.58&CDS=1-1266	YDR319C, YGL126W
OG0000108	genemark-cer-_s166-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s166-processed-gene-0.19&CDS=1-1764	YOL055C, YPL258C, YPR121W
OG0000109	genemark-cer-_s167-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s167-processed-gene-0.1&CDS=1-2469, genemark-cer-_s543-processed-gene-0.25-mRNA-1_1&gene=genemark-cer-_s543-processed-gene-0.25&CDS=1-2247	YAR035W, YER024W
OG0000110	genemark-cer-_s172-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s172-processed-gene-0.13&CDS=1-948, genemark-cer-_s612-processed-gene-0.18-mRNA-1_1&gene=genemark-cer-_s612-processed-gene-0.18&CDS=1-1308	YDL108W, YPR161C
OG0000111	genemark-cer-_s173-processed-gene-0.121-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-0.121&CDS=1-1188, snap_masked-cer-_s38-processed-gene-0.59-mRNA-1_1&gene=snap_masked-cer-_s38-processed-gene-0.59&CDS=1-1191	YBR025C, YHL014C
OG0000112	genemark-cer-_s173-processed-gene-0.128-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-0.128&CDS=1-921, genemark-cer-_s760-processed-gene-0.39-mRNA-1_1&gene=genemark-cer-_s760-processed-gene-0.39&CDS=1-849	YIL043C, YML125C
OG0000113	genemark-cer-_s173-processed-gene-0.131-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-0.131&CDS=1-1521, genemark-cer-_s581-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s581-processed-gene-0.16&CDS=1-1305, snap_masked-cer-_s245-processed-gene-0.5-mRNA-1_1&gene=snap_masked-cer-_s245-processed-gene-0.5&CDS=1-1890	YLR380W
