	Kluyveromyces_lactis	Saccharomyces_cerevisiae
OG0000083	augustus_masked-CR382124-processed-gene-13.35-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-13.35&CDS=1-1533, augustus_masked-CR382125-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-3.18&CDS=1-1767	YIL015W, YLR120C
OG0000084	augustus_masked-CR382124-processed-gene-14.35-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-14.35&CDS=1-2418, augustus_masked-CR382126-processed-gene-10.24-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-10.24&CDS=1-3039	YLR144C, YNR067C
OG0000085	augustus_masked-CR382124-processed-gene-16.106-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-16.106&CDS=1-1833, augustus_masked-CR382125-processed-gene-8.150-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-8.150&CDS=1-1890	YCL069W, YKR105C
OG0000086	augustus_masked-CR382125-processed-gene-20.96-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-20.96&CDS=1-1989, snap_masked-CR382125-processed-gene-4.96-mRNA-1_1&gene=snap_masked-CR382125-processed-gene-4.96&CDS=1-2187	YER047C, YPL074W
OG0000087	augustus_masked-CR382126-processed-gene-23.79-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-23.79&CDS=1-1353, maker-CR382125-augustus-gene-7.145-mRNA-1_1&gene=maker-CR382125-augustus-gene-7.145&CDS=1-1836	YKL046C, YMR238W
OG0000088	augustus_masked-CR382125-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-7.136&CDS=1-2331, augustus_masked-CR382126-processed-gene-17.51-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.51&CDS=1-2442	YBR059C, YIL095W
OG0000089	augustus_masked-CR382125-processed-gene-15.135-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-15.135&CDS=1-309, augustus_masked-CR382125-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-7.115&CDS=1-309	YBR009C, YNL030W
OG0000090	augustus_masked-CR382125-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-11.82&CDS=1-1737, augustus_masked-CR382125-processed-gene-13.5-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-13.5&CDS=1-1719, augustus_masked-CR382125-processed-gene-21.138-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-21.138&CDS=1-1704	YDL210W
OG0000091	augustus_masked-CR382125-processed-gene-13.19-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-13.19&CDS=1-6684, augustus_masked-CR382126-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-3.5&CDS=1-3351	YJL130C, YJR109C
OG0000092	augustus_masked-CR382125-processed-gene-15.115-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-15.115&CDS=1-390, augustus_masked-CR382126-processed-gene-12.62-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-12.62&CDS=1-390	YBL003C, YDR225W
OG0000093	augustus_masked-CR382125-processed-gene-17.12-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-17.12&CDS=1-1974	YOR389W, YPL277C, YPL278C
OG0000094	augustus_masked-CR382125-processed-gene-17.28-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-17.28&CDS=1-2196, augustus_masked-CR382126-processed-gene-10.33-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-10.33&CDS=1-1317	YBL052C, YOR244W
OG0000095	augustus_masked-CR382126-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-1.102&CDS=1-1494, augustus_masked-CR382126-processed-gene-8.88-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-8.88&CDS=1-1407	YBR263W, YLR058C
OG0000096	augustus_masked-CR382126-processed-gene-23.75-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-23.75&CDS=1-3186, augustus_masked-CR382126-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-6.120&CDS=1-3288	YBR245C, YOR304W
OG0000097	augustus_masked-CR382126-processed-gene-22.125-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-22.125&CDS=1-1110	YCR102C, YLR460C, YNL134C
OG0000098		YBR297W, YFL052W, YGR288W, YPR196W
OG0000099	augustus_masked-CR382121-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-0.57&CDS=1-831	YCR010C, YNR002C
OG0000100	augustus_masked-CR382121-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-0.63&CDS=1-3687	YIL151C, YKR096W
OG0000101	augustus_masked-CR382121-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-1.77&CDS=1-2343, augustus_masked-CR382126-processed-gene-23.66-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-23.66&CDS=1-2076	YER040W
OG0000102	augustus_masked-CR382123-processed-gene-16.10-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.10&CDS=1-2724, snap_masked-CR382121-processed-gene-1.41-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-1.41&CDS=1-4191	YGR014W
OG0000103	augustus_masked-CR382121-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-1.90&CDS=1-495	YDR418W, YEL054C
OG0000104	snap_masked-CR382121-processed-gene-2.14-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-2.14&CDS=1-705	YGR049W, YLR356W
OG0000105	snap_masked-CR382121-processed-gene-2.24-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-2.24&CDS=1-1149	YGL162W, YPR009W
OG0000106	augustus_masked-CR382121-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-4.23&CDS=1-1068, augustus_masked-CR382123-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-4.142&CDS=1-1068	YLR291C
OG0000107	augustus_masked-CR382123-processed-gene-4.143-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-4.143&CDS=1-630, genemark-CR382121-processed-gene-4.67-mRNA-1_1&gene=genemark-CR382121-processed-gene-4.67&CDS=1-558	YLR292C
OG0000108	augustus_masked-CR382121-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-4.25&CDS=1-642, augustus_masked-CR382123-processed-gene-4.144-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-4.144&CDS=1-642	YLR293C
OG0000109	augustus_masked-CR382121-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-4.27&CDS=1-327, augustus_masked-CR382123-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-4.146&CDS=1-327	YLR295C
OG0000110	genemark-CR382121-processed-gene-4.71-mRNA-1_1&gene=genemark-CR382121-processed-gene-4.71&CDS=1-567, genemark-CR382123-processed-gene-4.99-mRNA-1_1&gene=genemark-CR382123-processed-gene-4.99&CDS=1-567	YLR298C
OG0000111	augustus_masked-CR382121-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-4.8&CDS=1-1290, augustus_masked-CR382123-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-4.120&CDS=1-1290	YOR187W
OG0000112	augustus_masked-CR382121-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-4.33&CDS=1-3063	YGL049C, YGR162W
OG0000113	augustus_masked-CR382121-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-5.28&CDS=1-408	YGR243W, YHR162W
OG0000114	genemark-CR382121-processed-gene-5.78-mRNA-1_1&gene=genemark-CR382121-processed-gene-5.78&CDS=1-1218	YJL134W, YKR053C
OG0000115	augustus_masked-CR382121-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-5.10&CDS=1-1188	YJL138C, YKR059W
OG0000116	augustus_masked-CR382121-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-5.12&CDS=1-1308	YJL139C, YKR061W
OG0000117	maker-CR382121-augustus-gene-5.46-mRNA-1_1&gene=maker-CR382121-augustus-gene-5.46&CDS=1-552	YJL177W, YKL180W
OG0000118	augustus_masked-CR382121-processed-gene-6.148-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.148&CDS=1-1056	YNL301C, YOL120C
OG0000119	augustus_masked-CR382121-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.59&CDS=1-2298	YFR023W, YHR015W
OG0000120	augustus_masked-CR382121-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.85&CDS=1-651	YAR002C-A, YGL002W
OG0000121	augustus_masked-CR382121-processed-gene-8.47-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.47&CDS=1-1194	YHR179W, YPL171C
OG0000122	snap_masked-CR382121-processed-gene-8.3-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-8.3&CDS=1-3246	YBL005W, YGL013C
OG0000123	augustus_masked-CR382121-processed-gene-8.50-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.50&CDS=1-1311	YGR254W, YHR174W
OG0000124	augustus_masked-CR382121-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.135&CDS=1-468	YBR048W, YDR025W
OG0000125	augustus_masked-CR382121-processed-gene-9.110-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.110&CDS=1-1653, snap_masked-CR382124-processed-gene-4.125-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-4.125&CDS=1-1488	YFL040W
OG0000126	snap_masked-CR382121-processed-gene-9.71-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.71&CDS=1-1863	YCR026C, YEL016C
OG0000127	snap_masked-CR382121-processed-gene-9.34-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.34&CDS=1-1344	YGL257C, YNR059W
OG0000128	augustus_masked-CR382122-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-1.30&CDS=1-432	YDR447C, YML024W
OG0000129	augustus_masked-CR382122-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-1.14&CDS=1-438	YDR450W, YML026C
OG0000130	augustus_masked-CR382122-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-1.32&CDS=1-1392	YDR451C, YML027W
OG0000131	augustus_masked-CR382122-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-1.22&CDS=1-2367	YGL139W, YPL221W
OG0000132	augustus_masked-CR382122-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-1.24&CDS=1-651	YGL135W, YPL220W
OG0000133	snap_masked-CR382122-processed-gene-1.107-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-1.107&CDS=1-1581	YGL134W, YPL219W
OG0000134	augustus_masked-CR382122-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-2.35&CDS=1-2061	YKL187C, YLR413W
OG0000135	augustus_masked-CR382122-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-2.21&CDS=1-306	YDL075W, YLR406C
OG0000136	augustus_masked-CR382122-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-2.25&CDS=1-1380, snap_masked-CR382123-processed-gene-12.18-mRNA-1_1&gene=snap_masked-CR382123-processed-gene-12.18&CDS=1-1359	YOR320C
OG0000137	augustus_masked-CR382122-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-3.63&CDS=1-783	YHR203C, YJR145C
OG0000138	augustus_masked-CR382122-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-4.56&CDS=1-3993, augustus_masked-CR382124-processed-gene-14.6-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-14.6&CDS=1-2280	YML080W
OG0000139	maker-CR382122-augustus-gene-5.93-mRNA-1_1&gene=maker-CR382122-augustus-gene-5.93&CDS=1-1569	YLR432W, YML056C
OG0000140	augustus_masked-CR382122-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-5.69&CDS=1-381	YGR034W, YLR344W
OG0000141	augustus_masked-CR382122-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-5.58&CDS=1-324	YGR027C, YLR333C
OG0000142	augustus_masked-CR382122-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-5.83&CDS=1-2451	YJR059W, YKL198C
OG0000143	augustus_masked-CR382122-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-6.89&CDS=1-1764	YLL061W, YPL274W
OG0000144	augustus_masked-CR382122-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-6.94&CDS=1-1011	YOR390W, YPL279C
OG0000145	augustus_masked-CR382122-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-6.110&CDS=1-1089	YBR031W, YDR012W
OG0000146	augustus_masked-CR382122-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-6.113&CDS=1-1860, augustus_masked-CR382125-processed-gene-21.109-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-21.109&CDS=1-1773	YJL163C
OG0000147	augustus_masked-CR382122-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-6.102&CDS=1-390	YJL190C, YLR367W
OG0000148	augustus_masked-CR382122-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-6.122&CDS=1-423	YCR031C, YJL191W
OG0000149	augustus_masked-CR382122-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-7.34&CDS=1-318	YMR230W, YOR293W
OG0000150	augustus_masked-CR382122-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-7.43&CDS=1-1710, augustus_masked-CR382124-processed-gene-10.76-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-10.76&CDS=1-1734	YDR242W
OG0000151	maker-CR382122-augustus-gene-8.92-mRNA-1_1&gene=maker-CR382122-augustus-gene-8.92&CDS=1-2412	YBR118W, YPR080W
OG0000152	augustus_masked-CR382122-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-8.82&CDS=1-1008	YBR161W, YPL057C
OG0000153	augustus_masked-CR382122-processed-gene-8.86-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-8.86&CDS=1-2205, augustus_masked-CR382124-processed-gene-14.13-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-14.13&CDS=1-2496	YDR160W
OG0000154	maker-CR382122-snap-gene-9.0-mRNA-1_1&gene=maker-CR382122-snap-gene-9.0&CDS=1-267	YPR169W-A, YPR170W-B
OG0000155	augustus_masked-CR382122-processed-gene-9.23-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-9.23&CDS=1-1359	YGR121C, YPR138C
OG0000156	augustus_masked-CR382122-processed-gene-9.48-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-9.48&CDS=1-402	YGR118W, YPR132W
OG0000157	augustus_masked-CR382122-processed-gene-10.107-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-10.107&CDS=1-279	YBR089C-A, YPR052C
OG0000158	augustus_masked-CR382122-processed-gene-11.56-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-11.56&CDS=1-1704	YKL127W, YMR105C
OG0000159	augustus_masked-CR382122-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-11.59&CDS=1-2556	YKL121W, YMR102C
OG0000160	augustus_masked-CR382122-processed-gene-11.84-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-11.84&CDS=1-2745	YGR056W, YLR357W
OG0000161	maker-CR382122-augustus-gene-11.48-mRNA-1_1&gene=maker-CR382122-augustus-gene-11.48&CDS=1-414	YHL001W, YKL006W
OG0000162	augustus_masked-CR382122-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-11.71&CDS=1-1224	YHL003C, YKL008C
OG0000163	augustus_masked-CR382122-processed-gene-12.108-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-12.108&CDS=1-684, augustus_masked-CR382123-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-2.81&CDS=1-684	YCR097W
OG0000164	snap_masked-CR382123-processed-gene-0.98-mRNA-1_1&gene=snap_masked-CR382123-processed-gene-0.98&CDS=1-633	YCL066W, YCR040W
OG0000165	augustus_masked-CR382123-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-0.28&CDS=1-993	YCL050C, YDR530C
OG0000166	augustus_masked-CR382123-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-0.17&CDS=1-1443	YCL040W, YDR516C
OG0000167	augustus_masked-CR382123-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-1.2&CDS=1-1488	YCL037C, YDR515W
OG0000168	maker-CR382123-snap-gene-1.133-mRNA-1_1&gene=maker-CR382123-snap-gene-1.133&CDS=1-2028	YCL036W, YDR514C
OG0000169	augustus_masked-CR382123-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-1.21&CDS=1-321	YCL035C, YDR513W
OG0000170	augustus_masked-CR382123-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-1.13&CDS=1-264	YDR500C, YLR185W
OG0000171	augustus_masked-CR382123-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-2.69&CDS=1-3558	YHR155W, YNL257C
OG0000172	augustus_masked-CR382123-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-3.45&CDS=1-4080	YCL068C, YCR038C
OG0000173	augustus_masked-CR382123-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-3.59&CDS=1-858	YDL021W, YOL056W
OG0000174	genemark-CR382123-processed-gene-4.90-mRNA-1_1&gene=genemark-CR382123-processed-gene-4.90&CDS=1-198	YLR287C-A, YOR182C
OG0000175	augustus_masked-CR382123-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-4.124&CDS=1-1287	YLR300W, YOR190W
OG0000176	augustus_masked-CR382123-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-5.8&CDS=1-1554	YBR214W, YGL056C
OG0000177	snap_masked-CR382123-processed-gene-5.140-mRNA-1_1&gene=snap_masked-CR382123-processed-gene-5.140&CDS=1-2106	YBR216C, YGL060W
OG0000178	augustus_masked-CR382123-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-7.54&CDS=1-2625, augustus_masked-CR382126-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-1.101&CDS=1-2565	YER070W
OG0000179	augustus_masked-CR382123-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-7.59&CDS=1-768	YER062C, YIL053W
OG0000180	augustus_masked-CR382123-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-7.81&CDS=1-1227	YER059W, YIL050W
OG0000181	snap_masked-CR382123-processed-gene-7.107-mRNA-1_1&gene=snap_masked-CR382123-processed-gene-7.107&CDS=1-348	YER056C-A, YIL052C
OG0000182	augustus_masked-CR382123-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-8.68&CDS=1-1785	YCR048W, YNR019W
OG0000183	augustus_masked-CR382123-processed-gene-8.91-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-8.91&CDS=1-1410	YER081W, YIL074C
OG0000184	augustus_masked-CR382123-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-9.117&CDS=1-804	YHR043C, YHR044C
OG0000185	snap_masked-CR382123-processed-gene-10.119-mRNA-1_1&gene=snap_masked-CR382123-processed-gene-10.119&CDS=1-2073	YBL009W, YGL021W
OG0000186	augustus_masked-CR382123-processed-gene-10.46-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-10.46&CDS=1-1269	YNL283C, YOL105C
OG0000187	snap_masked-CR382123-processed-gene-11.33-mRNA-1_1&gene=snap_masked-CR382123-processed-gene-11.33&CDS=1-831	YNL098C, YOR101W
OG0000188	augustus_masked-CR382123-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-11.82&CDS=1-1611	YNL095C, YOR092W
OG0000189	augustus_masked-CR382123-processed-gene-12.110-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-12.110&CDS=1-1134	YGR279C, YMR305C
OG0000190	snap_masked-CR382123-processed-gene-12.35-mRNA-1_1&gene=snap_masked-CR382123-processed-gene-12.35&CDS=1-3120	YCR106W, YLL054C
OG0000191	augustus_masked-CR382123-processed-gene-12.118-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-12.118&CDS=1-1422	YDR312W, YHR066W
OG0000192	augustus_masked-CR382123-processed-gene-14.2-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-14.2&CDS=1-564	YMR181C, YPL229W
OG0000193	augustus_masked-CR382123-processed-gene-14.37-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-14.37&CDS=1-1434	YDL161W, YLR206W
OG0000194	augustus_masked-CR382123-processed-gene-15.106-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-15.106&CDS=1-792	YDR098C, YER174C
OG0000195	augustus_masked-CR382123-processed-gene-16.37-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.37&CDS=1-1347	YGR010W, YLR328W
OG0000196	augustus_masked-CR382123-processed-gene-16.12-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.12&CDS=1-222	YGR008C, YLR327C
OG0000197	augustus_masked-CR382123-processed-gene-16.48-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.48&CDS=1-3864, augustus_masked-CR382123-processed-gene-16.55-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.55&CDS=1-3858	YKL215C
OG0000198	augustus_masked-CR382124-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-1.36&CDS=1-2784	YML111W, YMR275C
OG0000199	augustus_masked-CR382124-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-2.50&CDS=1-3681	YJL082W, YKR018C
OG0000200	maker-CR382124-augustus-gene-2.92-mRNA-1_1&gene=maker-CR382124-augustus-gene-2.92&CDS=1-1416	YJL079C, YKR013W
OG0000201	augustus_masked-CR382124-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-2.86&CDS=1-2469	YGL071W, YPL202C
OG0000202	augustus_masked-CR382124-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-2.65&CDS=1-1710, augustus_masked-CR382125-processed-gene-17.23-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-17.23&CDS=1-1728	YDL174C
OG0000203	augustus_masked-CR382124-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-2.67&CDS=1-729	YGL076C, YPL198W
OG0000204	snap_masked-CR382124-processed-gene-4.121-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-4.121&CDS=1-1329	YCL011C, YNL004W
OG0000205	augustus_masked-CR382124-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-4.15&CDS=1-357	YER131W, YGL189C
