	Millerozyma_acaciae	Saccharomyces_cerevisiae
OG0000054	-processed-gene-6.77-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-6.77&CDS=1-3936, -processed-gene-7.70-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-7.70&CDS=1-3990	YJL042W, YOR227W, YPL137C
OG0000055	-augustus-gene-11.6-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-augustus-gene-11.6&CDS=1-4089, -processed-gene-12.130-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-12.130&CDS=1-3135	YIL002C, YNL106C, YOR109W
OG0000056	-processed-gene-10.85-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-10.85&CDS=1-2004, -processed-gene-12.139-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-12.139&CDS=1-1566, -processed-gene-12.82-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.82&CDS=1-1647	YLR034C, YOL122C
OG0000057	-processed-gene-1.112-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-1.112&CDS=1-4536, -processed-gene-12.61-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.61&CDS=1-6735, -processed-gene-13.110-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.110&CDS=1-4848	YDR135C, YLL015W
OG0000058	-processed-gene-0.2-mRNA-1_1&gene=snap_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.2&CDS=1-3072, -processed-gene-13.254-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-13.254&CDS=1-702	YER185W, YGR213C, YLR046C
OG0000059	-augustus-gene-0.44-mRNA-1_1&gene=maker-gi|1002316186|dbj|BCKO01000003.1|-augustus-gene-0.44&CDS=1-3768, -augustus-gene-0.86-mRNA-1_1&gene=maker-gi|1002316185|dbj|BCKO01000004.1|-augustus-gene-0.86&CDS=1-3996, -processed-gene-0.116-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-0.116&CDS=1-1554, -processed-gene-10.133-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.133&CDS=1-1746	YLL028W
OG0000060	-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-1.104&CDS=1-5625, -processed-gene-1.21-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-1.21&CDS=1-13110, -processed-gene-8.103-mRNA-1_1&gene=snap_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-8.103&CDS=1-5592	YGR032W, YNR016C
OG0000061	-processed-gene-2.40-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-2.40&CDS=1-1395, -processed-gene-5.147-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-5.147&CDS=1-1329	YBL089W, YER119C, YIL088C
OG0000062	-processed-gene-4.2-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-4.2&CDS=1-1758, -processed-gene-6.69-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-6.69&CDS=1-2088	YCR065W, YIL131C, YNL068C
OG0000063	-processed-gene-1.145-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-1.145&CDS=1-1023, -processed-gene-7.27-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-7.27&CDS=1-1551	YBL056W, YBR125C, YER089C
OG0000064	-processed-gene-11.115-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.115&CDS=1-3969, -processed-gene-12.111-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-12.111&CDS=1-1908	YDR107C, YER113C, YLR083C
OG0000065	-augustus-gene-5.3-mRNA-1_1&gene=maker-gi|1002316186|dbj|BCKO01000003.1|-augustus-gene-5.3&CDS=1-2133, -processed-gene-5.87-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-5.87&CDS=1-807	YCL036W, YDR514C, YKL114C
OG0000066	-processed-gene-13.201-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-13.201&CDS=1-1380, -processed-gene-5.125-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-5.125&CDS=1-966	YFR032C, YHL034C, YLL046C
OG0000067	-processed-gene-13.93-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.93&CDS=1-2577, -processed-gene-15.176-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-15.176&CDS=1-2988	YDR385W, YKL173W, YOR133W
OG0000068	-processed-gene-1.209-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.209&CDS=1-2118, -processed-gene-6.0-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-6.0&CDS=1-2442	YKL188C, YPL147W
OG0000069	-augustus-gene-1.80-mRNA-1_1&gene=maker-gi|1002316180|dbj|BCKO01000009.1|-augustus-gene-1.80&CDS=1-1944, -processed-gene-2.97-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-2.97&CDS=1-654	YER003C, YIR001C
OG0000070	-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.148&CDS=1-6282, -processed-gene-7.107-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-7.107&CDS=1-2955	YBL060W, YDR170C
OG0000071	-processed-gene-1.236-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.236&CDS=1-2202, -processed-gene-8.118-mRNA-1_1&gene=snap_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-8.118&CDS=1-1308	YIL078W, YKL194C
OG0000072	-processed-gene-0.111-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.111&CDS=1-1506, -processed-gene-2.96-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-2.96&CDS=1-3273, -snap-gene-0.2-mRNA-1_1&gene=maker-gi|1002316183|dbj|BCKO01000006.1|-snap-gene-0.2&CDS=1-1560	YKL221W
OG0000073	-processed-gene-0.112-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.112&CDS=1-1722, -processed-gene-3.22-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-3.22&CDS=1-1698	YFL011W, YMR011W
OG0000074	-processed-gene-0.99-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.99&CDS=1-1899, -processed-gene-6.87-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-6.87&CDS=1-1407	YGR252W, YKR008W
OG0000075	-processed-gene-1.16-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.16&CDS=1-1398, -processed-gene-4.69-mRNA-1_1&gene=augustus_masked-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-4.69&CDS=1-2370	YMR020W, YMR022W
OG0000076	-processed-gene-2.54-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-2.54&CDS=1-2664, -processed-gene-3.109-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-3.109&CDS=1-2343	YDL132W, YGR003W
OG0000077	-processed-gene-2.93-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-2.93&CDS=1-8520, -snap-gene-7.3-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-snap-gene-7.3&CDS=1-4818	YML072C, YOR341W
OG0000078	-processed-gene-2.51-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.51&CDS=1-1089, -processed-gene-3.107-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-3.107&CDS=1-1041	YGL185C, YNL274C
OG0000079	-processed-gene-3.119-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-3.119&CDS=1-1101, -processed-gene-4.44-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-4.44&CDS=1-942	YDL047W, YNR032W
OG0000080	-processed-gene-0.50-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-0.50&CDS=1-1650, -processed-gene-12.110-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.110&CDS=1-1455	YDR256C, YGR088W
OG0000081	-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.54&CDS=1-4932, -processed-gene-9.31-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-9.31&CDS=1-4848	YJL095W, YLR362W
OG0000082	-processed-gene-18.125-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-18.125&CDS=1-1767, -processed-gene-4.111-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.111&CDS=1-3300	YER175C, YHR209W
OG0000083	-processed-gene-4.38-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.38&CDS=1-1380, -processed-gene-7.20-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-7.20&CDS=1-4791	YBR028C, YNL292W
OG0000084	-processed-gene-2.108-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-2.108&CDS=1-726, -processed-gene-5.87-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.87&CDS=1-798	YJL079C, YKR013W
OG0000085	-processed-gene-12.138-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-12.138&CDS=1-783, -processed-gene-6.91-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.91&CDS=1-753	YER062C, YIL053W
OG0000086	-processed-gene-2.67-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-2.67&CDS=1-2235, -processed-gene-7.66-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.66&CDS=1-2685	YDR258C, YLL026W
OG0000087	-augustus-gene-8.298-mRNA-1_1&gene=maker-gi|1002316182|dbj|BCKO01000007.1|-augustus-gene-8.298&CDS=1-3231, -processed-gene-6.134-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-6.134&CDS=1-1296	YER047C, YPR173C
OG0000088	-processed-gene-8.110-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.110&CDS=1-1671, -snap-gene-13.167-mRNA-1_1&gene=maker-gi|1002316186|dbj|BCKO01000003.1|-snap-gene-13.167&CDS=1-3849	YER048C, YIR004W
OG0000089	-processed-gene-8.159-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.159&CDS=1-486	YBR067C, YIL011W, YOR010C
OG0000090	-processed-gene-8.220-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.220&CDS=1-2424, -snap-gene-4.56-mRNA-1_1&gene=maker-gi|1002316186|dbj|BCKO01000003.1|-snap-gene-4.56&CDS=1-1260	YML017W, YPR163C
OG0000091	-processed-gene-8.134-mRNA-1_1&gene=snap_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-8.134&CDS=1-1809, -processed-gene-8.31-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.31&CDS=1-5904	YDL174C, YPL217C
OG0000092	-augustus-gene-8.300-mRNA-1_1&gene=maker-gi|1002316182|dbj|BCKO01000007.1|-augustus-gene-8.300&CDS=1-5310, -processed-gene-9.24-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-9.24&CDS=1-2205	YIL095W, YNL020C
OG0000093	-processed-gene-12.112-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-12.112&CDS=1-1338, -processed-gene-8.245-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.245&CDS=1-1281	YDR132C, YLR108C
OG0000094	-processed-gene-12.118-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-12.118&CDS=1-1680, -processed-gene-16.10-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.10&CDS=1-1599, -snap-gene-0.0-mRNA-1_1&gene=maker-gi|1002316183|dbj|BCKO01000006.1|-snap-gene-0.0&CDS=1-1665	YGL077C
OG0000095	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-0.10&CDS=1-1605, -processed-gene-15.6-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.6&CDS=1-1938	YER073W, YOR374W
OG0000096	-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-0.56&CDS=1-2157, -processed-gene-4.11-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-4.11&CDS=1-1482	YBR283C, YLR378C
OG0000097	-processed-gene-0.17-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-0.17&CDS=1-1473, -processed-gene-8.66-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-8.66&CDS=1-1287	YLR300W, YOR190W
OG0000098	-processed-gene-1.98-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-1.98&CDS=1-702	YDR533C, YOR391C, YPL280W
OG0000099	-processed-gene-2.107-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-2.107&CDS=1-1170, -processed-gene-2.58-mRNA-1_1&gene=augustus_masked-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-2.58&CDS=1-2670, -processed-gene-6.42-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-6.42&CDS=1-1155	YML095C
OG0000100	-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-2.70&CDS=1-3360, -processed-gene-9.47-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-9.47&CDS=1-2310	YGL083W, YOR112W
OG0000101	-processed-gene-10.5-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-10.5&CDS=1-1248, -processed-gene-5.56-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-5.56&CDS=1-1188	YBR025C, YHL014C
OG0000102	-processed-gene-5.91-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-5.91&CDS=1-4692, -processed-gene-7.47-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-7.47&CDS=1-5643	YHR023W, YOR326W
OG0000103	-processed-gene-5.94-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-5.94&CDS=1-1143, -processed-gene-6.138-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-6.138&CDS=1-1266	YFL039C, YHR129C
OG0000104	-processed-gene-6.20-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-6.20&CDS=1-1548, -processed-gene-7.28-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-7.28&CDS=1-2385	YBL052C, YOR244W
OG0000105	-processed-gene-5.48-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-5.48&CDS=1-1200, -processed-gene-7.115-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-7.115&CDS=1-1110	YGL038C, YJR075W
OG0000106	-processed-gene-9.54-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-9.54&CDS=1-1725	YGR154C, YKR076W, YMR251W
OG0000107	-augustus-gene-9.158-mRNA-1_1&gene=maker-gi|1002316183|dbj|BCKO01000006.1|-augustus-gene-9.158&CDS=1-3618, -processed-gene-14.58-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-14.58&CDS=1-675	YBL064C, YBL066C
OG0000108	-augustus-gene-16.165-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-16.165&CDS=1-2811, -processed-gene-9.62-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-9.62&CDS=1-1557	YOL137W, YOR057W
OG0000109	-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-3.118&CDS=1-738, -processed-gene-9.34-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-9.34&CDS=1-651	YFR042W, YJL097W
OG0000110	-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-3.78&CDS=1-1428, -processed-gene-9.149-mRNA-1_1&gene=augustus_masked-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-9.149&CDS=1-1449	YGR177C, YOR377W
OG0000111	-processed-gene-0.20-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-0.20&CDS=1-1356, -processed-gene-0.55-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-0.55&CDS=1-1344, -processed-gene-11.12-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.12&CDS=1-1641	YLR380W
OG0000112	-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-0.73&CDS=1-1680, -processed-gene-9.75-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-9.75&CDS=1-1719	YBR239C, YJL103C
OG0000113	-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-1.17&CDS=1-2517, -processed-gene-14.77-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-14.77&CDS=1-1410	YGR052W, YHR082C
OG0000114	-processed-gene-1.123-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-1.123&CDS=1-3042, -processed-gene-9.67-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-9.67&CDS=1-1434	YDR388W, YJL020C
OG0000115	-augustus-gene-2.54-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-augustus-gene-2.54&CDS=1-4548, -processed-gene-9.9-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-9.9&CDS=1-1473	YEL056W, YPR003C
OG0000116	-processed-gene-19.39-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-19.39&CDS=1-1527, -processed-gene-2.137-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-2.137&CDS=1-936	YDL216C, YFR004W
OG0000117	-processed-gene-2.143-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-2.143&CDS=1-2091, -processed-gene-5.24-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-5.24&CDS=1-2223	YJR005W, YKL135C
OG0000118	-processed-gene-10.49-mRNA-1_1&gene=snap_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-10.49&CDS=1-5676, -processed-gene-4.122-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-4.122&CDS=1-4497	YDR011W, YOR153W
OG0000119	-processed-gene-15.92-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-15.92&CDS=1-2415, -processed-gene-5.35-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-5.35&CDS=1-1224	YJL139C, YKR061W
OG0000120	-processed-gene-15.38-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.38&CDS=1-4674, -processed-gene-5.26-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-5.26&CDS=1-3903	YIL126W, YOR290C
OG0000121	-augustus-gene-8.74-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-augustus-gene-8.74&CDS=1-4596, -processed-gene-12.84-mRNA-1_1&gene=augustus_masked-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-12.84&CDS=1-4140	YGR143W, YPR159W
OG0000122	-processed-gene-10.169-mRNA-1_1&gene=snap_masked-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-10.169&CDS=1-1665, -processed-gene-9.118-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-9.118&CDS=1-2262	YIR031C, YNL117W
OG0000123	-processed-gene-10.100-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.100&CDS=1-2949, -processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-2.30&CDS=1-2421	YER017C, YMR089C
OG0000124	-processed-gene-11.13-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.13&CDS=1-1161, -processed-gene-13.144-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.144&CDS=1-2031	YKL005C, YPL181W
OG0000125	-processed-gene-12.66-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-12.66&CDS=1-4806, -processed-gene-6.73-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-6.73&CDS=1-3993	YDR334W, YGL150C
OG0000126	-processed-gene-13.153-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.153&CDS=1-2382, -processed-gene-5.101-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-5.101&CDS=1-3012	YER041W, YGR258C
OG0000127	-processed-gene-13.162-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.162&CDS=1-891	YLL052C, YLL053C, YPR192W
OG0000128	-processed-gene-0.26-mRNA-1_1&gene=snap_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.26&CDS=1-741	YDR391C, YOR012W, YOR013W
OG0000129	-processed-gene-0.110-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.110&CDS=1-1851, -processed-gene-15.73-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-15.73&CDS=1-2718	YGL125W, YPL023C
OG0000130	-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-0.62&CDS=1-3021, -processed-gene-2.173-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-2.173&CDS=1-4263	YLR188W, YOL057W
OG0000131	-augustus-gene-9.125-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-9.125&CDS=1-1950, -processed-gene-13.219-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-13.219&CDS=1-999, -processed-gene-3.144-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-3.144&CDS=1-1086	YDL144C
OG0000132	-processed-gene-11.75-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.75&CDS=1-1218, -processed-gene-3.125-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-3.125&CDS=1-1374	YLR090W, YNL064C
OG0000133	-processed-gene-5.137-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-5.137&CDS=1-408, -processed-gene-5.93-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-5.93&CDS=1-408	YBR010W, YNL031C
OG0000134	-processed-gene-5.115-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-5.115&CDS=1-309, -processed-gene-5.96-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-5.96&CDS=1-309	YBR009C, YNL030W
OG0000135	-processed-gene-3.45-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-3.45&CDS=1-3462, -processed-gene-5.140-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-5.140&CDS=1-6624	YJL130C, YJR109C
OG0000136	-augustus-gene-5.54-mRNA-1_1&gene=maker-gi|1002316185|dbj|BCKO01000004.1|-augustus-gene-5.54&CDS=1-3054, -processed-gene-13.4-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-13.4&CDS=1-1053	YNL026W, YNL027W
OG0000137	-processed-gene-6.18-mRNA-1_1&gene=snap_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-6.18&CDS=1-732	YAR002C-A, YGL002W, YHR110W
OG0000138	-augustus-gene-7.0-mRNA-1_1&gene=maker-gi|1002316185|dbj|BCKO01000004.1|-augustus-gene-7.0&CDS=1-3336, -processed-gene-5.99-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-5.99&CDS=1-3504	YGL179C, YGL194C
OG0000139	-processed-gene-12.115-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-12.115&CDS=1-1527, -processed-gene-8.25-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-8.25&CDS=1-1317	YDR463W, YHR006W
