	Candida_tanzawaensis	Saccharomyces_cerevisiae
OG0000056	augustus_masked-scaffold_8-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.51&CDS=1-1047, maker-scaffold_4-snap-gene-9.75-mRNA-1_1&gene=maker-scaffold_4-snap-gene-9.75&CDS=1-3573	YCL064C, YIL167W, YML020W
OG0000057	augustus_masked-scaffold_4-processed-gene-13.22-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.22&CDS=1-1740	YBR298C, YDL247W, YGR289C, YJR160C
OG0000058	genemark-scaffold_9-processed-gene-3.10-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.10&CDS=1-3228, maker-scaffold_4-augustus-gene-14.102-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-14.102&CDS=1-4305	YDR038C, YDR039C, YDR040C
OG0000059	augustus_masked-scaffold_5-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.31&CDS=1-708	YDR533C, YMR322C, YOR391C, YPL280W
OG0000060		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000061	augustus_masked-scaffold_2-processed-gene-13.87-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.87&CDS=1-780, genemark-scaffold_1-processed-gene-1.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.56&CDS=1-780	YHL033C, YLL045C
OG0000062	augustus_masked-scaffold_1-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.97&CDS=1-759, augustus_masked-scaffold_4-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.111&CDS=1-813	YER062C, YIL053W
OG0000063	augustus_masked-scaffold_1-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.42&CDS=1-1479, augustus_masked-scaffold_3-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.30&CDS=1-2292	YBL052C, YOR244W
OG0000064	augustus_masked-scaffold_1-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.76&CDS=1-1098, genemark-scaffold_3-processed-gene-5.55-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.55&CDS=1-1176	YHR208W, YJR148W
OG0000065	augustus_masked-scaffold_1-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.62&CDS=1-2373, augustus_masked-scaffold_2-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.71&CDS=1-2910	YER017C, YMR089C
OG0000066	augustus_masked-scaffold_6-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.78&CDS=1-1365, maker-scaffold_1-snap-gene-5.121-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.121&CDS=1-4953	YDL145C, YEL040W
OG0000067	augustus_masked-scaffold_1-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.4&CDS=1-2313, augustus_masked-scaffold_7-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.98&CDS=1-2559	YDL132W, YGR003W
OG0000068	augustus_masked-scaffold_1-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.24&CDS=1-1047, augustus_masked-scaffold_4-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.9&CDS=1-2478	YDL134C, YOL140W
OG0000069	augustus_masked-scaffold_1-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.26&CDS=1-1746, augustus_masked-scaffold_5-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.9&CDS=1-2280	YDR109C, YNL249C
OG0000070	augustus_masked-scaffold_1-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.68&CDS=1-1875, genemark-scaffold_7-processed-gene-7.6-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.6&CDS=1-1272	YGR169C, YOL066C
OG0000071	maker-scaffold_1-snap-gene-7.3-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.3&CDS=1-531	YCL067C, YCR039C, YCR096C
OG0000072	augustus_masked-scaffold_6-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.118&CDS=1-4680, genemark-scaffold_1-processed-gene-7.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.101&CDS=1-5691	YHR023W, YOR326W
OG0000073	augustus_masked-scaffold_1-processed-gene-9.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.5&CDS=1-1410, augustus_masked-scaffold_2-processed-gene-15.98-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.98&CDS=1-3333	YMR020W, YPL225W
OG0000074	augustus_masked-scaffold_1-processed-gene-9.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.25&CDS=1-2685, genemark-scaffold_4-processed-gene-12.120-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.120&CDS=1-2613, maker-scaffold_3-snap-gene-6.32-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.32&CDS=1-8079	YPR194C
OG0000075	augustus_masked-scaffold_1-processed-gene-10.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.116&CDS=1-3867, augustus_masked-scaffold_2-processed-gene-16.104-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.104&CDS=1-2691	YDR258C, YLL026W
OG0000076	snap_masked-scaffold_1-processed-gene-10.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.39&CDS=1-1713	YOL055C, YPL258C, YPR121W
OG0000077	augustus_masked-scaffold_1-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.124&CDS=1-1857, genemark-scaffold_3-processed-gene-2.41-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.41&CDS=1-1797	YGL003C, YGL116W
OG0000078	augustus_masked-scaffold_1-processed-gene-10.131-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.131&CDS=1-1491, augustus_masked-scaffold_7-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.76&CDS=1-2373	YGR052W, YHR082C
OG0000079	augustus_masked-scaffold_5-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.87&CDS=1-1086, genemark-scaffold_1-processed-gene-11.108-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.108&CDS=1-1224	YKR042W, YNL066W
OG0000080	augustus_masked-scaffold_8-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.7&CDS=1-8115, maker-scaffold_1-snap-gene-12.3-mRNA-1_1&gene=maker-scaffold_1-snap-gene-12.3&CDS=1-8163	YLR454W, YPR117W
OG0000081	augustus_masked-scaffold_1-processed-gene-13.74-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.74&CDS=1-1095, augustus_masked-scaffold_2-processed-gene-9.133-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.133&CDS=1-1854	YBR175W, YMR146C
OG0000082	augustus_masked-scaffold_1-processed-gene-13.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.59&CDS=1-1224, augustus_masked-scaffold_1-processed-gene-20.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.18&CDS=1-1356	YOR334W, YPL060W
OG0000083	augustus_masked-scaffold_1-processed-gene-13.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.88&CDS=1-1104, augustus_masked-scaffold_3-processed-gene-14.107-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.107&CDS=1-1101	YCR105W, YMR318C
OG0000084	augustus_masked-scaffold_5-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.8&CDS=1-1953, maker-scaffold_1-snap-gene-15.106-mRNA-1_1&gene=maker-scaffold_1-snap-gene-15.106&CDS=1-1995	YJR045C, YLR369W
OG0000085	augustus_masked-scaffold_6-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.16&CDS=1-2028, maker-scaffold_1-snap-gene-16.130-mRNA-1_1&gene=maker-scaffold_1-snap-gene-16.130&CDS=1-1056	YBR160W, YPR161C
OG0000086	augustus_masked-scaffold_1-processed-gene-19.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.6&CDS=1-1617, augustus_masked-scaffold_2-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.35&CDS=1-1701, augustus_masked-scaffold_6-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.86&CDS=1-1617	YIL166C
OG0000087	augustus_masked-scaffold_1-processed-gene-19.27-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.27&CDS=1-1227, augustus_masked-scaffold_10-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.11&CDS=1-1281	YDL066W, YLR174W
OG0000088	maker-scaffold_1-snap-gene-19.39-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.39&CDS=1-1959	YGR154C, YKR076W, YMR251W
OG0000089	augustus_masked-scaffold_1-processed-gene-20.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.2&CDS=1-2169, augustus_masked-scaffold_1-processed-gene-25.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.25&CDS=1-3075	YIL095W, YNL020C
OG0000090	augustus_masked-scaffold_1-processed-gene-20.38-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.38&CDS=1-2007, augustus_masked-scaffold_3-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.73&CDS=1-1905	YEL065W, YHL040C
OG0000091	augustus_masked-scaffold_6-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.110&CDS=1-978, snap_masked-scaffold_1-processed-gene-21.86-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.86&CDS=1-879	YDL114W, YLR426W
OG0000092	augustus_masked-scaffold_1-processed-gene-23.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.93&CDS=1-1542	YER056C, YER060W, YER060W-A
OG0000093	augustus_masked-scaffold_1-processed-gene-23.123-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.123&CDS=1-1176, genemark-scaffold_3-processed-gene-16.61-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-16.61&CDS=1-3252	YDR524C, YIL044C
OG0000094	augustus_masked-scaffold_3-processed-gene-15.139-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.139&CDS=1-1509, genemark-scaffold_1-processed-gene-24.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.97&CDS=1-1530, maker-scaffold_6-augustus-gene-4.88-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-4.88&CDS=1-3534	YPL164C
OG0000095	augustus_masked-scaffold_1-processed-gene-24.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.60&CDS=1-4200, augustus_masked-scaffold_1-processed-gene-25.9-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.9&CDS=1-4740, genemark-scaffold_3-processed-gene-12.90-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.90&CDS=1-4188	YGR281W
OG0000096	augustus_masked-scaffold_1-processed-gene-25.43-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.43&CDS=1-2613, augustus_masked-scaffold_6-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.101&CDS=1-2460	YBR073W, YGL163C
OG0000097	augustus_masked-scaffold_1-processed-gene-25.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.57&CDS=1-1458, augustus_masked-scaffold_5-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.104&CDS=1-1431	YER028C, YGL209W
OG0000098	augustus_masked-scaffold_6-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.91&CDS=1-2511, genemark-scaffold_10-processed-gene-1.156-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.156&CDS=1-2277, snap_masked-scaffold_4-processed-gene-9.86-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.86&CDS=1-3501	YPR022C
OG0000099	augustus_masked-scaffold_2-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.61&CDS=1-1689, augustus_masked-scaffold_6-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.36&CDS=1-1653	YFL011W, YMR011W
OG0000100	augustus_masked-scaffold_2-processed-gene-9.152-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.152&CDS=1-1515, maker-scaffold_2-augustus-gene-0.80-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-0.80&CDS=1-2142, snap_masked-scaffold_2-processed-gene-0.99-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.99&CDS=1-1458	YDL020C
OG0000101	augustus_masked-scaffold_2-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.87&CDS=1-2160, augustus_masked-scaffold_2-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.42&CDS=1-2238, augustus_masked-scaffold_4-processed-gene-8.111-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.111&CDS=1-2244	YER015W
OG0000102	augustus_masked-scaffold_2-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.7&CDS=1-6279, augustus_masked-scaffold_5-processed-gene-10.112-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.112&CDS=1-5793	YER172C, YGR271W
OG0000103	augustus_masked-scaffold_2-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.37&CDS=1-993, augustus_masked-scaffold_5-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.100&CDS=1-1485	YBR002C, YMR101C
OG0000104	augustus_masked-scaffold_2-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.28&CDS=1-2127, augustus_masked-scaffold_6-processed-gene-11.149-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.149&CDS=1-2664	YCL039W, YCR057C
OG0000105	augustus_masked-scaffold_2-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.19&CDS=1-4638, augustus_masked-scaffold_7-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.2&CDS=1-2295	YJL095W, YLR362W
OG0000106	augustus_masked-scaffold_2-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.20&CDS=1-2781, augustus_masked-scaffold_3-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.91&CDS=1-2799	YJL098W, YKR028W
OG0000107	augustus_masked-scaffold_2-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.27&CDS=1-744, augustus_masked-scaffold_2-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.6&CDS=1-1218	YDR134C, YLR110C
OG0000108	augustus_masked-scaffold_2-processed-gene-7.40-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.40&CDS=1-2838, genemark-scaffold_5-processed-gene-11.70-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-11.70&CDS=1-4050	YGR240C, YMR205C
OG0000109	augustus_masked-scaffold_2-processed-gene-13.98-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.98&CDS=1-2517, augustus_masked-scaffold_2-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.26&CDS=1-2181	YAR035W, YER024W
OG0000110	augustus_masked-scaffold_2-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.18&CDS=1-1242, augustus_masked-scaffold_5-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.24&CDS=1-1230	YHR179W, YPL171C
OG0000111	augustus_masked-scaffold_2-processed-gene-9.172-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.172&CDS=1-408, genemark-scaffold_2-processed-gene-17.111-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.111&CDS=1-408	YBR010W, YNL031C
OG0000112	augustus_masked-scaffold_2-processed-gene-17.23-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.23&CDS=1-309, augustus_masked-scaffold_2-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.150&CDS=1-309	YBR009C, YNL030W
OG0000113	augustus_masked-scaffold_2-processed-gene-10.25-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.25&CDS=1-1617, augustus_masked-scaffold_6-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.81&CDS=1-1662, maker-scaffold_6-snap-gene-6.2-mRNA-1_1&gene=maker-scaffold_6-snap-gene-6.2&CDS=1-3633	YBR008C
OG0000114	augustus_masked-scaffold_2-processed-gene-11.114-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.114&CDS=1-1095, augustus_masked-scaffold_6-processed-gene-9.109-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.109&CDS=1-1113	YBR249C, YDR035W
OG0000115	augustus_masked-scaffold_2-processed-gene-16.100-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.100&CDS=1-4716, augustus_masked-scaffold_3-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.106&CDS=1-4605, maker-scaffold_2-snap-gene-11.46-mRNA-1_1&gene=maker-scaffold_2-snap-gene-11.46&CDS=1-4782	YDR135C
OG0000116	augustus_masked-scaffold_2-processed-gene-11.117-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.117&CDS=1-1044, augustus_masked-scaffold_5-processed-gene-11.10-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.10&CDS=1-2511	YMR303C, YOL086C
OG0000117	augustus_masked-scaffold_2-processed-gene-11.107-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.107&CDS=1-1374, snap_masked-scaffold_2-processed-gene-15.89-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.89&CDS=1-1374	YBR118W, YPR080W
OG0000118	augustus_masked-scaffold_2-processed-gene-11.121-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.121&CDS=1-969	YLL062C, YMR321C, YPL273W
OG0000119	augustus_masked-scaffold_4-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.43&CDS=1-1371, snap_masked-scaffold_2-processed-gene-13.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.43&CDS=1-1326	YJL193W, YOR307C
OG0000120	augustus_masked-scaffold_2-processed-gene-14.29-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.29&CDS=1-672, augustus_masked-scaffold_3-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.15&CDS=1-1713	YBL054W, YER088C
OG0000121	augustus_masked-scaffold_4-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.121&CDS=1-1422, snap_masked-scaffold_2-processed-gene-15.93-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.93&CDS=1-1311	YHR135C, YNL154C
OG0000122	augustus_masked-scaffold_2-processed-gene-16.83-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.83&CDS=1-2721, augustus_masked-scaffold_4-processed-gene-14.41-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.41&CDS=1-2574	YMR266W, YOL084W
OG0000123	augustus_masked-scaffold_2-processed-gene-16.84-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.84&CDS=1-861, genemark-scaffold_7-processed-gene-5.23-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.23&CDS=1-987	YBR011C, YMR267W
OG0000124	augustus_masked-scaffold_2-processed-gene-17.7-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.7&CDS=1-1680, maker-scaffold_3-snap-gene-15.145-mRNA-1_1&gene=maker-scaffold_3-snap-gene-15.145&CDS=1-1281	YER133W, YML016C
OG0000125	augustus_masked-scaffold_2-processed-gene-17.38-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.38&CDS=1-6621, augustus_masked-scaffold_3-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.74&CDS=1-3402	YJL130C, YJR109C
OG0000126	augustus_masked-scaffold_2-processed-gene-18.26-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.26&CDS=1-831, genemark-scaffold_2-processed-gene-18.152-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.152&CDS=1-759	YCL036W, YDR514C
OG0000127	augustus_masked-scaffold_2-processed-gene-18.31-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.31&CDS=1-1584, snap_masked-scaffold_8-processed-gene-3.26-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.26&CDS=1-2247	YDL138W, YDL194W
OG0000128	maker-scaffold_3-augustus-gene-0.5-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-0.5&CDS=1-1596	YDL246C, YJR159W, YLR070C
OG0000129	augustus_masked-scaffold_6-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.124&CDS=1-1980, snap_masked-scaffold_3-processed-gene-1.129-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.129&CDS=1-2781	YER075C, YOR208W
OG0000130	maker-scaffold_3-augustus-gene-2.52-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.52&CDS=1-3318	YBL042C, YBR021W, YIR028W
OG0000131	augustus_masked-scaffold_3-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.111&CDS=1-1560, augustus_masked-scaffold_5-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.90&CDS=1-2001	YHR050W, YLR034C
OG0000132	augustus_masked-scaffold_3-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.112&CDS=1-1218, maker-scaffold_3-augustus-gene-3.40-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.40&CDS=1-3114	YGR263C, YJR002W
OG0000133	augustus_masked-scaffold_3-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.136&CDS=1-1356, augustus_masked-scaffold_8-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.12&CDS=1-1338	YKL046C, YMR238W
OG0000134	augustus_masked-scaffold_3-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.124&CDS=1-1473, augustus_masked-scaffold_4-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.93&CDS=1-996	YGL247W, YHR036W
OG0000135	maker-scaffold_3-snap-gene-9.45-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.45&CDS=1-3033	YIL120W, YIL121W, YNL065W
OG0000136	augustus_masked-scaffold_3-processed-gene-13.34-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.34&CDS=1-2805	YJL164C, YKL166C, YPL203W
OG0000137	augustus_masked-scaffold_3-processed-gene-13.25-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.25&CDS=1-2064, snap_masked-scaffold_7-processed-gene-1.22-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.22&CDS=1-2376	YKL188C, YPL147W
OG0000138	augustus_masked-scaffold_7-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.42&CDS=1-1962, snap_masked-scaffold_3-processed-gene-14.63-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.63&CDS=1-2709	YHR031C, YML061C
OG0000139	augustus_masked-scaffold_3-processed-gene-17.147-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.147&CDS=1-1269, augustus_masked-scaffold_5-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.113&CDS=1-1239	YBR078W, YDR055W
OG0000140	augustus_masked-scaffold_4-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.27&CDS=1-2658, augustus_masked-scaffold_5-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.84&CDS=1-3369	YDR471W, YHR010W
