	Arxula_adeninivorans	Saccharomyces_cerevisiae
OG0000076	augustus_masked-Arad1C-processed-gene-35.30-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-35.30&CDS=1-3090, snap_masked-Arad1D-processed-gene-9.8-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-9.8&CDS=1-3228	YIR033W, YKL020C
OG0000077	augustus_masked-Arad1C-processed-gene-36.138-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-36.138&CDS=1-4353, augustus_masked-Arad1D-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-6.85&CDS=1-4380	YDR406W, YOR153W
OG0000078	augustus_masked-Arad1D-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-1.83&CDS=1-927	YLL052C, YLL053C, YPR192W
OG0000079	augustus_masked-Arad1D-processed-gene-11.84-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-11.84&CDS=1-1341, augustus_masked-Arad1D-processed-gene-40.82-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-40.82&CDS=1-1020, genemark-Arad1D-processed-gene-17.135-mRNA-1_1&gene=genemark-Arad1D-processed-gene-17.135&CDS=1-1308	YMR020W
OG0000080	augustus_masked-Arad1D-processed-gene-13.65-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.65&CDS=1-1005	YGR192C, YJL052W, YJR009C
OG0000081	genemark-Arad1D-processed-gene-19.26-mRNA-1_1&gene=genemark-Arad1D-processed-gene-19.26&CDS=1-1665	YDR144C, YLR120C, YLR121C
OG0000082	augustus_masked-Arad1D-processed-gene-22.9-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-22.9&CDS=1-3180	YDR038C, YDR039C, YDR040C
OG0000083	augustus_masked-Arad1D-processed-gene-24.37-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-24.37&CDS=1-1020, snap_masked-Arad1D-processed-gene-31.94-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-31.94&CDS=1-708	YHR052W, YKR060W
OG0000084	augustus_masked-Arad1D-processed-gene-25.36-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-25.36&CDS=1-1011, augustus_masked-Arad1D-processed-gene-26.66-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-26.66&CDS=1-966	YCL064C, YIL167W
OG0000085	maker-Arad1D-augustus-gene-26.122-mRNA-1_1&gene=maker-Arad1D-augustus-gene-26.122&CDS=1-876	YFL059W, YMR096W, YNL333W
OG0000086	augustus_masked-Arad1D-processed-gene-26.92-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-26.92&CDS=1-693	YFL060C, YMR095C, YNL334C
OG0000087	augustus_masked-Arad1D-processed-gene-33.181-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-33.181&CDS=1-1182, augustus_masked-Arad1D-processed-gene-36.106-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-36.106&CDS=1-1260	YKL088W, YKR072C
OG0000088	augustus_masked-Arad1D-processed-gene-41.6-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-41.6&CDS=1-1554	YER056C, YER060W, YER060W-A
OG0000089	augustus_masked-Arad1A-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.26&CDS=1-1335	YBR241C, YGL104C
OG0000090	augustus_masked-Arad1A-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.29&CDS=1-1056, augustus_masked-Arad1A-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-7.92&CDS=1-936	YKL107W
OG0000091	augustus_masked-Arad1A-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.40&CDS=1-360	YDL075W, YLR406C
OG0000092	augustus_masked-Arad1A-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.94&CDS=1-1458, augustus_masked-Arad1C-processed-gene-25.0-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-25.0&CDS=1-1350	YMR155W
OG0000093	augustus_masked-Arad1A-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.105&CDS=1-2634	YDL109C, YGL144C
OG0000094	snap_masked-Arad1A-processed-gene-1.27-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-1.27&CDS=1-1428	YDL088C, YMR153W
OG0000095	augustus_masked-Arad1A-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.88&CDS=1-1671, augustus_masked-Arad1B-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.57&CDS=1-1695	YOR348C
OG0000096	augustus_masked-Arad1A-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.82&CDS=1-1512	YBR020W, YDR009W
OG0000097	augustus_masked-Arad1A-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.87&CDS=1-1161, maker-Arad1A-snap-gene-2.0-mRNA-1_1&gene=maker-Arad1A-snap-gene-2.0&CDS=1-2352	YBR207W
OG0000098	augustus_masked-Arad1A-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.79&CDS=1-2526	YDR385W, YOR133W
OG0000099	genemark-Arad1A-processed-gene-3.16-mRNA-1_1&gene=genemark-Arad1A-processed-gene-3.16&CDS=1-1371, genemark-Arad1D-processed-gene-41.144-mRNA-1_1&gene=genemark-Arad1D-processed-gene-41.144&CDS=1-1320	YGR110W
OG0000100	augustus_masked-Arad1A-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.66&CDS=1-3450, augustus_masked-Arad1A-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.79&CDS=1-3195	YOR304W
OG0000101	augustus_masked-Arad1A-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.67&CDS=1-1632, augustus_masked-Arad1D-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-4.28&CDS=1-1236	YBR239C
OG0000102	augustus_masked-Arad1A-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.69&CDS=1-1086, augustus_masked-Arad1B-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.47&CDS=1-1536	YGL215W
OG0000103	augustus_masked-Arad1A-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.75&CDS=1-2010	YJR061W, YKL201C
OG0000104	augustus_masked-Arad1A-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-4.125&CDS=1-651, snap_masked-Arad1D-processed-gene-41.74-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-41.74&CDS=1-318	YPL041C
OG0000105	augustus_masked-Arad1A-processed-gene-4.150-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-4.150&CDS=1-1176	YGR141W, YPR157W
OG0000106	augustus_masked-Arad1A-processed-gene-4.152-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-4.152&CDS=1-1638, maker-Arad1A-augustus-gene-4.4-mRNA-1_1&gene=maker-Arad1A-augustus-gene-4.4&CDS=1-2298	YDR183W
OG0000107	augustus_masked-Arad1D-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-2.87&CDS=1-627, genemark-Arad1A-processed-gene-4.47-mRNA-1_1&gene=genemark-Arad1A-processed-gene-4.47&CDS=1-696	YBL095W
OG0000108	augustus_masked-Arad1A-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-4.132&CDS=1-2007, maker-Arad1B-augustus-gene-13.2-mRNA-1_1&gene=maker-Arad1B-augustus-gene-13.2&CDS=1-1965	YPL248C
OG0000109	augustus_masked-Arad1A-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-5.79&CDS=1-1671	YBR021W, YIR028W
OG0000110	augustus_masked-Arad1A-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-5.74&CDS=1-849	YBR183W, YPL087W
OG0000111	genemark-Arad1A-processed-gene-5.140-mRNA-1_1&gene=genemark-Arad1A-processed-gene-5.140&CDS=1-3279	YJR127C, YML081W
OG0000112	augustus_masked-Arad1A-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-6.95&CDS=1-1113, augustus_masked-Arad1D-processed-gene-10.145-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-10.145&CDS=1-966	YJL183W
OG0000113	augustus_masked-Arad1A-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-6.81&CDS=1-1326	YER064C, YIL056W
OG0000114	maker-Arad1A-augustus-gene-7.112-mRNA-1_1&gene=maker-Arad1A-augustus-gene-7.112&CDS=1-1470, snap_masked-Arad1C-processed-gene-18.10-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-18.10&CDS=1-1704	YJL163C
OG0000115	augustus_masked-Arad1A-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-7.73&CDS=1-435	YGR118W, YPR132W
OG0000116	augustus_masked-Arad1A-processed-gene-7.101-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-7.101&CDS=1-801	YCR010C, YNR002C
OG0000117	augustus_masked-Arad1A-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-7.105&CDS=1-270	YDR500C, YLR185W
OG0000118	maker-Arad1A-snap-gene-7.55-mRNA-1_1&gene=maker-Arad1A-snap-gene-7.55&CDS=1-1587	YDR501W, YLR183C
OG0000119	augustus_masked-Arad1A-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.57&CDS=1-438	YEL066W, YPR193C
OG0000120	augustus_masked-Arad1A-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.62&CDS=1-912, maker-Arad1C-snap-gene-2.178-mRNA-1_1&gene=maker-Arad1C-snap-gene-2.178&CDS=1-1425	YFR032C-A
OG0000121	augustus_masked-Arad1A-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.70&CDS=1-1041	YDL048C, YLR375W
OG0000122	augustus_masked-Arad1A-processed-gene-8.97-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.97&CDS=1-1119, genemark-Arad1C-processed-gene-33.40-mRNA-1_1&gene=genemark-Arad1C-processed-gene-33.40&CDS=1-861	YKR066C
OG0000123	augustus_masked-Arad1A-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.100&CDS=1-1152	YDL022W, YOL059W
OG0000124	augustus_masked-Arad1A-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.82&CDS=1-3990, augustus_masked-Arad1D-processed-gene-37.68-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-37.68&CDS=1-4305	YIL126W
OG0000125	augustus_masked-Arad1A-processed-gene-9.86-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.86&CDS=1-1461, augustus_masked-Arad1C-processed-gene-19.90-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-19.90&CDS=1-1143	YDR036C
OG0000126	augustus_masked-Arad1A-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.88&CDS=1-813	YBL091C-A, YER120W
OG0000127	augustus_masked-Arad1A-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.77&CDS=1-1443, augustus_masked-Arad1C-processed-gene-24.102-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.102&CDS=1-1524	YBR006W
OG0000128	augustus_masked-Arad1A-processed-gene-12.71-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.71&CDS=1-894	YHR198C, YHR199C
OG0000129	maker-Arad1A-augustus-gene-12.148-mRNA-1_1&gene=maker-Arad1A-augustus-gene-12.148&CDS=1-1659	YJR130C, YML082W
OG0000130	augustus_masked-Arad1A-processed-gene-13.3-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.3&CDS=1-2091, augustus_masked-Arad1C-processed-gene-32.164-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-32.164&CDS=1-2052	YIR007W
OG0000131	augustus_masked-Arad1A-processed-gene-13.26-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.26&CDS=1-396	YBR089C-A, YPR052C
OG0000132	augustus_masked-Arad1A-processed-gene-13.27-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.27&CDS=1-1200	YOR237W, YPL145C
OG0000133	augustus_masked-Arad1A-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.13&CDS=1-2112, maker-Arad1D-augustus-gene-26.120-mRNA-1_1&gene=maker-Arad1D-augustus-gene-26.120&CDS=1-2802	YPR159W
OG0000134	augustus_masked-Arad1A-processed-gene-13.36-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.36&CDS=1-1791	YDL042C, YOL068C
OG0000135	augustus_masked-Arad1A-processed-gene-14.70-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.70&CDS=1-945	YMR183C, YPL232W
OG0000136	augustus_masked-Arad1A-processed-gene-14.89-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.89&CDS=1-579	YGR038W, YLR350W
OG0000137	augustus_masked-Arad1A-processed-gene-15.197-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.197&CDS=1-510, augustus_masked-Arad1D-processed-gene-18.28-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.28&CDS=1-510	YLR109W
OG0000138	augustus_masked-Arad1D-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-1.62&CDS=1-1194, genemark-Arad1A-processed-gene-15.11-mRNA-1_1&gene=genemark-Arad1A-processed-gene-15.11&CDS=1-1446	YPR093C
OG0000139	augustus_masked-Arad1A-processed-gene-15.253-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.253&CDS=1-1350, augustus_masked-Arad1D-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-2.94&CDS=1-1356	YJR124C
OG0000140	augustus_masked-Arad1A-processed-gene-15.214-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.214&CDS=1-510	YLR456W, YPR172W
OG0000141	augustus_masked-Arad1A-processed-gene-15.265-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.265&CDS=1-1503, augustus_masked-Arad1C-processed-gene-22.107-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.107&CDS=1-1578	YMR110C
OG0000142	augustus_masked-Arad1A-processed-gene-15.229-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.229&CDS=1-999, genemark-Arad1D-processed-gene-23.10-mRNA-1_1&gene=genemark-Arad1D-processed-gene-23.10&CDS=1-930	YOR049C
OG0000143	augustus_masked-Arad1A-processed-gene-15.271-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.271&CDS=1-2049, augustus_masked-Arad1D-processed-gene-38.3-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-38.3&CDS=1-2007	YML123C
OG0000144	augustus_masked-Arad1D-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-1.96&CDS=1-987, genemark-Arad1A-processed-gene-15.85-mRNA-1_1&gene=genemark-Arad1A-processed-gene-15.85&CDS=1-1548	YCL039W
OG0000145	augustus_masked-Arad1A-processed-gene-15.239-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.239&CDS=1-3414	YKL068W, YMR047C
OG0000146	augustus_masked-Arad1A-processed-gene-15.278-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.278&CDS=1-2259	YLR031W, YMR124W
OG0000147	augustus_masked-Arad1A-processed-gene-15.241-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.241&CDS=1-2529	YER066W, YFL009W
OG0000148	augustus_masked-Arad1B-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.41&CDS=1-3171	YKL050C, YMR031C
OG0000149	augustus_masked-Arad1B-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.46&CDS=1-1827, augustus_masked-Arad1D-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-1.69&CDS=1-1566	YKL043W
OG0000150	maker-Arad1B-augustus-gene-0.37-mRNA-1_1&gene=maker-Arad1B-augustus-gene-0.37&CDS=1-627	YER031C, YGL210W
OG0000151	augustus_masked-Arad1B-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.50&CDS=1-1323	YDR151C, YLR136C
OG0000152	augustus_masked-Arad1B-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.70&CDS=1-1353	YER027C, YGL208W
OG0000153	augustus_masked-Arad1B-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.75&CDS=1-1641	YIR031C, YNL117W
OG0000154	augustus_masked-Arad1B-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.66&CDS=1-1077	YEL006W, YIL006W
OG0000155	augustus_masked-Arad1B-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.65&CDS=1-1689, augustus_masked-Arad1D-processed-gene-29.101-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-29.101&CDS=1-1551	YCR008W
OG0000156	augustus_masked-Arad1B-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.69&CDS=1-918	YHR133C, YNL156C
OG0000157	augustus_masked-Arad1B-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.94&CDS=1-414	YHL001W, YKL006W
OG0000158	augustus_masked-Arad1B-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.95&CDS=1-1668	YLL012W, YLR020C
OG0000159	genemark-Arad1B-processed-gene-3.113-mRNA-1_1&gene=genemark-Arad1B-processed-gene-3.113&CDS=1-186	YLR287C-A, YOR182C
OG0000160	augustus_masked-Arad1B-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.31&CDS=1-315, augustus_masked-Arad1D-processed-gene-24.55-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-24.55&CDS=1-297	YNL322C
OG0000161	augustus_masked-Arad1B-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.44&CDS=1-1329, augustus_masked-Arad1C-processed-gene-13.126-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-13.126&CDS=1-1380	YOL137W
OG0000162	snap_masked-Arad1B-processed-gene-3.76-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-3.76&CDS=1-1014	YCL036W, YDR514C
OG0000163	augustus_masked-Arad1B-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.12&CDS=1-942, snap_masked-Arad1B-processed-gene-15.96-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-15.96&CDS=1-954	YPL118W
OG0000164	genemark-Arad1B-processed-gene-4.138-mRNA-1_1&gene=genemark-Arad1B-processed-gene-4.138&CDS=1-930	YCL050C, YDR530C
OG0000165	augustus_masked-Arad1B-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.53&CDS=1-1923	YCR026C, YEL016C
OG0000166	augustus_masked-Arad1B-processed-gene-11.55-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-11.55&CDS=1-4524, augustus_masked-Arad1B-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.30&CDS=1-2352	YPL242C
OG0000167	augustus_masked-Arad1B-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.129&CDS=1-1629, augustus_masked-Arad1C-processed-gene-29.96-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-29.96&CDS=1-1632	YIL166C
OG0000168	augustus_masked-Arad1B-processed-gene-5.157-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.157&CDS=1-849	YIL114C, YNL055C
OG0000169	augustus_masked-Arad1B-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.138&CDS=1-3474	YAR042W, YDL019C
OG0000170	augustus_masked-Arad1B-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.41&CDS=1-2217	YGR056W, YLR357W
OG0000171	augustus_masked-Arad1B-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.22&CDS=1-3030, augustus_masked-Arad1C-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-8.19&CDS=1-3243	YPR022C
OG0000172	maker-Arad1B-augustus-gene-7.158-mRNA-1_1&gene=maker-Arad1B-augustus-gene-7.158&CDS=1-2802	YBR172C, YPL105C
OG0000173	maker-Arad1B-augustus-gene-7.160-mRNA-1_1&gene=maker-Arad1B-augustus-gene-7.160&CDS=1-3717	YMR237W, YOR299W
OG0000174	genemark-Arad1B-processed-gene-8.15-mRNA-1_1&gene=genemark-Arad1B-processed-gene-8.15&CDS=1-1836	YGR241C, YHR161C
OG0000175	augustus_masked-Arad1B-processed-gene-8.143-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-8.143&CDS=1-897	YDR368W, YOR120W
OG0000176	augustus_masked-Arad1B-processed-gene-9.81-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-9.81&CDS=1-1551	YDR200C, YLR238W
OG0000177	augustus_masked-Arad1B-processed-gene-15.120-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-15.120&CDS=1-912, augustus_masked-Arad1B-processed-gene-9.116-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-9.116&CDS=1-873	YGR060W
OG0000178	augustus_masked-Arad1B-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-9.90&CDS=1-1692, augustus_masked-Arad1D-processed-gene-13.68-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.68&CDS=1-1725	YDL174C
OG0000179	augustus_masked-Arad1B-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-9.91&CDS=1-927	YBR104W, YPR058W
OG0000180	augustus_masked-Arad1B-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-9.121&CDS=1-1272	YDR247W, YPL026C
OG0000181	augustus_masked-Arad1B-processed-gene-10.117-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-10.117&CDS=1-1797, augustus_masked-Arad1C-processed-gene-30.14-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-30.14&CDS=1-2655	YKR009C
OG0000182	augustus_masked-Arad1B-processed-gene-11.54-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-11.54&CDS=1-2148	YBR169C, YPL106C
OG0000183	augustus_masked-Arad1B-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-11.87&CDS=1-459	YDR450W, YML026C
OG0000184	genemark-Arad1B-processed-gene-11.40-mRNA-1_1&gene=genemark-Arad1B-processed-gene-11.40&CDS=1-864	YER028C, YGL209W
OG0000185	augustus_masked-Arad1B-processed-gene-11.99-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-11.99&CDS=1-2247	YKL072W, YMR053C
OG0000186	augustus_masked-Arad1D-processed-gene-15.46-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.46&CDS=1-2538, maker-Arad1B-augustus-gene-11.173-mRNA-1_1&gene=maker-Arad1B-augustus-gene-11.173&CDS=1-2559	YOR270C
OG0000187	snap_masked-Arad1B-processed-gene-11.141-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-11.141&CDS=1-975	YDR348C, YHR097C
OG0000188	augustus_masked-Arad1D-processed-gene-33.176-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-33.176&CDS=1-1041, snap_masked-Arad1B-processed-gene-13.111-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-13.111&CDS=1-1008	YLL056C
OG0000189	augustus_masked-Arad1B-processed-gene-13.73-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-13.73&CDS=1-990	YBR066C, YDR043C
OG0000190	augustus_masked-Arad1B-processed-gene-13.93-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-13.93&CDS=1-654, augustus_masked-Arad1B-processed-gene-18.19-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-18.19&CDS=1-654	YMR202W
OG0000191	genemark-Arad1B-processed-gene-14.9-mRNA-1_1&gene=genemark-Arad1B-processed-gene-14.9&CDS=1-543	YGR273C, YMR295C
OG0000192	augustus_masked-Arad1B-processed-gene-14.66-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-14.66&CDS=1-1194	YAL034C, YOR338W
OG0000193	augustus_masked-Arad1B-processed-gene-14.92-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-14.92&CDS=1-429	YDL083C, YMR143W
OG0000194	augustus_masked-Arad1B-processed-gene-15.105-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-15.105&CDS=1-3888	YHR155W, YNL257C
OG0000195	augustus_masked-Arad1B-processed-gene-15.108-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-15.108&CDS=1-2514	YBR294W, YLR092W
OG0000196	augustus_masked-Arad1B-processed-gene-15.135-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-15.135&CDS=1-3231	YJR091C, YPR042C
OG0000197	augustus_masked-Arad1B-processed-gene-15.119-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-15.119&CDS=1-1410	YGR108W, YPR119W
OG0000198	augustus_masked-Arad1B-processed-gene-15.122-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-15.122&CDS=1-1407	YLR260W, YOR171C
