	Naumovozyma_castellii	Saccharomyces_cerevisiae
OG0000071	augustus_masked-HE576752-processed-gene-28.103-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-28.103&CDS=1-597, genemark-HE576756-processed-gene-5.125-mRNA-1_1&gene=genemark-HE576756-processed-gene-5.125&CDS=1-597	YBL072C, YER102W
OG0000072	augustus_masked-HE576759-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-0.104&CDS=1-561, genemark-HE576752-processed-gene-29.98-mRNA-1_1&gene=genemark-HE576752-processed-gene-29.98&CDS=1-615	YLR456W, YPR172W
OG0000073	augustus_masked-HE576759-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-0.84&CDS=1-1002, snap_masked-HE576752-processed-gene-29.64-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-29.64&CDS=1-930	YLR457C, YPR174C
OG0000074	augustus_masked-HE576753-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-1.78&CDS=1-1011, augustus_masked-HE576753-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-4.28&CDS=1-1008, augustus_masked-HE576754-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-1.53&CDS=1-1008	YCR021C
OG0000075	augustus_masked-HE576753-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-2.124&CDS=1-2922, augustus_masked-HE576754-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-0.53&CDS=1-6516	YML111W, YMR275C
OG0000076	augustus_masked-HE576753-processed-gene-2.162-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-2.162&CDS=1-480, augustus_masked-HE576754-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.48&CDS=1-483	YOR226C, YPL135W
OG0000077	maker-HE576754-snap-gene-3.106-mRNA-1_1&gene=maker-HE576754-snap-gene-3.106&CDS=1-3702, snap_masked-HE576753-processed-gene-2.24-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-2.24&CDS=1-2181	YOR233W, YPL141C
OG0000078	augustus_masked-HE576753-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-2.165&CDS=1-321, augustus_masked-HE576754-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.117&CDS=1-321	YOR234C, YPL143W
OG0000079	augustus_masked-HE576753-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.149&CDS=1-708, augustus_masked-HE576754-processed-gene-3.154-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.154&CDS=1-705	YBR181C, YPL090C
OG0000080	augustus_masked-HE576753-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-3.158&CDS=1-786, snap_masked-HE576754-processed-gene-3.104-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-3.104&CDS=1-777	YBR197C, YPL077C
OG0000081	augustus_masked-HE576753-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.45&CDS=1-1989, maker-HE576753-augustus-gene-9.3-mRNA-1_1&gene=maker-HE576753-augustus-gene-9.3&CDS=1-2214	YDR107C, YLR083C
OG0000082	augustus_masked-HE576753-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.51&CDS=1-711, augustus_masked-HE576753-processed-gene-9.43-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-9.43&CDS=1-1710	YDR098C, YER175C
OG0000083	augustus_masked-HE576753-processed-gene-8.59-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-8.59&CDS=1-4656, genemark-HE576753-processed-gene-10.6-mRNA-1_1&gene=genemark-HE576753-processed-gene-10.6&CDS=1-13890	YGL195W, YGL197W
OG0000084	augustus_masked-HE576753-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-10.89&CDS=1-8829, augustus_masked-HE576760-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-4.85&CDS=1-9075	YBR140C, YOL081W
OG0000085	genemark-HE576758-processed-gene-6.147-mRNA-1_1&gene=genemark-HE576758-processed-gene-6.147&CDS=1-1515, maker-HE576753-augustus-gene-11.55-mRNA-1_1&gene=maker-HE576753-augustus-gene-11.55&CDS=1-2508	YIL085C, YNL029C
OG0000086	augustus_masked-HE576753-processed-gene-11.164-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-11.164&CDS=1-2169, augustus_masked-HE576758-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-7.81&CDS=1-1983	YIL095W, YNL020C
OG0000087	augustus_masked-HE576755-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-1.30&CDS=1-573, genemark-HE576753-processed-gene-12.114-mRNA-1_1&gene=genemark-HE576753-processed-gene-12.114&CDS=1-573	YGL147C, YNL067W
OG0000088	augustus_masked-HE576753-processed-gene-12.61-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-12.61&CDS=1-1869, genemark-HE576758-processed-gene-4.151-mRNA-1_1&gene=genemark-HE576758-processed-gene-4.151&CDS=1-1893	YNL095C, YOR092W
OG0000089	augustus_masked-HE576753-processed-gene-13.71-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-13.71&CDS=1-1875, augustus_masked-HE576758-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-4.91&CDS=1-1788	YHR117W, YNL121C
OG0000090	augustus_masked-HE576753-processed-gene-16.143-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-16.143&CDS=1-411, augustus_masked-HE576760-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-5.97&CDS=1-414	YCR031C, YJL191W
OG0000091	augustus_masked-HE576753-processed-gene-16.170-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-16.170&CDS=1-615	YCL067C, YCR039C, YCR096C
OG0000092	augustus_masked-HE576754-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.10&CDS=1-1230, augustus_masked-HE576759-processed-gene-5.213-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-5.213&CDS=1-1209	YKL081W, YPL048W
OG0000093	augustus_masked-HE576754-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.60&CDS=1-1860	YLR237W, YOR071C, YOR192C
OG0000094	augustus_masked-HE576760-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-4.61&CDS=1-2322, genemark-HE576754-processed-gene-7.103-mRNA-1_1&gene=genemark-HE576754-processed-gene-7.103&CDS=1-4362	YDL028C, YOL063C
OG0000095	augustus_masked-HE576754-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-7.55&CDS=1-1167, augustus_masked-HE576760-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-3.149&CDS=1-1185	YDL022W, YOL059W
OG0000096	augustus_masked-HE576754-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-7.70&CDS=1-1671	YOL055C, YPL258C, YPR121W
OG0000097	augustus_masked-HE576754-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-7.71&CDS=1-3624, maker-HE576760-snap-gene-3.60-mRNA-1_1&gene=maker-HE576760-snap-gene-3.60&CDS=1-5607	YAR035W, YAR042W
OG0000098	augustus_masked-HE576754-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-10.140&CDS=1-1236, genemark-HE576758-processed-gene-1.114-mRNA-1_1&gene=genemark-HE576758-processed-gene-1.114&CDS=1-2127	YDR263C, YOR033C
OG0000099	augustus_masked-HE576755-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-0.5&CDS=1-1839, genemark-HE576758-processed-gene-2.25-mRNA-1_1&gene=genemark-HE576758-processed-gene-2.25&CDS=1-1839	YDL229W, YNL209W
OG0000100	augustus_masked-HE576758-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-3.30&CDS=1-873, maker-HE576755-augustus-gene-0.89-mRNA-1_1&gene=maker-HE576755-augustus-gene-0.89&CDS=1-1512	YDL213C, YNL180C
OG0000101	augustus_masked-HE576755-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-0.13&CDS=1-318, maker-HE576758-augustus-gene-3.0-mRNA-1_1&gene=maker-HE576758-augustus-gene-3.0&CDS=1-318	YHR141C, YNL162W
OG0000102	augustus_masked-HE576755-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-3.61&CDS=1-2088, augustus_masked-HE576757-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.54&CDS=1-1422	YGR221C, YHR149C
OG0000103	augustus_masked-HE576755-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-4.14&CDS=1-1119, augustus_masked-HE576756-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.146&CDS=1-1065	YGR279C, YMR305C
OG0000104	augustus_masked-HE576757-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.87&CDS=1-1815, genemark-HE576755-processed-gene-4.126-mRNA-1_1&gene=genemark-HE576755-processed-gene-4.126&CDS=1-1938	YLR260W, YOR171C
OG0000105	augustus_masked-HE576755-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-5.116&CDS=1-1782, augustus_masked-HE576757-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.110&CDS=1-2745, snap_masked-HE576755-processed-gene-4.80-mRNA-1_1&gene=snap_masked-HE576755-processed-gene-4.80&CDS=1-1737	YOR178C
OG0000106	augustus_masked-HE576755-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-6.121&CDS=1-3528, maker-HE576759-augustus-gene-2.51-mRNA-1_1&gene=maker-HE576759-augustus-gene-2.51&CDS=1-4902	YBR218C, YGL062W
OG0000107	augustus_masked-HE576755-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-6.125&CDS=1-1998, augustus_masked-HE576759-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-2.146&CDS=1-1989	YBR216C, YGL060W
OG0000108	augustus_masked-HE576755-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-7.3&CDS=1-1209, augustus_masked-HE576759-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-1.139&CDS=1-1053	YGL082W, YPL191C
OG0000109	snap_masked-HE576755-processed-gene-8.84-mRNA-1_1&gene=snap_masked-HE576755-processed-gene-8.84&CDS=1-1851, snap_masked-HE576758-processed-gene-1.47-mRNA-1_1&gene=snap_masked-HE576758-processed-gene-1.47&CDS=1-1824	YMR198W, YPL253C
OG0000110	augustus_masked-HE576758-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-4.74&CDS=1-1662, genemark-HE576755-processed-gene-8.191-mRNA-1_1&gene=genemark-HE576755-processed-gene-8.191&CDS=1-1674	YIR031C, YNL117W
OG0000111	augustus_masked-HE576758-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-1.95&CDS=1-1143, snap_masked-HE576755-processed-gene-8.152-mRNA-1_1&gene=snap_masked-HE576755-processed-gene-8.152&CDS=1-663, snap_masked-HE576760-processed-gene-5.161-mRNA-1_1&gene=snap_masked-HE576760-processed-gene-5.161&CDS=1-2397	YDL037C
OG0000112	augustus_masked-HE576756-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-0.50&CDS=1-1458, augustus_masked-HE576757-processed-gene-7.101-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-7.101&CDS=1-1458	YFR053C, YGL253W
OG0000113	augustus_masked-HE576756-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-1.75&CDS=1-1860, augustus_masked-HE576757-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-7.109&CDS=1-1902	YGR138C, YPR156C
OG0000114	augustus_masked-HE576756-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-3.106&CDS=1-2259, genemark-HE576761-processed-gene-0.74-mRNA-1_1&gene=genemark-HE576761-processed-gene-0.74&CDS=1-2550	YFL042C, YLR072W
OG0000115	augustus_masked-HE576756-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.85&CDS=1-1557, augustus_masked-HE576759-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-0.83&CDS=1-1488	YDL178W, YEL071W
OG0000116	augustus_masked-HE576760-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-1.79&CDS=1-2274, snap_masked-HE576757-processed-gene-1.108-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-1.108&CDS=1-1761	YIR016W, YOL036W
OG0000117	augustus_masked-HE576757-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.80&CDS=1-4200, augustus_masked-HE576760-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-1.61&CDS=1-4098	YIL013C, YOR011W
OG0000118	augustus_masked-HE576757-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-3.120&CDS=1-4146, augustus_masked-HE576760-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-0.12&CDS=1-3246	YAL017W, YOL045W
OG0000119	augustus_masked-HE576757-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-3.124&CDS=1-2334, snap_masked-HE576760-processed-gene-0.65-mRNA-1_1&gene=snap_masked-HE576760-processed-gene-0.65&CDS=1-1677	YAL027W, YOR324C
OG0000120	augustus_masked-HE576757-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-6.8&CDS=1-3378, genemark-HE576759-processed-gene-3.18-mRNA-1_1&gene=genemark-HE576759-processed-gene-3.18&CDS=1-2328	YDR352W, YHR103W
OG0000121	augustus_masked-HE576759-processed-gene-5.226-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-5.226&CDS=1-903	YFL059W, YMR096W, YNL333W
OG0000122	augustus_masked-HE576759-processed-gene-5.173-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-5.173&CDS=1-645	YFL060C, YMR095C, YNL334C
OG0000123	augustus_masked-HE576760-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-1.78&CDS=1-756, augustus_masked-HE576760-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-1.80&CDS=1-555	YER011W, YOR010C
OG0000124	augustus_masked-HE576752-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-0.19&CDS=1-1161, snap_masked-HE576753-processed-gene-16.70-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-16.70&CDS=1-1146	YLR180W
OG0000125	augustus_masked-HE576752-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-0.20&CDS=1-267	YDR500C, YLR185W
OG0000126	augustus_masked-HE576752-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-2.0&CDS=1-651	YGL135W, YPL220W
OG0000127	augustus_masked-HE576752-processed-gene-16.39-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-16.39&CDS=1-642, augustus_masked-HE576752-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-2.10&CDS=1-642	YCR020C
OG0000128	augustus_masked-HE576752-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-2.15&CDS=1-2064, augustus_masked-HE576757-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-4.47&CDS=1-2040	YHR042W
OG0000129	augustus_masked-HE576752-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-2.34&CDS=1-1413	YHR043C, YHR044C
OG0000130	augustus_masked-HE576752-processed-gene-3.160-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-3.160&CDS=1-2364, augustus_masked-HE576752-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.111&CDS=1-2340	YGL009C
OG0000131	snap_masked-HE576752-processed-gene-3.80-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-3.80&CDS=1-465	YGL031C, YGR148C
OG0000132	augustus_masked-HE576752-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-4.109&CDS=1-381	YGR034W, YLR344W
OG0000133	augustus_masked-HE576752-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.51&CDS=1-1977, snap_masked-HE576752-processed-gene-4.66-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-4.66&CDS=1-1584	YGR041W
OG0000134	augustus_masked-HE576752-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-4.124&CDS=1-1053, augustus_masked-HE576761-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-HE576761-processed-gene-2.13&CDS=1-1041	YLR372W
OG0000135	augustus_masked-HE576752-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-4.125&CDS=1-1434, augustus_masked-HE576761-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-HE576761-processed-gene-2.14&CDS=1-1305	YLR375W
OG0000136	augustus_masked-HE576752-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-4.130&CDS=1-1083, augustus_masked-HE576761-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-HE576761-processed-gene-2.17&CDS=1-1083	YDL055C
OG0000137	augustus_masked-HE576752-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.71&CDS=1-1743, augustus_masked-HE576761-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-HE576761-processed-gene-3.133&CDS=1-1677	YLR433C
OG0000138	augustus_masked-HE576752-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.79&CDS=1-2148, augustus_masked-HE576754-processed-gene-11.51-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-11.51&CDS=1-2127	YLL029W
OG0000139	snap_masked-HE576752-processed-gene-6.6-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.6&CDS=1-1968, snap_masked-HE576759-processed-gene-1.85-mRNA-1_1&gene=snap_masked-HE576759-processed-gene-1.85&CDS=1-2727	YCR106W
OG0000140	augustus_masked-HE576752-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.117&CDS=1-3957	YIL151C, YKR096W
OG0000141	augustus_masked-HE576752-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.101&CDS=1-2805, genemark-HE576758-processed-gene-0.9-mRNA-1_1&gene=genemark-HE576758-processed-gene-0.9&CDS=1-2592	YKR089C
OG0000142	augustus_masked-HE576752-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.70&CDS=1-4671, snap_masked-HE576752-processed-gene-7.30-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-7.30&CDS=1-2772	YLR345W
OG0000143	augustus_masked-HE576752-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.72&CDS=1-1821, augustus_masked-HE576756-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-3.108&CDS=1-1824	YBR015C
OG0000144	augustus_masked-HE576752-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.73&CDS=1-4773, augustus_masked-HE576753-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.71&CDS=1-4662	YER166W
OG0000145	augustus_masked-HE576752-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.25&CDS=1-429	YDL083C, YMR143W
OG0000146	augustus_masked-HE576752-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.12&CDS=1-612	YLR029C, YMR121C
OG0000147	augustus_masked-HE576752-processed-gene-8.13-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.13&CDS=1-1776, augustus_masked-HE576757-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-3.129&CDS=1-1773	YMR120C
OG0000148	augustus_masked-HE576757-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-3.127&CDS=1-954, maker-HE576752-augustus-gene-8.95-mRNA-1_1&gene=maker-HE576752-augustus-gene-8.95&CDS=1-954	YMR116C
OG0000149	genemark-HE576752-processed-gene-8.141-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.141&CDS=1-2067, genemark-HE576757-processed-gene-3.1-mRNA-1_1&gene=genemark-HE576757-processed-gene-3.1&CDS=1-2052	YMR108W
OG0000150	augustus_masked-HE576752-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.21&CDS=1-1707, augustus_masked-HE576757-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-3.101&CDS=1-1707	YMR105C
OG0000151	augustus_masked-HE576757-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.84&CDS=1-1575, genemark-HE576752-processed-gene-9.48-mRNA-1_1&gene=genemark-HE576752-processed-gene-9.48&CDS=1-1530	YMR070W
OG0000152	augustus_masked-HE576752-processed-gene-9.177-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.177&CDS=1-1365, augustus_masked-HE576757-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-2.53&CDS=1-1338	YHR001W
OG0000153	augustus_masked-HE576752-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.88&CDS=1-1275	YHL003C, YKL008C
OG0000154	augustus_masked-HE576752-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.90&CDS=1-1014, snap_masked-HE576752-processed-gene-11.52-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-11.52&CDS=1-2007	YNR045W
OG0000155	augustus_masked-HE576752-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.99&CDS=1-4524, augustus_masked-HE576755-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-8.23&CDS=1-5049	YNR031C
OG0000156	snap_masked-HE576752-processed-gene-10.30-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.30&CDS=1-276, snap_masked-HE576752-processed-gene-10.31-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.31&CDS=1-327	YNR034W-A
OG0000157	augustus_masked-HE576755-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-8.57&CDS=1-2244, maker-HE576752-augustus-gene-11.97-mRNA-1_1&gene=maker-HE576752-augustus-gene-11.97&CDS=1-3951	YCR091W
OG0000158	augustus_masked-HE576752-processed-gene-11.26-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-11.26&CDS=1-1170, augustus_masked-HE576756-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.6&CDS=1-1257	YKL004W
OG0000159	augustus_masked-HE576752-processed-gene-11.35-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-11.35&CDS=1-2808, augustus_masked-HE576754-processed-gene-11.17-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-11.17&CDS=1-2160	YGR162W
