	Saccharomyces_cerevisiae	Scheffersomyces_lignosus
OG0000055	YBR010W, YNL031C	-processed-gene-10.83-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-10.83&CDS=1-408, -processed-gene-6.0-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-6.0&CDS=1-408
OG0000056	YBR078W, YDR055W	-processed-gene-7.95-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-7.95&CDS=1-1245, -processed-gene-9.30-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.30&CDS=1-1272
OG0000057	YBR118W, YPR080W	-processed-gene-14.55-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.55&CDS=1-1374, -processed-gene-16.99-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.99&CDS=1-1374
OG0000058	YBR139W	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-0.8&CDS=1-1665, -processed-gene-1.60-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-1.60&CDS=1-1686, -processed-gene-11.67-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-11.67&CDS=1-1386
OG0000059	YBR205W, YDR483W, YOR099W	-processed-gene-17.86-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.86&CDS=1-1332
OG0000060	YBR245C, YOR304W	-processed-gene-0.78-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-0.78&CDS=1-3375, -processed-gene-23.69-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.69&CDS=1-3078
OG0000061	YBR249C, YDR035W	-processed-gene-12.41-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-12.41&CDS=1-1119, -processed-gene-2.6-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-2.6&CDS=1-1101
OG0000062	YBR293W, YMR088C	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002316361|dbj|BCGS01000012.1|-processed-gene-0.21&CDS=1-1707, -processed-gene-9.108-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.108&CDS=1-1764
OG0000063	YCL036W, YDR514C	-processed-gene-30.149-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.149&CDS=1-1140, -processed-gene-30.150-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.150&CDS=1-1038
OG0000064	YDL066W, YLR174W	-processed-gene-10.9-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-10.9&CDS=1-1302, -processed-gene-3.28-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.28&CDS=1-1233
OG0000065	YDL113C, YDR425W	-processed-gene-3.88-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-3.88&CDS=1-1926, -processed-gene-9.80-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.80&CDS=1-1989
OG0000066	YDL132W, YGR003W	-processed-gene-28.42-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.42&CDS=1-2319, -processed-gene-6.3-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.3&CDS=1-2556
OG0000067	YDL137W, YDL192W	-processed-gene-4.77-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.77&CDS=1-543, -processed-gene-7.48-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-7.48&CDS=1-540
OG0000068	YDL210W	-processed-gene-0.27-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-0.27&CDS=1-1704, -processed-gene-13.74-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.74&CDS=1-1635, -processed-gene-16.14-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-16.14&CDS=1-1638
OG0000069	YDR034C	-processed-gene-26.73-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-26.73&CDS=1-1593, -processed-gene-6.39-mRNA-1_1&gene=snap_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.39&CDS=1-1911, -processed-gene-6.76-mRNA-1_1&gene=augustus_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.76&CDS=1-2817
OG0000070	YDR134C, YLR110C	-processed-gene-10.11-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.11&CDS=1-600, -processed-gene-5.69-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-5.69&CDS=1-783
OG0000071	YDR242W	-processed-gene-11.24-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-11.24&CDS=1-1713, -processed-gene-13.108-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.108&CDS=1-1671, -processed-gene-9.16-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.16&CDS=1-1644
OG0000072	YDR398W, YHR196W	-processed-gene-0.25-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.25&CDS=1-2022, -processed-gene-4.78-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.78&CDS=1-1746
OG0000073	YDR466W, YDR490C	-processed-gene-10.42-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-10.42&CDS=1-3639, -snap-gene-5.34-mRNA-1_1&gene=maker-gi|1002316372|dbj|BCGS01000001.1|-snap-gene-5.34&CDS=1-2454
OG0000074	YDR476C	-processed-gene-16.39-mRNA-1_1&gene=augustus_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.39&CDS=1-681, -processed-gene-4.1-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.1&CDS=1-669, -processed-gene-4.90-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.90&CDS=1-684
OG0000075	YER004W	-processed-gene-14.26-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.26&CDS=1-684, -processed-gene-5.28-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-5.28&CDS=1-672, -processed-gene-6.106-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-6.106&CDS=1-678
OG0000076	YER017C, YMR089C	-processed-gene-1.18-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-1.18&CDS=1-2907, -processed-gene-29.14-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-29.14&CDS=1-2454
OG0000077	YER028C, YGL209W	-processed-gene-20.65-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-20.65&CDS=1-1671, -processed-gene-8.40-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-8.40&CDS=1-1827
OG0000078	YER056C, YER060W, YER060W-A	-processed-gene-14.37-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-14.37&CDS=1-1533
OG0000079	YER075C, YOR208W	-processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.16&CDS=1-2862, -processed-gene-8.132-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.132&CDS=1-1719
OG0000080	YER185W, YGR213C	-processed-gene-7.44-mRNA-1_1&gene=snap_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.44&CDS=1-987, -processed-gene-7.45-mRNA-1_1&gene=snap_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.45&CDS=1-729
OG0000081	YFL039C, YPR034W	-processed-gene-12.144-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-12.144&CDS=1-1128, -processed-gene-8.102-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.102&CDS=1-1287
OG0000082	YFL060C, YMR095C, YNL334C	-processed-gene-18.32-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-18.32&CDS=1-735
OG0000083	YFR031C-A, YIL018W	-processed-gene-11.53-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-11.53&CDS=1-762, -processed-gene-24.112-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-24.112&CDS=1-762
OG0000084	YGL205W	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-3.102&CDS=1-2166, -processed-gene-6.74-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-6.74&CDS=1-2130, -processed-gene-6.93-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-6.93&CDS=1-2181
OG0000085	YGR232W, YIL112W	-processed-gene-4.90-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.90&CDS=1-729, -processed-gene-5.19-mRNA-1_1&gene=snap_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-5.19&CDS=1-4440
OG0000086	YGR249W, YOR140W	-processed-gene-4.24-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.24&CDS=1-2994, -snap-gene-5.73-mRNA-1_1&gene=maker-gi|1002316369|dbj|BCGS01000004.1|-snap-gene-5.73&CDS=1-2019
OG0000087	YGR254W, YHR174W	-processed-gene-14.60-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.60&CDS=1-1317, -processed-gene-4.89-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.89&CDS=1-1317
OG0000088	YHL003C, YKL008C	-processed-gene-7.9-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-7.9&CDS=1-1233, -processed-gene-9.60-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.60&CDS=1-1236
OG0000089	YHL019C, YPL259C	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-1.27&CDS=1-2049, -processed-gene-16.120-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.120&CDS=1-1332
OG0000090	YHL033C, YLL045C	-processed-gene-11.56-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-11.56&CDS=1-783, -processed-gene-24.90-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-24.90&CDS=1-783
OG0000091	YHR028C, YOR219C	-processed-gene-14.95-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-14.95&CDS=1-2868, -processed-gene-6.73-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-6.73&CDS=1-2511
OG0000092	YIL035C, YOR061W	-processed-gene-1.149-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.149&CDS=1-1008, -processed-gene-14.19-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-14.19&CDS=1-984
OG0000093	YIL126W, YOR290C	-processed-gene-12.45-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-12.45&CDS=1-5028, -processed-gene-3.27-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-3.27&CDS=1-4056
OG0000094	YJL089W, YMR280C	-processed-gene-14.64-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.64&CDS=1-3168, -processed-gene-5.81-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-5.81&CDS=1-3234
OG0000095	YKL005C, YPL181W	-processed-gene-20.7-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-20.7&CDS=1-1323, -processed-gene-7.117-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-7.117&CDS=1-1974
OG0000096	YKL106W, YLR027C	-processed-gene-13.104-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.104&CDS=1-1314, -processed-gene-9.47-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.47&CDS=1-1245
OG0000097	YLL015W	-processed-gene-14.110-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.110&CDS=1-4716, -processed-gene-28.44-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.44&CDS=1-4857, -processed-gene-8.3-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-8.3&CDS=1-4524
OG0000098	YLL062C, YMR321C, YPL273W	-processed-gene-14.72-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.72&CDS=1-1008
OG0000099	YLR044C, YLR134W	-processed-gene-10.39-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.39&CDS=1-1788, -processed-gene-2.84-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-2.84&CDS=1-1695
OG0000100	YLR090W, YNL064C	-processed-gene-17.84-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.84&CDS=1-1209, -processed-gene-24.80-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-24.80&CDS=1-1368
OG0000101	YLR109W	-processed-gene-1.26-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-1.26&CDS=1-543, -processed-gene-10.25-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.25&CDS=1-531, -processed-gene-13.43-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.43&CDS=1-582
OG0000102	YLR264W, YOR167C	-processed-gene-16.87-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.87&CDS=1-201, -processed-gene-4.19-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-4.19&CDS=1-201
OG0000103	YLR286C	-processed-gene-0.22-mRNA-1_1&gene=genemark-gi|1002316361|dbj|BCGS01000012.1|-processed-gene-0.22&CDS=1-1929, -processed-gene-20.58-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-20.58&CDS=1-1539, -processed-gene-4.15-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-4.15&CDS=1-1389
OG0000104	YLR454W, YPR117W	-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-8.49&CDS=1-7785, -snap-gene-8.83-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-8.83&CDS=1-8403
OG0000105	YML019W, YOR085W	-processed-gene-0.80-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-0.80&CDS=1-1041, -processed-gene-5.11-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.11&CDS=1-1032
OG0000106	YML072C, YOR086C	-processed-gene-6.93-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-6.93&CDS=1-3612, -snap-gene-12.0-mRNA-1_1&gene=maker-gi|1002316368|dbj|BCGS01000005.1|-snap-gene-12.0&CDS=1-5028
OG0000107	YML111W, YMR275C, YNR069C	-processed-gene-14.65-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.65&CDS=1-2832
OG0000108	YMR183C, YPL232W	-processed-gene-13.19-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-13.19&CDS=1-861, -processed-gene-2.36-mRNA-1_1&gene=snap_masked-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.36&CDS=1-864
OG0000109	YMR266W, YOL084W	-processed-gene-13.7-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.7&CDS=1-2598, -processed-gene-16.85-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.85&CDS=1-2748
OG0000110	YMR303C, YOL086C	-processed-gene-14.66-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.66&CDS=1-1044, -processed-gene-5.27-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.27&CDS=1-1044
OG0000111	YNL148C, YPL174C	-processed-gene-18.78-mRNA-1_1&gene=augustus_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.78&CDS=1-2841, -processed-gene-3.4-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.4&CDS=1-753
OG0000112	YNL192W	-processed-gene-1.57-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-1.57&CDS=1-3219, -processed-gene-17.106-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-17.106&CDS=1-3027, -processed-gene-3.101-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-3.101&CDS=1-2982
OG0000113	YOR084W	-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-0.50&CDS=1-1203, -processed-gene-16.41-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.41&CDS=1-1452, -processed-gene-2.48-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-2.48&CDS=1-1149
OG0000114	YPL088W	-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.112&CDS=1-2724, -processed-gene-1.80-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.80&CDS=1-1056, -snap-gene-3.2-mRNA-1_1&gene=maker-gi|1002316365|dbj|BCGS01000008.1|-snap-gene-3.2&CDS=1-4158
OG0000115	YPL092W	-augustus-gene-18.101-mRNA-1_1&gene=maker-gi|1002316369|dbj|BCGS01000004.1|-augustus-gene-18.101&CDS=1-2061, -processed-gene-18.2-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-18.2&CDS=1-444, -processed-gene-26.75-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-26.75&CDS=1-684
OG0000116	YPR022C	-augustus-gene-20.75-mRNA-1_1&gene=maker-gi|1002316370|dbj|BCGS01000003.1|-augustus-gene-20.75&CDS=1-4065, -processed-gene-10.69-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-10.69&CDS=1-2466, -processed-gene-16.163-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.163&CDS=1-2541
OG0000117	YAL015C, YOL043C	-processed-gene-14.43-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.43&CDS=1-1104
OG0000118	YAL017W, YOL045W	-snap-gene-1.32-mRNA-1_1&gene=maker-gi|1002316364|dbj|BCGS01000009.1|-snap-gene-1.32&CDS=1-4311
OG0000119	YAL034C, YOR338W	-processed-gene-12.25-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-12.25&CDS=1-1056
OG0000120	YAL037W, YOR342C	-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-6.56&CDS=1-846
OG0000121	YAL040C	-processed-gene-22.107-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.107&CDS=1-1797, -processed-gene-23.82-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-23.82&CDS=1-1449
OG0000122	YAL056W, YOR371C	-processed-gene-10.55-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.55&CDS=1-3378
OG0000123	YAL061W	-processed-gene-15.24-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.24&CDS=1-1158, -processed-gene-17.45-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.45&CDS=1-1155
OG0000124	YAL062W, YOR375C	-processed-gene-7.87-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-7.87&CDS=1-1359
OG0000125	YAL067C	-processed-gene-15.75-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-15.75&CDS=1-1758, -processed-gene-16.42-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-16.42&CDS=1-1749
OG0000126	YAR002C-A, YGL002W	-processed-gene-1.55-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-1.55&CDS=1-714
OG0000127	YBL003C, YDR225W	-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-2.53&CDS=1-753
OG0000128	YBL011W	-processed-gene-1.78-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-1.78&CDS=1-2406, -processed-gene-30.137-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.137&CDS=1-2190
OG0000129	YBL016W	-processed-gene-2.63-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-2.63&CDS=1-1077, -processed-gene-4.5-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.5&CDS=1-1149
OG0000130	YBL027W, YBR084C-A	-processed-gene-12.69-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-12.69&CDS=1-621
OG0000131	YBL029C-A	-processed-gene-0.36-mRNA-1_1&gene=snap_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-0.36&CDS=1-681, -processed-gene-17.2-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.2&CDS=1-264
OG0000132	YBL056W, YER089C	-processed-gene-20.45-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-20.45&CDS=1-1515
OG0000133	YBL067C, YER098W	-processed-gene-0.102-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-0.102&CDS=1-2130
OG0000134	YBL068W, YER099C	-processed-gene-14.75-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.75&CDS=1-969
OG0000135	YBL072C, YER102W	-processed-gene-14.38-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-14.38&CDS=1-603
OG0000136	YBL085W, YER114C	-processed-gene-19.92-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-19.92&CDS=1-3012
OG0000137	YBL087C, YER117W	-processed-gene-9.31-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.31&CDS=1-411
OG0000138	YBL089W, YER119C	-processed-gene-10.56-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-10.56&CDS=1-1416
OG0000139	YBL091C-A, YER120W	-augustus-gene-10.119-mRNA-1_1&gene=maker-gi|1002316372|dbj|BCGS01000001.1|-augustus-gene-10.119&CDS=1-1230
OG0000140	YBL097W	-processed-gene-6.18-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.18&CDS=1-1977, -processed-gene-8.38-mRNA-1_1&gene=augustus_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-8.38&CDS=1-2553
OG0000141	YBL101C, YPR030W	-processed-gene-3.89-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-3.89&CDS=1-4101
OG0000142	YBL106C, YPR032W	-processed-gene-5.65-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-5.65&CDS=1-3243
OG0000143	YBR001C, YDR001C	-processed-gene-6.8-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.8&CDS=1-2463
OG0000144	YBR005W, YDR003W	-processed-gene-16.84-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.84&CDS=1-834
OG0000145	YBR014C, YDL010W	-processed-gene-4.52-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.52&CDS=1-630
OG0000146	YBR020W, YDR009W	-processed-gene-17.24-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.24&CDS=1-1569
OG0000147	YBR021W, YIR028W	-processed-gene-3.77-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-3.77&CDS=1-1788
OG0000148	YBR031W, YDR012W	-processed-gene-4.3-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-4.3&CDS=1-1089
OG0000149	YBR033W, YKL038W	-processed-gene-12.22-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-12.22&CDS=1-3399
OG0000150	YBR048W, YDR025W	-processed-gene-4.37-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.37&CDS=1-465
OG0000151	YBR089C-A, YPR052C	-processed-gene-14.70-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.70&CDS=1-2394
OG0000152	YBR104W, YPR058W	-processed-gene-3.78-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-3.78&CDS=1-900
