	Nadsonia_fulvescens_var_elongata	Saccharomyces_cerevisiae
OG0000068	genemark-scaffold_1-processed-gene-3.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.72&CDS=1-168, genemark-scaffold_8-processed-gene-4.69-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.69&CDS=1-168	YDL061C, YLR388W
OG0000069	snap_masked-scaffold_1-processed-gene-4.4-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.4&CDS=1-1410, snap_masked-scaffold_8-processed-gene-5.126-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.126&CDS=1-1479	YBR263W, YLR058C
OG0000070	snap_masked-scaffold_1-processed-gene-4.26-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.26&CDS=1-2409, snap_masked-scaffold_8-processed-gene-4.138-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.138&CDS=1-2187	YMR192W, YPL249C
OG0000071	maker-scaffold_1-snap-gene-4.55-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.55&CDS=1-8439, maker-scaffold_8-snap-gene-4.6-mRNA-1_1&gene=maker-scaffold_8-snap-gene-4.6&CDS=1-8808	YBR140C, YOL081W
OG0000072	augustus_masked-scaffold_1-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.83&CDS=1-2910, snap_masked-scaffold_4-processed-gene-14.14-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-14.14&CDS=1-1734	YDR160W, YPL265W
OG0000073	augustus_masked-scaffold_8-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.72&CDS=1-4701, maker-scaffold_1-snap-gene-5.93-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.93&CDS=1-4836, snap_masked-scaffold_2-processed-gene-6.130-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.130&CDS=1-4719	YDR135C
OG0000074	snap_masked-scaffold_1-processed-gene-6.9-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.9&CDS=1-1533	YER056C, YER060W, YER060W-A
OG0000075	snap_masked-scaffold_1-processed-gene-6.14-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.14&CDS=1-4788, snap_masked-scaffold_1-processed-gene-6.46-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.46&CDS=1-1803	YLR429W, YOL138C
OG0000076	snap_masked-scaffold_1-processed-gene-6.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.39&CDS=1-426, snap_masked-scaffold_8-processed-gene-6.135-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-6.135&CDS=1-426	YMR230W, YOR293W
OG0000077	snap_masked-scaffold_1-processed-gene-6.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.18&CDS=1-753, snap_masked-scaffold_8-processed-gene-6.116-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-6.116&CDS=1-708	YBR181C, YPL090C
OG0000078	augustus_masked-scaffold_1-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.45&CDS=1-3873, maker-scaffold_8-snap-gene-6.49-mRNA-1_1&gene=maker-scaffold_8-snap-gene-6.49&CDS=1-4152, snap_masked-scaffold_1-processed-gene-21.131-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.131&CDS=1-3627	YIL147C
OG0000079	genemark-scaffold_1-processed-gene-7.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.29&CDS=1-618, maker-scaffold_4-augustus-gene-5.58-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-5.58&CDS=1-648	YAL007C, YOR016C
OG0000080	maker-scaffold_1-augustus-gene-8.41-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.41&CDS=1-1635, snap_masked-scaffold_5-processed-gene-0.124-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.124&CDS=1-1602	YEL041W, YJR049C
OG0000081	snap_masked-scaffold_1-processed-gene-8.96-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.96&CDS=1-2322, snap_masked-scaffold_2-processed-gene-1.117-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.117&CDS=1-2436	YJL200C, YLR304C
OG0000082	genemark-scaffold_11-processed-gene-1.68-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.68&CDS=1-768, snap_masked-scaffold_1-processed-gene-8.128-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.128&CDS=1-783	YHL033C, YLL045C
OG0000083	snap_masked-scaffold_1-processed-gene-9.12-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.12&CDS=1-1023, snap_masked-scaffold_10-processed-gene-2.104-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.104&CDS=1-1083, snap_masked-scaffold_5-processed-gene-9.28-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.28&CDS=1-789	YML131W
OG0000084	snap_masked-scaffold_1-processed-gene-9.22-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.22&CDS=1-3057, snap_masked-scaffold_9-processed-gene-0.98-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.98&CDS=1-3342	YDR326C, YHR080C
OG0000085	snap_masked-scaffold_1-processed-gene-10.0-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.0&CDS=1-1080, snap_masked-scaffold_3-processed-gene-1.35-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.35&CDS=1-996	YBR151W, YML050W
OG0000086	snap_masked-scaffold_1-processed-gene-10.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.28&CDS=1-1470, snap_masked-scaffold_9-processed-gene-1.11-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-1.11&CDS=1-1890	YBR214W, YGL056C
OG0000087	maker-scaffold_1-snap-gene-10.52-mRNA-1_1&gene=maker-scaffold_1-snap-gene-10.52&CDS=1-2943, maker-scaffold_9-snap-gene-1.94-mRNA-1_1&gene=maker-scaffold_9-snap-gene-1.94&CDS=1-2946, snap_masked-scaffold_4-processed-gene-10.14-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.14&CDS=1-2916	YFL047W
OG0000088	maker-scaffold_1-snap-gene-11.43-mRNA-1_1&gene=maker-scaffold_1-snap-gene-11.43&CDS=1-1023, maker-scaffold_3-snap-gene-14.78-mRNA-1_1&gene=maker-scaffold_3-snap-gene-14.78&CDS=1-990	YBR189W, YPL081W
OG0000089	maker-scaffold_3-augustus-gene-14.84-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-14.84&CDS=1-1200, snap_masked-scaffold_1-processed-gene-11.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.20&CDS=1-1239	YKL081W, YPL048W
OG0000090	snap_masked-scaffold_1-processed-gene-12.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.81&CDS=1-981, snap_masked-scaffold_10-processed-gene-2.120-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.120&CDS=1-2139, snap_masked-scaffold_6-processed-gene-2.93-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.93&CDS=1-2208	YKL043W
OG0000091	augustus_masked-scaffold_3-processed-gene-13.118-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.118&CDS=1-6393, snap_masked-scaffold_1-processed-gene-12.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.101&CDS=1-3270	YDR122W, YLR096W
OG0000092	snap_masked-scaffold_1-processed-gene-13.116-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.116&CDS=1-1668, snap_masked-scaffold_4-processed-gene-9.133-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.133&CDS=1-1617	YDL085W, YMR145C
OG0000093	snap_masked-scaffold_1-processed-gene-14.116-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.116&CDS=1-2550, snap_masked-scaffold_4-processed-gene-10.5-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.5&CDS=1-3051	YDR251W, YPL032C
OG0000094	augustus_masked-scaffold_2-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.72&CDS=1-1008, snap_masked-scaffold_1-processed-gene-15.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.106&CDS=1-1176	YCL036W, YDR514C
OG0000095	maker-scaffold_18-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_18-snap-gene-0.2&CDS=1-1245, snap_masked-scaffold_1-processed-gene-15.128-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.128&CDS=1-1674	YEL063C, YNL270C
OG0000096	snap_masked-scaffold_1-processed-gene-16.0-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.0&CDS=1-1515, snap_masked-scaffold_1-processed-gene-16.19-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.19&CDS=1-1878, snap_masked-scaffold_5-processed-gene-14.249-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.249&CDS=1-1584	YKL103C
OG0000097	maker-scaffold_5-snap-gene-14.3-mRNA-1_1&gene=maker-scaffold_5-snap-gene-14.3&CDS=1-2571, snap_masked-scaffold_1-processed-gene-16.16-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.16&CDS=1-2466	YFR022W, YOR018W
OG0000098	snap_masked-scaffold_1-processed-gene-16.21-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.21&CDS=1-5766, snap_masked-scaffold_9-processed-gene-4.34-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-4.34&CDS=1-5412	YDR170C, YPR095C
OG0000099	snap_masked-scaffold_1-processed-gene-17.132-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.132&CDS=1-384, snap_masked-scaffold_5-processed-gene-14.203-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.203&CDS=1-384	YGR034W, YLR344W
OG0000100	augustus_masked-scaffold_5-processed-gene-13.119-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.119&CDS=1-495, snap_masked-scaffold_1-processed-gene-18.5-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.5&CDS=1-495	YDR418W, YEL054C
OG0000101	snap_masked-scaffold_1-processed-gene-18.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.25&CDS=1-1530, snap_masked-scaffold_5-processed-gene-13.21-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-13.21&CDS=1-2739	YJR061W, YKL201C
OG0000102	snap_masked-scaffold_1-processed-gene-19.3-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.3&CDS=1-2061, snap_masked-scaffold_4-processed-gene-0.113-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.113&CDS=1-2826	YDR389W, YOR134W
OG0000103	snap_masked-scaffold_1-processed-gene-19.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.28&CDS=1-2394, snap_masked-scaffold_5-processed-gene-12.108-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.108&CDS=1-3048	YDR505C, YLR177W
OG0000104	snap_masked-scaffold_1-processed-gene-19.31-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.31&CDS=1-3393, snap_masked-scaffold_10-processed-gene-5.24-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.24&CDS=1-3504, snap_masked-scaffold_6-processed-gene-5.98-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.98&CDS=1-3876	YBL063W
OG0000105	augustus_masked-scaffold_8-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.108&CDS=1-516, snap_masked-scaffold_1-processed-gene-20.117-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.117&CDS=1-501	YDR178W, YLR164W
OG0000106	genemark-scaffold_1-processed-gene-20.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.84&CDS=1-1953, snap_masked-scaffold_4-processed-gene-11.158-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.158&CDS=1-1662, snap_masked-scaffold_5-processed-gene-3.35-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.35&CDS=1-1626	YPR093C
OG0000107	augustus_masked-scaffold_3-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.60&CDS=1-627, maker-scaffold_1-augustus-gene-20.9-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-20.9&CDS=1-804	YCR095C, YNL099C
OG0000108	maker-scaffold_3-augustus-gene-3.106-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.106&CDS=1-2469, snap_masked-scaffold_1-processed-gene-21.112-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.112&CDS=1-2406, snap_masked-scaffold_7-processed-gene-4.16-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.16&CDS=1-2190	YLR188W
OG0000109	augustus_masked-scaffold_1-processed-gene-22.56-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.56&CDS=1-1608, genemark-scaffold_3-processed-gene-12.31-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.31&CDS=1-2007	YGL160W, YLR047C
OG0000110	maker-scaffold_8-snap-gene-5.55-mRNA-1_1&gene=maker-scaffold_8-snap-gene-5.55&CDS=1-3378, snap_masked-scaffold_1-processed-gene-22.122-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.122&CDS=1-2436	YKL197C, YLR397C
OG0000111	snap_masked-scaffold_1-processed-gene-23.207-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.207&CDS=1-642, snap_masked-scaffold_3-processed-gene-1.15-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.15&CDS=1-2037	YDR348C, YHR097C
OG0000112	maker-scaffold_1-snap-gene-23.3-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.3&CDS=1-1995, snap_masked-scaffold_2-processed-gene-14.143-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.143&CDS=1-2019, snap_masked-scaffold_4-processed-gene-2.116-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.116&CDS=1-2007	YLR153C
OG0000113	snap_masked-scaffold_1-processed-gene-23.231-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.231&CDS=1-1512, snap_masked-scaffold_2-processed-gene-2.12-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.12&CDS=1-1470	YHR135C, YNL154C
OG0000114	snap_masked-scaffold_1-processed-gene-23.232-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.232&CDS=1-360, snap_masked-scaffold_2-processed-gene-1.128-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.128&CDS=1-360	YER131W, YGL189C
OG0000115	maker-scaffold_1-snap-gene-23.11-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.11&CDS=1-3240, maker-scaffold_2-snap-gene-15.128-mRNA-1_1&gene=maker-scaffold_2-snap-gene-15.128&CDS=1-1692	YBR237W, YNL112W
OG0000116	augustus_masked-scaffold_10-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-6.90&CDS=1-1482, snap_masked-scaffold_1-processed-gene-23.289-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.289&CDS=1-1776, snap_masked-scaffold_3-processed-gene-13.45-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.45&CDS=1-1698	YAL067C
OG0000117	snap_masked-scaffold_10-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.4&CDS=1-4401, snap_masked-scaffold_6-processed-gene-8.30-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.30&CDS=1-4473, snap_masked-scaffold_7-processed-gene-6.141-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.141&CDS=1-4389	YPL058C
OG0000118	maker-scaffold_10-snap-gene-1.68-mRNA-1_1&gene=maker-scaffold_10-snap-gene-1.68&CDS=1-561, maker-scaffold_5-snap-gene-8.50-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.50&CDS=1-564	YNL096C, YOR096W
OG0000119	augustus_masked-scaffold_5-processed-gene-9.54-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.54&CDS=1-1686, maker-scaffold_10-snap-gene-2.84-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.84&CDS=1-1740, maker-scaffold_2-snap-gene-1.8-mRNA-1_1&gene=maker-scaffold_2-snap-gene-1.8&CDS=1-1497	YMR155W
OG0000120	augustus_masked-scaffold_2-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.84&CDS=1-1536, maker-scaffold_10-snap-gene-2.85-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.85&CDS=1-1683, snap_masked-scaffold_5-processed-gene-13.35-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-13.35&CDS=1-1593	YGR260W
OG0000121	maker-scaffold_5-snap-gene-9.86-mRNA-1_1&gene=maker-scaffold_5-snap-gene-9.86&CDS=1-1839, snap_masked-scaffold_10-processed-gene-2.119-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.119&CDS=1-1758, snap_masked-scaffold_5-processed-gene-5.4-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.4&CDS=1-2298	YDR338C
OG0000122	genemark-scaffold_10-processed-gene-2.40-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.40&CDS=1-1791, snap_masked-scaffold_10-processed-gene-5.30-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.30&CDS=1-1305	YGL247W, YHR036W
OG0000123	snap_masked-scaffold_10-processed-gene-3.113-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-3.113&CDS=1-555, snap_masked-scaffold_5-processed-gene-8.4-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.4&CDS=1-609	YGR273C, YMR295C
OG0000124	snap_masked-scaffold_10-processed-gene-3.115-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-3.115&CDS=1-1578, snap_masked-scaffold_5-processed-gene-8.0-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.0&CDS=1-1374	YHR115C, YNL116W
OG0000125	snap_masked-scaffold_10-processed-gene-3.116-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-3.116&CDS=1-1677, snap_masked-scaffold_5-processed-gene-14.188-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.188&CDS=1-1617	YIR031C, YNL117W
OG0000126	snap_masked-scaffold_10-processed-gene-5.13-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.13&CDS=1-4599, snap_masked-scaffold_7-processed-gene-6.122-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.122&CDS=1-5142	YJR127C, YML081W
OG0000127	snap_masked-scaffold_10-processed-gene-5.36-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.36&CDS=1-1425, snap_masked-scaffold_7-processed-gene-1.74-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.74&CDS=1-1908	YEL007W, YHR177W
OG0000128	snap_masked-scaffold_10-processed-gene-5.38-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.38&CDS=1-1200, snap_masked-scaffold_3-processed-gene-10.26-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.26&CDS=1-834	YHR052W, YKR060W
OG0000129	snap_masked-scaffold_10-processed-gene-6.133-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-6.133&CDS=1-1257, snap_masked-scaffold_5-processed-gene-14.243-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.243&CDS=1-1863	YDL048C, YLR375W
OG0000130	maker-scaffold_11-snap-gene-2.139-mRNA-1_1&gene=maker-scaffold_11-snap-gene-2.139&CDS=1-354, snap_masked-scaffold_11-processed-gene-0.107-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.107&CDS=1-354	YER056C-A, YIL052C
OG0000131	snap_masked-scaffold_11-processed-gene-0.116-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.116&CDS=1-1155, snap_masked-scaffold_4-processed-gene-2.130-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.130&CDS=1-1071, snap_masked-scaffold_9-processed-gene-4.18-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-4.18&CDS=1-1212	YDL022W
OG0000132	augustus_masked-scaffold_11-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-1.6&CDS=1-2451, snap_masked-scaffold_2-processed-gene-13.27-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.27&CDS=1-2613	YKL188C, YPL147W
OG0000133	snap_masked-scaffold_11-processed-gene-1.91-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.91&CDS=1-1053, snap_masked-scaffold_4-processed-gene-0.115-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.115&CDS=1-1002	YCL064C, YIL167W
OG0000134	augustus_masked-scaffold_7-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.48&CDS=1-1092, snap_masked-scaffold_11-processed-gene-1.102-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.102&CDS=1-1092	YBR031W, YDR012W
OG0000135	snap_masked-scaffold_11-processed-gene-2.10-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.10&CDS=1-564, snap_masked-scaffold_4-processed-gene-1.107-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.107&CDS=1-564	YBL027W, YBR084C-A
OG0000136	snap_masked-scaffold_11-processed-gene-2.25-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.25&CDS=1-1290	YMR083W, YMR303C, YOL086C
OG0000137	snap_masked-scaffold_2-processed-gene-0.86-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.86&CDS=1-738	YFL060C, YMR095C, YNL334C
OG0000138	snap_masked-scaffold_2-processed-gene-0.87-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.87&CDS=1-1146, snap_masked-scaffold_3-processed-gene-2.2-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.2&CDS=1-1158, snap_masked-scaffold_7-processed-gene-4.35-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.35&CDS=1-1143	YLL057C
OG0000139	augustus_masked-scaffold_7-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.93&CDS=1-2610, snap_masked-scaffold_2-processed-gene-1.93-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.93&CDS=1-1410	YGR188C, YJL013C
OG0000140	snap_masked-scaffold_2-processed-gene-2.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.28&CDS=1-1062, snap_masked-scaffold_6-processed-gene-8.8-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.8&CDS=1-3489	YBR289W, YLR321C
OG0000141	snap_masked-scaffold_2-processed-gene-3.120-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.120&CDS=1-2556, snap_masked-scaffold_3-processed-gene-9.46-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.46&CDS=1-1581	YML097C, YPL070W
OG0000142	augustus_masked-scaffold_2-processed-gene-16.73-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.73&CDS=1-2505, snap_masked-scaffold_2-processed-gene-5.100-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.100&CDS=1-3192	YBR073W, YGL163C
OG0000143	snap_masked-scaffold_2-processed-gene-6.111-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.111&CDS=1-450, snap_masked-scaffold_5-processed-gene-13.14-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-13.14&CDS=1-450	YGL031C, YGR148C
OG0000144	snap_masked-scaffold_2-processed-gene-6.131-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.131&CDS=1-3783, snap_masked-scaffold_5-processed-gene-13.20-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-13.20&CDS=1-3252	YJL084C, YKR021W
OG0000145	augustus_masked-scaffold_7-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.16&CDS=1-405, snap_masked-scaffold_2-processed-gene-12.19-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.19&CDS=1-432	YER074W, YIL069C
OG0000146	augustus_masked-scaffold_2-processed-gene-13.125-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.125&CDS=1-2247, augustus_masked-scaffold_7-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.141&CDS=1-2238	YAL023C, YOR321W
OG0000147	snap_masked-scaffold_2-processed-gene-13.18-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.18&CDS=1-1221, snap_masked-scaffold_4-processed-gene-15.39-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.39&CDS=1-1611	YIL085C, YNL029C
OG0000148	maker-scaffold_5-snap-gene-6.53-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.53&CDS=1-1776, snap_masked-scaffold_2-processed-gene-14.128-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.128&CDS=1-2133	YDR358W, YHR108W
OG0000149	maker-scaffold_2-augustus-gene-15.80-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-15.80&CDS=1-3027, snap_masked-scaffold_5-processed-gene-5.36-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.36&CDS=1-2931	YHR111W, YML020W
OG0000150	maker-scaffold_4-snap-gene-8.105-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.105&CDS=1-1635, snap_masked-scaffold_2-processed-gene-16.27-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.27&CDS=1-969	YMR183C, YPL232W
