	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
OG0002281	XP_011124507.1	YMR272C
OG0002282	XP_011124513.1	YGL248W
OG0002283	XP_011124517.1	YOR254C
OG0002284	XP_011124533.1	YNL153C
OG0002285	XP_011124543.1	YBR166C
OG0002286	XP_011124545.1	YDL014W
OG0002287	XP_011124548.1	YKL179C
OG0002288	XP_011124567.1	YAL020C
OG0002289	XP_011124577.1	YLR133W
OG0002290	XP_011124578.1	YJL128C
OG0002291	XP_011124580.1	YBR287W
OG0002292	XP_011124588.1	YJL190C
OG0002293	XP_011124589.1	YBR017C
OG0002294	XP_011124590.1	YJL109C
OG0002295	XP_011124594.1	YNL169C
OG0002296	XP_011124595.1	YML049C
OG0002297	XP_011124596.1	YLR347C
OG0002298	XP_011124597.1	YDR118W
OG0002299	XP_011124598.1	YKL025C
OG0002300	XP_011124599.1	YNL147W
OG0002301	XP_011124603.1	YKL047W
OG0002302	XP_011124605.1	YKL073W
OG0002303	XP_011124606.1	YLR203C
OG0002304	XP_011124609.1	YDL091C
OG0002305	XP_011124612.1	YLL008W
OG0002306	XP_011124622.1	YOR093C
OG0002307	XP_011124625.1	YFR051C
OG0002308	XP_011124634.1	YBR072W
OG0002309	XP_011124637.1	YHR058C
OG0002310	XP_011124640.1	YCL018W
OG0002311	XP_011124641.1	YGL240W
OG0002312	XP_011124646.1	YOR271C
OG0002313	XP_011124650.1	YLR277C
OG0002314	XP_011124656.1	YPR113W
OG0002315	XP_011124658.1	YOL148C
OG0002316	XP_011124661.1	YGR172C
OG0002317	XP_011124663.1	YJL104W
OG0002318	XP_011124668.1	YMR140W
OG0002319	XP_011124670.1	YDL200C
OG0002320	XP_011124674.1	YMR202W
OG0002321	XP_011124677.1	YLL019C
OG0002322	XP_011124680.1	YAL039C
OG0002323	XP_011124701.1	YGR245C
OG0002324	XP_011124710.1	YER100W
OG0002325	XP_011124715.1	YKR079C
OG0002326	XP_011124717.1	YML105C
OG0002327	XP_011124723.1	YBR231C
OG0002328	XP_011124725.1	YOR243C
OG0002329	XP_011124728.1	YGR006W
OG0002330	XP_011124729.1	YGL023C
OG0002331	XP_011124733.1	YIR038C
OG0002332	XP_011124736.1	YAL034W-A
OG0002333	XP_011124737.1	YGR163W
OG0002334	XP_011124745.1	YML080W
OG0002335	XP_011124748.1	YJR098C
OG0002336	XP_011124751.1	YNL022C
OG0002337	XP_011124752.1	YNL233W
OG0002338	XP_011124757.1	YER093C
OG0002339	XP_011124759.1	YOR150W
OG0002340	XP_011124760.1	YMR038C
OG0002341	XP_011124765.1	YCL001W
OG0002342	XP_011124770.1	YDR297W
OG0002343	XP_011124771.1	YKL056C
OG0002344	XP_011124772.1	YGL097W
OG0002345	XP_011124778.1	YPL107W
OG0002346	XP_011124779.1	YPL109C
OG0002347	XP_011124780.1	YOR141C
OG0002348	XP_011124783.1	YCR068W
OG0002349	XP_011124787.1	YPL243W
OG0002350	XP_011124788.1	YGL161C
OG0002351	XP_011124789.1	YJR017C
OG0002352	XP_011124790.1	YJR007W
OG0002353	XP_011124793.1	YOR087W
OG0002354	XP_011124794.1	YLL032C
OG0002355	XP_011124798.1	YBR213W
OG0002356	XP_011124800.1	YPR160W
OG0002357	XP_011124807.1	YLR114C
OG0002358	XP_011124811.1	YDL133W
OG0002359	XP_011124813.1	YOR136W
OG0002360	XP_011124814.1	YHR029C
OG0002361	XP_011124818.1	YDR166C
OG0002362	XP_011124820.1	YGL224C
OG0002363	XP_011124821.1	YKL052C
OG0002364	XP_011124825.1	YNL138W
OG0002365	XP_011124826.1	YNL137C
OG0002366	XP_011124827.1	YMR015C
OG0002367	XP_011124828.1	YEL032W
OG0002368	XP_011124835.1	YNL136W
OG0002369	XP_011124836.1	YML042W
OG0002370	XP_011124838.1	YFR038W
OG0002371	XP_011124844.1	YMR262W
OG0002372	XP_011124851.1	YGR110W
OG0002373	XP_011124852.1	YAL009W
OG0002374	XP_011124860.1	YAL035W
OG0002375	XP_011124863.1	YFL027C
OG0002376	XP_011124867.1	YEL021W
OG0002377	XP_011124868.1	YKR051W
OG0002378	XP_011124872.1	YDR376W
OG0002379	XP_011124874.1	YFR037C
OG0002380	XP_011124875.1	YDR484W
OG0002381	XP_011124876.1	YPL094C
OG0002382	XP_011124880.1	YPR004C
OG0002383	XP_011124888.1	YDR104C
OG0002384	XP_011124889.1	YMR035W
OG0002385	XP_011124892.1	YFL002C
OG0002386	XP_011124895.1	YMR166C
OG0002387	XP_011124899.1	YOR168W
OG0002388	XP_011124901.1	YIL065C
OG0002389	XP_011124902.1	YMR117C
OG0002390	XP_011124903.1	YNL082W
OG0002391	XP_011124905.1	YDR332W
OG0002392	XP_011124906.1	YNL084C
OG0002393	XP_011124907.1	YOR305W
OG0002394	XP_011124908.1	YFL025C
OG0002395	XP_011124913.1	YOL127W
OG0002396	XP_011124932.1	YPL157W
OG0002397	XP_011124933.1	YJL014W
OG0002398	XP_011124939.1	YFL001W
OG0002399	XP_011124944.1	YDR490C
OG0002400	XP_011124945.1	YJR033C
OG0002401	XP_011124957.1	YLL011W
OG0002402	XP_011124961.1	YDL097C
OG0002403	XP_011124965.1	YJR089W
OG0002404	XP_011124966.1	YIL101C
OG0002405	XP_011124967.1	YNL088W
OG0002406	XP_011124971.1	YHR011W
OG0002407	XP_011124972.1	YDR337W
OG0002408	XP_011124973.1	YOR310C
OG0002409	XP_011124974.1	YDL098C
OG0002410	XP_011124975.1	YDR392W
OG0002411	XP_011124976.1	YBR156C
OG0002412	XP_011124977.1	YBR155W
OG0002413	XP_011124983.1	YLR172C
OG0002414	XP_011124984.1	YNL123W
OG0002415	XP_011124985.1	YIL116W
OG0002416	XP_011124988.1	YLR447C
OG0002417	XP_011124990.1	YOR311C
OG0002418	XP_011124992.1	YJR116W
OG0002419	XP_011124998.1	YDR006C
OG0002420	XP_011125001.1	YEL064C
OG0002421	XP_011125002.1	YER107C
OG0002422	XP_011125003.1	YGL203C
OG0002423	XP_011125004.1	YGR104C
OG0002424	XP_011125010.1	YDR529C
OG0002425	XP_011125014.1	YNL168C
OG0002426	XP_011125015.1	YDL142C
OG0002427	XP_011125025.1	YOR090C
OG0002428	XP_011125026.1	YMR156C
OG0002429	XP_011125028.1	YNL024C
OG0002430	XP_011125032.1	YMR161W
OG0002431	XP_011125033.1	YNL032W
OG0002432	XP_011125035.1	YBR153W
OG0002433	XP_011125036.1	YDR204W
OG0002434	XP_011125042.1	YER142C
OG0002435	XP_011125049.1	YIL090W
OG0002436	XP_011125054.1	YBL055C
OG0002437	XP_011125056.1	YPL173W
OG0002438	XP_011125060.1	YDR254W
OG0002439	XP_011125061.1	YBR222C
OG0002440	XP_011125080.1	YNL259C
OG0002441	XP_011125081.1	YCL047C
OG0002442	XP_011125083.1	YNL027W
OG0002443	XP_011125084.1	YHL015W
OG0002444	XP_011125096.1	YGL148W
OG0002445	XP_011125097.1	YJL046W
OG0002446	XP_011125098.1	YGR264C
OG0002447	XP_011125101.1	YER091C
OG0002448	XP_011125108.1	YOR375C
OG0002449	XP_011125113.1	YGR062C
OG0002450	XP_011125114.1	YNL048W
OG0002451	XP_011125115.1	YDR333C
OG0002452	XP_011125118.1	YDR335W
OG0002453	XP_011125120.1	YFR027W
OG0002454	XP_011125129.1	YER070W
OG0002455	XP_011125130.1	YOR278W
OG0002456	XP_011125136.1	YDR074W
OG0002457	XP_011125150.1	YLR186W
OG0002458	XP_011125155.1	YPL008W
OG0002459	XP_011125160.1	YNL051W
OG0002460	XP_011125162.1	YGL033W
OG0002461	XP_011125166.1	YOR336W
OG0002462	XP_011125167.1	YDL145C
OG0002463	XP_011125169.1	YGR029W
OG0002464	XP_011125172.1	YFR052W
OG0002465	XP_011125287.1	YLR115W
OG0002466	XP_011125332.1	YPL226W
OG0002467	XP_011125334.1	YMR197C
OG0002468	XP_011125335.1	YIL106W
OG0002469	XP_011125337.1	YNR013C
OG0002470	XP_011125338.1	YKL213C
OG0002471	XP_011125341.1	YDR049W
OG0002472	XP_011125343.1	YIR005W
OG0002473	XP_011125346.1	YLR006C
OG0002474	XP_011125348.1	YPL013C
OG0002475	XP_011125350.1	YJR050W
OG0002476	XP_011125351.1	YMR097C
OG0002477	XP_011125354.1	YNL217W
OG0002478	XP_011125358.1	YGR223C
OG0002479	XP_011125360.1	YGR100W
OG0002480	XP_011125364.1	YNR008W
OG0002481	XP_011125368.1	YBR193C
OG0002482	XP_011125369.1	YHR023W
OG0002483	XP_011125371.1	YOR176W
OG0002484	XP_011125374.1	YEL060C
OG0002485	XP_011125378.1	YCR032W
OG0002486	XP_011125384.1	YJR104C
OG0002487	XP_011125386.1	YNL200C
OG0002488	XP_011125390.1	YHR068W
OG0002489	XP_011125405.1	YGL078C
OG0002490	XP_011125407.1	YHR171W
OG0002491	XP_011125416.1	YPL135W
OG0002492	XP_011125417.1	YPR011C
OG0002493	XP_011125419.1	YBR058C
OG0002494	XP_011125424.1	YJL002C
OG0002495	XP_011125428.1	YBL020W
OG0002496	XP_011125438.1	YHR193C
OG0002497	XP_011125439.1	YDR292C
OG0002498	XP_011125440.1	YAR018C
OG0002499	XP_011125443.1	YLR430W
OG0002500	XP_011125444.1	YIR031C
OG0002501	XP_011125450.1	YOR181W
OG0002502	XP_011125451.1	YLR118C
OG0002503	XP_011125452.1	YPL022W
OG0002504	XP_011125453.1	YKL016C
OG0002505	XP_011125454.1	YPL060W
OG0002506	XP_011125455.1	YER166W
OG0002507	XP_011125457.1	YOR332W
OG0002508	XP_011125461.1	YIL001W
OG0002509	XP_011125463.1	YMR260C
OG0002510	XP_011125465.1	YDL084W
OG0002511	XP_011125468.1	YNL124W
OG0002512	XP_011125469.1	YNL219C
OG0002513	XP_011125470.1	YDR473C
OG0002514	XP_011125471.1	YOR341W
OG0002515	XP_011125472.1	YDL020C
OG0002516	XP_011125473.1	YDR127W
OG0002517	XP_011125474.1	YDL058W
OG0002518	XP_011125475.1	YOR048C
OG0002519	XP_011125476.1	YGL114W
OG0002520	XP_011125477.1	YMR244W
OG0002521	XP_011125478.1	YGR046W
OG0002522	XP_011125479.1	YNL265C
OG0002523	XP_011125480.1	YGL140C
OG0002524	XP_011125482.1	YMR247C
OG0002525	XP_011125483.1	YER171W
OG0002526	XP_011125484.1	YCR030C
OG0002527	XP_011125487.1	YBL076C
OG0002528	XP_011125489.1	YDR331W
OG0002529	XP_011125493.1	YAL024C
OG0002530	XP_011125497.1	YDR373W
OG0002531	XP_011125508.1	YKL189W
OG0002532	XP_011125509.1	YBR080C
OG0002533	XP_011125510.1	YIR029W
OG0002534	XP_011125513.1	YGL079W
OG0002535	XP_011125605.1	YLR451W
OG0002536	XP_011125617.1	YDR536W
OG0002537	XP_011125642.1	YBR154C
OG0002538	XP_011125643.1	YOR198C
OG0002539	XP_011125647.1	YHR168W
OG0002540	XP_011125664.1	YDR224C
OG0002541	XP_011125673.1	YOL001W
OG0002542	XP_011125679.1	YGL207W
OG0002543	XP_011125682.1	YIL107C
OG0002544	XP_011125684.1	YLR316C
OG0002545	XP_011125687.1	YBR096W
OG0002546	XP_011125691.1	YDR117C
OG0002547	XP_011125692.1	YNR018W
OG0002548	XP_011125699.1	YOR165W
OG0002549	XP_011125712.1	YIL133C
OG0002550	XP_011125717.1	YGL242C
OG0002551	XP_011125718.1	YDR045C
OG0002552	XP_011125723.1	YLR116W
OG0002553	XP_011125727.1	YPR098C
OG0002554	XP_011125749.1	YBR074W
OG0002555	XP_011125886.1	YDR291W
OG0002556	XP_011125909.1	YER053C
OG0002557	XP_011125925.1	YGR286C
OG0002558	XP_011125955.1	YMR250W
OG0002559	XP_011125975.1	YNL275W
OG0002560	XP_011126066.1	YKL033W-A
OG0002561	XP_011126111.1	YFR028C
OG0002562	XP_011126114.1	YPR069C
OG0002563	XP_011126115.1	YGR095C
OG0002564	XP_011126117.1	YDL208W
OG0002565	XP_011126122.1	YDR175C
OG0002566	XP_011126123.1	YGL047W
OG0002567	XP_011126129.1	YPL103C
OG0002568	XP_011126140.1	YPR074C
OG0002569	XP_011126141.1	YPL050C
OG0002570	XP_011126146.1	YOR201C
OG0002571	XP_011126150.1	YDR452W
OG0002572	XP_011126163.1	YML097C
OG0002573	XP_011126164.1	YPL043W
OG0002574	XP_011126165.1	YLR321C
OG0002575	XP_011126171.1	YMR049C
OG0002576	XP_011126178.1	YML095C
OG0002577	XP_011126194.1	YOR123C
OG0002578	XP_011126195.1	YFL034C-B
OG0002579	XP_011126213.1	YLR337C
OG0002580	XP_011126224.1	YOR367W
OG0002581	XP_011126230.1	YOL097C
OG0002582	XP_011126231.1	YML012W
OG0002583	XP_011126232.1	YLR193C
OG0002584	XP_011126234.1	YOL071W
OG0002585	XP_011126236.1	YDR477W
OG0002586	XP_011126248.1	YKR031C
OG0002587	XP_011126252.1	YHR073W
OG0002588	XP_011126260.1	YMR110C
OG0002589	XP_011126261.1	YHR069C
OG0002590	XP_011126262.1	YLR420W
OG0002591	XP_011126263.1	YPL237W
OG0002592	XP_011126268.1	YDR189W
OG0002593	XP_011126276.1	YMR116C
OG0002594	XP_011126278.1	YGL244W
OG0002595	XP_011126283.1	YDL153C
OG0002596	XP_011126284.1	YLR099W-A
OG0002597	XP_011126293.1	YKL092C
OG0002598	XP_011126297.1	YBR265W
OG0002599	XP_011126298.1	YGL143C
OG0002600	XP_011126313.1	YPR035W
OG0002601	XP_011126318.1	YMR114C
OG0002602	XP_011126323.1	YKL218C
OG0002603	XP_011126336.1	YOR304W
OG0002604	XP_011126339.1	YDR293C
OG0002605	XP_011126349.1	YDL154W
OG0002606	XP_011126356.1	YNL175C
OG0002607	XP_011126368.1	YAL003W
OG0002608	XP_011126430.1	YGR101W
OG0002609	XP_011126431.1	YDL110C
OG0002610	XP_011126469.1	YGR203W
OG0002611	XP_011126473.1	YER127W
OG0002612	XP_011126485.1	YBL024W
OG0002613	XP_011126489.1	YOR100C
OG0002614	XP_011126502.1	YDR205W
OG0002615	XP_011126543.1	YLR103C
OG0002616	XP_011126546.1	YDR142C
OG0002617	XP_011126553.1	YDL064W
OG0002618	XP_011126554.1	YDL065C
OG0002619	XP_011126555.1	YOR216C
OG0002620	XP_011126559.1	YLR253W
OG0002621	XP_011126562.1	YIL093C
OG0002622	XP_011126564.1	YML098W
OG0002623	XP_011126565.1	YIL091C
OG0002624	XP_011126566.1	YDL190C
OG0002625	XP_011126569.1	YNL206C
OG0002626	XP_011126576.1	YCL009C
OG0002627	XP_011126578.1	YJL088W
OG0002628	XP_011126580.1	YJL063C
OG0002629	XP_011126582.1	YCR003W
OG0002630	XP_011126583.1	YCR002C
OG0002631	XP_011126584.1	YDR454C
OG0002632	XP_011126585.1	YML032C
OG0002633	XP_011126586.1	YJL050W
OG0002634	XP_011126588.1	YLR384C
OG0002635	XP_011126590.1	YNR043W
OG0002636	XP_011126591.1	YKL087C
OG0002637	XP_011126597.1	YGR218W
OG0002638	XP_011126600.1	YGR233C
OG0002639	XP_011126601.1	YIL157C
OG0002640	XP_011126605.1	YLL034C
OG0002641	XP_011126606.1	YMR077C
OG0002642	XP_011126610.1	YIR001C
OG0002643	XP_011126612.1	YHR004C
OG0002644	XP_011126613.1	YIL010W
OG0002645	XP_011126616.1	YGR220C
OG0002646	XP_011126618.1	YOR073W
OG0002647	XP_011126621.1	YGR178C
OG0002648	XP_011126622.1	YLR319C
OG0002649	XP_011126623.1	YOR112W
OG0002650	XP_011126626.1	YKR082W
OG0002651	XP_011126627.1	YKR071C
OG0002652	XP_011126629.1	YER072W
OG0002653	XP_011126640.1	YHR012W
OG0002654	XP_011126641.1	YFL030W
OG0002655	XP_011126644.1	YHR013C
OG0002656	XP_011126646.1	YMR132C
OG0002657	XP_011126647.1	YGL040C
OG0002658	XP_011126648.1	YPL059W
OG0002659	XP_011126651.1	YLR291C
OG0002660	XP_011126653.1	YNR041C
OG0002661	XP_011126654.1	YKL088W
OG0002662	XP_011126662.1	YHL013C
OG0002663	XP_011126676.1	YGR147C
OG0002664	XP_011126699.1	YNL305C
OG0002665	XP_011126719.1	YLR196W
OG0002666	XP_011126734.1	YJL029C
OG0002667	XP_011126739.1	YPR107C
OG0002668	XP_011126745.1	YDR047W
OG0002669	XP_011126754.1	YHR120W
OG0002670	XP_011126755.1	YPL169C
OG0002671	XP_011126760.1	YPL236C
OG0002672	XP_011126761.1	YGL131C
OG0002673	XP_011126762.1	YPR062W
OG0002674	XP_011126764.1	YBR170C
OG0002675	XP_011126772.1	YLR340W
OG0002676	XP_011126773.1	YDR032C
OG0002677	XP_011126783.1	YLR271W
OG0002678	XP_011126787.1	YBR171W
OG0002679	XP_011126788.1	YDR165W
OG0002680	XP_011126803.1	YMR288W
OG0002681	XP_011126816.1	YCL029C
OG0002682	XP_011126821.1	YJR109C
OG0002683	XP_011126822.1	YMR044W
OG0002684	XP_011126829.1	YER172C
OG0002685	XP_011126858.1	YKR023W
OG0002686	XP_011126864.1	YOL010W
OG0002687	XP_011126910.1	YJL218W
OG0002688	XP_011126917.1	YHL032C
OG0002689	XP_011126918.1	YPR024W
OG0002690	XP_011126919.1	YER165W
OG0002691	XP_011126920.1	YGL141W
OG0002692	XP_011126927.1	YLR351C
OG0002693	XP_011126929.1	YNL242W
OG0002694	XP_011126946.1	YBR282W
OG0002695	XP_011126948.1	YKR068C
OG0002696	XP_011126951.1	YER180C-A
OG0002697	XP_011126952.1	YOR296W
OG0002698	XP_011126953.1	YOR340C
OG0002699	XP_011126954.1	YDL103C
OG0002700	XP_011126956.1	YDR334W
OG0002701	XP_011126961.1	YER179W
OG0002702	XP_011126963.1	YOR352W
OG0002703	XP_011126965.1	YHR086W
OG0002704	XP_011126969.1	YER058W
OG0002705	XP_011126971.1	YJR129C
OG0002706	XP_011126974.1	YJL041W
OG0002707	XP_011126980.1	YMR276W
OG0002708	XP_011126988.1	YLR293C
OG0002709	XP_011126989.1	YIL007C
OG0002710	XP_011126991.1	YPR112C
OG0002711	XP_011126992.1	YDR424C
OG0002712	XP_011126993.1	YOR151C
OG0002713	XP_011126994.1	YOR064C
OG0002714	XP_011126997.1	YLR142W
OG0002715	XP_011126999.1	YKL035W
OG0002716	XP_011127004.1	YJR125C
OG0002717	XP_011127007.1	YMR287C
OG0002718	XP_011127008.1	YHR112C
OG0002719	XP_011127032.1	YOR194C
OG0002720	XP_011127046.1	YPL126W
OG0002721	XP_011127062.1	YHR005C-A
OG0002722	XP_011127063.1	YLR207W
OG0002723	XP_011127064.1	YLR019W
OG0002724	XP_011127066.1	YCL030C
OG0002725	XP_011127071.1	YNL035C
OG0002726	XP_011127075.1	YJL091C
OG0002727	XP_011127076.1	YOR206W
OG0002728	XP_011127081.1	YKL099C
OG0002729	XP_011127087.1	YKL193C
OG0002730	XP_011127088.1	YJR084W
OG0002731	XP_011127091.1	YOL009C
OG0002732	XP_011127092.1	YMR236W
OG0002733	XP_011127103.1	YMR165C
OG0002734	XP_011127104.1	YOR358W
OG0002735	XP_011127108.1	YDR323C
OG0002736	XP_011127110.1	YPL217C
OG0002737	XP_011127111.1	YHR138C
OG0002738	XP_011127112.1	YJR047C
OG0002739	XP_011127113.1	YJL025W
OG0002740	XP_011127115.1	YMR155W
OG0002741	XP_011127116.1	YKR034W
OG0002742	XP_011127117.1	YJL100W
OG0002743	XP_011127119.1	YDR308C
OG0002744	XP_011127124.1	YMR071C
OG0002745	XP_011127125.1	YER009W
OG0002746	XP_011127137.1	YLR144C
OG0002747	XP_011127144.1	YMR078C
OG0002748	XP_011127146.1	YKR060W
OG0002749	XP_011127150.1	YJL006C
OG0002750	XP_011127152.1	YMR024W
OG0002751	XP_011127153.1	YOR286W
OG0002752	XP_011127155.1	YNL128W
OG0002753	XP_011127156.1	YBL034C
OG0002754	XP_011127160.1	YLR078C
OG0002755	XP_011127167.1	YDL051W
OG0002756	XP_011127194.1	YDR090C
OG0002757	XP_011127203.1	YJL085W
OG0002758	XP_011127217.1	YKL195W
OG0002759	XP_011127225.1	YOR143C
OG0002760	XP_011127235.1	YNL014W
OG0002761	XP_011127243.1	YBR169C
OG0002762	XP_011127258.1	YHR077C
OG0002763	XP_011127260.1	YBR029C
OG0002764	XP_011127262.1	YPR003C
OG0002765	XP_011127284.1	YOR025W
OG0002766	XP_011127343.1	YAL048C
OG0002767	XP_011127344.1	YDR172W
OG0002768	XP_011127345.1	YJL080C
OG0002769	XP_011127350.1	YGL166W
OG0002770	XP_011127351.1	YGL164C
OG0002771	XP_011127363.1	YCL033C
OG0002772	XP_011127373.1	YER140W
OG0002773	XP_011127374.1	YBR062C
OG0002774	XP_011127383.1	YOL060C
OG0002775	XP_011127384.1	YCR054C
OG0002776	XP_011127392.1	YBR281C
OG0002777	XP_011127403.1	YER141W
OG0002778	XP_011127422.1	YBR217W
OG0002779	XP_011127429.1	YNR006W
OG0002780	XP_011127435.1	YDR037W
OG0002781	XP_011127436.1	YJL143W
OG0002782	XP_011127439.1	YIL145C
OG0002783	XP_011127445.1	YCL034W
OG0002784	XP_011127448.1	YGL256W
OG0002785	XP_011127449.1	YDL087C
OG0002786	XP_011127462.1	YBR160W
OG0002787	XP_011127468.1	YDR236C
OG0002788	XP_011127470.1	YBR239C
OG0002789	XP_011127512.1	YDR129C
OG0002790	XP_011127523.1	YLR097C
OG0002791	XP_011127536.1	YPR108W
OG0002792	XP_011127537.1	YBR236C
OG0002793	XP_011127538.1	YGR145W
OG0002794	XP_011127540.1	YDR111C
OG0002795	XP_011127548.1	YDR443C
OG0002796	XP_011127555.1	YER110C
OG0002797	XP_011127562.1	YPL006W
OG0002798	XP_011127564.1	YER004W
OG0002799	XP_011127566.1	YBR142W
OG0002800	XP_011127568.1	YML007W
OG0002801	XP_011127569.1	YLR017W
OG0002802	XP_011127579.1	YBR061C
OG0002803	XP_011127583.1	YER068W
OG0002804	XP_011127586.1	YML068W
OG0002805	XP_011127593.1	YGL094C
OG0002806	XP_011127598.1	YAL044W-A
OG0002807	XP_011127600.1	YBR279W
OG0002808	XP_011127607.1	YHR063C
OG0002809	XP_011127613.1	YFR047C
OG0002810	XP_011127616.1	YDR051C
OG0002811	XP_011127618.1	YMR284W
OG0002812	XP_011127619.1	YJL036W
OG0002813	XP_011127621.1	YPL051W
OG0002814	XP_011127624.1	YDR106W
OG0002815	XP_011127626.1	YER052C
OG0002816	XP_011127628.1	YKL134C
OG0002817	XP_011127633.1	YER152C
OG0002818	XP_011127636.1	YML110C
OG0002819	XP_011127638.1	YGR135W
OG0002820	XP_011127639.1	YCL059C
OG0002821	XP_011127647.1	YJL180C
OG0002822	XP_011127648.1	YDR305C
OG0002823	XP_011127656.1	YOL049W
OG0002824	XP_011127657.1	YNL245C
OG0002825	XP_011127658.1	YHR147C
OG0002826	XP_011127659.1	YOL064C
OG0002827	XP_011127660.1	YML127W
OG0002828	XP_011127661.1	YHR024C
OG0002829	XP_011127662.1	YDR062W
OG0002830	XP_011127663.1	YPL129W
OG0002831	XP_011127664.1	YDR002W
OG0002832	XP_011127669.1	YLL036C
OG0002833	XP_011127671.1	YJL097W
OG0002834	XP_011127672.1	YFR043C
OG0002835	XP_011127673.1	YLR147C
OG0002836	XP_011127674.1	YNL119W
OG0002837	XP_011127677.1	YNR039C
OG0002838	XP_011127679.1	YJL039C
OG0002839	XP_011127680.1	YBL088C
OG0002840	XP_011127681.1	YOR330C
OG0002841	XP_011127683.1	YOR322C
OG0002842	XP_011127690.1	YNL232W
OG0002843	XP_011127691.1	YNL231C
OG0002844	XP_011127692.1	YBL035C
OG0002845	XP_011127694.1	YNL191W
OG0002846	XP_011127695.1	YOR211C
OG0002847	XP_011127697.1	YOR386W
OG0002848	XP_011127698.1	YIR030C
OG0002849	XP_011127700.1	YPR133C
OG0002850	XP_011127701.1	YGR119C
OG0002851	XP_011127703.1	YPR135W
OG0002852	XP_011127704.1	YER015W
OG0002853	XP_011127705.1	YPR190C
OG0002854	XP_011127706.1	YPR191W
OG0002855	XP_011127707.1	YPL271W
OG0002856	XP_011127708.1	YEL053C
OG0002857	XP_011127713.1	YGR053C
OG0002858	XP_011127714.1	YAL023C
OG0002859	XP_011127716.1	YAR035W
OG0002860	XP_011127721.1	YPR129W
OG0002861	XP_011127723.1	YMR302C
OG0002862	XP_011127724.1	YDL171C
OG0002863	XP_011127731.1	YPL235W
OG0002864	XP_011127732.1	YGR048W
OG0002865	XP_011127734.1	YER169W
OG0002866	XP_011127737.1	YBL047C
OG0002867	XP_011127753.1	YDR512C
OG0002868	XP_011127755.1	YOL077C
OG0002869	XP_011127758.1	YGL243W
OG0002870	XP_011127765.1	YPL248C
OG0002871	XP_011127773.1	YOR281C
OG0002872	XP_011127774.1	YNL061W
OG0002873	XP_011127789.1	YNL062C
OG0002874	XP_011127790.1	YBL051C
OG0002875	XP_011127792.1	YLL050C
OG0002876	XP_011127793.1	YLR259C
OG0002877	XP_011127801.1	YKL216W
OG0002878	XP_011127802.1	YNL290W
OG0002879	XP_011127803.1	YBR106W
OG0002880	XP_011127804.1	YLR370C
OG0002881	XP_011127807.1	YCR033W
OG0002882	XP_011127814.1	YOR209C
OG0002883	XP_011127816.1	YGL123W
OG0002884	XP_011127817.1	YMR060C
OG0002885	XP_011127819.1	YOL139C
OG0002886	XP_011127827.1	YHL016C
OG0002887	XP_011127830.1	YBL064C
OG0002888	XP_011127831.1	YMR099C
OG0002889	XP_011127832.1	YDL008W
OG0002890	XP_011127836.1	YML030W
OG0002891	XP_011127844.1	YML035C
OG0002892	XP_011127849.1	YGL054C
OG0002893	XP_011127850.1	YLR195C
OG0002894	XP_011127851.1	YOR145C
OG0002895	XP_011127855.1	YER086W
OG0002896	XP_011127861.1	YKR016W
OG0002897	XP_011127864.1	YJL057C
OG0002898	XP_011127875.1	YAL011W
OG0002899	XP_011127877.1	YOR251C
OG0002900	XP_011127878.1	YBL063W
OG0002901	XP_011127879.1	YPL097W
OG0002902	XP_011127885.1	YOR118W
OG0002903	XP_011127887.1	YBL098W
OG0002904	XP_011127890.1	YIL144W
OG0002905	XP_011127892.1	YNL091W
OG0002906	XP_011127894.1	YDR316W
OG0002907	XP_011127896.1	YER148W
OG0002908	XP_011127897.1	YOR356W
OG0002909	XP_011127900.1	YCR093W
OG0002910	XP_011127910.1	YER044C
OG0002911	XP_011127911.1	YGL198W
OG0002912	XP_011127914.1	YJL126W
OG0002913	XP_011127917.1	YER143W
OG0002914	XP_011127920.1	YPR022C
OG0002915	XP_011127952.1	YOR245C
OG0002916	XP_011127954.1	YDL108W
OG0002917	XP_011127955.1	YHR059W
OG0002918	XP_011127963.1	YHL030W
OG0002919	XP_011127965.1	YOL076W
OG0002920	XP_011127966.1	YHR116W
OG0002921	XP_011127967.1	YPL150W
OG0002922	XP_011127978.1	YJR088C
OG0002923	XP_011127979.1	YFR050C
OG0002924	XP_011127982.1	YPL195W
OG0002925	XP_011127984.1	YOL054W
OG0002926	XP_011127985.1	YBL041W
OG0002927	XP_011127988.1	YOR215C
OG0002928	XP_011127989.1	YJL072C
OG0002929	XP_011127992.1	YGL255W
OG0002930	XP_011127993.1	YDR330W
OG0002931	XP_011127995.1	YOR131C
OG0002932	XP_011127997.1	YBR034C
OG0002933	XP_011127998.1	YLR418C
OG0002934	XP_011128007.1	YHR194W
OG0002935	XP_011128008.1	YLR242C
OG0002936	XP_011128018.1	YBL022C
OG0002937	XP_011128020.1	YLR452C
OG0002938	XP_011128021.1	YPR162C
OG0002939	XP_011128022.1	YJL071W
OG0002940	XP_011128025.1	YBR141C
OG0002941	XP_011128026.1	YBR101C
OG0002942	XP_011128027.1	YCR063W
OG0002943	XP_011128032.1	YHR187W
OG0002944	XP_011128034.1	YOR388C
OG0002945	XP_011128036.1	YLR281C
OG0002946	XP_011128037.1	YLR283W
