	Babjeviella_inositovora	Saccharomyces_cerevisiae
OG0000060	maker-scaffold_1-augustus-gene-8.134-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.134&CDS=1-201, snap_masked-scaffold_6-processed-gene-6.132-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.132&CDS=1-201	YLR264W, YOR167C
OG0000061	genemark-scaffold_1-processed-gene-9.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.14&CDS=1-1254, genemark-scaffold_10-processed-gene-2.5-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.5&CDS=1-1335	YDL131W, YDL182W
OG0000062	genemark-scaffold_1-processed-gene-11.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.77&CDS=1-573, genemark-scaffold_7-processed-gene-7.35-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.35&CDS=1-573	YGL147C, YNL067W
OG0000063	genemark-scaffold_1-processed-gene-11.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.100&CDS=1-597, genemark-scaffold_3-processed-gene-5.80-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.80&CDS=1-546, genemark-scaffold_8-processed-gene-7.11-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.11&CDS=1-1284	YIR017C
OG0000064	genemark-scaffold_1-processed-gene-12.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.87&CDS=1-1896, genemark-scaffold_15-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.30&CDS=1-2334, genemark-scaffold_3-processed-gene-10.87-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.87&CDS=1-1665	YNL101W
OG0000065	genemark-scaffold_1-processed-gene-12.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.100&CDS=1-1455, genemark-scaffold_12-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.10&CDS=1-1545, genemark-scaffold_15-processed-gene-2.34-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.34&CDS=1-1542	YKL217W
OG0000066	genemark-scaffold_1-processed-gene-13.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.35&CDS=1-1221, genemark-scaffold_1-processed-gene-23.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.79&CDS=1-1272	YLR090W, YNL064C
OG0000067	genemark-scaffold_1-processed-gene-18.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.36&CDS=1-1053, genemark-scaffold_1-processed-gene-22.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.90&CDS=1-1068, genemark-scaffold_6-processed-gene-2.7-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.7&CDS=1-1122	YBR026C
OG0000068	genemark-scaffold_1-processed-gene-19.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.6&CDS=1-990, genemark-scaffold_3-processed-gene-10.110-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.110&CDS=1-1482	YER133W, YML016C
OG0000069	genemark-scaffold_1-processed-gene-21.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.20&CDS=1-1761, genemark-scaffold_8-processed-gene-2.90-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.90&CDS=1-1656	YDR037W, YNL073W
OG0000070	genemark-scaffold_10-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.10&CDS=1-1590, genemark-scaffold_16-processed-gene-1.106-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.106&CDS=1-1590, genemark-scaffold_6-processed-gene-8.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.34&CDS=1-1524	YGR260W
OG0000071	genemark-scaffold_10-processed-gene-1.93-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.93&CDS=1-774, genemark-scaffold_7-processed-gene-7.16-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.16&CDS=1-771	YHL033C, YLL045C
OG0000072	genemark-scaffold_10-processed-gene-1.106-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.106&CDS=1-507, genemark-scaffold_12-processed-gene-2.29-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.29&CDS=1-465	YDR178W, YLR164W
OG0000073	genemark-scaffold_10-processed-gene-2.8-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.8&CDS=1-1290, genemark-scaffold_2-processed-gene-8.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.81&CDS=1-1737	YHL019C, YPL259C
OG0000074	genemark-scaffold_10-processed-gene-3.98-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.98&CDS=1-1008, genemark-scaffold_14-processed-gene-3.112-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-3.112&CDS=1-960, genemark-scaffold_3-processed-gene-0.77-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.77&CDS=1-1005	YBR053C
OG0000075	genemark-scaffold_10-processed-gene-4.114-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-4.114&CDS=1-2046, genemark-scaffold_12-processed-gene-3.245-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.245&CDS=1-1569	YDL138W, YDL194W
OG0000076	genemark-scaffold_10-processed-gene-5.27-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-5.27&CDS=1-2277, snap_masked-scaffold_8-processed-gene-3.103-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.103&CDS=1-1914	YGL178W, YLL013C
OG0000077	genemark-scaffold_17-processed-gene-0.74-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.74&CDS=1-1041, snap_masked-scaffold_11-processed-gene-0.46-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.46&CDS=1-1197	YCL037C, YDR515W
OG0000078	genemark-scaffold_11-processed-gene-0.64-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.64&CDS=1-3126, genemark-scaffold_13-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.27&CDS=1-3099, genemark-scaffold_5-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.16&CDS=1-2925	YNL192W
OG0000079	augustus_masked-scaffold_15-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.73&CDS=1-654, maker-scaffold_11-snap-gene-1.40-mRNA-1_1&gene=maker-scaffold_11-snap-gene-1.40&CDS=1-492, snap_masked-scaffold_11-processed-gene-1.86-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.86&CDS=1-621	YHR140W
OG0000080	genemark-scaffold_11-processed-gene-1.32-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.32&CDS=1-1077, genemark-scaffold_4-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.4&CDS=1-1071	YER107C, YOR026W
OG0000081	genemark-scaffold_11-processed-gene-2.89-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.89&CDS=1-3237, genemark-scaffold_13-processed-gene-2.117-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.117&CDS=1-3126	YBR245C, YOR304W
OG0000082	augustus_masked-scaffold_15-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.59&CDS=1-2316, genemark-scaffold_11-processed-gene-4.38-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-4.38&CDS=1-2283, genemark-scaffold_16-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.26&CDS=1-2145	YKL015W
OG0000083	augustus_masked-scaffold_36-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_36-processed-gene-0.5&CDS=1-1137, genemark-scaffold_2-processed-gene-5.98-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.98&CDS=1-1659, maker-scaffold_12-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_12-snap-gene-0.1&CDS=1-1575	YDL210W
OG0000084	genemark-scaffold_12-processed-gene-1.82-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.82&CDS=1-2907, genemark-scaffold_9-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.85&CDS=1-3273	YJL089W, YMR280C
OG0000085	genemark-scaffold_12-processed-gene-1.89-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.89&CDS=1-2427, genemark-scaffold_6-processed-gene-8.32-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.32&CDS=1-2565	YAR035W, YER024W
OG0000086	genemark-scaffold_12-processed-gene-2.26-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.26&CDS=1-4476, genemark-scaffold_2-processed-gene-6.24-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.24&CDS=1-4494, genemark-scaffold_4-processed-gene-8.20-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.20&CDS=1-4449	YOR153W
OG0000087	genemark-scaffold_12-processed-gene-2.7-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.7&CDS=1-2181, genemark-scaffold_18-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.87&CDS=1-2409	YER017C, YMR089C
OG0000088	genemark-scaffold_12-processed-gene-2.8-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.8&CDS=1-2337, genemark-scaffold_8-processed-gene-1.36-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.36&CDS=1-2052	YGL083W, YOR112W
OG0000089	genemark-scaffold_4-processed-gene-8.46-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.46&CDS=1-2421, maker-scaffold_12-snap-gene-3.175-mRNA-1_1&gene=maker-scaffold_12-snap-gene-3.175&CDS=1-3417	YJL098W, YKR028W
OG0000090	genemark-scaffold_13-processed-gene-1.9-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.9&CDS=1-1692, genemark-scaffold_7-processed-gene-6.4-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.4&CDS=1-2211	YNL183C, YOR267C
OG0000091	genemark-scaffold_14-processed-gene-2.76-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.76&CDS=1-1629	YOL055C, YPL258C, YPR121W
OG0000092	genemark-scaffold_15-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.27&CDS=1-2910, genemark-scaffold_7-processed-gene-3.13-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.13&CDS=1-2862	YGR240C, YMR205C
OG0000093	genemark-scaffold_15-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.20&CDS=1-1752, genemark-scaffold_5-processed-gene-8.50-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.50&CDS=1-1728, genemark-scaffold_9-processed-gene-6.82-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.82&CDS=1-1758	YKR093W
OG0000094	genemark-scaffold_3-processed-gene-9.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.19&CDS=1-2286, snap_masked-scaffold_15-processed-gene-1.110-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-1.110&CDS=1-2244	YAL023C, YGR199W
OG0000095	genemark-scaffold_17-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.76&CDS=1-2289, genemark-scaffold_8-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.18&CDS=1-1686	YBR237W, YNL112W
OG0000096	genemark-scaffold_17-processed-gene-1.28-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.28&CDS=1-1326, genemark-scaffold_9-processed-gene-6.20-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.20&CDS=1-1254, maker-scaffold_9-snap-gene-6.6-mRNA-1_1&gene=maker-scaffold_9-snap-gene-6.6&CDS=1-2310	YIL160C
OG0000097	genemark-scaffold_17-processed-gene-1.31-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.31&CDS=1-1236, genemark-scaffold_18-processed-gene-0.79-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.79&CDS=1-1329	YDL066W, YLR174W
OG0000098	genemark-scaffold_18-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.86&CDS=1-1332, genemark-scaffold_2-processed-gene-9.84-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.84&CDS=1-1605	YFL049W, YMR091C
OG0000099	genemark-scaffold_4-processed-gene-1.122-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.122&CDS=1-2826, snap_masked-scaffold_18-processed-gene-1.168-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.168&CDS=1-2922	YBR084W, YGR204W
OG0000100	genemark-scaffold_8-processed-gene-6.76-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.76&CDS=1-1590, maker-scaffold_18-snap-gene-1.2-mRNA-1_1&gene=maker-scaffold_18-snap-gene-1.2&CDS=1-1677	YLR343W, YMR307W
OG0000101	genemark-scaffold_2-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.92&CDS=1-1467, snap_masked-scaffold_3-processed-gene-10.32-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.32&CDS=1-1767	YHR050W, YLR034C
OG0000102	genemark-scaffold_2-processed-gene-1.114-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.114&CDS=1-309, genemark-scaffold_6-processed-gene-2.25-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.25&CDS=1-309	YBR009C, YNL030W
OG0000103	genemark-scaffold_2-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.96&CDS=1-408, genemark-scaffold_6-processed-gene-2.39-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.39&CDS=1-408	YBR010W, YNL031C
OG0000104	genemark-scaffold_2-processed-gene-1.120-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.120&CDS=1-2358, genemark-scaffold_5-processed-gene-6.48-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.48&CDS=1-900	YOR032C, YOR344C
OG0000105	maker-scaffold_2-snap-gene-4.53-mRNA-1_1&gene=maker-scaffold_2-snap-gene-4.53&CDS=1-3585	YBL042C, YBR021W, YIR028W
OG0000106	genemark-scaffold_2-processed-gene-5.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.87&CDS=1-1017, genemark-scaffold_4-processed-gene-0.29-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.29&CDS=1-1242	YCL064C, YIL167W
OG0000107	augustus_masked-scaffold_2-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.4&CDS=1-987	YLL062C, YMR321C, YPL273W
OG0000108	genemark-scaffold_2-processed-gene-9.91-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.91&CDS=1-3237	YDR038C, YDR039C, YDR040C
OG0000109	genemark-scaffold_8-processed-gene-7.58-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.58&CDS=1-1257, maker-scaffold_2-snap-gene-11.53-mRNA-1_1&gene=maker-scaffold_2-snap-gene-11.53&CDS=1-2253	YBR289W, YBR290W
OG0000110	genemark-scaffold_2-processed-gene-15.13-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-15.13&CDS=1-399, genemark-scaffold_6-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.16&CDS=1-399	YBL003C, YDR225W
OG0000111	genemark-scaffold_2-processed-gene-16.179-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.179&CDS=1-1740	YGR087C, YLR044C, YLR134W
OG0000112	genemark-scaffold_2-processed-gene-16.226-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.226&CDS=1-987, genemark-scaffold_6-processed-gene-4.4-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.4&CDS=1-948	YFL029C, YPL031C
OG0000113	genemark-scaffold_2-processed-gene-16.241-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.241&CDS=1-1170, genemark-scaffold_9-processed-gene-4.0-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.0&CDS=1-1200	YDL029W, YDR106W
OG0000114	genemark-scaffold_3-processed-gene-3.110-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.110&CDS=1-1749, maker-scaffold_7-snap-gene-7.3-mRNA-1_1&gene=maker-scaffold_7-snap-gene-7.3&CDS=1-1845	YDL085W, YMR145C
OG0000115	genemark-scaffold_3-processed-gene-4.105-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.105&CDS=1-990, genemark-scaffold_4-processed-gene-4.112-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.112&CDS=1-990	YML019W, YOR085W
OG0000116	maker-scaffold_3-snap-gene-7.42-mRNA-1_1&gene=maker-scaffold_3-snap-gene-7.42&CDS=1-2115	YDL246C, YJR159W, YLR070C
OG0000117	genemark-scaffold_3-processed-gene-10.85-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.85&CDS=1-1059	YJL158C, YJL160C, YKL164C
OG0000118	maker-scaffold_3-snap-gene-11.145-mRNA-1_1&gene=maker-scaffold_3-snap-gene-11.145&CDS=1-1794	YOR389W, YPL277C, YPL278C
OG0000119	genemark-scaffold_4-processed-gene-4.104-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.104&CDS=1-5271, genemark-scaffold_4-processed-gene-4.118-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.118&CDS=1-5532	YGR184C, YLR024C
OG0000120	genemark-scaffold_5-processed-gene-4.82-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.82&CDS=1-1686, genemark-scaffold_9-processed-gene-6.66-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.66&CDS=1-1659	YEL063C, YNL268W
OG0000121	genemark-scaffold_5-processed-gene-4.114-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.114&CDS=1-1230, genemark-scaffold_6-processed-gene-1.21-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.21&CDS=1-1215	YKL081W, YPL048W
OG0000122	genemark-scaffold_6-processed-gene-2.42-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.42&CDS=1-1404, genemark-scaffold_6-processed-gene-8.18-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.18&CDS=1-1341	YOL027C, YPR125W
OG0000123	genemark-scaffold_6-processed-gene-4.27-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.27&CDS=1-720	YFL060C, YMR095C, YNL334C
OG0000124	genemark-scaffold_6-processed-gene-4.7-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.7&CDS=1-885	YFL059W, YMR096W, YNL333W
OG0000125	genemark-scaffold_8-processed-gene-7.33-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.33&CDS=1-1386, genemark-scaffold_9-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.76&CDS=1-1272	YGL194C, YPR068C
OG0000126	genemark-scaffold_9-processed-gene-6.57-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.57&CDS=1-1011	YGR192C, YJL052W, YJR009C
OG0000127	genemark-scaffold_1-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.98&CDS=1-2970	YIL151C, YKR096W
OG0000128	genemark-scaffold_1-processed-gene-0.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.88&CDS=1-591	YBR189W, YPL081W
OG0000129	genemark-scaffold_1-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.90&CDS=1-2322	YGR056W, YLR357W
OG0000130	genemark-scaffold_1-processed-gene-1.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.4&CDS=1-363	YFL034C-A, YLR061W
OG0000131	genemark-scaffold_1-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.14&CDS=1-2724, genemark-scaffold_7-processed-gene-2.95-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.95&CDS=1-1164	YNR026C
OG0000132	genemark-scaffold_1-processed-gene-1.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.29&CDS=1-1398, snap_masked-scaffold_1-processed-gene-9.93-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.93&CDS=1-1269	YBR199W
OG0000133	genemark-scaffold_1-processed-gene-1.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.39&CDS=1-660	YMR233W, YOR295W
OG0000134	maker-scaffold_1-snap-gene-19.2-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.2&CDS=1-1527, maker-scaffold_1-snap-gene-2.48-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.48&CDS=1-1716	YDL206W
OG0000135	genemark-scaffold_1-processed-gene-2.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.29&CDS=1-765, genemark-scaffold_9-processed-gene-6.28-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.28&CDS=1-765	YLR441C
OG0000136	genemark-scaffold_1-processed-gene-2.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.12&CDS=1-2604	YDR251W, YPL032C
OG0000137	genemark-scaffold_1-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.16&CDS=1-414, genemark-scaffold_1-processed-gene-2.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.31&CDS=1-426	YMR002W
OG0000138	genemark-scaffold_1-processed-gene-2.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.18&CDS=1-1143	YDR253C, YPL038W
OG0000139	snap_masked-scaffold_1-processed-gene-2.127-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.127&CDS=1-468	YDR252W, YPL037C
OG0000140	genemark-scaffold_1-processed-gene-2.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.39&CDS=1-1002	YLR270W, YOR173W
OG0000141	genemark-scaffold_1-processed-gene-3.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.23&CDS=1-1788	YDR247W, YPL026C
OG0000142	genemark-scaffold_1-processed-gene-3.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.24&CDS=1-645, genemark-scaffold_1-processed-gene-3.25-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.25&CDS=1-600	YDR476C
OG0000143	genemark-scaffold_1-processed-gene-3.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.11&CDS=1-1152	YGR108W, YPR119W
OG0000144	genemark-scaffold_1-processed-gene-3.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.13&CDS=1-1188, genemark-scaffold_13-processed-gene-3.164-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-3.164&CDS=1-1245	YPL028W
OG0000145	genemark-scaffold_1-processed-gene-3.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.16&CDS=1-1452, genemark-scaffold_9-processed-gene-2.23-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.23&CDS=1-1632	YKL103C
OG0000146	genemark-scaffold_1-processed-gene-3.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.33&CDS=1-1239, maker-scaffold_4-snap-gene-3.133-mRNA-1_1&gene=maker-scaffold_4-snap-gene-3.133&CDS=1-2229	YPL123C
OG0000147	genemark-scaffold_1-processed-gene-4.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.100&CDS=1-1686	YLR273C, YOR178C
OG0000148	snap_masked-scaffold_1-processed-gene-4.13-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.13&CDS=1-468	YEL034W, YJR047C
OG0000149	genemark-scaffold_1-processed-gene-4.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.103&CDS=1-1788, genemark-scaffold_2-processed-gene-2.34-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.34&CDS=1-1797	YDR380W
OG0000150	genemark-scaffold_1-processed-gene-4.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.88&CDS=1-429	YHR141C, YNL162W
OG0000151	genemark-scaffold_1-processed-gene-4.106-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.106&CDS=1-2232	YFL004W, YPL019C
OG0000152	genemark-scaffold_1-processed-gene-4.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.96&CDS=1-2037, genemark-scaffold_5-processed-gene-5.37-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.37&CDS=1-2019	YCL057W
OG0000153	genemark-scaffold_1-processed-gene-4.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.97&CDS=1-2868	YKL068W, YMR047C
OG0000154	genemark-scaffold_1-processed-gene-5.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.13&CDS=1-2070	YHR131C, YNL144C
OG0000155	genemark-scaffold_1-processed-gene-5.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.24&CDS=1-2259	YER066W, YFL009W
OG0000156	genemark-scaffold_1-processed-gene-6.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.3&CDS=1-3696	YLR031W, YMR124W
OG0000157	genemark-scaffold_1-processed-gene-6.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.28&CDS=1-321	YGR027C, YLR333C
OG0000158	genemark-scaffold_1-processed-gene-7.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.95&CDS=1-660	YML106W, YMR271C
OG0000159	genemark-scaffold_1-processed-gene-7.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.87&CDS=1-1698	YCR048W, YNR019W
OG0000160	genemark-scaffold_1-processed-gene-8.115-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.115&CDS=1-1137	YAL034C, YOR338W
