	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
OG0000055	augustus_masked-ipo_s107-processed-gene-1.180-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-1.180&CDS=1-5178, snap_masked-ipo_s129-processed-gene-2.114-mRNA-1_1&gene=snap_masked-ipo_s129-processed-gene-2.114&CDS=1-831, snap_masked-ipo_s92-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s92-processed-gene-0.13&CDS=1-834	YLR425W
OG0000056	snap_masked-ipo_s109-processed-gene-1.4-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.4&CDS=1-1386, snap_masked-ipo_s83-processed-gene-0.172-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.172&CDS=1-1422	YJL081C, YPR034W
OG0000057	augustus_masked-ipo_s316-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ipo_s316-processed-gene-0.9&CDS=1-1917, snap_masked-ipo_s109-processed-gene-1.37-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.37&CDS=1-1305, snap_masked-ipo_s393-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_s393-processed-gene-0.9&CDS=1-1521	YLR380W
OG0000058	snap_masked-ipo_s109-processed-gene-1.82-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.82&CDS=1-1032	YCR102C, YLR460C, YNL134C
OG0000059	snap_masked-ipo_s117-processed-gene-0.113-mRNA-1_1&gene=snap_masked-ipo_s117-processed-gene-0.113&CDS=1-1410, snap_masked-ipo_s331-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ipo_s331-processed-gene-0.39&CDS=1-1467	YBR263W, YLR058C
OG0000060	snap_masked-ipo_s117-processed-gene-0.132-mRNA-1_1&gene=snap_masked-ipo_s117-processed-gene-0.132&CDS=1-2457	YML111W, YMR275C, YNR069C
OG0000061	snap_masked-ipo_s122-processed-gene-0.97-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-0.97&CDS=1-444	YBR067C, YIL011W, YOR010C
OG0000062	snap_masked-ipo_s122-processed-gene-0.131-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-0.131&CDS=1-1281, snap_masked-ipo_s68-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.29&CDS=1-339	YHR179W, YPL171C
OG0000063	snap_masked-ipo_s122-processed-gene-1.92-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-1.92&CDS=1-2721, snap_masked-ipo_s240-processed-gene-0.60-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-0.60&CDS=1-273	YDR251W, YPL032C
OG0000064	snap_masked-ipo_s122-processed-gene-2.157-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-2.157&CDS=1-342, snap_masked-ipo_s77-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.14&CDS=1-309	YGR074W, YLR147C
OG0000065	augustus_masked-ipo_s125-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-ipo_s125-processed-gene-2.127&CDS=1-3438, snap_masked-ipo_s122-processed-gene-2.147-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-2.147&CDS=1-2910	YER017C, YMR089C
OG0000066	snap_masked-ipo_s125-processed-gene-1.90-mRNA-1_1&gene=snap_masked-ipo_s125-processed-gene-1.90&CDS=1-1227, snap_masked-ipo_s454-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s454-processed-gene-0.4&CDS=1-1353	YLR090W, YNL064C
OG0000067	augustus_masked-ipo_s450-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-ipo_s450-processed-gene-0.95&CDS=1-1674, snap_masked-ipo_s125-processed-gene-1.106-mRNA-1_1&gene=snap_masked-ipo_s125-processed-gene-1.106&CDS=1-1719, snap_masked-ipo_s283-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s283-processed-gene-0.1&CDS=1-372	YDR242W
OG0000068	snap_masked-ipo_s125-processed-gene-2.36-mRNA-1_1&gene=snap_masked-ipo_s125-processed-gene-2.36&CDS=1-2337, snap_masked-ipo_s145-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s145-processed-gene-0.6&CDS=1-2868	YDL132W, YGR003W
OG0000069	snap_masked-ipo_s125-processed-gene-2.13-mRNA-1_1&gene=snap_masked-ipo_s125-processed-gene-2.13&CDS=1-930, snap_masked-ipo_s35-processed-gene-0.125-mRNA-1_1&gene=snap_masked-ipo_s35-processed-gene-0.125&CDS=1-594	YKR055W, YPR165W
OG0000070	snap_masked-ipo_s125-processed-gene-2.25-mRNA-1_1&gene=snap_masked-ipo_s125-processed-gene-2.25&CDS=1-2217, snap_masked-ipo_s127-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s127-processed-gene-0.0&CDS=1-1581	YDL138W, YDL194W
OG0000071	genemark-ipo_s235-processed-gene-0.13-mRNA-1_1&gene=genemark-ipo_s235-processed-gene-0.13&CDS=1-5712, snap_masked-ipo_s126-processed-gene-0.54-mRNA-1_1&gene=snap_masked-ipo_s126-processed-gene-0.54&CDS=1-744, snap_masked-ipo_s458-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s458-processed-gene-0.7&CDS=1-726	YNL271C
OG0000072	snap_masked-ipo_s126-processed-gene-0.58-mRNA-1_1&gene=snap_masked-ipo_s126-processed-gene-0.58&CDS=1-1089, snap_masked-ipo_s450-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ipo_s450-processed-gene-0.32&CDS=1-1080	YCR105W, YMR318C
OG0000073	snap_masked-ipo_s129-processed-gene-0.104-mRNA-1_1&gene=snap_masked-ipo_s129-processed-gene-0.104&CDS=1-1020, snap_masked-ipo_s13-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s13-processed-gene-0.26&CDS=1-219	YAL034C, YOR338W
OG0000074	snap_masked-ipo_s129-processed-gene-0.139-mRNA-1_1&gene=snap_masked-ipo_s129-processed-gene-0.139&CDS=1-1770, snap_masked-ipo_s97-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s97-processed-gene-0.12&CDS=1-1743	YDR037W, YNL073W
OG0000075	augustus_masked-ipo_s129-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-ipo_s129-processed-gene-2.61&CDS=1-3057, snap_masked-ipo_s238-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s238-processed-gene-0.5&CDS=1-3093	YBR245C, YOR304W
OG0000076	snap_masked-ipo_s129-processed-gene-4.240-mRNA-1_1&gene=snap_masked-ipo_s129-processed-gene-4.240&CDS=1-984, snap_masked-ipo_s455-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s455-processed-gene-0.1&CDS=1-978	YIL035C, YOR061W
OG0000077	augustus_masked-ipo_s147-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-ipo_s147-processed-gene-0.53&CDS=1-1185, snap_masked-ipo_s147-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s147-processed-gene-0.7&CDS=1-249, snap_masked-ipo_s240-processed-gene-0.61-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-0.61&CDS=1-2613	YDR223W
OG0000078	snap_masked-ipo_s150-processed-gene-0.124-mRNA-1_1&gene=snap_masked-ipo_s150-processed-gene-0.124&CDS=1-1191, snap_masked-ipo_s198-processed-gene-0.201-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.201&CDS=1-1188	YBR025C, YHL014C
OG0000079	snap_masked-ipo_s151-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_s151-processed-gene-0.11&CDS=1-2469, snap_masked-ipo_s367-processed-gene-0.185-mRNA-1_1&gene=snap_masked-ipo_s367-processed-gene-0.185&CDS=1-2247	YAR035W, YER024W
OG0000080	snap_masked-ipo_s158-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s158-processed-gene-0.2&CDS=1-486, snap_masked-ipo_s169-processed-gene-0.239-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.239&CDS=1-618	YDR155C, YDR304C
OG0000081	snap_masked-ipo_s16-processed-gene-0.85-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.85&CDS=1-1032, snap_masked-ipo_s171-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s171-processed-gene-0.1&CDS=1-996	YDR541C, YOL151W
OG0000082	snap_masked-ipo_s162-processed-gene-0.94-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.94&CDS=1-939, snap_masked-ipo_s8-processed-gene-0.59-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.59&CDS=1-1347	YDL216C, YFR004W
OG0000083	snap_masked-ipo_s164-processed-gene-3.70-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.70&CDS=1-2220, snap_masked-ipo_s35-processed-gene-0.121-mRNA-1_1&gene=snap_masked-ipo_s35-processed-gene-0.121&CDS=1-2076, snap_masked-ipo_s86-processed-gene-3.22-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.22&CDS=1-2163	YER015W
OG0000084	snap_masked-ipo_s17-processed-gene-0.70-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.70&CDS=1-1896, snap_masked-ipo_s217-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ipo_s217-processed-gene-0.39&CDS=1-2112	YMR008C, YOL011W
OG0000085	snap_masked-ipo_s18-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_s18-processed-gene-0.9&CDS=1-1044, snap_masked-ipo_s86-processed-gene-2.109-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.109&CDS=1-1044	YMR303C, YOL086C
OG0000086	snap_masked-ipo_s184-processed-gene-2.34-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.34&CDS=1-1437, snap_masked-ipo_s184-processed-gene-2.84-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.84&CDS=1-1365	YDR463W, YHR006W
OG0000087	snap_masked-ipo_s184-processed-gene-2.89-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.89&CDS=1-993, snap_masked-ipo_s67-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s67-processed-gene-0.3&CDS=1-999	YCR034W, YLR372W
OG0000088	augustus_masked-ipo_s184-processed-gene-2.275-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-2.275&CDS=1-954, snap_masked-ipo_s344-processed-gene-0.52-mRNA-1_1&gene=snap_masked-ipo_s344-processed-gene-0.52&CDS=1-984	YBR002C, YMR101C
OG0000089	snap_masked-ipo_s190-processed-gene-0.83-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.83&CDS=1-2073, snap_masked-ipo_s83-processed-gene-0.245-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.245&CDS=1-2274	YGL014W, YGL178W
OG0000090	snap_masked-ipo_s194-processed-gene-0.131-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.131&CDS=1-1002	YLL062C, YMR321C, YPL273W
OG0000091	maker-ipo_s46-augustus-gene-0.43-mRNA-1_1&gene=maker-ipo_s46-augustus-gene-0.43&CDS=1-1632, snap_masked-ipo_s194-processed-gene-0.117-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.117&CDS=1-2742	YBR237W, YNL112W
OG0000092	snap_masked-ipo_s198-processed-gene-0.144-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.144&CDS=1-639, snap_masked-ipo_s83-processed-gene-0.224-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.224&CDS=1-636	YKR014C, YOR089C
OG0000093	snap_masked-ipo_s198-processed-gene-0.146-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.146&CDS=1-921, snap_masked-ipo_s456-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ipo_s456-processed-gene-0.33&CDS=1-2679	YDL230W, YER075C
OG0000094	maker-ipo_s198-augustus-gene-0.134-mRNA-1_1&gene=maker-ipo_s198-augustus-gene-0.134&CDS=1-1791, snap_masked-ipo_s8-processed-gene-0.63-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.63&CDS=1-2367	YDL025C, YNL183C
OG0000095	snap_masked-ipo_s202-processed-gene-0.131-mRNA-1_1&gene=snap_masked-ipo_s202-processed-gene-0.131&CDS=1-2034, snap_masked-ipo_s328-processed-gene-0.54-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.54&CDS=1-2016	YAL054C, YLR153C
OG0000096	snap_masked-ipo_s202-processed-gene-0.134-mRNA-1_1&gene=snap_masked-ipo_s202-processed-gene-0.134&CDS=1-309, snap_masked-ipo_s73-processed-gene-1.105-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.105&CDS=1-309	YBR009C, YNL030W
OG0000097	snap_masked-ipo_s210-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ipo_s210-processed-gene-0.47&CDS=1-4824, snap_masked-ipo_s27-processed-gene-0.45-mRNA-1_1&gene=snap_masked-ipo_s27-processed-gene-0.45&CDS=1-3792	YIL126W, YOR290C
OG0000098	snap_masked-ipo_s213-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_s213-processed-gene-0.9&CDS=1-237, snap_masked-ipo_s348-processed-gene-0.91-mRNA-1_1&gene=snap_masked-ipo_s348-processed-gene-0.91&CDS=1-2139	YER066W, YFL009W
OG0000099	snap_masked-ipo_s216-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ipo_s216-processed-gene-0.22&CDS=1-1491, snap_masked-ipo_s327-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s327-processed-gene-0.7&CDS=1-1083, snap_masked-ipo_s367-processed-gene-0.167-mRNA-1_1&gene=snap_masked-ipo_s367-processed-gene-0.167&CDS=1-1050	YML131W
OG0000100	maker-ipo_s328-augustus-gene-0.79-mRNA-1_1&gene=maker-ipo_s328-augustus-gene-0.79&CDS=1-1668, snap_masked-ipo_s219-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s219-processed-gene-0.13&CDS=1-1110	YEL007W, YHR177W
OG0000101	snap_masked-ipo_s221-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s221-processed-gene-0.0&CDS=1-282, snap_masked-ipo_s97-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s97-processed-gene-0.0&CDS=1-282	YGR008C, YLR327C
OG0000102	snap_masked-ipo_s223-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s223-processed-gene-0.19&CDS=1-1659, snap_masked-ipo_s240-processed-gene-1.28-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-1.28&CDS=1-1620	YLR343W, YMR307W
OG0000103	snap_masked-ipo_s231-processed-gene-0.205-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.205&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000104	genemark-ipo_s336-processed-gene-0.0-mRNA-1_1&gene=genemark-ipo_s336-processed-gene-0.0&CDS=1-654, snap_masked-ipo_s231-processed-gene-0.214-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.214&CDS=1-957, snap_masked-ipo_s418-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_s418-processed-gene-0.9&CDS=1-315	YOR287C
OG0000105	snap_masked-ipo_s231-processed-gene-0.190-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.190&CDS=1-762, snap_masked-ipo_s86-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-0.17&CDS=1-762	YFR031C-A, YIL018W
OG0000106	snap_masked-ipo_s231-processed-gene-0.229-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.229&CDS=1-777, snap_masked-ipo_s86-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-0.14&CDS=1-774	YHL033C, YLL045C
OG0000107	snap_masked-ipo_s236-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s236-processed-gene-0.26&CDS=1-705	YFL060C, YMR095C, YNL334C
OG0000108	augustus_masked-ipo_s58-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-ipo_s58-processed-gene-0.127&CDS=1-450, snap_masked-ipo_s240-processed-gene-1.33-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-1.33&CDS=1-1053	YDR277C, YOR047C
OG0000109	augustus_masked-ipo_s4-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-ipo_s4-processed-gene-0.40&CDS=1-528, maker-ipo_s248-snap-gene-0.0-mRNA-1_1&gene=maker-ipo_s248-snap-gene-0.0&CDS=1-1305	YHR146W, YNL173C
OG0000110	maker-ipo_s25-augustus-gene-0.72-mRNA-1_1&gene=maker-ipo_s25-augustus-gene-0.72&CDS=1-3066, snap_masked-ipo_s98-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s98-processed-gene-0.7&CDS=1-1239	YGR263C, YJR002W
OG0000111	maker-ipo_s252-augustus-gene-0.0-mRNA-1_1&gene=maker-ipo_s252-augustus-gene-0.0&CDS=1-1332, snap_masked-ipo_s328-processed-gene-0.48-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.48&CDS=1-681	YNR007C, YOR078W
OG0000112	snap_masked-ipo_s256-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s256-processed-gene-0.6&CDS=1-1305, snap_masked-ipo_s68-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.26&CDS=1-948	YDL108W, YPR161C
OG0000113	augustus_masked-ipo_s264-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ipo_s264-processed-gene-0.11&CDS=1-360, augustus_masked-ipo_s445-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ipo_s445-processed-gene-0.10&CDS=1-5370	YIL149C, YKR095W
OG0000114	augustus_masked-ipo_s265-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ipo_s265-processed-gene-0.14&CDS=1-381, snap_masked-ipo_s390-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s390-processed-gene-0.29&CDS=1-201, snap_masked-ipo_s43-processed-gene-0.83-mRNA-1_1&gene=snap_masked-ipo_s43-processed-gene-0.83&CDS=1-4317	YBL034C
OG0000115	snap_masked-ipo_s280-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s280-processed-gene-0.0&CDS=1-1539	YER056C, YER060W, YER060W-A
OG0000116	snap_masked-ipo_s282-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s282-processed-gene-0.26&CDS=1-1953, snap_masked-ipo_s367-processed-gene-0.156-mRNA-1_1&gene=snap_masked-ipo_s367-processed-gene-0.156&CDS=1-1917	YBR015C, YJL186W
OG0000117	augustus_masked-ipo_s374-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ipo_s374-processed-gene-0.0&CDS=1-420, snap_masked-ipo_s293-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_s293-processed-gene-0.9&CDS=1-3414, snap_masked-ipo_s374-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s374-processed-gene-0.6&CDS=1-210	YKL033W
OG0000118	augustus_masked-ipo_s311-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-ipo_s311-processed-gene-0.130&CDS=1-291, augustus_masked-ipo_s54-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ipo_s54-processed-gene-0.10&CDS=1-564, snap_masked-ipo_s328-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.68&CDS=1-2502	YIL068C
OG0000119	maker-ipo_s366-augustus-gene-0.13-mRNA-1_1&gene=maker-ipo_s366-augustus-gene-0.13&CDS=1-1191, snap_masked-ipo_s328-processed-gene-0.61-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.61&CDS=1-1527	YER133W, YML016C
OG0000120	snap_masked-ipo_s346-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s346-processed-gene-0.2&CDS=1-1272, snap_masked-ipo_s366-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ipo_s366-processed-gene-0.20&CDS=1-1260	YKL106W, YLR027C
OG0000121	snap_masked-ipo_s35-processed-gene-0.122-mRNA-1_1&gene=snap_masked-ipo_s35-processed-gene-0.122&CDS=1-921, snap_masked-ipo_s462-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s462-processed-gene-0.10&CDS=1-1617	YDR352W, YOL092W
OG0000122	snap_masked-ipo_s36-processed-gene-1.52-mRNA-1_1&gene=snap_masked-ipo_s36-processed-gene-1.52&CDS=1-1722	YBR298C, YDL247W, YJR160C
OG0000123	snap_masked-ipo_s36-processed-gene-1.54-mRNA-1_1&gene=snap_masked-ipo_s36-processed-gene-1.54&CDS=1-3249	YDR038C, YDR039C, YDR040C
OG0000124	snap_masked-ipo_s371-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s371-processed-gene-0.5&CDS=1-1374, snap_masked-ipo_s84-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_s84-processed-gene-0.14&CDS=1-1374	YBR118W, YPR080W
OG0000125	genemark-ipo_s430-processed-gene-0.66-mRNA-1_1&gene=genemark-ipo_s430-processed-gene-0.66&CDS=1-8505, snap_masked-ipo_s375-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s375-processed-gene-0.13&CDS=1-474, snap_masked-ipo_s384-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s384-processed-gene-0.29&CDS=1-333	YBL088C
OG0000126	augustus_masked-ipo_s81-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-ipo_s81-processed-gene-0.55&CDS=1-432, snap_masked-ipo_s445-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ipo_s445-processed-gene-0.47&CDS=1-3729	YIL151C, YKR096W
OG0000127	augustus_masked-ipo_s448-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ipo_s448-processed-gene-0.12&CDS=1-759, snap_masked-ipo_s65-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s65-processed-gene-0.10&CDS=1-759	YER062C, YIL053W
OG0000128	snap_masked-ipo_s46-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s46-processed-gene-0.8&CDS=1-201, snap_masked-ipo_s462-processed-gene-0.48-mRNA-1_1&gene=snap_masked-ipo_s462-processed-gene-0.48&CDS=1-2904	YGL049C, YGR162W
OG0000129	maker-ipo_s462-snap-gene-0.0-mRNA-1_1&gene=maker-ipo_s462-snap-gene-0.0&CDS=1-1152, snap_masked-ipo_s68-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.12&CDS=1-711	YDR319C, YGL126W
OG0000130	maker-ipo_s463-augustus-gene-0.37-mRNA-1_1&gene=maker-ipo_s463-augustus-gene-0.37&CDS=1-2445, snap_masked-ipo_s86-processed-gene-1.123-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.123&CDS=1-2121	YGR249W, YOR140W
OG0000131	snap_masked-ipo_s57-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s57-processed-gene-0.17&CDS=1-2571, snap_masked-ipo_s62-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ipo_s62-processed-gene-0.39&CDS=1-2664	YMR266W, YOL084W
OG0000132	snap_masked-ipo_s86-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-0.4&CDS=1-1872	YOR389W, YPL277C, YPL278C
OG0000133		YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000134		YKL222C, YLR266C, YOR162C, YOR172W
OG0000135	genemark-ipo_s445-processed-gene-0.26-mRNA-1_1&gene=genemark-ipo_s445-processed-gene-0.26&CDS=1-2295, snap_masked-ipo_C23763-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_C23763-processed-gene-0.0&CDS=1-198	YER041W
OG0000136	snap_masked-ipo_C27043-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_C27043-processed-gene-0.2&CDS=1-3024	YJR091C, YPR042C
OG0000137	snap_masked-ipo_C27397-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_C27397-processed-gene-0.8&CDS=1-1938, snap_masked-ipo_s122-processed-gene-1.112-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-1.112&CDS=1-1869	YNL101W
OG0000138	snap_masked-ipo_C27709-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_C27709-processed-gene-0.13&CDS=1-591, snap_masked-ipo_s164-processed-gene-1.156-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.156&CDS=1-600	YDR032C
OG0000139	augustus_masked-ipo_s135-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ipo_s135-processed-gene-0.9&CDS=1-372, snap_masked-ipo_C27709-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_C27709-processed-gene-0.14&CDS=1-1269	YBR279W
OG0000140	snap_masked-ipo_C27709-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_C27709-processed-gene-0.16&CDS=1-1230	YGL082W, YPL191C
OG0000141	snap_masked-ipo_s10-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.89&CDS=1-765	YDR272W, YOR040W
OG0000142	snap_masked-ipo_s10-processed-gene-0.110-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.110&CDS=1-726, snap_masked-ipo_s145-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s145-processed-gene-0.2&CDS=1-597	YNL056W
OG0000143	snap_masked-ipo_s10-processed-gene-0.111-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.111&CDS=1-1941	YER064C, YIL056W
OG0000144	snap_masked-ipo_s10-processed-gene-0.93-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.93&CDS=1-2097	YBR001C, YDR001C
OG0000145	snap_masked-ipo_s10-processed-gene-0.96-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.96&CDS=1-4248, snap_masked-ipo_s263-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s263-processed-gene-0.6&CDS=1-4764	YGR281W
OG0000146	snap_masked-ipo_s10-processed-gene-0.122-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.122&CDS=1-2583	YJL082W, YKR018C
OG0000147	snap_masked-ipo_s10-processed-gene-0.124-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.124&CDS=1-1014	YBR031W, YDR012W
OG0000148	augustus_masked-ipo_s10-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-ipo_s10-processed-gene-1.69&CDS=1-1842	YBR241C, YGL104C
OG0000149	snap_masked-ipo_s10-processed-gene-1.144-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.144&CDS=1-660	YBR242W, YGL101W
OG0000150	snap_masked-ipo_s10-processed-gene-1.182-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.182&CDS=1-447	YIL111W, YNL052W
OG0000151	augustus_masked-ipo_s170-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ipo_s170-processed-gene-0.15&CDS=1-618, snap_masked-ipo_s10-processed-gene-1.183-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.183&CDS=1-4095	YER008C
OG0000152	snap_masked-ipo_s10-processed-gene-1.155-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.155&CDS=1-1425	YLR260W, YOR171C
