	Metschnikowia_lockheadii	Saccharomyces_cerevisiae
OG0000037	maker-loc-_s570-snap-gene-0.163-mRNA-1_1&gene=maker-loc-_s570-snap-gene-0.163&CDS=1-1365, snap_masked-loc-_s324-processed-gene-0.96-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.96&CDS=1-855	YCL011C, YHL034C, YLL046C, YNL004W
OG0000038	snap_masked-loc-_s345-processed-gene-0.13-mRNA-1_1&gene=snap_masked-loc-_s345-processed-gene-0.13&CDS=1-792, snap_masked-loc-_s403-processed-gene-0.44-mRNA-1_1&gene=snap_masked-loc-_s403-processed-gene-0.44&CDS=1-771, snap_masked-loc-_s59-processed-gene-0.59-mRNA-1_1&gene=snap_masked-loc-_s59-processed-gene-0.59&CDS=1-771, snap_masked-loc-_s602-processed-gene-0.93-mRNA-1_1&gene=snap_masked-loc-_s602-processed-gene-0.93&CDS=1-759	YCR010C, YNR002C
OG0000039	genemark-loc-_s49-processed-gene-2.31-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-2.31&CDS=1-1911, snap_masked-loc-_s517-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s517-processed-gene-0.11&CDS=1-1314, snap_masked-loc-_s675-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s675-processed-gene-0.11&CDS=1-948	YDL108W, YKL139W, YPR161C
OG0000040	snap_masked-loc-_s521-processed-gene-0.101-mRNA-1_1&gene=snap_masked-loc-_s521-processed-gene-0.101&CDS=1-1839, snap_masked-loc-_s549-processed-gene-0.86-mRNA-1_1&gene=snap_masked-loc-_s549-processed-gene-0.86&CDS=1-1932	YAL005C, YDL229W, YLL024C, YNL209W
OG0000041	augustus_masked-loc-_s693-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-loc-_s693-processed-gene-0.1&CDS=1-876, snap_masked-loc-_s59-processed-gene-0.78-mRNA-1_1&gene=snap_masked-loc-_s59-processed-gene-0.78&CDS=1-1032	YDR541C, YGL039W, YGL157W, YOL151W
OG0000042	snap_masked-loc-_s75-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s75-processed-gene-0.17&CDS=1-1020	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
OG0000043	genemark-loc-_s388-processed-gene-0.126-mRNA-1_1&gene=genemark-loc-_s388-processed-gene-0.126&CDS=1-2493, snap_masked-loc-_s101-processed-gene-0.80-mRNA-1_1&gene=snap_masked-loc-_s101-processed-gene-0.80&CDS=1-2814	YCR037C, YJL198W, YNR013C
OG0000044	maker-loc-_s570-snap-gene-0.162-mRNA-1_1&gene=maker-loc-_s570-snap-gene-0.162&CDS=1-3378, snap_masked-loc-_s103-processed-gene-0.61-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-0.61&CDS=1-1701, snap_masked-loc-_s103-processed-gene-2.77-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-2.77&CDS=1-1758	YJL172W, YOL153C
OG0000045	maker-loc-_s18-snap-gene-1.1-mRNA-1_1&gene=maker-loc-_s18-snap-gene-1.1&CDS=1-1338, snap_masked-loc-_s103-processed-gene-0.46-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-0.46&CDS=1-1329, snap_masked-loc-_s187-processed-gene-0.62-mRNA-1_1&gene=snap_masked-loc-_s187-processed-gene-0.62&CDS=1-330	YBR239C, YJL103C
OG0000046	snap_masked-loc-_s103-processed-gene-1.9-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-1.9&CDS=1-1278, snap_masked-loc-_s203-processed-gene-0.10-mRNA-1_1&gene=snap_masked-loc-_s203-processed-gene-0.10&CDS=1-1449	YBR177C, YMR210W, YPL095C
OG0000047	snap_masked-loc-_s103-processed-gene-3.67-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-3.67&CDS=1-2244	YBR297W, YFL052W, YGR288W, YPR196W
OG0000048	snap_masked-loc-_s103-processed-gene-3.77-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-3.77&CDS=1-1482, snap_masked-loc-_s696-processed-gene-0.188-mRNA-1_1&gene=snap_masked-loc-_s696-processed-gene-0.188&CDS=1-999	YBL056W, YBR125C, YER089C
OG0000049	genemark-loc-_s108-processed-gene-1.80-mRNA-1_1&gene=genemark-loc-_s108-processed-gene-1.80&CDS=1-1617, snap_masked-loc-_s244-processed-gene-3.85-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-3.85&CDS=1-717, snap_masked-loc-_s318-processed-gene-0.29-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.29&CDS=1-1665, snap_masked-loc-_s522-processed-gene-1.172-mRNA-1_1&gene=snap_masked-loc-_s522-processed-gene-1.172&CDS=1-594	YDR207C
OG0000050	augustus_masked-loc-_s142-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-loc-_s142-processed-gene-0.11&CDS=1-315, augustus_masked-loc-_s29-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-loc-_s29-processed-gene-0.0&CDS=1-4239, snap_masked-loc-_s124-processed-gene-0.7-mRNA-1_1&gene=snap_masked-loc-_s124-processed-gene-0.7&CDS=1-711	YIL149C, YKR095W
OG0000051	genemark-loc-_s549-processed-gene-0.30-mRNA-1_1&gene=genemark-loc-_s549-processed-gene-0.30&CDS=1-408, snap_masked-loc-_s125-processed-gene-0.23-mRNA-1_1&gene=snap_masked-loc-_s125-processed-gene-0.23&CDS=1-408, snap_masked-loc-_s382-processed-gene-1.103-mRNA-1_1&gene=snap_masked-loc-_s382-processed-gene-1.103&CDS=1-408	YBR010W, YNL031C
OG0000052	snap_masked-loc-_s131-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s131-processed-gene-0.6&CDS=1-1383, snap_masked-loc-_s304-processed-gene-0.5-mRNA-1_1&gene=snap_masked-loc-_s304-processed-gene-0.5&CDS=1-1452	YDL155W, YGR108W, YPR119W
OG0000053	snap_masked-loc-_s168-processed-gene-0.5-mRNA-1_1&gene=snap_masked-loc-_s168-processed-gene-0.5&CDS=1-1527, snap_masked-loc-_s623-processed-gene-0.18-mRNA-1_1&gene=snap_masked-loc-_s623-processed-gene-0.18&CDS=1-1911, snap_masked-loc-_s623-processed-gene-0.23-mRNA-1_1&gene=snap_masked-loc-_s623-processed-gene-0.23&CDS=1-1617	YGR197C, YJR015W
OG0000054	augustus_masked-loc-_s173-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-loc-_s173-processed-gene-0.5&CDS=1-2382, snap_masked-loc-_s177-processed-gene-0.20-mRNA-1_1&gene=snap_masked-loc-_s177-processed-gene-0.20&CDS=1-1512	YCR065W, YIL131C, YNL068C
OG0000055	snap_masked-loc-_s18-processed-gene-0.72-mRNA-1_1&gene=snap_masked-loc-_s18-processed-gene-0.72&CDS=1-993, snap_masked-loc-_s18-processed-gene-1.82-mRNA-1_1&gene=snap_masked-loc-_s18-processed-gene-1.82&CDS=1-1002, snap_masked-loc-_s204-processed-gene-0.34-mRNA-1_1&gene=snap_masked-loc-_s204-processed-gene-0.34&CDS=1-1026	YDL078C, YKL085W
OG0000056	snap_masked-loc-_s18-processed-gene-0.89-mRNA-1_1&gene=snap_masked-loc-_s18-processed-gene-0.89&CDS=1-1197, snap_masked-loc-_s318-processed-gene-0.22-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.22&CDS=1-1272, snap_masked-loc-_s707-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_s707-processed-gene-0.1&CDS=1-1260	YKL106W, YLR027C
OG0000057	snap_masked-loc-_s18-processed-gene-1.69-mRNA-1_1&gene=snap_masked-loc-_s18-processed-gene-1.69&CDS=1-735, snap_masked-loc-_s224-processed-gene-0.91-mRNA-1_1&gene=snap_masked-loc-_s224-processed-gene-0.91&CDS=1-882, snap_masked-loc-_s232-processed-gene-1.64-mRNA-1_1&gene=snap_masked-loc-_s232-processed-gene-1.64&CDS=1-1065	YJL079C, YKR013W
OG0000058	augustus_masked-loc-_s521-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-loc-_s521-processed-gene-0.56&CDS=1-921, genemark-loc-_s18-processed-gene-2.21-mRNA-1_1&gene=genemark-loc-_s18-processed-gene-2.21&CDS=1-1875, snap_masked-loc-_s241-processed-gene-0.16-mRNA-1_1&gene=snap_masked-loc-_s241-processed-gene-0.16&CDS=1-2835	YDL230W, YOR208W
OG0000059	snap_masked-loc-_s18-processed-gene-3.29-mRNA-1_1&gene=snap_masked-loc-_s18-processed-gene-3.29&CDS=1-2259, snap_masked-loc-_s671-processed-gene-0.56-mRNA-1_1&gene=snap_masked-loc-_s671-processed-gene-0.56&CDS=1-2013	YML111W, YMR275C, YNR069C
OG0000060	maker-loc-_s18-snap-gene-4.87-mRNA-1_1&gene=maker-loc-_s18-snap-gene-4.87&CDS=1-1917, snap_masked-loc-_s478-processed-gene-0.48-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.48&CDS=1-1503	YMR169C, YMR170C, YOR374W
OG0000061	genemark-loc-_s187-processed-gene-0.110-mRNA-1_1&gene=genemark-loc-_s187-processed-gene-0.110&CDS=1-2934, snap_masked-loc-_s49-processed-gene-2.240-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.240&CDS=1-2526	YDR385W, YKL173W, YOR133W
OG0000062	snap_masked-loc-_s195-processed-gene-0.46-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-0.46&CDS=1-1356, snap_masked-loc-_s657-processed-gene-0.39-mRNA-1_1&gene=snap_masked-loc-_s657-processed-gene-0.39&CDS=1-1395	YBL089W, YER119C, YIL088C
OG0000063	augustus_masked-loc-_s195-processed-gene-2.162-mRNA-1_1&gene=augustus_masked-loc-_s195-processed-gene-2.162&CDS=1-390, genemark-loc-_s285-processed-gene-0.34-mRNA-1_1&gene=genemark-loc-_s285-processed-gene-0.34&CDS=1-7686, snap_masked-loc-_s636-processed-gene-0.84-mRNA-1_1&gene=snap_masked-loc-_s636-processed-gene-0.84&CDS=1-8193	YLR454W, YPR117W
OG0000064	snap_masked-loc-_s195-processed-gene-2.149-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-2.149&CDS=1-3576, snap_masked-loc-_s97-processed-gene-0.130-mRNA-1_1&gene=snap_masked-loc-_s97-processed-gene-0.130&CDS=1-3660	YJL042W, YOR227W, YPL137C
OG0000065	snap_masked-loc-_s206-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s206-processed-gene-0.9&CDS=1-354, snap_masked-loc-_s238-processed-gene-0.21-mRNA-1_1&gene=snap_masked-loc-_s238-processed-gene-0.21&CDS=1-1410, snap_masked-loc-_s640-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s640-processed-gene-0.6&CDS=1-1926	YKL221W, YNL125C
OG0000066	genemark-loc-_s222-processed-gene-0.19-mRNA-1_1&gene=genemark-loc-_s222-processed-gene-0.19&CDS=1-1305, snap_masked-loc-_s413-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_s413-processed-gene-0.2&CDS=1-1152, snap_masked-loc-_s517-processed-gene-0.12-mRNA-1_1&gene=snap_masked-loc-_s517-processed-gene-0.12&CDS=1-1317	YBR207W, YER145C
OG0000067	genemark-loc-_s37-processed-gene-0.59-mRNA-1_1&gene=genemark-loc-_s37-processed-gene-0.59&CDS=1-507, snap_masked-loc-_s232-processed-gene-0.96-mRNA-1_1&gene=snap_masked-loc-_s232-processed-gene-0.96&CDS=1-1617, snap_masked-loc-_s331-processed-gene-0.116-mRNA-1_1&gene=snap_masked-loc-_s331-processed-gene-0.116&CDS=1-921	YDR352W, YOL092W
OG0000068	snap_masked-loc-_s244-processed-gene-4.15-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-4.15&CDS=1-3552, snap_masked-loc-_s299-processed-gene-0.7-mRNA-1_1&gene=snap_masked-loc-_s299-processed-gene-0.7&CDS=1-4254	YML072C, YNL087W, YOR086C
OG0000069	maker-loc-_s450-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s450-snap-gene-0.0&CDS=1-525, snap_masked-loc-_s244-processed-gene-4.58-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-4.58&CDS=1-777, snap_masked-loc-_s324-processed-gene-0.98-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.98&CDS=1-774	YHL033C, YLL045C
OG0000070	genemark-loc-_s254-processed-gene-0.33-mRNA-1_1&gene=genemark-loc-_s254-processed-gene-0.33&CDS=1-2130, genemark-loc-_s30-processed-gene-0.4-mRNA-1_1&gene=genemark-loc-_s30-processed-gene-0.4&CDS=1-2049, snap_masked-loc-_s37-processed-gene-0.27-mRNA-1_1&gene=snap_masked-loc-_s37-processed-gene-0.27&CDS=1-1896	YMR008C, YOL011W
OG0000071	snap_masked-loc-_s271-processed-gene-0.23-mRNA-1_1&gene=snap_masked-loc-_s271-processed-gene-0.23&CDS=1-462, snap_masked-loc-_s528-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s528-processed-gene-0.9&CDS=1-375, snap_masked-loc-_s682-processed-gene-0.41-mRNA-1_1&gene=snap_masked-loc-_s682-processed-gene-0.41&CDS=1-456	YGL089C, YPL187W
OG0000072	snap_masked-loc-_s274-processed-gene-0.21-mRNA-1_1&gene=snap_masked-loc-_s274-processed-gene-0.21&CDS=1-1446, snap_masked-loc-_s522-processed-gene-1.135-mRNA-1_1&gene=snap_masked-loc-_s522-processed-gene-1.135&CDS=1-1362, snap_masked-loc-_s522-processed-gene-1.165-mRNA-1_1&gene=snap_masked-loc-_s522-processed-gene-1.165&CDS=1-1437	YDR463W, YHR006W
OG0000073	augustus_masked-loc-_s28-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-loc-_s28-processed-gene-0.44&CDS=1-1953, snap_masked-loc-_s301-processed-gene-0.70-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.70&CDS=1-1458	YDL159W, YOR231W, YPL140C
OG0000074	genemark-loc-_s285-processed-gene-0.51-mRNA-1_1&gene=genemark-loc-_s285-processed-gene-0.51&CDS=1-1950, snap_masked-loc-_s522-processed-gene-1.171-mRNA-1_1&gene=snap_masked-loc-_s522-processed-gene-1.171&CDS=1-1911	YDR107C, YER113C, YLR083C
OG0000075	snap_masked-loc-_s285-processed-gene-0.177-mRNA-1_1&gene=snap_masked-loc-_s285-processed-gene-0.177&CDS=1-1524, snap_masked-loc-_s373-processed-gene-0.20-mRNA-1_1&gene=snap_masked-loc-_s373-processed-gene-0.20&CDS=1-1656, snap_masked-loc-_s586-processed-gene-0.7-mRNA-1_1&gene=snap_masked-loc-_s586-processed-gene-0.7&CDS=1-1515	YGR260W, YIL166C
OG0000076	maker-loc-_s539-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s539-snap-gene-0.0&CDS=1-1281, snap_masked-loc-_s294-processed-gene-0.90-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.90&CDS=1-1656, snap_masked-loc-_s602-processed-gene-1.8-mRNA-1_1&gene=snap_masked-loc-_s602-processed-gene-1.8&CDS=1-1527	YER133W, YML016C
OG0000077	snap_masked-loc-_s30-processed-gene-0.19-mRNA-1_1&gene=snap_masked-loc-_s30-processed-gene-0.19&CDS=1-1470, snap_masked-loc-_s574-processed-gene-0.5-mRNA-1_1&gene=snap_masked-loc-_s574-processed-gene-0.5&CDS=1-858, snap_masked-loc-_s706-processed-gene-0.30-mRNA-1_1&gene=snap_masked-loc-_s706-processed-gene-0.30&CDS=1-1431	YBR283C, YLR378C
OG0000078	snap_masked-loc-_s309-processed-gene-0.30-mRNA-1_1&gene=snap_masked-loc-_s309-processed-gene-0.30&CDS=1-2103, snap_masked-loc-_s324-processed-gene-0.77-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.77&CDS=1-1572, snap_masked-loc-_s88-processed-gene-0.72-mRNA-1_1&gene=snap_masked-loc-_s88-processed-gene-0.72&CDS=1-2412	YGL257C, YNR059W
OG0000079	genemark-loc-_s314-processed-gene-0.34-mRNA-1_1&gene=genemark-loc-_s314-processed-gene-0.34&CDS=1-2628, snap_masked-loc-_s400-processed-gene-1.112-mRNA-1_1&gene=snap_masked-loc-_s400-processed-gene-1.112&CDS=1-1815, snap_masked-loc-_s450-processed-gene-0.19-mRNA-1_1&gene=snap_masked-loc-_s450-processed-gene-0.19&CDS=1-1722	YDR338C, YHR032W
OG0000080	snap_masked-loc-_s331-processed-gene-0.90-mRNA-1_1&gene=snap_masked-loc-_s331-processed-gene-0.90&CDS=1-915, snap_masked-loc-_s388-processed-gene-0.52-mRNA-1_1&gene=snap_masked-loc-_s388-processed-gene-0.52&CDS=1-954	YDR368W, YJR096W, YOR120W
OG0000081	augustus_masked-loc-_s338-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-loc-_s338-processed-gene-0.12&CDS=1-1116, snap_masked-loc-_s586-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s586-processed-gene-0.9&CDS=1-1101, snap_masked-loc-_s698-processed-gene-0.25-mRNA-1_1&gene=snap_masked-loc-_s698-processed-gene-0.25&CDS=1-1533	YBL016W, YHR030C
OG0000082	snap_masked-loc-_s368-processed-gene-0.105-mRNA-1_1&gene=snap_masked-loc-_s368-processed-gene-0.105&CDS=1-1413, snap_masked-loc-_s585-processed-gene-0.123-mRNA-1_1&gene=snap_masked-loc-_s585-processed-gene-0.123&CDS=1-1449	YCL040W, YDR516C, YGL253W
OG0000083	genemark-loc-_s37-processed-gene-0.42-mRNA-1_1&gene=genemark-loc-_s37-processed-gene-0.42&CDS=1-1632, snap_masked-loc-_s382-processed-gene-1.91-mRNA-1_1&gene=snap_masked-loc-_s382-processed-gene-1.91&CDS=1-1155, snap_masked-loc-_s679-processed-gene-0.22-mRNA-1_1&gene=snap_masked-loc-_s679-processed-gene-0.22&CDS=1-2496	YDR523C, YHR102W
OG0000084	augustus_masked-loc-_s79-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-loc-_s79-processed-gene-0.45&CDS=1-1341, maker-loc-_s376-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s376-snap-gene-0.0&CDS=1-1779, snap_masked-loc-_s623-processed-gene-0.22-mRNA-1_1&gene=snap_masked-loc-_s623-processed-gene-0.22&CDS=1-3636	YBL060W, YBR103W
OG0000085	snap_masked-loc-_s382-processed-gene-0.107-mRNA-1_1&gene=snap_masked-loc-_s382-processed-gene-0.107&CDS=1-3528, snap_masked-loc-_s657-processed-gene-0.65-mRNA-1_1&gene=snap_masked-loc-_s657-processed-gene-0.65&CDS=1-3501	YDR216W, YJR127C, YML081W
OG0000086	snap_masked-loc-_s383-processed-gene-0.66-mRNA-1_1&gene=snap_masked-loc-_s383-processed-gene-0.66&CDS=1-4572, snap_masked-loc-_s385-processed-gene-0.48-mRNA-1_1&gene=snap_masked-loc-_s385-processed-gene-0.48&CDS=1-4332, snap_masked-loc-_s493-processed-gene-0.28-mRNA-1_1&gene=snap_masked-loc-_s493-processed-gene-0.28&CDS=1-4374	YDR011W, YOR153W
OG0000087	genemark-loc-_s486-processed-gene-0.3-mRNA-1_1&gene=genemark-loc-_s486-processed-gene-0.3&CDS=1-3636, snap_masked-loc-_s388-processed-gene-0.59-mRNA-1_1&gene=snap_masked-loc-_s388-processed-gene-0.59&CDS=1-3069	YIL002C, YNL106C, YOR109W
OG0000088	snap_masked-loc-_s400-processed-gene-1.106-mRNA-1_1&gene=snap_masked-loc-_s400-processed-gene-1.106&CDS=1-1554, snap_masked-loc-_s585-processed-gene-0.133-mRNA-1_1&gene=snap_masked-loc-_s585-processed-gene-0.133&CDS=1-1275, snap_masked-loc-_s605-processed-gene-0.5-mRNA-1_1&gene=snap_masked-loc-_s605-processed-gene-0.5&CDS=1-1425	YHR135C, YPL204W
OG0000089	augustus_masked-loc-_s78-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-loc-_s78-processed-gene-0.1&CDS=1-903, augustus_masked-loc-_s98-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-loc-_s98-processed-gene-0.17&CDS=1-468, genemark-loc-_s403-processed-gene-0.26-mRNA-1_1&gene=genemark-loc-_s403-processed-gene-0.26&CDS=1-912	YBR151W, YML050W
OG0000090	genemark-loc-_s562-processed-gene-0.6-mRNA-1_1&gene=genemark-loc-_s562-processed-gene-0.6&CDS=1-2319, snap_masked-loc-_s403-processed-gene-1.37-mRNA-1_1&gene=snap_masked-loc-_s403-processed-gene-1.37&CDS=1-2232	YAL053W, YGL139W, YPL221W
OG0000091	genemark-loc-_s524-processed-gene-0.25-mRNA-1_1&gene=genemark-loc-_s524-processed-gene-0.25&CDS=1-3177, snap_masked-loc-_s445-processed-gene-0.32-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-0.32&CDS=1-1758, snap_masked-loc-_s675-processed-gene-0.12-mRNA-1_1&gene=snap_masked-loc-_s675-processed-gene-0.12&CDS=1-909	YHR151C, YIL128W
OG0000092	snap_masked-loc-_s520-processed-gene-0.14-mRNA-1_1&gene=snap_masked-loc-_s520-processed-gene-0.14&CDS=1-1971, snap_masked-loc-_s561-processed-gene-0.101-mRNA-1_1&gene=snap_masked-loc-_s561-processed-gene-0.101&CDS=1-2196, snap_masked-loc-_s698-processed-gene-0.28-mRNA-1_1&gene=snap_masked-loc-_s698-processed-gene-0.28&CDS=1-1824	YLR098C, YOR337W
OG0000093	snap_masked-loc-_s561-processed-gene-0.106-mRNA-1_1&gene=snap_masked-loc-_s561-processed-gene-0.106&CDS=1-1191, snap_masked-loc-_s594-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s594-processed-gene-0.6&CDS=1-1275	YCR094W, YNL323W, YNR048W
OG0000094	augustus_masked-loc-_s561-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-loc-_s561-processed-gene-0.79&CDS=1-318, augustus_masked-loc-_s61-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-loc-_s61-processed-gene-0.53&CDS=1-4269, genemark-loc-_s585-processed-gene-0.6-mRNA-1_1&gene=genemark-loc-_s585-processed-gene-0.6&CDS=1-4089	YGL092W, YKL113C
OG0000095	maker-loc-_s585-augustus-gene-0.89-mRNA-1_1&gene=maker-loc-_s585-augustus-gene-0.89&CDS=1-2001, snap_masked-loc-_s585-processed-gene-0.94-mRNA-1_1&gene=snap_masked-loc-_s585-processed-gene-0.94&CDS=1-780	YCL036W, YDR514C, YKL114C
OG0000096	snap_masked-loc-_s655-processed-gene-0.62-mRNA-1_1&gene=snap_masked-loc-_s655-processed-gene-0.62&CDS=1-816, snap_masked-loc-_s682-processed-gene-1.14-mRNA-1_1&gene=snap_masked-loc-_s682-processed-gene-1.14&CDS=1-891	YDL127W, YDL179W, YNL289W
OG0000097	maker-loc-_s689-snap-gene-0.7-mRNA-1_1&gene=maker-loc-_s689-snap-gene-0.7&CDS=1-708, snap_masked-loc-_s671-processed-gene-0.47-mRNA-1_1&gene=snap_masked-loc-_s671-processed-gene-0.47&CDS=1-1332, snap_masked-loc-_s88-processed-gene-0.67-mRNA-1_1&gene=snap_masked-loc-_s88-processed-gene-0.67&CDS=1-1323	YOL062C, YPL259C
OG0000098	genemark-loc-_s678-processed-gene-0.11-mRNA-1_1&gene=genemark-loc-_s678-processed-gene-0.11&CDS=1-4515	YBL017C, YIL173W, YJL222W, YNR065C
OG0000099		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000100	augustus_masked-loc-_C30625-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-loc-_C30625-processed-gene-0.0&CDS=1-138, augustus_masked-loc-_s191-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-loc-_s191-processed-gene-0.1&CDS=1-804, augustus_masked-loc-_s680-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-loc-_s680-processed-gene-0.0&CDS=1-294	YLR286C
OG0000101	genemark-loc-_s479-processed-gene-0.3-mRNA-1_1&gene=genemark-loc-_s479-processed-gene-0.3&CDS=1-852, genemark-loc-_s49-processed-gene-0.22-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-0.22&CDS=1-1008, snap_masked-loc-_C33079-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_C33079-processed-gene-0.2&CDS=1-321	YER156C
OG0000102	augustus_masked-loc-_C33469-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-loc-_C33469-processed-gene-0.2&CDS=1-273, augustus_masked-loc-_s679-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-loc-_s679-processed-gene-0.9&CDS=1-2496, snap_masked-loc-_s53-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s53-processed-gene-0.11&CDS=1-237	YAL010C
OG0000103	augustus_masked-loc-_C33519-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-loc-_C33519-processed-gene-0.0&CDS=1-255, genemark-loc-_s453-processed-gene-0.5-mRNA-1_1&gene=genemark-loc-_s453-processed-gene-0.5&CDS=1-261, snap_masked-loc-_s168-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s168-processed-gene-0.9&CDS=1-627	YLR178C
OG0000104	genemark-loc-_C43469-processed-gene-0.6-mRNA-1_1&gene=genemark-loc-_C43469-processed-gene-0.6&CDS=1-7263, genemark-loc-_s18-processed-gene-5.181-mRNA-1_1&gene=genemark-loc-_s18-processed-gene-5.181&CDS=1-1563, snap_masked-loc-_s49-processed-gene-0.64-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.64&CDS=1-1566	YJL039C
OG0000105	augustus_masked-loc-_C43469-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-loc-_C43469-processed-gene-0.21&CDS=1-2187, maker-loc-_s581-snap-gene-0.4-mRNA-1_1&gene=maker-loc-_s581-snap-gene-0.4&CDS=1-3375	YER041W, YGR258C
OG0000106	augustus_masked-loc-_s18-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-loc-_s18-processed-gene-3.52&CDS=1-2976, snap_masked-loc-_s101-processed-gene-0.71-mRNA-1_1&gene=snap_masked-loc-_s101-processed-gene-0.71&CDS=1-435	YML076C, YPL170W
OG0000107	snap_masked-loc-_s101-processed-gene-0.103-mRNA-1_1&gene=snap_masked-loc-_s101-processed-gene-0.103&CDS=1-762, snap_masked-loc-_s382-processed-gene-1.83-mRNA-1_1&gene=snap_masked-loc-_s382-processed-gene-1.83&CDS=1-675, snap_masked-loc-_s412-processed-gene-0.16-mRNA-1_1&gene=snap_masked-loc-_s412-processed-gene-0.16&CDS=1-426	YBL064C
OG0000108	genemark-loc-_s103-processed-gene-0.89-mRNA-1_1&gene=genemark-loc-_s103-processed-gene-0.89&CDS=1-1032	YCR102C, YLR460C, YNL134C
OG0000109	augustus_masked-loc-_s365-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-loc-_s365-processed-gene-0.17&CDS=1-1941, snap_masked-loc-_s103-processed-gene-0.64-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-0.64&CDS=1-1305, snap_masked-loc-_s88-processed-gene-0.50-mRNA-1_1&gene=snap_masked-loc-_s88-processed-gene-0.50&CDS=1-1521	YLR380W
OG0000110	snap_masked-loc-_s103-processed-gene-0.78-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-0.78&CDS=1-2127, snap_masked-loc-_s49-processed-gene-0.55-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.55&CDS=1-1728	YDR194C, YMR290C
