	Kluyveromyces_marxianus	Saccharomyces_cerevisiae
OG0000052	genemark-BBIL01000001.1-processed-gene-9.101-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.101&CDS=1-822, genemark-BBIL01000023.1-processed-gene-2.74-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-2.74&CDS=1-825	YDL049C, YJL174W
OG0000053	genemark-BBIL01000001.1-processed-gene-10.93-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-10.93&CDS=1-1596, snap_masked-BBIL01000008.1-processed-gene-4.66-mRNA-1_1&gene=snap_masked-BBIL01000008.1-processed-gene-4.66&CDS=1-1587	YDR131C, YJL149W
OG0000054	genemark-BBIL01000001.1-processed-gene-14.100-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-14.100&CDS=1-777, genemark-BBIL01000001.1-processed-gene-16.40-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.40&CDS=1-777	YCL066W, YCR040W
OG0000055	augustus_masked-BBIL01000001.1-processed-gene-15.103-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-15.103&CDS=1-1731, genemark-BBIL01000001.1-processed-gene-15.51-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-15.51&CDS=1-1740	YEL063C, YNL268W
OG0000056	augustus_masked-BBIL01000004.1-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-4.44&CDS=1-3894, genemark-BBIL01000001.1-processed-gene-15.52-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-15.52&CDS=1-5574	YIL159W, YNL271C
OG0000057	genemark-BBIL01000001.1-processed-gene-15.73-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-15.73&CDS=1-2070, maker-BBIL01000029.1-snap-gene-0.2-mRNA-1_1&gene=maker-BBIL01000029.1-snap-gene-0.2&CDS=1-2406	YLR188W, YPL270W
OG0000058	genemark-BBIL01000001.1-processed-gene-16.45-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.45&CDS=1-3339, genemark-BBIL01000004.1-processed-gene-3.112-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-3.112&CDS=1-3909	YDR507C, YKL101W
OG0000059	genemark-BBIL01000001.1-processed-gene-16.69-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.69&CDS=1-3825, genemark-BBIL01000008.1-processed-gene-0.43-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-0.43&CDS=1-3858, snap_masked-BBIL01000008.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-BBIL01000008.1-processed-gene-0.17&CDS=1-3888	YKL215C
OG0000060	genemark-BBIL01000004.1-processed-gene-3.109-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-3.109&CDS=1-2529, genemark-BBIL01000035.1-processed-gene-6.63-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-6.63&CDS=1-2337	YER017C, YMR089C
OG0000061	genemark-BBIL01000004.1-processed-gene-3.136-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-3.136&CDS=1-390, genemark-BBIL01000023.1-processed-gene-9.79-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-9.79&CDS=1-390	YBL003C, YDR225W
OG0000062	genemark-BBIL01000004.1-processed-gene-4.116-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.116&CDS=1-3033, genemark-BBIL01000010.1-processed-gene-10.76-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.76&CDS=1-2391	YLR144C, YNR067C
OG0000063	genemark-BBIL01000004.1-processed-gene-4.107-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.107&CDS=1-1314, genemark-BBIL01000029.1-processed-gene-7.112-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-7.112&CDS=1-2142	YBL052C, YOR244W
OG0000064	augustus_masked-BBIL01000004.1-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-6.100&CDS=1-2391	YLR266C, YOR162C, YOR172W
OG0000065	genemark-BBIL01000004.1-processed-gene-6.68-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.68&CDS=1-1407, genemark-BBIL01000010.1-processed-gene-1.10-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-1.10&CDS=1-1491	YBR263W, YLR058C
OG0000066	augustus_masked-BBIL01000023.1-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-BBIL01000023.1-processed-gene-6.10&CDS=1-3195, genemark-BBIL01000004.1-processed-gene-8.97-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.97&CDS=1-3279	YBR245C, YOR304W
OG0000067	augustus_masked-BBIL01000004.1-processed-gene-11.128-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-11.128&CDS=1-2220, genemark-BBIL01000023.1-processed-gene-10.54-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-10.54&CDS=1-915	YDR143C, YDR265W
OG0000068	genemark-BBIL01000004.1-processed-gene-11.34-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.34&CDS=1-1800	YDR144C, YLR120C, YLR121C
OG0000069	genemark-BBIL01000004.1-processed-gene-12.136-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.136&CDS=1-924, snap_masked-BBIL01000005.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-0.4&CDS=1-927	YDR368W, YOR120W
OG0000070	genemark-BBIL01000004.1-processed-gene-14.82-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-14.82&CDS=1-1776, genemark-BBIL01000008.1-processed-gene-1.126-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-1.126&CDS=1-1449	YHR050W, YLR034C
OG0000071	augustus_masked-BBIL01000004.1-processed-gene-15.71-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-15.71&CDS=1-1365	YOR229W, YOR230W, YPL139C
OG0000072	snap_masked-BBIL01000005.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-1.54&CDS=1-1692	YOL055C, YPL258C, YPR121W
OG0000073	genemark-BBIL01000005.1-processed-gene-1.125-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-1.125&CDS=1-2802, genemark-BBIL01000005.1-processed-gene-1.99-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-1.99&CDS=1-2829	YJR061W, YKL201C
OG0000074	genemark-BBIL01000005.1-processed-gene-3.26-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-3.26&CDS=1-1245, genemark-BBIL01000008.1-processed-gene-10.55-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-10.55&CDS=1-1287	YDL066W, YLR174W
OG0000075	genemark-BBIL01000005.1-processed-gene-4.128-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-4.128&CDS=1-2235, maker-BBIL01000008.1-snap-gene-6.77-mRNA-1_1&gene=maker-BBIL01000008.1-snap-gene-6.77&CDS=1-2313	YAL023C, YGR199W
OG0000076	genemark-BBIL01000005.1-processed-gene-6.60-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-6.60&CDS=1-1479, genemark-BBIL01000031.1-processed-gene-0.17-mRNA-1_1&gene=genemark-BBIL01000031.1-processed-gene-0.17&CDS=1-1278, genemark-BBIL01000035.1-processed-gene-8.69-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-8.69&CDS=1-1428	YKL221W
OG0000077	genemark-BBIL01000005.1-processed-gene-12.125-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.125&CDS=1-2766, genemark-BBIL01000029.1-processed-gene-4.42-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-4.42&CDS=1-5754	YCR106W, YLL054C
OG0000078	genemark-BBIL01000005.1-processed-gene-14.68-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-14.68&CDS=1-891	YFL059W, YMR096W, YNL333W
OG0000079	genemark-BBIL01000005.1-processed-gene-14.36-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-14.36&CDS=1-636	YFL060C, YMR095C, YNL334C
OG0000080	genemark-BBIL01000008.1-processed-gene-4.102-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-4.102&CDS=1-3249	YDR038C, YDR039C, YDR040C
OG0000081	genemark-BBIL01000010.1-processed-gene-0.40-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-0.40&CDS=1-1563, maker-BBIL01000008.1-snap-gene-9.1-mRNA-1_1&gene=maker-BBIL01000008.1-snap-gene-9.1&CDS=1-1944	YER073W, YOR374W
OG0000082	genemark-BBIL01000008.1-processed-gene-9.151-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-9.151&CDS=1-2517, genemark-BBIL01000023.1-processed-gene-7.23-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-7.23&CDS=1-2610	YMR054W, YOR270C
OG0000083	genemark-BBIL01000010.1-processed-gene-3.86-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-3.86&CDS=1-2397, snap_masked-BBIL01000010.1-processed-gene-8.0-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-8.0&CDS=1-2112	YHR031C, YML061C
OG0000084	genemark-BBIL01000029.1-processed-gene-4.57-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-4.57&CDS=1-5325, snap_masked-BBIL01000010.1-processed-gene-4.75-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-4.75&CDS=1-5676	YLR342W, YMR306W
OG0000085	genemark-BBIL01000010.1-processed-gene-6.111-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-6.111&CDS=1-4908, genemark-BBIL01000023.1-processed-gene-0.57-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.57&CDS=1-3978	YIL126W, YOR290C
OG0000086	genemark-BBIL01000023.1-processed-gene-0.56-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.56&CDS=1-573, genemark-BBIL01000029.1-processed-gene-2.70-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-2.70&CDS=1-573	YGL147C, YNL067W
OG0000087	genemark-BBIL01000023.1-processed-gene-8.1-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-8.1&CDS=1-1875, snap_masked-BBIL01000035.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-BBIL01000035.1-processed-gene-0.100&CDS=1-1842	YFL041W, YMR058W
OG0000088	genemark-BBIL01000023.1-processed-gene-9.52-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-9.52&CDS=1-1866, genemark-BBIL01000035.1-processed-gene-5.95-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-5.95&CDS=1-1812	YBR015C, YJL186W
OG0000089	genemark-BBIL01000029.1-processed-gene-2.103-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-2.103&CDS=1-309, snap_masked-BBIL01000023.1-processed-gene-9.102-mRNA-1_1&gene=snap_masked-BBIL01000023.1-processed-gene-9.102&CDS=1-309	YBR009C, YNL030W
OG0000090	genemark-BBIL01000029.1-processed-gene-0.42-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-0.42&CDS=1-1707, genemark-BBIL01000035.1-processed-gene-7.128-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-7.128&CDS=1-1734, maker-BBIL01000029.1-snap-gene-0.0-mRNA-1_1&gene=maker-BBIL01000029.1-snap-gene-0.0&CDS=1-1728	YDL210W
OG0000091	genemark-BBIL01000029.1-processed-gene-1.45-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-1.45&CDS=1-900, genemark-BBIL01000029.1-processed-gene-5.70-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-5.70&CDS=1-945	YDR492W, YOL002C
OG0000092	augustus_masked-BBIL01000031.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-BBIL01000031.1-processed-gene-0.1&CDS=1-1917, augustus_masked-BBIL01000035.1-processed-gene-8.180-mRNA-1_1&gene=augustus_masked-BBIL01000035.1-processed-gene-8.180&CDS=1-4479, snap_masked-BBIL01000032.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-BBIL01000032.1-processed-gene-0.4&CDS=1-1833	YKL222C
OG0000093	genemark-BBIL01000001.1-processed-gene-0.74-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-0.74&CDS=1-1641, genemark-BBIL01000008.1-processed-gene-0.52-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-0.52&CDS=1-1683	YLL055W
OG0000094	maker-BBIL01000001.1-augustus-gene-0.95-mRNA-1_1&gene=maker-BBIL01000001.1-augustus-gene-0.95&CDS=1-3873	YBR169C, YPL106C
OG0000095	genemark-BBIL01000001.1-processed-gene-0.90-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-0.90&CDS=1-1344	YBR177C, YPL095C
OG0000096	genemark-BBIL01000001.1-processed-gene-0.93-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-0.93&CDS=1-708	YBR181C, YPL090C
OG0000097	genemark-BBIL01000001.1-processed-gene-1.51-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-1.51&CDS=1-951	YBR183W, YPL087W
OG0000098	genemark-BBIL01000001.1-processed-gene-1.59-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-1.59&CDS=1-1179, snap_masked-BBIL01000023.1-processed-gene-1.64-mRNA-1_1&gene=snap_masked-BBIL01000023.1-processed-gene-1.64&CDS=1-1326	YDL131W
OG0000099	maker-BBIL01000001.1-snap-gene-1.48-mRNA-1_1&gene=maker-BBIL01000001.1-snap-gene-1.48&CDS=1-978	YBR191W, YPL079W
OG0000100	snap_masked-BBIL01000001.1-processed-gene-1.130-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-1.130&CDS=1-681	YBR197C, YPL077C
OG0000101	genemark-BBIL01000001.1-processed-gene-1.77-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-1.77&CDS=1-2595	YHR131C, YNL144C
OG0000102	genemark-BBIL01000001.1-processed-gene-2.81-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-2.81&CDS=1-471	YEL034W, YJR047C
OG0000103	snap_masked-BBIL01000001.1-processed-gene-2.127-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-2.127&CDS=1-597	YDL082W, YMR142C
OG0000104	snap_masked-BBIL01000001.1-processed-gene-2.110-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-2.110&CDS=1-429	YDL083C, YMR143W
OG0000105	genemark-BBIL01000001.1-processed-gene-3.52-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-3.52&CDS=1-2634	YDR351W, YHR103W
OG0000106	snap_masked-BBIL01000001.1-processed-gene-3.44-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-3.44&CDS=1-714	YGL076C, YPL198W
OG0000107	genemark-BBIL01000001.1-processed-gene-4.52-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-4.52&CDS=1-2310	YGL071W, YPL202C
OG0000108	maker-BBIL01000001.1-snap-gene-4.99-mRNA-1_1&gene=maker-BBIL01000001.1-snap-gene-4.99&CDS=1-1458	YJL079C, YKR013W
OG0000109	augustus_masked-BBIL01000001.1-processed-gene-4.145-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-4.145&CDS=1-3084	YJL082W, YKR018C
OG0000110	snap_masked-BBIL01000001.1-processed-gene-5.108-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.108&CDS=1-2754	YML111W, YMR275C
OG0000111	snap_masked-BBIL01000001.1-processed-gene-5.122-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.122&CDS=1-1917	YCR026C, YEL016C
OG0000112	genemark-BBIL01000001.1-processed-gene-6.20-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.20&CDS=1-468	YBR048W, YDR025W
OG0000113	genemark-BBIL01000001.1-processed-gene-7.32-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.32&CDS=1-1311	YGR254W, YHR174W
OG0000114	genemark-BBIL01000001.1-processed-gene-7.17-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.17&CDS=1-1209	YHR179W, YPL171C
OG0000115	genemark-BBIL01000001.1-processed-gene-8.101-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.101&CDS=1-648	YAR002C-A, YGL002W
OG0000116	genemark-BBIL01000001.1-processed-gene-8.132-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.132&CDS=1-2778	YFR023W, YHR015W
OG0000117	genemark-BBIL01000001.1-processed-gene-9.88-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.88&CDS=1-2208	YNL299W, YOL115W
OG0000118	genemark-BBIL01000001.1-processed-gene-9.66-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.66&CDS=1-969	YNL301C, YOL120C
OG0000119	genemark-BBIL01000001.1-processed-gene-9.102-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.102&CDS=1-552	YJL177W, YKL180W
OG0000120	augustus_masked-BBIL01000001.1-processed-gene-10.5-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-10.5&CDS=1-1656, genemark-BBIL01000004.1-processed-gene-15.291-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-15.291&CDS=1-1530	YCR028C
OG0000121	genemark-BBIL01000001.1-processed-gene-10.111-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-10.111&CDS=1-1266	YJL139C, YKR061W
OG0000122	maker-BBIL01000001.1-augustus-gene-10.39-mRNA-1_1&gene=maker-BBIL01000001.1-augustus-gene-10.39&CDS=1-2019	YJL138C, YKR059W
OG0000123	snap_masked-BBIL01000001.1-processed-gene-10.73-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-10.73&CDS=1-1359	YJL137C, YKR058W
OG0000124	genemark-BBIL01000001.1-processed-gene-10.101-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-10.101&CDS=1-1218	YJL134W, YKR053C
OG0000125	genemark-BBIL01000001.1-processed-gene-10.102-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-10.102&CDS=1-414	YGR243W, YHR162W
OG0000126	maker-BBIL01000001.1-snap-gene-11.153-mRNA-1_1&gene=maker-BBIL01000001.1-snap-gene-11.153&CDS=1-1386	YMR222C, YOR280C
OG0000127	genemark-BBIL01000001.1-processed-gene-12.67-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-12.67&CDS=1-3525	YBR218C, YGL062W
OG0000128	snap_masked-BBIL01000001.1-processed-gene-12.15-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-12.15&CDS=1-2112	YBR216C, YGL060W
OG0000129	genemark-BBIL01000001.1-processed-gene-12.91-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-12.91&CDS=1-1524	YBR214W, YGL056C
OG0000130	augustus_masked-BBIL01000001.1-processed-gene-12.150-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-12.150&CDS=1-1293	YLR300W, YOR190W
OG0000131	genemark-BBIL01000001.1-processed-gene-12.103-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-12.103&CDS=1-1290, genemark-BBIL01000010.1-processed-gene-2.18-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-2.18&CDS=1-1290	YOR187W
OG0000132	genemark-BBIL01000010.1-processed-gene-2.39-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-2.39&CDS=1-330, snap_masked-BBIL01000001.1-processed-gene-12.23-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-12.23&CDS=1-330	YLR295C
OG0000133	genemark-BBIL01000001.1-processed-gene-12.77-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-12.77&CDS=1-642, genemark-BBIL01000010.1-processed-gene-2.38-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-2.38&CDS=1-642	YLR293C
OG0000134	genemark-BBIL01000001.1-processed-gene-12.78-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-12.78&CDS=1-1068, genemark-BBIL01000010.1-processed-gene-2.36-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-2.36&CDS=1-1068	YLR291C
OG0000135	genemark-BBIL01000001.1-processed-gene-12.80-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-12.80&CDS=1-189	YLR287C-A, YOR182C
OG0000136	snap_masked-BBIL01000001.1-processed-gene-13.90-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-13.90&CDS=1-840	YLR284C, YOR180C
OG0000137	genemark-BBIL01000001.1-processed-gene-13.54-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-13.54&CDS=1-351	YBR016W, YDL012C
OG0000138	genemark-BBIL01000001.1-processed-gene-13.79-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-13.79&CDS=1-861	YDL021W, YOL056W
OG0000139	genemark-BBIL01000001.1-processed-gene-14.115-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-14.115&CDS=1-2754	YCR037C, YJL198W
OG0000140	genemark-BBIL01000001.1-processed-gene-14.116-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-14.116&CDS=1-4095	YCL068C, YCR038C
OG0000141	augustus_masked-BBIL01000002.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-BBIL01000002.1-processed-gene-0.16&CDS=1-489, genemark-BBIL01000001.1-processed-gene-14.98-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-14.98&CDS=1-1974	YJL206C
OG0000142	augustus_masked-BBIL01000002.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-BBIL01000002.1-processed-gene-0.19&CDS=1-576, snap_masked-BBIL01000001.1-processed-gene-14.58-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-14.58&CDS=1-549	YNL245C
OG0000143	augustus_masked-BBIL01000001.1-processed-gene-14.26-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-14.26&CDS=1-3555	YHR155W, YNL257C
OG0000144	snap_masked-BBIL01000001.1-processed-gene-15.38-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-15.38&CDS=1-267	YDR500C, YLR185W
OG0000145	maker-BBIL01000001.1-snap-gene-16.201-mRNA-1_1&gene=maker-BBIL01000001.1-snap-gene-16.201&CDS=1-1101	YCL026C-A, YCL026C-B
OG0000146	genemark-BBIL01000001.1-processed-gene-16.20-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.20&CDS=1-321	YCL035C, YDR513W
OG0000147	maker-BBIL01000001.1-snap-gene-16.203-mRNA-1_1&gene=maker-BBIL01000001.1-snap-gene-16.203&CDS=1-1740	YCL036W, YDR514C
OG0000148	genemark-BBIL01000001.1-processed-gene-16.21-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.21&CDS=1-1458	YCL037C, YDR515W
OG0000149	genemark-BBIL01000001.1-processed-gene-16.54-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.54&CDS=1-1443	YCL040W, YDR516C
OG0000150	genemark-BBIL01000001.1-processed-gene-16.30-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.30&CDS=1-981	YCL050C, YDR530C
OG0000151	augustus_masked-BBIL01000001.1-processed-gene-16.190-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-16.190&CDS=1-1197	YCL051W, YDR528W
OG0000152	genemark-BBIL01000002.1-processed-gene-0.9-mRNA-1_1&gene=genemark-BBIL01000002.1-processed-gene-0.9&CDS=1-639, genemark-BBIL01000005.1-processed-gene-0.47-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-0.47&CDS=1-639	YCR097W
OG0000153	genemark-BBIL01000004.1-processed-gene-1.55-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-1.55&CDS=1-465	YGL031C, YGR148C
OG0000154	augustus_masked-BBIL01000004.1-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-1.103&CDS=1-1536, snap_masked-BBIL01000004.1-processed-gene-1.14-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-1.14&CDS=1-1314	YMR265C
OG0000155	augustus_masked-BBIL01000004.1-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-2.4&CDS=1-276	YHR021C, YKL156W
OG0000156	augustus_masked-BBIL01000004.1-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-2.18&CDS=1-1272	YDR222W, YLR225C
OG0000157	maker-BBIL01000004.1-snap-gene-2.130-mRNA-1_1&gene=maker-BBIL01000004.1-snap-gene-2.130&CDS=1-1596	YKR076W, YMR251W
OG0000158	snap_masked-BBIL01000004.1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-3.47&CDS=1-201	YER160C, YLR035C-A
OG0000159	snap_masked-BBIL01000004.1-processed-gene-5.18-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-5.18&CDS=1-1698	YDR463W, YHR006W
OG0000160	snap_masked-BBIL01000004.1-processed-gene-6.25-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-6.25&CDS=1-516	YMR242C, YOR312C
OG0000161	genemark-BBIL01000004.1-processed-gene-7.57-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.57&CDS=1-1518	YBR020W, YDR009W
OG0000162	genemark-BBIL01000004.1-processed-gene-7.77-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.77&CDS=1-522	YGR085C, YPR102C
OG0000163	genemark-BBIL01000004.1-processed-gene-8.91-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.91&CDS=1-1470	YDL048C, YLR375W
OG0000164	genemark-BBIL01000004.1-processed-gene-8.81-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.81&CDS=1-1593	YMR199W, YPL256C
OG0000165	augustus_masked-BBIL01000004.1-processed-gene-10.34-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-10.34&CDS=1-1323	YCL011C, YNL004W
OG0000166	genemark-BBIL01000004.1-processed-gene-10.115-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.115&CDS=1-357	YER131W, YGL189C
OG0000167	genemark-BBIL01000004.1-processed-gene-11.15-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.15&CDS=1-672	YGR136W, YPR154W
OG0000168	snap_masked-BBIL01000004.1-processed-gene-11.84-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-11.84&CDS=1-1833	YGR138C, YPR156C
OG0000169	snap_masked-BBIL01000004.1-processed-gene-11.67-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-11.67&CDS=1-2274	YGR143W, YPR159W
OG0000170	maker-BBIL01000004.1-snap-gene-11.3-mRNA-1_1&gene=maker-BBIL01000004.1-snap-gene-11.3&CDS=1-408	YDR471W, YHR010W
