	Lachancea_meyersii	Saccharomyces_cerevisiae
OG0000070	maker-LAME0B-snap-gene-4.84-mRNA-1_1&gene=maker-LAME0B-snap-gene-4.84&CDS=1-2478	YJL164C, YKL166C, YPL203W
OG0000071	augustus_masked-LAME0C-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-5.19&CDS=1-3297, maker-LAME0B-augustus-gene-5.141-mRNA-1_1&gene=maker-LAME0B-augustus-gene-5.141&CDS=1-4863	YBL022C, YPL222W
OG0000072	augustus_masked-LAME0B-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.125&CDS=1-3564, augustus_masked-LAME0E-processed-gene-9.119-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-9.119&CDS=1-3132	YNL014W, YPL226W
OG0000073	augustus_masked-LAME0B-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.128&CDS=1-5670, maker-LAME0D-augustus-gene-5.70-mRNA-1_1&gene=maker-LAME0D-augustus-gene-5.70&CDS=1-7320	YNL059C, YPL231W
OG0000074	augustus_masked-LAME0B-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.100&CDS=1-1854, snap_masked-LAME0H-processed-gene-11.37-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-11.37&CDS=1-1176	YDL185W, YDL227C
OG0000075	augustus_masked-LAME0B-processed-gene-7.148-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.148&CDS=1-1422, augustus_masked-LAME0C-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-8.33&CDS=1-1230, augustus_masked-LAME0G-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-7.3&CDS=1-1260	YNL234W
OG0000076	augustus_masked-LAME0C-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-2.139&CDS=1-2301, augustus_masked-LAME0G-processed-gene-16.3-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-16.3&CDS=1-2058	YKR001C, YLL001W
OG0000077	augustus_masked-LAME0C-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-3.19&CDS=1-2619, augustus_masked-LAME0H-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-3.99&CDS=1-2445	YMR054W, YOR270C
OG0000078	augustus_masked-LAME0C-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-4.7&CDS=1-2949, augustus_masked-LAME0H-processed-gene-13.38-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-13.38&CDS=1-2895	YGR240C, YMR205C
OG0000079	augustus_masked-LAME0C-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-5.27&CDS=1-687, augustus_masked-LAME0E-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-2.35&CDS=1-774	YPR013C, YPR015C
OG0000080	augustus_masked-LAME0C-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-8.41&CDS=1-3327, augustus_masked-LAME0E-processed-gene-12.29-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-12.29&CDS=1-3066	YBR245C, YOR304W
OG0000081	augustus_masked-LAME0C-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-8.12&CDS=1-1827, augustus_masked-LAME0D-processed-gene-10.232-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-10.232&CDS=1-1773	YBR298C, YJR160C
OG0000082	maker-LAME0G-snap-gene-2.129-mRNA-1_1&gene=maker-LAME0G-snap-gene-2.129&CDS=1-6039, snap_masked-LAME0D-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LAME0D-processed-gene-0.77&CDS=1-4134	YIL159W, YNL271C
OG0000083	augustus_masked-LAME0D-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-1.42&CDS=1-2106, genemark-LAME0F-processed-gene-1.47-mRNA-1_1&gene=genemark-LAME0F-processed-gene-1.47&CDS=1-2061	YBL011W, YKR067W
OG0000084	augustus_masked-LAME0D-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-2.8&CDS=1-2625, genemark-LAME0G-processed-gene-0.10-mRNA-1_1&gene=genemark-LAME0G-processed-gene-0.10&CDS=1-1449	YDR523C, YHR102W
OG0000085	augustus_masked-LAME0D-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-5.13&CDS=1-1233, augustus_masked-LAME0D-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-6.87&CDS=1-1797	YNL064C, YNL077W
OG0000086	augustus_masked-LAME0D-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-5.33&CDS=1-573, augustus_masked-LAME0E-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-4.29&CDS=1-573	YGL147C, YNL067W
OG0000087	genemark-LAME0F-processed-gene-2.83-mRNA-1_1&gene=genemark-LAME0F-processed-gene-2.83&CDS=1-4833, maker-LAME0D-snap-gene-5.74-mRNA-1_1&gene=maker-LAME0D-snap-gene-5.74&CDS=1-3891	YIL126W, YOR290C
OG0000088	genemark-LAME0D-processed-gene-6.19-mRNA-1_1&gene=genemark-LAME0D-processed-gene-6.19&CDS=1-2376, maker-LAME0G-augustus-gene-3.87-mRNA-1_1&gene=maker-LAME0G-augustus-gene-3.87&CDS=1-2400	YIL130W, YJL206C
OG0000089	augustus_masked-LAME0D-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-7.7&CDS=1-1170, augustus_masked-LAME0H-processed-gene-8.137-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.137&CDS=1-1353, maker-LAME0H-augustus-gene-8.99-mRNA-1_1&gene=maker-LAME0H-augustus-gene-8.99&CDS=1-2490	YOR099W
OG0000090	augustus_masked-LAME0D-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-7.17&CDS=1-1806, augustus_masked-LAME0H-processed-gene-12.134-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-12.134&CDS=1-2172	YKL146W, YNL101W
OG0000091	augustus_masked-LAME0D-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-8.21&CDS=1-2460, snap_masked-LAME0F-processed-gene-4.96-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-4.96&CDS=1-2532	YHR028C, YOR219C
OG0000092	augustus_masked-LAME0D-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-8.23&CDS=1-1896, augustus_masked-LAME0E-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-8.17&CDS=1-2565	YHR031C, YML061C
OG0000093	augustus_masked-LAME0D-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-8.4&CDS=1-1836, augustus_masked-LAME0G-processed-gene-18.91-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-18.91&CDS=1-2055	YDR338C, YHR032W
OG0000094	augustus_masked-LAME0D-processed-gene-10.219-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-10.219&CDS=1-936, augustus_masked-LAME0F-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-6.45&CDS=1-960	YDR492W, YOL002C
OG0000095	augustus_masked-LAME0D-processed-gene-10.192-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-10.192&CDS=1-2193, augustus_masked-LAME0G-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-1.77&CDS=1-1833	YLR188W, YPL270W
OG0000096	augustus_masked-LAME0E-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-0.86&CDS=1-1686, maker-LAME0G-snap-gene-18.74-mRNA-1_1&gene=maker-LAME0G-snap-gene-18.74&CDS=1-3342	YFL011W, YMR011W
OG0000097	augustus_masked-LAME0E-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-1.121&CDS=1-1311, augustus_masked-LAME0G-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-8.54&CDS=1-1224	YDR125C, YGR110W
OG0000098	augustus_masked-LAME0E-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-2.29&CDS=1-2721, augustus_masked-LAME0G-processed-gene-11.99-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-11.99&CDS=1-2895	YMR266W, YOL084W
OG0000099	genemark-LAME0E-processed-gene-2.64-mRNA-1_1&gene=genemark-LAME0E-processed-gene-2.64&CDS=1-3600, maker-LAME0G-snap-gene-12.100-mRNA-1_1&gene=maker-LAME0G-snap-gene-12.100&CDS=1-4377	YDR164C, YNR067C
OG0000100	maker-LAME0E-augustus-gene-3.41-mRNA-1_1&gene=maker-LAME0E-augustus-gene-3.41&CDS=1-1764	YLR237W, YOR071C, YOR192C
OG0000101	augustus_masked-LAME0E-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-4.17&CDS=1-1506, augustus_masked-LAME0E-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-4.38&CDS=1-1509	YMR169C, YMR170C
OG0000102	augustus_masked-LAME0E-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-5.2&CDS=1-705, augustus_masked-LAME0G-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-4.31&CDS=1-1782	YJL162C, YMR161W
OG0000103	augustus_masked-LAME0E-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-5.14&CDS=1-882, augustus_masked-LAME0G-processed-gene-12.8-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-12.8&CDS=1-894	YLR146C, YPR069C
OG0000104	augustus_masked-LAME0E-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-7.59&CDS=1-1260, augustus_masked-LAME0E-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-9.115&CDS=1-1233	YDL066W, YLR174W
OG0000105	augustus_masked-LAME0F-processed-gene-14.26-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.26&CDS=1-2196, maker-LAME0E-augustus-gene-8.42-mRNA-1_1&gene=maker-LAME0E-augustus-gene-8.42&CDS=1-2625	YIL078W, YKL194C
OG0000106	augustus_masked-LAME0F-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-2.11&CDS=1-390, augustus_masked-LAME0G-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-3.120&CDS=1-390	YJL190C, YLR367W
OG0000107	augustus_masked-LAME0G-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-6.9&CDS=1-1941, snap_masked-LAME0F-processed-gene-2.56-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-2.56&CDS=1-1917	YJR045C, YLR369W
OG0000108	augustus_masked-LAME0F-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-3.67&CDS=1-3351, augustus_masked-LAME0G-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-5.115&CDS=1-6657	YJL130C, YJR109C
OG0000109	augustus_masked-LAME0F-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-4.56&CDS=1-8229, augustus_masked-LAME0H-processed-gene-17.96-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-17.96&CDS=1-7239	YLR454W, YPR117W
OG0000110	augustus_masked-LAME0F-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-6.22&CDS=1-2997, augustus_masked-LAME0H-processed-gene-10.37-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-10.37&CDS=1-1857	YDR466W, YOL100W
OG0000111	augustus_masked-LAME0F-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-7.10&CDS=1-807, augustus_masked-LAME0G-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-4.2&CDS=1-843	YDL049C, YJL174W
OG0000112	augustus_masked-LAME0F-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-8.121&CDS=1-1659, augustus_masked-LAME0H-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.117&CDS=1-1536	YDR256C, YGR088W
OG0000113	augustus_masked-LAME0H-processed-gene-12.119-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-12.119&CDS=1-3396, genemark-LAME0F-processed-gene-8.96-mRNA-1_1&gene=genemark-LAME0F-processed-gene-8.96&CDS=1-2808	YIL002C, YOR109W
OG0000114	augustus_masked-LAME0F-processed-gene-9.28-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-9.28&CDS=1-2235, augustus_masked-LAME0G-processed-gene-16.45-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-16.45&CDS=1-2457	YER017C, YMR089C
OG0000115	augustus_masked-LAME0F-processed-gene-12.74-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.74&CDS=1-1362, augustus_masked-LAME0H-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.12&CDS=1-2340	YBL052C, YOR244W
OG0000116	augustus_masked-LAME0F-processed-gene-14.6-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.6&CDS=1-4419, augustus_masked-LAME0G-processed-gene-12.15-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-12.15&CDS=1-4269	YDR334W, YGL150C
OG0000117	genemark-LAME0F-processed-gene-14.88-mRNA-1_1&gene=genemark-LAME0F-processed-gene-14.88&CDS=1-1233, maker-LAME0G-augustus-gene-14.0-mRNA-1_1&gene=maker-LAME0G-augustus-gene-14.0&CDS=1-1884	YKL046C, YMR238W
OG0000118	augustus_masked-LAME0G-processed-gene-14.2-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-14.2&CDS=1-5529, snap_masked-LAME0F-processed-gene-18.96-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-18.96&CDS=1-3888	YDR420W, YGR014W
OG0000119	augustus_masked-LAME0F-processed-gene-19.36-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-19.36&CDS=1-2586, snap_masked-LAME0G-processed-gene-16.62-mRNA-1_1&gene=snap_masked-LAME0G-processed-gene-16.62&CDS=1-2826	YHL007C, YNL298W
OG0000120	augustus_masked-LAME0F-processed-gene-19.44-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-19.44&CDS=1-2301, snap_masked-LAME0H-processed-gene-9.137-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-9.137&CDS=1-1989	YHR035W, YPR181C
OG0000121	augustus_masked-LAME0G-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-1.62&CDS=1-1341, augustus_masked-LAME0H-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-2.129&CDS=1-2469	YCL029C, YPL174C
OG0000122	augustus_masked-LAME0G-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-1.66&CDS=1-3510, augustus_masked-LAME0G-processed-gene-16.42-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-16.42&CDS=1-3669	YDR507C, YKL101W
OG0000123	augustus_masked-LAME0G-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-4.16&CDS=1-1803, augustus_masked-LAME0G-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-8.44&CDS=1-1557	YDR131C, YJL149W
OG0000124	augustus_masked-LAME0G-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-6.25&CDS=1-1746	YOL055C, YPL258C, YPR121W
OG0000125	augustus_masked-LAME0G-processed-gene-19.211-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-19.211&CDS=1-1311, augustus_masked-LAME0G-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-6.45&CDS=1-1311	YGR254W, YHR174W
OG0000126	augustus_masked-LAME0G-processed-gene-9.17-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-9.17&CDS=1-6543, augustus_masked-LAME0H-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-1.117&CDS=1-5868	YER172C, YGR271W
OG0000127	augustus_masked-LAME0G-processed-gene-11.121-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-11.121&CDS=1-1500, augustus_masked-LAME0H-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-1.114&CDS=1-1578	YBR139W, YMR297W
OG0000128	augustus_masked-LAME0G-processed-gene-11.115-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-11.115&CDS=1-9999, augustus_masked-LAME0H-processed-gene-8.135-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.135&CDS=1-2226	YDR160W, YLR138W
OG0000129	augustus_masked-LAME0G-processed-gene-13.3-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-13.3&CDS=1-2334, augustus_masked-LAME0H-processed-gene-13.28-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-13.28&CDS=1-2526	YBR059C, YIL095W
OG0000130	augustus_masked-LAME0G-processed-gene-16.49-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-16.49&CDS=1-642	YFL060C, YMR095C, YNL334C
OG0000131	augustus_masked-LAME0G-processed-gene-17.123-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-17.123&CDS=1-1776, augustus_masked-LAME0H-processed-gene-18.125-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-18.125&CDS=1-1791	YHR194W, YOR147W
OG0000132	augustus_masked-LAME0H-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-2.99&CDS=1-3267	YDR038C, YDR039C, YDR040C
OG0000133	augustus_masked-LAME0H-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-3.117&CDS=1-627, augustus_masked-LAME0H-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.26&CDS=1-597	YBR264C, YKR014C
OG0000134	augustus_masked-LAME0H-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.23&CDS=1-1113	YCR102C, YLR460C, YNL134C
OG0000135	augustus_masked-LAME0H-processed-gene-15.89-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-15.89&CDS=1-1269, augustus_masked-LAME0H-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.39&CDS=1-1509	YER123W, YHR135C
OG0000136	augustus_masked-LAME0A-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-0.49&CDS=1-1602	YOR389W, YPL277C
OG0000137	augustus_masked-LAME0A-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-0.50&CDS=1-1437, genemark-LAME0F-processed-gene-19.64-mRNA-1_1&gene=genemark-LAME0F-processed-gene-19.64&CDS=1-1452	YOL119C
OG0000138	augustus_masked-LAME0A-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-0.52&CDS=1-1593, augustus_masked-LAME0F-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-0.13&CDS=1-1602	YLL055W
OG0000139	augustus_masked-LAME0A-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-0.58&CDS=1-1695, augustus_masked-LAME0F-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-4.50&CDS=1-1719	YDL210W
OG0000140	augustus_masked-LAME0A-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-1.30&CDS=1-429	YDL083C, YMR143W
OG0000141	augustus_masked-LAME0A-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-1.7&CDS=1-597	YDL082W, YMR142C
OG0000142	augustus_masked-LAME0A-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-1.43&CDS=1-609, snap_masked-LAME0B-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-0.7&CDS=1-678	YBL043W
OG0000143	augustus_masked-LAME0A-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-1.24&CDS=1-1356	YER054C, YIL045W
OG0000144	augustus_masked-LAME0A-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-3.110&CDS=1-1545	YBR020W, YDR009W
OG0000145	augustus_masked-LAME0A-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-4.2&CDS=1-2331, augustus_masked-LAME0F-processed-gene-15.77-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.77&CDS=1-11073	YJR126C
OG0000146	augustus_masked-LAME0A-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-4.14&CDS=1-3111	YGL049C, YGR162W
OG0000147	augustus_masked-LAME0A-processed-gene-6.230-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.230&CDS=1-615	YGR038W, YLR350W
OG0000148	augustus_masked-LAME0A-processed-gene-6.232-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.232&CDS=1-381	YGR034W, YLR344W
OG0000149	augustus_masked-LAME0A-processed-gene-6.201-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.201&CDS=1-321	YGR027C, YLR333C
OG0000150	augustus_masked-LAME0A-processed-gene-6.257-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.257&CDS=1-1509, augustus_masked-LAME0E-processed-gene-11.114-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-11.114&CDS=1-1662	YFL040W
OG0000151	augustus_masked-LAME0A-processed-gene-6.261-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.261&CDS=1-1062	YDL246C, YJR159W
OG0000152	augustus_masked-LAME0A-processed-gene-6.272-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.272&CDS=1-630	YGL258W, YOR387C
OG0000153	augustus_masked-LAME0B-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-0.41&CDS=1-1422, augustus_masked-LAME0C-processed-gene-6.139-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-6.139&CDS=1-1341	YER152C
OG0000154	augustus_masked-LAME0B-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-0.49&CDS=1-1383	YAL062W, YOR375C
OG0000155	augustus_masked-LAME0B-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-0.53&CDS=1-3945	YAL056W, YOR371C
OG0000156	augustus_masked-LAME0B-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-1.66&CDS=1-1107	YAL034C, YOR338W
OG0000157	augustus_masked-LAME0B-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.109&CDS=1-1020	YGL162W, YPR009W
OG0000158	augustus_masked-LAME0B-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.138&CDS=1-396	YBL003C, YDR225W
OG0000159	augustus_masked-LAME0B-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.140&CDS=1-2235	YBR001C, YDR001C
OG0000160	augustus_masked-LAME0B-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.121&CDS=1-696	YBR005W, YDR003W
OG0000161	augustus_masked-LAME0B-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.66&CDS=1-732	YGL076C, YPL198W
OG0000162	snap_masked-LAME0B-processed-gene-4.126-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-4.126&CDS=1-1455	YGL134W, YPL219W
OG0000163	augustus_masked-LAME0B-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.80&CDS=1-651	YGL135W, YPL220W
OG0000164	augustus_masked-LAME0B-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.82&CDS=1-2436	YGL139W, YPL221W
OG0000165	augustus_masked-LAME0B-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.129&CDS=1-870	YMR183C, YPL232W
OG0000166	augustus_masked-LAME0B-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.110&CDS=1-2118	YMR186W, YPL240C
OG0000167	maker-LAME0B-augustus-gene-5.140-mRNA-1_1&gene=maker-LAME0B-augustus-gene-5.140&CDS=1-300	YMR194W, YPL249C-A
OG0000168	augustus_masked-LAME0B-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.97&CDS=1-1326, augustus_masked-LAME0H-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.57&CDS=1-1182	YDL131W
OG0000169	augustus_masked-LAME0B-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.122&CDS=1-360	YDL136W, YDL191W
OG0000170	augustus_masked-LAME0B-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.123&CDS=1-1053	YDL137W, YDL192W
OG0000171	augustus_masked-LAME0B-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.126&CDS=1-1452	YDL161W, YLR206W
OG0000172	augustus_masked-LAME0B-processed-gene-7.158-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.158&CDS=1-438	YGR243W, YHR162W
OG0000173	augustus_masked-LAME0B-processed-gene-7.149-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.149&CDS=1-1158, augustus_masked-LAME0H-processed-gene-19.196-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-19.196&CDS=1-1110	YJR149W
OG0000174	augustus_masked-LAME0E-processed-gene-12.43-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-12.43&CDS=1-1191, maker-LAME0C-augustus-gene-0.30-mRNA-1_1&gene=maker-LAME0C-augustus-gene-0.30&CDS=1-2574	YJR148W
