	Botrytis_cinerea	Saccharomyces_cerevisiae
OG0002290	XP_024547372.1	YOL075C
OG0002291	XP_024547402.1	YLR016C
OG0002292	XP_024547407.1	YOL023W
OG0002293	XP_024547410.1	YMR061W
OG0002294	XP_024547411.1	YJL115W
OG0002295	XP_024547443.1	YPL175W
OG0002296	XP_024547463.1	YGR245C
OG0002297	XP_024547537.1	YPL045W
OG0002298	XP_024547541.1	YMR283C
OG0002299	XP_024547555.1	YOR149C
OG0002300	XP_024547571.1	YNL275W
OG0002301	XP_024547583.1	YGL238W
OG0002302	XP_024547585.1	YLR176C
OG0002303	XP_024547589.1	YCR008W
OG0002304	XP_024547590.1	YNL113W
OG0002305	XP_024547591.1	YCR063W
OG0002306	XP_024547593.1	YDR329C
OG0002307	XP_024547604.1	YLR148W
OG0002308	XP_024547605.1	YLR362W
OG0002309	XP_024547608.1	YHR067W
OG0002310	XP_024547609.1	YBR143C
OG0002311	XP_024547613.1	YCL004W
OG0002312	XP_024547616.1	YDR283C
OG0002313	XP_024547618.1	YLR378C
OG0002314	XP_024547625.1	YNL007C
OG0002315	XP_024547628.1	YNL298W
OG0002316	XP_024547629.1	YBR121C
OG0002317	XP_024547646.1	YNL273W
OG0002318	XP_024547652.1	YDL153C
OG0002319	XP_024547653.1	YGL151W
OG0002320	XP_024547664.1	YLR382C
OG0002321	XP_024547665.1	YLR354C
OG0002322	XP_024547684.1	YMR302C
OG0002323	XP_024547690.1	YHR023W
OG0002324	XP_024547699.1	YBR151W
OG0002325	XP_024547713.1	YMR210W
OG0002326	XP_024547717.1	YMR274C
OG0002327	XP_024547745.1	YGL141W
OG0002328	XP_024547746.1	YER165W
OG0002329	XP_024547759.1	YDR336W
OG0002330	XP_024547761.1	YGL092W
OG0002331	XP_024547772.1	YLR100W
OG0002332	XP_024547774.1	YJL213W
OG0002333	XP_024547779.1	YLR144C
OG0002334	XP_024547780.1	YBR282W
OG0002335	XP_024547787.1	YGL016W
OG0002336	XP_024547788.1	YMR096W
OG0002337	XP_024547789.1	YBR201W
OG0002338	XP_024547814.1	YFL024C
OG0002339	XP_024547815.1	YDR257C
OG0002340	XP_024547817.1	YJR069C
OG0002341	XP_024547819.1	YOR291W
OG0002342	XP_024547824.1	YGR031W
OG0002343	XP_024547828.1	YHR128W
OG0002344	XP_024547830.1	YCR027C
OG0002345	XP_024547831.1	YDR023W
OG0002346	XP_024547832.1	YDR268W
OG0002347	XP_024547833.1	YDR041W
OG0002348	XP_024547834.1	YLR051C
OG0002349	XP_024547837.1	YGL233W
OG0002350	XP_024547839.1	YDL090C
OG0002351	XP_024547841.1	YHL010C
OG0002352	XP_024547842.1	YDL055C
OG0002353	XP_024547845.1	YFL007W
OG0002354	XP_024547846.1	YBR004C
OG0002355	XP_024547851.1	YGL159W
OG0002356	XP_024547853.1	YEL021W
OG0002357	XP_024547856.1	YLL024C
OG0002358	XP_024547874.1	YER093C
OG0002359	XP_024547881.1	YJR035W
OG0002360	XP_024547886.1	YBR166C
OG0002361	XP_024547889.1	YPL002C
OG0002362	XP_024547894.1	YLL013C
OG0002363	XP_024547901.1	YNL112W
OG0002364	XP_024547913.1	YOR187W
OG0002365	XP_024547925.1	YEL007W
OG0002366	XP_024547926.1	YDL142C
OG0002367	XP_024547927.1	YJR135W-A
OG0002368	XP_024547929.1	YGL236C
OG0002369	XP_024547935.1	YLR281C
OG0002370	XP_024547939.1	YDL215C
OG0002371	XP_024547942.1	YPR010C
OG0002372	XP_024547951.1	YJL212C
OG0002373	XP_024547953.1	YML042W
OG0002374	XP_024547954.1	YDL051W
OG0002375	XP_024547955.1	YCR019W
OG0002376	XP_024547956.1	YNL138W
OG0002377	XP_024547971.1	YGL198W
OG0002378	XP_024547974.1	YGR037C
OG0002379	XP_024547975.1	YBR223C
OG0002380	XP_024547981.1	YDR291W
OG0002381	XP_024547982.1	YDR400W
OG0002382	XP_024548000.1	YGR003W
OG0002383	XP_024548001.1	YNL310C
OG0002384	XP_024548002.1	YBL004W
OG0002385	XP_024548010.1	YDL104C
OG0002386	XP_024548036.1	YER159C
OG0002387	XP_024548048.1	YGL119W
OG0002388	XP_024548050.1	YGR123C
OG0002389	XP_024548066.1	YDL077C
OG0002390	XP_024548068.1	YBR115C
OG0002391	XP_024548073.1	YAR007C
OG0002392	XP_024548092.1	YIR001C
OG0002393	XP_024548095.1	YFR007W
OG0002394	XP_024548110.1	YER015W
OG0002395	XP_024548151.1	YLR253W
OG0002396	XP_024548153.1	YER142C
OG0002397	XP_024548161.1	YIL090W
OG0002398	XP_024548162.1	YOR021C
OG0002399	XP_024548163.1	YGR007W
OG0002400	XP_024548164.1	YPL059W
OG0002401	XP_024548167.1	YLR291C
OG0002402	XP_024548168.1	YHR004C
OG0002403	XP_024548169.1	YIL033C
OG0002404	XP_024548174.1	YBR058C
OG0002405	XP_024548175.1	YGL078C
OG0002406	XP_024548179.1	YMR156C
OG0002407	XP_024548182.1	YNL206C
OG0002408	XP_024548183.1	YOR036W
OG0002409	XP_024548191.1	YHR018C
OG0002410	XP_024548193.1	YKL087C
OG0002411	XP_024548197.1	YJL050W
OG0002412	XP_024548210.1	YNL032W
OG0002413	XP_024548211.1	YBR070C
OG0002414	XP_024548212.1	YIL093C
OG0002415	XP_024548254.1	YLR384C
OG0002416	XP_024548262.1	YOR201C
OG0002417	XP_024548272.1	YJL046W
OG0002418	XP_024548275.1	YEL064C
OG0002419	XP_024548277.1	YKL218C
OG0002420	XP_024548284.1	YBR043C
OG0002421	XP_024548299.1	YJR002W
OG0002422	XP_024548301.1	YKR082W
OG0002423	XP_024548302.1	YNL154C
OG0002424	XP_024548310.1	YBL013W
OG0002425	XP_024548313.1	YGL245W
OG0002426	XP_024548320.1	YDL185W
OG0002427	XP_024548321.1	YCL039W
OG0002428	XP_024548324.1	YKR001C
OG0002429	XP_024548329.1	YPL259C
OG0002430	XP_024548331.1	YHL020C
OG0002431	XP_024548337.1	YPR088C
OG0002432	XP_024548343.1	YOR207C
OG0002433	XP_024548344.1	YGL014W
OG0002434	XP_024548345.1	YML123C
OG0002435	XP_024548348.1	YOL001W
OG0002436	XP_024548349.1	YEL004W
OG0002437	XP_024548365.1	YLR289W
OG0002438	XP_024548366.1	YPL260W
OG0002439	XP_024548371.1	YJL200C
OG0002440	XP_024548375.1	YIR011C
OG0002441	XP_024548379.1	YIL103W
OG0002442	XP_024548383.1	YDL076C
OG0002443	XP_024548385.1	YJL031C
OG0002444	XP_024548416.1	YLR422W
OG0002445	XP_024548420.1	YPL249C
OG0002446	XP_024548424.1	YER099C
OG0002447	XP_024548428.1	YKL188C
OG0002448	XP_024548429.1	YJL155C
OG0002449	XP_024548434.1	YJL024C
OG0002450	XP_024548438.1	YOR112W
OG0002451	XP_024548444.1	YDR006C
OG0002452	XP_024548453.1	YLR420W
OG0002453	XP_024548459.1	YOR131C
OG0002454	XP_024548467.1	YKR043C
OG0002455	XP_024548468.1	YNL024C
OG0002456	XP_024548470.1	YGL213C
OG0002457	XP_024548493.1	YPL164C
OG0002458	XP_024548496.1	YGR234W
OG0002459	XP_024548521.1	YOR275C
OG0002460	XP_024548525.1	YNL048W
OG0002461	XP_024548530.1	YDR254W
OG0002462	XP_024548549.1	YFR005C
OG0002463	XP_024548550.1	YER012W
OG0002464	XP_024548553.1	YNL209W
OG0002465	XP_024548554.1	YHR038W
OG0002466	XP_024548557.1	YDR270W
OG0002467	XP_024548565.1	YPL125W
OG0002468	XP_024548585.1	YER146W
OG0002469	XP_024548608.1	YPR113W
OG0002470	XP_024548610.1	YDL086W
OG0002471	XP_024548623.1	YAR003W
OG0002472	XP_024548629.1	YHR104W
OG0002473	XP_024548630.1	YKL193C
OG0002474	XP_024548636.1	YLR019W
OG0002475	XP_024548638.1	YNL035C
OG0002476	XP_024548642.1	YOR111W
OG0002477	XP_024548652.1	YGR252W
OG0002478	XP_024548669.1	YOR269W
OG0002479	XP_024548670.1	YLR045C
OG0002480	XP_024548676.1	YDL072C
OG0002481	XP_024548679.1	YEL062W
OG0002482	XP_024548683.1	YLR403W
OG0002483	XP_024548694.1	YFR004W
OG0002484	XP_024548697.1	YHR134W
OG0002485	XP_024548699.1	YJL029C
OG0002486	XP_024548712.1	YPL268W
OG0002487	XP_024548716.1	YJL014W
OG0002488	XP_024548723.1	YOR335C
OG0002489	XP_024548725.1	YAL002W
OG0002490	XP_024548727.1	YNL222W
OG0002491	XP_024548740.1	YKL110C
OG0002492	XP_024548752.1	YGR281W
OG0002493	XP_024548754.1	YBL037W
OG0002494	XP_024548758.1	YLR247C
OG0002495	XP_024548759.1	YKL019W
OG0002496	XP_024548762.1	YPR024W
OG0002497	XP_024548770.1	YJR006W
OG0002498	XP_024548771.1	YBR235W
OG0002499	XP_024548772.1	YOL005C
OG0002500	XP_024548775.1	YBR182C
OG0002501	XP_024548776.1	YGR274C
OG0002502	XP_024548777.1	YGL196W
OG0002503	XP_024548788.1	YGR024C
OG0002504	XP_024548805.1	YOL073C
OG0002505	XP_024548806.1	YBR083W
OG0002506	XP_024548807.1	YDR424C
OG0002507	XP_024548819.1	YBL029C-A
OG0002508	XP_024548820.1	YHL016C
OG0002509	XP_024548823.1	YDR262W
OG0002510	XP_024548834.1	YOL146W
OG0002511	XP_024548857.1	YBR162C
OG0002512	XP_024548861.1	YHR062C
OG0002513	XP_024548866.1	YNL250W
OG0002514	XP_024548869.1	YOL061W
OG0002515	XP_024548870.1	YAL024C
OG0002516	XP_024548877.1	YBR080C
OG0002517	XP_024548880.1	YOR311C
OG0002518	XP_024548881.1	YDR337W
OG0002519	XP_024548884.1	YDR430C
OG0002520	XP_024548892.1	YOR270C
OG0002521	XP_024548917.1	YOR188W
OG0002522	XP_024548920.1	YLR097C
OG0002523	XP_024548936.1	YML103C
OG0002524	XP_024548939.1	YHR005C
OG0002525	XP_024548940.1	YCL057C-A
OG0002526	XP_024548987.1	YNL132W
OG0002527	XP_024548989.1	YDR182W
OG0002528	XP_024549012.1	YGL216W
OG0002529	XP_024549013.1	YML036W
OG0002530	XP_024549035.1	YPL242C
OG0002531	XP_024549065.1	YHR064C
OG0002532	XP_024549080.1	YML102W
OG0002533	XP_024549087.1	YGR258C
OG0002534	XP_024549094.1	YBR247C
OG0002535	XP_024549098.1	YKL181W
OG0002536	XP_024549118.1	YMR073C
OG0002537	XP_024549119.1	YMR158W
OG0002538	XP_024549121.1	YPL183C
OG0002539	XP_024549123.1	YJL057C
OG0002540	XP_024549148.1	YPR048W
OG0002541	XP_024549151.1	YDR531W
OG0002542	XP_024549161.1	YDR306C
OG0002543	XP_024549163.1	YKR070W
OG0002544	XP_024549164.1	YNL287W
OG0002545	XP_024549177.1	YFR019W
OG0002546	XP_024549180.1	YCR011C
OG0002547	XP_024549188.1	YDL147W
OG0002548	XP_024549199.1	YML081C-A
OG0002549	XP_024549244.1	YGR058W
OG0002550	XP_024549245.1	YER163C
OG0002551	XP_024549249.1	YJL102W
OG0002552	XP_024549256.1	YPL076W
OG0002553	XP_024549277.1	YJL163C
OG0002554	XP_024549278.1	YOR176W
OG0002555	XP_024549315.1	YIL118W
OG0002556	XP_024549340.1	YCR098C
OG0002557	XP_024549345.1	YPL166W
OG0002558	XP_024549364.1	YLR409C
OG0002559	XP_024549372.1	YBR193C
OG0002560	XP_024549383.1	YCR092C
OG0002561	XP_024549393.1	YCR023C
OG0002562	XP_024549406.1	YPR066W
OG0002563	XP_024549407.1	YGR099W
OG0002564	XP_024549412.1	YCL043C
OG0002565	XP_024549416.1	YDR141C
OG0002566	XP_024549424.1	YML060W
OG0002567	XP_024549425.1	YLR084C
OG0002568	XP_024549429.1	YBR233W
OG0002569	XP_024549430.1	YBR007C
OG0002570	XP_024549431.1	YAL042W
OG0002571	XP_024549437.1	YMR218C
OG0002572	XP_024549451.1	YPR062W
OG0002573	XP_024549452.1	YDR047W
OG0002574	XP_024549454.1	YDR165W
OG0002575	XP_024549455.1	YDR032C
OG0002576	XP_024549456.1	YGL131C
OG0002577	XP_024549463.1	YKL017C
OG0002578	XP_024549473.1	YFL047W
OG0002579	XP_024549478.1	YOL098C
OG0002580	XP_024549479.1	YHR119W
OG0002581	XP_024549486.1	YOR378W
OG0002582	XP_024549487.1	YOR380W
OG0002583	XP_024549489.1	YBR114W
OG0002584	XP_024549491.1	YNR046W
OG0002585	XP_024549502.1	YDR142C
OG0002586	XP_024549513.1	YLR103C
OG0002587	XP_024549516.1	YOR100C
OG0002588	XP_024549518.1	YBL024W
OG0002589	XP_024549519.1	YBR154C
OG0002590	XP_024549527.1	YOR349W
OG0002591	XP_024549533.1	YBR110W
OG0002592	XP_024549534.1	YDR205W
OG0002593	XP_024549538.1	YOR174W
OG0002594	XP_024549566.1	YDR145W
OG0002595	XP_024549570.1	YPL195W
OG0002596	XP_024549578.1	YGR055W
OG0002597	XP_024549581.1	YGL180W
OG0002598	XP_024549582.1	YLR438W
OG0002599	XP_024549583.1	YGL142C
OG0002600	XP_024549584.1	YMR013C
OG0002601	XP_024549590.1	YNL081C
OG0002602	XP_024549597.1	YLR286C
OG0002603	XP_024549623.1	YDR484W
OG0002604	XP_024549641.1	YBL034C
OG0002605	XP_024549648.1	YHR151C
OG0002606	XP_024549658.1	YJL100W
OG0002607	XP_024549659.1	YOR215C
OG0002608	XP_024549665.1	YPL093W
OG0002609	XP_024549666.1	YER143W
OG0002610	XP_024549680.1	YOR079C
OG0002611	XP_024549687.1	YCR033W
OG0002612	XP_024549706.1	YDR437W
OG0002613	XP_024549707.1	YBR106W
OG0002614	XP_024549713.1	YPR105C
OG0002615	XP_024549717.1	YDR028C
OG0002616	XP_024549721.1	YML038C
OG0002617	XP_024549722.1	YGL252C
OG0002618	XP_024549733.1	YKL022C
OG0002619	XP_024549749.1	YGR053C
OG0002620	XP_024549750.1	YFL038C
OG0002621	XP_024549757.1	YIL116W
OG0002622	XP_024549773.1	YNL123W
OG0002623	XP_024549777.1	YIL101C
OG0002624	XP_024549780.1	YDR373W
OG0002625	XP_024549782.1	YDR305C
OG0002626	XP_024549794.1	YMR262W
OG0002627	XP_024549798.1	YFR038W
OG0002628	XP_024549846.1	YPR162C
OG0002629	XP_024549849.1	YOR159C
OG0002630	XP_024549850.1	YOR160W
OG0002631	XP_024549857.1	YNR029C
OG0002632	XP_024549870.1	YPR033C
OG0002633	XP_024549873.1	YIL034C
OG0002634	XP_024549876.1	YLR071C
OG0002635	XP_024549880.1	YNR030W
OG0002636	XP_024549885.1	YGL202W
OG0002637	XP_024549890.1	YGR189C
OG0002638	XP_024549891.1	YMR304W
OG0002639	XP_024549903.1	YGR048W
OG0002640	XP_024549921.1	YGR129W
OG0002641	XP_024549951.1	YGL064C
OG0002642	XP_024549961.1	YBL084C
OG0002643	XP_024549962.1	YKL116C
OG0002644	XP_024549977.1	YBL039C
OG0002645	XP_024549998.1	YMR263W
OG0002646	XP_024550002.1	YBL022C
OG0002647	XP_024550009.1	YDL165W
OG0002648	XP_024550012.1	YFR031C
OG0002649	XP_024550035.1	YNL082W
OG0002650	XP_024550041.1	YOR126C
OG0002651	XP_024550122.1	YBR074W
OG0002652	XP_024550127.1	YKL003C
OG0002653	XP_024550136.1	YBL035C
OG0002654	XP_024550142.1	YDL122W
OG0002655	XP_024550153.1	YPL009C
OG0002656	XP_024550162.1	YGR100W
OG0002657	XP_024550174.1	YNL118C
OG0002658	XP_024550188.1	YDR493W
OG0002659	XP_024550227.1	YGR260W
OG0002660	XP_024550260.1	YLR454W
OG0002661	XP_024550273.1	YNL163C
OG0002662	XP_024550276.1	YKL034W
OG0002663	XP_024550289.1	YBL092W
OG0002664	XP_024550292.1	YOR005C
OG0002665	XP_024550301.1	YEL015W
OG0002666	XP_024550302.1	YML061C
OG0002667	XP_024550315.1	YJR034W
OG0002668	XP_024550320.1	YGR223C
OG0002669	XP_024550321.1	YIR005W
OG0002670	XP_024550324.1	YEL002C
OG0002671	XP_024550328.1	YML088W
OG0002672	XP_024550330.1	YGR152C
OG0002673	XP_024550334.1	YCR032W
OG0002674	XP_024550343.1	YPR133C
OG0002675	XP_024550348.1	YLR275W
OG0002676	XP_024550355.1	YGL115W
OG0002677	XP_024550356.1	YEL013W
OG0002678	XP_024550357.1	YMR150C
OG0002679	XP_024550361.1	YJL039C
OG0002680	XP_024550362.1	YBL088C
OG0002681	XP_024550372.1	YHR165C
OG0002682	XP_024550388.1	YPL234C
OG0002683	XP_024550398.1	YNL326C
OG0002684	XP_024550405.1	YCR068W
OG0002685	XP_024550406.1	YHR142W
OG0002686	XP_024550425.1	YPR163C
OG0002687	XP_024550426.1	YDR440W
OG0002688	XP_024550427.1	YML018C
OG0002689	XP_024550428.1	YNL217W
OG0002690	XP_024550429.1	YLR205C
OG0002691	XP_024550431.1	YCL054W
OG0002692	XP_024550436.1	YLR240W
OG0002693	XP_024550439.1	YOR155C
OG0002694	XP_024550445.1	YDR397C
OG0002695	XP_024550449.1	YNR007C
OG0002696	XP_024550455.1	YNL119W
OG0002697	XP_024550456.1	YKL120W
OG0002698	XP_024550457.1	YKL018W
OG0002699	XP_024550465.1	YOL096C
OG0002700	XP_024550472.1	YDR062W
OG0002701	XP_024550490.1	YNL200C
OG0002702	XP_024550491.1	YPL013C
OG0002703	XP_024550493.1	YER118C
OG0002704	XP_024550494.1	YJR132W
OG0002705	XP_024550496.1	YLR323C
OG0002706	XP_024550497.1	YDR150W
OG0002707	XP_024550500.1	YPR100W
OG0002708	XP_024550501.1	YIL061C
OG0002709	XP_024550502.1	YAL010C
OG0002710	XP_024550503.1	YLR130C
OG0002711	XP_024550510.1	YDL102W
OG0002712	XP_024550512.1	YIL026C
OG0002713	XP_024550529.1	YNL085W
OG0002714	XP_024550531.1	YMR100W
OG0002715	XP_024550532.1	YKL172W
OG0002716	XP_024550533.1	YNR039C
OG0002717	XP_024550534.1	YNL191W
OG0002718	XP_024550543.1	YDL150W
OG0002719	XP_024550550.1	YOR330C
OG0002720	XP_024550554.1	YBR136W
OG0002721	XP_024550556.1	YMR205C
OG0002722	XP_024550557.1	YER022W
OG0002723	XP_024550567.1	YLR438C-A
OG0002724	XP_024550571.1	YLR055C
OG0002725	XP_024550576.1	YOL065C
OG0002726	XP_024550579.1	YHR100C
OG0002727	XP_024550580.1	YMR162C
OG0002728	XP_024550581.1	YGL251C
OG0002729	XP_024550587.1	YDR214W
OG0002730	XP_024550589.1	YFL031W
OG0002731	XP_024550603.1	YLR419W
OG0002732	XP_024550609.1	YGR135W
OG0002733	XP_024550616.1	YHR188C
OG0002734	XP_024550638.1	YLR427W
OG0002735	XP_024550650.1	YDL210W
OG0002736	XP_024550688.1	YDL066W
OG0002737	XP_024550689.1	YNL175C
OG0002738	XP_024550705.1	YNL192W
OG0002739	XP_024550708.1	YGL244W
OG0002740	XP_024550711.1	YDR001C
OG0002741	XP_024550712.1	YMR268C
OG0002742	XP_024550716.1	YIL038C
OG0002743	XP_024550719.1	YKL092C
OG0002744	XP_024550721.1	YKR085C
OG0002745	XP_024550726.1	YJR019C
OG0002746	XP_024550758.1	YER069W
OG0002747	XP_024550762.1	YNL220W
OG0002748	XP_024550771.1	YKR087C
OG0002749	XP_024550802.1	YMR196W
OG0002750	XP_024550809.1	YLR348C
OG0002751	XP_024550810.1	YLR153C
OG0002752	XP_024550814.1	YPR065W
OG0002753	XP_024550818.1	YGL143C
OG0002754	XP_024550827.1	YOL123W
OG0002755	XP_024550837.1	YOL034W
OG0002756	XP_024550849.1	YDL084W
OG0002757	XP_024550859.1	YHR193C
OG0002758	XP_024550861.1	YPL060W
OG0002759	XP_024550873.1	YMR300C
OG0002760	XP_024550904.1	YDR045C
OG0002761	XP_024550947.1	YPR026W
OG0002762	XP_024550968.1	YHR171W
OG0002763	XP_024550981.1	YHR085W
OG0002764	XP_024551048.1	YFR047C
OG0002765	XP_024551066.1	YGL255W
OG0002766	XP_024551071.1	YOR332W
OG0002767	XP_024551073.1	YER166W
OG0002768	XP_024551077.1	YMR260C
OG0002769	XP_024551089.1	YGL050W
OG0002770	XP_024551095.1	YPL030W
OG0002771	XP_024551109.1	YBL086C
OG0002772	XP_024551126.1	YJL128C
OG0002773	XP_024551137.1	YFL017C
OG0002774	XP_024551143.1	YOL164W
OG0002775	XP_024551160.1	YDL236W
OG0002776	XP_024551171.1	YOR069W
OG0002777	XP_024551172.1	YBR198C
OG0002778	XP_024551174.1	YMR186W
OG0002779	XP_024551176.1	YDR319C
OG0002780	XP_024551177.1	YOR089C
OG0002781	XP_024551184.1	YOL013C
OG0002782	XP_024551185.1	YGR044C
OG0002783	XP_024551187.1	YGL023C
OG0002784	XP_024551194.1	YIL097W
OG0002785	XP_024551195.1	YJR060W
OG0002786	XP_024551196.1	YDR135C
OG0002787	XP_024551202.1	YKL178C
OG0002788	XP_024551205.1	YLR116W
OG0002789	XP_024551207.1	YPL082C
OG0002790	XP_024551208.1	YNL020C
OG0002791	XP_024551217.1	YPR180W
OG0002792	XP_024551232.1	YER036C
OG0002793	XP_024551233.1	YGL150C
OG0002794	XP_024551242.1	YNL193W
OG0002795	XP_024551243.1	YML069W
OG0002796	XP_024551247.1	Q0130
OG0002797	XP_024551268.1	YMR020W
OG0002798	XP_024551275.1	YPR147C
OG0002799	XP_024551283.1	YOR141C
OG0002800	XP_024551289.1	YIR038C
OG0002801	XP_024551292.1	YJL068C
OG0002802	XP_024551297.1	YBL104C
OG0002803	XP_024551298.1	YKL205W
OG0002804	XP_024551300.1	YGR098C
OG0002805	XP_024551305.1	YGR163W
OG0002806	XP_024551307.1	YCL052C
OG0002807	XP_024551315.1	YGR270W
OG0002808	XP_024551317.1	YML080W
OG0002809	XP_024551318.1	YNL233W
OG0002810	XP_024551319.1	YPL188W
OG0002811	XP_024551325.1	YDR169C
OG0002812	XP_024551326.1	YLR234W
OG0002813	XP_024551330.1	YGR278W
OG0002814	XP_024551356.1	YIL049W
OG0002815	XP_024551357.1	YAL036C
OG0002816	XP_024551360.1	YOL145C
OG0002817	XP_024551362.1	YNL169C
OG0002818	XP_024551363.1	YBR017C
OG0002819	XP_024551372.1	YGR047C
OG0002820	XP_024551376.1	YGR193C
OG0002821	XP_024551378.1	YBR079C
OG0002822	XP_024551380.1	YJR086W
OG0002823	XP_024551383.1	YIL130W
OG0002824	XP_024551387.1	YER133W
OG0002825	XP_024551389.1	YBR073W
OG0002826	XP_024551401.1	YLL019C
OG0002827	XP_024551405.1	YKL056C
OG0002828	XP_024551417.1	YIR032C
OG0002829	XP_024551430.1	YPR181C
OG0002830	XP_024551433.1	YIL020C
OG0002831	XP_024551442.1	YDR456W
OG0002832	XP_024551445.1	YKL094W
OG0002833	XP_024551449.1	YHR189W
OG0002834	XP_024551451.1	YCR009C
OG0002835	XP_024551454.1	YDR177W
OG0002836	XP_024551458.1	YDL004W
OG0002837	XP_024551463.1	YPR016C
OG0002838	XP_024551465.1	YEL037C
OG0002839	XP_024551468.1	YGR019W
OG0002840	XP_024551471.1	YJR111C
OG0002841	XP_024551481.1	YAL016W
OG0002842	XP_024551486.1	YFL008W
OG0002843	XP_024551487.1	YGR149W
OG0002844	XP_024551489.1	YPR031W
OG0002845	XP_024551495.1	YER016W
OG0002846	XP_024551500.1	YIL162W
OG0002847	XP_024551501.1	YGL003C
OG0002848	XP_024551504.1	YPR029C
OG0002849	XP_024551517.1	YMR211W
OG0002850	XP_024551548.1	YBR132C
OG0002851	XP_024551553.1	YER087W
OG0002852	XP_024551554.1	YBL095W
OG0002853	XP_024551555.1	YKL080W
OG0002854	XP_024551575.1	YML104C
OG0002855	XP_024551578.1	YJR073C
OG0002856	XP_024551581.1	YGR232W
OG0002857	XP_024551584.1	YLR285W
OG0002858	XP_024551587.1	YBL102W
OG0002859	XP_024551599.1	YJR148W
OG0002860	XP_024551600.1	YOR222W
OG0002861	XP_024551623.1	YBR256C
OG0002862	XP_024551625.1	YDR375C
OG0002863	XP_024551648.1	YDR152W
OG0002864	XP_024551650.1	YJL053W
OG0002865	XP_024551673.1	YEL058W
OG0002866	XP_024551680.1	YCR044C
OG0002867	XP_024551682.1	YOL021C
OG0002868	XP_024551694.1	YDR238C
OG0002869	XP_024551701.1	YLR059C
OG0002870	XP_024551707.1	YBR025C
OG0002871	XP_024551713.1	YLR405W
OG0002872	XP_024551723.1	YGL077C
OG0002873	XP_024551739.1	YNL090W
OG0002874	XP_024551756.1	YDL116W
OG0002875	XP_024551757.1	YMR194C-B
OG0002876	XP_024551758.1	YDR510W
OG0002877	XP_024551769.1	YNL142W
OG0002878	XP_024551772.1	YML096W
OG0002879	XP_024551773.1	YML097C
OG0002880	XP_024551779.1	YCR014C
OG0002881	XP_024551781.1	YKL012W
OG0002882	XP_024551782.1	YDR091C
OG0002883	XP_024551796.1	YCR093W
OG0002884	XP_024551797.1	YMR071C
OG0002885	XP_024551801.1	YIL150C
OG0002886	XP_024551806.1	YDL231C
OG0002887	XP_024551807.1	YDR452W
OG0002888	XP_024551808.1	YGR284C
OG0002889	XP_024551811.1	YHL031C
OG0002890	XP_024551816.1	YKL221W
OG0002891	XP_024551820.1	YAL003W
OG0002892	XP_024551822.1	YDL154W
OG0002893	XP_024551823.1	YHR143W-A
OG0002894	XP_024551850.1	YNL240C
OG0002895	XP_024551853.1	YER007W
OG0002896	XP_024551855.1	YPR049C
OG0002897	XP_024551857.1	YJL054W
OG0002898	XP_024551864.1	YLR172C
OG0002899	XP_024551882.1	YOR346W
OG0002900	XP_024551884.1	YGR235C
OG0002901	XP_024551890.1	YGL169W
OG0002902	XP_024551894.1	YPR019W
OG0002903	XP_024551895.1	YGR125W
OG0002904	XP_024551898.1	YGR217W
OG0002905	XP_024551912.1	YPR086W
OG0002906	XP_024551913.1	YML002W
OG0002907	XP_024551916.1	YMR091C
OG0002908	XP_024551921.1	YGL215W
OG0002909	XP_024551930.1	YOR292C
OG0002910	XP_024551947.1	YBR028C
OG0002911	XP_024551976.1	YNL010W
OG0002912	XP_024551977.1	YOR099W
OG0002913	XP_024551981.1	YHL008C
OG0002914	XP_024551992.1	YER023W
OG0002915	XP_024551998.1	YNL313C
OG0002916	XP_024552001.1	YEL031W
OG0002917	XP_024552015.1	YPR082C
OG0002918	XP_024552020.1	YIL042C
OG0002919	XP_024552023.1	YPL217C
OG0002920	XP_024552036.1	YDL035C
OG0002921	XP_024552047.1	YKL210W
OG0002922	XP_024552048.1	YGR014W
OG0002923	XP_024552050.1	YBR293W
OG0002924	XP_024552061.1	YPL029W
OG0002925	XP_024552066.1	YNL325C
OG0002926	XP_024552068.1	YCR066W
OG0002927	XP_024552077.1	YDL031W
OG0002928	XP_024552078.1	YJL033W
OG0002929	XP_024552084.1	YDR180W
OG0002930	XP_024552088.1	YKR026C
OG0002931	XP_024552100.1	YPL248C
OG0002932	XP_024552112.1	YBR029C
OG0002933	XP_024552126.1	YGR286C
OG0002934	XP_024552131.1	YPR045C
OG0002935	XP_024552132.1	YBR200W
OG0002936	XP_024552137.1	YGL231C
OG0002937	XP_024552138.1	YJR005W
OG0002938	XP_024552139.1	YDR063W
OG0002939	XP_024552140.1	YKL217W
OG0002940	XP_024552146.1	YJR142W
OG0002941	XP_024552148.1	YAR008W
OG0002942	XP_024552149.1	YEL036C
OG0002943	XP_024552152.1	YGL172W
OG0002944	XP_024552153.1	YJR093C
OG0002945	XP_024552164.1	YDR338C
OG0002946	XP_024552168.1	YMR167W
OG0002947	XP_024552182.1	YDR415C
OG0002948	XP_024552185.1	YEL052W
OG0002949	XP_024552189.1	YNL155W
OG0002950	XP_024552197.1	YGR157W
OG0002951	XP_024552207.1	YNR012W
OG0002952	XP_024552210.1	YLR262C
OG0002953	XP_024552211.1	YJR040W
OG0002954	XP_024552218.1	YBR102C
OG0002955	XP_024552224.1	YKL058W
