	Saccharomyces_cerevisiae	Schizosaccharomyces_pombe
OG0002023	YLR340W	SPCC18.14c_pep
OG0002024	YLR345W	SPAC144.17c_pep
OG0002025	YLR347C	SPAC1B1.03c_pep
OG0002026	YLR351C	SPAC26A3.11_pep
OG0002027	YLR354C	SPCC1020.06c_pep
OG0002028	YLR355C	SPBC56F2.12_pep
OG0002029	YLR359W	SPBC14F5.09c_pep
OG0002030	YLR361C	SPCC1020.05_pep
OG0002031	YLR362W	SPBC1D7.05_pep
OG0002032	YLR370C	SPBC1778.08c_pep
OG0002033	YLR377C	SPBC1198.14c_pep
OG0002034	YLR378C	SPBC354.02c_pep
OG0002035	YLR380W	SPAC3H8.02_pep
OG0002036	YLR382C	SPAC4G8.09_pep
OG0002037	YLR383W	SPCC5E4.06_pep
OG0002038	YLR384C	SPBC36.07_pep
OG0002039	YLR386W	SPBC25H2.03_pep
OG0002040	YLR389C	SPACUNK4.12c_pep
OG0002041	YLR393W	SPAC4G8.11c_pep
OG0002042	YLR396C	SPBC1703.15c_pep
OG0002043	YLR397C	SPBC56F2.07c_pep
OG0002044	YLR398C	SPCC550.03c_pep
OG0002045	YLR401C	SPAC16.04_pep
OG0002046	YLR403W	SPAC16.05c_pep
OG0002047	YLR405W	SPCC777.15_pep
OG0002048	YLR409C	SPCC1672.07_pep
OG0002049	YLR410W	SPCC1672.06c_pep
OG0002050	YLR417W	SPBC3B9.09_pep
OG0002051	YLR418C	SPBC17G9.02c_pep
OG0002052	YLR419W	SPCC895.09c_pep
OG0002053	YLR420W	SPAC16.03c_pep
OG0002054	YLR425W	SPCC645.06c_pep
OG0002055	YLR426W	SPBC16H5.14c_pep
OG0002056	YLR427W	SPBP8B7.23_pep
OG0002057	YLR429W	SPAC23C4.02_pep
OG0002058	YLR433C	SPBP4H10.04_pep
OG0002059	YLR435W	SPBC409.15_pep
OG0002060	YLR438C-A	SPBC9B6.05c_pep
OG0002061	YLR438W	SPBC21C3.08c_pep
OG0002062	YLR439W	SPCC4G3.06c_pep
OG0002063	YLR447C	SPAC17A2.03c_pep
OG0002064	YLR454W	SPAC3H5.09c_pep
OG0002065	YLR459W	SPAC1952.01_pep
OG0002066	YML001W	SPBC405.04c_pep
OG0002067	YML004C	SPBC12C2.12c_pep
OG0002068	YML005W	SPAC4G8.06c_pep
OG0002069	YML007W	SPAC1783.07c_pep
OG0002070	YML008C	SPBC16E9.05_pep
OG0002071	YML009C	SPBC4F6.08c_pep
OG0002072	YML010W	SPAC23C4.19_pep
OG0002073	YML012W	SPAC23H4.03c_pep
OG0002074	YML014W	SPAC13D6.03c_pep
OG0002075	YML015C	SPAC1002.04c_pep
OG0002076	YML018C	SPBC405.03c_pep
OG0002077	YML021C	SPCC1183.06_pep
OG0002078	YML025C	SPBC2D10.08c_pep
OG0002079	YML030W	SPAC25B8.07c_pep
OG0002080	YML035C	SPBC106.04_pep
OG0002081	YML036W	SPCC24B10.12_pep
OG0002082	YML038C	SPAC22E12.01_pep
OG0002083	YML043C	SPBC725.17c_pep
OG0002084	YML046W	SPBC4B4.09_pep
OG0002085	YML049C	SPAPJ698.03c_pep
OG0002086	YML054C	SPAPB1A11.03_pep
OG0002087	YML059C	SPCC4B3.04c_pep
OG0002088	YML061C	SPBC887.14c_pep
OG0002089	YML064C	SPAC1565.06c_pep
OG0002090	YML065W	SPBC29A10.15_pep
OG0002091	YML067C	SPBC2G5.04c_pep
OG0002092	YML068W	SPAC1002.14_pep
OG0002093	YML069W	SPBC609.05_pep
OG0002094	YML070W	SPAC22A12.11_pep
OG0002095	YML072C	SPAPYUK71.03c_pep
OG0002096	YML077W	SPAC3G9.16c_pep
OG0002097	YML080W	SPBC36B7.04_pep
OG0002098	YML081C-A	SPAC23C4.11_pep
OG0002099	YML085C	SPBC16A3.15c_pep
OG0002100	YML086C	SPAPB1A10.12c_pep
OG0002101	YML088W	SPBC1703.06_pep
OG0002102	YML092C	SPCC1442.06_pep
OG0002103	YML093W	SPAC57A7.06_pep
OG0002104	YML094W	SPBC215.02_pep
OG0002105	YML095C	SPBC4F6.15c_pep
OG0002106	YML096W	SPBC4F6.11c_pep
OG0002107	YML097C	SPBC4F6.10_pep
OG0002108	YML098W	SPCC1494.02c_pep
OG0002109	YML101C	SPCC4G3.13c_pep
OG0002110	YML102W	SPAC26H5.03_pep
OG0002111	YML103C	SPAP27G11.10c_pep
OG0002112	YML104C	SPCC16A11.04_pep
OG0002113	YML105C	SPCC126.15c_pep
OG0002114	YML110C	SPCC4G3.04c_pep
OG0002115	YML121W	SPBC337.13c_pep
OG0002116	YML126C	SPAC4F8.14c_pep
OG0002117	YML127W	SPBC1703.02_pep
OG0002118	YML128C	SPBC365.12c_pep
OG0002119	YML130C	SPCC1450.14c_pep
OG0002120	YML131W	SPAPB24D3.08c_pep
OG0002121	YMR001C	SPAC23C11.16_pep
OG0002122	YMR004W	SPAC3A11.06_pep
OG0002123	YMR009W	SPBC887.01_pep
OG0002124	YMR012W	SPBC530.06c_pep
OG0002125	YMR013C	SPCC63.10c_pep
OG0002126	YMR015C	SPAC19A8.04_pep
OG0002127	YMR022W	SPBP16F5.04_pep
OG0002128	YMR023C	SPAC222.05c_pep
OG0002129	YMR024W	SPBC3B9.14c_pep
OG0002130	YMR026C	SPAPB17E12.03_pep
OG0002131	YMR028W	SPCC63.05_pep
OG0002132	YMR029C	SPBC1773.01_pep
OG0002133	YMR033W	SPAC1071.06_pep
OG0002134	YMR035W	SPBC336.13c_pep
OG0002135	YMR036C	SPAC24H6.05_pep
OG0002136	YMR038C	SPAC22E12.04_pep
OG0002137	YMR039C	SPAC16A10.02_pep
OG0002138	YMR048W	SPBC30D10.04_pep
OG0002139	YMR049C	SPBC4F6.13c_pep
OG0002140	YMR055C	SPAC6F6.08c_pep
OG0002141	YMR058W	SPAC1F7.08_pep
OG0002142	YMR061W	SPAC6F12.17_pep
OG0002143	YMR062C	SPBC1271.14_pep
OG0002144	YMR065W	SPAC13C5.03_pep
OG0002145	YMR071C	SPBC32F12.12c_pep
OG0002146	YMR074C	SPAC23C4.09c_pep
OG0002147	YMR076C	SPAC110.02_pep
OG0002148	YMR077C	SPBC215.14c_pep
OG0002149	YMR078C	SPBC902.02c_pep
OG0002150	YMR079W	SPAC3H8.10_pep
OG0002151	YMR080C	SPAC16C9.06c_pep
OG0002152	YMR089C	SPBC543.09_pep
OG0002153	YMR090W	SPBC216.03_pep
OG0002154	YMR091C	SPCC1281.05_pep
OG0002155	YMR092C	SPAC9G1.05_pep
OG0002156	YMR093W	SPBC428.19c_pep
OG0002157	YMR096W	SPAC29B12.04_pep
OG0002158	YMR097C	SPBC25B2.04c_pep
OG0002159	YMR100W	SPBC31F10.10c_pep
OG0002160	YMR105C	SPBC32F12.10_pep
OG0002161	YMR106C	SPBC543.03c_pep
OG0002162	YMR108W	SPBP35G2.07_pep
OG0002163	YMR109W	SPBC146.13c_pep
OG0002164	YMR113W	SPAC227.09_pep
OG0002165	YMR116C	SPAC6B12.15_pep
OG0002166	YMR120C	SPCPB16A4.03c_pep
OG0002167	YMR123W	SPBP23A10.02_pep
OG0002168	YMR125W	SPAC6G10.07_pep
OG0002169	YMR128W	SPAPB1A10.06c_pep
OG0002170	YMR129W	SPBC29A10.07_pep
OG0002171	YMR131C	SPBC1711.07_pep
OG0002172	YMR135C	SPAC12B10.13_pep
OG0002173	YMR137C	SPAC22A12.01c_pep
OG0002174	YMR140W	SPBC25B2.03_pep
OG0002175	YMR146C	SPAC4D7.05_pep
OG0002176	YMR150C	SPBC2D10.07c_pep
OG0002177	YMR156C	SPAC23C11.04c_pep
OG0002178	YMR158W	SPCC736.10c_pep
OG0002179	YMR161W	SPBC17A3.05c_pep
OG0002180	YMR162C	SPAC821.13c_pep
OG0002181	YMR165C	SPAC1952.13_pep
OG0002182	YMR166C	SPCC1442.03_pep
OG0002183	YMR167W	SPBC1703.04_pep
OG0002184	YMR171C	SPCC285.10c_pep
OG0002185	YMR185W	SPBC20F10.08c_pep
OG0002186	YMR186W	SPAC926.04c_pep
OG0002187	YMR189W	SPAC13G6.06c_pep
OG0002188	YMR190C	SPAC2G11.12_pep
OG0002189	YMR193W	SPBC14C8.10_pep
OG0002190	YMR194C-B	SPAC4F10.22_pep
OG0002191	YMR197C	SPBC3B9.10_pep
OG0002192	YMR200W	SPAC31G5.02_pep
OG0002193	YMR201C	SPBC649.03_pep
OG0002194	YMR202W	SPAC20G8.07c_pep
OG0002195	YMR203W	SPBC27B12.13_pep
OG0002196	YMR205C	SPBC16H5.02_pep
OG0002197	YMR208W	SPAC13G6.11c_pep
OG0002198	YMR211W	SPAC30C2.06c_pep
OG0002199	YMR212C	SPCC794.08_pep
OG0002200	YMR213W	SPAC644.12_pep
OG0002201	YMR214W	SPBC1347.05c_pep
OG0002202	YMR216C	SPBC530.14c_pep
OG0002203	YMR217W	SPAP7G5.02c_pep
OG0002204	YMR218C	SPCC285.14_pep
OG0002205	YMR220W	SPAC343.01c_pep
OG0002206	YMR223W	SPAC13A11.04c_pep
OG0002207	YMR224C	SPAC13C5.07_pep
OG0002208	YMR226C	SPAC521.03_pep
OG0002209	YMR227C	SPAC13F5.02c_pep
OG0002210	YMR228W	SPAC1002.08c_pep
OG0002211	YMR229C	SPCC1183.07_pep
OG0002212	YMR231W	SPAC823.12_pep
OG0002213	YMR234W	SPBC336.06c_pep
OG0002214	YMR235C	SPAC22E12.07_pep
OG0002215	YMR236W	SPAC12G12.05c_pep
OG0002216	YMR239C	SPBC119.11c_pep
OG0002217	YMR240C	SPAC22F8.10c_pep
OG0002218	YMR241W	SPBC83.13_pep
OG0002219	YMR244C-A	SPBC24C6.13_pep
OG0002220	YMR244W	SPCC18.01c_pep
OG0002221	YMR247C	SPBC21D10.09c_pep
OG0002222	YMR259C	SPCC1494.07_pep
OG0002223	YMR260C	SPBC25H2.07_pep
OG0002224	YMR262W	SPAC688.13_pep
OG0002225	YMR265C	SPBC4.02c_pep
OG0002226	YMR268C	SPBC1861.04c_pep
OG0002227	YMR269W	SPAC1952.02_pep
OG0002228	YMR272C	SPAC19G12.08_pep
OG0002229	YMR276W	SPAC26A3.16_pep
OG0002230	YMR277W	SPAC19B12.05c_pep
OG0002231	YMR278W	SPCC1840.05c_pep
OG0002232	YMR281W	SPAPB2B4.01c_pep
OG0002233	YMR283C	SPAC3F10.06c_pep
OG0002234	YMR284W	SPCC126.02c_pep
OG0002235	YMR286W	SPCC1919.08c_pep
OG0002236	YMR287C	SPCC1322.01_pep
OG0002237	YMR288W	SPAC27F1.09c_pep
OG0002238	YMR289W	SPBC19G7.02_pep
OG0002239	YMR290C	SPAC1F7.02c_pep
OG0002240	YMR292W	SPCC4B3.02c_pep
OG0002241	YMR293C	SPBC646.03_pep
OG0002242	YMR294W	SPCC11E10.03_pep
OG0002243	YMR296C	SPBC18E5.02c_pep
OG0002244	YMR300C	SPAC4D7.08c_pep
OG0002245	YMR301C	SPAC15A10.01_pep
OG0002246	YMR302C	SPBC83.05_pep
OG0002247	YMR307W	SPAC19B12.02c_pep
OG0002248	YMR308C	SPCC1840.03_pep
OG0002249	YMR309C	SPAC4A8.16c_pep
OG0002250	YMR314W	SPAC6G10.04c_pep
OG0002251	YMR319C	SPBP26C9.03c_pep
OG0002252	YNL001W	SPCC18B5.06_pep
OG0002253	YNL003C	SPAC12B10.09_pep
OG0002254	YNL005C	SPAP19A11.05c_pep
OG0002255	YNL006W	SPBC21B10.05c_pep
OG0002256	YNL007C	SPCC830.07c_pep
OG0002257	YNL010W	SPAC823.14_pep
OG0002258	YNL014W	SPCC417.08_pep
OG0002259	YNL021W	SPBC800.03_pep
OG0002260	YNL022C	SPAC2C4.06c_pep
OG0002261	YNL023C	SPCC18.03_pep
OG0002262	YNL024C	SPAC23C4.06c_pep
OG0002263	YNL024C-A	SPBC530.16_pep
OG0002264	YNL025C	SPBC12D12.06_pep
OG0002265	YNL026W	SPAC17C9.06_pep
OG0002266	YNL032W	SPBC17A3.03c_pep
OG0002267	YNL035C	SPCC63.06_pep
OG0002268	YNL036W	SPBP8B7.05c_pep
OG0002269	YNL037C	SPAC11G7.03_pep
OG0002270	YNL039W	SPCC1919.14c_pep
OG0002271	YNL041C	SPBC776.10c_pep
OG0002272	YNL044W	SPCC306.02c_pep
OG0002273	YNL045W	SPCC1322.05c_pep
OG0002274	YNL048W	SPCC330.08_pep
OG0002275	YNL049C	SPAC22F8.08_pep
OG0002276	YNL059C	SPBC365.10_pep
OG0002277	YNL061W	SPBP8B7.20c_pep
OG0002278	YNL062C	SPBC800.08_pep
OG0002279	YNL063W	SPAC29B12.05c_pep
OG0002280	YNL064C	SPBC1734.11_pep
OG0002281	YNL070W	SPBC27B12.10c_pep
OG0002282	YNL071W	SPCC794.07_pep
OG0002283	YNL072W	SPAC4G9.02_pep
OG0002284	YNL075W	SPAC19A8.07c_pep
OG0002285	YNL080C	SPAPB17E12.08_pep
OG0002286	YNL081C	SPCC1795.07_pep
OG0002287	YNL082W	SPAC19G12.02c_pep
OG0002288	YNL084C	SPBC11G11.02c_pep
OG0002289	YNL085W	SPAC139.01c_pep
OG0002290	YNL088W	SPBC1A4.03c_pep
OG0002291	YNL090W	SPAC16.01_pep
OG0002292	YNL091W	SPAC29E6.10c_pep
OG0002293	YNL092W	SPBC1778.07_pep
OG0002294	YNL094W	SPBC29B5.04c_pep
OG0002295	YNL098C	SPAC17H9.09c_pep
OG0002296	YNL102W	SPAC3H5.06c_pep
OG0002297	YNL107W	SPAC17G8.07_pep
OG0002298	YNL110C	SPCC1827.05c_pep
OG0002299	YNL111C	SPBC29A10.16c_pep
OG0002300	YNL112W	SPBP8B7.16c_pep
OG0002301	YNL113W	SPAC1687.01_pep
OG0002302	YNL115C	SPAC23C11.06c_pep
OG0002303	YNL118C	SPAC19A8.12_pep
OG0002304	YNL119W	SPBC19C2.13c_pep
OG0002305	YNL123W	SPAC23G3.12c_pep
OG0002306	YNL124W	SPBC30D10.15_pep
OG0002307	YNL126W	SPBC428.20c_pep
OG0002308	YNL127W	SPBC27B12.04c_pep
OG0002309	YNL128W	SPBC609.02_pep
OG0002310	YNL129W	SPBP22H7.06_pep
OG0002311	YNL131W	SPAC17H9.16_pep
OG0002312	YNL132W	SPAC20G8.09c_pep
OG0002313	YNL135C	SPBC839.17c_pep
OG0002314	YNL136W	SPBC16A3.19_pep
OG0002315	YNL137C	SPBC13G1.01c_pep
OG0002316	YNL138W	SPCC306.09c_pep
OG0002317	YNL138W-A	SPBC211.05_pep
OG0002318	YNL139C	SPAC1D4.14_pep
OG0002319	YNL141W	SPBC1198.02_pep
OG0002320	YNL142W	SPCPB1C11.01_pep
OG0002321	YNL147W	SPCC285.12_pep
OG0002322	YNL148C	SPAC13D6.05_pep
OG0002323	YNL153C	SPAC227.05_pep
OG0002324	YNL161W	SPAC821.12_pep
OG0002325	YNL163C	SPCC553.08c_pep
OG0002326	YNL168C	SPBC21C3.09c_pep
OG0002327	YNL169C	SPBC16E9.18_pep
OG0002328	YNL172W	SPBC106.09_pep
OG0002329	YNL175C	SPAC3G6.04_pep
OG0002330	YNL177C	SPCC1739.02c_pep
OG0002331	YNL178W	SPBC16G5.14c_pep
OG0002332	YNL181W	SPAC19A8.06_pep
OG0002333	YNL183C	SPCC1020.10_pep
OG0002334	YNL185C	SPAC1486.07c_pep
OG0002335	YNL193W	SPAC926.02_pep
OG0002336	YNL200C	SPAC15A10.05c_pep
OG0002337	YNL201C	SPBC216.01c_pep
OG0002338	YNL202W	SPAC922.06_pep
OG0002339	YNL206C	SPAC6G9.03c_pep
OG0002340	YNL207W	SPBC1703.05_pep
OG0002341	YNL209W	SPBC1709.05_pep
OG0002342	YNL212W	SPBC1685.14c_pep
OG0002343	YNL213C	SPAC6B12.06c_pep
OG0002344	YNL218W	SPAC26H5.02c_pep
OG0002345	YNL219C	SPAC1834.05_pep
OG0002346	YNL220W	SPAC144.03_pep
OG0002347	YNL221C	SPAC25B8.16_pep
OG0002348	YNL222W	SPAC3G9.04_pep
OG0002349	YNL223W	SPAC19B12.08_pep
OG0002350	YNL224C	SPCC1442.13c_pep
OG0002351	YNL232W	SPCC1840.11_pep
OG0002352	YNL238W	SPAC22E12.09c_pep
OG0002353	YNL240C	SPCC1450.10c_pep
OG0002354	YNL241C	SPAC3A12.18_pep
OG0002355	YNL242W	SPBC31E1.01c_pep
OG0002356	YNL243W	SPAC688.11_pep
OG0002357	YNL244C	SPBC23G7.05_pep
OG0002358	YNL247W	SPAC29E6.06c_pep
OG0002359	YNL248C	SPAC2F3.03c_pep
OG0002360	YNL250W	SPAC1556.01c_pep
OG0002361	YNL251C	SPAC222.09_pep
OG0002362	YNL252C	SPCC126.05c_pep
OG0002363	YNL256W	SPBC1734.03_pep
OG0002364	YNL259C	SPBC1709.10c_pep
OG0002365	YNL261W	SPBC646.14c_pep
OG0002366	YNL262W	SPBC25H2.13c_pep
OG0002367	YNL263C	SPBC25H2.06c_pep
OG0002368	YNL265C	SPCC1442.17c_pep
OG0002369	YNL267W	SPAC22E12.16c_pep
OG0002370	YNL271C	SPAC1F5.04c_pep
OG0002371	YNL272C	SPAC23C4.10_pep
OG0002372	YNL273W	SPBC216.06c_pep
OG0002373	YNL274C	SPACUNK4.10_pep
OG0002374	YNL275W	SPBC543.05c_pep
OG0002375	YNL277W	SPBC56F2.11_pep
OG0002376	YNL279W	SPAP7G5.03_pep
OG0002377	YNL280C	SPBC16G5.18_pep
OG0002378	YNL284C	SPBC9B6.06_pep
OG0002379	YNL286W	SPBC1289.02c_pep
OG0002380	YNL287W	SPAC57A7.10c_pep
OG0002381	YNL288W	SPAC29B12.06c_pep
OG0002382	YNL290W	SPAC27E2.10c_pep
OG0002383	YNL291C	SPAC1F5.08c_pep
OG0002384	YNL292W	SPBC11C11.10_pep
OG0002385	YNL297C	SPAC23D3.13c_pep
OG0002386	YNL305C	SPCC576.04_pep
OG0002387	YNL306W	SPAC1B3.18c_pep
OG0002388	YNL308C	SPAC22G7.05_pep
OG0002389	YNL310C	SPAC24H6.02c_pep
OG0002390	YNL312W	SPCC1753.01c_pep
OG0002391	YNL313C	SPAC19B12.01_pep
OG0002392	YNL315C	SPAC3A12.12_pep
OG0002393	YNL316C	SPBC30D10.16_pep
OG0002394	YNL317W	SPAC12G12.14c_pep
OG0002395	YNL320W	SPBC32H8.03_pep
OG0002396	YNL321W	SPAC521.04c_pep
OG0002397	YNL325C	SPAC1093.03_pep
OG0002398	YNL329C	SPAC17A5.01_pep
OG0002399	YNL330C	SPBC36.05c_pep
OG0002400	YNR001C	SPAC6C3.04_pep
OG0002401	YNR003C	SPCC290.02_pep
OG0002402	YNR006W	SPAC19A8.05c_pep
OG0002403	YNR007C	SPBC3B9.06c_pep
OG0002404	YNR008W	SPBC776.14_pep
OG0002405	YNR011C	SPBC19C2.01_pep
OG0002406	YNR012W	SPCC162.11c_pep
OG0002407	YNR013C	SPBC3B8.04c_pep
OG0002408	YNR015W	SPBC1709.06_pep
OG0002409	YNR016C	SPAC56E4.04c_pep
OG0002410	YNR017W	SPCC16A11.09c_pep
OG0002411	YNR018W	SPAC1565.01_pep
OG0002412	YNR020C	SPCC320.12_pep
OG0002413	YNR027W	SPAC6F6.11c_pep
OG0002414	YNR029C	SPBC15D4.05_pep
OG0002415	YNR030W	SPBC1734.12c_pep
OG0002416	YNR032C-A	SPBC31E1.03_pep
OG0002417	YNR032W	SPAC22H10.04_pep
OG0002418	YNR033W	SPBP8B7.29_pep
OG0002419	YNR035C	SPAC6F6.10c_pep
OG0002420	YNR036C	SPAC4F8.06_pep
OG0002421	YNR037C	SPAC1751.02c_pep
OG0002422	YNR038W	SPCC285.03_pep
OG0002423	YNR039C	SPBC16E9.14c_pep
OG0002424	YNR041C	SPAC56F8.04c_pep
OG0002425	YNR043W	SPAC24C9.03_pep
OG0002426	YNR046W	SPAC31A2.02_pep
OG0002427	YNR050C	SPBC3B8.03_pep
OG0002428	YNR052C	SPCC18.06c_pep
OG0002429	YNR053C	SPAC6F6.03c_pep
OG0002430	YNR054C	SPBC28E12.05_pep
OG0002431	YNR055C	SPBC1271.10c_pep
OG0002432	YOL002C	SPBC12C2.09c_pep
OG0002433	YOL004W	SPBC12C2.10c_pep
OG0002434	YOL005C	SPAC3A12.07_pep
OG0002435	YOL006C	SPBC1703.14c_pep
OG0002436	YOL008W	SPCC16A11.07_pep
OG0002437	YOL009C	SPBC28F2.06c_pep
OG0002438	YOL010W	SPAC12G12.06c_pep
OG0002439	YOL012C	SPBC11B10.10c_pep
OG0002440	YOL013C	SPBC17D11.02c_pep
OG0002441	YOL018C	SPAC823.05c_pep
OG0002442	YOL019W	SPCC1739.10_pep
OG0002443	YOL021C	SPBC26H8.10_pep
OG0002444	YOL022C	SPBC25H2.15_pep
OG0002445	YOL023W	SPBC1271.15c_pep
OG0002446	YOL026C	SPBC713.08_pep
OG0002447	YOL030W	SPBC342.03_pep
OG0002448	YOL032W	SPBC21H7.06c_pep
OG0002449	YOL033W	SPAPB1A10.11c_pep
OG0002450	YOL034W	SPAC14C4.02c_pep
OG0002451	YOL038W	SPBC106.16_pep
OG0002452	YOL041C	SPAC16E8.06c_pep
OG0002453	YOL049W	SPAC3F10.04_pep
OG0002454	YOL051W	SPBC146.01_pep
OG0002455	YOL052C	SPBP4H10.05c_pep
OG0002456	YOL054W	SPCC548.05c_pep
OG0002457	YOL058W	SPBC428.05c_pep
OG0002458	YOL060C	SPCC4B3.03c_pep
OG0002459	YOL061W	SPBC3D6.06c_pep
OG0002460	YOL062C	SPAC31A2.09c_pep
OG0002461	YOL064C	SPCC1753.04_pep
OG0002462	YOL069W	SPAC27F1.04c_pep
OG0002463	YOL071W	SPAC12B10.06c_pep
OG0002464	YOL073C	SPAC1486.02c_pep
OG0002465	YOL076W	SPBC1215.02c_pep
OG0002466	YOL077C	SPBC800.06_pep
OG0002467	YOL078W	SPAPYUG7.02c_pep
OG0002468	YOL080C	SPBC1604.09c_pep
OG0002469	YOL084W	SPAC24H6.13_pep
OG0002470	YOL087C	SPAC31A2.14_pep
OG0002471	YOL090W	SPBC19G7.01c_pep
OG0002472	YOL093W	SPAC6B12.09_pep
OG0002473	YOL094C	SPAC1687.03c_pep
OG0002474	YOL096C	SPCC162.05_pep
OG0002475	YOL097C	SPAC2F7.13c_pep
OG0002476	YOL098C	SPAC3H1.02c_pep
OG0002477	YOL102C	SPAC2C4.12c_pep
OG0002478	YOL113W	SPAC1F5.09c_pep
OG0002479	YOL114C	SPAC589.11_pep
OG0002480	YOL122C	SPAC27F1.08_pep
OG0002481	YOL123W	SPBC660.15_pep
OG0002482	YOL124C	SPBC16D10.02_pep
OG0002483	YOL125W	SPAC1805.03c_pep
OG0002484	YOL129W	SPBC8D2.02c_pep
OG0002485	YOL133W	SPAC23H4.18c_pep
OG0002486	YOL135C	SPBC14F5.08_pep
OG0002487	YOL140W	SPCC777.09c_pep
OG0002488	YOL141W	SPBC19C7.08c_pep
OG0002489	YOL142W	SPAC22A12.12c_pep
OG0002490	YOL143C	SPBC409.13_pep
OG0002491	YOL145C	SPAC27D7.14c_pep
OG0002492	YOL146W	SPAC227.16c_pep
OG0002493	YOL147C	SPBC582.09_pep
OG0002494	YOL148C	SPAC4D7.10c_pep
OG0002495	YOR001W	SPAC1F3.01_pep
OG0002496	YOR002W	SPBC342.01c_pep
OG0002497	YOR003W	SPAC4A8.04_pep
OG0002498	YOR004W	SPCC18.12c_pep
OG0002499	YOR005C	SPCC1183.05c_pep
OG0002500	YOR006C	SPAC1F3.04c_pep
OG0002501	YOR007C	SPAC1142.02c_pep
OG0002502	YOR014W	SPCC188.02_pep
OG0002503	YOR017W	SPCC1183.04c_pep
OG0002504	YOR020C	SPCC550.06c_pep
OG0002505	YOR022C	SPAC20G8.02_pep
OG0002506	YOR027W	SPCC645.14c_pep
OG0002507	YOR032C	SPBC19C2.09_pep
OG0002508	YOR035C	SPCC613.04c_pep
OG0002509	YOR036W	SPBC31E1.04_pep
OG0002510	YOR042W	SPBC16E9.02c_pep
OG0002511	YOR046C	SPBC12C2.06_pep
OG0002512	YOR048C	SPAC26A3.12c_pep
OG0002513	YOR049C	SPAC17G6.02c_pep
OG0002514	YOR052C	SPBC1271.05c_pep
OG0002515	YOR056C	SPAC1486.09_pep
OG0002516	YOR057W	SPBC36.12c_pep
OG0002517	YOR058C	SPAPB1A10.09_pep
OG0002518	YOR061W	SPAC23C11.11_pep
OG0002519	YOR065W	SPBC29A3.18_pep
OG0002520	YOR067C	SPAC17C9.07_pep
OG0002521	YOR069W	SPCPJ732.01_pep
OG0002522	YOR070C	SPBC530.01_pep
OG0002523	YOR074C	SPAC15E1.04_pep
OG0002524	YOR075W	SPCC895.04c_pep
OG0002525	YOR077W	SPBC365.09c_pep
OG0002526	YOR085W	SPAPB17E12.11_pep
OG0002527	YOR089C	SPAC6F6.15_pep
OG0002528	YOR090C	SPAC10F6.17c_pep
OG0002529	YOR091W	SPBC28F2.02_pep
OG0002530	YOR095C	SPAC144.12_pep
OG0002531	YOR099W	SPBC19C7.12c_pep
OG0002532	YOR103C	SPAC6F6.05_pep
OG0002533	YOR111W	SPAC3G6.03c_pep
OG0002534	YOR112W	SPAC15A10.13_pep
OG0002535	YOR115C	SPAC13G6.05c_pep
OG0002536	YOR116C	SPBC651.08c_pep
OG0002537	YOR117W	SPAC3A11.12c_pep
OG0002538	YOR119C	SPAC10F6.10_pep
OG0002539	YOR122C	SPAC4A8.15c_pep
OG0002540	YOR123C	SPBC13E7.08c_pep
OG0002541	YOR124C	SPAC328.06_pep
OG0002542	YOR125C	SPBC337.15c_pep
OG0002543	YOR126C	SPCC126.10_pep
OG0002544	YOR128C	SPCC1322.13_pep
OG0002545	YOR132W	SPAPJ696.01c_pep
OG0002546	YOR134W	SPBC17F3.01c_pep
OG0002547	YOR136W	SPBC902.05c_pep
OG0002548	YOR141C	SPAC664.02c_pep
OG0002549	YOR142W	SPAC16E8.17c_pep
OG0002550	YOR144C	SPBC947.11c_pep
OG0002551	YOR145C	SPAC2C4.11c_pep
OG0002552	YOR148C	SPBC3B9.02c_pep
OG0002553	YOR149C	SPAC4G8.12c_pep
OG0002554	YOR150W	SPBC16G5.04_pep
OG0002555	YOR151C	SPAC23G3.01_pep
OG0002556	YOR154W	SPBC3E7.09_pep
OG0002557	YOR155C	SPBC30D10.03c_pep
OG0002558	YOR157C	SPAC23D3.07_pep
OG0002559	YOR159C	SPBC11G11.06c_pep
OG0002560	YOR160W	SPBC11G11.07_pep
OG0002561	YOR163W	SPAC13G6.14_pep
OG0002562	YOR164C	SPCC1672.12c_pep
OG0002563	YOR165W	SPAC222.14c_pep
OG0002564	YOR166C	SPCC24B10.15_pep
OG0002565	YOR168W	SPBC342.02_pep
OG0002566	YOR174W	SPBC1105.06_pep
OG0002567	YOR175C	SPBC16A3.10_pep
OG0002568	YOR176W	SPCC320.09_pep
OG0002569	YOR181W	SPAC4F10.15c_pep
OG0002570	YOR184W	SPAC1F12.07_pep
OG0002571	YOR187W	SPBC9B6.04c_pep
OG0002572	YOR194C	SPBC28F2.09_pep
OG0002573	YOR196C	SPBC8D2.15_pep
OG0002574	YOR197W	SPCC1840.04_pep
OG0002575	YOR198C	SPAC458.02c_pep
OG0002576	YOR201C	SPBC1347.13c_pep
OG0002577	YOR202W	SPBC21H7.07c_pep
OG0002578	YOR204W	SPCC1795.11_pep
OG0002579	YOR206W	SPAC1142.04_pep
OG0002580	YOR207C	SPAC4G9.08c_pep
OG0002581	YOR209C	SPAC1486.06_pep
OG0002582	YOR210W	SPAC1B3.12c_pep
OG0002583	YOR211C	SPBC1718.06_pep
OG0002584	YOR212W	SPBC32H8.07_pep
