	Debaryomyces_hansenii	Saccharomyces_cerevisiae
OG0000066	augustus_masked-Deha2B-processed-gene-12.3-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-12.3&CDS=1-786, augustus_masked-Deha2D-processed-gene-10.8-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-10.8&CDS=1-786	YHL033C, YLL045C
OG0000067	augustus_masked-Deha2B-processed-gene-12.31-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-12.31&CDS=1-762, augustus_masked-Deha2D-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-10.11&CDS=1-762	YFR031C-A, YIL018W
OG0000068	snap_masked-Deha2C-processed-gene-0.66-mRNA-1_1&gene=snap_masked-Deha2C-processed-gene-0.66&CDS=1-1281, snap_masked-Deha2D-processed-gene-12.64-mRNA-1_1&gene=snap_masked-Deha2D-processed-gene-12.64&CDS=1-1443	YGR177C, YOR377W
OG0000069	augustus_masked-Deha2C-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-0.30&CDS=1-1641, augustus_masked-Deha2E-processed-gene-12.6-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.6&CDS=1-1812, augustus_masked-Deha2E-processed-gene-15.52-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-15.52&CDS=1-1743	YBR132C
OG0000070	augustus_masked-Deha2C-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-3.123&CDS=1-1725, augustus_masked-Deha2E-processed-gene-19.74-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-19.74&CDS=1-1644, augustus_masked-Deha2E-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-4.72&CDS=1-1677	YDR242W
OG0000071	augustus_masked-Deha2C-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-7.115&CDS=1-3102, augustus_masked-Deha2D-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-1.73&CDS=1-3123	YBR245C, YOR304W
OG0000072	augustus_masked-Deha2C-processed-gene-9.137-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-9.137&CDS=1-924, augustus_masked-Deha2G-processed-gene-17.23-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-17.23&CDS=1-6225	YDL236W, YGL141W
OG0000073	augustus_masked-Deha2C-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-10.77&CDS=1-2688, augustus_masked-Deha2D-processed-gene-13.111-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-13.111&CDS=1-3375	YDL132W, YGR003W
OG0000074	augustus_masked-Deha2C-processed-gene-11.91-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-11.91&CDS=1-1644, snap_masked-Deha2D-processed-gene-2.1-mRNA-1_1&gene=snap_masked-Deha2D-processed-gene-2.1&CDS=1-1671	YBR139W, YMR297W
OG0000075	augustus_masked-Deha2C-processed-gene-13.73-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-13.73&CDS=1-1587, augustus_masked-Deha2D-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-4.74&CDS=1-1740, augustus_masked-Deha2E-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-4.86&CDS=1-1746	YLL028W
OG0000076	maker-Deha2C-snap-gene-14.105-mRNA-1_1&gene=maker-Deha2C-snap-gene-14.105&CDS=1-1953	YGR154C, YKR076W, YMR251W
OG0000077	augustus_masked-Deha2C-processed-gene-14.232-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-14.232&CDS=1-2328, augustus_masked-Deha2F-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-4.85&CDS=1-3741	YDR145W, YJL212C
OG0000078	augustus_masked-Deha2D-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-2.54&CDS=1-1374, augustus_masked-Deha2F-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-3.68&CDS=1-1374	YBR118W, YPR080W
OG0000079	augustus_masked-Deha2D-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-7.20&CDS=1-2256, genemark-Deha2E-processed-gene-8.12-mRNA-1_1&gene=genemark-Deha2E-processed-gene-8.12&CDS=1-2598	YAR035W, YER024W
OG0000080	augustus_masked-Deha2D-processed-gene-11.169-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-11.169&CDS=1-1041, maker-Deha2G-augustus-gene-8.52-mRNA-1_1&gene=maker-Deha2G-augustus-gene-8.52&CDS=1-948	YBR002C, YMR101C
OG0000081	augustus_masked-Deha2D-processed-gene-11.176-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-11.176&CDS=1-201, augustus_masked-Deha2F-processed-gene-19.56-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-19.56&CDS=1-201	YLR264W, YOR167C
OG0000082	augustus_masked-Deha2F-processed-gene-19.55-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-19.55&CDS=1-366, maker-Deha2D-snap-gene-12.2-mRNA-1_1&gene=maker-Deha2D-snap-gene-12.2&CDS=1-339	YER056C-A, YIL052C
OG0000083	augustus_masked-Deha2D-processed-gene-13.131-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-13.131&CDS=1-390, augustus_masked-Deha2F-processed-gene-15.17-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-15.17&CDS=1-387	YBL002W, YDR224C
OG0000084	augustus_masked-Deha2E-processed-gene-14.116-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-14.116&CDS=1-4581, genemark-Deha2E-processed-gene-2.7-mRNA-1_1&gene=genemark-Deha2E-processed-gene-2.7&CDS=1-5367	YDR135C, YLL015W
OG0000085	augustus_masked-Deha2E-processed-gene-13.87-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-13.87&CDS=1-792, augustus_masked-Deha2E-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-4.73&CDS=1-759	YER062C, YIL053W
OG0000086	augustus_masked-Deha2E-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.89&CDS=1-1212, augustus_masked-Deha2E-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.90&CDS=1-1176, augustus_masked-Deha2F-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-8.99&CDS=1-1212	YOR084W
OG0000087	augustus_masked-Deha2E-processed-gene-18.40-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-18.40&CDS=1-1230, augustus_masked-Deha2E-processed-gene-8.125-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.125&CDS=1-1311	YDL066W, YLR174W
OG0000088	augustus_masked-Deha2E-processed-gene-13.70-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-13.70&CDS=1-1692, augustus_masked-Deha2G-processed-gene-11.90-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-11.90&CDS=1-1128	YDR463W, YHR006W
OG0000089	augustus_masked-Deha2E-processed-gene-17.92-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-17.92&CDS=1-1734	YOL055C, YPL258C, YPR121W
OG0000090	augustus_masked-Deha2E-processed-gene-19.85-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-19.85&CDS=1-1551	YER056C, YER060W, YER060W-A
OG0000091	augustus_masked-Deha2E-processed-gene-19.87-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-19.87&CDS=1-765, augustus_masked-Deha2G-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.61&CDS=1-786	YCR010C, YNR002C
OG0000092	augustus_masked-Deha2F-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-1.35&CDS=1-702	YFL060C, YMR095C, YNL334C
OG0000093	augustus_masked-Deha2F-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-2.102&CDS=1-789, maker-Deha2G-augustus-gene-6.117-mRNA-1_1&gene=maker-Deha2G-augustus-gene-6.117&CDS=1-789	YHR203C, YJR145C
OG0000094	augustus_masked-Deha2F-processed-gene-20.81-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.81&CDS=1-933, augustus_masked-Deha2F-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-3.47&CDS=1-1407	YDL216C, YFR004W
OG0000095	augustus_masked-Deha2F-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-3.55&CDS=1-1038, augustus_masked-Deha2G-processed-gene-17.8-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-17.8&CDS=1-1047	YMR303C, YOL086C
OG0000096	augustus_masked-Deha2F-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-4.67&CDS=1-1005	YGR192C, YJL052W, YJR009C
OG0000097	augustus_masked-Deha2F-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-9.91&CDS=1-2595, snap_masked-Deha2G-processed-gene-14.62-mRNA-1_1&gene=snap_masked-Deha2G-processed-gene-14.62&CDS=1-2166	YLL005C, YMR266W
OG0000098	augustus_masked-Deha2F-processed-gene-11.85-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-11.85&CDS=1-939, augustus_masked-Deha2F-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-11.86&CDS=1-981	YCL036W, YDR514C
OG0000099	augustus_masked-Deha2F-processed-gene-14.152-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-14.152&CDS=1-1500, augustus_masked-Deha2G-processed-gene-12.148-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-12.148&CDS=1-1515, augustus_masked-Deha2G-processed-gene-15.42-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-15.42&CDS=1-1554	YOL119C
OG0000100	augustus_masked-Deha2F-processed-gene-15.2-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-15.2&CDS=1-3885, maker-Deha2G-snap-gene-2.151-mRNA-1_1&gene=maker-Deha2G-snap-gene-2.151&CDS=1-4674	YIL126W, YOR290C
OG0000101	augustus_masked-Deha2F-processed-gene-21.105-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.105&CDS=1-735, augustus_masked-Deha2F-processed-gene-21.110-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.110&CDS=1-1035	YJL079C, YKR013W
OG0000102	augustus_masked-Deha2F-processed-gene-22.94-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.94&CDS=1-930	YLL052C, YLL053C, YPR192W
OG0000103	augustus_masked-Deha2G-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.19&CDS=1-1539, maker-Deha2G-augustus-gene-10.98-mRNA-1_1&gene=maker-Deha2G-augustus-gene-10.98&CDS=1-1191	YGR059W, YHR107C
OG0000104	augustus_masked-Deha2G-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.33&CDS=1-2655, augustus_masked-Deha2G-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-8.79&CDS=1-3186	YDR466W, YDR490C
OG0000105	augustus_masked-Deha2G-processed-gene-9.60-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-9.60&CDS=1-1704, maker-Deha2G-snap-gene-16.114-mRNA-1_1&gene=maker-Deha2G-snap-gene-16.114&CDS=1-2049	YGR249W, YOR140W
OG0000106	augustus_masked-Deha2G-processed-gene-15.3-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-15.3&CDS=1-1776, maker-Deha2G-snap-gene-15.156-mRNA-1_1&gene=maker-Deha2G-snap-gene-15.156&CDS=1-3498	YJL172W, YOL153C
OG0000107	augustus_masked-Deha2A-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-0.68&CDS=1-1221	YHR179W, YPL171C
OG0000108	augustus_masked-Deha2A-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.81&CDS=1-4386, genemark-Deha2A-processed-gene-0.8-mRNA-1_1&gene=genemark-Deha2A-processed-gene-0.8&CDS=1-1434	YGL202W
OG0000109	augustus_masked-Deha2A-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-0.85&CDS=1-1122, augustus_masked-Deha2A-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.99&CDS=1-1125	YHR112C
OG0000110	genemark-Deha2A-processed-gene-0.20-mRNA-1_1&gene=genemark-Deha2A-processed-gene-0.20&CDS=1-1170	YOR390W, YPL279C
OG0000111	augustus_masked-Deha2A-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.98&CDS=1-633, augustus_masked-Deha2D-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-1.71&CDS=1-633	YKL070W
OG0000112	augustus_masked-Deha2A-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.101&CDS=1-1128, augustus_masked-Deha2G-processed-gene-15.44-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-15.44&CDS=1-1134	YOR388C
OG0000113	augustus_masked-Deha2A-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.109&CDS=1-684	YFL061W, YNL335W
OG0000114	augustus_masked-Deha2A-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.112&CDS=1-1524	YGR108W, YPR119W
OG0000115	augustus_masked-Deha2A-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.132&CDS=1-1515	YDL161W, YLR206W
OG0000116	augustus_masked-Deha2A-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.117&CDS=1-1731	YHL017W, YKL039W
OG0000117	maker-Deha2A-augustus-gene-2.100-mRNA-1_1&gene=maker-Deha2A-augustus-gene-2.100&CDS=1-2106	YMR177W, YPL224C
OG0000118	augustus_masked-Deha2A-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.68&CDS=1-1506	YGL166W, YPR008W
OG0000119	augustus_masked-Deha2A-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.74&CDS=1-1776, augustus_masked-Deha2F-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-0.92&CDS=1-1725	YHR032W
OG0000120	augustus_masked-Deha2A-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.90&CDS=1-3459	YNL106C, YOR109W
OG0000121	augustus_masked-Deha2A-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.77&CDS=1-1959	YNL108C, YOR110W
OG0000122	augustus_masked-Deha2A-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.65&CDS=1-2946	YJL084C, YKR021W
OG0000123	augustus_masked-Deha2D-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-3.92&CDS=1-960, genemark-Deha2A-processed-gene-5.132-mRNA-1_1&gene=genemark-Deha2A-processed-gene-5.132&CDS=1-1002	YJL088W
OG0000124	augustus_masked-Deha2A-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.54&CDS=1-1242, augustus_masked-Deha2F-processed-gene-17.135-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-17.135&CDS=1-1605	YHR124W
OG0000125	augustus_masked-Deha2A-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.78&CDS=1-1653, augustus_masked-Deha2C-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-10.73&CDS=1-1638	YMR307W
OG0000126	augustus_masked-Deha2A-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.59&CDS=1-1701	YBL054W, YER088C
OG0000127	augustus_masked-Deha2A-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.82&CDS=1-1545	YBL056W, YER089C
OG0000128	augustus_masked-Deha2A-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.61&CDS=1-276	YER019C-A, YER087C-B
OG0000129	augustus_masked-Deha2A-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.72&CDS=1-1527	YHR115C, YNL116W
OG0000130	augustus_masked-Deha2A-processed-gene-7.0-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.0&CDS=1-2487	YKL050C, YMR031C
OG0000131	augustus_masked-Deha2A-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.24&CDS=1-3075, genemark-Deha2D-processed-gene-3.159-mRNA-1_1&gene=genemark-Deha2D-processed-gene-3.159&CDS=1-2955	YNL192W
OG0000132	augustus_masked-Deha2A-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.10&CDS=1-2109	YIL131C, YNL068C
OG0000133	augustus_masked-Deha2A-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.36&CDS=1-564	YNL096C, YOR096W
OG0000134	augustus_masked-Deha2A-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.24&CDS=1-1032	YIL135C, YNL074C
OG0000135	augustus_masked-Deha2A-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.126&CDS=1-1704, augustus_masked-Deha2E-processed-gene-19.67-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-19.67&CDS=1-1698	YNL275W
OG0000136	augustus_masked-Deha2A-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.121&CDS=1-1770	YIL085C, YNL029C
OG0000137	augustus_masked-Deha2A-processed-gene-9.140-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.140&CDS=1-1839	YDL229W, YNL209W
OG0000138	augustus_masked-Deha2A-processed-gene-9.168-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.168&CDS=1-207	YDL061C, YLR388W
OG0000139	augustus_masked-Deha2A-processed-gene-10.70-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.70&CDS=1-4674	YEL022W, YJR031C
OG0000140	augustus_masked-Deha2A-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.72&CDS=1-3930	YLL016W, YLR310C
OG0000141	maker-Deha2A-augustus-gene-10.174-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.174&CDS=1-1224	YBR242W, YGL101W
OG0000142	augustus_masked-Deha2A-processed-gene-11.80-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.80&CDS=1-3138	YGR238C, YHR158C
OG0000143	augustus_masked-Deha2A-processed-gene-11.124-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.124&CDS=1-1272	YDR300C, YHR033W
OG0000144	augustus_masked-Deha2A-processed-gene-11.128-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.128&CDS=1-1089	YDL246C, YJR159W
OG0000145	augustus_masked-Deha2A-processed-gene-11.134-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.134&CDS=1-366, genemark-Deha2F-processed-gene-18.128-mRNA-1_1&gene=genemark-Deha2F-processed-gene-18.128&CDS=1-381	YNL322C
OG0000146	augustus_masked-Deha2B-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.128&CDS=1-1857, augustus_masked-Deha2E-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.77&CDS=1-1866	YNL125C
OG0000147	augustus_masked-Deha2B-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.129&CDS=1-1092	YCR105W, YMR318C
OG0000148	augustus_masked-Deha2B-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.105&CDS=1-690, augustus_masked-Deha2F-processed-gene-12.90-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-12.90&CDS=1-744	YPR124W
OG0000149	augustus_masked-Deha2B-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.137&CDS=1-756, augustus_masked-Deha2C-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-4.29&CDS=1-756	YKL071W
OG0000150	augustus_masked-Deha2B-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.124&CDS=1-1089	YBR031W, YDR012W
OG0000151	augustus_masked-Deha2B-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.0&CDS=1-2658	YJL082W, YKR018C
OG0000152	augustus_masked-Deha2B-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.5&CDS=1-3390	YJL105W, YKR029C
OG0000153	augustus_masked-Deha2B-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.19&CDS=1-765	YDR272W, YOR040W
OG0000154	augustus_masked-Deha2B-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.44&CDS=1-1689, augustus_masked-Deha2C-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-7.102&CDS=1-1728	YPL265W
OG0000155	augustus_masked-Deha2B-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.94&CDS=1-1659	YER064C, YIL056W
OG0000156	augustus_masked-Deha2B-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.120&CDS=1-1014, augustus_masked-Deha2F-processed-gene-7.117-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-7.117&CDS=1-1038	YDL078C
OG0000157	augustus_masked-Deha2B-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.98&CDS=1-2538	YBR001C, YDR001C
OG0000158	augustus_masked-Deha2B-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.103&CDS=1-708	YBR181C, YPL090C
OG0000159	augustus_masked-Deha2B-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-3.50&CDS=1-1587, augustus_masked-Deha2F-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-3.58&CDS=1-1338	YGL209W
OG0000160	augustus_masked-Deha2B-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-3.54&CDS=1-660	YER031C, YGL210W
OG0000161	genemark-Deha2B-processed-gene-3.115-mRNA-1_1&gene=genemark-Deha2B-processed-gene-3.115&CDS=1-1701	YLR044C, YLR134W
OG0000162	augustus_masked-Deha2B-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-3.90&CDS=1-528	YKL141W, YMR118C
OG0000163	augustus_masked-Deha2B-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-3.76&CDS=1-357	YER131W, YGL189C
OG0000164	maker-Deha2B-snap-gene-4.1-mRNA-1_1&gene=maker-Deha2B-snap-gene-4.1&CDS=1-1008	YBR189W, YPL081W
OG0000165	augustus_masked-Deha2D-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-6.147&CDS=1-1104, maker-Deha2B-augustus-gene-4.68-mRNA-1_1&gene=maker-Deha2B-augustus-gene-4.68&CDS=1-2229	YMR152W
OG0000166	maker-Deha2B-augustus-gene-4.62-mRNA-1_1&gene=maker-Deha2B-augustus-gene-4.62&CDS=1-837	YDL204W, YDR233C
OG0000167	augustus_masked-Deha2B-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-4.91&CDS=1-360	YFL034C-A, YLR061W
OG0000168	genemark-Deha2B-processed-gene-4.54-mRNA-1_1&gene=genemark-Deha2B-processed-gene-4.54&CDS=1-1041	YAL034C, YOR338W
OG0000169	augustus_masked-Deha2B-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-5.68&CDS=1-1818	YHR117W, YNL121C
OG0000170	augustus_masked-Deha2B-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-7.67&CDS=1-1170	YEL006W, YIL006W
OG0000171	maker-Deha2B-augustus-gene-7.104-mRNA-1_1&gene=maker-Deha2B-augustus-gene-7.104&CDS=1-3000	YMR183C, YPL232W
OG0000172	maker-Deha2B-snap-gene-8.57-mRNA-1_1&gene=maker-Deha2B-snap-gene-8.57&CDS=1-1575	YDL049C, YJL174W
OG0000173	augustus_masked-Deha2B-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-8.74&CDS=1-255	YPR169W-A, YPR170W-B
OG0000174	augustus_masked-Deha2B-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-8.99&CDS=1-3453	YBL101C, YPR030W
OG0000175	augustus_masked-Deha2B-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-8.79&CDS=1-1512	YLR260W, YOR171C
OG0000176	augustus_masked-Deha2B-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-9.144&CDS=1-960	YBR147W, YOL092W
OG0000177	augustus_masked-Deha2B-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-9.150&CDS=1-1278	YDL175C, YIL079C
OG0000178	augustus_masked-Deha2B-processed-gene-10.2-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-10.2&CDS=1-612	YBR005W, YDR003W
OG0000179	augustus_masked-Deha2B-processed-gene-10.8-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-10.8&CDS=1-2502	YCR091W, YNR047W
OG0000180	augustus_masked-Deha2B-processed-gene-10.29-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-10.29&CDS=1-1074	YJL158C, YJL160C
OG0000181	augustus_masked-Deha2B-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-11.78&CDS=1-513	YGR131W, YPR149W
