	Hanseniaspora_vinae	Saccharomyces_cerevisiae
OG0000062	augustus_masked-JFAV02000117.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000117.1-processed-gene-0.4&CDS=1-993, augustus_masked-JFAV02000291.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-0.9&CDS=1-993	YGR192C, YJR009C
OG0000063	augustus_masked-JFAV02000118.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.34&CDS=1-2838, augustus_masked-JFAV02000202.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-JFAV02000202.1-processed-gene-0.17&CDS=1-2403	YGR240C, YMR205C
OG0000064	augustus_masked-JFAV02000118.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.18&CDS=1-1314, augustus_masked-JFAV02000118.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.23&CDS=1-1314	YGR254W, YHR174W
OG0000065	augustus_masked-JFAV02000123.1-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-JFAV02000123.1-processed-gene-0.188&CDS=1-3000, augustus_masked-JFAV02000266.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-JFAV02000266.1-processed-gene-0.65&CDS=1-2589	YNL183C, YOR267C
OG0000066	augustus_masked-JFAV02000304.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000304.1-processed-gene-0.15&CDS=1-1905, maker-JFAV02000123.1-augustus-gene-0.219-mRNA-1_1&gene=maker-JFAV02000123.1-augustus-gene-0.219&CDS=1-1842	YER123W, YHR135C
OG0000067	augustus_masked-JFAV02000123.1-processed-gene-0.200-mRNA-1_1&gene=augustus_masked-JFAV02000123.1-processed-gene-0.200&CDS=1-4899, augustus_masked-JFAV02000272.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000272.1-processed-gene-0.5&CDS=1-4635	YDR135C, YLL015W
OG0000068	augustus_masked-JFAV02000127.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-JFAV02000127.1-processed-gene-0.45&CDS=1-1215, augustus_masked-JFAV02000268.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-JFAV02000268.1-processed-gene-0.18&CDS=1-1005	YIL041W, YPR148C
OG0000069	augustus_masked-JFAV02000128.1-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-JFAV02000128.1-processed-gene-0.126&CDS=1-1656, augustus_masked-JFAV02000218.1-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-JFAV02000218.1-processed-gene-0.166&CDS=1-1293	YOL030W, YOL132W
OG0000070	augustus_masked-JFAV02000129.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-JFAV02000129.1-processed-gene-0.36&CDS=1-2004, maker-JFAV02000206.1-snap-gene-0.3-mRNA-1_1&gene=maker-JFAV02000206.1-snap-gene-0.3&CDS=1-2751	YIL130W, YJL206C
OG0000071	augustus_masked-JFAV02000133.1-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-JFAV02000133.1-processed-gene-0.159&CDS=1-1452, augustus_masked-JFAV02000171.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-JFAV02000171.1-processed-gene-0.78&CDS=1-4473	YDR523C, YHR102W
OG0000072	augustus_masked-JFAV02000136.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000136.1-processed-gene-0.12&CDS=1-2349, augustus_masked-JFAV02000291.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-0.37&CDS=1-2394	YKL146W, YNL101W
OG0000073	augustus_masked-JFAV02000185.1-processed-gene-0.221-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.221&CDS=1-1857, maker-JFAV02000137.1-augustus-gene-0.177-mRNA-1_1&gene=maker-JFAV02000137.1-augustus-gene-0.177&CDS=1-1638	YDR243C, YNL112W
OG0000074	augustus_masked-JFAV02000138.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-JFAV02000138.1-processed-gene-0.16&CDS=1-6513, augustus_masked-JFAV02000223.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-JFAV02000223.1-processed-gene-0.94&CDS=1-5847	YER172C, YGR271W
OG0000075	augustus_masked-JFAV02000139.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-JFAV02000139.1-processed-gene-0.88&CDS=1-1608, augustus_masked-JFAV02000161.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-JFAV02000161.1-processed-gene-0.77&CDS=1-2301	YKL062W, YMR037C
OG0000076	augustus_masked-JFAV02000253.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-JFAV02000253.1-processed-gene-0.29&CDS=1-1260, snap_masked-JFAV02000139.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-JFAV02000139.1-processed-gene-0.62&CDS=1-3414	YKL068W, YMR047C
OG0000077	augustus_masked-JFAV02000166.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-JFAV02000166.1-processed-gene-0.34&CDS=1-3303, maker-JFAV02000141.1-snap-gene-0.34-mRNA-1_1&gene=maker-JFAV02000141.1-snap-gene-0.34&CDS=1-1806	YHR206W, YOR140W
OG0000078	augustus_masked-JFAV02000141.1-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-JFAV02000141.1-processed-gene-1.128&CDS=1-2784, augustus_masked-JFAV02000291.1-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-1.27&CDS=1-2415	YHR031C, YML061C
OG0000079	augustus_masked-JFAV02000143.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000143.1-processed-gene-0.20&CDS=1-7941, augustus_masked-JFAV02000284.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.42&CDS=1-3468	YJL130C, YJR109C
OG0000080	augustus_masked-JFAV02000146.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000146.1-processed-gene-0.0&CDS=1-3225, augustus_masked-JFAV02000252.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-JFAV02000252.1-processed-gene-0.64&CDS=1-2826	YMR266W, YOL084W
OG0000081	augustus_masked-JFAV02000146.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000146.1-processed-gene-0.11&CDS=1-1479, augustus_masked-JFAV02000223.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-JFAV02000223.1-processed-gene-0.93&CDS=1-1746	YBR139W, YMR297W
OG0000082	augustus_masked-JFAV02000147.1-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-JFAV02000147.1-processed-gene-0.114&CDS=1-1926, augustus_masked-JFAV02000185.1-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.210&CDS=1-2046	YDR497C, YDR536W
OG0000083	augustus_masked-JFAV02000303.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-JFAV02000303.1-processed-gene-0.98&CDS=1-1653, snap_masked-JFAV02000151.1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-JFAV02000151.1-processed-gene-0.81&CDS=1-1920	YHL039W, YPL208W
OG0000084	augustus_masked-JFAV02000151.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-JFAV02000151.1-processed-gene-0.46&CDS=1-2682, augustus_masked-JFAV02000299.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000299.1-processed-gene-0.27&CDS=1-2868	YMR054W, YOR270C
OG0000085	augustus_masked-JFAV02000152.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-JFAV02000152.1-processed-gene-0.21&CDS=1-480, augustus_masked-JFAV02000266.1-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-JFAV02000266.1-processed-gene-0.126&CDS=1-2316	YOR227W, YPL137C
OG0000086	augustus_masked-JFAV02000152.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000152.1-processed-gene-0.2&CDS=1-876, augustus_masked-JFAV02000152.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-JFAV02000152.1-processed-gene-0.23&CDS=1-936	YOR222W, YPL134C
OG0000087	augustus_masked-JFAV02000155.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-JFAV02000155.1-processed-gene-0.32&CDS=1-1128	YCR102C, YLR460C, YNL134C
OG0000088	augustus_masked-JFAV02000205.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000205.1-processed-gene-0.1&CDS=1-1818, maker-JFAV02000166.1-augustus-gene-0.89-mRNA-1_1&gene=maker-JFAV02000166.1-augustus-gene-0.89&CDS=1-1191	YNL083W, YPR011C
OG0000089	augustus_masked-JFAV02000166.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-JFAV02000166.1-processed-gene-0.38&CDS=1-1617, snap_masked-JFAV02000166.1-processed-gene-0.224-mRNA-1_1&gene=snap_masked-JFAV02000166.1-processed-gene-0.224&CDS=1-1686	YML116W, YMR279C
OG0000090	genemark-JFAV02000176.1-processed-gene-0.124-mRNA-1_1&gene=genemark-JFAV02000176.1-processed-gene-0.124&CDS=1-1722, maker-JFAV02000186.1-snap-gene-0.34-mRNA-1_1&gene=maker-JFAV02000186.1-snap-gene-0.34&CDS=1-1947	YBR160W, YKL139W
OG0000091	augustus_masked-JFAV02000185.1-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.202&CDS=1-1140, augustus_masked-JFAV02000276.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-JFAV02000276.1-processed-gene-0.69&CDS=1-1278	YDR218C, YJR076C
OG0000092	augustus_masked-JFAV02000185.1-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.207&CDS=1-375, augustus_masked-JFAV02000211.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-JFAV02000211.1-processed-gene-0.16&CDS=1-375	YBL002W, YDR224C
OG0000093	augustus_masked-JFAV02000185.1-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.169&CDS=1-393, augustus_masked-JFAV02000211.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000211.1-processed-gene-0.8&CDS=1-393	YBL003C, YDR225W
OG0000094	augustus_masked-JFAV02000191.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000191.1-processed-gene-0.19&CDS=1-465, augustus_masked-JFAV02000191.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000191.1-processed-gene-0.2&CDS=1-198	YGL089C, YPL187W
OG0000095	augustus_masked-JFAV02000191.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000191.1-processed-gene-0.14&CDS=1-1989	YOR389W, YPL277C, YPL278C
OG0000096	snap_masked-JFAV02000203.1-processed-gene-0.139-mRNA-1_1&gene=snap_masked-JFAV02000203.1-processed-gene-0.139&CDS=1-4239	YBL005W, YER184C, YGL013C
OG0000097	maker-JFAV02000203.1-snap-gene-0.155-mRNA-1_1&gene=maker-JFAV02000203.1-snap-gene-0.155&CDS=1-2115	YLL062C, YMR321C, YPL273W
OG0000098	maker-JFAV02000218.1-snap-gene-0.3-mRNA-1_1&gene=maker-JFAV02000218.1-snap-gene-0.3&CDS=1-2940, maker-JFAV02000305.1-snap-gene-0.35-mRNA-1_1&gene=maker-JFAV02000305.1-snap-gene-0.35&CDS=1-3657	YHL007C, YNL298W
OG0000099	augustus_masked-JFAV02000218.1-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-JFAV02000218.1-processed-gene-0.139&CDS=1-969, augustus_masked-JFAV02000297.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-JFAV02000297.1-processed-gene-0.48&CDS=1-1194	YDL047W, YDR075W
OG0000100	augustus_masked-JFAV02000218.1-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-JFAV02000218.1-processed-gene-0.143&CDS=1-861, augustus_masked-JFAV02000252.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-JFAV02000252.1-processed-gene-0.67&CDS=1-885	YBR011C, YMR267W
OG0000101	augustus_masked-JFAV02000219.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-JFAV02000219.1-processed-gene-0.13&CDS=1-1323, augustus_masked-JFAV02000219.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-JFAV02000219.1-processed-gene-0.31&CDS=1-1839	YOL027C, YPR125W
OG0000102	augustus_masked-JFAV02000223.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-JFAV02000223.1-processed-gene-0.66&CDS=1-5640, augustus_masked-JFAV02000293.1-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-1.22&CDS=1-5805	YLR342W, YMR306W
OG0000103	augustus_masked-JFAV02000223.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-JFAV02000223.1-processed-gene-0.67&CDS=1-1731, augustus_masked-JFAV02000293.1-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-1.23&CDS=1-1743	YLR343W, YMR307W
OG0000104	augustus_masked-JFAV02000232.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-JFAV02000232.1-processed-gene-0.36&CDS=1-1467, augustus_masked-JFAV02000293.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-1.72&CDS=1-1413	YBR263W, YLR058C
OG0000105	augustus_masked-JFAV02000236.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000236.1-processed-gene-0.2&CDS=1-1179, augustus_masked-JFAV02000282.1-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.173&CDS=1-3225	YCR105W, YMR318C
OG0000106	augustus_masked-JFAV02000241.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-JFAV02000241.1-processed-gene-0.24&CDS=1-609, augustus_masked-JFAV02000241.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000241.1-processed-gene-0.25&CDS=1-1422	YBR291C, YFR045W
OG0000107	augustus_masked-JFAV02000246.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000246.1-processed-gene-0.4&CDS=1-3363, maker-JFAV02000267.1-augustus-gene-0.3-mRNA-1_1&gene=maker-JFAV02000267.1-augustus-gene-0.3&CDS=1-4359	YDR164C, YNR067C
OG0000108	augustus_masked-JFAV02000290.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000290.1-processed-gene-0.15&CDS=1-1794, maker-JFAV02000251.1-augustus-gene-0.34-mRNA-1_1&gene=maker-JFAV02000251.1-augustus-gene-0.34&CDS=1-2403, snap_masked-JFAV02000290.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-JFAV02000290.1-processed-gene-0.48&CDS=1-1593	YML098W
OG0000109	augustus_masked-JFAV02000252.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-JFAV02000252.1-processed-gene-0.70&CDS=1-4512, snap_masked-JFAV02000293.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-JFAV02000293.1-processed-gene-1.119&CDS=1-2799	YML111W, YMR275C
OG0000110	augustus_masked-JFAV02000261.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-JFAV02000261.1-processed-gene-0.38&CDS=1-2001, maker-JFAV02000266.1-augustus-gene-0.64-mRNA-1_1&gene=maker-JFAV02000266.1-augustus-gene-0.64&CDS=1-2571	YBL052C, YOR244W
OG0000111	augustus_masked-JFAV02000266.1-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-JFAV02000266.1-processed-gene-0.124&CDS=1-1380	YOR229W, YOR230W, YPL139C
OG0000112	genemark-JFAV02000279.1-processed-gene-0.4-mRNA-1_1&gene=genemark-JFAV02000279.1-processed-gene-0.4&CDS=1-663, maker-JFAV02000279.1-augustus-gene-0.33-mRNA-1_1&gene=maker-JFAV02000279.1-augustus-gene-0.33&CDS=1-1731	YJL079C, YKR013W
OG0000113	maker-JFAV02000292.1-snap-gene-0.11-mRNA-1_1&gene=maker-JFAV02000292.1-snap-gene-0.11&CDS=1-189	Q0045, Q0065, Q0070
OG0000114	augustus_masked-JFAV02000007.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000007.1-processed-gene-0.5&CDS=1-300, augustus_masked-JFAV02000130.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-JFAV02000130.1-processed-gene-0.54&CDS=1-3288	YNL243W
OG0000115	augustus_masked-JFAV02000011.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000011.1-processed-gene-0.1&CDS=1-801, augustus_masked-JFAV02000164.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000164.1-processed-gene-0.6&CDS=1-2958	YFR038W
OG0000116	augustus_masked-JFAV02000014.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000014.1-processed-gene-0.0&CDS=1-645, augustus_masked-JFAV02000166.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-JFAV02000166.1-processed-gene-0.82&CDS=1-2748	YOR141C
OG0000117	augustus_masked-JFAV02000017.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000017.1-processed-gene-0.0&CDS=1-1104, augustus_masked-JFAV02000294.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000294.1-processed-gene-0.12&CDS=1-5022	YKR031C
OG0000118	augustus_masked-JFAV02000022.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000022.1-processed-gene-0.2&CDS=1-336, maker-JFAV02000277.1-augustus-gene-0.0-mRNA-1_1&gene=maker-JFAV02000277.1-augustus-gene-0.0&CDS=1-2991	YKR069W
OG0000119	augustus_masked-JFAV02000024.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000024.1-processed-gene-0.1&CDS=1-198, augustus_masked-JFAV02000260.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000260.1-processed-gene-0.14&CDS=1-2175	YGR009C
OG0000120	genemark-JFAV02000068.1-processed-gene-0.52-mRNA-1_1&gene=genemark-JFAV02000068.1-processed-gene-0.52&CDS=1-1818	YIL085C, YNL029C
OG0000121	augustus_masked-JFAV02000080.1-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-JFAV02000080.1-processed-gene-0.149&CDS=1-1983	YDL109C, YGL144C
OG0000122	augustus_masked-JFAV02000080.1-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-JFAV02000080.1-processed-gene-0.202&CDS=1-426	YDL083C, YMR143W
OG0000123	snap_masked-JFAV02000080.1-processed-gene-0.103-mRNA-1_1&gene=snap_masked-JFAV02000080.1-processed-gene-0.103&CDS=1-600	YDL082W, YMR142C
OG0000124	snap_masked-JFAV02000081.1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-JFAV02000081.1-processed-gene-0.113&CDS=1-3180	YFL042C, YLR072W
OG0000125	augustus_masked-JFAV02000081.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-JFAV02000081.1-processed-gene-0.17&CDS=1-1437	YGL096W, YPL177C
OG0000126	snap_masked-JFAV02000083.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-JFAV02000083.1-processed-gene-0.2&CDS=1-189	YLR287C-A, YOR182C
OG0000127	augustus_masked-JFAV02000084.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000084.1-processed-gene-0.5&CDS=1-2979	YBL067C, YER098W
OG0000128	augustus_masked-JFAV02000084.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000084.1-processed-gene-0.12&CDS=1-1311	YBL069W, YER101C
OG0000129	augustus_masked-JFAV02000085.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000085.1-processed-gene-0.4&CDS=1-600	YBL072C, YER102W
OG0000130	genemark-JFAV02000086.1-processed-gene-0.0-mRNA-1_1&gene=genemark-JFAV02000086.1-processed-gene-0.0&CDS=1-4794	YDR096W, YER169W
OG0000131	augustus_masked-JFAV02000092.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-JFAV02000092.1-processed-gene-0.7&CDS=1-2634, augustus_masked-JFAV02000102.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.74&CDS=1-963	YPR194C
OG0000132	augustus_masked-JFAV02000093.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-JFAV02000093.1-processed-gene-0.76&CDS=1-2484	YBR238C, YGL107C
OG0000133	genemark-JFAV02000093.1-processed-gene-0.67-mRNA-1_1&gene=genemark-JFAV02000093.1-processed-gene-0.67&CDS=1-1614	YBR241C, YGL104C
OG0000134	augustus_masked-JFAV02000093.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-JFAV02000093.1-processed-gene-0.85&CDS=1-657	YBR242W, YGL101W
OG0000135	augustus_masked-JFAV02000093.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-JFAV02000093.1-processed-gene-0.103&CDS=1-486	YBR244W, YIR037W
OG0000136	snap_masked-JFAV02000095.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-JFAV02000095.1-processed-gene-0.24&CDS=1-555, snap_masked-JFAV02000297.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-JFAV02000297.1-processed-gene-0.77&CDS=1-201	YDR073W
OG0000137	augustus_masked-JFAV02000097.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000097.1-processed-gene-0.1&CDS=1-3048	YGL049C, YGR162W
OG0000138	augustus_masked-JFAV02000100.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-JFAV02000100.1-processed-gene-0.17&CDS=1-2160	YLR260W, YOR171C
OG0000139	augustus_masked-JFAV02000100.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000100.1-processed-gene-0.19&CDS=1-201	YLR264W, YOR167C
OG0000140	genemark-JFAV02000101.1-processed-gene-0.68-mRNA-1_1&gene=genemark-JFAV02000101.1-processed-gene-0.68&CDS=1-402	YER074W, YIL069C
OG0000141	augustus_masked-JFAV02000101.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.14&CDS=1-3414	YDL138W, YDL194W
OG0000142	augustus_masked-JFAV02000102.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.78&CDS=1-1572	YCL011C, YNL004W
OG0000143	augustus_masked-JFAV02000103.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.36&CDS=1-1488	YFR023W, YHR015W
OG0000144	augustus_masked-JFAV02000103.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.8&CDS=1-2280	YEL041W, YJR049C
OG0000145	augustus_masked-JFAV02000103.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.43&CDS=1-324	YEL039C, YJR048W
OG0000146	augustus_masked-JFAV02000103.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.9&CDS=1-471	YEL034W, YJR047C
OG0000147	augustus_masked-JFAV02000103.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.16&CDS=1-1461	YEL047C, YJR051W
OG0000148	augustus_masked-JFAV02000103.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.62&CDS=1-3531	YAL051W, YOR363C
OG0000149	augustus_masked-JFAV02000103.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.66&CDS=1-4269	YAL056W, YOR371C
OG0000150	augustus_masked-JFAV02000103.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.68&CDS=1-1365	YAL062W, YOR375C
OG0000151	augustus_masked-JFAV02000104.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.51&CDS=1-1149	YEL006W, YIL006W
OG0000152	snap_masked-JFAV02000104.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-0.18&CDS=1-1536	YEL007W, YHR177W
OG0000153	augustus_masked-JFAV02000104.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.41&CDS=1-435	YGR118W, YPR132W
OG0000154	augustus_masked-JFAV02000104.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.108&CDS=1-318	YMR230W, YOR293W
OG0000155	augustus_masked-JFAV02000104.1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.120&CDS=1-2088	YBR033W, YKL038W
OG0000156	augustus_masked-JFAV02000106.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.3&CDS=1-1227	YAL015C, YOL043C
OG0000157	augustus_masked-JFAV02000106.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.23&CDS=1-4035	YAL017W, YOL045W
OG0000158	augustus_masked-JFAV02000106.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.34&CDS=1-504, augustus_masked-JFAV02000107.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.32&CDS=1-465	YAL033W
OG0000159	augustus_masked-JFAV02000107.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.22&CDS=1-1413, augustus_masked-JFAV02000267.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-JFAV02000267.1-processed-gene-0.82&CDS=1-3225	YLR138W
OG0000160	augustus_masked-JFAV02000107.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.25&CDS=1-1395	YAL034C, YOR338W
