	Candida_parapsilosis	Saccharomyces_cerevisiae
OG0000070	snap_masked-Contig005807-processed-gene-15.39-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.39&CDS=1-1539	YER056C, YER060W, YER060W-A
OG0000071	genemark-Contig005807-processed-gene-15.88-mRNA-1_1&gene=genemark-Contig005807-processed-gene-15.88&CDS=1-957, snap_masked-Contig005809-processed-gene-24.72-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-24.72&CDS=1-879	YHR090C, YOR064C
OG0000072	snap_masked-Contig005807-processed-gene-16.53-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.53&CDS=1-2127, snap_masked-Contig005807-processed-gene-16.72-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.72&CDS=1-2094, snap_masked-Contig006372-processed-gene-10.32-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-10.32&CDS=1-2133	YPR159W
OG0000073	snap_masked-Contig005807-processed-gene-19.194-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-19.194&CDS=1-1008	YGR192C, YJL052W, YJR009C
OG0000074	snap_masked-Contig005807-processed-gene-19.239-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-19.239&CDS=1-885, snap_masked-Contig006110-processed-gene-0.39-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-0.39&CDS=1-882	YDR368W, YOR120W
OG0000075	maker-Contig005809-augustus-gene-0.63-mRNA-1_1&gene=maker-Contig005809-augustus-gene-0.63&CDS=1-1371	YDL246C, YJR159W, YLR070C
OG0000076	maker-Contig005809-snap-gene-5.0-mRNA-1_1&gene=maker-Contig005809-snap-gene-5.0&CDS=1-483, snap_masked-Contig006110-processed-gene-6.128-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-6.128&CDS=1-366	YDR519W, YNL135C
OG0000077	augustus_masked-Contig006372-processed-gene-16.231-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-16.231&CDS=1-4314, snap_masked-Contig005809-processed-gene-11.92-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-11.92&CDS=1-4389, snap_masked-Contig006372-processed-gene-16.137-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.137&CDS=1-4413	YGR281W
OG0000078	snap_masked-Contig005809-processed-gene-15.52-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-15.52&CDS=1-1374, snap_masked-Contig006372-processed-gene-16.125-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.125&CDS=1-1374	YBR118W, YPR080W
OG0000079	snap_masked-Contig005809-processed-gene-16.30-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-16.30&CDS=1-4935, snap_masked-Contig006139-processed-gene-2.6-mRNA-1_1&gene=snap_masked-Contig006139-processed-gene-2.6&CDS=1-1092	YBL007C, YPL113C
OG0000080	maker-Contig006372-snap-gene-1.57-mRNA-1_1&gene=maker-Contig006372-snap-gene-1.57&CDS=1-2130, snap_masked-Contig005809-processed-gene-24.35-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-24.35&CDS=1-1137, snap_masked-Contig005809-processed-gene-24.59-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-24.59&CDS=1-1137	YMR152W
OG0000081	maker-Contig005809-augustus-gene-25.6-mRNA-1_1&gene=maker-Contig005809-augustus-gene-25.6&CDS=1-5880	YOL055C, YPL258C, YPR121W
OG0000082	snap_masked-Contig005809-processed-gene-27.12-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-27.12&CDS=1-3066, snap_masked-Contig006372-processed-gene-10.24-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-10.24&CDS=1-3186	YBR245C, YOR304W
OG0000083	maker-Contig005809-snap-gene-28.4-mRNA-1_1&gene=maker-Contig005809-snap-gene-28.4&CDS=1-1719, maker-Contig006372-augustus-gene-3.71-mRNA-1_1&gene=maker-Contig006372-augustus-gene-3.71&CDS=1-1752, snap_masked-Contig005809-processed-gene-28.89-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-28.89&CDS=1-1728	YGL077C
OG0000084	augustus_masked-Contig005809-processed-gene-29.20-mRNA-1_1&gene=augustus_masked-Contig005809-processed-gene-29.20&CDS=1-4782, maker-Contig005809-augustus-gene-28.55-mRNA-1_1&gene=maker-Contig005809-augustus-gene-28.55&CDS=1-3192	YKL046C, YMR238W
OG0000085	snap_masked-Contig006372-processed-gene-8.51-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.51&CDS=1-1719, snap_masked-Contig006372-processed-gene-8.58-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.58&CDS=1-1719, snap_masked-Contig006372-processed-gene-8.74-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.74&CDS=1-1722	YOR348C
OG0000086	snap_masked-Contig005504-processed-gene-1.50-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.50&CDS=1-1020	YGR038W, YLR350W
OG0000087	snap_masked-Contig005504-processed-gene-3.5-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.5&CDS=1-3513	YJL084C, YKR021W
OG0000088	snap_masked-Contig005504-processed-gene-3.12-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.12&CDS=1-651	YGL135W, YPL220W
OG0000089	snap_masked-Contig005504-processed-gene-4.61-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.61&CDS=1-2493	YIL105C, YNL047C
OG0000090	snap_masked-Contig005504-processed-gene-4.82-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.82&CDS=1-411	YBL087C, YER117W
OG0000091	augustus_masked-Contig005504-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-4.110&CDS=1-1791, augustus_masked-Contig005504-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-4.123&CDS=1-1791	YDR019C
OG0000092	snap_masked-Contig005504-processed-gene-4.87-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.87&CDS=1-1443, snap_masked-Contig005569-processed-gene-8.48-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.48&CDS=1-1485	YCR028C
OG0000093	snap_masked-Contig005504-processed-gene-4.90-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.90&CDS=1-3669	YGL133W, YPL216W
OG0000094	snap_masked-Contig005504-processed-gene-6.86-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-6.86&CDS=1-468	YEL034W, YJR047C
OG0000095	snap_masked-Contig005504-processed-gene-6.105-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-6.105&CDS=1-2709	YJR059W, YKL198C
OG0000096	snap_masked-Contig005504-processed-gene-6.92-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-6.92&CDS=1-3390	YCR067C, YNR026C
OG0000097	snap_masked-Contig005504-processed-gene-6.120-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-6.120&CDS=1-846	YDR066C, YER139C
OG0000098	snap_masked-Contig005504-processed-gene-7.222-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-7.222&CDS=1-489	YBR244W, YIR037W
OG0000099	snap_masked-Contig005504-processed-gene-7.187-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-7.187&CDS=1-1737	YHR115C, YNL116W
OG0000100	snap_masked-Contig005504-processed-gene-7.188-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-7.188&CDS=1-474	YEL066W, YPR193C
OG0000101	snap_masked-Contig005504-processed-gene-7.241-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-7.241&CDS=1-3225	YBL106C, YPR032W
OG0000102	genemark-Contig005569-processed-gene-0.35-mRNA-1_1&gene=genemark-Contig005569-processed-gene-0.35&CDS=1-363	YBR016W, YDL012C
OG0000103	snap_masked-Contig005569-processed-gene-0.145-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-0.145&CDS=1-834	YLR178C, YLR179C
OG0000104	snap_masked-Contig005569-processed-gene-1.90-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-1.90&CDS=1-1731	YBL039C, YJR103W
OG0000105	snap_masked-Contig005569-processed-gene-1.92-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-1.92&CDS=1-315	YJR094W-A, YPR043W
OG0000106	augustus_masked-Contig005569-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-1.117&CDS=1-3657	YJR091C, YPR042C
OG0000107	snap_masked-Contig005569-processed-gene-1.103-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-1.103&CDS=1-837	YMR222C, YOR280C
OG0000108	augustus_masked-Contig005569-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-1.150&CDS=1-1791	YER037W, YGL224C
OG0000109	snap_masked-Contig005569-processed-gene-2.105-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-2.105&CDS=1-3375	YDR223W, YLR223C
OG0000110	snap_masked-Contig005569-processed-gene-2.89-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-2.89&CDS=1-2106	YER028C, YGL209W
OG0000111	augustus_masked-Contig005809-processed-gene-23.75-mRNA-1_1&gene=augustus_masked-Contig005809-processed-gene-23.75&CDS=1-1047, genemark-Contig005569-processed-gene-4.81-mRNA-1_1&gene=genemark-Contig005569-processed-gene-4.81&CDS=1-882	YIL124W
OG0000112	augustus_masked-Contig006372-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-3.81&CDS=1-1161, snap_masked-Contig005569-processed-gene-4.36-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-4.36&CDS=1-1728	YBR132C
OG0000113	augustus_masked-Contig005569-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-5.3&CDS=1-3447	YJL076W, YKR010C
OG0000114	snap_masked-Contig005569-processed-gene-5.94-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-5.94&CDS=1-2469	YGL139W, YPL221W
OG0000115	snap_masked-Contig005569-processed-gene-5.119-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-5.119&CDS=1-2787	YKL050C, YMR031C
OG0000116	augustus_masked-Contig005569-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-5.18&CDS=1-909	YHR132W-A, YNL157W
OG0000117	snap_masked-Contig005569-processed-gene-6.65-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.65&CDS=1-1704, snap_masked-Contig005807-processed-gene-5.28-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-5.28&CDS=1-1731	YMR145C
OG0000118	maker-Contig005569-augustus-gene-6.41-mRNA-1_1&gene=maker-Contig005569-augustus-gene-6.41&CDS=1-1587	YGL147C, YNL067W
OG0000119	snap_masked-Contig005569-processed-gene-7.110-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.110&CDS=1-4962, snap_masked-Contig006110-processed-gene-7.53-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-7.53&CDS=1-4962	YLL048C
OG0000120	maker-Contig005569-snap-gene-7.50-mRNA-1_1&gene=maker-Contig005569-snap-gene-7.50&CDS=1-717	YHL034C, YLL046C
OG0000121	genemark-Contig005569-processed-gene-7.10-mRNA-1_1&gene=genemark-Contig005569-processed-gene-7.10&CDS=1-2622	YKL072W, YMR053C
OG0000122	snap_masked-Contig005569-processed-gene-8.44-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.44&CDS=1-987	YHR133C, YNL156C
OG0000123	snap_masked-Contig005569-processed-gene-8.74-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.74&CDS=1-1410	YMR253C, YPL264C
OG0000124	augustus_masked-Contig005569-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-8.24&CDS=1-1497	YJL139C, YKR061W
OG0000125	snap_masked-Contig005569-processed-gene-8.90-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.90&CDS=1-558	YJL177W, YKL180W
OG0000126	snap_masked-Contig005569-processed-gene-9.74-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.74&CDS=1-3072	YLR031W, YMR124W
OG0000127	augustus_masked-Contig005569-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-9.135&CDS=1-522	YGR085C, YPR102C
OG0000128	snap_masked-Contig005569-processed-gene-9.94-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.94&CDS=1-858	YCR010C, YNR002C
OG0000129	snap_masked-Contig005569-processed-gene-10.5-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.5&CDS=1-1920	YGR092W, YPR111W
OG0000130	maker-Contig005569-snap-gene-10.114-mRNA-1_1&gene=maker-Contig005569-snap-gene-10.114&CDS=1-1563	YLR432W, YML056C
OG0000131	maker-Contig005569-snap-gene-10.115-mRNA-1_1&gene=maker-Contig005569-snap-gene-10.115&CDS=1-2754, snap_masked-Contig005809-processed-gene-19.11-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-19.11&CDS=1-1524	YOR049C
OG0000132	snap_masked-Contig005569-processed-gene-10.53-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.53&CDS=1-1479	YLL012W, YLR020C
OG0000133	snap_masked-Contig005569-processed-gene-11.74-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.74&CDS=1-1320, snap_masked-Contig005809-processed-gene-27.34-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-27.34&CDS=1-1278	YDL131W
OG0000134	snap_masked-Contig005569-processed-gene-12.26-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.26&CDS=1-2157, snap_masked-Contig006372-processed-gene-7.5-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.5&CDS=1-2166	YHL016C
OG0000135	snap_masked-Contig005569-processed-gene-12.18-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.18&CDS=1-312	YCL035C, YDR513W
OG0000136	snap_masked-Contig005569-processed-gene-13.51-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.51&CDS=1-426	YDL083C, YMR143W
OG0000137	snap_masked-Contig005569-processed-gene-13.52-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.52&CDS=1-606	YDL082W, YMR142C
OG0000138	snap_masked-Contig005569-processed-gene-13.53-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.53&CDS=1-1272	YLR300W, YOR190W
OG0000139	snap_masked-Contig005569-processed-gene-13.78-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.78&CDS=1-1395	YDR247W, YPL026C
OG0000140	snap_masked-Contig005569-processed-gene-13.79-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.79&CDS=1-1512	YBR020W, YDR009W
OG0000141	snap_masked-Contig005569-processed-gene-13.67-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.67&CDS=1-381	YGR034W, YLR344W
OG0000142	maker-Contig005569-augustus-gene-14.54-mRNA-1_1&gene=maker-Contig005569-augustus-gene-14.54&CDS=1-3504	YGR056W, YLR357W
OG0000143	maker-Contig005569-snap-gene-14.2-mRNA-1_1&gene=maker-Contig005569-snap-gene-14.2&CDS=1-2592, maker-Contig005569-snap-gene-14.5-mRNA-1_1&gene=maker-Contig005569-snap-gene-14.5&CDS=1-1785	YPL265W
OG0000144	snap_masked-Contig005569-processed-gene-14.120-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-14.120&CDS=1-1443	YBR273C, YJL048C
OG0000145	snap_masked-Contig005569-processed-gene-14.132-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-14.132&CDS=1-639, snap_masked-Contig005569-processed-gene-14.149-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-14.149&CDS=1-642	YPL067C
OG0000146	snap_masked-Contig005569-processed-gene-14.133-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-14.133&CDS=1-1938, snap_masked-Contig006110-processed-gene-0.76-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-0.76&CDS=1-1953	YLL024C
OG0000147	snap_masked-Contig005569-processed-gene-15.88-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-15.88&CDS=1-393	YBL002W, YDR224C
OG0000148	maker-Contig005569-snap-gene-15.57-mRNA-1_1&gene=maker-Contig005569-snap-gene-15.57&CDS=1-1275	YBL003C, YDR225W
OG0000149	snap_masked-Contig005569-processed-gene-15.94-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-15.94&CDS=1-2901	YCR037C, YJL198W
OG0000150	snap_masked-Contig005569-processed-gene-15.82-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-15.82&CDS=1-483, snap_masked-Contig005569-processed-gene-21.50-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-21.50&CDS=1-939	YDL015C
OG0000151	augustus_masked-Contig005569-processed-gene-15.153-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-15.153&CDS=1-4062	YBL079W, YER105C
OG0000152	snap_masked-Contig005569-processed-gene-15.87-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-15.87&CDS=1-735	YGL076C, YPL198W
OG0000153	snap_masked-Contig005569-processed-gene-16.53-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-16.53&CDS=1-246	YHR021C, YKL156W
OG0000154	augustus_masked-Contig005569-processed-gene-16.34-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-16.34&CDS=1-2448	YNL299W, YOL115W
OG0000155	snap_masked-Contig005569-processed-gene-16.82-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-16.82&CDS=1-1611	YDR273W, YOR042W
OG0000156	snap_masked-Contig005569-processed-gene-16.70-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-16.70&CDS=1-1296	YIR013C, YLR013W
OG0000157	augustus_masked-Contig005569-processed-gene-17.41-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-17.41&CDS=1-2724	YDR492W, YOL002C
OG0000158	augustus_masked-Contig005569-processed-gene-17.45-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-17.45&CDS=1-1506	YMR177W, YPL224C
OG0000159	genemark-Contig005569-processed-gene-17.87-mRNA-1_1&gene=genemark-Contig005569-processed-gene-17.87&CDS=1-1212, maker-Contig005569-snap-gene-18.84-mRNA-1_1&gene=maker-Contig005569-snap-gene-18.84&CDS=1-1014	YPR086W
OG0000160	augustus_masked-Contig005569-processed-gene-17.65-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-17.65&CDS=1-993, snap_masked-Contig005569-processed-gene-17.15-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-17.15&CDS=1-993	YCR021C
OG0000161	snap_masked-Contig005569-processed-gene-17.16-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-17.16&CDS=1-858, snap_masked-Contig005569-processed-gene-17.27-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-17.27&CDS=1-858	YLR064W
OG0000162	snap_masked-Contig005569-processed-gene-17.21-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-17.21&CDS=1-465	YDR178W, YLR164W
OG0000163	snap_masked-Contig005569-processed-gene-18.38-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-18.38&CDS=1-2013	YDR200C, YLR238W
OG0000164	snap_masked-Contig005569-processed-gene-18.62-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-18.62&CDS=1-1299	YBR078W, YDR055W
OG0000165	snap_masked-Contig005569-processed-gene-18.65-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-18.65&CDS=1-810	YDR099W, YER177W
OG0000166	snap_masked-Contig005569-processed-gene-18.75-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-18.75&CDS=1-6645	YHR155W, YNL257C
OG0000167	maker-Contig005569-snap-gene-19.4-mRNA-1_1&gene=maker-Contig005569-snap-gene-19.4&CDS=1-3165	YJL138C, YKR059W
OG0000168	augustus_masked-Contig005569-processed-gene-19.118-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-19.118&CDS=1-2493	YJL134W, YKR053C
OG0000169	snap_masked-Contig005569-processed-gene-19.65-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-19.65&CDS=1-3981	YDR409W, YOR156C
OG0000170	snap_masked-Contig005569-processed-gene-20.55-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-20.55&CDS=1-1662, snap_masked-Contig006110-processed-gene-6.125-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-6.125&CDS=1-1986	YMR110C
OG0000171	maker-Contig005569-snap-gene-20.1-mRNA-1_1&gene=maker-Contig005569-snap-gene-20.1&CDS=1-1551	YER045C, YIL036W
OG0000172	snap_masked-Contig005569-processed-gene-20.60-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-20.60&CDS=1-3549	YGR238C, YHR158C
OG0000173	snap_masked-Contig005569-processed-gene-20.86-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-20.86&CDS=1-2367	YER054C, YIL045W
OG0000174	snap_masked-Contig005569-processed-gene-21.4-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-21.4&CDS=1-651, snap_masked-Contig005809-processed-gene-2.117-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-2.117&CDS=1-648	YMR202W
OG0000175	maker-Contig005569-snap-gene-21.143-mRNA-1_1&gene=maker-Contig005569-snap-gene-21.143&CDS=1-861	YMR233W, YOR295W
OG0000176	snap_masked-Contig005569-processed-gene-21.29-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-21.29&CDS=1-1302	YLR449W, YML074C
OG0000177	augustus_masked-Contig005569-processed-gene-21.170-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-21.170&CDS=1-4785	YLR450W, YML075C
OG0000178	snap_masked-Contig005806-processed-gene-0.26-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-0.26&CDS=1-2112	YDR389W, YOR134W
OG0000179	augustus_masked-Contig005806-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-Contig005806-processed-gene-0.47&CDS=1-3438, snap_masked-Contig006372-processed-gene-6.69-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.69&CDS=1-1995	YGL243W
OG0000180	snap_masked-Contig005806-processed-gene-0.10-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-0.10&CDS=1-2049, snap_masked-Contig006110-processed-gene-3.93-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-3.93&CDS=1-1443	YGL203C
OG0000181	augustus_masked-Contig005806-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-Contig005806-processed-gene-0.53&CDS=1-1272	YDR450W, YML026C
OG0000182	snap_masked-Contig005806-processed-gene-0.13-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-0.13&CDS=1-1434	YDR451C, YML027W
OG0000183	snap_masked-Contig005806-processed-gene-1.73-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-1.73&CDS=1-1089	YBR066C, YDR043C
OG0000184	snap_masked-Contig005806-processed-gene-1.74-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-1.74&CDS=1-1827	YJR054W, YML047C
