	Nakaseomyces_bracarensis	Saccharomyces_cerevisiae
OG0000069	snap_masked-CABR0S05-processed-gene-5.66-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-5.66&CDS=1-201, snap_masked-CABR0S31-processed-gene-7.217-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-7.217&CDS=1-201	YLR264W, YOR167C
OG0000070	genemark-CABR0S05-processed-gene-5.202-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-5.202&CDS=1-2268, snap_masked-CABR0S31-processed-gene-7.218-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-7.218&CDS=1-1719	YLR260W, YOR171C
OG0000071	snap_masked-CABR0S08-processed-gene-1.40-mRNA-1_1&gene=snap_masked-CABR0S08-processed-gene-1.40&CDS=1-2100, snap_masked-CABR0S37-processed-gene-18.23-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-18.23&CDS=1-2085	YFR015C, YLR258W
OG0000072	snap_masked-CABR0S08-processed-gene-1.58-mRNA-1_1&gene=snap_masked-CABR0S08-processed-gene-1.58&CDS=1-1899, snap_masked-CABR0S40-processed-gene-3.132-mRNA-1_1&gene=snap_masked-CABR0S40-processed-gene-3.132&CDS=1-1434	YNL299W, YOL115W
OG0000073	augustus_masked-CABR0S12-processed-gene-1.215-mRNA-1_1&gene=augustus_masked-CABR0S12-processed-gene-1.215&CDS=1-2439, snap_masked-CABR0S11-processed-gene-0.180-mRNA-1_1&gene=snap_masked-CABR0S11-processed-gene-0.180&CDS=1-2478	YML109W, YMR273C
OG0000074	augustus_masked-CABR0S12-processed-gene-1.211-mRNA-1_1&gene=augustus_masked-CABR0S12-processed-gene-1.211&CDS=1-2259, snap_masked-CABR0S37-processed-gene-9.17-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.17&CDS=1-2286	YOR256C, YPL176C
OG0000075	snap_masked-CABR0S13-processed-gene-0.11-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-0.11&CDS=1-1407, snap_masked-CABR0S31-processed-gene-5.42-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-5.42&CDS=1-1461	YBR263W, YLR058C
OG0000076	snap_masked-CABR0S13-processed-gene-1.120-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-1.120&CDS=1-954, snap_masked-CABR0S37-processed-gene-22.167-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-22.167&CDS=1-1620	YJR054W, YML047C
OG0000077	snap_masked-CABR0S13-processed-gene-1.109-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-1.109&CDS=1-1404, snap_masked-CABR0S37-processed-gene-17.12-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-17.12&CDS=1-1413	YEL047C, YJR051W
OG0000078	snap_masked-CABR0S13-processed-gene-2.102-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-2.102&CDS=1-1302, snap_masked-CABR0S29-processed-gene-3.30-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-3.30&CDS=1-783	YNL108C, YOR110W
OG0000079	snap_masked-CABR0S13-processed-gene-2.119-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-2.119&CDS=1-1197, snap_masked-CABR0S13-processed-gene-3.93-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-3.93&CDS=1-1200	YHR179W, YPL171C
OG0000080	snap_masked-CABR0S13-processed-gene-2.123-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-2.123&CDS=1-1311, snap_masked-CABR0S34-processed-gene-2.73-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-2.73&CDS=1-1314	YGR254W, YHR174W
OG0000081	genemark-CABR0S13-processed-gene-3.2-mRNA-1_1&gene=genemark-CABR0S13-processed-gene-3.2&CDS=1-2139, snap_masked-CABR0S34-processed-gene-2.68-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-2.68&CDS=1-1647	YGR241C, YHR161C
OG0000082	snap_masked-CABR0S13-processed-gene-3.92-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-3.92&CDS=1-3408, snap_masked-CABR0S34-processed-gene-2.65-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-2.65&CDS=1-3153	YGR238C, YHR158C
OG0000083	snap_masked-CABR0S13-processed-gene-3.112-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-3.112&CDS=1-2508, snap_masked-CABR0S13-processed-gene-6.114-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-6.114&CDS=1-2439	YGL139W, YPL221W
OG0000084	genemark-CABR0S13-processed-gene-3.11-mRNA-1_1&gene=genemark-CABR0S13-processed-gene-3.11&CDS=1-1239, snap_masked-CABR0S13-processed-gene-6.97-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-6.97&CDS=1-1548	YMR177W, YPL224C
OG0000085	genemark-CABR0S13-processed-gene-4.24-mRNA-1_1&gene=genemark-CABR0S13-processed-gene-4.24&CDS=1-1218, genemark-CABR0S37-processed-gene-0.111-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-0.111&CDS=1-1272	YDR125C, YLR099C
OG0000086	augustus_masked-CABR0S13-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-CABR0S13-processed-gene-4.67&CDS=1-1560, genemark-CABR0S16-processed-gene-4.60-mRNA-1_1&gene=genemark-CABR0S16-processed-gene-4.60&CDS=1-1680	YDR132C, YLR108C
OG0000087	snap_masked-CABR0S13-processed-gene-5.99-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-5.99&CDS=1-1584, snap_masked-CABR0S17-processed-gene-1.37-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-1.37&CDS=1-1413	YMR199W, YPL256C
OG0000088	snap_masked-CABR0S13-processed-gene-5.112-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-5.112&CDS=1-1341, snap_masked-CABR0S37-processed-gene-18.15-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-18.15&CDS=1-1725	YDR247W, YPL026C
OG0000089	snap_masked-CABR0S13-processed-gene-6.81-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-6.81&CDS=1-1821, snap_masked-CABR0S37-processed-gene-14.9-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-14.9&CDS=1-1767	YHR117W, YNL121C
OG0000090	snap_masked-CABR0S13-processed-gene-6.87-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-6.87&CDS=1-1173, snap_masked-CABR0S37-processed-gene-14.11-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-14.11&CDS=1-1185	YHR123W, YNL130C
OG0000091	snap_masked-CABR0S13-processed-gene-7.57-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-7.57&CDS=1-1689, snap_masked-CABR0S13-processed-gene-7.73-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-7.73&CDS=1-1776	YEL063C, YNL268W
OG0000092	snap_masked-CABR0S13-processed-gene-7.58-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-7.58&CDS=1-5853, snap_masked-CABR0S37-processed-gene-12.50-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-12.50&CDS=1-4005	YIL159W, YNL271C
OG0000093	snap_masked-CABR0S13-processed-gene-8.111-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-8.111&CDS=1-1149, snap_masked-CABR0S26-processed-gene-1.94-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-1.94&CDS=1-1146	YDR502C, YLR180W
OG0000094	snap_masked-CABR0S13-processed-gene-8.103-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-8.103&CDS=1-7425, snap_masked-CABR0S30-processed-gene-4.155-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-4.155&CDS=1-7401	YJR066W, YKL203C
OG0000095	snap_masked-CABR0S13-processed-gene-8.126-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-8.126&CDS=1-1218, snap_masked-CABR0S16-processed-gene-3.2-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-3.2&CDS=1-1143	YDR218C, YJR076C
OG0000096	augustus_masked-CABR0S16-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-CABR0S16-processed-gene-0.41&CDS=1-2322, augustus_masked-CABR0S40-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-CABR0S40-processed-gene-2.65&CDS=1-1464	YBL009W, YGL021W
OG0000097	snap_masked-CABR0S16-processed-gene-0.104-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-0.104&CDS=1-3126, snap_masked-CABR0S29-processed-gene-4.38-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-4.38&CDS=1-3333	YBR245C, YOR304W
OG0000098	genemark-CABR0S16-processed-gene-1.4-mRNA-1_1&gene=genemark-CABR0S16-processed-gene-1.4&CDS=1-573, snap_masked-CABR0S26-processed-gene-5.2-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-5.2&CDS=1-573	YGL147C, YNL067W
OG0000099	snap_masked-CABR0S16-processed-gene-2.107-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-2.107&CDS=1-1458, snap_masked-CABR0S29-processed-gene-8.51-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-8.51&CDS=1-1458	YFR053C, YGL253W
OG0000100	augustus_masked-CABR0S16-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-CABR0S16-processed-gene-2.97&CDS=1-2997, snap_masked-CABR0S26-processed-gene-4.107-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-4.107&CDS=1-1464	YDR198C, YLR238W
OG0000101	maker-CABR0S16-snap-gene-2.1-mRNA-1_1&gene=maker-CABR0S16-snap-gene-2.1&CDS=1-2169, snap_masked-CABR0S37-processed-gene-22.169-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-22.169&CDS=1-2769	YDR213W, YLR228C
OG0000102	genemark-CABR0S16-processed-gene-3.107-mRNA-1_1&gene=genemark-CABR0S16-processed-gene-3.107&CDS=1-1317, snap_masked-CABR0S37-processed-gene-20.60-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-20.60&CDS=1-1296	YBR078W, YDR055W
OG0000103	genemark-CABR0S40-processed-gene-2.10-mRNA-1_1&gene=genemark-CABR0S40-processed-gene-2.10&CDS=1-4830, snap_masked-CABR0S16-processed-gene-4.101-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-4.101&CDS=1-4593	YDR135C, YLL015W
OG0000104	snap_masked-CABR0S16-processed-gene-4.104-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-4.104&CDS=1-753, snap_masked-CABR0S17-processed-gene-2.77-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-2.77&CDS=1-747	YDR099W, YER177W
OG0000105	snap_masked-CABR0S16-processed-gene-5.112-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-5.112&CDS=1-2769, snap_masked-CABR0S21-processed-gene-2.20-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.20&CDS=1-2793	YBL085W, YER114C
OG0000106	snap_masked-CABR0S16-processed-gene-6.3-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-6.3&CDS=1-2271, snap_masked-CABR0S26-processed-gene-5.33-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-5.33&CDS=1-2223	YJL082W, YKR018C
OG0000107	genemark-CABR0S31-processed-gene-5.114-mRNA-1_1&gene=genemark-CABR0S31-processed-gene-5.114&CDS=1-615, snap_masked-CABR0S16-processed-gene-6.4-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-6.4&CDS=1-645	YBR264C, YKR014C
OG0000108	genemark-CABR0S37-processed-gene-17.94-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-17.94&CDS=1-930, snap_masked-CABR0S16-processed-gene-6.45-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-6.45&CDS=1-930	YDR368W, YOR120W
OG0000109	augustus_masked-CABR0S16-processed-gene-7.114-mRNA-1_1&gene=augustus_masked-CABR0S16-processed-gene-7.114&CDS=1-936, augustus_masked-CABR0S31-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-CABR0S31-processed-gene-6.111&CDS=1-1176	YMR316W, YOR385W
OG0000110	snap_masked-CABR0S16-processed-gene-8.22-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-8.22&CDS=1-999, snap_masked-CABR0S37-processed-gene-6.115-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-6.115&CDS=1-993	YGR192C, YJR009C
OG0000111	genemark-CABR0S16-processed-gene-8.177-mRNA-1_1&gene=genemark-CABR0S16-processed-gene-8.177&CDS=1-1626, genemark-CABR0S37-processed-gene-10.79-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-10.79&CDS=1-1413	YHR050W, YLR034C
OG0000112	snap_masked-CABR0S16-processed-gene-8.25-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-8.25&CDS=1-2574, snap_masked-CABR0S21-processed-gene-5.44-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.44&CDS=1-2571	YHR047C, YKL157W
OG0000113	maker-CABR0S17-snap-gene-1.42-mRNA-1_1&gene=maker-CABR0S17-snap-gene-1.42&CDS=1-2640, snap_masked-CABR0S30-processed-gene-0.44-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-0.44&CDS=1-4473	YLR442C, YML065W
OG0000114	genemark-CABR0S17-processed-gene-4.125-mRNA-1_1&gene=genemark-CABR0S17-processed-gene-4.125&CDS=1-9810, snap_masked-CABR0S17-processed-gene-2.88-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-2.88&CDS=1-6384	YER172C, YGR271W
OG0000115	snap_masked-CABR0S17-processed-gene-3.30-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-3.30&CDS=1-1827, snap_masked-CABR0S37-processed-gene-21.113-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-21.113&CDS=1-1578	YDR423C, YML007W
OG0000116	snap_masked-CABR0S17-processed-gene-3.36-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-3.36&CDS=1-1383, snap_masked-CABR0S31-processed-gene-1.23-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-1.23&CDS=1-1476	YDL048C, YLR375W
OG0000117	genemark-CABR0S17-processed-gene-4.109-mRNA-1_1&gene=genemark-CABR0S17-processed-gene-4.109&CDS=1-1350, snap_masked-CABR0S26-processed-gene-6.145-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-6.145&CDS=1-1161	YAL015C, YOL043C
OG0000118	snap_masked-CABR0S17-processed-gene-4.78-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-4.78&CDS=1-4140, snap_masked-CABR0S26-processed-gene-6.174-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-6.174&CDS=1-3615	YAL017W, YOL045W
OG0000119	snap_masked-CABR0S17-processed-gene-4.65-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-4.65&CDS=1-3033, snap_masked-CABR0S31-processed-gene-7.159-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-7.159&CDS=1-3306	YBR150C, YOL089C
OG0000120	snap_masked-CABR0S21-processed-gene-1.27-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.27&CDS=1-747, snap_masked-CABR0S21-processed-gene-3.8-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.8&CDS=1-750	YHR043C, YHR044C
OG0000121	snap_masked-CABR0S21-processed-gene-2.3-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.3&CDS=1-5334, snap_masked-CABR0S26-processed-gene-5.3-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-5.3&CDS=1-4071	YIL126W, YOR290C
OG0000122	snap_masked-CABR0S21-processed-gene-3.38-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.38&CDS=1-2850, snap_masked-CABR0S37-processed-gene-21.99-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-21.99&CDS=1-3780	YDR420W, YGR014W
OG0000123	genemark-CABR0S21-processed-gene-4.9-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-4.9&CDS=1-2553, genemark-CABR0S40-processed-gene-4.140-mRNA-1_1&gene=genemark-CABR0S40-processed-gene-4.140&CDS=1-1839	YLR188W, YPL270W
OG0000124	snap_masked-CABR0S21-processed-gene-4.82-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.82&CDS=1-891, snap_masked-CABR0S31-processed-gene-1.32-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-1.32&CDS=1-870, snap_masked-CABR0S34-processed-gene-0.22-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-0.22&CDS=1-882	YPR192W
OG0000125	snap_masked-CABR0S21-processed-gene-5.6-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.6&CDS=1-1404, snap_masked-CABR0S29-processed-gene-0.43-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-0.43&CDS=1-855	YJL110C, YKR034W
OG0000126	snap_masked-CABR0S26-processed-gene-0.93-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-0.93&CDS=1-576, snap_masked-CABR0S26-processed-gene-1.119-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-1.119&CDS=1-576	YCL066W, YCR040W
OG0000127	maker-CABR0S31-snap-gene-1.36-mRNA-1_1&gene=maker-CABR0S31-snap-gene-1.36&CDS=1-390, snap_masked-CABR0S26-processed-gene-1.125-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-1.125&CDS=1-390	YJL190C, YLR367W
OG0000128	snap_masked-CABR0S26-processed-gene-2.79-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-2.79&CDS=1-1872, snap_masked-CABR0S29-processed-gene-3.27-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-3.27&CDS=1-1959	YBL042C, YBR021W
OG0000129	snap_masked-CABR0S26-processed-gene-2.101-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-2.101&CDS=1-915	YBL030C, YBR085W, YMR056C
OG0000130	genemark-CABR0S30-processed-gene-3.58-mRNA-1_1&gene=genemark-CABR0S30-processed-gene-3.58&CDS=1-1986, snap_masked-CABR0S26-processed-gene-3.3-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-3.3&CDS=1-1920	YCR048W, YNR019W
OG0000131	snap_masked-CABR0S26-processed-gene-4.88-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-4.88&CDS=1-9384, snap_masked-CABR0S31-processed-gene-7.195-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-7.195&CDS=1-9105	YBR140C, YOL081W
OG0000132	snap_masked-CABR0S26-processed-gene-4.108-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-4.108&CDS=1-1767	YLR237W, YOR071C, YOR192C
OG0000133	snap_masked-CABR0S26-processed-gene-5.23-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-5.23&CDS=1-2487, snap_masked-CABR0S34-processed-gene-1.69-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-1.69&CDS=1-2490	YIL130W, YJL206C
OG0000134	snap_masked-CABR0S26-processed-gene-6.153-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-6.153&CDS=1-1104, snap_masked-CABR0S31-processed-gene-7.155-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-7.155&CDS=1-1056	YMR303C, YOL086C
OG0000135	snap_masked-CABR0S26-processed-gene-6.181-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-6.181&CDS=1-2388, snap_masked-CABR0S30-processed-gene-4.146-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-4.146&CDS=1-2247	YER017C, YMR089C
OG0000136	genemark-CABR0S37-processed-gene-19.18-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-19.18&CDS=1-1857, snap_masked-CABR0S28-processed-gene-0.170-mRNA-1_1&gene=snap_masked-CABR0S28-processed-gene-0.170&CDS=1-1875	YOR204W, YPL119C
OG0000137	snap_masked-CABR0S29-processed-gene-0.60-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-0.60&CDS=1-2481, snap_masked-CABR0S37-processed-gene-11.84-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.84&CDS=1-1068	YJL105W, YKR029C
OG0000138	genemark-CABR0S37-processed-gene-6.67-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-6.67&CDS=1-1281, snap_masked-CABR0S29-processed-gene-0.72-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-0.72&CDS=1-1221	YJL139C, YKR061W
OG0000139	snap_masked-CABR0S29-processed-gene-2.82-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-2.82&CDS=1-1830, snap_masked-CABR0S30-processed-gene-4.172-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-4.172&CDS=1-1296	YEL007W, YHR177W
OG0000140	augustus_masked-CABR0S29-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-CABR0S29-processed-gene-2.74&CDS=1-1413, snap_masked-CABR0S37-processed-gene-12.54-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-12.54&CDS=1-1473	YKL133C, YMR115W
OG0000141	snap_masked-CABR0S29-processed-gene-3.25-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-3.25&CDS=1-834, snap_masked-CABR0S37-processed-gene-5.19-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-5.19&CDS=1-882	YBR024W, YBR037C
OG0000142	maker-CABR0S37-snap-gene-5.111-mRNA-1_1&gene=maker-CABR0S37-snap-gene-5.111&CDS=1-6063, snap_masked-CABR0S29-processed-gene-3.11-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-3.11&CDS=1-3522	YBR023C, YBR038W
OG0000143	snap_masked-CABR0S29-processed-gene-3.29-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-3.29&CDS=1-1236, snap_masked-CABR0S32-processed-gene-0.152-mRNA-1_1&gene=snap_masked-CABR0S32-processed-gene-0.152&CDS=1-1377	YDR483W, YOR099W
OG0000144	snap_masked-CABR0S29-processed-gene-3.36-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-3.36&CDS=1-1767, snap_masked-CABR0S37-processed-gene-13.97-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-13.97&CDS=1-1803	YNL095C, YOR092W
OG0000145	snap_masked-CABR0S29-processed-gene-4.9-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-4.9&CDS=1-2349, snap_masked-CABR0S38-processed-gene-1.41-mRNA-1_1&gene=snap_masked-CABR0S38-processed-gene-1.41&CDS=1-2631	YKR089C, YOR081C
OG0000146	genemark-CABR0S29-processed-gene-8.119-mRNA-1_1&gene=genemark-CABR0S29-processed-gene-8.119&CDS=1-2016, snap_masked-CABR0S37-processed-gene-15.67-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-15.67&CDS=1-1986	YDL224C, YNL197C
OG0000147	snap_masked-CABR0S29-processed-gene-8.15-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-8.15&CDS=1-2073, snap_masked-CABR0S37-processed-gene-9.41-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.41&CDS=1-1356	YBL052C, YOR244W
OG0000148	snap_masked-CABR0S30-processed-gene-1.92-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-1.92&CDS=1-1089, snap_masked-CABR0S37-processed-gene-13.89-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-13.89&CDS=1-1185	YBL016W, YGR040W
OG0000149	snap_masked-CABR0S30-processed-gene-2.93-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-2.93&CDS=1-3702, snap_masked-CABR0S37-processed-gene-20.38-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-20.38&CDS=1-3531	YOR227W, YPL137C
OG0000150	augustus_masked-CABR0S30-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-CABR0S30-processed-gene-2.63&CDS=1-1422, snap_masked-CABR0S31-processed-gene-2.99-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-2.99&CDS=1-1740	YFR039C, YGL228W
OG0000151	maker-CABR0S37-snap-gene-7.122-mRNA-1_1&gene=maker-CABR0S37-snap-gene-7.122&CDS=1-2637, snap_masked-CABR0S30-processed-gene-3.35-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-3.35&CDS=1-2586	YMR054W, YOR270C
OG0000152	snap_masked-CABR0S30-processed-gene-3.36-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-3.36&CDS=1-1056, snap_masked-CABR0S31-processed-gene-7.189-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-7.189&CDS=1-1176	YLR270W, YOR173W
OG0000153	snap_masked-CABR0S30-processed-gene-4.153-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-4.153&CDS=1-2271, snap_masked-CABR0S37-processed-gene-22.148-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-22.148&CDS=1-2598	YJR059W, YKL198C
OG0000154	snap_masked-CABR0S30-processed-gene-4.154-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-4.154&CDS=1-3039, snap_masked-CABR0S37-processed-gene-22.150-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-22.150&CDS=1-2799	YJR061W, YKL201C
OG0000155	genemark-CABR0S31-processed-gene-0.33-mRNA-1_1&gene=genemark-CABR0S31-processed-gene-0.33&CDS=1-2337, genemark-CABR0S34-processed-gene-1.27-mRNA-1_1&gene=genemark-CABR0S34-processed-gene-1.27&CDS=1-2319	YJL200C, YLR304C
OG0000156	snap_masked-CABR0S31-processed-gene-1.28-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-1.28&CDS=1-2769, snap_masked-CABR0S37-processed-gene-11.55-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.55&CDS=1-2697	YGR056W, YLR357W
OG0000157	augustus_masked-CABR0S37-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-6.16&CDS=1-1299, snap_masked-CABR0S31-processed-gene-3.127-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-3.127&CDS=1-1719	YGL071W, YPL202C
OG0000158	snap_masked-CABR0S31-processed-gene-4.2-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-4.2&CDS=1-1155, snap_masked-CABR0S37-processed-gene-6.98-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-6.98&CDS=1-1110	YGL082W, YPL191C
OG0000159	snap_masked-CABR0S31-processed-gene-4.33-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-4.33&CDS=1-2295, snap_masked-CABR0S34-processed-gene-0.20-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-0.20&CDS=1-2457	YJL165C, YKL168C
OG0000160	genemark-CABR0S31-processed-gene-5.100-mRNA-1_1&gene=genemark-CABR0S31-processed-gene-5.100&CDS=1-2073, snap_masked-CABR0S37-processed-gene-0.19-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-0.19&CDS=1-1905	YGR221C, YHR149C
