	Metschnikowia_borealis	Saccharomyces_cerevisiae
OG0000050	augustus_masked-bor_s253-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bor_s253-processed-gene-0.32&CDS=1-483, augustus_masked-bor_s571-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.16&CDS=1-2181, snap_masked-bor_s207-processed-gene-0.5-mRNA-1_1&gene=snap_masked-bor_s207-processed-gene-0.5&CDS=1-270, snap_masked-bor_s372-processed-gene-0.10-mRNA-1_1&gene=snap_masked-bor_s372-processed-gene-0.10&CDS=1-231	YOR017W
OG0000051	augustus_masked-bor_s323-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.191&CDS=1-1032, augustus_masked-bor_s659-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s659-processed-gene-0.9&CDS=1-1098, snap_masked-bor_s210-processed-gene-0.11-mRNA-1_1&gene=snap_masked-bor_s210-processed-gene-0.11&CDS=1-186	YER107C, YOR026W
OG0000052	augustus_masked-bor_s960-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bor_s960-processed-gene-0.52&CDS=1-1503, maker-bor_s212-augustus-gene-1.132-mRNA-1_1&gene=maker-bor_s212-augustus-gene-1.132&CDS=1-1932	YMR169C, YMR170C, YOR374W
OG0000053	augustus_masked-bor_s212-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-bor_s212-processed-gene-1.108&CDS=1-1050, augustus_masked-bor_s445-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-bor_s445-processed-gene-0.97&CDS=1-1050, augustus_masked-bor_s801-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s801-processed-gene-0.4&CDS=1-2367	YML131W, YNL323W
OG0000054	augustus_masked-bor_s482-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-bor_s482-processed-gene-0.91&CDS=1-1470, augustus_masked-bor_s624-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s624-processed-gene-0.0&CDS=1-573, maker-bor_s212-augustus-gene-1.135-mRNA-1_1&gene=maker-bor_s212-augustus-gene-1.135&CDS=1-2487	YGL202W, YHR137W
OG0000055	augustus_masked-bor_s26-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-bor_s26-processed-gene-1.99&CDS=1-999, augustus_masked-bor_s350-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.85&CDS=1-1485	YBL056W, YBR125C, YER089C
OG0000056	augustus_masked-bor_s261-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s261-processed-gene-0.3&CDS=1-1197, snap_masked-bor_s800-processed-gene-0.8-mRNA-1_1&gene=snap_masked-bor_s800-processed-gene-0.8&CDS=1-1257	YHL009W-B, YJL113W, YPL060C-A
OG0000057	genemark-bor_s442-processed-gene-0.21-mRNA-1_1&gene=genemark-bor_s442-processed-gene-0.21&CDS=1-3540, maker-bor_s267-augustus-gene-0.0-mRNA-1_1&gene=maker-bor_s267-augustus-gene-0.0&CDS=1-4677	YML072C, YNL087W, YOR086C
OG0000058	augustus_masked-bor_s286-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s286-processed-gene-0.14&CDS=1-1701, augustus_masked-bor_s350-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.5&CDS=1-1752, maker-bor_s834-snap-gene-0.1-mRNA-1_1&gene=maker-bor_s834-snap-gene-0.1&CDS=1-1725	YJL172W, YOL153C
OG0000059	augustus_masked-bor_s302-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-bor_s302-processed-gene-0.130&CDS=1-408, augustus_masked-bor_s418-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-bor_s418-processed-gene-0.168&CDS=1-408, augustus_masked-bor_s61-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bor_s61-processed-gene-0.36&CDS=1-408	YBR010W, YNL031C
OG0000060	augustus_masked-bor_s302-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-bor_s302-processed-gene-1.4&CDS=1-1458, augustus_masked-bor_s713-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s713-processed-gene-0.18&CDS=1-1893	YDL159W, YOR231W, YPL140C
OG0000061	augustus_masked-bor_s302-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-bor_s302-processed-gene-1.41&CDS=1-2196, augustus_masked-bor_s586-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-bor_s586-processed-gene-0.101&CDS=1-1968, snap_masked-bor_s936-processed-gene-0.50-mRNA-1_1&gene=snap_masked-bor_s936-processed-gene-0.50&CDS=1-1716	YLR098C, YOR337W
OG0000062	augustus_masked-bor_s302-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-bor_s302-processed-gene-1.50&CDS=1-1668, augustus_masked-bor_s445-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-bor_s445-processed-gene-0.63&CDS=1-1620, augustus_masked-bor_s92-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s92-processed-gene-0.3&CDS=1-2982	YLR343W, YMR307W
OG0000063	augustus_masked-bor_s323-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.228&CDS=1-3282, augustus_masked-bor_s539-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s539-processed-gene-0.22&CDS=1-510, snap_masked-bor_s372-processed-gene-0.11-mRNA-1_1&gene=snap_masked-bor_s372-processed-gene-0.11&CDS=1-1407	YHR109W, YLR071C
OG0000064	augustus_masked-bor_s323-processed-gene-0.243-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.243&CDS=1-1653, augustus_masked-bor_s597-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s597-processed-gene-0.15&CDS=1-4239	YAL002W, YIR031C, YNL117W
OG0000065	augustus_masked-bor_s344-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.95&CDS=1-930, augustus_masked-bor_s557-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s557-processed-gene-0.7&CDS=1-666, augustus_masked-bor_s568-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-0.74&CDS=1-594	YKR055W, YPR165W
OG0000066	augustus_masked-bor_s350-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.18&CDS=1-2238	YBR297W, YFL052W, YGR288W, YPR196W
OG0000067	augustus_masked-bor_s351-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.112&CDS=1-3564, augustus_masked-bor_s962-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-bor_s962-processed-gene-0.72&CDS=1-3660	YJL042W, YOR227W, YPL137C
OG0000068	augustus_masked-bor_s351-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.90&CDS=1-2949, maker-bor_s500-augustus-gene-0.56-mRNA-1_1&gene=maker-bor_s500-augustus-gene-0.56&CDS=1-3165, snap_masked-bor_s597-processed-gene-0.8-mRNA-1_1&gene=snap_masked-bor_s597-processed-gene-0.8&CDS=1-3159	YGL097W, YNL192W
OG0000069	augustus_masked-bor_s351-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.101&CDS=1-1449, augustus_masked-bor_s581-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-bor_s581-processed-gene-0.72&CDS=1-1413	YCL040W, YDR516C, YGL253W
OG0000070	maker-bor_s351-augustus-gene-0.76-mRNA-1_1&gene=maker-bor_s351-augustus-gene-0.76&CDS=1-2049, maker-bor_s351-augustus-gene-0.77-mRNA-1_1&gene=maker-bor_s351-augustus-gene-0.77&CDS=1-657	YCL036W, YDR514C, YKL114C
OG0000071	augustus_masked-bor_s370-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bor_s370-processed-gene-0.24&CDS=1-3492, augustus_masked-bor_s561-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s561-processed-gene-0.4&CDS=1-2928, maker-bor_s87-augustus-gene-0.12-mRNA-1_1&gene=maker-bor_s87-augustus-gene-0.12&CDS=1-924	YER017C, YMR089C
OG0000072	augustus_masked-bor_s480-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-bor_s480-processed-gene-0.43&CDS=1-729, augustus_masked-bor_s721-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s721-processed-gene-0.5&CDS=1-651, genemark-bor_s381-processed-gene-0.146-mRNA-1_1&gene=genemark-bor_s381-processed-gene-0.146&CDS=1-594, snap_masked-bor_s54-processed-gene-0.6-mRNA-1_1&gene=snap_masked-bor_s54-processed-gene-0.6&CDS=1-1266	YDR207C
OG0000073	augustus_masked-bor_s396-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bor_s396-processed-gene-0.24&CDS=1-2073, augustus_masked-bor_s716-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bor_s716-processed-gene-0.30&CDS=1-1896, augustus_masked-bor_s96-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-bor_s96-processed-gene-0.29&CDS=1-2106	YMR008C, YOL011W
OG0000074	augustus_masked-bor_s4-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s4-processed-gene-0.19&CDS=1-1953, augustus_masked-bor_s97-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.105&CDS=1-2142	YDR475C, YGR237C, YOR019W
OG0000075	augustus_masked-bor_s405-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s405-processed-gene-0.1&CDS=1-1632, augustus_masked-bor_s418-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-bor_s418-processed-gene-0.156&CDS=1-1155, augustus_masked-bor_s870-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-bor_s870-processed-gene-0.65&CDS=1-2496	YDR523C, YHR102W
OG0000076	augustus_masked-bor_s479-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s479-processed-gene-0.12&CDS=1-5673, augustus_masked-bor_s479-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bor_s479-processed-gene-0.28&CDS=1-5367, snap_masked-bor_s416-processed-gene-0.32-mRNA-1_1&gene=snap_masked-bor_s416-processed-gene-0.32&CDS=1-279	YGR184C, YLR024C
OG0000077	augustus_masked-bor_s44-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-bor_s44-processed-gene-0.58&CDS=1-2493, augustus_masked-bor_s93-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-bor_s93-processed-gene-0.71&CDS=1-2814	YCR037C, YJL198W, YNR013C
OG0000078	augustus_masked-bor_s451-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-0.44&CDS=1-2139, maker-bor_s720-augustus-gene-0.0-mRNA-1_1&gene=maker-bor_s720-augustus-gene-0.0&CDS=1-5274	YIL095W, YNL020C, YNL313C
OG0000079	augustus_masked-bor_s451-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-0.35&CDS=1-993, augustus_masked-bor_s451-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-1.138&CDS=1-1002, genemark-bor_s98-processed-gene-0.122-mRNA-1_1&gene=genemark-bor_s98-processed-gene-0.122&CDS=1-1026	YDL078C, YKL085W
OG0000080	augustus_masked-bor_s469-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s469-processed-gene-0.1&CDS=1-3591, genemark-bor_s538-processed-gene-0.21-mRNA-1_1&gene=genemark-bor_s538-processed-gene-0.21&CDS=1-3066	YIL002C, YNL106C, YOR109W
OG0000081	augustus_masked-bor_s563-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-bor_s563-processed-gene-1.31&CDS=1-2100, augustus_masked-bor_s777-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.103&CDS=1-2412, augustus_masked-bor_s97-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.113&CDS=1-1572	YGL257C, YNR059W
OG0000082	augustus_masked-bor_s597-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s597-processed-gene-0.18&CDS=1-2334, snap_masked-bor_s796-processed-gene-0.65-mRNA-1_1&gene=snap_masked-bor_s796-processed-gene-0.65&CDS=1-1509	YCR065W, YIL131C, YNL068C
OG0000083	augustus_masked-bor_s619-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s619-processed-gene-0.10&CDS=1-1716, augustus_masked-bor_s683-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s683-processed-gene-0.2&CDS=1-1653	YDR342C, YDR343C, YHR092C
OG0000084	augustus_masked-bor_s82-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-bor_s82-processed-gene-0.17&CDS=1-1539, augustus_masked-bor_s956-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-bor_s956-processed-gene-0.53&CDS=1-1527	YER056C, YER060W, YER060W-A
OG0000085		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000086	augustus_masked-bor_C53208-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_C53208-processed-gene-0.3&CDS=1-1296, augustus_masked-bor_s571-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.68&CDS=1-1929	YKL139W, YPR161C
OG0000087	augustus_masked-bor_s483-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-bor_s483-processed-gene-0.129&CDS=1-1095, maker-bor_s411-snap-gene-0.0-mRNA-1_1&gene=maker-bor_s411-snap-gene-0.0&CDS=1-528, snap_masked-bor_s106-processed-gene-0.44-mRNA-1_1&gene=snap_masked-bor_s106-processed-gene-0.44&CDS=1-456	YCR002C
OG0000088	augustus_masked-bor_s106-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bor_s106-processed-gene-0.37&CDS=1-4572, augustus_masked-bor_s563-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-bor_s563-processed-gene-1.24&CDS=1-4641, genemark-bor_s370-processed-gene-0.81-mRNA-1_1&gene=genemark-bor_s370-processed-gene-0.81&CDS=1-4767	YDR135C
OG0000089	augustus_masked-bor_s106-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s106-processed-gene-0.25&CDS=1-2337, augustus_masked-bor_s26-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-bor_s26-processed-gene-1.98&CDS=1-2403	YJL200C, YLR304C
OG0000090	augustus_masked-bor_s106-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bor_s106-processed-gene-0.35&CDS=1-2832, augustus_masked-bor_s97-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.109&CDS=1-2946	YGR240C, YMR205C
OG0000091	augustus_masked-bor_s501-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s501-processed-gene-0.4&CDS=1-699, maker-bor_s11-augustus-gene-0.0-mRNA-1_1&gene=maker-bor_s11-augustus-gene-0.0&CDS=1-669, snap_masked-bor_s372-processed-gene-0.9-mRNA-1_1&gene=snap_masked-bor_s372-processed-gene-0.9&CDS=1-384, snap_masked-bor_s721-processed-gene-0.15-mRNA-1_1&gene=snap_masked-bor_s721-processed-gene-0.15&CDS=1-243	
OG0000092	augustus_masked-bor_s11-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s11-processed-gene-0.8&CDS=1-1497, augustus_masked-bor_s148-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bor_s148-processed-gene-0.36&CDS=1-210, snap_masked-bor_s474-processed-gene-0.3-mRNA-1_1&gene=snap_masked-bor_s474-processed-gene-0.3&CDS=1-432	YGR229C
OG0000093	augustus_masked-bor_s114-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s114-processed-gene-0.11&CDS=1-1713	YOL055C, YPL258C, YPR121W
OG0000094	augustus_masked-bor_s126-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s126-processed-gene-0.12&CDS=1-1251, snap_masked-bor_s211-processed-gene-0.22-mRNA-1_1&gene=snap_masked-bor_s211-processed-gene-0.22&CDS=1-1515	YLR455W, YMR044W
OG0000095	augustus_masked-bor_s936-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s936-processed-gene-0.18&CDS=1-2085, genemark-bor_s129-processed-gene-0.21-mRNA-1_1&gene=genemark-bor_s129-processed-gene-0.21&CDS=1-3294	YHR031C, YML061C
OG0000096	augustus_masked-bor_s481-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s481-processed-gene-0.6&CDS=1-420, augustus_masked-bor_s910-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bor_s910-processed-gene-0.28&CDS=1-4377, snap_masked-bor_s13-processed-gene-0.58-mRNA-1_1&gene=snap_masked-bor_s13-processed-gene-0.58&CDS=1-195	YAL024C
OG0000097	augustus_masked-bor_s132-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s132-processed-gene-0.1&CDS=1-1938, augustus_masked-bor_s286-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s286-processed-gene-0.16&CDS=1-1305, augustus_masked-bor_s777-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.71&CDS=1-1521	YLR380W
OG0000098	augustus_masked-bor_s134-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s134-processed-gene-0.22&CDS=1-996, augustus_masked-bor_s4-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s4-processed-gene-0.8&CDS=1-1032	YDR541C, YOL151W
OG0000099	augustus_masked-bor_s14-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s14-processed-gene-0.22&CDS=1-1368, genemark-bor_s661-processed-gene-0.2-mRNA-1_1&gene=genemark-bor_s661-processed-gene-0.2&CDS=1-1374	YEL036C, YML115C
OG0000100	augustus_masked-bor_s154-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s154-processed-gene-0.3&CDS=1-450, snap_masked-bor_s755-processed-gene-0.8-mRNA-1_1&gene=snap_masked-bor_s755-processed-gene-0.8&CDS=1-1845	YHR146W, YNL173C
OG0000101	augustus_masked-bor_s16-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bor_s16-processed-gene-0.35&CDS=1-789, genemark-bor_s845-processed-gene-0.48-mRNA-1_1&gene=genemark-bor_s845-processed-gene-0.48&CDS=1-861	YIR013C, YLR013W
OG0000102	augustus_masked-bor_s49-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-bor_s49-processed-gene-0.144&CDS=1-4752, genemark-bor_s160-processed-gene-0.126-mRNA-1_1&gene=genemark-bor_s160-processed-gene-0.126&CDS=1-7398	YDR093W, YER166W
OG0000103	augustus_masked-bor_s168-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s168-processed-gene-0.20&CDS=1-1005, augustus_masked-bor_s197-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-bor_s197-processed-gene-1.144&CDS=1-1185	YNL283C, YOL105C
OG0000104	augustus_masked-bor_s178-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-bor_s178-processed-gene-0.81&CDS=1-939, augustus_masked-bor_s752-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s752-processed-gene-0.20&CDS=1-1347	YDL216C, YFR004W
OG0000105	augustus_masked-bor_s178-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-bor_s178-processed-gene-0.84&CDS=1-1824, augustus_masked-bor_s399-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bor_s399-processed-gene-0.39&CDS=1-1602, augustus_masked-bor_s84-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s84-processed-gene-0.7&CDS=1-369	YLR248W
OG0000106	augustus_masked-bor_s180-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s180-processed-gene-0.10&CDS=1-1083, snap_masked-bor_s556-processed-gene-0.7-mRNA-1_1&gene=snap_masked-bor_s556-processed-gene-0.7&CDS=1-765	YMR119W, YNL008C
OG0000107	augustus_masked-bor_s187-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bor_s187-processed-gene-0.23&CDS=1-1044, maker-bor_s963-augustus-gene-0.55-mRNA-1_1&gene=maker-bor_s963-augustus-gene-0.55&CDS=1-2649	YMR303C, YOL086C
OG0000108	augustus_masked-bor_s192-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bor_s192-processed-gene-0.33&CDS=1-471, augustus_masked-bor_s26-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-bor_s26-processed-gene-1.117&CDS=1-1044, augustus_masked-bor_s428-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s428-processed-gene-0.4&CDS=1-273	YML067C
OG0000109	augustus_masked-bor_s197-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s197-processed-gene-0.15&CDS=1-1530, augustus_masked-bor_s752-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s752-processed-gene-0.18&CDS=1-1266	YER028C, YGL209W
OG0000110	augustus_masked-bor_s197-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-bor_s197-processed-gene-1.181&CDS=1-2217, genemark-bor_s4-processed-gene-0.88-mRNA-1_1&gene=genemark-bor_s4-processed-gene-0.88&CDS=1-1581	YDL138W, YDL194W
OG0000111	augustus_masked-bor_s198-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s198-processed-gene-0.5&CDS=1-1953, augustus_masked-bor_s482-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-bor_s482-processed-gene-0.92&CDS=1-1707	YGL003C, YGL116W
OG0000112	augustus_masked-bor_s207-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s207-processed-gene-0.18&CDS=1-792, maker-bor_s26-snap-gene-1.154-mRNA-1_1&gene=maker-bor_s26-snap-gene-1.154&CDS=1-786	YHR203C, YJR145C
OG0000113	augustus_masked-bor_s212-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-bor_s212-processed-gene-0.74&CDS=1-4806, augustus_masked-bor_s687-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bor_s687-processed-gene-0.36&CDS=1-3792	YIL126W, YOR290C
OG0000114	augustus_masked-bor_s212-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-bor_s212-processed-gene-1.82&CDS=1-651, augustus_masked-bor_s322-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s322-processed-gene-0.16&CDS=1-639	YDR399W, YJR133W
OG0000115	augustus_masked-bor_s212-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-bor_s212-processed-gene-1.111&CDS=1-1194, augustus_masked-bor_s635-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-bor_s635-processed-gene-0.76&CDS=1-2088	YCL039W, YKL021C
OG0000116	augustus_masked-bor_s212-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-bor_s212-processed-gene-1.117&CDS=1-849, augustus_masked-bor_s777-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.74&CDS=1-921	YIL043C, YML125C
OG0000117	augustus_masked-bor_s212-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-bor_s212-processed-gene-1.124&CDS=1-2247, snap_masked-bor_s288-processed-gene-0.3-mRNA-1_1&gene=snap_masked-bor_s288-processed-gene-0.3&CDS=1-2469	YAR035W, YER024W
OG0000118	augustus_masked-bor_s22-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s22-processed-gene-0.18&CDS=1-978, augustus_masked-bor_s49-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-bor_s49-processed-gene-0.120&CDS=1-984	YIL035C, YOR061W
OG0000119	augustus_masked-bor_s237-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s237-processed-gene-0.0&CDS=1-1761, augustus_masked-bor_s864-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bor_s864-processed-gene-0.34&CDS=1-1770	YDR037W, YNL073W
OG0000120	augustus_masked-bor_s97-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.102&CDS=1-5010, genemark-bor_s251-processed-gene-0.34-mRNA-1_1&gene=genemark-bor_s251-processed-gene-0.34&CDS=1-570, snap_masked-bor_s352-processed-gene-0.34-mRNA-1_1&gene=snap_masked-bor_s352-processed-gene-0.34&CDS=1-615	YGR170W
OG0000121	augustus_masked-bor_s251-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s251-processed-gene-0.4&CDS=1-282, maker-bor_s93-augustus-gene-0.69-mRNA-1_1&gene=maker-bor_s93-augustus-gene-0.69&CDS=1-2781, snap_masked-bor_s407-processed-gene-0.12-mRNA-1_1&gene=snap_masked-bor_s407-processed-gene-0.12&CDS=1-303	YHR142W
OG0000122	augustus_masked-bor_s302-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-bor_s302-processed-gene-0.114&CDS=1-1176, genemark-bor_s253-processed-gene-0.19-mRNA-1_1&gene=genemark-bor_s253-processed-gene-0.19&CDS=1-498	YGR133W, YMR022W
OG0000123	augustus_masked-bor_s26-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-bor_s26-processed-gene-1.87&CDS=1-2091, augustus_masked-bor_s936-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s936-processed-gene-0.6&CDS=1-2430	YKL188C, YPL147W
OG0000124	augustus_masked-bor_s449-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s449-processed-gene-0.16&CDS=1-219, genemark-bor_s593-processed-gene-0.36-mRNA-1_1&gene=genemark-bor_s593-processed-gene-0.36&CDS=1-2856, snap_masked-bor_s262-processed-gene-0.14-mRNA-1_1&gene=snap_masked-bor_s262-processed-gene-0.14&CDS=1-198	YDL117W
