	Candida_albicans	Saccharomyces_cerevisiae
OG0002376	CR_07210W_A	YIL062C
OG0002377	C2_03880C_A	YFL017W-A
OG0002378	C7_03200C_A	YGR017W
OG0002379	C7_00930W_A	YPR160W
OG0002380	C3_03560W_A	YER078C
OG0002381	C3_01710C_B&Allele&of&C3_01710C_A	YGR123C
OG0002382	C2_04540C_A	YBR187W
OG0002383	C4_04900W_A	YGL030W
OG0002384	C7_01640W_A	YNL071W
OG0002385	C4_04830W_A	YMR239C
OG0002386	C4_03450C_A	YDL216C
OG0002387	C7_04330C_A	YJL004C
OG0002388	C7_00130W_A	YGL243W
OG0002389	C1_14240W_A	YFR037C
OG0002390	C3_06570C_A	YJR073C
OG0002391	C2_07600C_A	YHR039C
OG0002392	C4_06290W_A	YKR095W-A
OG0002393	C1_06470W_A	YJL189W
OG0002394	C1_12030W_A	YER081W
OG0002395	C7_02350C_B&Allele&of&C7_02350C_A	YLR114C
OG0002396	C4_04130W_A	YIL157C
OG0002397	C7_00070C_A	YOR123C
OG0002398	C5_02440C_A	YGR262C
OG0002399	C5_01970C_A	YAL041W
OG0002400	C7_01950W_A	YPL246C
OG0002401	C5_00830C_A	YAL042W
OG0002402	C1_08420W_A	YMR125W
OG0002403	CR_10390W_A	YDR472W
OG0002404	C3_05210C_A	YKR054C
OG0002405	C5_05190W_A	YHR071W
OG0002406	C2_00570W_A	YLR033W
OG0002407	C3_03520C_A	YGR135W
OG0002408	C4_07060W_A	YOR116C
OG0002409	CR_07770C_A	YCR079W
OG0002410	C1_10120C_A	YKR062W
OG0002411	C5_05300W_A	YBR256C
OG0002412	C4_02940W_A	YCR088W
OG0002413	CR_07470W_A	YPR017C
OG0002414	CR_06530W_A	YMR074C
OG0002415	C5_02030W_A	YOR261C
OG0002416	CR_00090C_A	YMR090W
OG0002417	CR_04170W_A	YNL061W
OG0002418	CR_05550C_A	YOR207C
OG0002419	CR_01760C_A	YLR060W
OG0002420	CR_10290C_A	YDR407C
OG0002421	C1_03070C_A	YML065W
OG0002422	CR_03990C_A	YOR260W
OG0002423	C4_03130W_A	YHR188C
OG0002424	C2_05860C_A	YIL101C
OG0002425	CR_00620C_A	YOL058W
OG0002426	C7_00470C_A	YCL004W
OG0002427	C4_03150W_A	YMR288W
OG0002428	C6_04360C_A	YER107C
OG0002429	C4_02750W_A	YJR055W
OG0002430	C2_06370C_A	YOR367W
OG0002431	C5_00560W_A	YDR092W
OG0002432	CR_01420W_A	YNL039W
OG0002433	C7_00320C_A	YGL167C
OG0002434	C1_01130W_A	YIL046W
OG0002435	C1_03040W_B&Allele&of&C1_03040W_A	YKL183W
OG0002436	C1_08090C_A	YAL035W
OG0002437	C4_04980W_A	YBR220C
OG0002438	C1_10080W_A	YDR482C
OG0002439	C2_04820W_A	YOR201C
OG0002440	C2_03830W_A	YLR143W
OG0002441	C6_00370C_A	YOR310C
OG0002442	CR_04560C_A	YKL113C
OG0002443	C7_04110W_A	YPL236C
OG0002444	C7_01440W_A	YAL046C
OG0002445	C2_10670W_A	YMR276W
OG0002446	C5_03370C_A	YPR188C
OG0002447	CR_02770C_A	YPR180W
OG0002448	C2_07560W_A	YDR334W
OG0002449	C6_02570C_A	YDR498C
OG0002450	C1_08010W_A	YPR183W
OG0002451	C7_00750W_A	YGR037C
OG0002452	C4_06410W_A	YDR416W
OG0002453	C1_12510W_A	YLR084C
OG0002454	C2_09350W_A	YPR140W
OG0002455	C7_03570W_A	YHR018C
OG0002456	CR_07960C_A	YKR050W
OG0002457	CR_08010W_A	YDR320C-A
OG0002458	C2_04690C_A	YKL174C
OG0002459	C2_09710C_A	YCL034W
OG0002460	CR_04100C_A	YMR121C
OG0002461	C1_13930W_A	YLR006C
OG0002462	C5_05490C_A	YPR033C
OG0002463	C4_03360C_A	YJL012C
OG0002464	CR_07750C_A	YNR038W
OG0002465	CR_10230W_A	YOR023C
OG0002466	C3_00460W_A	YDR298C
OG0002467	C7_01800C_A	YMR205C
OG0002468	C5_02220C_A	YOR163W
OG0002469	C2_03140C_A	YOR022C
OG0002470	C2_02210C_B&Allele&of&C2_02210C_A	YOL018C
OG0002471	C2_05740W_A	YAL009W
OG0002472	C6_00710W_A	YER140W
OG0002473	C1_13780W_A	YOR326W
OG0002474	C3_06100C_A	YOR204W
OG0002475	C2_02990C_A	YKL215C
OG0002476	CR_02330C_A	YCL055W
OG0002477	C2_03560C_A	YDR322W
OG0002478	C5_02830W_A	YKR035W-A
OG0002479	C3_03190C_A	YJR122W
OG0002480	C2_03060W_A	YDR394W
OG0002481	C2_07800W_A	YBR120C
OG0002482	C1_05120W_A	YJL059W
OG0002483	C6_02170C_A	YBR175W
OG0002484	C6_01040C_A	YKL078W
OG0002485	C5_03140C_A	YPL085W
OG0002486	C6_00120W_A	YNL211C
OG0002487	C1_02510W_A	YLR078C
OG0002488	C1_14230C_A	YIL026C
OG0002489	C5_00330C_A	YLR087C
OG0002490	C1_14170W_A	YKR017C
OG0002491	C1_07800W_A	YGL236C
OG0002492	C1_05620C_A	YKL178C
OG0002493	C5_01580C_A	YNL014W
OG0002494	C2_03420C_A	YOR035C
OG0002495	C6_03910C_A	YNL286W
OG0002496	C4_04210C_A	YGL127C
OG0002497	C1_10200C_A	YNR055C
OG0002498	C2_01110C_A	YIL033C
OG0002499	C5_02970W_A	YHR028C
OG0002500	C1_10650W_A	YBL019W
OG0002501	C4_07230C_A	YDR359C
OG0002502	CR_03170W_A	YLL018C
OG0002503	C1_04770C_A	YLR056W
OG0002504	C5_05020C_A	YOR085W
OG0002505	C1_12790C_A	YCR034W
OG0002506	C1_02450C_A	YLR074C
OG0002507	C1_12220W_A	YJL194W
OG0002508	C2_02780C_A	YMR055C
OG0002509	C2_04930C_A	YPR161C
OG0002510	CR_00820C_A	YCR059C
OG0002511	C2_05750W_A	YPL146C
OG0002512	C1_01480C_A	YGL123W
OG0002513	C2_09680W_A	YIL004C
OG0002514	C1_12340C_A	YBR146W
OG0002515	C1_03860C_A	YNL233W
OG0002516	C2_05270W_A	YBR017C
OG0002517	CR_08600C_A	YDL065C
OG0002518	C1_14030W_A	YJR008W
OG0002519	C1_03820W_A	YNL231C
OG0002520	C3_07080W_A	YIL153W
OG0002521	C4_02260C_A	YMR310C
OG0002522	C3_06900W_A	YPR067W
OG0002523	CR_10720W_A	YOL095C
OG0002524	C5_02210W_A	YOR164C
OG0002525	C1_10610W_A	YGL186C
OG0002526	C2_05320W_A	YDL017W
OG0002527	C1_13700W_A	YFL039C
OG0002528	C2_08140C_A	YOL084W
OG0002529	C6_04120C_A	YGL093W
OG0002530	C1_12440W_A	YOL080C
OG0002531	C6_02730W_A	YDR129C
OG0002532	CR_06050W_A	YBR160W
OG0002533	CR_10240W_A	YDR398W
OG0002534	C7_02170C_A	YDL115C
OG0002535	C2_04640C_A	YKL173W
OG0002536	C6_04560W_A	YPR004C
OG0002537	C3_02270W_A	YIL156W-B
OG0002538	C5_04510W_A	YPL110C
OG0002539	C1_02860C_A	YKL196C
OG0002540	C1_01520C_A	YHR008C
OG0002541	C7_01920W_A	YDR054C
OG0002542	C6_03920W_A	YGL115W
OG0002543	CR_06960W_A	YNL261W
OG0002544	C5_05290C_A	YPR166C
OG0002545	C1_07110W_B&Allele&of&C1_07110W_A	YGR274C
OG0002546	C2_08970C_A	YIL049W
OG0002547	C7_00240W_A	YKL070W
OG0002548	C4_01100C_A	YBR132C
OG0002549	C2_07200W_A	YGL070C
OG0002550	C1_07540C_B&Allele&of&C1_07540C_A	YJL020C
OG0002551	CR_02870W_A	YPR029C
OG0002552	C1_12570C_A	YPL101W
OG0002553	C5_02740W_A	YOR037W
OG0002554	C7_03280C_A	YLR149C
OG0002555	C3_04060C_A	YDR044W
OG0002556	C1_04200C_A	YLL023C
OG0002557	C4_06860C_A	YLR245C
OG0002558	C2_01160W_A	YPR118W
OG0002559	C1_02880C_A	YKL195W
OG0002560	C5_00220W_A	YBR229C
OG0002561	CR_03380W_A	YMR097C
OG0002562	C2_07010W_A	YNR021W
OG0002563	C5_01590W_A	YPL003W
OG0002564	CR_05480W_A	YPL134C
OG0002565	C2_08480W_A	YDR083W
OG0002566	C6_04550C_A	YPR003C
OG0002567	C3_04430W_A	YEL024W
OG0002568	CR_02150W_A	YLR188W
OG0002569	C7_03080W_A	YLL007C
OG0002570	C1_02220C_A	YNL200C
OG0002571	C1_01160C_A	YOL142W
OG0002572	C6_02050W_A	YKL149C
OG0002573	C2_10210C_B&Allele&of&C2_10210C_A	YOR101W
OG0002574	C5_04000W_A	YNL290W
OG0002575	C1_12650C_A	YGL087C
OG0002576	C4_05040W_A	YNR032C-A
OG0002577	C2_01600C_A	YGL190C
OG0002578	CR_07650W_A	YER133W
OG0002579	C1_08120W_A	YLR319C
OG0002580	C3_01350C_A	YEL021W
OG0002581	CR_02550C_A	YGR158C
OG0002582	C2_01530C_A	YHR074W
OG0002583	C5_00290W_A	YLR405W
OG0002584	C6_04290W_B&Allele&of&C6_04290W_A	YNR051C
OG0002585	CR_10600C_A	YNR041C
OG0002586	CR_06640C_A	YIL090W
OG0002587	C5_02890W_A	YKL067W
OG0002588	C4_06250C_A	YER008C
OG0002589	C7_01880C_A	YIL134W
OG0002590	C5_02150C_A	YPR162C
OG0002591	C4_00560C_A	YLL006W
OG0002592	C5_01180W_A	YNL292W
OG0002593	C4_05300W_A	YGR194C
OG0002594	C1_06740C_A	YDL213C
OG0002595	C4_06690C_A	YBR173C
OG0002596	C3_01990W_A	YMR235C
OG0002597	C2_02160W_A	YMR060C
OG0002598	C1_08340C_A	YOR357C
OG0002599	C5_00420C_A	YKL003C
OG0002600	C4_01940W_A	YBR296C
OG0002601	C2_07040W_A	YHR040W
OG0002602	C3_05350C_A	YGR229C
OG0002603	C3_05010C_A	YJL092W
OG0002604	CR_03120W_A	YJL066C
OG0002605	C2_04270W_A	YFL029C
OG0002606	CR_04090C_A	YMR120C
OG0002607	C5_04630W_A	YGR063C
OG0002608	C1_02290C_A	YJL180C
OG0002609	C6_01740C_A	YCR068W
OG0002610	C1_03520W_A	YER021W
OG0002611	C4_05240C_A	YOR270C
OG0002612	C3_01560W_A	YGL120C
OG0002613	C2_08810C_A	YBR011C
OG0002614	C1_13310W_A	YJL201W
OG0002615	C2_02430W_A	YLR409C
OG0002616	C6_01850W_A	YDR485C
OG0002617	C2_00550W_A	YGL077C
OG0002618	C7_00700W_A	YNL111C
OG0002619	CR_03370C_A	YKL110C
OG0002620	C1_08980C_A	YNL241C
OG0002621	C1_03100W_A	YML072C
OG0002622	C1_14390W_A	YHR143W-A
OG0002623	C4_05690W_A	YPR181C
OG0002624	CR_06820W_A	YIL087C
OG0002625	C2_06790W_A	YPR094W
OG0002626	CR_07600W_A	YAL019W
OG0002627	C1_12360C_A	YDR487C
OG0002628	C5_05040W_A	YGL142C
OG0002629	C2_05020W_A	YDR512C
OG0002630	C2_09010W_A	YDR169C
OG0002631	C1_04760C_A	YIL047C
OG0002632	C2_06000W_A	YKR063C
OG0002633	C1_14270W_A	YDR428C
OG0002634	C5_03400C_A	YNL147W
OG0002635	CR_03290C_A	YJL106W
OG0002636	C1_13380W_A	YGL174W
OG0002637	C2_01480W_A	YML010W
OG0002638	C2_00230W_A	YGL017W
OG0002639	C4_02780W_A	YDL143W
OG0002640	C2_05080C_A	YBR141C
OG0002641	C6_02120W_A	YGL206C
OG0002642	C1_01380C_A	YKR056W
OG0002643	C1_13420C_A	YGL173C
OG0002644	C1_04210C_A	YLR314C
OG0002645	C1_10860C_A	YDR448W
OG0002646	C2_10080W_A	YNL216W
OG0002647	C2_04330C_A	YOR246C
OG0002648	C2_04950C_A	YOR065W
OG0002649	C1_08190C_A	YMR280C
OG0002650	CR_02950C_A	YBL090W
OG0002651	C6_02610C_A	YDR168W
OG0002652	C2_10100W_A	YGR278W
OG0002653	C1_02790W_A	YMR146C
OG0002654	C5_04420W_A	YJR100C
OG0002655	CR_00430C_A	YGL220W
OG0002656	C3_01160W_A	YDR208W
OG0002657	C1_14410W_A	YER146W
OG0002658	CR_09620C_A	YLR193C
OG0002659	C2_01030W_A	YBL038W
OG0002660	C4_00390W_A	YMR039C
OG0002661	C2_10550C_A	YGL195W
OG0002662	C7_00680W_A	YOR111W
OG0002663	C1_03090W_A	YLR441C
OG0002664	CR_04620C_A	YBR180W
OG0002665	C4_05810W_A	YER048C
OG0002666	C1_08450C_A	YLR229C
OG0002667	C5_05170W_B&Allele&of&C5_05170W_A	YKL025C
OG0002668	C7_03800W_A	YCL001W
OG0002669	CR_02860W_A	YPR165W
OG0002670	CR_10280W_A	YMR244C-A
OG0002671	C4_02870C_A	YGR285C
OG0002672	C1_01670C_A	YGR098C
OG0002673	CR_01280C_A	YDL046W
OG0002674	C5_02780W_A	YMR179W
OG0002675	C1_09620C_A	YIL098C
OG0002676	C2_02240C_A	YDL013W
OG0002677	CR_10620C_A	YDL141W
OG0002678	C5_03010W_A	YOR308C
OG0002679	CR_02430C_A	YNL023C
OG0002680	C2_08800C_A	YBR286W
OG0002681	C7_02550C_A	YHR122W
OG0002682	C4_00770C_A	YJR014W
OG0002683	C4_06030W_A	YBR109C
OG0002684	C2_04160W_A	YGR021W
OG0002685	C1_13170C_A	YDR097C
OG0002686	C2_02620W_A	YBR269C
OG0002687	C3_03530W_A	YPR153W
OG0002688	C5_02930C_A	YHR104W
OG0002689	C1_10270C_A	YJL145W
OG0002690	C1_12210W_A	YKL211C
OG0002691	C1_03280W_A	YDR175C
OG0002692	C7_02890C_A	YDL095W
OG0002693	CR_05670C_A	YDR174W
OG0002694	C3_03040W_A	YDL178W
OG0002695	C6_00660C_A	YDR063W
OG0002696	CR_08640C_A	YMR296C
OG0002697	CR_05520W_A	YOR206W
OG0002698	C2_05800C_A	YOR216C
OG0002699	C2_08560W_A	YFR031C
OG0002700	C2_05460W_A	YAL038W
OG0002701	C2_01430W_A	YML022W
OG0002702	C7_00050C_A	YER171W
OG0002703	C2_07000W_A	YCR051W
OG0002704	C2_05690C_A	YPR107C
OG0002705	C4_07030W_A	YPR167C
OG0002706	CR_10590W_A	YDR495C
OG0002707	CR_10690W_A	YNL282W
OG0002708	C2_10630W_A	YHR202W
OG0002709	C1_04370C_A	YER050C
OG0002710	C2_06100W_A	YJR143C
OG0002711	C3_06430W_A	YKL114C
OG0002712	CR_05560W_A	YPL122C
OG0002713	C1_11080W_A	YOL136C
OG0002714	CR_00890C_A	YLR099W-A
OG0002715	CR_01190C_A	YKL006C-A
OG0002716	CR_02110W_A	YGL201C
OG0002717	CR_00240W_A	YDR378C
OG0002718	C1_14440C_A	YER136W
OG0002719	CR_04300W_A	YBL024W
OG0002720	C6_04500C_A	YCR042C
OG0002721	C6_01190C_A	YBR097W
OG0002722	C7_03930C_A	YIL070C
OG0002723	CR_04150W_A	YNL063W
OG0002724	C1_14260C_A	YDR429C
OG0002725	C5_01940W_A	YOL066C
OG0002726	C3_03830W_A	YPL152W
OG0002727	C2_10640C_A	YKL186C
OG0002728	C6_03960W_A	YOL057W
OG0002729	C6_00560W_A	YML031W
OG0002730	C2_00350W_A	YLR032W
OG0002731	C4_01780C_A	YBR095C
OG0002732	C6_00090W_A	YDR511W
OG0002733	C1_03160C_A	YDR204W
OG0002734	C1_02850W_A	YOR359W
OG0002735	C3_04360W_A	YJR040W
OG0002736	C1_10730W_A	YPL222W
OG0002737	C2_05810W_A	YNL042W
OG0002738	C1_04830W_A	YNL287W
OG0002739	C2_03050W_A	YDR393W
OG0002740	C1_07880C_A	YJL101C
OG0002741	C6_00320C_A	YHR164C
OG0002742	C7_04260W_A	YKR084C
OG0002743	C5_04990W_A	YJL011C
OG0002744	C2_01170C_A	YDR027C
OG0002745	C4_01990W_A	YDR379C-A
OG0002746	CR_08950W_A	YDL029W
OG0002747	C3_00880W_A	YIL125W
OG0002748	C7_00620W_A	YGL245W
OG0002749	C5_03250W_A	YDR257C
OG0002750	CR_05790C_A	YJL200C
OG0002751	C1_00440W_A	YFR010W
OG0002752	C4_00250W_A	YER023C-A
OG0002753	C6_00490W_A	YGR110W
OG0002754	C5_04300C_A	YFR044C
OG0002755	C3_06060W_A	YPL086C
OG0002756	C2_03770C_A	YLR362W
OG0002757	C3_07770C_A	YCL029C
OG0002758	C7_00020C_A	YCR009C
OG0002759	C5_03020W_A	YDR270W
OG0002760	CR_03830C_A	YBL023C
OG0002761	C5_04550W_A	YJR088C
OG0002762	C7_03530C_A	YJR050W
OG0002763	CR_10670W_A	YLR216C
OG0002764	C5_00900C_A	YLR420W
OG0002765	C6_00240C_A	YGL212W
OG0002766	C3_04650W_A	YDL237W
OG0002767	C3_07850W_A	YDL054C
OG0002768	C3_03260W_A	YLR115W
OG0002769	C5_04150C_A	YDR468C
OG0002770	C3_05850W_A	YIL097W
OG0002771	CR_08100C_A	YNL207W
OG0002772	C5_05160C_A	YKL190W
OG0002773	C3_02600C_A	YDL052C
OG0002774	C1_06930W_A	YDL195W
OG0002775	CR_04140W_A	YNL137C
OG0002776	C3_07600W_A	YCR016W
OG0002777	C1_12670C_B&Allele&of&C1_12670C_A	YBR055C
OG0002778	CR_02630C_A	YGR120C
OG0002779	C1_11170W_A	YEL002C
OG0002780	C2_10740C_A	YNL313C
OG0002781	CR_03070W_A	YNL001W
OG0002782	C5_02020C_A	YOR262W
OG0002783	C1_00860W_A	YNR007C
OG0002784	C3_07100C_A	YBR212W
OG0002785	C2_01220W_A	YFR002W
OG0002786	C4_02310W_A	YPL115C
OG0002787	C1_08100W_A	YAL036C
OG0002788	C2_07130C_A	YLR248W
OG0002789	C1_03470C_A	YDR523C
OG0002790	C1_13550C_A	YGL172W
OG0002791	C4_00270W_A	YJR121W
OG0002792	CR_00440C_A	YDL240W
OG0002793	C2_07530C_A	YOR351C
OG0002794	C2_02830C_A	YOR007C
OG0002795	C1_08650C_A	YDL045C
OG0002796	CR_06080W_A	YNL007C
OG0002797	C2_08280W_A	YPR023C
OG0002798	C2_07460W_A	YMR005W
OG0002799	C5_02270W_A	YCR053W
OG0002800	C7_03350C_A	YDL124W
OG0002801	C3_01690W_A	YDL133W
OG0002802	C1_05820C_A	YML095C
OG0002803	CR_01660C_A	YML105C
OG0002804	CR_02740W_A	YNL152W
OG0002805	C6_02640C_A	YKR088C
OG0002806	C3_03810W_A	YPL153C
OG0002807	C1_09980C_A	YKL094W
OG0002808	CR_03340C_A	YKL108W
OG0002809	C2_00470W_A	YMR129W
OG0002810	CR_02590C_A	YKR086W
OG0002811	CR_00870C_A	YDR126W
OG0002812	C3_02700W_A	YJL074C
OG0002813	C4_04250W_A	YMR155W
OG0002814	C1_03200C_A	YDR421W
OG0002815	C3_03670W_A	YDR295C
OG0002816	C5_04570C_A	YBL039C
OG0002817	C2_02690W_A	YGR208W
OG0002818	C1_07330W_A	YGR044C
OG0002819	C2_06590C_A	YCR098C
OG0002820	CR_03330W_A	YKR023W
OG0002821	C2_04660C_A	YJL141C
OG0002822	C5_00860W_A	YMR035W
OG0002823	C1_03380W_A	YDR074W
OG0002824	C4_00500W_A	YGL141W
OG0002825	C1_09430W_A	YMR266W
OG0002826	C3_07550C_A	YOR205C
OG0002827	C4_01730C_A	YBR094W
OG0002828	C1_07050C_A	YKL017C
OG0002829	C1_06360W_A	YBR028C
OG0002830	C1_07260C_A	YIL150C
OG0002831	C4_00540C_A	YJR132W
OG0002832	C1_04310C_A	YPL067C
OG0002833	C1_00320W_A	YHR012W
OG0002834	C3_04100W_B&Allele&of&C3_04100W_A	YKR104W
OG0002835	C1_05530C_A	YBR283C
OG0002836	C2_06650C_B&Allele&of&C2_06650C_A	YGR091W
OG0002837	C3_03200C_A	YDR286C
OG0002838	C4_04750W_A	YMR135C
OG0002839	C4_02620C_A	YDR109C
OG0002840	C1_02460W_A	YLR075W
OG0002841	C3_07230W_A	YAL026C
OG0002842	C1_09170W_B&Allele&of&C1_09170W_A	YGL073W
OG0002843	C1_01570C_A	YDR404C
OG0002844	C2_01650W_A	YGL192W
OG0002845	C1_08220W_A	YAL021C
OG0002846	C1_10990C_A	YBL103C
OG0002847	C1_04650W_A	YHL016C
OG0002848	C1_02260C_A	YDL226C
OG0002849	C3_02610C_A	YDR533C
OG0002850	C3_06980W_A	YPL244C
OG0002851	C7_03870W_A	YGL058W
OG0002852	C5_03930C_A	YOR137C
OG0002853	C3_03320W_A	YDR139C
OG0002854	C1_02390W_A	YMR137C
OG0002855	C7_00890C_A	YMR042W
OG0002856	C4_01690C_A	YMR027W
OG0002857	C2_07690W_A	YGR042W
OG0002858	C4_05350W_A	YGR223C
OG0002859	C2_06970W_A	YNL141W
OG0002860	CR_03720W_A	YLR354C
OG0002861	C1_01050C_A	YDL015C
OG0002862	C1_00810W_A	YGL047W
OG0002863	C2_05670C_A	YAR008W
OG0002864	C2_04500W_A	YPL082C
OG0002865	C2_09700W_A	YEL004W
OG0002866	C3_00570C_A	YLR019W
OG0002867	C5_00800C_A	YJR078W
OG0002868	C1_00130C_A	YJL029C
OG0002869	CR_00600C_A	YDL146W
OG0002870	C1_01580W_A	YOR150W
OG0002871	C1_03230C_A	YDR101C
OG0002872	C3_05800W_A	YPL083C
OG0002873	C3_02590W_A	YPL195W
OG0002874	CR_01480W_A	YER087W
OG0002875	C1_01110C_A	YGR211W
OG0002876	C2_07860W_A	YGL110C
OG0002877	C1_03550C_A	YGR255C
OG0002878	C2_08840W_A	YNR046W
OG0002879	C7_03830C_A	YBR137W
OG0002880	C2_10820C_A	YMR259C
OG0002881	C2_04250W_A	YLR417W
OG0002882	CR_03090C_A	YGL106W
OG0002883	CR_04030W_A	YPL174C
OG0002884	C2_06200C_A	YLR289W
OG0002885	C5_01520C_A	YPL091W
OG0002886	C4_05460C_A	YER049W
OG0002887	C4_02950C_A	YLL014W
OG0002888	C5_00770C_A	YNL256W
OG0002889	CR_08930C_A	YJL124C
OG0002890	C1_05650W_A	YDR020C
OG0002891	C3_04260W_A	YBR290W
OG0002892	CR_05740C_A	YBR125C
OG0002893	C1_07090C_A	YGR276C
OG0002894	C1_10970W_A	YDR365C
OG0002895	C1_09260C_A	YDL006W
OG0002896	C3_02350W_A	YNL308C
OG0002897	C2_05530C_A	YIL063C
OG0002898	C5_01200W_A	YBR022W
OG0002899	CR_10510W_A	YOL138C
OG0002900	CR_03460W_A	YPL011C
OG0002901	C1_13770C_A	YGL085W
OG0002902	C3_06030W_A	YPL093W
OG0002903	C1_08680C_A	YDR373W
OG0002904	CR_02530W_A	YNL112W
OG0002905	C4_06170C_A	YER007C-A
OG0002906	C1_06840C_A	YER058W
OG0002907	CR_08300C_A	YML059C
OG0002908	C1_14060W_A	YBR056W
OG0002909	CR_08940W_A	YJL125C
OG0002910	C1_05750C_A	YMR176W
OG0002911	CR_01570W_A	YBL057C
OG0002912	C2_05370C_B&Allele&of&C2_05370C_A	YDL076C
OG0002913	CR_07020W_A	YOR286W
OG0002914	CR_00710C_A	YKL055C
OG0002915	C3_06810W_A	YLR127C
OG0002916	C1_01060W_A	YOR298C-A
OG0002917	C1_10620W_A	YLR175W
OG0002918	C2_06420C_A	YOR014W
OG0002919	C1_02530C_A	YPL265W
OG0002920	C7_01600W_A	YER154W
OG0002921	CR_02510W_A	YOR113W
OG0002922	C1_13470W_A	YLL019C
OG0002923	C3_00950C_A	YJR032W
OG0002924	C1_04130W_A	YMR049C
OG0002925	C1_06020W_A	YBR260C
OG0002926	C7_04150W_A	YMR185W
OG0002927	C1_00450C_A	YFR011C
OG0002928	C7_04300W_A	YGR116W
OG0002929	C7_01020C_A	YPL013C
OG0002930	C6_03620C_A	YDR539W
OG0002931	C3_03860W_A	YER134C
OG0002932	C3_02400C_A	YMR256C
OG0002933	C2_04700C_A	YKR060W
OG0002934	C1_05810W_A	YML094W
OG0002935	C3_05030W_A	YGR231C
OG0002936	C2_08110W_A	YDR004W
OG0002937	C5_04880C_A	YHR037W
OG0002938	CR_07240C_A	YGL215W
OG0002939	C1_09000W_A	YNL237W
OG0002940	C5_04110W_A	YGL028C
OG0002941	C1_09070W_A	YGL094C
OG0002942	C2_10470C_A	YJL178C
OG0002943	C3_05000W_A	YDL135C
OG0002944	C2_04150C_A	YGR020C
OG0002945	C7_02990W_B&Allele&of&C7_02990W_A	YJL095W
OG0002946	C2_02870W_A	YKR068C
OG0002947	C1_03990W_A	YNL155W
OG0002948	C2_01590W_A	YGL191W
OG0002949	CR_07350W_A	YLR440C
OG0002950	C4_05600W_A	YGR100W
OG0002951	C2_00160C_A	YGR147C
OG0002952	CR_09710W_A	YLR151C
OG0002953	C2_02730W_A	YGR048W
OG0002954	C4_03330W_A	YDR315C
OG0002955	CR_07000C_A	YNL262W
OG0002956	C3_00250C_A	YIL022W
OG0002957	CR_01290C_A	YCR017C
OG0002958	CR_00490W_A	YGR220C
OG0002959	CR_10730C_A	YDR289C
OG0002960	C3_03230C_A	YHL036W
OG0002961	C1_02000W_B&Allele&of&C1_02000W_A	YLR064W
OG0002962	C6_04080W_B&Allele&of&C6_04080W_A	YBL091C
OG0002963	CM_00160C	Q0085
OG0002964	C2_02250C_B&Allele&of&C2_02250C_A	YHL020C
OG0002965	C1_07790C_A	YLR003C
OG0002966	CR_08020C_A	YHR072W-A
OG0002967	C3_01780C_A	YLR218C
OG0002968	C1_08270C_B&Allele&of&C1_08270C_A	YOL051W
OG0002969	C3_04970C_A	YDL190C
OG0002970	C2_03090C_A	YDR408C
OG0002971	C1_06680W_A	YLR240W
OG0002972	C1_04330W_A	YDL020C
OG0002973	C2_10090C_A	YER077C
OG0002974	C4_04800W_A	YDR233C
OG0002975	C1_02760W_A	YDL100C
OG0002976	C1_02810W_A	YBR114W
OG0002977	C5_02720W_A	YOR036W
OG0002978	CR_10490W_A	YOL139C
OG0002979	C2_01180W_A	YLL009C
OG0002980	C6_03390W_A	YLR348C
OG0002981	CR_00100C_A	YFL024C
OG0002982	CR_01110W_A	YPR088C
OG0002983	C1_01200W_A	YHR178W
OG0002984	C3_00480C_A	YIL010W
OG0002985	C3_02580C_A	YGL079W
OG0002986	CR_01360W_A	YJR112W
OG0002987	C2_05340C_A	YPR110C
OG0002988	C2_01320W_A	YDR427W
OG0002989	C4_02040W_A	YMR020W
OG0002990	C1_03300C_A	YLR163C
OG0002991	C1_06640C_A	YPR133W-A
OG0002992	C2_01850W_B&Allele&of&C2_01850W_A	YEL037C
OG0002993	C2_00410C_A	YMR128W
OG0002994	C6_02960W_A	YGR012W
OG0002995	C4_03830W_A	YDL112W
OG0002996	C2_05620W_A	YBL071W-A
OG0002997	CR_03240C_A	YNL227C
OG0002998	C2_09020W_A	YBR202W
OG0002999	C1_07500C_A	YDL051W
OG0003000	CR_06940W_A	YNL258C
OG0003001	C5_04090C_A	YNL244C
OG0003002	CR_05510W_A	YOR219C
OG0003003	CR_03800C_A	YDR075W
OG0003004	C4_01670C_A	YMR028W
OG0003005	C6_03120W_A	YEL055C
OG0003006	C1_14040W_A	YJR005W
OG0003007	C3_06240C_A	YML009C
OG0003008	C2_01550W_A	YMR165C
OG0003009	C5_04680W_A	YGR170W
OG0003010	C2_06860W_A	YAL024C
OG0003011	C2_05290C_A	YDL018C
OG0003012	CR_01330W_A	YJR109C
OG0003013	C1_07690C_A	YGL238W
OG0003014	C5_00130C_A	YKL170W
OG0003015	C6_03010W_A	YBL088C
OG0003016	C1_05990C_A	YDL144C
OG0003017	C3_04290C_A	YBR289W
OG0003018	CR_04590C_A	YBR035C
OG0003019	C6_00640C_A	YPR056W
OG0003020	C1_01330C_A	YBR252W
OG0003021	C3_04920C_A	YGR232W
OG0003022	C7_00840C_A	YBR276C
OG0003023	C1_13710C_A	YDR016C
OG0003024	CR_09500C_A	YGR205W
OG0003025	C2_03700W_A	YJR062C
OG0003026	C3_00700W_A	YAL002W
