	Lachancea_waltii	Saccharomyces_cerevisiae
OG0000058	snap_masked-AADM01000093.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.18&CDS=1-2442, snap_masked-AADM01000248.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000248.1-processed-gene-0.4&CDS=1-1074	YER017C, YMR089C
OG0000059	genemark-AADM01000588.1-processed-gene-0.0-mRNA-1_1&gene=genemark-AADM01000588.1-processed-gene-0.0&CDS=1-969, snap_masked-AADM01000093.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.41&CDS=1-2103	YKL104C, YMR084W
OG0000060	maker-AADM01000098.1-augustus-gene-0.13-mRNA-1_1&gene=maker-AADM01000098.1-augustus-gene-0.13&CDS=1-1836, maker-AADM01000226.1-augustus-gene-0.43-mRNA-1_1&gene=maker-AADM01000226.1-augustus-gene-0.43&CDS=1-3960	YKL046C, YMR238W
OG0000061	augustus_masked-AADM01000204.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-AADM01000204.1-processed-gene-0.28&CDS=1-2577, snap_masked-AADM01000109.1-processed-gene-0.122-mRNA-1_1&gene=snap_masked-AADM01000109.1-processed-gene-0.122&CDS=1-2451	YMR054W, YOR270C
OG0000062	snap_masked-AADM01000113.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-AADM01000113.1-processed-gene-0.37&CDS=1-738, snap_masked-AADM01000184.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000184.1-processed-gene-0.1&CDS=1-876	YDL049C, YJL174W
OG0000063	genemark-AADM01000278.1-processed-gene-0.44-mRNA-1_1&gene=genemark-AADM01000278.1-processed-gene-0.44&CDS=1-6444, snap_masked-AADM01000114.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-AADM01000114.1-processed-gene-0.52&CDS=1-5868	YER172C, YGR271W
OG0000064	snap_masked-AADM01000114.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-AADM01000114.1-processed-gene-0.54&CDS=1-1575, snap_masked-AADM01000271.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000271.1-processed-gene-0.5&CDS=1-1488	YBR139W, YMR297W
OG0000065	snap_masked-AADM01000138.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AADM01000138.1-processed-gene-0.14&CDS=1-4704, snap_masked-AADM01000161.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AADM01000161.1-processed-gene-0.34&CDS=1-6477	YDR420W, YGR014W
OG0000066	snap_masked-AADM01000140.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-AADM01000140.1-processed-gene-0.44&CDS=1-1830, snap_masked-AADM01000212.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000212.1-processed-gene-0.27&CDS=1-1692	YDL080C, YLR044C
OG0000067	augustus_masked-AADM01000164.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-AADM01000164.1-processed-gene-0.104&CDS=1-798, augustus_masked-AADM01000322.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-AADM01000322.1-processed-gene-0.22&CDS=1-1389	YGL035C, YGL209W
OG0000068	snap_masked-AADM01000174.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000174.1-processed-gene-0.23&CDS=1-2118, snap_masked-AADM01000266.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000266.1-processed-gene-0.10&CDS=1-2328	YLR188W, YPL270W
OG0000069	maker-AADM01000174.1-snap-gene-0.5-mRNA-1_1&gene=maker-AADM01000174.1-snap-gene-0.5&CDS=1-5646, snap_masked-AADM01000214.1-processed-gene-0.184-mRNA-1_1&gene=snap_masked-AADM01000214.1-processed-gene-0.184&CDS=1-4167	YIL159W, YNL271C
OG0000070	snap_masked-AADM01000174.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-AADM01000174.1-processed-gene-0.39&CDS=1-1677, snap_masked-AADM01000175.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AADM01000175.1-processed-gene-0.13&CDS=1-1680	YEL063C, YNL268W
OG0000071	maker-AADM01000181.1-snap-gene-0.0-mRNA-1_1&gene=maker-AADM01000181.1-snap-gene-0.0&CDS=1-4125, snap_masked-AADM01000271.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AADM01000271.1-processed-gene-0.29&CDS=1-1821	YBR015C, YCR030C
OG0000072	augustus_masked-AADM01000279.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-AADM01000279.1-processed-gene-0.11&CDS=1-1485, snap_masked-AADM01000190.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000190.1-processed-gene-0.10&CDS=1-1776	YDR131C, YJL149W
OG0000073	snap_masked-AADM01000193.1-processed-gene-0.126-mRNA-1_1&gene=snap_masked-AADM01000193.1-processed-gene-0.126&CDS=1-1698	YOL055C, YPL258C, YPR121W
OG0000074	augustus_masked-AADM01000204.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-AADM01000204.1-processed-gene-0.26&CDS=1-2895, snap_masked-AADM01000299.1-processed-gene-0.190-mRNA-1_1&gene=snap_masked-AADM01000299.1-processed-gene-0.190&CDS=1-1848	YFL041W, YMR058W
OG0000075	genemark-AADM01000674.1-processed-gene-0.0-mRNA-1_1&gene=genemark-AADM01000674.1-processed-gene-0.0&CDS=1-231, snap_masked-AADM01000212.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-AADM01000212.1-processed-gene-0.68&CDS=1-309	YGR209C, YLR043C
OG0000076	augustus_masked-AADM01000258.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-AADM01000258.1-processed-gene-0.97&CDS=1-3243, snap_masked-AADM01000247.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-AADM01000247.1-processed-gene-0.45&CDS=1-3315	YER013W, YKR086W
OG0000077	genemark-AADM01000493.1-processed-gene-0.0-mRNA-1_1&gene=genemark-AADM01000493.1-processed-gene-0.0&CDS=1-807, snap_masked-AADM01000261.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.55&CDS=1-2367	YFL050C, YOL130W
OG0000078	augustus_masked-AADM01000270.1-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-AADM01000270.1-processed-gene-0.116&CDS=1-4614, snap_masked-AADM01000283.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AADM01000283.1-processed-gene-0.13&CDS=1-4482	YDR135C, YLL015W
OG0000079	snap_masked-AADM01000299.1-processed-gene-0.201-mRNA-1_1&gene=snap_masked-AADM01000299.1-processed-gene-0.201&CDS=1-1407, snap_masked-AADM01000325.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-AADM01000325.1-processed-gene-0.87&CDS=1-1479	YBR263W, YLR058C
OG0000080	snap_masked-AADM01000306.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000306.1-processed-gene-0.0&CDS=1-3306, snap_masked-AADM01000335.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AADM01000335.1-processed-gene-0.33&CDS=1-7158	YBR245C, YOR304W
OG0000081	genemark-AADM01000541.1-processed-gene-0.0-mRNA-1_1&gene=genemark-AADM01000541.1-processed-gene-0.0&CDS=1-336, snap_masked-AADM01000487.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000487.1-processed-gene-0.1&CDS=1-453	YGL259W, YIR039C
OG0000082	snap_masked-AADM01000591.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000591.1-processed-gene-0.1&CDS=1-711	YMR322C, YOR391C, YPL280W
OG0000083		YBR068C, YCL025C, YDR046C, YDR508C
OG0000084	maker-AADM01000001.1-snap-gene-0.61-mRNA-1_1&gene=maker-AADM01000001.1-snap-gene-0.61&CDS=1-594	YFL061W, YNL335W
OG0000085	augustus_masked-AADM01000254.1-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-AADM01000254.1-processed-gene-0.137&CDS=1-798, snap_masked-AADM01000001.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-AADM01000001.1-processed-gene-0.67&CDS=1-387	YGR133W
OG0000086	genemark-AADM01000002.1-processed-gene-0.43-mRNA-1_1&gene=genemark-AADM01000002.1-processed-gene-0.43&CDS=1-672	YNL096C, YOR096W
OG0000087	snap_masked-AADM01000003.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.23&CDS=1-1293	YIL135C, YNL074C
OG0000088	snap_masked-AADM01000003.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.13&CDS=1-609, snap_masked-AADM01000119.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000119.1-processed-gene-0.5&CDS=1-1245	YGL196W
OG0000089	augustus_masked-AADM01000007.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-AADM01000007.1-processed-gene-0.73&CDS=1-501	YDR178W, YLR164W
OG0000090	snap_masked-AADM01000007.1-processed-gene-0.115-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.115&CDS=1-1506	YMR169C, YMR170C
OG0000091	snap_masked-AADM01000009.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.12&CDS=1-522	YGR085C, YPR102C
OG0000092	snap_masked-AADM01000010.1-processed-gene-0.173-mRNA-1_1&gene=snap_masked-AADM01000010.1-processed-gene-0.173&CDS=1-1377	YBR118W, YPR080W
OG0000093	augustus_masked-AADM01000010.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-AADM01000010.1-processed-gene-0.112&CDS=1-4548	YGR092W, YPR111W
OG0000094	snap_masked-AADM01000010.1-processed-gene-0.156-mRNA-1_1&gene=snap_masked-AADM01000010.1-processed-gene-0.156&CDS=1-585	YCL026C-A, YCL026C-B
OG0000095	maker-AADM01000012.1-snap-gene-0.5-mRNA-1_1&gene=maker-AADM01000012.1-snap-gene-0.5&CDS=1-342	YDL075W, YLR406C
OG0000096	snap_masked-AADM01000014.1-processed-gene-0.161-mRNA-1_1&gene=snap_masked-AADM01000014.1-processed-gene-0.161&CDS=1-1311	YGR254W, YHR174W
OG0000097	snap_masked-AADM01000017.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AADM01000017.1-processed-gene-0.26&CDS=1-1839	YDL229W, YNL209W
OG0000098	augustus_masked-AADM01000018.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-AADM01000018.1-processed-gene-0.33&CDS=1-3435	YDL222C, YNL194C
OG0000099	augustus_masked-AADM01000018.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-AADM01000018.1-processed-gene-0.38&CDS=1-645	YIL133C, YNL069C
OG0000100	augustus_masked-AADM01000018.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-AADM01000018.1-processed-gene-0.17&CDS=1-573	YGL147C, YNL067W
OG0000101	snap_masked-AADM01000018.1-processed-gene-0.102-mRNA-1_1&gene=snap_masked-AADM01000018.1-processed-gene-0.102&CDS=1-1623, snap_masked-AADM01000214.1-processed-gene-0.220-mRNA-1_1&gene=snap_masked-AADM01000214.1-processed-gene-0.220&CDS=1-1599	YBR008C
OG0000102	snap_masked-AADM01000018.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-AADM01000018.1-processed-gene-0.74&CDS=1-1587	YIL120W, YIL121W
OG0000103	snap_masked-AADM01000018.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-AADM01000018.1-processed-gene-0.106&CDS=1-1809, snap_masked-AADM01000021.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000021.1-processed-gene-0.10&CDS=1-1773	YEL065W
OG0000104	snap_masked-AADM01000018.1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-AADM01000018.1-processed-gene-0.107&CDS=1-5160, snap_masked-AADM01000290.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-AADM01000290.1-processed-gene-0.99&CDS=1-5619	YPL231W
OG0000105	maker-AADM01000019.1-snap-gene-0.14-mRNA-1_1&gene=maker-AADM01000019.1-snap-gene-0.14&CDS=1-3534	YIL111W, YNL052W
OG0000106	snap_masked-AADM01000021.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000021.1-processed-gene-0.15&CDS=1-1431, snap_masked-AADM01000071.1-processed-gene-0.237-mRNA-1_1&gene=snap_masked-AADM01000071.1-processed-gene-0.237&CDS=1-1443	YOL119C
OG0000107	maker-AADM01000021.1-snap-gene-0.61-mRNA-1_1&gene=maker-AADM01000021.1-snap-gene-0.61&CDS=1-969	YNL301C, YOL120C
OG0000108	genemark-AADM01000021.1-processed-gene-0.164-mRNA-1_1&gene=genemark-AADM01000021.1-processed-gene-0.164&CDS=1-2460	YDL037C, YIR019C
OG0000109	snap_masked-AADM01000024.1-processed-gene-0.233-mRNA-1_1&gene=snap_masked-AADM01000024.1-processed-gene-0.233&CDS=1-285	YHR021C, YKL156W
OG0000110	snap_masked-AADM01000024.1-processed-gene-0.267-mRNA-1_1&gene=snap_masked-AADM01000024.1-processed-gene-0.267&CDS=1-1386	YER054C, YIL045W
OG0000111	maker-AADM01000024.1-snap-gene-0.286-mRNA-1_1&gene=maker-AADM01000024.1-snap-gene-0.286&CDS=1-375	YER056C-A, YIL052C
OG0000112	snap_masked-AADM01000024.1-processed-gene-0.272-mRNA-1_1&gene=snap_masked-AADM01000024.1-processed-gene-0.272&CDS=1-423	YER057C, YIL051C
OG0000113	snap_masked-AADM01000024.1-processed-gene-0.212-mRNA-1_1&gene=snap_masked-AADM01000024.1-processed-gene-0.212&CDS=1-1395	YER059W, YIL050W
OG0000114	snap_masked-AADM01000024.1-processed-gene-0.274-mRNA-1_1&gene=snap_masked-AADM01000024.1-processed-gene-0.274&CDS=1-747	YER062C, YIL053W
OG0000115	snap_masked-AADM01000026.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000026.1-processed-gene-0.20&CDS=1-1410	YER081W, YIL074C
OG0000116	maker-AADM01000027.1-augustus-gene-0.85-mRNA-1_1&gene=maker-AADM01000027.1-augustus-gene-0.85&CDS=1-2286	YMR199W, YPL256C
OG0000117	snap_masked-AADM01000031.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000031.1-processed-gene-0.4&CDS=1-1017	YCR073W-A, YNR034W
OG0000118	maker-AADM01000298.1-snap-gene-0.0-mRNA-1_1&gene=maker-AADM01000298.1-snap-gene-0.0&CDS=1-564, snap_masked-AADM01000034.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AADM01000034.1-processed-gene-0.35&CDS=1-621	YDR090C
OG0000119	maker-AADM01000037.1-snap-gene-0.2-mRNA-1_1&gene=maker-AADM01000037.1-snap-gene-0.2&CDS=1-756	YGR214W, YLR048W
OG0000120	augustus_masked-AADM01000037.1-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-AADM01000037.1-processed-gene-0.172&CDS=1-2205	YJR059W, YKL198C
OG0000121	snap_masked-AADM01000039.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.2&CDS=1-1614	YEL041W, YJR049C
OG0000122	snap_masked-AADM01000039.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.9&CDS=1-330	YEL039C, YJR048W
OG0000123	snap_masked-AADM01000039.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.5&CDS=1-471	YEL034W, YJR047C
OG0000124	snap_masked-AADM01000043.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000043.1-processed-gene-0.20&CDS=1-2646	YML111W, YMR275C
OG0000125	augustus_masked-AADM01000044.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-AADM01000044.1-processed-gene-0.55&CDS=1-1425	YMR253C, YPL264C
OG0000126	snap_masked-AADM01000044.1-processed-gene-0.114-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.114&CDS=1-1707, snap_masked-AADM01000333.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000333.1-processed-gene-0.0&CDS=1-1668	YDR242W
OG0000127	augustus_masked-AADM01000047.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000047.1-processed-gene-0.4&CDS=1-2193	YBL089W, YER119C
OG0000128	augustus_masked-AADM01000047.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-AADM01000047.1-processed-gene-0.40&CDS=1-600	YBL072C, YER102W
OG0000129	maker-AADM01000047.1-augustus-gene-0.110-mRNA-1_1&gene=maker-AADM01000047.1-augustus-gene-0.110&CDS=1-1536	YBL069W, YER101C
OG0000130	snap_masked-AADM01000048.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000048.1-processed-gene-0.25&CDS=1-408	YBR010W, YNL031C
OG0000131	snap_masked-AADM01000048.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-AADM01000048.1-processed-gene-0.37&CDS=1-609	YBR005W, YDR003W
OG0000132	snap_masked-AADM01000048.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000048.1-processed-gene-0.30&CDS=1-396	YBL003C, YDR225W
OG0000133	snap_masked-AADM01000052.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AADM01000052.1-processed-gene-0.14&CDS=1-612	YGL089C, YPL187W
OG0000134	snap_masked-AADM01000054.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AADM01000054.1-processed-gene-0.26&CDS=1-2262, snap_masked-AADM01000119.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-AADM01000119.1-processed-gene-0.38&CDS=1-2319	YJR126C
OG0000135	snap_masked-AADM01000054.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AADM01000054.1-processed-gene-0.32&CDS=1-813	YDR151C, YLR136C
OG0000136	snap_masked-AADM01000056.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000056.1-processed-gene-0.19&CDS=1-1164	YDR222W, YLR225C
OG0000137	snap_masked-AADM01000056.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-AADM01000056.1-processed-gene-0.46&CDS=1-396	YBL002W, YDR224C
OG0000138	snap_masked-AADM01000056.1-processed-gene-1.161-mRNA-1_1&gene=snap_masked-AADM01000056.1-processed-gene-1.161&CDS=1-2151, snap_masked-AADM01000419.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000419.1-processed-gene-0.3&CDS=1-1902	YDR160W
OG0000139	snap_masked-AADM01000060.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AADM01000060.1-processed-gene-0.33&CDS=1-1089	YBR161W, YPL057C
OG0000140	maker-AADM01000062.1-snap-gene-0.7-mRNA-1_1&gene=maker-AADM01000062.1-snap-gene-0.7&CDS=1-1089	YBR189W, YPL081W
OG0000141	snap_masked-AADM01000062.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-AADM01000062.1-processed-gene-0.64&CDS=1-1182, snap_masked-AADM01000292.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AADM01000292.1-processed-gene-0.40&CDS=1-1323	YDL131W
OG0000142	snap_masked-AADM01000070.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000070.1-processed-gene-0.8&CDS=1-441	YBR082C, YDR059C
OG0000143	snap_masked-AADM01000071.1-processed-gene-0.156-mRNA-1_1&gene=snap_masked-AADM01000071.1-processed-gene-0.156&CDS=1-2925, snap_masked-AADM01000212.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000212.1-processed-gene-0.21&CDS=1-2835	YBR084W
OG0000144	augustus_masked-AADM01000071.1-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-AADM01000071.1-processed-gene-0.122&CDS=1-612	YBL027W, YBR084C-A
OG0000145	snap_masked-AADM01000071.1-processed-gene-0.212-mRNA-1_1&gene=snap_masked-AADM01000071.1-processed-gene-0.212&CDS=1-279	YBR089C-A, YPR052C
OG0000146	snap_masked-AADM01000071.1-processed-gene-0.183-mRNA-1_1&gene=snap_masked-AADM01000071.1-processed-gene-0.183&CDS=1-1680, snap_masked-AADM01000144.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-AADM01000144.1-processed-gene-0.44&CDS=1-2163	YKR034W
OG0000147	snap_masked-AADM01000071.1-processed-gene-0.187-mRNA-1_1&gene=snap_masked-AADM01000071.1-processed-gene-0.187&CDS=1-1089	YBR031W, YDR012W
OG0000148	snap_masked-AADM01000072.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000072.1-processed-gene-0.1&CDS=1-1524, snap_masked-AADM01000298.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000298.1-processed-gene-0.7&CDS=1-1473	YGR260W
OG0000149	snap_masked-AADM01000073.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000073.1-processed-gene-0.10&CDS=1-1725, snap_masked-AADM01000184.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000184.1-processed-gene-0.2&CDS=1-1713	YJL172W
OG0000150	snap_masked-AADM01000073.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AADM01000073.1-processed-gene-0.6&CDS=1-1635, snap_masked-AADM01000129.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-AADM01000129.1-processed-gene-0.47&CDS=1-1728	YJR152W
OG0000151	snap_masked-AADM01000073.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000073.1-processed-gene-0.7&CDS=1-1119, snap_masked-AADM01000119.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000119.1-processed-gene-0.28&CDS=1-1182	YJR148W
OG0000152	snap_masked-AADM01000075.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000075.1-processed-gene-0.1&CDS=1-1383	YAL062W, YOR375C
OG0000153	snap_masked-AADM01000075.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000075.1-processed-gene-0.7&CDS=1-2442	YAL056W, YOR371C
OG0000154	snap_masked-AADM01000076.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000076.1-processed-gene-0.3&CDS=1-1320, snap_masked-AADM01000433.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000433.1-processed-gene-0.2&CDS=1-1320	YAL040C
OG0000155	snap_masked-AADM01000081.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AADM01000081.1-processed-gene-0.31&CDS=1-2175	YJL099W, YKR027W
OG0000156	snap_masked-AADM01000093.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.37&CDS=1-885	YFL059W, YNL333W
OG0000157	maker-AADM01000093.1-augustus-gene-1.161-mRNA-1_1&gene=maker-AADM01000093.1-augustus-gene-1.161&CDS=1-4104	YKL091C, YMR079W
OG0000158	snap_masked-AADM01000093.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.12&CDS=1-414	YHL001W, YKL006W
OG0000159	snap_masked-AADM01000093.1-processed-gene-1.60-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.60&CDS=1-570	YPR013C, YPR015C
OG0000160	augustus_masked-AADM01000108.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-AADM01000108.1-processed-gene-0.79&CDS=1-906	YOR226C, YPL135W
OG0000161	snap_masked-AADM01000108.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AADM01000108.1-processed-gene-0.13&CDS=1-1344	YOR229W, YOR230W
OG0000162	augustus_masked-AADM01000108.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-AADM01000108.1-processed-gene-0.81&CDS=1-321	YOR234C, YPL143W
OG0000163	maker-AADM01000108.1-augustus-gene-0.143-mRNA-1_1&gene=maker-AADM01000108.1-augustus-gene-0.143&CDS=1-1998	YOR237W, YPL145C
OG0000164	snap_masked-AADM01000111.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AADM01000111.1-processed-gene-0.14&CDS=1-315	YMR230W, YOR293W
OG0000165	maker-AADM01000111.1-snap-gene-0.1-mRNA-1_1&gene=maker-AADM01000111.1-snap-gene-0.1&CDS=1-390	YJL190C, YLR367W
OG0000166	augustus_masked-AADM01000116.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000116.1-processed-gene-0.4&CDS=1-1188	YGR279C, YMR305C
OG0000167	snap_masked-AADM01000119.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000119.1-processed-gene-0.4&CDS=1-1197	YHR179W, YPL171C
OG0000168	snap_masked-AADM01000119.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-AADM01000119.1-processed-gene-0.58&CDS=1-783	YHR203C, YJR145C
OG0000169	snap_masked-AADM01000126.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000126.1-processed-gene-0.28&CDS=1-1302, snap_masked-AADM01000212.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AADM01000212.1-processed-gene-0.35&CDS=1-1386	YLR438W
OG0000170	maker-AADM01000126.1-snap-gene-0.0-mRNA-1_1&gene=maker-AADM01000126.1-snap-gene-0.0&CDS=1-1566	YLR432W, YML056C
OG0000171	augustus_masked-AADM01000127.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-AADM01000127.1-processed-gene-0.11&CDS=1-789, snap_masked-AADM01000128.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000128.1-processed-gene-0.0&CDS=1-294	YLR423C
OG0000172	snap_masked-AADM01000130.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000130.1-processed-gene-0.18&CDS=1-357	YER131W, YGL189C
OG0000173	augustus_masked-AADM01000137.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-AADM01000137.1-processed-gene-0.1&CDS=1-1812	YBL009W, YGL021W
OG0000174	augustus_masked-AADM01000137.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-AADM01000137.1-processed-gene-0.9&CDS=1-2547	YBL005W, YGL013C
