	Eremothecium_cymbalariae	Saccharomyces_cerevisiae
OG0000071	augustus_masked-NC_016450.1-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-NC_016450.1-processed-gene-5.140&CDS=1-1650, snap_masked-NC_016456.1-processed-gene-7.27-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-7.27&CDS=1-3543	YER129W, YKL048C
OG0000072	augustus_masked-NC_016450.1-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-NC_016450.1-processed-gene-6.66&CDS=1-2268, snap_masked-NC_016455.1-processed-gene-8.75-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.75&CDS=1-1488	YHR206W, YOR140W
OG0000073	snap_masked-NC_016450.1-processed-gene-7.1-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-7.1&CDS=1-2508, snap_masked-NC_016453.1-processed-gene-9.47-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-9.47&CDS=1-2604	YMR054W, YOR270C
OG0000074	genemark-NC_016452.1-processed-gene-13.45-mRNA-1_1&gene=genemark-NC_016452.1-processed-gene-13.45&CDS=1-2232, snap_masked-NC_016450.1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-7.48&CDS=1-1305	YBL052C, YOR244W
OG0000075	maker-NC_016450.1-snap-gene-8.3-mRNA-1_1&gene=maker-NC_016450.1-snap-gene-8.3&CDS=1-2880, snap_masked-NC_016451.1-processed-gene-10.16-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.16&CDS=1-2454	YHL007C, YNL298W
OG0000076	snap_masked-NC_016450.1-processed-gene-8.100-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-8.100&CDS=1-2055, snap_masked-NC_016456.1-processed-gene-5.134-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-5.134&CDS=1-2340	YKR001C, YLL001W
OG0000077	augustus_masked-NC_016451.1-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-3.110&CDS=1-1689, snap_masked-NC_016450.1-processed-gene-9.15-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-9.15&CDS=1-1692, snap_masked-NC_016454.1-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.125&CDS=1-1776	YLR044C
OG0000078	augustus_masked-NC_016450.1-processed-gene-9.66-mRNA-1_1&gene=augustus_masked-NC_016450.1-processed-gene-9.66&CDS=1-2541, augustus_masked-NC_016451.1-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-3.97&CDS=1-3321	YJR061W, YKL201C
OG0000079	snap_masked-NC_016450.1-processed-gene-10.61-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-10.61&CDS=1-378	YCR083W, YGR209C, YLR043C
OG0000080	genemark-NC_016450.1-processed-gene-10.16-mRNA-1_1&gene=genemark-NC_016450.1-processed-gene-10.16&CDS=1-903, maker-NC_016450.1-augustus-gene-11.103-mRNA-1_1&gene=maker-NC_016450.1-augustus-gene-11.103&CDS=1-1896	YBR160W, YPL031C
OG0000081	maker-NC_016450.1-snap-gene-11.161-mRNA-1_1&gene=maker-NC_016450.1-snap-gene-11.161&CDS=1-2607, snap_masked-NC_016454.1-processed-gene-6.84-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.84&CDS=1-3189	YFR040W, YKR028W
OG0000082	snap_masked-NC_016450.1-processed-gene-12.7-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-12.7&CDS=1-912, snap_masked-NC_016455.1-processed-gene-6.120-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-6.120&CDS=1-939	YGR086C, YPL004C
OG0000083	snap_masked-NC_016450.1-processed-gene-12.45-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-12.45&CDS=1-2682, snap_masked-NC_016451.1-processed-gene-6.15-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.15&CDS=1-2244	YBR059C, YNL020C
OG0000084	snap_masked-NC_016450.1-processed-gene-12.50-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-12.50&CDS=1-1755, snap_masked-NC_016453.1-processed-gene-8.92-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-8.92&CDS=1-1554	YDR037W, YNL073W
OG0000085	genemark-NC_016450.1-processed-gene-13.92-mRNA-1_1&gene=genemark-NC_016450.1-processed-gene-13.92&CDS=1-2385, snap_masked-NC_016452.1-processed-gene-4.55-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-4.55&CDS=1-4419	YLR144C, YNR067C
OG0000086	augustus_masked-NC_016450.1-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-NC_016450.1-processed-gene-13.10&CDS=1-3561, snap_masked-NC_016453.1-processed-gene-6.129-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.129&CDS=1-2787	YMR266W, YOL084W
OG0000087	snap_masked-NC_016450.1-processed-gene-14.79-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-14.79&CDS=1-2601, snap_masked-NC_016455.1-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-3.23&CDS=1-2400	YJL212C, YPR194C
OG0000088	genemark-NC_016450.1-processed-gene-14.130-mRNA-1_1&gene=genemark-NC_016450.1-processed-gene-14.130&CDS=1-4128, snap_masked-NC_016451.1-processed-gene-10.79-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.79&CDS=1-1950	YGR068C, YOR018W
OG0000089	snap_masked-NC_016450.1-processed-gene-15.112-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-15.112&CDS=1-1008, snap_masked-NC_016456.1-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-3.53&CDS=1-1050	YCR034W, YLR372W
OG0000090	augustus_masked-NC_016451.1-processed-gene-10.138-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-10.138&CDS=1-2991, snap_masked-NC_016451.1-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-0.96&CDS=1-984	YOL002C, YOL102C
OG0000091	snap_masked-NC_016451.1-processed-gene-3.95-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-3.95&CDS=1-600, snap_masked-NC_016452.1-processed-gene-5.46-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-5.46&CDS=1-486	YDR155C, YDR304C
OG0000092	snap_masked-NC_016451.1-processed-gene-4.95-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-4.95&CDS=1-1923, snap_masked-NC_016453.1-processed-gene-12.154-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-12.154&CDS=1-2475	YDL095W, YDR307W
OG0000093	snap_masked-NC_016451.1-processed-gene-5.50-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.50&CDS=1-3822, snap_masked-NC_016454.1-processed-gene-5.113-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.113&CDS=1-3225	YJL050W, YLR398C
OG0000094	maker-NC_016456.1-snap-gene-0.106-mRNA-1_1&gene=maker-NC_016456.1-snap-gene-0.106&CDS=1-2850, snap_masked-NC_016451.1-processed-gene-5.51-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.51&CDS=1-2322	YDL126C, YLR397C
OG0000095	genemark-NC_016455.1-processed-gene-2.111-mRNA-1_1&gene=genemark-NC_016455.1-processed-gene-2.111&CDS=1-1371, snap_masked-NC_016451.1-processed-gene-6.49-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.49&CDS=1-1422	YER119C, YIL088C
OG0000096	snap_masked-NC_016451.1-processed-gene-6.24-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.24&CDS=1-309, snap_masked-NC_016453.1-processed-gene-6.117-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.117&CDS=1-309	YBR009C, YNL030W
OG0000097	snap_masked-NC_016451.1-processed-gene-7.6-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.6&CDS=1-573, snap_masked-NC_016453.1-processed-gene-8.119-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-8.119&CDS=1-573	YGL147C, YNL067W
OG0000098	maker-NC_016451.1-snap-gene-7.1-mRNA-1_1&gene=maker-NC_016451.1-snap-gene-7.1&CDS=1-3144, snap_masked-NC_016452.1-processed-gene-2.1-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-2.1&CDS=1-1920	YDR444W, YGL144C
OG0000099	maker-NC_016454.1-snap-gene-1.149-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-1.149&CDS=1-1020, snap_masked-NC_016451.1-processed-gene-7.27-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.27&CDS=1-1335	YDL078C, YKL085W
OG0000100	snap_masked-NC_016451.1-processed-gene-9.70-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.70&CDS=1-1311, snap_masked-NC_016455.1-processed-gene-7.41-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-7.41&CDS=1-1443	YHR030C, YPR054W
OG0000101	snap_masked-NC_016451.1-processed-gene-9.63-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.63&CDS=1-6468, snap_masked-NC_016452.1-processed-gene-14.136-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-14.136&CDS=1-5856	YER172C, YGR271W
OG0000102	snap_masked-NC_016451.1-processed-gene-10.35-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.35&CDS=1-1761, snap_masked-NC_016456.1-processed-gene-4.81-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-4.81&CDS=1-1137	YGR169C, YOL066C
OG0000103	augustus_masked-NC_016452.1-processed-gene-12.53-mRNA-1_1&gene=augustus_masked-NC_016452.1-processed-gene-12.53&CDS=1-1482, snap_masked-NC_016451.1-processed-gene-10.87-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.87&CDS=1-1341	YEL036C, YML115C
OG0000104	snap_masked-NC_016451.1-processed-gene-10.91-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.91&CDS=1-3231, snap_masked-NC_016452.1-processed-gene-10.77-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-10.77&CDS=1-2139	YDR466W, YDR490C
OG0000105	augustus_masked-NC_016454.1-processed-gene-8.138-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-8.138&CDS=1-5424, snap_masked-NC_016451.1-processed-gene-10.101-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.101&CDS=1-1470	YBR038W, YNL192W
OG0000106	snap_masked-NC_016451.1-processed-gene-10.103-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.103&CDS=1-1179, snap_masked-NC_016452.1-processed-gene-11.90-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-11.90&CDS=1-1251	YBR025C, YHL014C
OG0000107	snap_masked-NC_016451.1-processed-gene-10.106-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.106&CDS=1-1236, snap_masked-NC_016452.1-processed-gene-3.98-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-3.98&CDS=1-1431	YDR218C, YJR076C
OG0000108	snap_masked-NC_016452.1-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-1.37&CDS=1-1020, snap_masked-NC_016452.1-processed-gene-7.116-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-7.116&CDS=1-1125	YIL035C, YOR061W
OG0000109	augustus_masked-NC_016452.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NC_016452.1-processed-gene-1.67&CDS=1-6597, snap_masked-NC_016455.1-processed-gene-7.35-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-7.35&CDS=1-3387	YDR420W, YGR014W
OG0000110	snap_masked-NC_016452.1-processed-gene-2.38-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-2.38&CDS=1-393, snap_masked-NC_016453.1-processed-gene-6.93-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.93&CDS=1-393	YBL003C, YDR225W
OG0000111	snap_masked-NC_016452.1-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-2.21&CDS=1-396, snap_masked-NC_016453.1-processed-gene-6.91-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.91&CDS=1-381	YBL002W, YDR224C
OG0000112	snap_masked-NC_016452.1-processed-gene-3.123-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-3.123&CDS=1-573, snap_masked-NC_016454.1-processed-gene-8.25-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-8.25&CDS=1-882	YLR229C, YNL180C
OG0000113	augustus_masked-NC_016452.1-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-NC_016452.1-processed-gene-3.58&CDS=1-3429	YDR038C, YDR039C, YDR040C
OG0000114	snap_masked-NC_016452.1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-4.48&CDS=1-2061, snap_masked-NC_016453.1-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-0.101&CDS=1-2163	YAL054C, YLR153C
OG0000115	augustus_masked-NC_016452.1-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-NC_016452.1-processed-gene-5.27&CDS=1-4515, maker-NC_016453.1-snap-gene-12.278-mRNA-1_1&gene=maker-NC_016453.1-snap-gene-12.278&CDS=1-4458	YDR135C, YGR281W
OG0000116	snap_masked-NC_016452.1-processed-gene-7.124-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-7.124&CDS=1-1566	YER056C, YER060W, YER060W-A
OG0000117	snap_masked-NC_016452.1-processed-gene-8.66-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-8.66&CDS=1-1737, snap_masked-NC_016452.1-processed-gene-9.144-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-9.144&CDS=1-1299	YER048C, YIR004W
OG0000118	snap_masked-NC_016452.1-processed-gene-8.88-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-8.88&CDS=1-1389, snap_masked-NC_016454.1-processed-gene-7.137-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-7.137&CDS=1-1473	YNL142W, YPR138C
OG0000119	augustus_masked-NC_016452.1-processed-gene-9.74-mRNA-1_1&gene=augustus_masked-NC_016452.1-processed-gene-9.74&CDS=1-2829, snap_masked-NC_016453.1-processed-gene-8.104-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-8.104&CDS=1-3441	YIL002C, YOR109W
OG0000120	snap_masked-NC_016452.1-processed-gene-10.101-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-10.101&CDS=1-1104, snap_masked-NC_016453.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-1.54&CDS=1-1104	YAL036C, YGR173W
OG0000121	snap_masked-NC_016452.1-processed-gene-10.118-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-10.118&CDS=1-1785, snap_masked-NC_016453.1-processed-gene-3.122-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-3.122&CDS=1-1725	YHR194W, YOR147W
OG0000122	augustus_masked-NC_016456.1-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-NC_016456.1-processed-gene-4.131&CDS=1-5562, snap_masked-NC_016453.1-processed-gene-1.87-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-1.87&CDS=1-4674	YHR023W, YOR326W
OG0000123	snap_masked-NC_016453.1-processed-gene-3.104-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-3.104&CDS=1-1014, snap_masked-NC_016453.1-processed-gene-3.124-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-3.124&CDS=1-759, snap_masked-NC_016453.1-processed-gene-3.129-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-3.129&CDS=1-648	YJL158C
OG0000124	augustus_masked-NC_016455.1-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-NC_016455.1-processed-gene-3.67&CDS=1-3375, snap_masked-NC_016453.1-processed-gene-4.130-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-4.130&CDS=1-6666	YJL130C, YJR109C
OG0000125	snap_masked-NC_016453.1-processed-gene-4.107-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-4.107&CDS=1-504, snap_masked-NC_016455.1-processed-gene-5.39-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-5.39&CDS=1-1392	YKL032C, YMR072W
OG0000126	genemark-NC_016453.1-processed-gene-5.33-mRNA-1_1&gene=genemark-NC_016453.1-processed-gene-5.33&CDS=1-741	YOL055C, YPL258C, YPR121W
OG0000127	snap_masked-NC_016453.1-processed-gene-6.121-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.121&CDS=1-1845, snap_masked-NC_016456.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-2.87&CDS=1-1776	YBR015C, YJL186W
OG0000128	snap_masked-NC_016453.1-processed-gene-12.121-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-12.121&CDS=1-1569, snap_masked-NC_016453.1-processed-gene-6.104-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.104&CDS=1-1521	YBR139W, YMR297W
OG0000129	maker-NC_016454.1-snap-gene-4.108-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-4.108&CDS=1-4431, snap_masked-NC_016453.1-processed-gene-8.120-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-8.120&CDS=1-3993	YIL126W, YOR290C
OG0000130	augustus_masked-NC_016453.1-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-NC_016453.1-processed-gene-10.82&CDS=1-1056, snap_masked-NC_016454.1-processed-gene-5.94-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.94&CDS=1-1686	YGR059W, YHR107C
OG0000131	snap_masked-NC_016453.1-processed-gene-12.91-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-12.91&CDS=1-2382, snap_masked-NC_016455.1-processed-gene-6.108-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-6.108&CDS=1-2712	YDR258C, YLL026W
OG0000132	augustus_masked-NC_016453.1-processed-gene-12.225-mRNA-1_1&gene=augustus_masked-NC_016453.1-processed-gene-12.225&CDS=1-1224, snap_masked-NC_016454.1-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.61&CDS=1-1212	YGR279C, YMR305C
OG0000133	snap_masked-NC_016454.1-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.90&CDS=1-1464, snap_masked-NC_016456.1-processed-gene-2.49-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-2.49&CDS=1-1152	YGR052W, YKL166C
OG0000134	snap_masked-NC_016454.1-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.97&CDS=1-1095, snap_masked-NC_016454.1-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.23&CDS=1-1074	YBL016W, YGR040W
OG0000135	snap_masked-NC_016454.1-processed-gene-7.99-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-7.99&CDS=1-1128	YCR102C, YLR460C, YNL134C
OG0000136	snap_masked-NC_016455.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-0.69&CDS=1-627	YFL060C, YMR095C, YNL334C
OG0000137	maker-NC_016455.1-augustus-gene-0.121-mRNA-1_1&gene=maker-NC_016455.1-augustus-gene-0.121&CDS=1-1926	YFL059W, YMR096W, YNL333W
OG0000138	snap_masked-NC_016455.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-0.55&CDS=1-1371, snap_masked-NC_016455.1-processed-gene-8.68-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.68&CDS=1-2175	YIL078W, YKL194C
OG0000139	maker-NC_016455.1-snap-gene-0.128-mRNA-1_1&gene=maker-NC_016455.1-snap-gene-0.128&CDS=1-1563	YHR216W, YLR432W, YML056C
OG0000140	snap_masked-NC_016455.1-processed-gene-7.17-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-7.17&CDS=1-2253, snap_masked-NC_016455.1-processed-gene-7.25-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-7.25&CDS=1-2250	YAL023C, YGR199W
OG0000141	snap_masked-NC_016456.1-processed-gene-3.57-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-3.57&CDS=1-2352, snap_masked-NC_016456.1-processed-gene-7.53-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-7.53&CDS=1-2334	YJL200C, YLR304C
OG0000142	maker-NC_016456.1-augustus-gene-4.134-mRNA-1_1&gene=maker-NC_016456.1-augustus-gene-4.134&CDS=1-5505, snap_masked-NC_016456.1-processed-gene-6.94-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-6.94&CDS=1-2568	YHR027C, YOR219C
OG0000143	snap_masked-NC_016456.1-processed-gene-5.97-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-5.97&CDS=1-3924, snap_masked-NC_016456.1-processed-gene-6.73-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-6.73&CDS=1-3447	YJL042W, YOR227W
OG0000144		YBR297W, YFL052W, YGR288W, YPR196W
OG0000145	snap_masked-NC_016449.1-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.85&CDS=1-759, snap_masked-NC_016449.1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.126&CDS=1-2448	YJL204C
OG0000146	maker-NC_016449.1-snap-gene-0.134-mRNA-1_1&gene=maker-NC_016449.1-snap-gene-0.134&CDS=1-1017, maker-NC_016449.1-snap-gene-2.145-mRNA-1_1&gene=maker-NC_016449.1-snap-gene-2.145&CDS=1-1017	YCR097W
OG0000147	genemark-NC_016449.1-processed-gene-0.2-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-0.2&CDS=1-324, genemark-NC_016449.1-processed-gene-2.38-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-2.38&CDS=1-324	YNL244C
OG0000148	snap_masked-NC_016449.1-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.94&CDS=1-1104	YCL051W, YDR528W
OG0000149	snap_masked-NC_016449.1-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.120&CDS=1-957	YCL050C, YDR530C
OG0000150	augustus_masked-NC_016449.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-0.61&CDS=1-3429	YCL036W, YDR514C
OG0000151	snap_masked-NC_016449.1-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.131&CDS=1-474	YCL035C, YDR513W
OG0000152	snap_masked-NC_016449.1-processed-gene-1.52-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.52&CDS=1-264	YDR500C, YLR185W
OG0000153	snap_masked-NC_016449.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.87&CDS=1-1080	YCR105W, YMR318C
OG0000154	snap_masked-NC_016449.1-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.92&CDS=1-534, snap_masked-NC_016452.1-processed-gene-14.124-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-14.124&CDS=1-522	YBR072W
OG0000155	augustus_masked-NC_016449.1-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-2.63&CDS=1-5745	YHR155W, YNL257C
OG0000156	snap_masked-NC_016449.1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.15&CDS=1-654	YER031C, YGL210W
OG0000157	snap_masked-NC_016449.1-processed-gene-4.21-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.21&CDS=1-543, snap_masked-NC_016452.1-processed-gene-9.114-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-9.114&CDS=1-726	YBR067C
OG0000158	snap_masked-NC_016449.1-processed-gene-4.40-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.40&CDS=1-1347	YGR141W, YPR157W
OG0000159	augustus_masked-NC_016449.1-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-4.83&CDS=1-507	YGR131W, YPR149W
OG0000160	snap_masked-NC_016449.1-processed-gene-5.58-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.58&CDS=1-1719	YGR124W, YPR145W
OG0000161	maker-NC_016449.1-augustus-gene-6.82-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-6.82&CDS=1-4317	YDR264C, YOR034C
OG0000162	snap_masked-NC_016449.1-processed-gene-10.163-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-10.163&CDS=1-1755, snap_masked-NC_016449.1-processed-gene-7.57-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-7.57&CDS=1-1665	YFL040W
OG0000163	snap_masked-NC_016449.1-processed-gene-7.60-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-7.60&CDS=1-2691	YCR026C, YEL016C
OG0000164	snap_masked-NC_016449.1-processed-gene-8.105-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-8.105&CDS=1-1329, snap_masked-NC_016452.1-processed-gene-12.118-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-12.118&CDS=1-1791	YMR284W
OG0000165	augustus_masked-NC_016449.1-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-8.78&CDS=1-459	YGL031C, YGR148C
OG0000166	augustus_masked-NC_016449.1-processed-gene-9.57-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-9.57&CDS=1-2115	YBL009W, YGL021W
OG0000167	augustus_masked-NC_016449.1-processed-gene-9.81-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-9.81&CDS=1-258	YGR008C, YLR327C
OG0000168	snap_masked-NC_016449.1-processed-gene-10.146-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-10.146&CDS=1-519	YMR242C, YOR312C
OG0000169	snap_masked-NC_016449.1-processed-gene-10.120-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-10.120&CDS=1-954, snap_masked-NC_016450.1-processed-gene-13.80-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-13.80&CDS=1-870	YMR244W
