	Metschnikowia_proteae	Saccharomyces_cerevisiae
OG0000083	snap_masked-proT_s5-processed-gene-1.110-mRNA-1_1&gene=snap_masked-proT_s5-processed-gene-1.110&CDS=1-1536	YER056C, YER060W, YER060W-A
OG0000084	maker-proT_s59-snap-gene-0.9-mRNA-1_1&gene=maker-proT_s59-snap-gene-0.9&CDS=1-1209, snap_masked-proT_s62-processed-gene-3.69-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-3.69&CDS=1-1527	YER133W, YML016C
OG0000085	snap_masked-proT_s59-processed-gene-0.19-mRNA-1_1&gene=snap_masked-proT_s59-processed-gene-0.19&CDS=1-1260, snap_masked-proT_s7-processed-gene-1.68-mRNA-1_1&gene=snap_masked-proT_s7-processed-gene-1.68&CDS=1-1272	YKL106W, YLR027C
OG0000086	snap_masked-proT_s6-processed-gene-0.75-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-0.75&CDS=1-1839	YOL055C, YPL258C, YPR121W
OG0000087	genemark-proT_s72-processed-gene-0.25-mRNA-1_1&gene=genemark-proT_s72-processed-gene-0.25&CDS=1-936, snap_masked-proT_s70-processed-gene-1.174-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.174&CDS=1-984	YBR002C, YMR101C
OG0000088	genemark-proT_s72-processed-gene-0.57-mRNA-1_1&gene=genemark-proT_s72-processed-gene-0.57&CDS=1-3465	YDR471W, YDR490C, YHR010W
OG0000089	snap_masked-proT_s97-processed-gene-1.155-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.155&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000090	augustus_masked-proT_C12921-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-proT_C12921-processed-gene-0.1&CDS=1-186, snap_masked-proT_s140-processed-gene-1.33-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-1.33&CDS=1-1212	YDR329C
OG0000091	augustus_masked-proT_C14739-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-proT_C14739-processed-gene-0.0&CDS=1-651	YFR031C-A, YIL018W
OG0000092	augustus_masked-proT_C15115-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-proT_C15115-processed-gene-0.4&CDS=1-1041	YEL065W, YHL040C
OG0000093	snap_masked-proT_C15475-processed-gene-0.4-mRNA-1_1&gene=snap_masked-proT_C15475-processed-gene-0.4&CDS=1-516	YGR085C, YPR102C
OG0000094	snap_masked-proT_C15847-processed-gene-0.9-mRNA-1_1&gene=snap_masked-proT_C15847-processed-gene-0.9&CDS=1-1431, snap_masked-proT_s19-processed-gene-0.44-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-0.44&CDS=1-1275	YHR135C
OG0000095	augustus_masked-proT_s1-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-proT_s1-processed-gene-1.110&CDS=1-2703	YGR188C, YJL013C
OG0000096	snap_masked-proT_s1-processed-gene-2.55-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.55&CDS=1-888	YMR222C, YOR280C
OG0000097	snap_masked-proT_s1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.87&CDS=1-1536	YIL113W, YNL053W
OG0000098	snap_masked-proT_s1-processed-gene-2.70-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.70&CDS=1-759	YER062C, YIL053W
OG0000099	augustus_masked-proT_s1-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-proT_s1-processed-gene-2.122&CDS=1-3180	YJR091C, YPR042C
OG0000100	genemark-proT_s1-processed-gene-2.20-mRNA-1_1&gene=genemark-proT_s1-processed-gene-2.20&CDS=1-318	YJR094W-A, YPR043W
OG0000101	snap_masked-proT_s104-processed-gene-0.13-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.13&CDS=1-1368	YDR247W, YPL026C
OG0000102	snap_masked-proT_s104-processed-gene-0.26-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.26&CDS=1-1080	YCR105W, YMR318C
OG0000103	snap_masked-proT_s106-processed-gene-0.40-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.40&CDS=1-1983	YNL299W, YOL115W
OG0000104	snap_masked-proT_s106-processed-gene-0.45-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.45&CDS=1-3546	YHR155W, YNL257C
OG0000105	maker-proT_s106-snap-gene-1.1-mRNA-1_1&gene=maker-proT_s106-snap-gene-1.1&CDS=1-390	YHL001W, YKL006W
OG0000106	snap_masked-proT_s106-processed-gene-1.48-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.48&CDS=1-1269	YDR300C, YHR033W
OG0000107	genemark-proT_s106-processed-gene-1.100-mRNA-1_1&gene=genemark-proT_s106-processed-gene-1.100&CDS=1-804, snap_masked-proT_s70-processed-gene-1.158-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.158&CDS=1-801	YMR226C
OG0000108	snap_masked-proT_s106-processed-gene-1.68-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.68&CDS=1-1833	YLR273C, YOR178C
OG0000109	snap_masked-proT_s106-processed-gene-2.59-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.59&CDS=1-603, snap_masked-proT_s44-processed-gene-3.148-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-3.148&CDS=1-618	YNR018W
OG0000110	snap_masked-proT_s106-processed-gene-2.92-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.92&CDS=1-735, snap_masked-proT_s188-processed-gene-1.127-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.127&CDS=1-600	YKL040C
OG0000111	snap_masked-proT_s106-processed-gene-3.78-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.78&CDS=1-657	YER031C, YGL210W
OG0000112	snap_masked-proT_s106-processed-gene-3.86-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.86&CDS=1-3543	YGL133W, YPL216W
OG0000113	snap_masked-proT_s106-processed-gene-3.73-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.73&CDS=1-468	YBL087C, YER117W
OG0000114	snap_masked-proT_s106-processed-gene-3.93-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.93&CDS=1-2397	YIL105C, YNL047C
OG0000115	snap_masked-proT_s106-processed-gene-4.59-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.59&CDS=1-816	YDL127W, YDL179W
OG0000116	maker-proT_s106-snap-gene-4.44-mRNA-1_1&gene=maker-proT_s106-snap-gene-4.44&CDS=1-3825	YGR143W, YPR159W
OG0000117	genemark-proT_s106-processed-gene-4.136-mRNA-1_1&gene=genemark-proT_s106-processed-gene-4.136&CDS=1-507	YGR131W, YPR149W
OG0000118	snap_masked-proT_s106-processed-gene-4.64-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.64&CDS=1-543	YDL137W, YDL192W
OG0000119	augustus_masked-proT_s106-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-4.9&CDS=1-360	YDL136W, YDL191W
OG0000120	snap_masked-proT_s106-processed-gene-4.92-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.92&CDS=1-906	YGR136W, YPR154W
OG0000121	genemark-proT_s106-processed-gene-4.125-mRNA-1_1&gene=genemark-proT_s106-processed-gene-4.125&CDS=1-2439	YBR294W, YLR092W
OG0000122	snap_masked-proT_s106-processed-gene-4.95-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.95&CDS=1-1188	YJL138C, YKR059W
OG0000123	maker-proT_s106-augustus-gene-4.51-mRNA-1_1&gene=maker-proT_s106-augustus-gene-4.51&CDS=1-2136	YDL134C, YDL188C
OG0000124	maker-proT_s106-snap-gene-5.88-mRNA-1_1&gene=maker-proT_s106-snap-gene-5.88&CDS=1-2565	YBR205W, YOR099W
OG0000125	snap_masked-proT_s106-processed-gene-5.112-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.112&CDS=1-4197	YJL076W, YKR010C
OG0000126	snap_masked-proT_s106-processed-gene-5.132-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.132&CDS=1-1719, snap_masked-proT_s188-processed-gene-0.62-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.62&CDS=1-1674	YDR242W
OG0000127	genemark-proT_s106-processed-gene-6.103-mRNA-1_1&gene=genemark-proT_s106-processed-gene-6.103&CDS=1-2211	YJR059W, YKL198C
OG0000128	snap_masked-proT_s106-processed-gene-6.7-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.7&CDS=1-2844	YCR067C, YNR026C
OG0000129	snap_masked-proT_s106-processed-gene-6.36-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.36&CDS=1-1452	YIL123W, YNL066W
OG0000130	maker-proT_s106-augustus-gene-6.3-mRNA-1_1&gene=maker-proT_s106-augustus-gene-6.3&CDS=1-4458	YBL085W, YER114C
OG0000131	snap_masked-proT_s106-processed-gene-6.45-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.45&CDS=1-1521, snap_masked-proT_s6-processed-gene-0.112-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-0.112&CDS=1-1515	YGR260W
OG0000132	augustus_masked-proT_s106-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-7.89&CDS=1-5292	YIL149C, YKR095W
OG0000133	snap_masked-proT_s106-processed-gene-7.15-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.15&CDS=1-3726	YIL151C, YKR096W
OG0000134	genemark-proT_s106-processed-gene-7.153-mRNA-1_1&gene=genemark-proT_s106-processed-gene-7.153&CDS=1-1683, snap_masked-proT_s120-processed-gene-2.41-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-2.41&CDS=1-1737	YBR132C
OG0000135	snap_masked-proT_s106-processed-gene-7.19-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.19&CDS=1-2964, snap_masked-proT_s97-processed-gene-1.127-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.127&CDS=1-2838	YGR204W
OG0000136	snap_masked-proT_s106-processed-gene-7.25-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.25&CDS=1-759	YIR035C, YIR036C
OG0000137	maker-proT_s106-snap-gene-7.118-mRNA-1_1&gene=maker-proT_s106-snap-gene-7.118&CDS=1-1194	YNL302C, YOL121C
OG0000138	maker-proT_s106-snap-gene-7.117-mRNA-1_1&gene=maker-proT_s106-snap-gene-7.117&CDS=1-558	YNL301C, YOL120C
OG0000139	snap_masked-proT_s114-processed-gene-0.46-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.46&CDS=1-2319	YGL139W, YPL221W
OG0000140	snap_masked-proT_s114-processed-gene-0.67-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.67&CDS=1-3396	YDR122W, YLR096W
OG0000141	snap_masked-proT_s114-processed-gene-1.97-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.97&CDS=1-1893, snap_masked-proT_s43-processed-gene-0.7-mRNA-1_1&gene=snap_masked-proT_s43-processed-gene-0.7&CDS=1-246	YLR077W
OG0000142	augustus_masked-proT_s114-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-proT_s114-processed-gene-1.53&CDS=1-1161	YFL046W, YLR078C
OG0000143	maker-proT_s114-augustus-gene-1.142-mRNA-1_1&gene=maker-proT_s114-augustus-gene-1.142&CDS=1-3243	YGR056W, YLR357W
OG0000144	snap_masked-proT_s114-processed-gene-1.109-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.109&CDS=1-1467	YJL139C, YKR061W
OG0000145	snap_masked-proT_s114-processed-gene-1.132-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.132&CDS=1-555	YJL177W, YKL180W
OG0000146	snap_masked-proT_s114-processed-gene-2.95-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-2.95&CDS=1-4152	YCR073C, YNR031C
OG0000147	snap_masked-proT_s12-processed-gene-0.87-mRNA-1_1&gene=snap_masked-proT_s12-processed-gene-0.87&CDS=1-318	YHR141C, YNL162W
OG0000148	maker-proT_s12-snap-gene-0.63-mRNA-1_1&gene=maker-proT_s12-snap-gene-0.63&CDS=1-297	YMR194W, YPL249C-A
OG0000149	snap_masked-proT_s12-processed-gene-0.80-mRNA-1_1&gene=snap_masked-proT_s12-processed-gene-0.80&CDS=1-441	YGL089C, YPL187W
OG0000150	snap_masked-proT_s12-processed-gene-0.97-mRNA-1_1&gene=snap_masked-proT_s12-processed-gene-0.97&CDS=1-846	YLR270W, YOR173W
OG0000151	snap_masked-proT_s12-processed-gene-0.101-mRNA-1_1&gene=snap_masked-proT_s12-processed-gene-0.101&CDS=1-906, snap_masked-proT_s58-processed-gene-0.47-mRNA-1_1&gene=snap_masked-proT_s58-processed-gene-0.47&CDS=1-912	YDL124W
OG0000152	snap_masked-proT_s12-processed-gene-0.84-mRNA-1_1&gene=snap_masked-proT_s12-processed-gene-0.84&CDS=1-1881	YDR146C, YLR131C
OG0000153	maker-proT_s120-augustus-gene-0.87-mRNA-1_1&gene=maker-proT_s120-augustus-gene-0.87&CDS=1-201	YLR264W, YOR167C
OG0000154	snap_masked-proT_s120-processed-gene-0.77-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-0.77&CDS=1-1998	YMR042W, YMR043W
OG0000155	genemark-proT_s120-processed-gene-0.11-mRNA-1_1&gene=genemark-proT_s120-processed-gene-0.11&CDS=1-1089	YDR450W, YML026C
OG0000156	snap_masked-proT_s120-processed-gene-1.60-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.60&CDS=1-1236	YLR300W, YOR190W
OG0000157	snap_masked-proT_s120-processed-gene-1.56-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.56&CDS=1-1707, snap_masked-proT_s62-processed-gene-4.65-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-4.65&CDS=1-1746	YNR055C
OG0000158	snap_masked-proT_s120-processed-gene-1.61-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.61&CDS=1-588	YDL082W, YMR142C
OG0000159	snap_masked-proT_s120-processed-gene-1.58-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.58&CDS=1-426	YDL083C, YMR143W
OG0000160	snap_masked-proT_s120-processed-gene-1.93-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.93&CDS=1-1134, snap_masked-proT_s16-processed-gene-0.111-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.111&CDS=1-1110	YDL022W
OG0000161	snap_masked-proT_s120-processed-gene-1.94-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.94&CDS=1-843	YDR253C, YPL038W
OG0000162	snap_masked-proT_s120-processed-gene-1.78-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.78&CDS=1-768, snap_masked-proT_s15-processed-gene-0.13-mRNA-1_1&gene=snap_masked-proT_s15-processed-gene-0.13&CDS=1-768	YLR441C
OG0000163	genemark-proT_s120-processed-gene-1.26-mRNA-1_1&gene=genemark-proT_s120-processed-gene-1.26&CDS=1-1092	YIL135C, YNL074C
OG0000164	snap_masked-proT_s120-processed-gene-1.85-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.85&CDS=1-1770	YIL085C, YNL029C
OG0000165	snap_masked-proT_s120-processed-gene-2.40-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-2.40&CDS=1-1152	YER027C, YGL208W
OG0000166	snap_masked-proT_s120-processed-gene-2.53-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-2.53&CDS=1-1887	YDR263C, YOR033C
OG0000167	snap_masked-proT_s120-processed-gene-2.59-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-2.59&CDS=1-1113	YCL048W, YDR522C
OG0000168	snap_masked-proT_s120-processed-gene-2.61-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-2.61&CDS=1-2412	YDR264C, YOR034C
OG0000169	snap_masked-proT_s120-processed-gene-2.65-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-2.65&CDS=1-714	YDR098C, YER174C
OG0000170	snap_masked-proT_s120-processed-gene-3.96-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-3.96&CDS=1-1410	YJL083W, YKR019C
OG0000171	snap_masked-proT_s120-processed-gene-3.68-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-3.68&CDS=1-729, snap_masked-proT_s120-processed-gene-3.99-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-3.99&CDS=1-753	YIR038C
OG0000172	snap_masked-proT_s120-processed-gene-3.73-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-3.73&CDS=1-1617, snap_masked-proT_s28-processed-gene-2.87-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-2.87&CDS=1-1566	YMR221C
OG0000173	snap_masked-proT_s120-processed-gene-3.113-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-3.113&CDS=1-1503	YMR169C, YMR170C
OG0000174	snap_masked-proT_s120-processed-gene-3.84-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-3.84&CDS=1-864, snap_masked-proT_s236-processed-gene-0.133-mRNA-1_1&gene=snap_masked-proT_s236-processed-gene-0.133&CDS=1-864	YNL202W
OG0000175	snap_masked-proT_s121-processed-gene-0.6-mRNA-1_1&gene=snap_masked-proT_s121-processed-gene-0.6&CDS=1-1050, snap_masked-proT_s3-processed-gene-1.99-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.99&CDS=1-1050	YML131W
OG0000176	genemark-proT_s121-processed-gene-0.24-mRNA-1_1&gene=genemark-proT_s121-processed-gene-0.24&CDS=1-2457	YKL121W, YMR102C
OG0000177	snap_masked-proT_s135-processed-gene-0.47-mRNA-1_1&gene=snap_masked-proT_s135-processed-gene-0.47&CDS=1-1569	YGL257C, YNR059W
OG0000178	snap_masked-proT_s135-processed-gene-0.44-mRNA-1_1&gene=snap_masked-proT_s135-processed-gene-0.44&CDS=1-840	YHL034C, YLL046C
OG0000179	snap_masked-proT_s140-processed-gene-0.52-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-0.52&CDS=1-1932	YGR241C, YHR161C
OG0000180	augustus_masked-proT_s44-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-proT_s44-processed-gene-0.21&CDS=1-2112, snap_masked-proT_s140-processed-gene-1.8-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-1.8&CDS=1-1041	YGR249W
OG0000181	snap_masked-proT_s140-processed-gene-1.40-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-1.40&CDS=1-2319	YDL109C, YGL144C
OG0000182	snap_masked-proT_s140-processed-gene-2.69-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-2.69&CDS=1-894	YBR104W, YPR058W
OG0000183	snap_masked-proT_s140-processed-gene-2.99-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-2.99&CDS=1-1731	YCR048W, YNR019W
OG0000184	snap_masked-proT_s140-processed-gene-2.105-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-2.105&CDS=1-2025	YFR013W, YOL017W
OG0000185	snap_masked-proT_s140-processed-gene-2.115-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-2.115&CDS=1-2526	YDR385W, YOR133W
OG0000186	genemark-proT_s140-processed-gene-3.110-mRNA-1_1&gene=genemark-proT_s140-processed-gene-3.110&CDS=1-1086	YDL246C, YJR159W
OG0000187	snap_masked-proT_s140-processed-gene-3.87-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-3.87&CDS=1-1437	YGR121C, YPR138C
OG0000188	snap_masked-proT_s140-processed-gene-3.98-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-3.98&CDS=1-495	YDR418W, YEL054C
OG0000189	snap_masked-proT_s140-processed-gene-3.101-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-3.101&CDS=1-795	YGR214W, YLR048W
OG0000190	snap_masked-proT_s140-processed-gene-3.79-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-3.79&CDS=1-900	YGL162W, YPR009W
OG0000191	snap_masked-proT_s140-processed-gene-4.61-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-4.61&CDS=1-870	YBR183W, YPL087W
OG0000192	genemark-proT_s140-processed-gene-4.135-mRNA-1_1&gene=genemark-proT_s140-processed-gene-4.135&CDS=1-1353	YMR177W, YPL224C
OG0000193	snap_masked-proT_s140-processed-gene-5.143-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-5.143&CDS=1-1839	YDL229W, YNL209W
OG0000194	snap_masked-proT_s140-processed-gene-6.8-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-6.8&CDS=1-561	YNL096C, YOR096W
OG0000195	snap_masked-proT_s140-processed-gene-6.45-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-6.45&CDS=1-1827, snap_masked-proT_s140-processed-gene-6.46-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-6.46&CDS=1-1788	YCR023C
OG0000196	snap_masked-proT_s140-processed-gene-6.29-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-6.29&CDS=1-1860	YBR238C, YGL107C
OG0000197	snap_masked-proT_s140-processed-gene-6.50-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-6.50&CDS=1-3504	YAL017W, YOL045W
OG0000198	augustus_masked-proT_s140-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-proT_s140-processed-gene-6.84&CDS=1-1218	YAL015C, YOL043C
OG0000199	maker-proT_s141-snap-gene-0.58-mRNA-1_1&gene=maker-proT_s141-snap-gene-0.58&CDS=1-1353	YCL011C, YNL004W
OG0000200	snap_masked-proT_s141-processed-gene-0.36-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-0.36&CDS=1-1011	YBR161W, YPL057C
OG0000201	snap_masked-proT_s141-processed-gene-0.43-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-0.43&CDS=1-1734, snap_masked-proT_s15-processed-gene-0.5-mRNA-1_1&gene=snap_masked-proT_s15-processed-gene-0.5&CDS=1-1773	YHR032W
OG0000202	maker-proT_s141-snap-gene-1.44-mRNA-1_1&gene=maker-proT_s141-snap-gene-1.44&CDS=1-2046	YEL039C, YJR048W
OG0000203	snap_masked-proT_s141-processed-gene-1.78-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-1.78&CDS=1-4776, snap_masked-proT_s3-processed-gene-4.102-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.102&CDS=1-4251	YGR281W
OG0000204	augustus_masked-proT_s141-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-proT_s141-processed-gene-1.32&CDS=1-390, snap_masked-proT_s19-processed-gene-1.149-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-1.149&CDS=1-1527	YDL003W
OG0000205	snap_masked-proT_s141-processed-gene-1.80-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-1.80&CDS=1-996	YCR073W-A, YNR034W
OG0000206	snap_masked-proT_s141-processed-gene-2.21-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-2.21&CDS=1-1617	YHL017W, YKL039W
OG0000207	snap_masked-proT_s141-processed-gene-2.12-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-2.12&CDS=1-1461	YDL161W, YLR206W
OG0000208	snap_masked-proT_s141-processed-gene-2.26-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-2.26&CDS=1-1392	YGR108W, YPR119W
OG0000209	snap_masked-proT_s145-processed-gene-0.95-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-0.95&CDS=1-852	YDR151C, YLR136C
OG0000210	maker-proT_s145-snap-gene-0.33-mRNA-1_1&gene=maker-proT_s145-snap-gene-0.33&CDS=1-2517	YHR203C, YJR145C
OG0000211	snap_masked-proT_s145-processed-gene-1.79-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-1.79&CDS=1-4257	YER132C, YGL197W
OG0000212	genemark-proT_s145-processed-gene-1.122-mRNA-1_1&gene=genemark-proT_s145-processed-gene-1.122&CDS=1-2436	YOR256C, YPL176C
OG0000213	snap_masked-proT_s145-processed-gene-1.71-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-1.71&CDS=1-1887, snap_masked-proT_s44-processed-gene-1.66-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-1.66&CDS=1-1659	YDL174C
OG0000214	snap_masked-proT_s145-processed-gene-2.80-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-2.80&CDS=1-1485	YBL056W, YER089C
OG0000215	augustus_masked-proT_s145-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-proT_s145-processed-gene-2.109&CDS=1-273	YER019C-A, YER087C-B
OG0000216	snap_masked-proT_s145-processed-gene-2.69-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-2.69&CDS=1-1656	YHR115C, YNL116W
OG0000217	snap_masked-proT_s145-processed-gene-2.70-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-2.70&CDS=1-456	YEL066W, YPR193C
OG0000218	snap_masked-proT_s145-processed-gene-3.16-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-3.16&CDS=1-2847	YAL056W, YOR371C
OG0000219	snap_masked-proT_s145-processed-gene-4.149-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-4.149&CDS=1-2796	YFR040W, YGL229C
OG0000220	snap_masked-proT_s145-processed-gene-4.155-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-4.155&CDS=1-1686	YCL043C, YDR518W
OG0000221	snap_masked-proT_s145-processed-gene-4.167-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-4.167&CDS=1-771	YDR099W, YER177W
OG0000222	augustus_masked-proT_s146-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-proT_s146-processed-gene-0.45&CDS=1-5262	YBR210W, YGL054C
OG0000223	snap_masked-proT_s15-processed-gene-0.6-mRNA-1_1&gene=snap_masked-proT_s15-processed-gene-0.6&CDS=1-1332	YMR199W, YPL256C
OG0000224	maker-proT_s15-augustus-gene-0.0-mRNA-1_1&gene=maker-proT_s15-augustus-gene-0.0&CDS=1-2964	YLR433C, YML057W
OG0000225	augustus_masked-proT_s15-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-proT_s15-processed-gene-0.67&CDS=1-1536	YBR241C, YGL104C
