	Saccharomyces_cerevisiae	yHAB134_Kazachstania_turicensis
OG0000064	YBR216C, YGL060W	snap_masked-scf7180000049477-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000049477-processed-gene-0.31&CDS=1-2049, snap_masked-scf7180000049522-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scf7180000049522-processed-gene-0.35&CDS=1-2043
OG0000065	YBR275C	augustus_masked-scf7180000048785-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000048785-processed-gene-0.2&CDS=1-651, augustus_masked-scf7180000049493-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.138&CDS=1-5601, snap_masked-scf7180000048886-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000048886-processed-gene-0.0&CDS=1-489
OG0000066	YCL011C, YNL004W	augustus_masked-scf7180000049521-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000049521-processed-gene-0.14&CDS=1-1353, maker-scf7180000049509-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000049509-snap-gene-0.0&CDS=1-1302
OG0000067	YCL057W	augustus_masked-scf7180000048661-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000048661-processed-gene-0.4&CDS=1-2247, augustus_masked-scf7180000048876-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000048876-processed-gene-0.12&CDS=1-2247, genemark-scf7180000048862-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000048862-processed-gene-0.2&CDS=1-2247
OG0000068	YCL063W	augustus_masked-scf7180000048722-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000048722-processed-gene-0.2&CDS=1-243, augustus_masked-scf7180000048846-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000048846-processed-gene-0.2&CDS=1-1470, augustus_masked-scf7180000049531-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049531-processed-gene-0.4&CDS=1-243
OG0000069	YCL066W, YCR040W	snap_masked-scf7180000049438-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000049438-processed-gene-0.7&CDS=1-525, snap_masked-scf7180000049531-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000049531-processed-gene-0.1&CDS=1-525
OG0000070	YCL068C, YCR038C	augustus_masked-scf7180000049054-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049054-processed-gene-0.1&CDS=1-399, augustus_masked-scf7180000049586-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-1.8&CDS=1-4137
OG0000071	YCR102C, YLR460C, YNL134C	augustus_masked-scf7180000049585-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.9&CDS=1-1179
OG0000072	YDL042C, YOL068C	augustus_masked-scf7180000049514-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000049514-processed-gene-0.97&CDS=1-5220, augustus_masked-scf7180000049582-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.34&CDS=1-2736
OG0000073	YDL111C	augustus_masked-scf7180000048739-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000048739-processed-gene-0.1&CDS=1-786, augustus_masked-scf7180000048742-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000048742-processed-gene-0.0&CDS=1-786, augustus_masked-scf7180000049572-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scf7180000049572-processed-gene-0.71&CDS=1-786
OG0000074	YDL138W, YDL194W	augustus_masked-scf7180000049585-processed-gene-5.180-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.180&CDS=1-2529, genemark-scf7180000049499-processed-gene-0.112-mRNA-1_1&gene=genemark-scf7180000049499-processed-gene-0.112&CDS=1-2640
OG0000075	YDL178W, YEL071W	augustus_masked-scf7180000049499-processed-gene-0.199-mRNA-1_1&gene=augustus_masked-scf7180000049499-processed-gene-0.199&CDS=1-1668, snap_masked-scf7180000049566-processed-gene-1.122-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-1.122&CDS=1-1509
OG0000076	YDL246C, YJR159W, YLR070C	genemark-scf7180000049559-processed-gene-0.51-mRNA-1_1&gene=genemark-scf7180000049559-processed-gene-0.51&CDS=1-1074
OG0000077	YDR038C, YDR039C, YDR040C	augustus_masked-scf7180000049582-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.45&CDS=1-3264
OG0000078	YDR065W	augustus_masked-scf7180000049563-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.29&CDS=1-1476, snap_masked-scf7180000049465-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scf7180000049465-processed-gene-0.24&CDS=1-1212, snap_masked-scf7180000049581-processed-gene-4.41-mRNA-1_1&gene=snap_masked-scf7180000049581-processed-gene-4.41&CDS=1-879
OG0000079	YDR135C, YLL015W	augustus_masked-scf7180000049555-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000049555-processed-gene-0.20&CDS=1-4230, augustus_masked-scf7180000049587-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-1.94&CDS=1-4590
OG0000080	YDR213W, YLR228C	maker-scf7180000049534-snap-gene-0.22-mRNA-1_1&gene=maker-scf7180000049534-snap-gene-0.22&CDS=1-1830, maker-scf7180000049588-snap-gene-4.0-mRNA-1_1&gene=maker-scf7180000049588-snap-gene-4.0&CDS=1-2136
OG0000081	YDR217C, YJR076C	augustus_masked-scf7180000049450-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000049450-processed-gene-0.31&CDS=1-1254, augustus_masked-scf7180000049588-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-4.81&CDS=1-5577
OG0000082	YDR247W, YPL026C	augustus_masked-scf7180000049538-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-1.100&CDS=1-1431, augustus_masked-scf7180000049576-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049576-processed-gene-0.25&CDS=1-1269
OG0000083	YDR263C, YOR033C	augustus_masked-scf7180000049568-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.189&CDS=1-2409, augustus_masked-scf7180000049583-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.119&CDS=1-1233
OG0000084	YDR312W, YHR066W	augustus_masked-scf7180000049510-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000049510-processed-gene-0.5&CDS=1-1485, genemark-scf7180000048735-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000048735-processed-gene-0.1&CDS=1-1152
OG0000085	YDR326C	maker-scf7180000049492-snap-gene-0.9-mRNA-1_1&gene=maker-scf7180000049492-snap-gene-0.9&CDS=1-4395, snap_masked-scf7180000048830-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000048830-processed-gene-0.2&CDS=1-591, snap_masked-scf7180000049585-processed-gene-2.42-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-2.42&CDS=1-3648
OG0000086	YDR406W, YOR153W	augustus_masked-scf7180000049571-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000049571-processed-gene-0.51&CDS=1-4470, maker-scf7180000049431-augustus-gene-0.16-mRNA-1_1&gene=maker-scf7180000049431-augustus-gene-0.16&CDS=1-4137
OG0000087	YDR409W, YOR156C	augustus_masked-scf7180000049590-processed-gene-3.170-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-3.170&CDS=1-2226, snap_masked-scf7180000049571-processed-gene-0.81-mRNA-1_1&gene=snap_masked-scf7180000049571-processed-gene-0.81&CDS=1-2559
OG0000088	YDR420W, YGR014W	augustus_masked-scf7180000049590-processed-gene-3.175-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-3.175&CDS=1-3456, snap_masked-scf7180000049588-processed-gene-2.91-mRNA-1_1&gene=snap_masked-scf7180000049588-processed-gene-2.91&CDS=1-2679
OG0000089	YDR459C	augustus_masked-scf7180000049538-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-0.87&CDS=1-6663, snap_masked-scf7180000049033-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000049033-processed-gene-0.1&CDS=1-258, snap_masked-scf7180000049044-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049044-processed-gene-0.0&CDS=1-258
OG0000090	YEL007W	augustus_masked-scf7180000049144-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049144-processed-gene-0.0&CDS=1-279, augustus_masked-scf7180000049439-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049439-processed-gene-0.9&CDS=1-2133, snap_masked-scf7180000049504-processed-gene-0.32-mRNA-1_1&gene=snap_masked-scf7180000049504-processed-gene-0.32&CDS=1-1938
OG0000091	YER017C, YMR089C	snap_masked-scf7180000049586-processed-gene-1.89-mRNA-1_1&gene=snap_masked-scf7180000049586-processed-gene-1.89&CDS=1-2310, snap_masked-scf7180000049588-processed-gene-4.28-mRNA-1_1&gene=snap_masked-scf7180000049588-processed-gene-4.28&CDS=1-2286
OG0000092	YER070W, YIL066C	augustus_masked-scf7180000049561-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000049561-processed-gene-0.30&CDS=1-2691, augustus_masked-scf7180000049585-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.142&CDS=1-2559
OG0000093	YER073W, YOR374W	augustus_masked-scf7180000049520-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000049520-processed-gene-0.70&CDS=1-1770, maker-scf7180000049561-augustus-gene-0.20-mRNA-1_1&gene=maker-scf7180000049561-augustus-gene-0.20&CDS=1-1926
OG0000094	YER111C	augustus_masked-scf7180000048820-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000048820-processed-gene-0.0&CDS=1-585, augustus_masked-scf7180000049491-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.54&CDS=1-3222, augustus_masked-scf7180000049532-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000049532-processed-gene-0.15&CDS=1-2961
OG0000095	YER129W, YGL179C	augustus_masked-scf7180000049581-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-3.44&CDS=1-4179, augustus_masked-scf7180000049585-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-0.40&CDS=1-2058
OG0000096	YER176W, YER177W	augustus_masked-scf7180000049536-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scf7180000049536-processed-gene-0.98&CDS=1-4338, augustus_masked-scf7180000049587-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-1.59&CDS=1-774
OG0000097	YER183C	augustus_masked-scf7180000048717-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000048717-processed-gene-0.0&CDS=1-678, augustus_masked-scf7180000048991-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000048991-processed-gene-0.4&CDS=1-678, snap_masked-scf7180000049415-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000049415-processed-gene-0.3&CDS=1-678
OG0000098	YFL042C, YLR072W	augustus_masked-scf7180000049559-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049559-processed-gene-0.23&CDS=1-2238, snap_masked-scf7180000049566-processed-gene-2.13-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-2.13&CDS=1-2148
OG0000099	YFL059W, YMR096W, YNL333W	augustus_masked-scf7180000049467-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049467-processed-gene-0.12&CDS=1-876
OG0000100	YFL060C, YMR095C, YNL334C	maker-scf7180000049467-augustus-gene-0.39-mRNA-1_1&gene=maker-scf7180000049467-augustus-gene-0.39&CDS=1-1455
OG0000101	YFR039C, YGL228W	augustus_masked-scf7180000049557-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-scf7180000049557-processed-gene-1.118&CDS=1-1437, snap_masked-scf7180000049556-processed-gene-0.56-mRNA-1_1&gene=snap_masked-scf7180000049556-processed-gene-0.56&CDS=1-1752
OG0000102	YFR057W, YLR098C	augustus_masked-scf7180000049536-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000049536-processed-gene-0.69&CDS=1-1977, snap_masked-scf7180000049431-processed-gene-0.32-mRNA-1_1&gene=snap_masked-scf7180000049431-processed-gene-0.32&CDS=1-1800
OG0000103	YGL008C, YPL036W	augustus_masked-scf7180000049588-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-2.10&CDS=1-2727, maker-scf7180000049569-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000049569-augustus-gene-0.3&CDS=1-2754
OG0000104	YGL071W, YPL202C	genemark-scf7180000049590-processed-gene-2.89-mRNA-1_1&gene=genemark-scf7180000049590-processed-gene-2.89&CDS=1-1473, snap_masked-scf7180000049564-processed-gene-0.171-mRNA-1_1&gene=snap_masked-scf7180000049564-processed-gene-0.171&CDS=1-1896
OG0000105	YGL134W, YPL219W	augustus_masked-scf7180000049564-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049564-processed-gene-0.4&CDS=1-1365, augustus_masked-scf7180000049590-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-2.73&CDS=1-1389
OG0000106	YGR004W, YLR324W	augustus_masked-scf7180000049579-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000049579-processed-gene-0.41&CDS=1-1611, augustus_masked-scf7180000049588-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-1.42&CDS=1-1584
OG0000107	YGR008C, YLR327C	augustus_masked-scf7180000049579-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scf7180000049579-processed-gene-0.60&CDS=1-273, augustus_masked-scf7180000049588-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-1.25&CDS=1-264
OG0000108	YGR027C, YLR333C	augustus_masked-scf7180000049517-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049517-processed-gene-0.4&CDS=1-321, augustus_masked-scf7180000049555-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049555-processed-gene-0.23&CDS=1-321
OG0000109	YGR056W, YLR357W	augustus_masked-scf7180000049557-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000049557-processed-gene-0.43&CDS=1-3144, genemark-scf7180000049515-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000049515-processed-gene-0.30&CDS=1-2766
OG0000110	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	
OG0000111	YGR118W, YPR132W	augustus_masked-scf7180000049579-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-scf7180000049579-processed-gene-1.167&CDS=1-435, snap_masked-scf7180000049453-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scf7180000049453-processed-gene-0.15&CDS=1-435
OG0000112	YGR179C	augustus_masked-scf7180000048935-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000048935-processed-gene-0.1&CDS=1-456, augustus_masked-scf7180000049587-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-0.77&CDS=1-1146, snap_masked-scf7180000048953-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000048953-processed-gene-0.0&CDS=1-348
OG0000113	YGR188C, YJL013C	augustus_masked-scf7180000049590-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.125&CDS=1-2619, snap_masked-scf7180000049585-processed-gene-1.121-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-1.121&CDS=1-840
OG0000114	YGR192C, YJR009C	augustus_masked-scf7180000049533-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049533-processed-gene-0.12&CDS=1-993, augustus_masked-scf7180000049566-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000049566-processed-gene-0.82&CDS=1-990
OG0000115	YGR197C, YJR015W	augustus_masked-scf7180000049560-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049560-processed-gene-0.3&CDS=1-1461, maker-scf7180000049502-snap-gene-0.143-mRNA-1_1&gene=maker-scf7180000049502-snap-gene-0.143&CDS=1-3858
OG0000116	YGR254W, YHR174W	augustus_masked-scf7180000049561-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000049561-processed-gene-0.40&CDS=1-1311, genemark-scf7180000049581-processed-gene-0.81-mRNA-1_1&gene=genemark-scf7180000049581-processed-gene-0.81&CDS=1-1272
OG0000117	YGR276C	augustus_masked-scf7180000048813-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000048813-processed-gene-0.0&CDS=1-699, augustus_masked-scf7180000049530-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-scf7180000049530-processed-gene-1.85&CDS=1-2007, genemark-scf7180000048805-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000048805-processed-gene-0.0&CDS=1-663
OG0000118	YHL001W, YKL006W	maker-scf7180000049448-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000049448-augustus-gene-0.3&CDS=1-414, maker-scf7180000049454-augustus-gene-0.36-mRNA-1_1&gene=maker-scf7180000049454-augustus-gene-0.36&CDS=1-414
OG0000119	YHR139C, YNL160W	augustus_masked-scf7180000049569-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.47&CDS=1-1086, maker-scf7180000049501-snap-gene-0.106-mRNA-1_1&gene=maker-scf7180000049501-snap-gene-0.106&CDS=1-1083
OG0000120	YHR141C, YNL162W	augustus_masked-scf7180000049501-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000049501-processed-gene-0.35&CDS=1-318, maker-scf7180000049569-augustus-gene-0.5-mRNA-1_1&gene=maker-scf7180000049569-augustus-gene-0.5&CDS=1-318
OG0000121	YHR208W	augustus_masked-scf7180000048717-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000048717-processed-gene-0.2&CDS=1-1173, augustus_masked-scf7180000048991-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000048991-processed-gene-0.6&CDS=1-1173, augustus_masked-scf7180000049415-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000049415-processed-gene-0.6&CDS=1-1173
OG0000122	YIL013C, YOR011W	augustus_masked-scf7180000049504-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000049504-processed-gene-0.22&CDS=1-4362, augustus_masked-scf7180000049538-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-1.106&CDS=1-4179
OG0000123	YIL120W, YIL121W	augustus_masked-scf7180000049523-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scf7180000049523-processed-gene-0.94&CDS=1-1755, snap_masked-scf7180000049549-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000049549-processed-gene-0.27&CDS=1-1833
OG0000124	YIL126W, YOR290C	augustus_masked-scf7180000049577-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000049577-processed-gene-0.69&CDS=1-5352, augustus_masked-scf7180000049586-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.58&CDS=1-4071
OG0000125	YIR031C, YNL117W	augustus_masked-scf7180000049430-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049430-processed-gene-0.4&CDS=1-2304, augustus_masked-scf7180000049431-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049431-processed-gene-0.27&CDS=1-1665
OG0000126	YJL085W	augustus_masked-scf7180000048802-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000048802-processed-gene-0.0&CDS=1-696, augustus_masked-scf7180000049332-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000049332-processed-gene-0.5&CDS=1-1281, snap_masked-scf7180000048807-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000048807-processed-gene-0.5&CDS=1-1323
OG0000127	YJL088W	augustus_masked-scf7180000048787-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000048787-processed-gene-0.1&CDS=1-987, augustus_masked-scf7180000048788-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000048788-processed-gene-0.6&CDS=1-987, augustus_masked-scf7180000049345-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049345-processed-gene-0.3&CDS=1-987
OG0000128	YJL089W	augustus_masked-scf7180000048787-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000048787-processed-gene-0.0&CDS=1-3021, augustus_masked-scf7180000048788-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000048788-processed-gene-0.7&CDS=1-3021, augustus_masked-scf7180000049345-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049345-processed-gene-0.4&CDS=1-3021
OG0000129	YJL090C	augustus_masked-scf7180000049345-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049345-processed-gene-0.1&CDS=1-2412, snap_masked-scf7180000048787-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000048787-processed-gene-0.10&CDS=1-357, snap_masked-scf7180000048788-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000048788-processed-gene-0.9&CDS=1-357
OG0000130	YJL190C, YLR367W	augustus_masked-scf7180000049525-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-scf7180000049525-processed-gene-0.145&CDS=1-390, maker-scf7180000049515-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000049515-augustus-gene-0.0&CDS=1-390
OG0000131	YJR059W, YKL198C	augustus_masked-scf7180000049450-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000049450-processed-gene-0.51&CDS=1-2163, snap_masked-scf7180000049460-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scf7180000049460-processed-gene-0.38&CDS=1-2991
