	Candida_carpophila	Saccharomyces_cerevisiae
OG0000056	-processed-gene-0.67-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.67&CDS=1-1746, -processed-gene-12.83-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-12.83&CDS=1-2289	YER075C, YOR208W
OG0000057	-processed-gene-0.280-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.280&CDS=1-1995, -processed-gene-2.139-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-2.139&CDS=1-2850	YDR314C, YER162C
OG0000058	-processed-gene-0.298-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.298&CDS=1-519, -processed-gene-7.17-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-7.17&CDS=1-1038	YLR109W, YOL114C
OG0000059	-augustus-gene-12.229-mRNA-1_1&gene=maker-gi|1002316126|dbj|BCGK01000004.1|-augustus-gene-12.229&CDS=1-5514, -augustus-gene-12.58-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-augustus-gene-12.58&CDS=1-7263, -processed-gene-0.78-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.78&CDS=1-3798	YKL215C
OG0000060	-processed-gene-2.61-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.61&CDS=1-909, -processed-gene-3.35-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.35&CDS=1-2418	YDR368W, YOR120W
OG0000061	-processed-gene-0.139-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-0.139&CDS=1-1077, -processed-gene-2.77-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.77&CDS=1-1092	YCR105W, YMR318C
OG0000062	-processed-gene-1.97-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-1.97&CDS=1-2694, -processed-gene-2.109-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-2.109&CDS=1-1983, -processed-gene-2.26-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.26&CDS=1-2901, -processed-gene-6.118-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.118&CDS=1-2124	
OG0000063	-augustus-gene-16.8-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-augustus-gene-16.8&CDS=1-5547, -processed-gene-4.101-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.101&CDS=1-4539, -processed-gene-9.114-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.114&CDS=1-4482	YOR153W
OG0000064	-processed-gene-5.119-mRNA-1_1&gene=snap_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-5.119&CDS=1-1755, -processed-gene-6.40-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.40&CDS=1-2178, -processed-gene-7.132-mRNA-1_1&gene=augustus_masked-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-7.132&CDS=1-1899	YMR019W
OG0000065	-augustus-gene-11.8-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-augustus-gene-11.8&CDS=1-6729, -processed-gene-6.171-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.171&CDS=1-2409	YER070W, YIL066C
OG0000066	-augustus-gene-6.61-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-6.61&CDS=1-3384, -processed-gene-1.1-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-1.1&CDS=1-2973	YBR084W, YGR204W
OG0000067	-processed-gene-0.76-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.76&CDS=1-390, -processed-gene-13.97-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-13.97&CDS=1-390	YJL190C, YLR367W
OG0000068	-processed-gene-0.141-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-0.141&CDS=1-1293, -processed-gene-2.26-mRNA-1_1&gene=snap_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-2.26&CDS=1-1368	YDR463W, YHR006W
OG0000069	-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-3.61&CDS=1-2481, -processed-gene-8.122-mRNA-1_1&gene=snap_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-8.122&CDS=1-2928	YOR018W, YPL094C
OG0000070	-processed-gene-0.71-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-0.71&CDS=1-1275, -processed-gene-1.36-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-1.36&CDS=1-1797, -processed-gene-4.67-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-4.67&CDS=1-2889	YLL028W
OG0000071	-processed-gene-13.67-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-13.67&CDS=1-2268, -snap-gene-4.59-mRNA-1_1&gene=maker-gi|1002316123|dbj|BCGK01000007.1|-snap-gene-4.59&CDS=1-3060	YLR188W, YPL270W
OG0000072	-processed-gene-4.35-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-4.35&CDS=1-2514, -processed-gene-5.108-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-5.108&CDS=1-2307	YAR035W, YER024W
OG0000073	-processed-gene-11.88-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-11.88&CDS=1-2151, -processed-gene-6.104-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.104&CDS=1-1185, -processed-gene-7.163-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-7.163&CDS=1-1437	YDL170W
OG0000074	-processed-gene-1.29-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-1.29&CDS=1-1689, -processed-gene-6.105-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.105&CDS=1-1893	YDR380W, YLR044C
OG0000075	-processed-gene-4.35-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-4.35&CDS=1-2952, -processed-gene-6.39-mRNA-1_1&gene=augustus_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.39&CDS=1-2856	YGR240C, YMR205C
OG0000076	-processed-gene-4.76-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.76&CDS=1-1356, -processed-gene-6.114-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.114&CDS=1-4446	YGL194C, YOR346W
OG0000077	-processed-gene-0.32-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.32&CDS=1-996, -processed-gene-6.100-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.100&CDS=1-1023, -processed-gene-6.48-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-6.48&CDS=1-1062	YDL144C
OG0000078	-processed-gene-1.46-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-1.46&CDS=1-309, -processed-gene-13.126-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-13.126&CDS=1-309	YBR009C, YNL030W
OG0000079	-processed-gene-1.22-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-1.22&CDS=1-408, -processed-gene-13.151-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-13.151&CDS=1-408	YBR010W, YNL031C
OG0000080	-processed-gene-1.49-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-1.49&CDS=1-2004, -processed-gene-6.50-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-6.50&CDS=1-2010	YAL054C, YLR153C
OG0000081	-processed-gene-11.62-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-11.62&CDS=1-936, -processed-gene-2.110-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-2.110&CDS=1-1170	YDL216C, YFR004W
OG0000082	-processed-gene-3.124-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-3.124&CDS=1-1155, -processed-gene-8.123-mRNA-1_1&gene=augustus_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-8.123&CDS=1-2430, -processed-gene-8.77-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-8.77&CDS=1-1233	YGR263C
OG0000083	-processed-gene-4.62-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-4.62&CDS=1-1374, -processed-gene-8.28-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-8.28&CDS=1-1341	YKL046C, YMR238W
OG0000084	-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-6.98&CDS=1-591, -snap-gene-5.164-mRNA-1_1&gene=maker-gi|1002316124|dbj|BCGK01000006.1|-snap-gene-5.164&CDS=1-1599	YHR146W, YNL173C
OG0000085	-processed-gene-5.65-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-5.65&CDS=1-1626, -processed-gene-7.193-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-7.193&CDS=1-1650	YBR139W, YMR297W
OG0000086	-processed-gene-15.10-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-15.10&CDS=1-1515, -processed-gene-5.74-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-5.74&CDS=1-1614	YGL003C, YGL116W
OG0000087	-processed-gene-0.102-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-0.102&CDS=1-2145, -processed-gene-0.12-mRNA-1_1&gene=snap_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-0.12&CDS=1-2385, -processed-gene-11.54-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-11.54&CDS=1-3252	YPR022C
OG0000088	-processed-gene-0.33-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-0.33&CDS=1-876, -processed-gene-4.86-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.86&CDS=1-915	YER185W, YGR213C
OG0000089	-processed-gene-2.116-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-2.116&CDS=1-5853, -processed-gene-7.68-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-7.68&CDS=1-4683	YHR023W, YOR326W
OG0000090	-augustus-gene-2.47-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-augustus-gene-2.47&CDS=1-2970, -processed-gene-13.139-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-13.139&CDS=1-1419	YJL044C, YNL026W
OG0000091	-processed-gene-10.20-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-10.20&CDS=1-387, -processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.92&CDS=1-387	YBL002W, YDR224C
OG0000092	-processed-gene-10.49-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-10.49&CDS=1-390, -processed-gene-3.70-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.70&CDS=1-390	YBL003C, YDR225W
OG0000093	-processed-gene-4.56-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.56&CDS=1-2241, -processed-gene-7.161-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-7.161&CDS=1-1368	YER130C, YKL062W
OG0000094	-processed-gene-4.59-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.59&CDS=1-1188, -processed-gene-6.168-mRNA-1_1&gene=snap_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-6.168&CDS=1-1707	YER133W, YML016C
OG0000095	-processed-gene-5.118-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.118&CDS=1-1194, -processed-gene-6.41-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.41&CDS=1-1158	YJL116C, YNL066W
OG0000096	-processed-gene-0.56-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-0.56&CDS=1-2544, -processed-gene-7.109-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-7.109&CDS=1-4746, -snap-gene-6.1-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-snap-gene-6.1&CDS=1-5385	YPR194C
OG0000097	-processed-gene-7.44-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.44&CDS=1-1311, -processed-gene-9.150-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-9.150&CDS=1-1227	YDL066W, YLR174W
OG0000098	-processed-gene-1.48-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-1.48&CDS=1-966, -processed-gene-7.68-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.68&CDS=1-966, -processed-gene-7.69-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.69&CDS=1-1002	YJR019C
OG0000099	-processed-gene-10.156-mRNA-1_1&gene=snap_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-10.156&CDS=1-1623, -processed-gene-7.75-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.75&CDS=1-2157	YLR361C, YOR137C
OG0000100	-processed-gene-5.52-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-5.52&CDS=1-930, -processed-gene-8.3-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.3&CDS=1-1743	YDR313C, YGL023C
OG0000101	-processed-gene-10.169-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-10.169&CDS=1-1695	YGR154C, YKR076W, YMR251W
OG0000102	-augustus-gene-3.16-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-3.16&CDS=1-2433, -processed-gene-10.37-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-10.37&CDS=1-1998	YIL095W, YNL020C
OG0000103	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-1.70&CDS=1-4944, -processed-gene-7.17-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-7.17&CDS=1-3672	YIL126W, YOR290C
OG0000104	-processed-gene-3.142-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-3.142&CDS=1-10737, -processed-gene-8.85-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-8.85&CDS=1-7611	YGR100W, YLR454W
OG0000105	-augustus-gene-6.111-mRNA-1_1&gene=maker-gi|1002316126|dbj|BCGK01000004.1|-augustus-gene-6.111&CDS=1-1821, -processed-gene-1.113-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-1.113&CDS=1-954	YER175C, YHR209W
OG0000106	-processed-gene-3.170-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-3.170&CDS=1-2667, -processed-gene-7.49-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-7.49&CDS=1-2439	YBR073W, YGL163C
OG0000107	-augustus-gene-7.151-mRNA-1_1&gene=maker-gi|1002316126|dbj|BCGK01000004.1|-augustus-gene-7.151&CDS=1-3084, -processed-gene-14.150-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-14.150&CDS=1-1641	YCR028C, YDR242W
OG0000108	-processed-gene-9.158-mRNA-1_1&gene=augustus_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-9.158&CDS=1-945	YLL062C, YMR321C, YPL273W
OG0000109	-processed-gene-10.154-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-10.154&CDS=1-768, -processed-gene-13.35-mRNA-1_1&gene=augustus_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-13.35&CDS=1-1104	YCR010C, YNR002C
OG0000110	-processed-gene-1.8-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-1.8&CDS=1-759, -processed-gene-6.121-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-6.121&CDS=1-759	YER062C, YIL053W
OG0000111	-processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-2.23&CDS=1-2322, -processed-gene-6.105-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-6.105&CDS=1-1263	YGR052W, YHR082C
OG0000112	-processed-gene-14.83-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-14.83&CDS=1-1044, -processed-gene-7.4-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-7.4&CDS=1-1044	YBR175W, YMR146C
OG0000113	-processed-gene-14.144-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-14.144&CDS=1-1233, -processed-gene-7.1-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-7.1&CDS=1-1095	YOR334W, YPL060W
OG0000114	-processed-gene-8.52-mRNA-1_1&gene=augustus_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-8.52&CDS=1-5529	YBL042C, YBR021W, YIR028W
OG0000115	-processed-gene-7.111-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-7.111&CDS=1-1608, -processed-gene-8.11-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-8.11&CDS=1-1521	YLR034C, YOL122C
OG0000116	-processed-gene-8.31-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-8.31&CDS=1-1869, -processed-gene-8.78-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-8.78&CDS=1-1314	YHL019C, YPL259C
OG0000117	-processed-gene-8.20-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-8.20&CDS=1-3258	YDR038C, YDR039C, YDR040C
OG0000118	-processed-gene-12.72-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-12.72&CDS=1-2364, -processed-gene-9.130-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-9.130&CDS=1-3114	YDR466W, YDR490C
OG0000119	-processed-gene-10.11-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-10.11&CDS=1-2979, -processed-gene-10.114-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-10.114&CDS=1-2394	YHL007C, YNL298W
OG0000120	-processed-gene-15.65-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.65&CDS=1-1752, -processed-gene-4.50-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-4.50&CDS=1-1659, -snap-gene-12.53-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-snap-gene-12.53&CDS=1-2751	YDL174C
OG0000121	-processed-gene-11.106-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-11.106&CDS=1-1440, -processed-gene-13.5-mRNA-1_1&gene=augustus_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-13.5&CDS=1-6132	YBR241C, YOR005C
OG0000122	-processed-gene-14.64-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-14.64&CDS=1-909, -processed-gene-16.99-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-16.99&CDS=1-921	YGR086C, YPL004C
OG0000123	-processed-gene-1.73-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.73&CDS=1-543, -processed-gene-15.14-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.14&CDS=1-543	YDL137W, YDL192W
OG0000124	-augustus-gene-15.170-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-augustus-gene-15.170&CDS=1-963, -processed-gene-17.77-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-17.77&CDS=1-1185	YHL033C, YLL045C
OG0000125	-processed-gene-1.79-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.79&CDS=1-2337, -processed-gene-7.103-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-7.103&CDS=1-6639	YJL200C, YLR304C
OG0000126	-processed-gene-17.127-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-17.127&CDS=1-1323, -processed-gene-5.124-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.124&CDS=1-1221	YLR090W, YNL064C
OG0000127	-processed-gene-15.84-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-15.84&CDS=1-2322, -processed-gene-6.112-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-6.112&CDS=1-1323	YHR002W, YHR124W
OG0000128	-processed-gene-18.88-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-18.88&CDS=1-2001, -processed-gene-7.76-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-7.76&CDS=1-1356	YBR212W, YHR086W
OG0000129	-augustus-gene-18.9-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-18.9&CDS=1-5388, -processed-gene-13.85-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-13.85&CDS=1-1296, -processed-gene-8.149-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-8.149&CDS=1-1425	YOR049C
OG0000130	-processed-gene-12.125-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-12.125&CDS=1-1515, -processed-gene-2.127-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-2.127&CDS=1-1452	YGR197C, YJR015W
OG0000131	-processed-gene-12.99-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-12.99&CDS=1-2331, -processed-gene-2.14-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-2.14&CDS=1-2697	YAL023C, YGR199W
OG0000132	-processed-gene-15.64-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-15.64&CDS=1-1665	YBL068W-A, YBL069W, YER101C
OG0000133	-processed-gene-1.112-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-1.112&CDS=1-2916, -processed-gene-2.132-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-2.132&CDS=1-1272	YMR280C, YNR063W
OG0000134	-processed-gene-12.149-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-12.149&CDS=1-1656	YDR144C, YLR120C, YLR121C
OG0000135		YAR066W, YHR214W, YIL169C, YOL155C
OG0000136		YKL222C, YLR266C, YOR162C, YOR172W
OG0000137	-processed-gene-0.256-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.256&CDS=1-1686, -processed-gene-5.44-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-5.44&CDS=1-1680	YOR348C
OG0000138	-processed-gene-0.274-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.274&CDS=1-1182	YDL088C, YMR153W
OG0000139	-processed-gene-0.281-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.281&CDS=1-1329, -processed-gene-5.153-mRNA-1_1&gene=snap_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-5.153&CDS=1-1329	YNL280C
OG0000140	-processed-gene-0.285-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.285&CDS=1-1155, -processed-gene-4.94-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.94&CDS=1-1536	YAL060W
OG0000141	-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.152&CDS=1-2319, -processed-gene-1.67-mRNA-1_1&gene=augustus_masked-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-1.67&CDS=1-4647	YIL047C
OG0000142	-processed-gene-0.103-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.103&CDS=1-1569, -processed-gene-14.125-mRNA-1_1&gene=augustus_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-14.125&CDS=1-2181	YMR145C
OG0000143	-processed-gene-0.76-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.76&CDS=1-1488, -processed-gene-9.70-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-9.70&CDS=1-1722	YCR023C
