	Metschnikowia_drakensbergensis	Saccharomyces_cerevisiae
OG0000062	augustus_masked-draA_s17-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-4.27&CDS=1-1002, augustus_masked-draA_s17-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-5.87&CDS=1-993, augustus_masked-draA_s79-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-3.95&CDS=1-1026	YDL078C, YKL085W
OG0000063	augustus_masked-draA_s39-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-0.45&CDS=1-1260, augustus_masked-draA_s82-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-draA_s82-processed-gene-0.84&CDS=1-1272, snap_masked-draA_s17-processed-gene-5.19-mRNA-1_1&gene=snap_masked-draA_s17-processed-gene-5.19&CDS=1-1194	YKL106W, YLR027C
OG0000064	augustus_masked-draA_s2-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-draA_s2-processed-gene-0.51&CDS=1-2319, augustus_masked-draA_s39-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-2.88&CDS=1-2253	YAL053W, YGL139W, YPL221W
OG0000065	augustus_masked-draA_s27-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.106&CDS=1-1311, augustus_masked-draA_s79-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-0.33&CDS=1-1353, genemark-draA_s79-processed-gene-0.100-mRNA-1_1&gene=genemark-draA_s79-processed-gene-0.100&CDS=1-1338	YDR463W, YHR006W
OG0000066	augustus_masked-draA_s65-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-draA_s65-processed-gene-0.84&CDS=1-1788, augustus_masked-draA_s79-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-6.46&CDS=1-1569, snap_masked-draA_s28-processed-gene-0.24-mRNA-1_1&gene=snap_masked-draA_s28-processed-gene-0.24&CDS=1-1137	YBR062C, YDR143C
OG0000067	augustus_masked-draA_s28-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.51&CDS=1-1251, augustus_masked-draA_s86-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-4.57&CDS=1-1146, snap_masked-draA_s37-processed-gene-1.147-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-1.147&CDS=1-3228	YHR016C, YJL020C
OG0000068	augustus_masked-draA_s35-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.132&CDS=1-954, augustus_masked-draA_s86-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-1.106&CDS=1-915	YDR368W, YJR096W, YOR120W
OG0000069	augustus_masked-draA_s35-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.139&CDS=1-3069, maker-draA_s91-augustus-gene-3.177-mRNA-1_1&gene=maker-draA_s91-augustus-gene-3.177&CDS=1-3963	YIL002C, YNL106C, YOR109W
OG0000070	augustus_masked-draA_s35-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.144&CDS=1-2490, augustus_masked-draA_s79-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-5.137&CDS=1-2814	YCR037C, YJL198W, YNR013C
OG0000071	augustus_masked-draA_s53-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-0.92&CDS=1-1653, augustus_masked-draA_s86-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-2.87&CDS=1-1527, maker-draA_s39-snap-gene-0.87-mRNA-1_1&gene=maker-draA_s39-snap-gene-0.87&CDS=1-1209	YER133W, YML016C
OG0000072	augustus_masked-draA_s39-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-1.68&CDS=1-1116, maker-draA_s79-augustus-gene-3.105-mRNA-1_1&gene=maker-draA_s79-augustus-gene-3.105&CDS=1-4296	YDL079C, YMR139W, YNL307C
OG0000073	augustus_masked-draA_s44-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-2.111&CDS=1-3507, augustus_masked-draA_s71-processed-gene-1.209-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.209&CDS=1-1779	YJR127C, YKL062W, YML081W
OG0000074	augustus_masked-draA_s44-processed-gene-4.134-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-4.134&CDS=1-1191, augustus_masked-draA_s9-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-3.94&CDS=1-1278	YCR094W, YNL323W, YNR048W
OG0000075	augustus_masked-draA_s53-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-1.42&CDS=1-1128, augustus_masked-draA_s57-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-4.102&CDS=1-1386, augustus_masked-draA_s70-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.167&CDS=1-1257	YFL039C, YPR034W
OG0000076	augustus_masked-draA_s86-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-4.64&CDS=1-999, snap_masked-draA_s57-processed-gene-2.34-mRNA-1_1&gene=snap_masked-draA_s57-processed-gene-2.34&CDS=1-1485	YBL056W, YBR125C, YER089C
OG0000077	maker-draA_s57-snap-gene-2.104-mRNA-1_1&gene=maker-draA_s57-snap-gene-2.104&CDS=1-1593	YBR297W, YFL052W, YGR288W, YPR196W
OG0000078	augustus_masked-draA_s65-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-draA_s65-processed-gene-0.118&CDS=1-4419, augustus_masked-draA_s9-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-0.101&CDS=1-3030	YBL060W, YEL022W, YJR031C
OG0000079	augustus_masked-draA_s71-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.186&CDS=1-2676	YML111W, YMR275C, YNR068C, YNR069C
OG0000080	augustus_masked-draA_s71-processed-gene-1.220-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.220&CDS=1-1431, augustus_masked-draA_s98-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-0.134&CDS=1-1449	YCL040W, YDR516C, YGL253W
OG0000081	maker-draA_s74-augustus-gene-0.2-mRNA-1_1&gene=maker-draA_s74-augustus-gene-0.2&CDS=1-4668, snap_masked-draA_s79-processed-gene-9.107-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-9.107&CDS=1-3540	YML072C, YNL087W, YOR086C
OG0000082	augustus_masked-draA_s98-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.75&CDS=1-3564, snap_masked-draA_s74-processed-gene-2.114-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-2.114&CDS=1-3597	YJL042W, YOR227W, YPL137C
OG0000083	augustus_masked-draA_s79-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-7.5&CDS=1-1170, augustus_masked-draA_s86-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-3.75&CDS=1-1410, augustus_masked-draA_s91-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-0.58&CDS=1-1665	YCR045C, YEL060C
OG0000084		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000085	augustus_masked-draA_C10371-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-draA_C10371-processed-gene-0.17&CDS=1-1356, augustus_masked-draA_s79-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-0.39&CDS=1-3084	YOL087C, YOR272W
OG0000086	augustus_masked-draA_C8435-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-draA_C8435-processed-gene-0.2&CDS=1-267, augustus_masked-draA_s17-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-6.133&CDS=1-1146, snap_masked-draA_s30-processed-gene-0.0-mRNA-1_1&gene=snap_masked-draA_s30-processed-gene-0.0&CDS=1-786	YOR296W
OG0000087	augustus_masked-draA_s100-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.11&CDS=1-6399, augustus_masked-draA_s17-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-6.85&CDS=1-5490	YJL095W, YLR362W
OG0000088	augustus_masked-draA_s57-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-4.129&CDS=1-1305, maker-draA_s100-augustus-gene-1.47-mRNA-1_1&gene=maker-draA_s100-augustus-gene-1.47&CDS=1-4218, snap_masked-draA_s64-processed-gene-0.3-mRNA-1_1&gene=snap_masked-draA_s64-processed-gene-0.3&CDS=1-1965	YLR380W
OG0000089	augustus_masked-draA_s100-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.63&CDS=1-1743, snap_masked-draA_s9-processed-gene-2.93-mRNA-1_1&gene=snap_masked-draA_s9-processed-gene-2.93&CDS=1-1191	YBR025C, YHL014C
OG0000090	augustus_masked-draA_s57-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-0.53&CDS=1-2316, snap_masked-draA_s100-processed-gene-1.33-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-1.33&CDS=1-1785	YDL025C, YNL183C
OG0000091	augustus_masked-draA_s100-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.71&CDS=1-1323, augustus_masked-draA_s71-processed-gene-1.177-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.177&CDS=1-1332	YOL062C, YPL259C
OG0000092	augustus_masked-draA_s100-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.72&CDS=1-1170, augustus_masked-draA_s86-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-3.55&CDS=1-957	YHL011C, YOL061W
OG0000093	augustus_masked-draA_s100-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.13&CDS=1-1362, augustus_masked-draA_s79-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-4.101&CDS=1-2901	YIL107C, YJL155C
OG0000094	augustus_masked-draA_s100-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.36&CDS=1-639, augustus_masked-draA_s104-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-draA_s104-processed-gene-0.30&CDS=1-636	YKR014C, YOR089C
OG0000095	augustus_masked-draA_s100-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.5&CDS=1-2121, augustus_masked-draA_s15-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-0.85&CDS=1-2109, augustus_masked-draA_s17-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-5.82&CDS=1-2130, augustus_masked-draA_s98-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-0.116&CDS=1-2175	
OG0000096	snap_masked-draA_s103-processed-gene-0.2-mRNA-1_1&gene=snap_masked-draA_s103-processed-gene-0.2&CDS=1-1689	YDR144C, YLR120C, YLR121C
OG0000097	augustus_masked-draA_s103-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.122&CDS=1-309, augustus_masked-draA_s44-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-3.7&CDS=1-309	YBR009C, YNL030W
OG0000098	augustus_masked-draA_s82-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-draA_s82-processed-gene-0.101&CDS=1-3477, snap_masked-draA_s103-processed-gene-2.36-mRNA-1_1&gene=snap_masked-draA_s103-processed-gene-2.36&CDS=1-6621	YJL130C, YJR109C
OG0000099	augustus_masked-draA_s103-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.130&CDS=1-675, augustus_masked-draA_s79-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-5.102&CDS=1-3393	YBL064C, YBL066C
OG0000100	augustus_masked-draA_s103-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.149&CDS=1-1482, augustus_masked-draA_s110-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-1.162&CDS=1-2274	YGR052W, YHR082C
OG0000101	augustus_masked-draA_s103-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.153&CDS=1-741, snap_masked-draA_s79-processed-gene-5.1-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-5.1&CDS=1-702	YGR152C, YOR101W
OG0000102	augustus_masked-draA_s103-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-3.117&CDS=1-1347, maker-draA_s110-augustus-gene-0.88-mRNA-1_1&gene=maker-draA_s110-augustus-gene-0.88&CDS=1-2595	YIL078W, YKL194C
OG0000103	augustus_masked-draA_s103-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-3.143&CDS=1-2628, maker-draA_s57-augustus-gene-1.144-mRNA-1_1&gene=maker-draA_s57-augustus-gene-1.144&CDS=1-3426	YBR114W, YOR191W
OG0000104	augustus_masked-draA_s103-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-3.130&CDS=1-2064, augustus_masked-draA_s44-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-2.82&CDS=1-1512	YKL088W, YKR072C
OG0000105	augustus_masked-draA_s103-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-4.47&CDS=1-6180, augustus_masked-draA_s110-processed-gene-2.169-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-2.169&CDS=1-5781	YER172C, YGR271W
OG0000106	augustus_masked-draA_s104-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-draA_s104-processed-gene-0.38&CDS=1-1692, augustus_masked-draA_s15-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-2.6&CDS=1-1644	YEL063C, YOR348C
OG0000107	augustus_masked-draA_s105-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-draA_s105-processed-gene-0.0&CDS=1-1080, snap_masked-draA_s15-processed-gene-4.96-mRNA-1_1&gene=snap_masked-draA_s15-processed-gene-4.96&CDS=1-1098	YCR105W, YMR318C
OG0000108	augustus_masked-draA_s37-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.103&CDS=1-1434, maker-draA_s109-augustus-gene-0.23-mRNA-1_1&gene=maker-draA_s109-augustus-gene-0.23&CDS=1-1467	YBR283C, YLR378C
OG0000109	augustus_masked-draA_s110-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-0.74&CDS=1-1086, snap_masked-draA_s47-processed-gene-0.29-mRNA-1_1&gene=snap_masked-draA_s47-processed-gene-0.29&CDS=1-1050	YDL246C, YJR159W
OG0000110	augustus_masked-draA_s110-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-0.81&CDS=1-2166, augustus_masked-draA_s74-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.11&CDS=1-2217, snap_masked-draA_s86-processed-gene-1.81-mRNA-1_1&gene=snap_masked-draA_s86-processed-gene-1.81&CDS=1-2076	YER015W
OG0000111	augustus_masked-draA_s110-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-1.128&CDS=1-1734, augustus_masked-draA_s14-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-draA_s14-processed-gene-0.9&CDS=1-1845	YLL028W, YOR273C
OG0000112	augustus_masked-draA_s110-processed-gene-2.200-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-2.200&CDS=1-1044, augustus_masked-draA_s77-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-draA_s77-processed-gene-0.24&CDS=1-1044	YMR303C, YOL086C
OG0000113	augustus_masked-draA_s110-processed-gene-2.204-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-2.204&CDS=1-1728, augustus_masked-draA_s57-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-4.116&CDS=1-2073	YDR194C, YMR290C
OG0000114	augustus_masked-draA_s110-processed-gene-2.207-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-2.207&CDS=1-2946, genemark-draA_s74-processed-gene-0.40-mRNA-1_1&gene=genemark-draA_s74-processed-gene-0.40&CDS=1-2829	YGR240C, YMR205C
OG0000115	augustus_masked-draA_s111-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-draA_s111-processed-gene-0.40&CDS=1-2475, augustus_masked-draA_s17-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-2.35&CDS=1-2247	YAR035W, YER024W
OG0000116	maker-draA_s113-augustus-gene-0.31-mRNA-1_1&gene=maker-draA_s113-augustus-gene-0.31&CDS=1-3012, snap_masked-draA_s15-processed-gene-1.102-mRNA-1_1&gene=snap_masked-draA_s15-processed-gene-1.102&CDS=1-2163	YER041W, YGR258C
OG0000117	snap_masked-draA_s116-processed-gene-0.25-mRNA-1_1&gene=snap_masked-draA_s116-processed-gene-0.25&CDS=1-795, snap_masked-draA_s37-processed-gene-0.70-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-0.70&CDS=1-771	YHL033C, YLL045C
OG0000118	augustus_masked-draA_s117-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-draA_s117-processed-gene-0.0&CDS=1-2571, augustus_masked-draA_s35-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.172&CDS=1-2661	YMR266W, YOL084W
OG0000119	augustus_masked-draA_s118-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-draA_s118-processed-gene-0.38&CDS=1-2901, snap_masked-draA_s15-processed-gene-3.82-mRNA-1_1&gene=snap_masked-draA_s15-processed-gene-3.82&CDS=1-2337	YDL132W, YGR003W
OG0000120	augustus_masked-draA_s119-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-draA_s119-processed-gene-0.82&CDS=1-1350, augustus_masked-draA_s15-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-2.11&CDS=1-1227	YLR090W, YNL064C
OG0000121	maker-draA_s65-augustus-gene-0.123-mRNA-1_1&gene=maker-draA_s65-augustus-gene-0.123&CDS=1-4446, snap_masked-draA_s119-processed-gene-0.51-mRNA-1_1&gene=snap_masked-draA_s119-processed-gene-0.51&CDS=1-2679	YJL212C, YPR194C
OG0000122	augustus_masked-draA_s119-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-draA_s119-processed-gene-0.112&CDS=1-2823, augustus_masked-draA_s15-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-3.122&CDS=1-2391	YER017C, YMR089C
OG0000123	snap_masked-draA_s121-processed-gene-0.171-mRNA-1_1&gene=snap_masked-draA_s121-processed-gene-0.171&CDS=1-1668, snap_masked-draA_s37-processed-gene-1.159-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-1.159&CDS=1-2289	YFR037C, YJL176C
OG0000124	augustus_masked-draA_s14-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-draA_s14-processed-gene-0.33&CDS=1-1725, augustus_masked-draA_s44-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-4.122&CDS=1-2130	YLR098C, YOR337W
OG0000125	augustus_masked-draA_s14-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-draA_s14-processed-gene-0.35&CDS=1-1053, maker-draA_s86-augustus-gene-1.96-mRNA-1_1&gene=maker-draA_s86-augustus-gene-1.96&CDS=1-1710	YEL007W, YHR177W
OG0000126	augustus_masked-draA_s14-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-draA_s14-processed-gene-0.45&CDS=1-909, maker-draA_s71-augustus-gene-1.249-mRNA-1_1&gene=maker-draA_s71-augustus-gene-1.249&CDS=1-2259	YGR060W, YOR303W
OG0000127	augustus_masked-draA_s15-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-0.79&CDS=1-4554, augustus_masked-draA_s53-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-1.32&CDS=1-4362	YDR011W, YOR153W
OG0000128	augustus_masked-draA_s15-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-1.36&CDS=1-1617, augustus_masked-draA_s39-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-2.77&CDS=1-2781	YHR031C, YML061C
OG0000129	augustus_masked-draA_s79-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-2.113&CDS=1-8109, snap_masked-draA_s15-processed-gene-2.64-mRNA-1_1&gene=snap_masked-draA_s15-processed-gene-2.64&CDS=1-7614	YLR454W, YPR117W
OG0000130	augustus_masked-draA_s86-processed-gene-5.188-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.188&CDS=1-4656, genemark-draA_s44-processed-gene-0.75-mRNA-1_1&gene=genemark-draA_s44-processed-gene-0.75&CDS=1-5592, snap_masked-draA_s15-processed-gene-3.80-mRNA-1_1&gene=snap_masked-draA_s15-processed-gene-3.80&CDS=1-4782	YDR135C
OG0000131	augustus_masked-draA_s57-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-0.55&CDS=1-651, augustus_masked-draA_s86-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-1.130&CDS=1-594, maker-draA_s15-snap-gene-3.103-mRNA-1_1&gene=maker-draA_s15-snap-gene-3.103&CDS=1-2355	YPR165W
OG0000132	augustus_masked-draA_s15-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-4.109&CDS=1-2610, augustus_masked-draA_s98-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.92&CDS=1-2289	YJL092W, YOL095C
OG0000133	augustus_masked-draA_s15-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-4.111&CDS=1-2154, augustus_masked-draA_s86-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-0.50&CDS=1-1578	YDL138W, YDL194W
OG0000134	augustus_masked-draA_s15-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-4.141&CDS=1-1185, augustus_masked-draA_s2-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-draA_s2-processed-gene-1.109&CDS=1-1014	YNL283C, YOL105C
OG0000135	augustus_masked-draA_s15-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-5.7&CDS=1-2787, augustus_masked-draA_s63-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-draA_s63-processed-gene-0.84&CDS=1-2574	YHR047C, YIL137C
OG0000136	augustus_masked-draA_s74-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.10&CDS=1-1851, snap_masked-draA_s15-processed-gene-5.124-mRNA-1_1&gene=snap_masked-draA_s15-processed-gene-5.124&CDS=1-1686	YDR380W, YLR044C
OG0000137	augustus_masked-draA_s9-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-2.29&CDS=1-1095, maker-draA_s15-augustus-gene-6.4-mRNA-1_1&gene=maker-draA_s15-augustus-gene-6.4&CDS=1-1119	YBR249C, YDR035W
OG0000138	augustus_masked-draA_s15-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-6.15&CDS=1-3186, snap_masked-draA_s31-processed-gene-0.128-mRNA-1_1&gene=snap_masked-draA_s31-processed-gene-0.128&CDS=1-1827	YGL116W, YGL202W
OG0000139	augustus_masked-draA_s71-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.28&CDS=1-3138, snap_masked-draA_s15-processed-gene-6.116-mRNA-1_1&gene=snap_masked-draA_s15-processed-gene-6.116&CDS=1-3159	YLR389C, YPR122W
OG0000140	augustus_masked-draA_s15-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-6.28&CDS=1-1704, augustus_masked-draA_s79-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-2.115&CDS=1-1917	YDR398W, YHR196W
OG0000141	augustus_masked-draA_s15-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-6.29&CDS=1-624, augustus_masked-draA_s17-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-1.14&CDS=1-651	YDR399W, YJR133W
