	Eremothecium_sinecaudum	Saccharomyces_cerevisiae
OG0000077	augustus_masked-CP014244.1-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.103&CDS=1-2121, genemark-CP014247.1-processed-gene-7.40-mRNA-1_1&gene=genemark-CP014247.1-processed-gene-7.40&CDS=1-2697	YBR059C, YNL020C
OG0000078	genemark-CP014244.1-processed-gene-7.135-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-7.135&CDS=1-2925, snap_masked-CP014244.1-processed-gene-7.89-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-7.89&CDS=1-2421	YAL051W, YOR363C
OG0000079	augustus_masked-CP014244.1-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.47&CDS=1-633	YFL060C, YMR095C, YNL334C
OG0000080	augustus_masked-CP014244.1-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.20&CDS=1-891	YFL059W, YMR096W, YNL333W
OG0000081	augustus_masked-CP014244.1-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-11.13&CDS=1-951	YLL052C, YLL053C, YPR192W
OG0000082	augustus_masked-CP014244.1-processed-gene-11.37-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-11.37&CDS=1-5886, augustus_masked-CP014246.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-0.81&CDS=1-1170, maker-CP014244.1-augustus-gene-11.0-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-11.0&CDS=1-2367	YOR099W
OG0000083	augustus_masked-CP014245.1-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-2.25&CDS=1-3486, snap_masked-CP014244.1-processed-gene-12.57-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-12.57&CDS=1-1596	YER129W, YKL048C
OG0000084	augustus_masked-CP014244.1-processed-gene-12.115-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-12.115&CDS=1-1833, genemark-CP014245.1-processed-gene-2.48-mRNA-1_1&gene=genemark-CP014245.1-processed-gene-2.48&CDS=1-1287	YER130C, YKL062W
OG0000085	augustus_masked-CP014245.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-0.23&CDS=1-3063, genemark-CP014246.1-processed-gene-3.124-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-3.124&CDS=1-2064	YDR466W, YDR490C
OG0000086	augustus_masked-CP014245.1-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-1.105&CDS=1-1137, maker-CP014245.1-snap-gene-7.1-mRNA-1_1&gene=maker-CP014245.1-snap-gene-7.1&CDS=1-2706	YBR248C, YDR035W
OG0000087	augustus_masked-CP014245.1-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-1.126&CDS=1-3798, augustus_masked-CP014247.1-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.26&CDS=1-4551	YML072C, YOR086C
OG0000088	augustus_masked-CP014245.1-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-3.77&CDS=1-3339	YDR038C, YDR039C, YDR040C
OG0000089	augustus_masked-CP014245.1-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-4.4&CDS=1-1305, augustus_masked-CP014248.1-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-3.94&CDS=1-2247	YBL052C, YOR244W
OG0000090	augustus_masked-CP014245.1-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-6.92&CDS=1-393, augustus_masked-CP014248.1-processed-gene-9.174-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-9.174&CDS=1-393	YBL003C, YDR225W
OG0000091	augustus_masked-CP014245.1-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-8.60&CDS=1-1875, augustus_masked-CP014247.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.76&CDS=1-1944	YGL073W, YOR140W
OG0000092	augustus_masked-CP014246.1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-1.50&CDS=1-1236, augustus_masked-CP014248.1-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-9.135&CDS=1-1425	YDR218C, YJR076C
OG0000093	augustus_masked-CP014246.1-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-2.147&CDS=1-5988, snap_masked-CP014247.1-processed-gene-7.91-mRNA-1_1&gene=snap_masked-CP014247.1-processed-gene-7.91&CDS=1-2706	YDR420W, YGR014W
OG0000094	augustus_masked-CP014246.1-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-3.109&CDS=1-1776, genemark-CP014247.1-processed-gene-2.111-mRNA-1_1&gene=genemark-CP014247.1-processed-gene-2.111&CDS=1-1728	YHR194W, YOR147W
OG0000095	augustus_masked-CP014246.1-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.41&CDS=1-3912, augustus_masked-CP014247.1-processed-gene-8.77-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-8.77&CDS=1-2718	YBR073W, YGL163C
OG0000096	augustus_masked-CP014246.1-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.103&CDS=1-1614, maker-CP014246.1-augustus-gene-8.116-mRNA-1_1&gene=maker-CP014246.1-augustus-gene-8.116&CDS=1-3216	YLR343W, YMR307W
OG0000097	augustus_masked-CP014246.1-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.26&CDS=1-1689, augustus_masked-CP014246.1-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.38&CDS=1-5490	YGR116W, YOL027C
OG0000098	augustus_masked-CP014246.1-processed-gene-8.125-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.125&CDS=1-5868, augustus_masked-CP014247.1-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-4.42&CDS=1-6465	YER172C, YGR271W
OG0000099	augustus_masked-CP014246.1-processed-gene-8.142-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.142&CDS=1-1149	YGR271C-A, YGR273C, YMR295C
OG0000100	augustus_masked-CP014246.1-processed-gene-8.159-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.159&CDS=1-1665	YLR237W, YOR071C, YOR192C
OG0000101	augustus_masked-CP014247.1-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.14&CDS=1-1179, maker-CP014248.1-snap-gene-9.109-mRNA-1_1&gene=maker-CP014248.1-snap-gene-9.109&CDS=1-2214	YBR025C, YHL014C
OG0000102	augustus_masked-CP014247.1-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-6.75&CDS=1-2718, augustus_masked-CP014248.1-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-1.95&CDS=1-2322	YDR258C, YLL026W
OG0000103	augustus_masked-CP014247.1-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-8.84&CDS=1-2682, augustus_masked-CP014248.1-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-7.37&CDS=1-2685	YMR266W, YOL084W
OG0000104	augustus_masked-CP014248.1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-3.60&CDS=1-1578	YBL068W-A, YBL069W, YER101C
OG0000105	maker-CP014249.1-snap-gene-0.8-mRNA-1_1&gene=maker-CP014249.1-snap-gene-0.8&CDS=1-288	Q0045, Q0065, Q0070
OG0000106	maker-CP014249.1-snap-gene-0.4-mRNA-1_1&gene=maker-CP014249.1-snap-gene-0.4&CDS=1-318	Q0105, Q0115, Q0120
OG0000107		YBR297W, YFL052W, YGR288W, YPR196W
OG0000108	augustus_masked-CP014242.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-0.16&CDS=1-1989	YGR071C, YLR373C
OG0000109	augustus_masked-CP014242.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-1.60&CDS=1-315	YMR230W, YOR293W
OG0000110	maker-CP014242.1-snap-gene-1.54-mRNA-1_1&gene=maker-CP014242.1-snap-gene-1.54&CDS=1-1371	YMR222C, YOR280C
OG0000111	augustus_masked-CP014242.1-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-2.124&CDS=1-2394	YFL050C, YOL130W
OG0000112	augustus_masked-CP014242.1-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-2.150&CDS=1-960	YNL301C, YOL120C
OG0000113	augustus_masked-CP014242.1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.55&CDS=1-1050	YGR214W, YLR048W
OG0000114	augustus_masked-CP014242.1-processed-gene-15.27-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-15.27&CDS=1-1689, augustus_masked-CP014242.1-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.81&CDS=1-1692	YLR044C
OG0000115	augustus_masked-CP014242.1-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.59&CDS=1-309	YGR209C, YLR043C
OG0000116	augustus_masked-CP014242.1-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.68&CDS=1-2880, maker-CP014242.1-augustus-gene-3.103-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-3.103&CDS=1-3669	YBR084W
OG0000117	augustus_masked-CP014242.1-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.90&CDS=1-615	YBL027W, YBR084C-A
OG0000118	augustus_masked-CP014243.1-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.64&CDS=1-2175, snap_masked-CP014242.1-processed-gene-4.44-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-4.44&CDS=1-2571	YIL130W
OG0000119	augustus_masked-CP014242.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.100&CDS=1-282	YBR089C-A, YPR052C
OG0000120	augustus_masked-CP014242.1-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.77&CDS=1-1374	YBR118W, YPR080W
OG0000121	augustus_masked-CP014242.1-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.116&CDS=1-522	YGR085C, YPR102C
OG0000122	augustus_masked-CP014242.1-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.98&CDS=1-2322	YKL105C, YMR086W
OG0000123	augustus_masked-CP014242.1-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-7.7&CDS=1-2403	YKL121W, YMR102C
OG0000124	maker-CP014242.1-augustus-gene-7.51-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-7.51&CDS=1-414	YHL001W, YKL006W
OG0000125	augustus_masked-CP014242.1-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-8.40&CDS=1-2496	YBR294W, YLR092W
OG0000126	augustus_masked-CP014242.1-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-8.45&CDS=1-3333	YDR122W, YLR096W
OG0000127	augustus_masked-CP014242.1-processed-gene-8.55-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-8.55&CDS=1-777	YDR151C, YLR136C
OG0000128	augustus_masked-CP014242.1-processed-gene-12.34-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-12.34&CDS=1-510	YDR178W, YLR164W
OG0000129	augustus_masked-CP014242.1-processed-gene-13.61-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-13.61&CDS=1-1698	YOR237W, YPL145C
OG0000130	augustus_masked-CP014242.1-processed-gene-13.58-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-13.58&CDS=1-321	YOR234C, YPL143W
OG0000131	maker-CP014242.1-snap-gene-13.112-mRNA-1_1&gene=maker-CP014242.1-snap-gene-13.112&CDS=1-4065	YOR231W, YPL140C
OG0000132	augustus_masked-CP014242.1-processed-gene-13.103-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-13.103&CDS=1-897	YDL021W, YOL056W
OG0000133	augustus_masked-CP014242.1-processed-gene-14.127-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-14.127&CDS=1-915	YJL133W, YKR052C
OG0000134	augustus_masked-CP014242.1-processed-gene-14.128-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-14.128&CDS=1-1263	YJL134W, YKR053C
OG0000135	augustus_masked-CP014242.1-processed-gene-14.114-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-14.114&CDS=1-495	YDR418W, YEL054C
OG0000136	augustus_masked-CP014242.1-processed-gene-15.9-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-15.9&CDS=1-3225	YDR351W, YHR103W
OG0000137	augustus_masked-CP014242.1-processed-gene-16.18-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-16.18&CDS=1-1344	YDR312W, YHR066W
OG0000138	genemark-CP014242.1-processed-gene-18.1-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-18.1&CDS=1-666	YJL079C, YKR013W
OG0000139	augustus_masked-CP014242.1-processed-gene-18.74-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.74&CDS=1-2235	YJL099W, YKR027W
OG0000140	genemark-CP014242.1-processed-gene-19.230-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-19.230&CDS=1-2232	YHR131C, YNL144C
OG0000141	maker-CP014242.1-augustus-gene-19.100-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-19.100&CDS=1-318	YHR141C, YNL162W
OG0000142	augustus_masked-CP014242.1-processed-gene-19.124-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.124&CDS=1-5523	YHR146W, YNL173C
OG0000143	augustus_masked-CP014242.1-processed-gene-19.135-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.135&CDS=1-1488	YDL222C, YNL194C
OG0000144	genemark-CP014243.1-processed-gene-2.6-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-2.6&CDS=1-2253, snap_masked-CP014243.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-0.74&CDS=1-468	YJL204C
OG0000145	snap_masked-CP014243.1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-0.75&CDS=1-960	YCL064C, YIL167W
OG0000146	augustus_masked-CP014243.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.105&CDS=1-621	YCL051W, YDR528W
OG0000147	augustus_masked-CP014243.1-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.126&CDS=1-945	YCL050C, YDR530C
OG0000148	augustus_masked-CP014243.1-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.111&CDS=1-1425	YCL036W, YDR514C
OG0000149	augustus_masked-CP014243.1-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.134&CDS=1-339	YCL035C, YDR513W
OG0000150	genemark-CP014243.1-processed-gene-1.101-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-1.101&CDS=1-261	YDR500C, YLR185W
OG0000151	snap_masked-CP014243.1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-2.76&CDS=1-3621	YHR155W, YNL257C
OG0000152	augustus_masked-CP014243.1-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.106&CDS=1-4365	YCL068C, YCR038C
OG0000153	augustus_masked-CP014243.1-processed-gene-10.37-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-10.37&CDS=1-2652, augustus_masked-CP014243.1-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.88&CDS=1-2589	YER070W
OG0000154	maker-CP014243.1-augustus-gene-3.115-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-3.115&CDS=1-3927	YBR169C, YPL106C
OG0000155	augustus_masked-CP014243.1-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.50&CDS=1-2781	YKL043W, YMR016C
OG0000156	augustus_masked-CP014243.1-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.75&CDS=1-600	YIL133C, YNL069C
OG0000157	augustus_masked-CP014243.1-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.78&CDS=1-1341	YIL123W, YNL066W
OG0000158	augustus_masked-CP014243.1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.69&CDS=1-1803	YNL104C, YOR108W
OG0000159	maker-CP014243.1-augustus-gene-5.104-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-5.104&CDS=1-2535	YIR031C, YNL117W
OG0000160	augustus_masked-CP014243.1-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.117&CDS=1-1797	YHR123W, YNL130C
OG0000161	augustus_masked-CP014243.1-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-6.72&CDS=1-471	YOR226C, YPL135W
OG0000162	augustus_masked-CP014243.1-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-7.57&CDS=1-2007	YBR216C, YGL060W
OG0000163	augustus_masked-CP014243.1-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-7.79&CDS=1-1464	YBR214W, YGL056C
OG0000164	augustus_masked-CP014243.1-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-7.83&CDS=1-699	YGR136W, YPR154W
OG0000165	augustus_masked-CP014243.1-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-7.87&CDS=1-510	YGR131W, YPR149W
OG0000166	augustus_masked-CP014243.1-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-9.125&CDS=1-342	YDL075W, YLR406C
OG0000167	snap_masked-CP014243.1-processed-gene-9.48-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-9.48&CDS=1-1992	YKL187C, YLR413W
OG0000168	augustus_masked-CP014243.1-processed-gene-10.31-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-10.31&CDS=1-1407	YER081W, YIL074C
OG0000169	augustus_masked-CP014243.1-processed-gene-10.19-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-10.19&CDS=1-762	YER062C, YIL053W
OG0000170	augustus_masked-CP014243.1-processed-gene-10.21-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-10.21&CDS=1-378	YER057C, YIL051C
OG0000171	maker-CP014243.1-augustus-gene-10.1-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-10.1&CDS=1-381	YER056C-A, YIL052C
OG0000172	augustus_masked-CP014243.1-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-10.26&CDS=1-774	YER054C, YIL045W
OG0000173	augustus_masked-CP014243.1-processed-gene-11.39-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-11.39&CDS=1-1488	YMR169C, YMR170C
OG0000174	augustus_masked-CP014243.1-processed-gene-11.44-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-11.44&CDS=1-570	YGL147C, YNL067W
OG0000175	maker-CP014243.1-snap-gene-12.211-mRNA-1_1&gene=maker-CP014243.1-snap-gene-12.211&CDS=1-993	YDL137W, YDL192W
OG0000176	augustus_masked-CP014243.1-processed-gene-12.14-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-12.14&CDS=1-360	YDL136W, YDL191W
OG0000177	augustus_masked-CP014243.1-processed-gene-12.19-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-12.19&CDS=1-246	YDL130W-A, YDL181W
OG0000178	genemark-CP014243.1-processed-gene-12.236-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-12.236&CDS=1-729	YDL127W, YDL179W
OG0000179	augustus_masked-CP014243.1-processed-gene-12.67-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-12.67&CDS=1-1053	YLR270W, YOR173W
OG0000180	snap_masked-CP014243.1-processed-gene-12.177-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-12.177&CDS=1-201	YLR264W, YOR167C
OG0000181	snap_masked-CP014244.1-processed-gene-0.119-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-0.119&CDS=1-249, snap_masked-CP014245.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-CP014245.1-processed-gene-0.66&CDS=1-249	YCR097W
OG0000182	maker-CP014244.1-snap-gene-1.59-mRNA-1_1&gene=maker-CP014244.1-snap-gene-1.59&CDS=1-525	YMR242C, YOR312C
OG0000183	augustus_masked-CP014244.1-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-1.90&CDS=1-1122, genemark-CP014248.1-processed-gene-4.38-mRNA-1_1&gene=genemark-CP014248.1-processed-gene-4.38&CDS=1-2262	YER040W
OG0000184	snap_masked-CP014244.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-1.27&CDS=1-258	YGR008C, YLR327C
OG0000185	genemark-CP014244.1-processed-gene-1.141-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-1.141&CDS=1-1044	YBR161W, YPL057C
OG0000186	augustus_masked-CP014244.1-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-2.66&CDS=1-1794, augustus_masked-CP014244.1-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-2.89&CDS=1-1782	YMR284W
OG0000187	maker-CP014244.1-augustus-gene-2.52-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-2.52&CDS=1-3087	YML108W, YML109W
OG0000188	augustus_masked-CP014244.1-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-2.95&CDS=1-378	YGR243W, YHR162W
OG0000189	augustus_masked-CP014244.1-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.17&CDS=1-552	YJL177W, YKL180W
OG0000190	augustus_masked-CP014244.1-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.132&CDS=1-2370, augustus_masked-CP014244.1-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.135&CDS=1-2385	YJL212C
OG0000191	augustus_masked-CP014244.1-processed-gene-4.117-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.117&CDS=1-1818, augustus_masked-CP014247.1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-3.76&CDS=1-1788	YGL203C
OG0000192	augustus_masked-CP014244.1-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.125&CDS=1-1731	YJL172W, YOL153C
OG0000193	snap_masked-CP014244.1-processed-gene-5.122-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-5.122&CDS=1-282	YJR094W-A, YPR043W
OG0000194	maker-CP014244.1-augustus-gene-5.44-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-5.44&CDS=1-411	YBL087C, YER117W
OG0000195	augustus_masked-CP014244.1-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.71&CDS=1-408	YBR010W, YNL031C
OG0000196	augustus_masked-CP014244.1-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.43&CDS=1-2457	YAL056W, YOR371C
OG0000197	augustus_masked-CP014244.1-processed-gene-8.93-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-8.93&CDS=1-1794	YCR026C, YEL016C
OG0000198	maker-CP014244.1-augustus-gene-9.118-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-9.118&CDS=1-762	YFR031C-A, YIL018W
OG0000199	augustus_masked-CP014244.1-processed-gene-9.140-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-9.140&CDS=1-1314	YGR121C, YPR138C
OG0000200	augustus_masked-CP014244.1-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-10.64&CDS=1-1236	YGR109C, YPR120C
OG0000201	augustus_masked-CP014244.1-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-10.91&CDS=1-435	YGR118W, YPR132W
