	Candida_orthopsilosis	Saccharomyces_cerevisiae
OG0000061	augustus_masked-NC_018301.1-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NC_018301.1-processed-gene-2.26&CDS=1-6540, genemark-NC_018301.1-processed-gene-2.66-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-2.66&CDS=1-2439, genemark-NC_018302.1-processed-gene-5.42-mRNA-1_1&gene=genemark-NC_018302.1-processed-gene-5.42&CDS=1-1989	YDR034C, YML099C
OG0000062	maker-NC_018301.1-augustus-gene-2.0-mRNA-1_1&gene=maker-NC_018301.1-augustus-gene-2.0&CDS=1-1638	YDL244W, YFL058W, YJR156C, YNL332W
OG0000063		YBR067C, YDR542W, YER011W, YIL011W, YOR010C
OG0000064	genemark-NC_018292.1-processed-gene-0.98-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-0.98&CDS=1-1476, snap_masked-NC_018296.1-processed-gene-14.23-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-14.23&CDS=1-2649	YOL137W, YOR057W
OG0000065	genemark-NC_018301.1-processed-gene-3.94-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-3.94&CDS=1-2649, maker-NC_018292.1-augustus-gene-1.44-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-1.44&CDS=1-3003	YIL153W, YML061C
OG0000066	genemark-NC_018292.1-processed-gene-1.56-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-1.56&CDS=1-4260, genemark-NC_018292.1-processed-gene-3.58-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.58&CDS=1-5406	YIL159W, YNL271C
OG0000067	genemark-NC_018292.1-processed-gene-9.132-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.132&CDS=1-1857, snap_masked-NC_018292.1-processed-gene-3.16-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-3.16&CDS=1-1959, snap_masked-NC_018292.1-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-3.28&CDS=1-1695	YJL163C
OG0000068	maker-NC_018292.1-snap-gene-5.171-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-5.171&CDS=1-2136	YCR102C, YLR460C, YNL134C
OG0000069	genemark-NC_018292.1-processed-gene-5.92-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.92&CDS=1-2481, genemark-NC_018297.1-processed-gene-9.120-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-9.120&CDS=1-2769	YHR028C, YOR219C
OG0000070	maker-NC_018292.1-snap-gene-6.129-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-6.129&CDS=1-1686, snap_masked-NC_018296.1-processed-gene-1.109-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-1.109&CDS=1-2571	YBR237W, YNL112W
OG0000071	genemark-NC_018292.1-processed-gene-6.95-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.95&CDS=1-1749, snap_masked-NC_018297.1-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NC_018297.1-processed-gene-1.42&CDS=1-1254	YBL054W, YER088C
OG0000072	genemark-NC_018292.1-processed-gene-6.114-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.114&CDS=1-2013, snap_masked-NC_018297.1-processed-gene-14.242-mRNA-1_1&gene=snap_masked-NC_018297.1-processed-gene-14.242&CDS=1-1521	YBL052C, YOR244W
OG0000073	augustus_masked-NC_018296.1-processed-gene-15.174-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-15.174&CDS=1-2118, genemark-NC_018292.1-processed-gene-6.120-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.120&CDS=1-1923	YEL065W, YHL040C
OG0000074	genemark-NC_018292.1-processed-gene-7.70-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.70&CDS=1-1473, genemark-NC_018300.1-processed-gene-9.86-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-9.86&CDS=1-1545	YJL193W, YOR307C
OG0000075	genemark-NC_018292.1-processed-gene-7.57-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.57&CDS=1-1005, genemark-NC_018296.1-processed-gene-6.110-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-6.110&CDS=1-855	YBR011C, YMR267W
OG0000076	genemark-NC_018292.1-processed-gene-8.31-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.31&CDS=1-2421, genemark-NC_018295.1-processed-gene-3.39-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-3.39&CDS=1-1047, genemark-NC_018298.1-processed-gene-0.29-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-0.29&CDS=1-1404	YDR207C
OG0000077	genemark-NC_018292.1-processed-gene-8.26-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.26&CDS=1-807, maker-NC_018298.1-augustus-gene-12.1-mRNA-1_1&gene=maker-NC_018298.1-augustus-gene-12.1&CDS=1-2871	YBR155W, YOR027W
OG0000078	maker-NC_018292.1-snap-gene-9.142-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-9.142&CDS=1-5301, snap_masked-NC_018295.1-processed-gene-16.64-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-16.64&CDS=1-6747	YGR032W, YLR342W
OG0000079	genemark-NC_018292.1-processed-gene-9.96-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.96&CDS=1-1197, genemark-NC_018292.1-processed-gene-9.97-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.97&CDS=1-7809	YCR045C, YNR016C
OG0000080	genemark-NC_018292.1-processed-gene-10.47-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.47&CDS=1-1065, genemark-NC_018292.1-processed-gene-10.48-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.48&CDS=1-2367	YAL021C, YOL042W
OG0000081	genemark-NC_018292.1-processed-gene-10.70-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.70&CDS=1-1050, genemark-NC_018300.1-processed-gene-3.69-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-3.69&CDS=1-1047	YMR303C, YOL086C
OG0000082	genemark-NC_018292.1-processed-gene-11.22-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.22&CDS=1-1653, genemark-NC_018292.1-processed-gene-15.104-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.104&CDS=1-1785, genemark-NC_018300.1-processed-gene-8.76-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-8.76&CDS=1-1791	YBR008C
OG0000083	genemark-NC_018292.1-processed-gene-12.53-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.53&CDS=1-1071, genemark-NC_018295.1-processed-gene-19.30-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.30&CDS=1-1290	YIR013C, YLR013W
OG0000084	augustus_masked-NC_018297.1-processed-gene-14.8-mRNA-1_1&gene=augustus_masked-NC_018297.1-processed-gene-14.8&CDS=1-1974, genemark-NC_018292.1-processed-gene-14.100-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.100&CDS=1-2553	YNL183C, YOR267C
OG0000085	augustus_masked-NC_018292.1-processed-gene-14.19-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-14.19&CDS=1-1188, genemark-NC_018292.1-processed-gene-14.122-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.122&CDS=1-1317	YGR254W, YHR174W
OG0000086	genemark-NC_018292.1-processed-gene-14.124-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.124&CDS=1-1104, genemark-NC_018292.1-processed-gene-20.69-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.69&CDS=1-3174	YDL108W, YPR161C
OG0000087	genemark-NC_018292.1-processed-gene-15.80-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.80&CDS=1-3051, genemark-NC_018295.1-processed-gene-10.31-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-10.31&CDS=1-3012	YJL089W, YMR280C
OG0000088	augustus_masked-NC_018292.1-processed-gene-15.35-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-15.35&CDS=1-4701, genemark-NC_018295.1-processed-gene-2.56-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-2.56&CDS=1-1092	YBL007C, YPL113C
OG0000089	genemark-NC_018292.1-processed-gene-16.38-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.38&CDS=1-1770, genemark-NC_018296.1-processed-gene-10.43-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-10.43&CDS=1-1908	YDR243C, YOR204W
OG0000090	augustus_masked-NC_018292.1-processed-gene-18.83-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-18.83&CDS=1-4116, snap_masked-NC_018292.1-processed-gene-20.37-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-20.37&CDS=1-1293	YER057C, YIL051C
OG0000091	genemark-NC_018297.1-processed-gene-11.14-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-11.14&CDS=1-1365, snap_masked-NC_018292.1-processed-gene-19.8-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-19.8&CDS=1-876	YJL155C, YOL136C
OG0000092	genemark-NC_018298.1-processed-gene-7.60-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-7.60&CDS=1-3768, snap_masked-NC_018292.1-processed-gene-19.44-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-19.44&CDS=1-1275	YOR059C, YPL109C
OG0000093	genemark-NC_018292.1-processed-gene-20.84-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.84&CDS=1-990, genemark-NC_018297.1-processed-gene-0.36-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-0.36&CDS=1-993	YIL035C, YOR061W
OG0000094	augustus_masked-NC_018292.1-processed-gene-22.33-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-22.33&CDS=1-1395, snap_masked-NC_018292.1-processed-gene-22.104-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-22.104&CDS=1-1611	YOL119C, YOR306C
OG0000095	genemark-NC_018292.1-processed-gene-24.100-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-24.100&CDS=1-1005, genemark-NC_018297.1-processed-gene-2.73-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-2.73&CDS=1-984	YCR034W, YLR372W
OG0000096	augustus_masked-NC_018292.1-processed-gene-24.33-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-24.33&CDS=1-5844	YOL055C, YPL258C, YPR121W
OG0000097	genemark-NC_018295.1-processed-gene-19.31-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.31&CDS=1-1101, maker-NC_018292.1-snap-gene-25.88-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-25.88&CDS=1-1113	YBR249C, YDR035W
OG0000098	genemark-NC_018292.1-processed-gene-25.6-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-25.6&CDS=1-4872, genemark-NC_018295.1-processed-gene-9.41-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-9.41&CDS=1-3876	YIL126W, YOR290C
OG0000099	genemark-NC_018292.1-processed-gene-26.44-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-26.44&CDS=1-1641, genemark-NC_018297.1-processed-gene-6.13-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-6.13&CDS=1-1635, maker-NC_018292.1-snap-gene-25.91-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-25.91&CDS=1-3261	YDL210W
OG0000100	augustus_masked-NC_018292.1-processed-gene-26.6-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-26.6&CDS=1-2937, genemark-NC_018295.1-processed-gene-20.20-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.20&CDS=1-1929	YGR068C, YOR018W
OG0000101	genemark-NC_018292.1-processed-gene-27.49-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-27.49&CDS=1-1794, genemark-NC_018295.1-processed-gene-17.59-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.59&CDS=1-1830, snap_masked-NC_018292.1-processed-gene-27.97-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-27.97&CDS=1-2862	YDL020C
OG0000102	genemark-NC_018297.1-processed-gene-13.58-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-13.58&CDS=1-2475, snap_masked-NC_018292.1-processed-gene-27.115-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-27.115&CDS=1-2820	YER017C, YMR089C
OG0000103	genemark-NC_018292.1-processed-gene-27.53-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-27.53&CDS=1-1557, genemark-NC_018296.1-processed-gene-13.129-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-13.129&CDS=1-1758	YLR034C, YOL122C
OG0000104	genemark-NC_018292.1-processed-gene-27.79-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-27.79&CDS=1-1710, genemark-NC_018300.1-processed-gene-9.89-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-9.89&CDS=1-1752	YGL003C, YGL116W
OG0000105	genemark-NC_018292.1-processed-gene-28.27-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-28.27&CDS=1-1065, genemark-NC_018298.1-processed-gene-1.101-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-1.101&CDS=1-996	YCL064C, YIL167W
OG0000106	genemark-NC_018295.1-processed-gene-0.39-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-0.39&CDS=1-5571, genemark-NC_018300.1-processed-gene-3.40-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-3.40&CDS=1-5787	YER172C, YGR271W
OG0000107	genemark-NC_018295.1-processed-gene-1.105-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-1.105&CDS=1-8286, genemark-NC_018300.1-processed-gene-7.96-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-7.96&CDS=1-7713	YLR454W, YPR117W
OG0000108	genemark-NC_018295.1-processed-gene-6.52-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-6.52&CDS=1-2514, maker-NC_018295.1-snap-gene-6.92-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-6.92&CDS=1-1656	YFL050C, YOL130W
OG0000109	genemark-NC_018295.1-processed-gene-9.47-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-9.47&CDS=1-2226, genemark-NC_018301.1-processed-gene-0.19-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-0.19&CDS=1-2076	YJR005W, YKL135C
OG0000110	augustus_masked-NC_018295.1-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-9.33&CDS=1-3282	YBL042C, YBR021W, YIR028W
OG0000111	genemark-NC_018295.1-processed-gene-23.106-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.106&CDS=1-1941, genemark-NC_018295.1-processed-gene-9.83-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-9.83&CDS=1-2610	YAR035W, YER024W
OG0000112	genemark-NC_018295.1-processed-gene-10.0-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-10.0&CDS=1-1569, genemark-NC_018301.1-processed-gene-7.86-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-7.86&CDS=1-1758	YGR197C, YJR015W
OG0000113	augustus_masked-NC_018295.1-processed-gene-12.116-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-12.116&CDS=1-2034	YHR216W, YLR432W, YML056C
OG0000114	genemark-NC_018295.1-processed-gene-13.13-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-13.13&CDS=1-1953, genemark-NC_018301.1-processed-gene-5.94-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-5.94&CDS=1-1938	YJR045C, YLR369W
OG0000115	genemark-NC_018295.1-processed-gene-13.19-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-13.19&CDS=1-942, genemark-NC_018298.1-processed-gene-6.113-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-6.113&CDS=1-1143	YDL047W, YNR032W
OG0000116	genemark-NC_018295.1-processed-gene-17.61-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.61&CDS=1-2007, genemark-NC_018296.1-processed-gene-12.60-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-12.60&CDS=1-2028	YAL054C, YLR153C
OG0000117	genemark-NC_018295.1-processed-gene-17.65-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.65&CDS=1-309, genemark-NC_018297.1-processed-gene-6.37-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-6.37&CDS=1-309	YBR009C, YNL030W
OG0000118	genemark-NC_018295.1-processed-gene-17.68-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.68&CDS=1-804, genemark-NC_018295.1-processed-gene-19.58-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.58&CDS=1-858	YLL023C, YLR064W
OG0000119	augustus_masked-NC_018295.1-processed-gene-17.127-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-17.127&CDS=1-1422, maker-NC_018296.1-snap-gene-1.77-mRNA-1_1&gene=maker-NC_018296.1-snap-gene-1.77&CDS=1-4563, snap_masked-NC_018298.1-processed-gene-4.49-mRNA-1_1&gene=snap_masked-NC_018298.1-processed-gene-4.49&CDS=1-1545	YKL217W
OG0000120	genemark-NC_018296.1-processed-gene-2.16-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.16&CDS=1-1437, snap_masked-NC_018295.1-processed-gene-18.109-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-18.109&CDS=1-1512	YBR283C, YLR378C
OG0000121	genemark-NC_018295.1-processed-gene-18.62-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.62&CDS=1-543, genemark-NC_018298.1-processed-gene-5.118-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-5.118&CDS=1-522, genemark-NC_018298.1-processed-gene-7.72-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-7.72&CDS=1-522	YLR109W
OG0000122	genemark-NC_018295.1-processed-gene-20.18-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.18&CDS=1-1293, genemark-NC_018297.1-processed-gene-2.84-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-2.84&CDS=1-1128	YFL039C, YPR034W
OG0000123	genemark-NC_018295.1-processed-gene-21.6-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.6&CDS=1-3276, genemark-NC_018300.1-processed-gene-6.78-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-6.78&CDS=1-2196	YLR144C, YNR067C
OG0000124	genemark-NC_018295.1-processed-gene-23.56-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.56&CDS=1-912, genemark-NC_018295.1-processed-gene-23.99-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.99&CDS=1-1122, genemark-NC_018301.1-processed-gene-8.131-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-8.131&CDS=1-921	YDL124W
OG0000125	genemark-NC_018296.1-processed-gene-0.49-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.49&CDS=1-885, genemark-NC_018301.1-processed-gene-0.1-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-0.1&CDS=1-885	YDR368W, YOR120W
OG0000126	genemark-NC_018296.1-processed-gene-0.72-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.72&CDS=1-1008	YGR192C, YJL052W, YJR009C
OG0000127	genemark-NC_018296.1-processed-gene-2.2-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.2&CDS=1-2451, genemark-NC_018298.1-processed-gene-8.67-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-8.67&CDS=1-2220	YDR314C, YER162C
OG0000128	genemark-NC_018296.1-processed-gene-2.31-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.31&CDS=1-1791, genemark-NC_018302.1-processed-gene-3.15-mRNA-1_1&gene=genemark-NC_018302.1-processed-gene-3.15&CDS=1-1587	YDR037W, YNL073W
OG0000129	augustus_masked-NC_018296.1-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-4.121&CDS=1-2091, genemark-NC_018296.1-processed-gene-4.57-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-4.57&CDS=1-2079, genemark-NC_018296.1-processed-gene-9.30-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-9.30&CDS=1-2133	YPR159W
OG0000130	snap_masked-NC_018296.1-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-5.43&CDS=1-414, snap_masked-NC_018298.1-processed-gene-10.121-mRNA-1_1&gene=snap_masked-NC_018298.1-processed-gene-10.121&CDS=1-798	YKL081W, YPL048W
OG0000131	genemark-NC_018296.1-processed-gene-5.108-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-5.108&CDS=1-1536	YER056C, YER060W, YER060W-A
OG0000132	augustus_masked-NC_018297.1-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-NC_018297.1-processed-gene-4.21&CDS=1-1311, genemark-NC_018296.1-processed-gene-7.56-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-7.56&CDS=1-780	YGL247W, YHR036W
OG0000133	genemark-NC_018296.1-processed-gene-9.12-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-9.12&CDS=1-522, maker-NC_018297.1-snap-gene-4.148-mRNA-1_1&gene=maker-NC_018297.1-snap-gene-4.148&CDS=1-867	YLR287C-A, YOR182C
OG0000134	genemark-NC_018296.1-processed-gene-9.39-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-9.39&CDS=1-1086, genemark-NC_018300.1-processed-gene-7.102-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-7.102&CDS=1-1224	YGL038C, YJR075W
OG0000135	genemark-NC_018296.1-processed-gene-13.107-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-13.107&CDS=1-2766, snap_masked-NC_018298.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NC_018298.1-processed-gene-0.45&CDS=1-2448	YBR033W, YKL038W
OG0000136	genemark-NC_018296.1-processed-gene-14.101-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-14.101&CDS=1-4368, genemark-NC_018297.1-processed-gene-11.6-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-11.6&CDS=1-4347, snap_masked-NC_018296.1-processed-gene-15.42-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-15.42&CDS=1-4359	YGR281W
OG0000137	genemark-NC_018296.1-processed-gene-15.121-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-15.121&CDS=1-2475, genemark-NC_018297.1-processed-gene-2.82-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-2.82&CDS=1-2508	YBR073W, YGL163C
OG0000138	augustus_masked-NC_018296.1-processed-gene-15.160-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-15.160&CDS=1-1479, genemark-NC_018300.1-processed-gene-2.56-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-2.56&CDS=1-1989	YER028C, YGL209W
OG0000139	augustus_masked-NC_018297.1-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NC_018297.1-processed-gene-0.153&CDS=1-1536	YDL246C, YJR159W, YLR070C
OG0000140	genemark-NC_018297.1-processed-gene-2.104-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-2.104&CDS=1-4617, genemark-NC_018298.1-processed-gene-13.141-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-13.141&CDS=1-5715	YHR023W, YOR326W
OG0000141	genemark-NC_018297.1-processed-gene-4.51-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-4.51&CDS=1-1209, genemark-NC_018298.1-processed-gene-13.166-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-13.166&CDS=1-1311	YLR090W, YNL064C
OG0000142	genemark-NC_018301.1-processed-gene-6.36-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-6.36&CDS=1-366, maker-NC_018297.1-snap-gene-5.119-mRNA-1_1&gene=maker-NC_018297.1-snap-gene-5.119&CDS=1-531	YDR519W, YNL135C
OG0000143	genemark-NC_018297.1-processed-gene-5.56-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-5.56&CDS=1-1161, genemark-NC_018300.1-processed-gene-8.82-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-8.82&CDS=1-1260	YKR042W, YNL066W
OG0000144	genemark-NC_018297.1-processed-gene-6.27-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-6.27&CDS=1-2574, genemark-NC_018301.1-processed-gene-8.163-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-8.163&CDS=1-2682	YJL098W, YKR028W
OG0000145	genemark-NC_018297.1-processed-gene-11.24-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-11.24&CDS=1-807, genemark-NC_018297.1-processed-gene-11.8-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-11.8&CDS=1-3180	YLR284C, YOR180C
OG0000146	genemark-NC_018297.1-processed-gene-13.52-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-13.52&CDS=1-2289, snap_masked-NC_018298.1-processed-gene-4.20-mRNA-1_1&gene=snap_masked-NC_018298.1-processed-gene-4.20&CDS=1-5652	YER129W, YGL179C
OG0000147	augustus_masked-NC_018298.1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NC_018298.1-processed-gene-1.96&CDS=1-5523, genemark-NC_018298.1-processed-gene-1.116-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-1.116&CDS=1-5232	YGR184C, YLR024C
OG0000148	genemark-NC_018298.1-processed-gene-1.118-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-1.118&CDS=1-1239, genemark-NC_018301.1-processed-gene-8.143-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-8.143&CDS=1-1821	YKL124W, YMR171C
OG0000149	genemark-NC_018298.1-processed-gene-5.109-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-5.109&CDS=1-933, genemark-NC_018302.1-processed-gene-2.64-mRNA-1_1&gene=genemark-NC_018302.1-processed-gene-2.64&CDS=1-1035	YDL114W, YLR426W
OG0000150	genemark-NC_018301.1-processed-gene-0.32-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-0.32&CDS=1-936, snap_masked-NC_018298.1-processed-gene-7.45-mRNA-1_1&gene=snap_masked-NC_018298.1-processed-gene-7.45&CDS=1-3510	YFR004W, YHL024W
