	Coccidioides_immitis	Saccharomyces_cerevisiae
OG0002407	XP_001246982.2	YDR377W
OG0002408	XP_001246984.1	YOR244W
OG0002409	XP_001246985.1	YMR213W
OG0002410	XP_001246986.1	YPL146C
OG0002411	XP_001246987.1	YOL080C
OG0002412	XP_001246994.1	YHR019C
OG0002413	XP_001246998.1	YPL184C
OG0002414	XP_001247015.1	YLR229C
OG0002415	XP_001247018.2	YER061C
OG0002416	XP_001247019.1	YOR128C
OG0002417	XP_001247020.1	YGL066W
OG0002418	XP_001247021.1	YGL130W
OG0002419	XP_001247022.2	YDL164C
OG0002420	XP_001247025.2	YKL033W
OG0002421	XP_001247026.1	YPR041W
OG0002422	XP_001247027.2	YPL214C
OG0002423	XP_001247030.1	YOR126C
OG0002424	XP_001247032.2	YOR236W
OG0002425	XP_001247036.1	YDR280W
OG0002426	XP_001247037.1	YAL026C
OG0002427	XP_001247046.1	YHR132C
OG0002428	XP_001247047.2	YPR095C
OG0002429	XP_001247050.1	YJL208C
OG0002430	XP_001247051.1	YKL175W
OG0002431	XP_001247053.1	YBR254C
OG0002432	XP_001247056.1	YNR016C
OG0002433	XP_001247058.1	YIL030C
OG0002434	XP_001247062.2	YBL084C
OG0002435	XP_001247063.1	YDL052C
OG0002436	XP_001247066.1	YPL178W
OG0002437	XP_001247069.1	YJR017C
OG0002438	XP_001247070.2	YGL070C
OG0002439	XP_001247071.2	YKL170W
OG0002440	XP_001247075.1	YGL064C
OG0002441	XP_001247076.2	YJR092W
OG0002442	XP_001247077.1	YPL212C
OG0002443	XP_001247078.1	YKL028W
OG0002444	XP_001247083.1	YJL218W
OG0002445	XP_001247084.1	YDR410C
OG0002446	XP_001247088.1	YNL317W
OG0002447	XP_001247091.1	YEL021W
OG0002448	XP_001247096.1	YHR148W
OG0002449	XP_001247100.1	YMR214W
OG0002450	XP_001247103.2	YKL029C
OG0002451	XP_001247127.1	YNL054W
OG0002452	XP_001247133.1	YKL043W
OG0002453	XP_001247140.2	YGL195W
OG0002454	XP_001247168.1	YNR011C
OG0002455	XP_001247169.2	YJL187C
OG0002456	XP_001247177.2	YFR006W
OG0002457	XP_001247179.2	YPL215W
OG0002458	XP_001247180.1	YPR040W
OG0002459	XP_001247181.1	YPL209C
OG0002460	XP_001247182.1	YNR020C
OG0002461	XP_001247183.2	YDR300C
OG0002462	XP_001247185.2	YKL154W
OG0002463	XP_001247186.1	YGR155W
OG0002464	XP_001247190.2	YKL215C
OG0002465	XP_001247191.1	YMR039C
OG0002466	XP_001247195.1	YIL010W
OG0002467	XP_001247197.1	YJR002W
OG0002468	XP_001247198.2	YNL024C
OG0002469	XP_001247201.1	YJL081C
OG0002470	XP_001247202.2	YCL038C
OG0002471	XP_001247210.1	YDL215C
OG0002472	XP_001247212.1	YER050C
OG0002473	XP_001247213.1	YMR092C
OG0002474	XP_001247216.1	YBR055C
OG0002475	XP_001247217.2	YPL266W
OG0002476	XP_001247218.2	YOR070C
OG0002477	XP_001247221.2	YER051W
OG0002478	XP_001247224.1	YPL162C
OG0002479	XP_001247225.1	YJL069C
OG0002480	XP_001247228.1	YPL015C
OG0002481	XP_001247229.1	YPR105C
OG0002482	XP_001247232.1	YGL167C
OG0002483	XP_001247233.1	YDL003W
OG0002484	XP_001247236.1	YHR048W
OG0002485	XP_001247239.1	YBR239C
OG0002486	XP_001247241.2	YDR236C
OG0002487	XP_001247245.2	YJL002C
OG0002488	XP_001247246.2	YJL012C
OG0002489	XP_001247247.2	YPR019W
OG0002490	XP_001247248.1	YDR465C
OG0002491	XP_001247251.1	YGR231C
OG0002492	XP_001247252.1	YGL044C
OG0002493	XP_001247259.1	YPL009C
OG0002494	XP_001247260.1	YPL010W
OG0002495	XP_001247262.1	YLR075W
OG0002496	XP_001247267.2	YDR140W
OG0002497	XP_001247268.1	YGR074W
OG0002498	XP_001247274.1	YLR097C
OG0002499	XP_001247275.2	YGR257C
OG0002500	XP_001247283.2	YGL084C
OG0002501	XP_001247286.1	YDR141C
OG0002502	XP_001247287.2	YGL124C
OG0002503	XP_001247288.1	YMR190C
OG0002504	XP_001247289.2	YPL263C
OG0002505	XP_001247301.1	YOR157C
OG0002506	XP_001247313.1	YKL134C
OG0002507	XP_001247314.1	YGR235C
OG0002508	XP_001247315.1	YDR517W
OG0002509	XP_001247316.1	YPL157W
OG0002510	XP_001247318.1	YGR274C
OG0002511	XP_001247322.2	YOR346W
OG0002512	XP_001247327.1	YJL005W
OG0002513	XP_001247329.1	YGR185C
OG0002514	XP_001247335.1	YER014W
OG0002515	XP_001247337.1	YGR183C
OG0002516	XP_001247338.1	YGR184C
OG0002517	XP_001247343.1	YER019W
OG0002518	XP_001247347.1	YGL252C
OG0002519	XP_001247350.1	YPR103W
OG0002520	XP_001247351.1	YPR010C
OG0002521	XP_001247360.1	YGR093W
OG0002522	XP_001247361.1	YBL004W
OG0002523	XP_001247362.1	YNL310C
OG0002524	XP_001247364.1	YDR489W
OG0002525	XP_001247366.1	YMR036C
OG0002526	XP_001247370.1	YEL055C
OG0002527	XP_001247371.1	YOR348C
OG0002528	XP_001247376.2	YGR188C
OG0002529	XP_001247378.2	YKL114C
OG0002530	XP_001247382.1	YHR183W
OG0002531	XP_001247383.1	YHR121W
OG0002532	XP_001247384.2	YML038C
OG0002533	XP_001247390.1	YBR160W
OG0002534	XP_001247392.1	YLR387C
OG0002535	XP_001247398.1	YOL060C
OG0002536	XP_001247401.1	YER140W
OG0002537	XP_001247402.2	YBR281C
OG0002538	XP_001247417.2	YEL012W
OG0002539	XP_001247420.1	YBR217W
OG0002540	XP_001247421.1	YBR176W
OG0002541	XP_001247423.1	YDR052C
OG0002542	XP_001247424.1	YER078C
OG0002543	XP_001247444.1	YML009C
OG0002544	XP_001247448.1	YDR443C
OG0002545	XP_001247449.1	YGR145W
OG0002546	XP_001247451.1	YPR185W
OG0002547	XP_001247455.2	YNR006W
OG0002548	XP_001247458.1	YJL034W
OG0002549	XP_001247462.1	YNL111C
OG0002550	XP_001247464.1	YHL002W
OG0002551	XP_001247465.2	YHL007C
OG0002552	XP_001247466.2	YJL080C
OG0002553	XP_001247469.1	YGL094C
OG0002554	XP_001247474.1	YML004C
OG0002555	XP_001247479.1	YAL048C
OG0002556	XP_001247480.1	YHR016C
OG0002557	XP_001247484.1	YIL044C
OG0002558	XP_001247486.2	YCL033C
OG0002559	XP_001247490.2	YML127W
OG0002560	XP_001247493.2	YKR097W
OG0002561	XP_001247496.1	YPR108W
OG0002562	XP_001247497.1	YCR098C
OG0002563	XP_001247498.1	YOL147C
OG0002564	XP_001247499.2	YGL166W
OG0002565	XP_001247501.1	YEL019C
OG0002566	XP_001247503.2	YBR236C
OG0002567	XP_001247514.1	YJR064W
OG0002568	XP_001247516.1	YNL216W
OG0002569	XP_001247523.1	YCR054C
OG0002570	XP_001247524.1	YBR062C
OG0002571	XP_001247536.1	YDR037W
OG0002572	XP_001247538.1	YER141W
OG0002573	XP_001247545.1	YGR286C
OG0002574	XP_001247550.1	YHR147C
OG0002575	XP_001247551.2	YOL064C
OG0002576	XP_001247552.1	YCL034W
OG0002577	XP_001247558.1	YBR142W
OG0002578	XP_001247559.1	YBR061C
OG0002579	XP_001247560.1	YFR030W
OG0002580	XP_001247561.1	YER004W
OG0002581	XP_001247565.1	YGR135W
OG0002582	XP_001247570.1	YDL087C
OG0002583	XP_001247571.2	YHR188C
OG0002584	XP_001247573.1	YKL010C
OG0002585	XP_001247577.1	YNL010W
OG0002586	XP_001247585.1	YML110C
OG0002587	XP_001247589.2	YMR014W
OG0002588	XP_001247590.1	YLR017W
OG0002589	XP_001247595.1	YIL153W
OG0002590	XP_001247599.2	YER162C
OG0002591	XP_001247600.1	YHR018C
OG0002592	XP_001247603.2	YGL164C
OG0002593	XP_001247604.1	YDR172W
OG0002594	XP_001247605.1	YLR435W
OG0002595	XP_001247608.1	YDR299W
OG0002596	XP_001247611.2	YML007W
OG0002597	XP_001247613.2	YPL006W
OG0002598	XP_001247614.1	YER110C
OG0002599	XP_001247617.1	YOL135C
OG0002600	XP_001247626.1	YKL007W
OG0002601	XP_001247635.1	YMR137C
OG0002602	XP_001247636.1	YBL026W
OG0002603	XP_001247641.1	YFR016C
OG0002604	XP_001247642.1	YJL121C
OG0002605	XP_001247652.1	YGR096W
OG0002606	XP_001247666.2	YGR276C
OG0002607	XP_001247675.1	YDR245W
OG0002608	XP_001247678.1	YPL011C
OG0002609	XP_001247682.1	YDR294C
OG0002610	XP_001247683.1	YMR286W
OG0002611	XP_001247686.1	YDL120W
OG0002612	XP_001247687.2	YBL071W-A
OG0002613	XP_001247693.2	YJL031C
OG0002614	XP_001247694.1	YPL249C
OG0002615	XP_001247696.2	YHR191C
OG0002616	XP_001247699.1	YPR023C
OG0002617	XP_001247701.1	YLL027W
OG0002618	XP_001247704.1	YDR190C
OG0002619	XP_001247705.1	YMR193W
OG0002620	XP_001247706.1	YJL183W
OG0002621	XP_001247707.1	YDL015C
OG0002622	XP_001247709.1	YDR457W
OG0002623	XP_001247710.1	YER099C
OG0002624	XP_001247719.1	YNL129W
OG0002625	XP_001247720.1	YBR115C
OG0002626	XP_001247726.1	YNL279W
OG0002627	XP_001247728.1	YNL218W
OG0002628	XP_001247729.2	YJL060W
OG0002629	XP_001247731.2	YOR257W
OG0002630	XP_001247739.2	YLR153C
OG0002631	XP_001247740.1	YGL092W
OG0002632	XP_001247745.1	YDR486C
OG0002633	XP_001247746.2	YOL122C
OG0002634	XP_001247748.2	YDR374C
OG0002635	XP_001247761.2	YER010C
OG0002636	XP_001247766.1	YNL036W
OG0002637	XP_001247770.1	YBR004C
OG0002638	XP_001247771.1	YFL007W
OG0002639	XP_001247773.1	YOR270C
OG0002640	XP_001247775.1	YLR377C
OG0002641	XP_001247781.1	YDR214W
OG0002642	XP_001247782.1	YIL099W
OG0002643	XP_001247784.2	YNR050C
OG0002644	XP_001247785.2	YBR002C
OG0002645	XP_001247790.1	YFR033C
OG0002646	XP_001247796.2	YAL041W
OG0002647	XP_001247804.1	YLR100W
OG0002648	XP_001247805.1	YDL055C
OG0002649	XP_001247807.1	YPR024W
OG0002650	XP_001247814.1	YLL040C
OG0002651	XP_001247816.1	YHR008C
OG0002652	XP_001247818.2	YOL146W
OG0002653	XP_001247826.2	YIL125W
OG0002654	XP_001247828.2	YOL073C
OG0002655	XP_001247829.1	YDR311W
OG0002656	XP_001247831.1	YJL054W
OG0002657	XP_001247833.1	YNL161W
OG0002658	XP_001247834.1	YDL043C
OG0002659	XP_001247835.2	YER007W
OG0002660	XP_001247840.1	YJR072C
OG0002661	XP_001247846.2	YLR352W
OG0002662	XP_001247851.1	YDL040C
OG0002663	XP_001247856.1	YNL240C
OG0002664	XP_001247858.2	YDR354W
OG0002665	XP_001247862.1	YDR248C
OG0002666	XP_001247863.1	YJL053W
OG0002667	XP_001247865.1	YNL297C
OG0002668	XP_001247866.1	YGL087C
OG0002669	XP_001247868.1	YDR152W
OG0002670	XP_001247869.1	YDR161W
OG0002671	XP_001247872.2	YOL124C
OG0002672	XP_001247879.1	YEL050C
OG0002673	XP_001247890.1	YNL242W
OG0002674	XP_001247896.1	YOR339C
OG0002675	XP_001247897.2	YBR274W
OG0002676	XP_001247899.1	YDR487C
OG0002677	XP_001247900.1	YKR062W
OG0002678	XP_001247903.1	YER134C
OG0002679	XP_001247905.2	YGL251C
OG0002680	XP_001247912.1	YDR336W
OG0002681	XP_001247913.1	YJL024C
OG0002682	XP_001247915.1	YLR045C
OG0002683	XP_001247916.2	YOR269W
OG0002684	XP_001247918.2	YER090W
OG0002685	XP_001247924.1	YOL107W
OG0002686	XP_001247925.2	YKL167C
OG0002687	XP_001247926.1	YPL160W
OG0002688	XP_001247930.2	YDL125C
OG0002689	XP_001247931.1	YLR380W
OG0002690	XP_001247932.1	YGR113W
OG0002691	XP_001247933.1	YMR223W
OG0002692	XP_001247935.2	YCR061W
OG0002693	XP_001247936.1	YPL246C
OG0002694	XP_001247937.1	YLR088W
OG0002695	XP_001247943.2	YIL109C
OG0002696	XP_001247944.1	YBL016W
OG0002697	XP_001247945.1	YOR278W
OG0002698	XP_001247948.1	YDR427W
OG0002699	XP_001247950.2	YMR301C
OG0002700	XP_001247952.2	YLR386W
OG0002701	XP_001247955.1	YLR074C
OG0002702	XP_001247958.1	YLR304C
OG0002703	XP_001247960.1	YBR126C
OG0002704	XP_001247965.1	YKR017C
OG0002705	XP_001247966.1	YDR211W
OG0002706	XP_001247968.1	YHR206W
OG0002707	XP_001247972.2	YGL221C
OG0002708	XP_001247973.2	YNL041C
OG0002709	XP_001247980.1	YMR307W
OG0002710	XP_001247982.1	YLR342W
OG0002711	XP_001247983.1	YMR296C
OG0002712	XP_001247986.1	YDL146W
OG0002713	XP_001247989.1	YDL149W
OG0002714	XP_001247990.2	YKL092C
OG0002715	XP_001247992.1	YDL156W
OG0002716	XP_001248012.2	YOR124C
OG0002717	XP_001248015.1	YBR290W
OG0002718	XP_001248020.2	YER026C
OG0002719	XP_001248021.1	YHR089C
OG0002720	XP_001248022.1	YIL078W
OG0002721	XP_001248025.1	YMR089C
OG0002722	XP_001248027.2	YLR234W
OG0002723	XP_001248032.1	YPR098C
OG0002724	XP_001248033.2	YMR106C
OG0002725	XP_001248034.1	YGL212W
OG0002726	XP_001248036.1	YLL018C
OG0002727	XP_001248040.1	YDR306C
OG0002728	XP_001248041.1	YNL287W
OG0002729	XP_001248042.1	YOR281C
OG0002730	XP_001248051.2	YHR186C
OG0002731	XP_001248066.1	YPL098C
OG0002732	XP_001248070.1	YPR166C
OG0002733	XP_001248071.1	YML081C-A
OG0002734	XP_001248073.2	YKL155C
OG0002735	XP_001248077.1	YOL142W
OG0002736	XP_001248080.1	YHR064C
OG0002737	XP_001248084.1	YOR336W
OG0002738	XP_001248086.2	YIR027C
OG0002739	XP_001248094.1	YGR078C
OG0002740	XP_001248095.2	YLR189C
OG0002741	XP_001248108.1	YOL022C
OG0002742	XP_001248112.2	YLL035W
OG0002743	XP_001248114.1	YLR058C
OG0002744	XP_001248117.1	YLR200W
OG0002745	XP_001248118.1	YPR173C
OG0002746	XP_001248121.1	YOR289W
OG0002747	XP_001248123.1	YNL262W
OG0002748	XP_001248124.2	YDR231C
OG0002749	XP_001248126.1	YLR197W
OG0002750	XP_001248128.1	YDR188W
OG0002751	XP_001248129.1	YMR127C
OG0002752	XP_001248131.1	YCR024C
OG0002753	XP_001248145.2	YOL075C
OG0002754	XP_001248148.1	YHR098C
OG0002755	XP_001248153.2	YLR115W
OG0002756	XP_001248157.1	YNL051W
OG0002757	XP_001248158.1	YJL004C
OG0002758	XP_001248159.1	YMR244C-A
OG0002759	XP_001248160.2	YPL190C
OG0002760	XP_001248161.2	YOL114C
OG0002761	XP_001248162.1	YDR449C
OG0002762	XP_001248163.1	YCR017C
OG0002763	XP_001248166.1	YOL090W
OG0002764	XP_001248171.1	YKL053C-A
OG0002765	XP_001248172.1	YOR001W
OG0002766	XP_001248178.1	YMR079W
OG0002767	XP_001248179.1	YPL233W
OG0002768	XP_001248182.1	YPR051W
OG0002769	XP_001248196.1	YKL070W
OG0002770	XP_001248207.1	YLR009W
OG0002771	XP_001248208.1	YLR008C
OG0002772	XP_001248210.2	YHR030C
OG0002773	XP_001248217.1	YER065C
OG0002774	XP_001248223.1	YDR001C
OG0002775	XP_001248253.1	YHL013C
OG0002776	XP_001248259.1	YBR043C
OG0002777	XP_001248263.1	YHR073W
OG0002778	XP_001248264.2	YHR069C
OG0002779	XP_001248266.2	YLL063C
OG0002780	XP_001248270.1	YNL175C
OG0002781	XP_001248276.1	YDR074W
OG0002782	XP_001248284.2	YKR030W
OG0002783	XP_001248294.2	YFR047C
OG0002784	XP_001248303.2	YKR031C
OG0002785	XP_001248308.1	YGL103W
OG0002786	XP_001248309.2	YPL008W
OG0002787	XP_001248314.1	YFL044C
OG0002788	XP_001248316.1	YLR272C
OG0002789	XP_001248317.2	YDL017W
OG0002790	XP_001248329.1	YGL143C
OG0002791	XP_001248330.2	YBR291C
OG0002792	XP_001248331.1	YDL160C
OG0002793	XP_001248332.1	YLR383W
OG0002794	XP_001248333.2	YFR044C
OG0002795	XP_001248334.1	YKR085C
OG0002796	XP_001248337.1	YGR090W
OG0002797	XP_001248338.1	YMR129W
OG0002798	XP_001248359.1	YDR148C
OG0002799	XP_001248361.1	YBL003C
OG0002800	XP_001248363.1	YNL223W
OG0002801	XP_001248386.2	YKR081C
OG0002802	XP_001248388.2	YHR062C
OG0002803	XP_001248389.1	YOR061W
OG0002804	XP_001248390.1	YGR094W
OG0002805	XP_001248396.2	YOL013C
OG0002806	XP_001248400.1	YGR044C
OG0002807	XP_001248401.2	YLR191W
OG0002808	XP_001248407.2	YIR032C
OG0002809	XP_001248408.1	YHR120W
OG0002810	XP_001248410.1	YPL236C
OG0002811	XP_001248412.1	YJR025C
OG0002812	XP_001248413.1	YOL010W
OG0002813	XP_001248414.1	YMR044W
OG0002814	XP_001248421.1	YDR057W
OG0002815	XP_001248422.1	YBL007C
OG0002816	XP_001248425.2	YGL018C
OG0002817	XP_001248428.1	YPR178W
OG0002818	XP_001248429.1	YHR076W
OG0002819	XP_001248430.1	YJR143C
OG0002820	XP_001248435.1	YGL022W
OG0002821	XP_001248436.2	YAL043C
OG0002822	XP_001248437.1	YAL013W
OG0002823	XP_001248439.1	YOL041C
OG0002824	XP_001248442.2	YKL144C
OG0002825	XP_001248443.1	YAL012W
OG0002826	XP_001248444.2	YIL110W
OG0002827	XP_001248449.2	YKL151C
OG0002828	XP_001248451.1	YDR382W
OG0002829	XP_001248452.1	YOL040C
OG0002830	XP_001248455.1	YJR109C
OG0002831	XP_001248458.1	YLR271W
OG0002832	XP_001248475.1	YDL148C
OG0002833	XP_001248479.1	YBR171W
OG0002834	XP_001248480.1	YGR270W
OG0002835	XP_001248482.1	YDR301W
OG0002836	XP_001248488.1	YBR162C
OG0002837	XP_001248491.1	YPL028W
OG0002838	XP_001248493.2	YHR122W
OG0002839	XP_001248497.1	YHR038W
OG0002840	XP_001248498.1	YNL209W
OG0002841	XP_001248500.2	YBR135W
OG0002842	XP_001248510.1	YOR335C
OG0002843	XP_001248517.2	YML035C
OG0002844	XP_001248522.1	YLL001W
OG0002845	XP_001248523.1	YEL004W
OG0002846	XP_001248524.2	YER173W
OG0002847	XP_001248533.2	YDR028C
OG0002848	XP_001248536.1	YJR014W
OG0002849	XP_001248539.1	YOR130C
OG0002850	XP_001248541.2	YLR245C
OG0002851	XP_001248547.2	YGL043W
OG0002852	XP_001248553.1	YDL193W
OG0002853	XP_001248554.1	YLR166C
OG0002854	XP_001248558.1	YMR235C
OG0002855	XP_001248560.1	YLL009C
OG0002856	XP_001248561.2	YOR002W
OG0002857	XP_001248562.1	YGR159C
OG0002858	XP_001248566.2	YDL143W
OG0002859	XP_001248567.2	YKL145W
OG0002860	XP_001248568.1	YKL148C
OG0002861	XP_001248569.1	YHR028C
OG0002862	XP_001248576.2	YNL329C
OG0002863	XP_001248582.1	YPR097W
OG0002864	XP_001248584.1	YHR070W
OG0002865	XP_001248585.1	YJL140W
OG0002866	XP_001248588.2	YDL240W
OG0002867	XP_001248590.2	YHR200W
OG0002868	XP_001248591.1	YDR246W
OG0002869	XP_001248594.1	YGL001C
OG0002870	XP_001248598.1	YFL033C
OG0002871	XP_001248606.1	YIR042C
OG0002872	XP_001248614.2	YGL237C
OG0002873	XP_001248618.1	YER049W
OG0002874	XP_001248624.1	YMR227C
OG0002875	XP_001248636.1	YPL210C
OG0002876	XP_001248642.1	YBR109C
OG0002877	XP_001248644.2	YOL018C
OG0002878	XP_001248645.1	YDR289C
OG0002879	XP_001248646.1	YGR167W
OG0002880	XP_001248652.1	YDR168W
OG0002881	XP_001248653.1	YLR188W
OG0002882	XP_001248662.2	YBL001C
OG0002883	XP_001248664.1	YNL107W
OG0002884	XP_001248665.1	YLR290C
OG0002885	XP_001248673.1	YDR103W
OG0002886	XP_001248674.1	YGL068W
OG0002887	XP_001248675.1	YJL008C
OG0002888	XP_001248676.1	YER178W
OG0002889	XP_001248677.1	YNL137C
OG0002890	XP_001248680.1	YBR029C
OG0002891	XP_001248687.1	YOL001W
OG0002892	XP_001248688.2	YLR316C
OG0002893	XP_001248694.2	YDL086W
OG0002894	XP_001248695.2	YER151C
OG0002895	XP_001248696.2	YLR427W
OG0002896	XP_001248703.1	YMR234W
OG0002897	XP_001248706.2	YIL107C
OG0002898	XP_001248710.1	YGR053C
OG0002899	XP_001248712.1	YMR302C
OG0002900	XP_001248713.1	YDR512C
OG0002901	XP_001248715.1	YDL171C
OG0002902	XP_001248723.1	YLL024C
OG0002903	XP_001248726.2	YIL004C
OG0002904	XP_001248732.1	YDL198C
OG0002905	XP_001248737.1	YBL078C
OG0002906	XP_001248739.2	YDR044W
OG0002907	XP_001248747.1	YHR138C
OG0002908	XP_001248748.1	YDR228C
OG0002909	XP_001248754.1	YDR226W
OG0002910	XP_001248755.1	YOR261C
OG0002911	XP_001248761.1	YML014W
OG0002912	XP_001248763.1	YKL089W
OG0002913	XP_001248764.1	YNL072W
OG0002914	XP_001248771.1	YPL222W
OG0002915	XP_001248772.1	YDL124W
OG0002916	XP_001248779.1	YAL023C
OG0002917	XP_001248783.2	YGL207W
OG0002918	XP_001248795.2	YLR209C
OG0002919	XP_001248796.1	YLR051C
OG0002920	XP_001248797.2	YOR358W
OG0002921	XP_001248798.2	YGL233W
OG0002922	XP_001248808.1	YOR115C
OG0002923	XP_001248828.2	YCL012C
OG0002924	XP_001248829.1	YOR319W
OG0002925	XP_001248830.1	YIL134W
OG0002926	XP_001248832.1	YOR113W
OG0002927	XP_001248837.1	YCR084C
OG0002928	XP_001248839.1	YLR056W
OG0002929	XP_001248840.1	YMR125W
OG0002930	XP_001248842.1	YMR139W
OG0002931	XP_001248847.1	YMR203W
OG0002932	XP_001248848.2	YLR345W
OG0002933	XP_001248849.1	YIL008W
OG0002934	XP_001248850.2	YGR200C
OG0002935	XP_001248851.1	YFL028C
OG0002936	XP_001248852.2	YOR274W
OG0002937	XP_001248853.2	YGL246C
OG0002938	XP_001248854.1	YOR164C
OG0002939	XP_001248860.1	YOL094C
OG0002940	XP_001248864.1	YNL063W
OG0002941	XP_001248866.1	YOR037W
OG0002942	XP_001248867.1	YOR184W
OG0002943	XP_001248868.1	YDR234W
OG0002944	XP_001248870.2	YMR023C
OG0002945	XP_001248875.1	YNL271C
OG0002946	XP_001248879.1	YOR388C
OG0002947	XP_001248882.1	YMR274C
OG0002948	XP_001248887.2	YOR175C
OG0002949	XP_001248888.1	YGL095C
OG0002950	XP_001248900.1	YEL007W
OG0002951	XP_001248904.1	YDL142C
OG0002952	XP_001248908.1	YGL236C
OG0002953	XP_001248909.1	YMR009W
OG0002954	XP_001248910.1	YLL006W
OG0002955	XP_001248913.1	YNL039W
OG0002956	XP_001248914.1	YDL074C
OG0002957	XP_001248916.1	YGL119W
OG0002958	XP_001248926.2	YOR287C
OG0002959	XP_001248928.1	YPL048W
OG0002960	XP_001248929.2	YBR146W
OG0002961	XP_001248935.1	YDR257C
OG0002962	XP_001248936.1	YKR038C
OG0002963	XP_001248937.2	YNL113W
OG0002964	XP_001248940.1	YMR210W
OG0002965	XP_001248941.1	YDR407C
OG0002966	XP_001248945.2	YHR058C
OG0002967	XP_001248946.1	YJL055W
OG0002968	XP_001248947.1	YMR314W
OG0002969	XP_001248949.1	YJR044C
OG0002970	XP_001249017.1	YOL129W
OG0002971	XP_001249018.2	YBR101C
OG0002972	XP_001249020.1	YFL039C
OG0002973	XP_001249025.1	YGL234W
OG0002974	XP_001249026.1	YOR017W
OG0002975	XP_001249028.1	YOR202W
OG0002976	XP_001249044.1	YMR297W
OG0002977	XP_001249045.1	YLR022C
OG0002978	XP_001249054.1	YBR155W
OG0002979	XP_001249057.1	YNL123W
OG0002980	XP_001249058.1	YBR156C
OG0002981	XP_001249063.1	YIL101C
OG0002982	XP_001249065.2	YNL088W
OG0002983	XP_001249092.2	YDR373W
OG0002984	XP_001249097.1	YGL058W
OG0002985	XP_001249104.2	YDR205W
OG0002986	XP_001249105.1	YBR110W
OG0002987	XP_001249109.1	YOR100C
OG0002988	XP_001249116.1	YER127W
OG0002989	XP_004444643.1	YHR111W
OG0002990	XP_004444760.1	YHR164C
OG0002991	XP_004445054.1	YML046W
OG0002992	XP_004445102.1	YAL044W-A
OG0002993	XP_004445251.1	YMR231W
OG0002994	XP_004445268.1	YOR052C
OG0002995	XP_004445329.1	YDR159W
OG0002996	XP_004445349.1	YFL010C
OG0002997	XP_004445383.1	YGR006W
OG0002998	XP_004445731.1	YIL064W
OG0002999	XP_004445761.1	YFL014W
OG0003000	XP_004445769.1	YLR351C
OG0003001	XP_004445914.1	YNL250W
OG0003002	XP_004445985.1	YGR095C
OG0003003	XP_004446133.1	YPL123C
OG0003004	XP_004446136.1	YDL128W
OG0003005	XP_004446141.1	YLL032C
OG0003006	XP_004446456.1	YBR132C
OG0003007	XP_012213630.1	YBR233W-A
OG0003008	XP_012213636.1	YIR038C
OG0003009	XP_012213641.1	YKR079C
OG0003010	XP_012213673.1	YNR032C-A
OG0003011	XP_012213674.1	YOL061W
OG0003012	XP_012213678.1	YMR091C
OG0003013	XP_012213681.1	YER148W
OG0003014	XP_012213682.1	YLR262C-A
OG0003015	XP_012213685.1	YLR016C
OG0003016	XP_012213688.1	YDR288W
OG0003017	XP_012213703.1	YBR074W
OG0003018	XP_012213709.1	YOL102C
OG0003019	XP_012213710.1	YBL104C
OG0003020	XP_012213728.1	YNR041C
OG0003021	XP_012213730.1	YNL011C
OG0003022	XP_012213733.1	YLR393W
OG0003023	XP_012213736.1	YPR082C
OG0003024	XP_012213747.1	YOR367W
OG0003025	XP_012213752.1	YGR261C
OG0003026	XP_012213762.1	YJL039C
OG0003027	XP_012213763.1	YBL088C
OG0003028	XP_012213766.1	YML061C
OG0003029	XP_012213767.1	YJL090C
OG0003030	XP_012213771.1	YMR004W
OG0003031	XP_012213772.1	YPR094W
OG0003032	XP_012213773.1	YNL325C
OG0003033	XP_012213780.1	YER012W
OG0003034	XP_012213781.1	YFR005C
OG0003035	XP_012213784.1	YOR272W
OG0003036	XP_012213790.1	YKR065C
OG0003037	XP_012213795.1	YJL204C
OG0003038	XP_012213801.1	YLR118C
OG0003039	XP_012213816.1	YEL032W
OG0003040	XP_012213824.1	YMR041C
OG0003041	XP_012213870.1	YGL131C
OG0003042	XP_012213873.1	YJR086W
OG0003043	XP_012213875.1	YHR005C-A
OG0003044	XP_012213878.1	YJR036C
OG0003045	XP_012213879.1	YGL211W
OG0003046	XP_012213881.1	YNR013C
OG0003047	XP_012213884.1	YJL025W
OG0003048	XP_012213889.1	YNL015W
OG0003049	XP_012213893.1	YLR038C
OG0003050	XP_012213896.1	YDR137W
OG0003051	XP_012213897.1	YIL073C
OG0003052	XP_012213899.1	YLL023C
OG0003053	XP_012213925.1	YGR213C
OG0003054	XP_012213931.1	YPR073C
OG0003055	XP_012213938.1	YCL057W
OG0003056	XP_012213946.1	YER146W
OG0003057	XP_012213952.1	YBR246W
OG0003058	XP_012213957.1	YCL031C
OG0003059	XP_012213958.1	YER058W
OG0003060	XP_012213972.1	YDR434W
OG0003061	XP_012214005.1	YBR247C
OG0003062	XP_012214006.1	YMR033W
OG0003063	XP_012214007.1	YLR007W
OG0003064	XP_012214028.1	YPL183W-A
OG0003065	XP_012214039.1	YNL023C
OG0003066	XP_012214048.1	YHR083W
OG0003067	XP_012214050.1	YNR007C
OG0003068	XP_012214056.1	YLR148W
OG0003069	XP_012214071.1	YOR351C
OG0003070	XP_012214082.1	YER015W
OG0003071	XP_012214085.1	YGR215W
OG0003072	XP_012214088.1	YMR201C
