	Ambrosiozyma_monospora	Saccharomyces_cerevisiae
OG0000021	-processed-gene-0.33-mRNA-1_1&gene=genemark-gi|1002318495|dbj|BCIP01000066.1|-processed-gene-0.33&CDS=1-585, -processed-gene-0.38-mRNA-1_1&gene=genemark-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-0.38&CDS=1-585, -processed-gene-1.26-mRNA-1_1&gene=genemark-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.26&CDS=1-585, -processed-gene-1.42-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.42&CDS=1-585, -processed-gene-2.93-mRNA-1_1&gene=genemark-gi|1002318531|dbj|BCIP01000030.1|-processed-gene-2.93&CDS=1-585	YDR453C, YML028W
OG0000022	-processed-gene-0.18-mRNA-1_1&gene=snap_masked-gi|1002318500|dbj|BCIP01000061.1|-processed-gene-0.18&CDS=1-813, -processed-gene-0.28-mRNA-1_1&gene=genemark-gi|1002318500|dbj|BCIP01000061.1|-processed-gene-0.28&CDS=1-1929, -processed-gene-0.30-mRNA-1_1&gene=snap_masked-gi|1002318511|dbj|BCIP01000050.1|-processed-gene-0.30&CDS=1-1527, -processed-gene-1.59-mRNA-1_1&gene=snap_masked-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-1.59&CDS=1-2859, -processed-gene-7.82-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-7.82&CDS=1-651, -processed-gene-8.13-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-8.13&CDS=1-2868, -snap-gene-0.58-mRNA-1_1&gene=maker-gi|1002318501|dbj|BCIP01000060.1|-snap-gene-0.58&CDS=1-1782	
OG0000023	-processed-gene-0.40-mRNA-1_1&gene=snap_masked-gi|1002318516|dbj|BCIP01000045.1|-processed-gene-0.40&CDS=1-1800, -processed-gene-13.77-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-13.77&CDS=1-1809, -processed-gene-5.91-mRNA-1_1&gene=augustus_masked-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-5.91&CDS=1-1863, -processed-gene-8.0-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.0&CDS=1-5253, -processed-gene-8.32-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.32&CDS=1-438, -processed-gene-8.8-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.8&CDS=1-1857	YJL163C
OG0000024	-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-3.45&CDS=1-1815, -processed-gene-3.46-mRNA-1_1&gene=augustus_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-3.46&CDS=1-1914, -processed-gene-3.47-mRNA-1_1&gene=augustus_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-3.47&CDS=1-1854, -processed-gene-7.33-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.33&CDS=1-1908	YDR144C, YLR120C, YLR121C
OG0000025	-processed-gene-1.66-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-1.66&CDS=1-1638, -processed-gene-1.67-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-1.67&CDS=1-1638, -processed-gene-1.82-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-1.82&CDS=1-1626, -processed-gene-4.64-mRNA-1_1&gene=genemark-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-4.64&CDS=1-1674, -processed-gene-5.165-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-5.165&CDS=1-1656, -processed-gene-6.29-mRNA-1_1&gene=genemark-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-6.29&CDS=1-1665	YDR242W
OG0000026	-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-0.54&CDS=1-1599, -processed-gene-0.55-mRNA-1_1&gene=augustus_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-0.55&CDS=1-1632, -processed-gene-0.56-mRNA-1_1&gene=augustus_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-0.56&CDS=1-1548, -snap-gene-3.97-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-3.97&CDS=1-3288	YLR152C, YNL095C, YOR092W
OG0000027	-augustus-gene-0.19-mRNA-1_1&gene=maker-gi|1002318491|dbj|BCIP01000070.1|-augustus-gene-0.19&CDS=1-2469, -processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002318445|dbj|BCIP01000116.1|-processed-gene-0.1&CDS=1-732, -processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002318455|dbj|BCIP01000106.1|-processed-gene-0.1&CDS=1-738, -processed-gene-0.4-mRNA-1_1&gene=genemark-gi|1002318473|dbj|BCIP01000088.1|-processed-gene-0.4&CDS=1-1275	YMR253C, YPL264C
OG0000028	-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|1002318499|dbj|BCIP01000062.1|-processed-gene-0.26&CDS=1-765, -processed-gene-0.26-mRNA-1_1&gene=snap_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-0.26&CDS=1-180, -processed-gene-0.53-mRNA-1_1&gene=genemark-gi|1002318499|dbj|BCIP01000062.1|-processed-gene-0.53&CDS=1-729, -processed-gene-1.87-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-1.87&CDS=1-648, -processed-gene-6.10-mRNA-1_1&gene=augustus_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-6.10&CDS=1-753	YBR072W
OG0000029	-augustus-gene-0.8-mRNA-1_1&gene=maker-gi|1002318504|dbj|BCIP01000057.1|-augustus-gene-0.8&CDS=1-3672, -processed-gene-0.129-mRNA-1_1&gene=genemark-gi|1002318516|dbj|BCIP01000045.1|-processed-gene-0.129&CDS=1-3186, -processed-gene-0.22-mRNA-1_1&gene=augustus_masked-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.22&CDS=1-4098, -processed-gene-6.59-mRNA-1_1&gene=snap_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-6.59&CDS=1-3645	YAL051W, YOR363C
OG0000030	-processed-gene-0.100-mRNA-1_1&gene=genemark-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.100&CDS=1-1134, -processed-gene-0.62-mRNA-1_1&gene=augustus_masked-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.62&CDS=1-2259, -processed-gene-0.82-mRNA-1_1&gene=augustus_masked-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.82&CDS=1-1131	YCR102C, YLR460C, YNL134C
OG0000031	-processed-gene-0.12-mRNA-1_1&gene=genemark-gi|1002318519|dbj|BCIP01000042.1|-processed-gene-0.12&CDS=1-1584, -processed-gene-1.58-mRNA-1_1&gene=genemark-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-1.58&CDS=1-1536, -processed-gene-4.3-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-4.3&CDS=1-1530, -processed-gene-4.31-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-4.31&CDS=1-1539	YGR197C, YJR015W
OG0000032	-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-gi|1002318523|dbj|BCIP01000038.1|-processed-gene-0.173&CDS=1-1014, -processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-0.28&CDS=1-240, -processed-gene-0.31-mRNA-1_1&gene=augustus_masked-gi|1002318524|dbj|BCIP01000037.1|-processed-gene-0.31&CDS=1-5742, -processed-gene-0.6-mRNA-1_1&gene=augustus_masked-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-0.6&CDS=1-2451, -processed-gene-0.87-mRNA-1_1&gene=augustus_masked-gi|1002318520|dbj|BCIP01000041.1|-processed-gene-0.87&CDS=1-864, -processed-gene-1.18-mRNA-1_1&gene=augustus_masked-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-1.18&CDS=1-3099	
OG0000033	-augustus-gene-0.34-mRNA-1_1&gene=maker-gi|1002318544|dbj|BCIP01000017.1|-augustus-gene-0.34&CDS=1-957, -augustus-gene-0.66-mRNA-1_1&gene=maker-gi|1002318526|dbj|BCIP01000035.1|-augustus-gene-0.66&CDS=1-951, -processed-gene-1.46-mRNA-1_1&gene=snap_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.46&CDS=1-951, -processed-gene-5.12-mRNA-1_1&gene=genemark-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-5.12&CDS=1-885, -processed-gene-6.89-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-6.89&CDS=1-966	YDL124W
OG0000034	-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-1.87&CDS=1-273, -processed-gene-12.1-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-12.1&CDS=1-1326, -snap-gene-11.1-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-11.1&CDS=1-1209	YBR089C-A, YDL002C, YPR052C
OG0000035	-processed-gene-1.10-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-1.10&CDS=1-1122, -processed-gene-1.25-mRNA-1_1&gene=augustus_masked-gi|1002318531|dbj|BCIP01000030.1|-processed-gene-1.25&CDS=1-1149, -processed-gene-1.94-mRNA-1_1&gene=augustus_masked-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-1.94&CDS=1-3492, -processed-gene-3.49-mRNA-1_1&gene=augustus_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-3.49&CDS=1-1140, -processed-gene-5.14-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-5.14&CDS=1-1137	YMR152W
OG0000036	-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-2.124&CDS=1-1695, -processed-gene-4.87-mRNA-1_1&gene=genemark-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-4.87&CDS=1-1695, -processed-gene-8.3-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.3&CDS=1-1728	YGR087C, YLR044C, YLR134W
OG0000037	-snap-gene-0.26-mRNA-1_1&gene=maker-gi|1002318538|dbj|BCIP01000023.1|-snap-gene-0.26&CDS=1-636, -snap-gene-0.27-mRNA-1_1&gene=maker-gi|1002318538|dbj|BCIP01000023.1|-snap-gene-0.27&CDS=1-375	Q0045, Q0060, Q0065, Q0070
OG0000038	-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-1.26&CDS=1-414, -processed-gene-3.26-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.26&CDS=1-378, -processed-gene-5.12-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-5.12&CDS=1-339, -processed-gene-5.83-mRNA-1_1&gene=snap_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-5.83&CDS=1-366	YAL030W, YOR327C
OG0000039	-processed-gene-1.17-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-1.17&CDS=1-1752, -processed-gene-1.18-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-1.18&CDS=1-1665, -processed-gene-1.60-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.60&CDS=1-1659, -processed-gene-3.20-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-3.20&CDS=1-1665, -snap-gene-1.92-mRNA-1_1&gene=maker-gi|1002318541|dbj|BCIP01000020.1|-snap-gene-1.92&CDS=1-3270	YOR348C
OG0000040	-processed-gene-2.4-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-2.4&CDS=1-1557, -processed-gene-4.57-mRNA-1_1&gene=genemark-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-4.57&CDS=1-1557, -processed-gene-4.7-mRNA-1_1&gene=augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-4.7&CDS=1-1569	YER056C, YER060W, YER060W-A
OG0000041	-processed-gene-0.31-mRNA-1_1&gene=snap_masked-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-0.31&CDS=1-1521, -processed-gene-0.32-mRNA-1_1&gene=snap_masked-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-0.32&CDS=1-1482, -processed-gene-4.53-mRNA-1_1&gene=augustus_masked-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-4.53&CDS=1-1413, -processed-gene-4.56-mRNA-1_1&gene=snap_masked-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-4.56&CDS=1-1308, -processed-gene-5.30-mRNA-1_1&gene=snap_masked-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-5.30&CDS=1-1476	YPL272C
OG0000042	-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-10.99&CDS=1-1275, -processed-gene-11.38-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-11.38&CDS=1-6204, -processed-gene-11.52-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-11.52&CDS=1-1062, -processed-gene-11.53-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-11.53&CDS=1-672, -processed-gene-6.58-mRNA-1_1&gene=snap_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-6.58&CDS=1-432	YKL090W
OG0000043		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000044		YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C
OG0000045	-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002318449|dbj|BCIP01000112.1|-processed-gene-0.2&CDS=1-1308, -processed-gene-5.107-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.107&CDS=1-1728, -processed-gene-5.85-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.85&CDS=1-1728	YBR021W, YIR028W
OG0000046	-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002318475|dbj|BCIP01000086.1|-processed-gene-0.3&CDS=1-1401, -processed-gene-0.6-mRNA-1_1&gene=augustus_masked-gi|1002318469|dbj|BCIP01000092.1|-processed-gene-0.6&CDS=1-1410, -processed-gene-0.7-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-0.7&CDS=1-1716	YIL166C, YOL163W
OG0000047	-processed-gene-0.5-mRNA-1_1&gene=genemark-gi|1002318483|dbj|BCIP01000078.1|-processed-gene-0.5&CDS=1-309, -processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.14&CDS=1-309, -processed-gene-3.37-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-3.37&CDS=1-309	YBR009C, YNL030W
OG0000048	-processed-gene-0.66-mRNA-1_1&gene=genemark-gi|1002318505|dbj|BCIP01000056.1|-processed-gene-0.66&CDS=1-1053, -processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-0.83&CDS=1-1041, -processed-gene-0.84-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.84&CDS=1-1032, -snap-gene-1.1-mRNA-1_1&gene=maker-gi|1002318549|dbj|BCIP01000012.1|-snap-gene-1.1&CDS=1-2001	YPL088W
OG0000049	-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-gi|1002318512|dbj|BCIP01000049.1|-processed-gene-0.57&CDS=1-1467, -processed-gene-0.76-mRNA-1_1&gene=augustus_masked-gi|1002318525|dbj|BCIP01000036.1|-processed-gene-0.76&CDS=1-1365, -processed-gene-1.69-mRNA-1_1&gene=genemark-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-1.69&CDS=1-1566, -snap-gene-1.0-mRNA-1_1&gene=maker-gi|1002318542|dbj|BCIP01000019.1|-snap-gene-1.0&CDS=1-1155	YBR280C
OG0000050	-processed-gene-0.78-mRNA-1_1&gene=genemark-gi|1002318513|dbj|BCIP01000048.1|-processed-gene-0.78&CDS=1-1902, -processed-gene-5.15-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-5.15&CDS=1-366, -processed-gene-5.16-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-5.16&CDS=1-393	YGR221C, YHR149C
OG0000051	-processed-gene-0.59-mRNA-1_1&gene=genemark-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-0.59&CDS=1-1749, -processed-gene-0.69-mRNA-1_1&gene=genemark-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-0.69&CDS=1-1755, -processed-gene-0.80-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-0.80&CDS=1-1743, -processed-gene-2.3-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-2.3&CDS=1-1734	YKR039W
OG0000052	-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.147&CDS=1-2622	YBR297W, YFL052W, YGR288W, YPR196W
OG0000053	-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-0.4&CDS=1-1140, -processed-gene-9.70-mRNA-1_1&gene=augustus_masked-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-9.70&CDS=1-1095	YEL006W, YIL006W, YIL134W
OG0000054	-processed-gene-1.72-mRNA-1_1&gene=genemark-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-1.72&CDS=1-1374, -processed-gene-6.65-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-6.65&CDS=1-1464, -snap-gene-3.126-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-snap-gene-3.126&CDS=1-2841	YBR177C, YPL095C
OG0000055	-processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-0.16&CDS=1-531, -processed-gene-0.57-mRNA-1_1&gene=genemark-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-0.57&CDS=1-549, -processed-gene-1.77-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.77&CDS=1-558	YBR164C, YMR138W
OG0000056	-processed-gene-1.2-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-1.2&CDS=1-1278, -processed-gene-3.22-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-3.22&CDS=1-1278, -processed-gene-4.16-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-4.16&CDS=1-1278	YLR300W, YOR190W
OG0000057	-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-2.23&CDS=1-1395, -processed-gene-2.87-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-2.87&CDS=1-1395, -processed-gene-4.34-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-4.34&CDS=1-1392, -snap-gene-3.103-mRNA-1_1&gene=maker-gi|1002318557|dbj|BCIP01000004.1|-snap-gene-3.103&CDS=1-1488, -snap-gene-3.104-mRNA-1_1&gene=maker-gi|1002318557|dbj|BCIP01000004.1|-snap-gene-3.104&CDS=1-1104	
OG0000058	-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-0.58&CDS=1-246, -processed-gene-2.33-mRNA-1_1&gene=augustus_masked-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-2.33&CDS=1-246, -processed-gene-3.20-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-3.20&CDS=1-2634, -processed-gene-5.69-mRNA-1_1&gene=snap_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-5.69&CDS=1-249	YDR524C
OG0000059	-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-2.60&CDS=1-1737, -snap-gene-6.71-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-6.71&CDS=1-3840	YOR389W, YPL277C, YPL278C
OG0000060	-snap-gene-6.1-mRNA-1_1&gene=maker-gi|1002318555|dbj|BCIP01000006.1|-snap-gene-6.1&CDS=1-1776	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000061	-processed-gene-0.67-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-0.67&CDS=1-1017, -processed-gene-0.68-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-0.68&CDS=1-1014	YLL062C, YMR321C, YPL273W
OG0000062	-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-7.9&CDS=1-4635	YBL017C, YIL173W, YJL222W, YNR065C
OG0000063	-processed-gene-3.13-mRNA-1_1&gene=genemark-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-3.13&CDS=1-1551, -snap-gene-2.0-mRNA-1_1&gene=maker-gi|1002318557|dbj|BCIP01000004.1|-snap-gene-2.0&CDS=1-3219, -snap-gene-3.105-mRNA-1_1&gene=maker-gi|1002318557|dbj|BCIP01000004.1|-snap-gene-3.105&CDS=1-4965	YKL094W, YOL137W
OG0000064	-processed-gene-14.7-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-14.7&CDS=1-672, -snap-gene-1.3-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-1.3&CDS=1-3300	YGR201C, YKL081W, YPL048W
OG0000065	-processed-gene-12.19-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-12.19&CDS=1-393, -processed-gene-2.27-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-2.27&CDS=1-393, -processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-2.30&CDS=1-393	YBL002W, YDR224C
OG0000066	-processed-gene-12.4-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-12.4&CDS=1-393, -processed-gene-2.45-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-2.45&CDS=1-393, -processed-gene-2.81-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-2.81&CDS=1-393	YBL003C, YDR225W
OG0000067		YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000068	-processed-gene-0.15-mRNA-1_1&gene=snap_masked-gi|1002318516|dbj|BCIP01000045.1|-processed-gene-0.15&CDS=1-3291, -processed-gene-0.7-mRNA-1_1&gene=augustus_masked-gi|1002318482|dbj|BCIP01000079.1|-processed-gene-0.7&CDS=1-960, -processed-gene-1.106-mRNA-1_1&gene=augustus_masked-gi|1002318527|dbj|BCIP01000034.1|-processed-gene-1.106&CDS=1-2847	YCL074W
OG0000069	-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-gi|1002318492|dbj|BCIP01000069.1|-processed-gene-0.12&CDS=1-2463, -processed-gene-0.85-mRNA-1_1&gene=augustus_masked-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.85&CDS=1-2475	YDR147W, YLR133W
OG0000070	-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-gi|1002318494|dbj|BCIP01000067.1|-processed-gene-0.25&CDS=1-921, -processed-gene-0.41-mRNA-1_1&gene=genemark-gi|1002318519|dbj|BCIP01000042.1|-processed-gene-0.41&CDS=1-1032, -snap-gene-2.0-mRNA-1_1&gene=maker-gi|1002318549|dbj|BCIP01000012.1|-snap-gene-2.0&CDS=1-1842	YDL237W
OG0000071	-processed-gene-0.12-mRNA-1_1&gene=genemark-gi|1002318497|dbj|BCIP01000064.1|-processed-gene-0.12&CDS=1-1701, -processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002318497|dbj|BCIP01000064.1|-processed-gene-0.28&CDS=1-954	YJL079C, YKR013W
OG0000072	-augustus-gene-0.26-mRNA-1_1&gene=maker-gi|1002318497|dbj|BCIP01000064.1|-augustus-gene-0.26&CDS=1-501, -processed-gene-0.14-mRNA-1_1&gene=genemark-gi|1002318497|dbj|BCIP01000064.1|-processed-gene-0.14&CDS=1-561	YEL066W, YPR193C
OG0000073	-processed-gene-0.39-mRNA-1_1&gene=genemark-gi|1002318501|dbj|BCIP01000060.1|-processed-gene-0.39&CDS=1-1065, -processed-gene-4.123-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-4.123&CDS=1-981	YBR151W, YML050W
OG0000074	-processed-gene-0.48-mRNA-1_1&gene=genemark-gi|1002318501|dbj|BCIP01000060.1|-processed-gene-0.48&CDS=1-4488, -processed-gene-3.88-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-3.88&CDS=1-4494, -processed-gene-5.76-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-5.76&CDS=1-4491	YPL058C
OG0000075	-processed-gene-0.23-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-0.23&CDS=1-1989, -processed-gene-0.55-mRNA-1_1&gene=genemark-gi|1002318502|dbj|BCIP01000059.1|-processed-gene-0.55&CDS=1-1977, -snap-gene-0.5-mRNA-1_1&gene=maker-gi|1002318557|dbj|BCIP01000004.1|-snap-gene-0.5&CDS=1-3882	YMR008C
OG0000076	-processed-gene-0.17-mRNA-1_1&gene=genemark-gi|1002318503|dbj|BCIP01000058.1|-processed-gene-0.17&CDS=1-1662, -processed-gene-0.42-mRNA-1_1&gene=genemark-gi|1002318519|dbj|BCIP01000042.1|-processed-gene-0.42&CDS=1-1608	YFL011W, YMR011W
OG0000077	-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.29&CDS=1-1302, -processed-gene-0.42-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.42&CDS=1-1302	YDR312W, YHR066W
