	Metschnikowia_hawaiiensis	Saccharomyces_cerevisiae
OG0000054	snap_masked-haw-_s209-processed-gene-0.42-mRNA-1_1&gene=snap_masked-haw-_s209-processed-gene-0.42&CDS=1-1716, snap_masked-haw-_s32-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s32-processed-gene-0.39&CDS=1-384, snap_masked-haw-_s708-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_s708-processed-gene-0.1&CDS=1-3141	YBR081C, YKR008W
OG0000055	augustus_masked-haw-_s380-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-haw-_s380-processed-gene-0.15&CDS=1-1674, snap_masked-haw-_s23-processed-gene-0.49-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.49&CDS=1-1683	YDR144C, YLR120C, YLR121C
OG0000056	maker-haw-_s329-snap-gene-1.146-mRNA-1_1&gene=maker-haw-_s329-snap-gene-1.146&CDS=1-1917, snap_masked-haw-_s23-processed-gene-0.51-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.51&CDS=1-1503	YMR169C, YMR170C, YOR374W
OG0000057	genemark-haw-_s26-processed-gene-0.4-mRNA-1_1&gene=genemark-haw-_s26-processed-gene-0.4&CDS=1-720, snap_masked-haw-_s30-processed-gene-1.133-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-1.133&CDS=1-1368, snap_masked-haw-_s544-processed-gene-0.15-mRNA-1_1&gene=snap_masked-haw-_s544-processed-gene-0.15&CDS=1-11472	YHR099W, YML007W
OG0000058	snap_masked-haw-_s276-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s276-processed-gene-0.12&CDS=1-2319, snap_masked-haw-_s320-processed-gene-0.36-mRNA-1_1&gene=snap_masked-haw-_s320-processed-gene-0.36&CDS=1-2229	YAL053W, YGL139W, YPL221W
OG0000059	augustus_masked-haw-_s31-processed-gene-2.247-mRNA-1_1&gene=augustus_masked-haw-_s31-processed-gene-2.247&CDS=1-5115, augustus_masked-haw-_s558-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-haw-_s558-processed-gene-0.16&CDS=1-834, snap_masked-haw-_s300-processed-gene-0.251-mRNA-1_1&gene=snap_masked-haw-_s300-processed-gene-0.251&CDS=1-831, snap_masked-haw-_s32-processed-gene-0.44-mRNA-1_1&gene=snap_masked-haw-_s32-processed-gene-0.44&CDS=1-273	YLR425W
OG0000060	genemark-haw-_s326-processed-gene-0.19-mRNA-1_1&gene=genemark-haw-_s326-processed-gene-0.19&CDS=1-2487, snap_masked-haw-_s300-processed-gene-0.263-mRNA-1_1&gene=snap_masked-haw-_s300-processed-gene-0.263&CDS=1-2814	YCR037C, YJL198W, YNR013C
OG0000061	snap_masked-haw-_s31-processed-gene-1.76-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-1.76&CDS=1-996, snap_masked-haw-_s34-processed-gene-1.46-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-1.46&CDS=1-1485	YBL056W, YBR125C, YER089C
OG0000062	augustus_masked-haw-_s347-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-haw-_s347-processed-gene-0.46&CDS=1-2622, snap_masked-haw-_s31-processed-gene-2.21-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.21&CDS=1-1614	YBR024W, YBR037C, YGL186C
OG0000063	snap_masked-haw-_s32-processed-gene-0.31-mRNA-1_1&gene=snap_masked-haw-_s32-processed-gene-0.31&CDS=1-1530, snap_masked-haw-_s45-processed-gene-0.36-mRNA-1_1&gene=snap_masked-haw-_s45-processed-gene-0.36&CDS=1-1560, snap_masked-haw-_s45-processed-gene-0.53-mRNA-1_1&gene=snap_masked-haw-_s45-processed-gene-0.53&CDS=1-2016	YGR197C, YJR015W
OG0000064	genemark-haw-_s326-processed-gene-0.22-mRNA-1_1&gene=genemark-haw-_s326-processed-gene-0.22&CDS=1-2334, snap_masked-haw-_s487-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_s487-processed-gene-0.1&CDS=1-3594	YIL002C, YNL106C, YOR109W
OG0000065	snap_masked-haw-_s329-processed-gene-1.82-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-1.82&CDS=1-1899, snap_masked-haw-_s417-processed-gene-0.116-mRNA-1_1&gene=snap_masked-haw-_s417-processed-gene-0.116&CDS=1-1632, snap_masked-haw-_s602-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s602-processed-gene-0.10&CDS=1-1983	YBR015C, YJL186W
OG0000066	snap_masked-haw-_s34-processed-gene-0.14-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-0.14&CDS=1-2208	YBR297W, YFL052W, YGR288W, YPR196W
OG0000067	maker-haw-_s442-snap-gene-0.1-mRNA-1_1&gene=maker-haw-_s442-snap-gene-0.1&CDS=1-1863, snap_masked-haw-_s34-processed-gene-0.15-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-0.15&CDS=1-1722	YBR298C, YDL247W, YJR160C
OG0000068	snap_masked-haw-_s360-processed-gene-0.33-mRNA-1_1&gene=snap_masked-haw-_s360-processed-gene-0.33&CDS=1-1896, snap_masked-haw-_s67-processed-gene-0.16-mRNA-1_1&gene=snap_masked-haw-_s67-processed-gene-0.16&CDS=1-2109, snap_masked-haw-_s683-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s683-processed-gene-0.10&CDS=1-2007	YMR008C, YOL011W
OG0000069	genemark-haw-_s442-processed-gene-1.112-mRNA-1_1&gene=genemark-haw-_s442-processed-gene-1.112&CDS=1-3252, snap_masked-haw-_s4-processed-gene-0.117-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-0.117&CDS=1-1092	YBL067C, YER098W, YLR130C
OG0000070	snap_masked-haw-_s417-processed-gene-0.119-mRNA-1_1&gene=snap_masked-haw-_s417-processed-gene-0.119&CDS=1-1395, snap_masked-haw-_s466-processed-gene-0.19-mRNA-1_1&gene=snap_masked-haw-_s466-processed-gene-0.19&CDS=1-1293	YBL089W, YER119C, YIL088C
OG0000071	snap_masked-haw-_s451-processed-gene-0.109-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.109&CDS=1-3663, snap_masked-haw-_s463-processed-gene-1.133-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.133&CDS=1-3561	YJL042W, YOR227W, YPL137C
OG0000072	snap_masked-haw-_s579-processed-gene-0.65-mRNA-1_1&gene=snap_masked-haw-_s579-processed-gene-0.65&CDS=1-4521	YBL017C, YIL173W, YJL222W, YNR065C
OG0000073	augustus_masked-haw-_s72-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-haw-_s72-processed-gene-0.32&CDS=1-1407, snap_masked-haw-_s84-processed-gene-0.52-mRNA-1_1&gene=snap_masked-haw-_s84-processed-gene-0.52&CDS=1-1908	YDL159W, YOR231W, YPL140C
OG0000074	snap_masked-haw-_s90-processed-gene-0.97-mRNA-1_1&gene=snap_masked-haw-_s90-processed-gene-0.97&CDS=1-1188, snap_masked-haw-_s95-processed-gene-0.27-mRNA-1_1&gene=snap_masked-haw-_s95-processed-gene-0.27&CDS=1-1275	YCR094W, YNL323W, YNR048W
OG0000075	augustus_masked-haw-_C41916-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-haw-_C41916-processed-gene-0.1&CDS=1-207, augustus_masked-haw-_s516-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s516-processed-gene-0.2&CDS=1-264, snap_masked-haw-_s463-processed-gene-1.162-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.162&CDS=1-2388	YJR126C
OG0000076	augustus_masked-haw-_C42022-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-haw-_C42022-processed-gene-0.1&CDS=1-195, snap_masked-haw-_s119-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s119-processed-gene-0.7&CDS=1-303, snap_masked-haw-_s417-processed-gene-0.114-mRNA-1_1&gene=snap_masked-haw-_s417-processed-gene-0.114&CDS=1-357	YFL014W
OG0000077	augustus_masked-haw-_s323-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-haw-_s323-processed-gene-0.8&CDS=1-261, snap_masked-haw-_C43266-processed-gene-0.0-mRNA-1_1&gene=snap_masked-haw-_C43266-processed-gene-0.0&CDS=1-207, snap_masked-haw-_s34-processed-gene-2.72-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-2.72&CDS=1-1491	YCR065W
OG0000078	augustus_masked-haw-_C43300-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C43300-processed-gene-0.2&CDS=1-246, snap_masked-haw-_s553-processed-gene-0.3-mRNA-1_1&gene=snap_masked-haw-_s553-processed-gene-0.3&CDS=1-303, snap_masked-haw-_s72-processed-gene-0.143-mRNA-1_1&gene=snap_masked-haw-_s72-processed-gene-0.143&CDS=1-1311	YOL041C
OG0000079	augustus_masked-haw-_C43580-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C43580-processed-gene-0.0&CDS=1-201, augustus_masked-haw-_s359-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-haw-_s359-processed-gene-0.28&CDS=1-780, augustus_masked-haw-_s454-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s454-processed-gene-0.0&CDS=1-2463	YNL294C
OG0000080	augustus_masked-haw-_C43638-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C43638-processed-gene-0.0&CDS=1-258, augustus_masked-haw-_s546-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s546-processed-gene-0.0&CDS=1-663, snap_masked-haw-_s14-processed-gene-0.11-mRNA-1_1&gene=snap_masked-haw-_s14-processed-gene-0.11&CDS=1-3894	YNL250W
OG0000081	snap_masked-haw-_C44230-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_C44230-processed-gene-0.1&CDS=1-165, snap_masked-haw-_s275-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s275-processed-gene-0.6&CDS=1-213, snap_masked-haw-_s43-processed-gene-0.33-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.33&CDS=1-1707	YDR498C
OG0000082	augustus_masked-haw-_C44442-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C44442-processed-gene-0.0&CDS=1-300, augustus_masked-haw-_s79-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-haw-_s79-processed-gene-0.13&CDS=1-1440, snap_masked-haw-_s220-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.46&CDS=1-1581	YBR288C
OG0000083	augustus_masked-haw-_C44598-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C44598-processed-gene-0.2&CDS=1-306, snap_masked-haw-_s329-processed-gene-1.58-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-1.58&CDS=1-369	YMR230W, YOR293W
OG0000084	augustus_masked-haw-_C44720-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C44720-processed-gene-0.0&CDS=1-315, augustus_masked-haw-_s97-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-haw-_s97-processed-gene-0.4&CDS=1-288, snap_masked-haw-_s298-processed-gene-1.113-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.113&CDS=1-1626	YDR479C
OG0000085	augustus_masked-haw-_C44922-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C44922-processed-gene-0.2&CDS=1-291, augustus_masked-haw-_s179-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-haw-_s179-processed-gene-0.20&CDS=1-648, maker-haw-_s3-augustus-gene-0.4-mRNA-1_1&gene=maker-haw-_s3-augustus-gene-0.4&CDS=1-2535	YAL010C
OG0000086	augustus_masked-haw-_s160-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-haw-_s160-processed-gene-1.5&CDS=1-3261, snap_masked-haw-_s1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.72&CDS=1-2769	YDL132W, YGR003W
OG0000087	augustus_masked-haw-_s195-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-haw-_s195-processed-gene-1.183&CDS=1-2322, genemark-haw-_s329-processed-gene-0.2-mRNA-1_1&gene=genemark-haw-_s329-processed-gene-0.2&CDS=1-1563, snap_masked-haw-_s109-processed-gene-0.59-mRNA-1_1&gene=snap_masked-haw-_s109-processed-gene-0.59&CDS=1-1575	YER156C
OG0000088	snap_masked-haw-_s109-processed-gene-0.45-mRNA-1_1&gene=snap_masked-haw-_s109-processed-gene-0.45&CDS=1-2430, snap_masked-haw-_s31-processed-gene-2.66-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.66&CDS=1-2091	YKL188C, YPL147W
OG0000089	genemark-haw-_s113-processed-gene-2.165-mRNA-1_1&gene=genemark-haw-_s113-processed-gene-2.165&CDS=1-4341, snap_masked-haw-_s109-processed-gene-0.71-mRNA-1_1&gene=snap_masked-haw-_s109-processed-gene-0.71&CDS=1-4566	YDR011W, YOR153W
OG0000090	snap_masked-haw-_s11-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s11-processed-gene-0.6&CDS=1-360, snap_masked-haw-_s28-processed-gene-0.11-mRNA-1_1&gene=snap_masked-haw-_s28-processed-gene-0.11&CDS=1-1593	YDR501W, YLR183C
OG0000091	snap_masked-haw-_s113-processed-gene-0.92-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.92&CDS=1-993, snap_masked-haw-_s220-processed-gene-0.38-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.38&CDS=1-987	YCR034W, YLR372W
OG0000092	snap_masked-haw-_s113-processed-gene-0.125-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.125&CDS=1-1437, snap_masked-haw-_s113-processed-gene-0.97-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.97&CDS=1-1362	YDR463W, YHR006W
OG0000093	snap_masked-haw-_s113-processed-gene-0.101-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.101&CDS=1-3765, snap_masked-haw-_s191-processed-gene-0.15-mRNA-1_1&gene=snap_masked-haw-_s191-processed-gene-0.15&CDS=1-237, snap_masked-haw-_s540-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s540-processed-gene-0.4&CDS=1-180	YLL021W
OG0000094	genemark-haw-_s383-processed-gene-0.1-mRNA-1_1&gene=genemark-haw-_s383-processed-gene-0.1&CDS=1-2058, snap_masked-haw-_s113-processed-gene-1.142-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-1.142&CDS=1-294	YHL029C, YHR087W
OG0000095	augustus_masked-haw-_s113-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-haw-_s113-processed-gene-1.47&CDS=1-2649, snap_masked-haw-_s380-processed-gene-0.38-mRNA-1_1&gene=snap_masked-haw-_s380-processed-gene-0.38&CDS=1-2523	YBR073W, YGL163C
OG0000096	augustus_masked-haw-_s209-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-haw-_s209-processed-gene-0.106&CDS=1-2100, snap_masked-haw-_s113-processed-gene-2.79-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-2.79&CDS=1-2496	YIL095W, YNL020C
OG0000097	snap_masked-haw-_s113-processed-gene-2.119-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-2.119&CDS=1-861, snap_masked-haw-_s165-processed-gene-2.72-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-2.72&CDS=1-798	YIR013C, YLR013W
OG0000098	snap_masked-haw-_s115-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_s115-processed-gene-0.1&CDS=1-330, snap_masked-haw-_s209-processed-gene-0.15-mRNA-1_1&gene=snap_masked-haw-_s209-processed-gene-0.15&CDS=1-6861, snap_masked-haw-_s229-processed-gene-0.20-mRNA-1_1&gene=snap_masked-haw-_s229-processed-gene-0.20&CDS=1-999	YPL085W
OG0000099	genemark-haw-_s16-processed-gene-0.97-mRNA-1_1&gene=genemark-haw-_s16-processed-gene-0.97&CDS=1-1938, snap_masked-haw-_s121-processed-gene-0.49-mRNA-1_1&gene=snap_masked-haw-_s121-processed-gene-0.49&CDS=1-3237, snap_masked-haw-_s463-processed-gene-1.105-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.105&CDS=1-2877	YNL192W
OG0000100	snap_masked-haw-_s131-processed-gene-0.24-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-0.24&CDS=1-1095, snap_masked-haw-_s175-processed-gene-0.91-mRNA-1_1&gene=snap_masked-haw-_s175-processed-gene-0.91&CDS=1-1182	YGL038C, YJR075W
OG0000101	snap_masked-haw-_s131-processed-gene-1.59-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-1.59&CDS=1-1749, snap_masked-haw-_s90-processed-gene-0.77-mRNA-1_1&gene=snap_masked-haw-_s90-processed-gene-0.77&CDS=1-1677	YLR343W, YMR307W
OG0000102	snap_masked-haw-_s131-processed-gene-2.52-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-2.52&CDS=1-1050, snap_masked-haw-_s329-processed-gene-1.92-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-1.92&CDS=1-1050, snap_masked-haw-_s95-processed-gene-0.26-mRNA-1_1&gene=snap_masked-haw-_s95-processed-gene-0.26&CDS=1-1083	YML131W
OG0000103	augustus_masked-haw-_s143-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-haw-_s143-processed-gene-0.8&CDS=1-432, snap_masked-haw-_s359-processed-gene-0.146-mRNA-1_1&gene=snap_masked-haw-_s359-processed-gene-0.146&CDS=1-1626	YNL293W, YOL112W
OG0000104	snap_masked-haw-_s150-processed-gene-0.16-mRNA-1_1&gene=snap_masked-haw-_s150-processed-gene-0.16&CDS=1-702	YFL060C, YMR095C, YNL334C
OG0000105	snap_masked-haw-_s151-processed-gene-0.60-mRNA-1_1&gene=snap_masked-haw-_s151-processed-gene-0.60&CDS=1-984, snap_masked-haw-_s82-processed-gene-0.58-mRNA-1_1&gene=snap_masked-haw-_s82-processed-gene-0.58&CDS=1-978	YIL035C, YOR061W
OG0000106	genemark-haw-_s151-processed-gene-0.119-mRNA-1_1&gene=genemark-haw-_s151-processed-gene-0.119&CDS=1-1893, snap_masked-haw-_s417-processed-gene-0.126-mRNA-1_1&gene=snap_masked-haw-_s417-processed-gene-0.126&CDS=1-1818	YGL125W, YPL023C
OG0000107	augustus_masked-haw-_s72-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-haw-_s72-processed-gene-0.24&CDS=1-576, snap_masked-haw-_s151-processed-gene-1.69-mRNA-1_1&gene=snap_masked-haw-_s151-processed-gene-1.69&CDS=1-939	YFL029C, YPL031C
OG0000108	snap_masked-haw-_s154-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s154-processed-gene-0.2&CDS=1-990, snap_masked-haw-_s349-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s349-processed-gene-0.8&CDS=1-1044	YCL064C, YIL167W
OG0000109	snap_masked-haw-_s155-processed-gene-0.54-mRNA-1_1&gene=snap_masked-haw-_s155-processed-gene-0.54&CDS=1-2217, snap_masked-haw-_s284-processed-gene-0.174-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.174&CDS=1-2076, snap_masked-haw-_s30-processed-gene-0.71-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-0.71&CDS=1-2166	YER015W
OG0000110	snap_masked-haw-_s155-processed-gene-0.57-mRNA-1_1&gene=snap_masked-haw-_s155-processed-gene-0.57&CDS=1-2832, snap_masked-haw-_s195-processed-gene-1.93-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-1.93&CDS=1-2946	YGR240C, YMR205C
OG0000111	snap_masked-haw-_s155-processed-gene-0.70-mRNA-1_1&gene=snap_masked-haw-_s155-processed-gene-0.70&CDS=1-2328, snap_masked-haw-_s31-processed-gene-1.77-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-1.77&CDS=1-2403	YJL200C, YLR304C
OG0000112	augustus_masked-haw-_s160-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-haw-_s160-processed-gene-1.4&CDS=1-4716, snap_masked-haw-_s155-processed-gene-0.44-mRNA-1_1&gene=snap_masked-haw-_s155-processed-gene-0.44&CDS=1-4929, snap_masked-haw-_s31-processed-gene-0.82-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-0.82&CDS=1-4644	YDR135C
OG0000113	snap_masked-haw-_s157-processed-gene-0.19-mRNA-1_1&gene=snap_masked-haw-_s157-processed-gene-0.19&CDS=1-1539	YER056C, YER060W, YER060W-A
OG0000114	snap_masked-haw-_s159-processed-gene-0.35-mRNA-1_1&gene=snap_masked-haw-_s159-processed-gene-0.35&CDS=1-1359, snap_masked-haw-_s160-processed-gene-4.74-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.74&CDS=1-1344	YKL046C, YMR238W
OG0000115	augustus_masked-haw-_s30-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-haw-_s30-processed-gene-2.38&CDS=1-1629, snap_masked-haw-_s16-processed-gene-0.49-mRNA-1_1&gene=snap_masked-haw-_s16-processed-gene-0.49&CDS=1-1191	YBR025C, YHL014C
OG0000116	snap_masked-haw-_s16-processed-gene-0.72-mRNA-1_1&gene=snap_masked-haw-_s16-processed-gene-0.72&CDS=1-315, snap_masked-haw-_s298-processed-gene-2.104-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.104&CDS=1-315	YDL081C, YDL130W
OG0000117	augustus_masked-haw-_s16-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-haw-_s16-processed-gene-0.37&CDS=1-873, snap_masked-haw-_s30-processed-gene-2.249-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-2.249&CDS=1-897	YBR267W, YLR387C
OG0000118	snap_masked-haw-_s160-processed-gene-0.51-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-0.51&CDS=1-2382, snap_masked-haw-_s98-processed-gene-0.52-mRNA-1_1&gene=snap_masked-haw-_s98-processed-gene-0.52&CDS=1-2889	YER017C, YMR089C
OG0000119	augustus_masked-haw-_s160-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-haw-_s160-processed-gene-2.0&CDS=1-2523, snap_masked-haw-_s463-processed-gene-0.59-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.59&CDS=1-2898	YJL092W, YOL095C
OG0000120	snap_masked-haw-_s160-processed-gene-2.47-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-2.47&CDS=1-2241, snap_masked-haw-_s49-processed-gene-0.66-mRNA-1_1&gene=snap_masked-haw-_s49-processed-gene-0.66&CDS=1-1584	YDL138W, YDL194W
OG0000121	snap_masked-haw-_s160-processed-gene-3.45-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-3.45&CDS=1-1098, snap_masked-haw-_s613-processed-gene-0.25-mRNA-1_1&gene=snap_masked-haw-_s613-processed-gene-0.25&CDS=1-1083	YCR105W, YMR318C
OG0000122	snap_masked-haw-_s160-processed-gene-3.73-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-3.73&CDS=1-1527, snap_masked-haw-_s257-processed-gene-0.18-mRNA-1_1&gene=snap_masked-haw-_s257-processed-gene-0.18&CDS=1-1305	YER028C, YGL209W
OG0000123	snap_masked-haw-_s160-processed-gene-4.79-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.79&CDS=1-1707, snap_masked-haw-_s691-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_s691-processed-gene-0.1&CDS=1-1419	YGL003C, YGL116W
OG0000124	maker-haw-_s160-snap-gene-4.122-mRNA-1_1&gene=maker-haw-_s160-snap-gene-4.122&CDS=1-1437, maker-haw-_s329-augustus-gene-2.6-mRNA-1_1&gene=maker-haw-_s329-augustus-gene-2.6&CDS=1-2484	YGL202W, YHR137W
OG0000125	snap_masked-haw-_s160-processed-gene-4.113-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.113&CDS=1-3048, snap_masked-haw-_s22-processed-gene-0.22-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.22&CDS=1-3138	YLR389C, YPR122W
OG0000126	snap_masked-haw-_s160-processed-gene-4.94-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.94&CDS=1-1758, snap_masked-haw-_s256-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.47&CDS=1-1926	YDR398W, YHR196W
OG0000127	augustus_masked-haw-_s160-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-haw-_s160-processed-gene-4.155&CDS=1-636, snap_masked-haw-_s329-processed-gene-1.67-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-1.67&CDS=1-651	YDR399W, YJR133W
OG0000128	genemark-haw-_s30-processed-gene-1.62-mRNA-1_1&gene=genemark-haw-_s30-processed-gene-1.62&CDS=1-1911, snap_masked-haw-_s161-processed-gene-0.38-mRNA-1_1&gene=snap_masked-haw-_s161-processed-gene-0.38&CDS=1-1278	YKL139W, YPR161C
OG0000129	snap_masked-haw-_s161-processed-gene-0.17-mRNA-1_1&gene=snap_masked-haw-_s161-processed-gene-0.17&CDS=1-639, snap_masked-haw-_s81-processed-gene-0.82-mRNA-1_1&gene=snap_masked-haw-_s81-processed-gene-0.82&CDS=1-636	YKR014C, YOR089C
OG0000130	snap_masked-haw-_s165-processed-gene-2.65-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-2.65&CDS=1-3120, snap_masked-haw-_s698-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s698-processed-gene-0.13&CDS=1-1473	YDR388W, YJL020C
OG0000131	snap_masked-haw-_s165-processed-gene-3.118-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.118&CDS=1-1065, snap_masked-haw-_s72-processed-gene-0.123-mRNA-1_1&gene=snap_masked-haw-_s72-processed-gene-0.123&CDS=1-942	YDL047W, YNR032W
OG0000132	maker-haw-_s165-snap-gene-3.55-mRNA-1_1&gene=maker-haw-_s165-snap-gene-3.55&CDS=1-1308, snap_masked-haw-_s41-processed-gene-0.5-mRNA-1_1&gene=snap_masked-haw-_s41-processed-gene-0.5&CDS=1-186	YGL126W, YGL127C
OG0000133	augustus_masked-haw-_s523-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-haw-_s523-processed-gene-0.14&CDS=1-1095, snap_masked-haw-_s165-processed-gene-3.134-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.134&CDS=1-1014	YNL274C, YPL113C
OG0000134	snap_masked-haw-_s165-processed-gene-3.166-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.166&CDS=1-1350, snap_masked-haw-_s34-processed-gene-1.57-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-1.57&CDS=1-1557	YER048C, YIR004W
OG0000135	snap_masked-haw-_s165-processed-gene-3.141-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.141&CDS=1-2391, snap_masked-haw-_s313-processed-gene-0.62-mRNA-1_1&gene=snap_masked-haw-_s313-processed-gene-0.62&CDS=1-1290	YER047C, YPR173C
OG0000136	snap_masked-haw-_s165-processed-gene-3.168-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.168&CDS=1-1431, snap_masked-haw-_s683-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s683-processed-gene-0.8&CDS=1-1461	YBR283C, YLR378C
