	Metschnikowia_matae_maris	Saccharomyces_cerevisiae
OG0000030	snap_masked-mar-_s151-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mar-_s151-processed-gene-0.6&CDS=1-918, snap_masked-mar-_s189-processed-gene-0.164-mRNA-1_1&gene=snap_masked-mar-_s189-processed-gene-0.164&CDS=1-942, snap_masked-mar-_s363-processed-gene-0.58-mRNA-1_1&gene=snap_masked-mar-_s363-processed-gene-0.58&CDS=1-1065	YDL047W, YDR075W, YNR032W
OG0000031	snap_masked-mar-_s192-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mar-_s192-processed-gene-0.15&CDS=1-1911, snap_masked-mar-_s515-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s515-processed-gene-0.17&CDS=1-1140, snap_masked-mar-_s601-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s601-processed-gene-0.8&CDS=1-642, snap_masked-mar-_s626-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mar-_s626-processed-gene-0.4&CDS=1-1155	YLL057C, YPR040W
OG0000032	snap_masked-mar-_s214-processed-gene-0.246-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.246&CDS=1-759, snap_masked-mar-_s266-processed-gene-0.44-mRNA-1_1&gene=snap_masked-mar-_s266-processed-gene-0.44&CDS=1-771, snap_masked-mar-_s33-processed-gene-0.31-mRNA-1_1&gene=snap_masked-mar-_s33-processed-gene-0.31&CDS=1-792, snap_masked-mar-_s614-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mar-_s614-processed-gene-0.23&CDS=1-771	YCR010C, YNR002C
OG0000033	augustus_masked-mar-_s237-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mar-_s237-processed-gene-0.4&CDS=1-564, augustus_masked-mar-_s26-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-mar-_s26-processed-gene-0.113&CDS=1-1458, snap_masked-mar-_s26-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mar-_s26-processed-gene-0.60&CDS=1-1929, snap_masked-mar-_s45-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mar-_s45-processed-gene-0.28&CDS=1-1527	YGR197C, YJR015W
OG0000034	maker-mar-_s239-snap-gene-0.14-mRNA-1_1&gene=maker-mar-_s239-snap-gene-0.14&CDS=1-2763, snap_masked-mar-_s562-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mar-_s562-processed-gene-0.10&CDS=1-3093, snap_masked-mar-_s68-processed-gene-0.55-mRNA-1_1&gene=snap_masked-mar-_s68-processed-gene-0.55&CDS=1-3066	YBR245C, YFR038W, YOR304W
OG0000035	snap_masked-mar-_s255-processed-gene-2.101-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-2.101&CDS=1-3279, snap_masked-mar-_s62-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_s62-processed-gene-0.1&CDS=1-840, snap_masked-mar-_s95-processed-gene-0.63-mRNA-1_1&gene=snap_masked-mar-_s95-processed-gene-0.63&CDS=1-1020	YCR067C, YGL215W, YNR026C
OG0000036	snap_masked-mar-_s27-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mar-_s27-processed-gene-0.45&CDS=1-1797, snap_masked-mar-_s576-processed-gene-0.63-mRNA-1_1&gene=snap_masked-mar-_s576-processed-gene-0.63&CDS=1-1653	YDR342C, YDR343C, YDR345C, YHR092C
OG0000037	augustus_masked-mar-_s383-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-mar-_s383-processed-gene-0.31&CDS=1-1974, maker-mar-_s68-augustus-gene-2.135-mRNA-1_1&gene=maker-mar-_s68-augustus-gene-2.135&CDS=1-2418, snap_masked-mar-_s73-processed-gene-1.29-mRNA-1_1&gene=snap_masked-mar-_s73-processed-gene-1.29&CDS=1-1473	YGR249W, YHR206W, YOR140W
OG0000038	snap_masked-mar-_s407-processed-gene-1.163-mRNA-1_1&gene=snap_masked-mar-_s407-processed-gene-1.163&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000039	snap_masked-mar-_s430-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-0.2&CDS=1-2838, snap_masked-mar-_s516-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mar-_s516-processed-gene-0.38&CDS=1-2961	YFR040W, YGL229C, YJL098W, YKR028W
OG0000040	augustus_masked-mar-_s81-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-mar-_s81-processed-gene-3.45&CDS=1-2328, snap_masked-mar-_s430-processed-gene-1.74-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-1.74&CDS=1-1722, snap_masked-mar-_s52-processed-gene-0.32-mRNA-1_1&gene=snap_masked-mar-_s52-processed-gene-0.32&CDS=1-1671	YBR298C, YDL247W, YJR160C
OG0000041		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000042	maker-mar-_s42-snap-gene-0.31-mRNA-1_1&gene=maker-mar-_s42-snap-gene-0.31&CDS=1-3228, snap_masked-mar-_s106-processed-gene-0.94-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.94&CDS=1-1650, snap_masked-mar-_s454-processed-gene-1.148-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.148&CDS=1-1623	YLR343W, YMR307W
OG0000043	augustus_masked-mar-_s116-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-mar-_s116-processed-gene-0.72&CDS=1-291, augustus_masked-mar-_s489-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mar-_s489-processed-gene-0.9&CDS=1-267, snap_masked-mar-_s200-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mar-_s200-processed-gene-0.4&CDS=1-267, snap_masked-mar-_s303-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mar-_s303-processed-gene-0.25&CDS=1-1077	YLR291C
OG0000044	augustus_masked-mar-_s221-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mar-_s221-processed-gene-0.22&CDS=1-2790, snap_masked-mar-_s117-processed-gene-1.111-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.111&CDS=1-921, snap_masked-mar-_s81-processed-gene-3.144-mRNA-1_1&gene=snap_masked-mar-_s81-processed-gene-3.144&CDS=1-1878	YDL230W, YOR208W
OG0000045	snap_masked-mar-_s117-processed-gene-2.9-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.9&CDS=1-2412, snap_masked-mar-_s200-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mar-_s200-processed-gene-0.33&CDS=1-273, snap_masked-mar-_s383-processed-gene-0.109-mRNA-1_1&gene=snap_masked-mar-_s383-processed-gene-0.109&CDS=1-1572	YGL257C, YNR059W
OG0000046	snap_masked-mar-_s138-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mar-_s138-processed-gene-0.14&CDS=1-3660, snap_masked-mar-_s73-processed-gene-3.49-mRNA-1_1&gene=snap_masked-mar-_s73-processed-gene-3.49&CDS=1-3576	YJL042W, YOR227W, YPL137C
OG0000047	augustus_masked-mar-_s142-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mar-_s142-processed-gene-0.8&CDS=1-705, snap_masked-mar-_s407-processed-gene-1.191-mRNA-1_1&gene=snap_masked-mar-_s407-processed-gene-1.191&CDS=1-3285, snap_masked-mar-_s490-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mar-_s490-processed-gene-0.5&CDS=1-345	YLR031W, YMR124W
OG0000048	augustus_masked-mar-_s142-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mar-_s142-processed-gene-0.11&CDS=1-327, snap_masked-mar-_s365-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mar-_s365-processed-gene-0.19&CDS=1-444, snap_masked-mar-_s365-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mar-_s365-processed-gene-0.20&CDS=1-237, snap_masked-mar-_s516-processed-gene-0.72-mRNA-1_1&gene=snap_masked-mar-_s516-processed-gene-0.72&CDS=1-2922	YGR134W
OG0000049	snap_masked-mar-_s146-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mar-_s146-processed-gene-0.48&CDS=1-1260, snap_masked-mar-_s576-processed-gene-0.64-mRNA-1_1&gene=snap_masked-mar-_s576-processed-gene-0.64&CDS=1-1272, snap_masked-mar-_s81-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mar-_s81-processed-gene-0.26&CDS=1-1197	YKL106W, YLR027C
OG0000050	maker-mar-_s146-snap-gene-0.87-mRNA-1_1&gene=maker-mar-_s146-snap-gene-0.87&CDS=1-1209, snap_masked-mar-_s214-processed-gene-0.235-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.235&CDS=1-1527, snap_masked-mar-_s47-processed-gene-1.219-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.219&CDS=1-1656	YER133W, YML016C
OG0000051	augustus_masked-mar-_s25-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mar-_s25-processed-gene-0.19&CDS=1-1287, snap_masked-mar-_s15-processed-gene-0.54-mRNA-1_1&gene=snap_masked-mar-_s15-processed-gene-0.54&CDS=1-1272, snap_masked-mar-_s293-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mar-_s293-processed-gene-0.6&CDS=1-1155	YBR207W, YER145C
OG0000052	augustus_masked-mar-_s95-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-mar-_s95-processed-gene-1.12&CDS=1-1815, snap_masked-mar-_s161-processed-gene-0.77-mRNA-1_1&gene=snap_masked-mar-_s161-processed-gene-0.77&CDS=1-1734, snap_masked-mar-_s498-processed-gene-0.31-mRNA-1_1&gene=snap_masked-mar-_s498-processed-gene-0.31&CDS=1-1722	YDR338C, YHR032W
OG0000053	genemark-mar-_s306-processed-gene-0.4-mRNA-1_1&gene=genemark-mar-_s306-processed-gene-0.4&CDS=1-3207, snap_masked-mar-_s161-processed-gene-0.115-mRNA-1_1&gene=snap_masked-mar-_s161-processed-gene-0.115&CDS=1-3021, snap_masked-mar-_s73-processed-gene-3.27-mRNA-1_1&gene=snap_masked-mar-_s73-processed-gene-3.27&CDS=1-2952	YBR038W, YNL192W
OG0000054	maker-mar-_s161-snap-gene-0.130-mRNA-1_1&gene=maker-mar-_s161-snap-gene-0.130&CDS=1-3414, snap_masked-mar-_s430-processed-gene-1.57-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-1.57&CDS=1-1752, snap_masked-mar-_s64-processed-gene-1.72-mRNA-1_1&gene=snap_masked-mar-_s64-processed-gene-1.72&CDS=1-1701	YJL172W, YOL153C
OG0000055	snap_masked-mar-_s185-processed-gene-1.19-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-1.19&CDS=1-1026, snap_masked-mar-_s81-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mar-_s81-processed-gene-0.11&CDS=1-993, snap_masked-mar-_s81-processed-gene-1.92-mRNA-1_1&gene=snap_masked-mar-_s81-processed-gene-1.92&CDS=1-1002	YDL078C, YKL085W
OG0000056	snap_masked-mar-_s185-processed-gene-4.72-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.72&CDS=1-594, snap_masked-mar-_s19-processed-gene-0.111-mRNA-1_1&gene=snap_masked-mar-_s19-processed-gene-0.111&CDS=1-717, snap_masked-mar-_s255-processed-gene-2.95-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-2.95&CDS=1-1764	YDR207C, YDR213W
OG0000057	augustus_masked-mar-_s189-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-mar-_s189-processed-gene-0.59&CDS=1-2196, snap_masked-mar-_s260-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s260-processed-gene-0.12&CDS=1-1971, snap_masked-mar-_s520-processed-gene-0.66-mRNA-1_1&gene=snap_masked-mar-_s520-processed-gene-0.66&CDS=1-1824	YLR098C, YOR337W
OG0000058	maker-mar-_s569-snap-gene-0.0-mRNA-1_1&gene=maker-mar-_s569-snap-gene-0.0&CDS=1-2184, snap_masked-mar-_s191-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mar-_s191-processed-gene-0.42&CDS=1-1512	YCR065W, YIL131C, YNL068C
OG0000059	snap_masked-mar-_s194-processed-gene-0.57-mRNA-1_1&gene=snap_masked-mar-_s194-processed-gene-0.57&CDS=1-2505, snap_masked-mar-_s68-processed-gene-1.8-mRNA-1_1&gene=snap_masked-mar-_s68-processed-gene-1.8&CDS=1-2814	YCR037C, YJL198W, YNR013C
OG0000060	snap_masked-mar-_s233-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mar-_s233-processed-gene-0.26&CDS=1-1539, snap_masked-mar-_s520-processed-gene-0.80-mRNA-1_1&gene=snap_masked-mar-_s520-processed-gene-0.80&CDS=1-1527	YER056C, YER060W, YER060W-A
OG0000061	augustus_masked-mar-_s437-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mar-_s437-processed-gene-0.6&CDS=1-1572, snap_masked-mar-_s244-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s244-processed-gene-0.12&CDS=1-417, snap_masked-mar-_s81-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mar-_s81-processed-gene-0.0&CDS=1-393	YML118W, YMR285C
OG0000062	augustus_masked-mar-_s288-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mar-_s288-processed-gene-0.1&CDS=1-663, snap_masked-mar-_s255-processed-gene-1.29-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-1.29&CDS=1-930, snap_masked-mar-_s614-processed-gene-1.41-mRNA-1_1&gene=snap_masked-mar-_s614-processed-gene-1.41&CDS=1-594	YKR055W, YPR165W
OG0000063	augustus_masked-mar-_s27-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-mar-_s27-processed-gene-0.97&CDS=1-2913, augustus_masked-mar-_s584-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mar-_s584-processed-gene-0.0&CDS=1-954, snap_masked-mar-_s255-processed-gene-1.12-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-1.12&CDS=1-2337	YDL132W, YGR003W
OG0000064	snap_masked-mar-_s292-processed-gene-0.57-mRNA-1_1&gene=snap_masked-mar-_s292-processed-gene-0.57&CDS=1-4512	YBL017C, YIL173W, YJL222W, YNR065C
OG0000065	maker-mar-_s325-augustus-gene-0.51-mRNA-1_1&gene=maker-mar-_s325-augustus-gene-0.51&CDS=1-4995, snap_masked-mar-_s300-processed-gene-0.62-mRNA-1_1&gene=snap_masked-mar-_s300-processed-gene-0.62&CDS=1-3552	YML072C, YNL087W, YOR086C
OG0000066	augustus_masked-mar-_s32-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-mar-_s32-processed-gene-0.59&CDS=1-2367, augustus_masked-mar-_s544-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mar-_s544-processed-gene-0.11&CDS=1-777	YJL139C, YKL172W, YKR061W
OG0000067	augustus_masked-mar-_s334-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mar-_s334-processed-gene-0.2&CDS=1-564, snap_masked-mar-_s430-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-0.33&CDS=1-588	YDL072C, YKL065C, YMR040W
OG0000068	augustus_masked-mar-_s547-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mar-_s547-processed-gene-0.6&CDS=1-1839, snap_masked-mar-_s363-processed-gene-0.55-mRNA-1_1&gene=snap_masked-mar-_s363-processed-gene-0.55&CDS=1-3762	YBL054W, YER088C, YMR109W
OG0000069	augustus_masked-mar-_s378-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mar-_s378-processed-gene-0.10&CDS=1-1599, augustus_masked-mar-_s430-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-mar-_s430-processed-gene-0.66&CDS=1-5673, snap_masked-mar-_s430-processed-gene-0.44-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-0.44&CDS=1-5364	YGR184C, YLR024C
OG0000070	augustus_masked-mar-_s531-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-mar-_s531-processed-gene-0.41&CDS=1-1608, snap_masked-mar-_s385-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mar-_s385-processed-gene-0.10&CDS=1-3333, snap_masked-mar-_s407-processed-gene-1.137-mRNA-1_1&gene=snap_masked-mar-_s407-processed-gene-1.137&CDS=1-1917	YBR015C, YJL186W
OG0000071	snap_masked-mar-_s430-processed-gene-1.72-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-1.72&CDS=1-2238	YBR297W, YFL052W, YGR288W, YPR196W
OG0000072	snap_masked-mar-_s430-processed-gene-2.47-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-2.47&CDS=1-1482, snap_masked-mar-_s605-processed-gene-0.118-mRNA-1_1&gene=snap_masked-mar-_s605-processed-gene-0.118&CDS=1-999	YBL056W, YBR125C, YER089C
OG0000073	snap_masked-mar-_s440-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s440-processed-gene-0.8&CDS=1-189, snap_masked-mar-_s440-processed-gene-0.9-mRNA-1_1&gene=snap_masked-mar-_s440-processed-gene-0.9&CDS=1-852, snap_masked-mar-_s531-processed-gene-0.108-mRNA-1_1&gene=snap_masked-mar-_s531-processed-gene-0.108&CDS=1-3501	YJR127C, YML081W
OG0000074	snap_masked-mar-_s47-processed-gene-0.76-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.76&CDS=1-4374, snap_masked-mar-_s520-processed-gene-0.59-mRNA-1_1&gene=snap_masked-mar-_s520-processed-gene-0.59&CDS=1-4572, snap_masked-mar-_s60-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mar-_s60-processed-gene-0.41&CDS=1-4344	YDR011W, YOR153W
OG0000075	augustus_masked-mar-_s531-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mar-_s531-processed-gene-0.5&CDS=1-408, snap_masked-mar-_s477-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.34&CDS=1-408, snap_masked-mar-_s513-processed-gene-1.99-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.99&CDS=1-408	YBR010W, YNL031C
OG0000076	snap_masked-mar-_s531-processed-gene-0.140-mRNA-1_1&gene=snap_masked-mar-_s531-processed-gene-0.140&CDS=1-1395, snap_masked-mar-_s73-processed-gene-0.31-mRNA-1_1&gene=snap_masked-mar-_s73-processed-gene-0.31&CDS=1-1314	YBL089W, YER119C, YIL088C
OG0000077	maker-mar-_s548-augustus-gene-0.62-mRNA-1_1&gene=maker-mar-_s548-augustus-gene-0.62&CDS=1-2013, snap_masked-mar-_s548-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mar-_s548-processed-gene-0.7&CDS=1-780	YCL036W, YDR514C, YKL114C
OG0000078	snap_masked-mar-_s62-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mar-_s62-processed-gene-0.5&CDS=1-3621, snap_masked-mar-_s63-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mar-_s63-processed-gene-0.50&CDS=1-3069	YIL002C, YNL106C, YOR109W
OG0000079	augustus_masked-mar-_s63-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-mar-_s63-processed-gene-2.29&CDS=1-2673, snap_masked-mar-_s81-processed-gene-3.189-mRNA-1_1&gene=snap_masked-mar-_s81-processed-gene-3.189&CDS=1-2259	YML111W, YMR275C, YNR069C
OG0000080	augustus_masked-mar-_s73-processed-gene-3.211-mRNA-1_1&gene=augustus_masked-mar-_s73-processed-gene-3.211&CDS=1-435, snap_masked-mar-_s63-processed-gene-2.103-mRNA-1_1&gene=snap_masked-mar-_s63-processed-gene-2.103&CDS=1-402	YBR067C, YIL011W, YOR010C
OG0000081	augustus_masked-mar-_C25444-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mar-_C25444-processed-gene-0.0&CDS=1-156, snap_masked-mar-_s454-processed-gene-0.66-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-0.66&CDS=1-1305, snap_masked-mar-_s477-processed-gene-0.22-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.22&CDS=1-195	YHL028W
OG0000082	augustus_masked-mar-_C27874-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mar-_C27874-processed-gene-0.1&CDS=1-243, maker-mar-_s161-snap-gene-0.128-mRNA-1_1&gene=maker-mar-_s161-snap-gene-0.128&CDS=1-588, snap_masked-mar-_s303-processed-gene-0.52-mRNA-1_1&gene=snap_masked-mar-_s303-processed-gene-0.52&CDS=1-303	YJL072C
OG0000083	augustus_masked-mar-_C30754-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mar-_C30754-processed-gene-0.1&CDS=1-363, augustus_masked-mar-_s185-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-2.28&CDS=1-8208, snap_masked-mar-_s465-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_s465-processed-gene-0.1&CDS=1-396	YPR117W
OG0000084	augustus_masked-mar-_C31406-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mar-_C31406-processed-gene-0.0&CDS=1-291, genemark-mar-_s584-processed-gene-0.10-mRNA-1_1&gene=genemark-mar-_s584-processed-gene-0.10&CDS=1-159, snap_masked-mar-_s614-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mar-_s614-processed-gene-0.3&CDS=1-675	YIR001C
OG0000085	maker-mar-_C31890-snap-gene-0.0-mRNA-1_1&gene=maker-mar-_C31890-snap-gene-0.0&CDS=1-321, maker-mar-_s333-snap-gene-0.3-mRNA-1_1&gene=maker-mar-_s333-snap-gene-0.3&CDS=1-333, snap_masked-mar-_s161-processed-gene-0.107-mRNA-1_1&gene=snap_masked-mar-_s161-processed-gene-0.107&CDS=1-744	YMR038C
OG0000086	augustus_masked-mar-_s581-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mar-_s581-processed-gene-0.5&CDS=1-2067, snap_masked-mar-_C34914-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_C34914-processed-gene-0.1&CDS=1-486, snap_masked-mar-_s4-processed-gene-0.35-mRNA-1_1&gene=snap_masked-mar-_s4-processed-gene-0.35&CDS=1-477	YBR103W
OG0000087	snap_masked-mar-_s10-processed-gene-0.51-mRNA-1_1&gene=snap_masked-mar-_s10-processed-gene-0.51&CDS=1-759, snap_masked-mar-_s16-processed-gene-0.61-mRNA-1_1&gene=snap_masked-mar-_s16-processed-gene-0.61&CDS=1-759	YER062C, YIL053W
OG0000088	augustus_masked-mar-_s185-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-mar-_s185-processed-gene-3.14&CDS=1-1374, snap_masked-mar-_s10-processed-gene-0.52-mRNA-1_1&gene=snap_masked-mar-_s10-processed-gene-0.52&CDS=1-255, snap_masked-mar-_s138-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mar-_s138-processed-gene-0.23&CDS=1-1350	YAL040C
OG0000089	snap_masked-mar-_s102-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-0.29&CDS=1-5784, snap_masked-mar-_s26-processed-gene-0.74-mRNA-1_1&gene=snap_masked-mar-_s26-processed-gene-0.74&CDS=1-6327	YER172C, YGR271W
OG0000090	snap_masked-mar-_s102-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-0.7&CDS=1-1044, snap_masked-mar-_s440-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mar-_s440-processed-gene-0.4&CDS=1-1044	YMR303C, YOL086C
OG0000091	genemark-mar-_s520-processed-gene-0.21-mRNA-1_1&gene=genemark-mar-_s520-processed-gene-0.21&CDS=1-7248, snap_masked-mar-_s102-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-0.13&CDS=1-1566, snap_masked-mar-_s407-processed-gene-1.201-mRNA-1_1&gene=snap_masked-mar-_s407-processed-gene-1.201&CDS=1-1377	YJL039C
OG0000092	snap_masked-mar-_s102-processed-gene-1.1-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.1&CDS=1-2277, snap_masked-mar-_s513-processed-gene-1.89-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.89&CDS=1-1503	YGR052W, YHR082C
OG0000093	snap_masked-mar-_s102-processed-gene-1.41-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.41&CDS=1-1731, snap_masked-mar-_s292-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mar-_s292-processed-gene-0.41&CDS=1-231	YCR048W, YNR019W
OG0000094	augustus_masked-mar-_s237-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mar-_s237-processed-gene-0.14&CDS=1-2220, snap_masked-mar-_s102-processed-gene-1.25-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.25&CDS=1-2166, snap_masked-mar-_s614-processed-gene-1.45-mRNA-1_1&gene=snap_masked-mar-_s614-processed-gene-1.45&CDS=1-2076	YER015W
OG0000095	snap_masked-mar-_s102-processed-gene-2.9-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.9&CDS=1-1086, snap_masked-mar-_s15-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mar-_s15-processed-gene-0.25&CDS=1-510	YDL246C, YJR159W
OG0000096	snap_masked-mar-_s102-processed-gene-2.18-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.18&CDS=1-2235, snap_masked-mar-_s598-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mar-_s598-processed-gene-0.16&CDS=1-5787	YJL095W, YLR362W
OG0000097	augustus_masked-mar-_s605-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-mar-_s605-processed-gene-0.141&CDS=1-288, snap_masked-mar-_s102-processed-gene-2.47-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.47&CDS=1-222	YER146W, YFL017W-A
OG0000098	snap_masked-mar-_s103-processed-gene-0.24-mRNA-1_1&gene=snap_masked-mar-_s103-processed-gene-0.24&CDS=1-1074, snap_masked-mar-_s24-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mar-_s24-processed-gene-0.4&CDS=1-600	YDL157C, YPR054W
OG0000099	augustus_masked-mar-_s103-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mar-_s103-processed-gene-0.10&CDS=1-1440, snap_masked-mar-_s4-processed-gene-1.17-mRNA-1_1&gene=snap_masked-mar-_s4-processed-gene-1.17&CDS=1-1926	YKL221W, YNL125C
OG0000100	snap_masked-mar-_s106-processed-gene-0.121-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.121&CDS=1-1191, snap_masked-mar-_s245-processed-gene-0.86-mRNA-1_1&gene=snap_masked-mar-_s245-processed-gene-0.86&CDS=1-1275	YCR094W, YNL323W
OG0000101	snap_masked-mar-_s117-processed-gene-2.34-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.34&CDS=1-1188, snap_masked-mar-_s245-processed-gene-0.104-mRNA-1_1&gene=snap_masked-mar-_s245-processed-gene-0.104&CDS=1-1191	YBR025C, YHL014C
OG0000102	augustus_masked-mar-_s236-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mar-_s236-processed-gene-0.14&CDS=1-1941, snap_masked-mar-_s117-processed-gene-2.43-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.43&CDS=1-1521, snap_masked-mar-_s64-processed-gene-1.70-mRNA-1_1&gene=snap_masked-mar-_s64-processed-gene-1.70&CDS=1-1305	YLR380W
