	Metschnikowia_mauinuiana	Saccharomyces_cerevisiae
OG0000053	augustus_masked-mau_s126-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-mau_s126-processed-gene-0.104&CDS=1-3021, augustus_masked-mau_s266-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mau_s266-processed-gene-0.4&CDS=1-3243, augustus_masked-mau_s39-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.55&CDS=1-2934	YBR038W, YNL192W
OG0000054	augustus_masked-mau_s134-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-mau_s134-processed-gene-0.45&CDS=1-3972, augustus_masked-mau_s66-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-mau_s66-processed-gene-2.78&CDS=1-1707, augustus_masked-mau_s67-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-1.42&CDS=1-1677	YLR343W, YMR307W
OG0000055	augustus_masked-mau_s137-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-mau_s137-processed-gene-0.42&CDS=1-1926, augustus_masked-mau_s22-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-mau_s22-processed-gene-0.39&CDS=1-147, maker-mau_s165-augustus-gene-0.52-mRNA-1_1&gene=maker-mau_s165-augustus-gene-0.52&CDS=1-1587	YBR062C, YDR143C
OG0000056	augustus_masked-mau_s140-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mau_s140-processed-gene-0.3&CDS=1-1410, augustus_masked-mau_s18-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-mau_s18-processed-gene-1.36&CDS=1-1452	YDL155W, YGR108W, YPR119W
OG0000057	augustus_masked-mau_s146-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-0.28&CDS=1-1656, augustus_masked-mau_s89-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-3.77&CDS=1-1527, maker-mau_s45-augustus-gene-0.45-mRNA-1_1&gene=maker-mau_s45-augustus-gene-0.45&CDS=1-1191	YER133W, YML016C
OG0000058	augustus_masked-mau_s147-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.14&CDS=1-3654, augustus_masked-mau_s39-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.64&CDS=1-3573	YJL042W, YOR227W, YPL137C
OG0000059	augustus_masked-mau_s148-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.51&CDS=1-4521	YBL017C, YIL173W, YJL222W, YNR065C
OG0000060	augustus_masked-mau_s154-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.23&CDS=1-1896, augustus_masked-mau_s18-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-mau_s18-processed-gene-1.43&CDS=1-2007, augustus_masked-mau_s43-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-mau_s43-processed-gene-0.35&CDS=1-2115	YMR008C, YOL011W
OG0000061	augustus_masked-mau_s156-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.47&CDS=1-1269, augustus_masked-mau_s28-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mau_s28-processed-gene-0.8&CDS=1-1467	YBR177C, YMR210W, YPL095C
OG0000062	augustus_masked-mau_s156-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.138&CDS=1-540, augustus_masked-mau_s165-processed-gene-1.245-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.245&CDS=1-618, augustus_masked-mau_s66-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-mau_s66-processed-gene-0.73&CDS=1-486	YDR155C, YDR304C
OG0000063	augustus_masked-mau_s25-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-0.56&CDS=1-819, genemark-mau_s158-processed-gene-2.30-mRNA-1_1&gene=genemark-mau_s158-processed-gene-2.30&CDS=1-891	YDL127W, YDL179W, YNL289W
OG0000064	augustus_masked-mau_s203-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s203-processed-gene-0.13&CDS=1-408, augustus_masked-mau_s67-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-2.18&CDS=1-408, augustus_masked-mau_s85-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-mau_s85-processed-gene-1.93&CDS=1-408	YBR010W, YNL031C
OG0000065	augustus_masked-mau_s221-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-mau_s221-processed-gene-1.99&CDS=1-1362, augustus_masked-mau_s3-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-0.82&CDS=1-1377, maker-mau_s7-augustus-gene-0.0-mRNA-1_1&gene=maker-mau_s7-augustus-gene-0.0&CDS=1-7281, snap_masked-mau_s77-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mau_s77-processed-gene-0.2&CDS=1-645	YJL039C
OG0000066	augustus_masked-mau_s23-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-0.41&CDS=1-1026, augustus_masked-mau_s3-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.79&CDS=1-1002, augustus_masked-mau_s3-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.3&CDS=1-993	YDL078C, YKL085W
OG0000067	augustus_masked-mau_s23-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-2.69&CDS=1-2814, genemark-mau_s275-processed-gene-0.10-mRNA-1_1&gene=genemark-mau_s275-processed-gene-0.10&CDS=1-2487	YCR037C, YJL198W, YNR013C
OG0000068	augustus_masked-mau_s250-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-0.69&CDS=1-2526, augustus_masked-mau_s267-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-mau_s267-processed-gene-0.30&CDS=1-2898	YDR385W, YKL173W, YOR133W
OG0000069	augustus_masked-mau_s250-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-1.152&CDS=1-2493, augustus_masked-mau_s85-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mau_s85-processed-gene-0.19&CDS=1-2415	YDR326C, YFL042C, YHR080C
OG0000070	augustus_masked-mau_s268-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mau_s268-processed-gene-0.8&CDS=1-1545, maker-mau_s54-snap-gene-0.44-mRNA-1_1&gene=maker-mau_s54-snap-gene-0.44&CDS=1-2055	YCR065W, YIL131C, YNL068C
OG0000071	augustus_masked-mau_s274-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-mau_s274-processed-gene-0.29&CDS=1-3066, augustus_masked-mau_s31-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.18&CDS=1-3624	YIL002C, YNL106C, YOR109W
OG0000072	augustus_masked-mau_s3-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.96&CDS=1-1668, augustus_masked-mau_s97-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-mau_s97-processed-gene-0.107&CDS=1-1722	YBR298C, YDL247W, YJR160C
OG0000073	augustus_masked-mau_s86-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-mau_s86-processed-gene-1.67&CDS=1-3552, maker-mau_s48-snap-gene-0.138-mRNA-1_1&gene=maker-mau_s48-snap-gene-0.138&CDS=1-4680	YML072C, YNL087W, YOR086C
OG0000074	augustus_masked-mau_s5-processed-gene-2.152-mRNA-1_1&gene=augustus_masked-mau_s5-processed-gene-2.152&CDS=1-1293, augustus_masked-mau_s67-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-3.33&CDS=1-1395	YBL089W, YER119C, YIL088C
OG0000075	augustus_masked-mau_s89-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-5.12&CDS=1-996, augustus_masked-mau_s97-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-mau_s97-processed-gene-0.97&CDS=1-1485	YBL056W, YBR125C, YER089C
OG0000076		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000077	augustus_masked-mau_s148-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-mau_s148-processed-gene-0.62&CDS=1-2658, augustus_masked-mau_s165-processed-gene-1.312-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.312&CDS=1-2625, snap_masked-mau_C25828-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mau_C25828-processed-gene-0.0&CDS=1-624	YLR241W
OG0000078	augustus_masked-mau_C28194-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-mau_C28194-processed-gene-0.24&CDS=1-2322, augustus_masked-mau_s5-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-mau_s5-processed-gene-1.50&CDS=1-2679	YJL212C, YPR194C
OG0000079	augustus_masked-mau_s268-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s268-processed-gene-0.13&CDS=1-2436, snap_masked-mau_s101-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mau_s101-processed-gene-0.5&CDS=1-420	YOR256C, YPL176C
OG0000080	augustus_masked-mau_s103-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.2&CDS=1-3486, augustus_masked-mau_s85-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-mau_s85-processed-gene-1.90&CDS=1-6624	YJL130C, YJR109C
OG0000081	augustus_masked-mau_s137-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-mau_s137-processed-gene-0.54&CDS=1-1923, snap_masked-mau_s110-processed-gene-0.51-mRNA-1_1&gene=snap_masked-mau_s110-processed-gene-0.51&CDS=1-189	YHR131C, YNL144C
OG0000082	augustus_masked-mau_s114-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-mau_s114-processed-gene-0.32&CDS=1-948, augustus_masked-mau_s3-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.89&CDS=1-3621, snap_masked-mau_s57-processed-gene-0.39-mRNA-1_1&gene=snap_masked-mau_s57-processed-gene-0.39&CDS=1-456	YGR233C
OG0000083	augustus_masked-mau_s118-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s118-processed-gene-0.21&CDS=1-1323, augustus_masked-mau_s203-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mau_s203-processed-gene-0.8&CDS=1-1467	YGL194C, YNL330C
OG0000084	augustus_masked-mau_s66-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-mau_s66-processed-gene-1.8&CDS=1-1095, maker-mau_s119-snap-gene-0.56-mRNA-1_1&gene=maker-mau_s119-snap-gene-0.56&CDS=1-1356	YGL038C, YJR075W
OG0000085	augustus_masked-mau_s119-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.60&CDS=1-2136, augustus_masked-mau_s74-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mau_s74-processed-gene-0.5&CDS=1-2079	YJR005W, YKL135C
OG0000086	augustus_masked-mau_s119-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.86&CDS=1-3792, augustus_masked-mau_s3-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-1.52&CDS=1-4857	YIL126W, YOR290C
OG0000087	augustus_masked-mau_s119-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.88&CDS=1-912, genemark-mau_s2-processed-gene-0.36-mRNA-1_1&gene=genemark-mau_s2-processed-gene-0.36&CDS=1-993	YBR151W, YML050W
OG0000088	augustus_masked-mau_s146-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-2.53&CDS=1-4728, maker-mau_s119-augustus-gene-0.54-mRNA-1_1&gene=maker-mau_s119-augustus-gene-0.54&CDS=1-7275	YDR093W, YER166W
OG0000089	augustus_masked-mau_s12-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.125&CDS=1-1362, augustus_masked-mau_s23-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-2.1&CDS=1-2889	YIL107C, YJL155C
OG0000090	augustus_masked-mau_s12-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-2.122&CDS=1-1188, augustus_masked-mau_s126-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-mau_s126-processed-gene-0.94&CDS=1-1191	YBR025C, YHL014C
OG0000091	augustus_masked-mau_s12-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-2.129&CDS=1-921, augustus_masked-mau_s3-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.119&CDS=1-849	YIL043C, YML125C
OG0000092	augustus_masked-mau_s12-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-2.132&CDS=1-1527, augustus_masked-mau_s259-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-mau_s259-processed-gene-0.75&CDS=1-1305, augustus_masked-mau_s46-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-mau_s46-processed-gene-0.103&CDS=1-1875	YLR380W
OG0000093	augustus_masked-mau_s121-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mau_s121-processed-gene-0.5&CDS=1-987, augustus_masked-mau_s146-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-1.138&CDS=1-993	YCR034W, YLR372W
OG0000094	augustus_masked-mau_s126-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-mau_s126-processed-gene-0.132&CDS=1-315, genemark-mau_s195-processed-gene-0.72-mRNA-1_1&gene=genemark-mau_s195-processed-gene-0.72&CDS=1-318	YDL081C, YDL130W
OG0000095	augustus_masked-mau_s128-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mau_s128-processed-gene-0.3&CDS=1-723, snap_masked-mau_s18-processed-gene-2.43-mRNA-1_1&gene=snap_masked-mau_s18-processed-gene-2.43&CDS=1-618	YGL076C, YPL198W
OG0000096	augustus_masked-mau_s13-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mau_s13-processed-gene-0.22&CDS=1-2187, augustus_masked-mau_s67-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-3.5&CDS=1-6471	YDL093W, YDL095W
OG0000097	augustus_masked-mau_s13-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-mau_s13-processed-gene-1.102&CDS=1-915, augustus_masked-mau_s252-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mau_s252-processed-gene-0.12&CDS=1-924	YGR086C, YPL004C
OG0000098	augustus_masked-mau_s132-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mau_s132-processed-gene-0.19&CDS=1-591, augustus_masked-mau_s67-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-4.73&CDS=1-774, augustus_masked-mau_s67-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-4.90&CDS=1-600	YDR032C
OG0000099	augustus_masked-mau_s134-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-mau_s134-processed-gene-1.55&CDS=1-1119, maker-mau_s89-snap-gene-2.90-mRNA-1_1&gene=maker-mau_s89-snap-gene-2.90&CDS=1-1875	YEL007W, YHR177W
OG0000100	augustus_masked-mau_s137-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-mau_s137-processed-gene-0.57&CDS=1-978, augustus_masked-mau_s23-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-0.5&CDS=1-984	YIL035C, YOR061W
OG0000101	augustus_masked-mau_s137-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-mau_s137-processed-gene-0.66&CDS=1-816, augustus_masked-mau_s268-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mau_s268-processed-gene-0.14&CDS=1-984	YDL114W, YLR426W
OG0000102	augustus_masked-mau_s146-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-1.107&CDS=1-1437, augustus_masked-mau_s146-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-1.133&CDS=1-1362	YDR463W, YHR006W
OG0000103	augustus_masked-mau_s146-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-1.143&CDS=1-840, genemark-mau_s260-processed-gene-0.128-mRNA-1_1&gene=genemark-mau_s260-processed-gene-0.128&CDS=1-984	YBR002C, YMR101C
OG0000104	augustus_masked-mau_s146-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-2.56&CDS=1-2067, augustus_masked-mau_s170-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-mau_s170-processed-gene-0.33&CDS=1-2460	YKR001C, YLL001W
OG0000105	augustus_masked-mau_s146-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-2.58&CDS=1-1368, augustus_masked-mau_s45-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-mau_s45-processed-gene-1.75&CDS=1-450, augustus_masked-mau_s52-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mau_s52-processed-gene-0.10&CDS=1-1350	YAL040C
OG0000106	augustus_masked-mau_s147-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-0.1&CDS=1-990, genemark-mau_s31-processed-gene-0.56-mRNA-1_1&gene=genemark-mau_s31-processed-gene-0.56&CDS=1-1044	YCL064C, YIL167W
OG0000107	augustus_masked-mau_s147-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-1.36&CDS=1-909, augustus_masked-mau_s156-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.171&CDS=1-1452	YBL032W, YBR233W
OG0000108	augustus_masked-mau_s154-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-1.34&CDS=1-1242, augustus_masked-mau_s165-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-0.72&CDS=1-1320	YOR334W, YPL060W
OG0000109	augustus_masked-mau_s156-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.48&CDS=1-2589, augustus_masked-mau_s156-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.187&CDS=1-2181	YOR018W, YPL094C
OG0000110	augustus_masked-mau_s156-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.70&CDS=1-1383, augustus_masked-mau_s158-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.34&CDS=1-1422	YJL081C, YPR034W
OG0000111	genemark-mau_s156-processed-gene-0.99-mRNA-1_1&gene=genemark-mau_s156-processed-gene-0.99&CDS=1-2802, maker-mau_s3-snap-gene-6.105-mRNA-1_1&gene=maker-mau_s3-snap-gene-6.105&CDS=1-2790	YJL098W, YKR028W
OG0000112	augustus_masked-mau_s156-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.57&CDS=1-693, augustus_masked-mau_s45-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-mau_s45-processed-gene-1.86&CDS=1-657	YFR042W, YJL097W
OG0000113	augustus_masked-mau_s156-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.141&CDS=1-1098, maker-mau_s3-augustus-gene-5.0-mRNA-1_1&gene=maker-mau_s3-augustus-gene-5.0&CDS=1-3732	YER042W, YLR130C
OG0000114	augustus_masked-mau_s156-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.144&CDS=1-5670, augustus_masked-mau_s156-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.174&CDS=1-5358	YGR184C, YLR024C
OG0000115	augustus_masked-mau_s156-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.162&CDS=1-2769	YDR038C, YDR039C, YDR040C
OG0000116	augustus_masked-mau_s157-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mau_s157-processed-gene-0.10&CDS=1-2832, augustus_masked-mau_s221-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-mau_s221-processed-gene-1.87&CDS=1-2946	YGR240C, YMR205C
OG0000117	augustus_masked-mau_s157-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mau_s157-processed-gene-0.12&CDS=1-1860, augustus_masked-mau_s25-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-1.34&CDS=1-1686	YDR380W, YLR044C
OG0000118	augustus_masked-mau_s157-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s157-processed-gene-0.13&CDS=1-2217, augustus_masked-mau_s250-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-1.156&CDS=1-2166, augustus_masked-mau_s89-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-1.98&CDS=1-2076	YER015W
OG0000119	augustus_masked-mau_s158-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-1.79&CDS=1-1476, augustus_masked-mau_s3-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.107&CDS=1-1887, augustus_masked-mau_s89-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-3.74&CDS=1-2502	YEL061C
OG0000120	augustus_masked-mau_s158-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-1.82&CDS=1-2295, augustus_masked-mau_s266-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mau_s266-processed-gene-0.6&CDS=1-2124	YGL014W, YGL178W
OG0000121	augustus_masked-mau_s158-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-2.51&CDS=1-1032, augustus_masked-mau_s68-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-mau_s68-processed-gene-0.28&CDS=1-1098	YER107C, YOR026W
OG0000122	augustus_masked-mau_s158-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-2.77&CDS=1-639, snap_masked-mau_s41-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mau_s41-processed-gene-0.10&CDS=1-249	YBR014C, YDL010W
OG0000123	augustus_masked-mau_s158-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-3.144&CDS=1-2715, maker-mau_s18-augustus-gene-2.0-mRNA-1_1&gene=maker-mau_s18-augustus-gene-2.0&CDS=1-1611	YBR237W, YNL112W
OG0000124	augustus_masked-mau_s158-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-3.131&CDS=1-1002	YLL062C, YMR321C, YPL273W
OG0000125	augustus_masked-mau_s89-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-5.9&CDS=1-1509, snap_masked-mau_s158-processed-gene-3.25-mRNA-1_1&gene=snap_masked-mau_s158-processed-gene-3.25&CDS=1-300, snap_masked-mau_s31-processed-gene-0.81-mRNA-1_1&gene=snap_masked-mau_s31-processed-gene-0.81&CDS=1-345	YDR434W
OG0000126	augustus_masked-mau_s159-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mau_s159-processed-gene-0.12&CDS=1-1368, augustus_masked-mau_s94-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-mau_s94-processed-gene-0.118&CDS=1-1371	YEL036C, YML115C
OG0000127	genemark-mau_s89-processed-gene-5.87-mRNA-1_1&gene=genemark-mau_s89-processed-gene-5.87&CDS=1-738, maker-mau_s159-snap-gene-0.42-mRNA-1_1&gene=maker-mau_s159-snap-gene-0.42&CDS=1-2568	YHR203C, YJR145C
OG0000128	augustus_masked-mau_s159-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-mau_s159-processed-gene-0.34&CDS=1-1284, augustus_masked-mau_s25-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-2.49&CDS=1-1527	YER028C, YGL209W
OG0000129	augustus_masked-mau_s159-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mau_s159-processed-gene-0.8&CDS=1-1374, augustus_masked-mau_s82-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-mau_s82-processed-gene-0.136&CDS=1-939	YDL216C, YFR004W
OG0000130	augustus_masked-mau_s165-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-0.65&CDS=1-1770, augustus_masked-mau_s81-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-mau_s81-processed-gene-0.44&CDS=1-1776	YDR037W, YNL073W
OG0000131	augustus_masked-mau_s66-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-mau_s66-processed-gene-2.75&CDS=1-5655, genemark-mau_s165-processed-gene-0.118-mRNA-1_1&gene=genemark-mau_s165-processed-gene-0.118&CDS=1-13302	YGR032W, YNR016C
OG0000132	augustus_masked-mau_s18-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mau_s18-processed-gene-0.4&CDS=1-3138, snap_masked-mau_s25-processed-gene-3.112-mRNA-1_1&gene=snap_masked-mau_s25-processed-gene-3.112&CDS=1-3048	YLR389C, YPR122W
OG0000133	augustus_masked-mau_s18-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mau_s18-processed-gene-0.7&CDS=1-903, augustus_masked-mau_s252-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mau_s252-processed-gene-0.11&CDS=1-855, genemark-mau_s77-processed-gene-0.42-mRNA-1_1&gene=genemark-mau_s77-processed-gene-0.42&CDS=1-927	YER175C
OG0000134	augustus_masked-mau_s18-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-mau_s18-processed-gene-1.45&CDS=1-1467, augustus_masked-mau_s247-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-mau_s247-processed-gene-1.116&CDS=1-1431	YBR283C, YLR378C
