	Saccharomyces_cerevisiae	Saitoella_complicata
OG0002327	YMR121C	XP_019021747.1
OG0002328	YMR125W	XP_019023041.1
OG0002329	YMR128W	XP_019025565.1
OG0002330	YMR129W	XP_019022562.1
OG0002331	YMR130W	XP_019023524.1
OG0002332	YMR131C	XP_019026284.1
OG0002333	YMR132C	XP_019025347.1
OG0002334	YMR135C	XP_019024922.1
OG0002335	YMR137C	XP_019026661.1
OG0002336	YMR139W	XP_019022967.1
OG0002337	YMR140W	XP_019024895.1
OG0002338	YMR146C	XP_019021802.1
OG0002339	YMR149W	XP_019022326.1
OG0002340	YMR150C	XP_019026070.1
OG0002341	YMR155W	XP_019025584.1
OG0002342	YMR156C	XP_019024028.1
OG0002343	YMR158W	XP_019022323.1
OG0002344	YMR161W	XP_019024001.1
OG0002345	YMR165C	XP_019026941.1
OG0002346	YMR166C	XP_019025575.1
OG0002347	YMR167W	XP_019027113.1
OG0002348	YMR171C	XP_019025619.1
OG0002349	YMR178W	XP_019023313.1
OG0002350	YMR185W	XP_019023196.1
OG0002351	YMR186W	XP_019022513.1
OG0002352	YMR188C	XP_019022549.1
OG0002353	YMR189W	XP_019026841.1
OG0002354	YMR193W	XP_019021823.1
OG0002355	YMR194C-B	XP_019021560.1
OG0002356	YMR196W	XP_019021756.1
OG0002357	YMR197C	XP_019021749.1
OG0002358	YMR200W	XP_019022677.1
OG0002359	YMR201C	XP_019024217.1
OG0002360	YMR202W	XP_019024430.1
OG0002361	YMR203W	XP_019023012.1
OG0002362	YMR205C	XP_019023650.1
OG0002363	YMR208W	XP_019027092.1
OG0002364	YMR210W	XP_019026848.1
OG0002365	YMR211W	XP_019026514.1
OG0002366	YMR212C	XP_019021914.1
OG0002367	YMR213W	XP_019027179.1
OG0002368	YMR214W	XP_019021590.1
OG0002369	YMR216C	XP_019026869.1
OG0002370	YMR217W	XP_019023306.1
OG0002371	YMR218C	XP_019021307.1
OG0002372	YMR220W	XP_019021124.1
OG0002373	YMR223W	XP_019027580.1
OG0002374	YMR224C	XP_019023173.1
OG0002375	YMR226C	XP_019026839.1
OG0002376	YMR227C	XP_019023483.1
OG0002377	YMR228W	XP_019027558.1
OG0002378	YMR229C	XP_019025425.1
OG0002379	YMR231W	XP_019023194.1
OG0002380	YMR234W	XP_019025427.1
OG0002381	YMR235C	XP_019023478.1
OG0002382	YMR236W	XP_019026944.1
OG0002383	YMR239C	XP_019027377.1
OG0002384	YMR240C	XP_019024260.1
OG0002385	YMR241W	XP_019024262.1
OG0002386	YMR244C-A	XP_019025248.1
OG0002387	YMR244W	XP_019025843.1
OG0002388	YMR247C	XP_019025846.1
OG0002389	YMR250W	XP_019021385.1
OG0002390	YMR259C	XP_019024755.1
OG0002391	YMR260C	XP_019027385.1
OG0002392	YMR263W	XP_019022688.1
OG0002393	YMR265C	XP_019021556.1
OG0002394	YMR268C	XP_019025769.1
OG0002395	YMR269W	XP_019026974.1
OG0002396	YMR272C	XP_019026508.1
OG0002397	YMR274C	XP_019026419.1
OG0002398	YMR276W	XP_019024640.1
OG0002399	YMR277W	XP_019027534.1
OG0002400	YMR281W	XP_019022307.1
OG0002401	YMR283C	XP_019025694.1
OG0002402	YMR284W	XP_019026121.1
OG0002403	YMR286W	XP_019021796.1
OG0002404	YMR287C	XP_019021331.1
OG0002405	YMR288W	XP_019022209.1
OG0002406	YMR289W	XP_019026438.1
OG0002407	YMR290C	XP_019025764.1
OG0002408	YMR292W	XP_019023622.1
OG0002409	YMR293C	XP_019022457.1
OG0002410	YMR296C	XP_019025154.1
OG0002411	YMR297W	XP_019026499.1
OG0002412	YMR300C	XP_019027380.1
OG0002413	YMR301C	XP_019027717.1
OG0002414	YMR302C	XP_019024310.1
OG0002415	YMR304W	XP_019025148.1
OG0002416	YMR307W	XP_019027564.1
OG0002417	YMR308C	XP_019027662.1
OG0002418	YMR309C	XP_019023724.1
OG0002419	YMR314W	XP_019023077.1
OG0002420	YMR315W	XP_019026062.1
OG0002421	YNL001W	XP_019023009.1
OG0002422	YNL003C	XP_019021652.1
OG0002423	YNL005C	XP_019025189.1
OG0002424	YNL006W	XP_019025354.1
OG0002425	YNL007C	XP_019026677.1
OG0002426	YNL010W	XP_019023236.1
OG0002427	YNL011C	XP_019021169.1
OG0002428	YNL014W	XP_019027690.1
OG0002429	YNL016W	XP_019026221.1
OG0002430	YNL020C	XP_019022037.1
OG0002431	YNL021W	XP_019024279.1
OG0002432	YNL022C	XP_019026159.1
OG0002433	YNL023C	XP_019026373.1
OG0002434	YNL024C	XP_019024034.1
OG0002435	YNL024C-A	XP_019025004.1
OG0002436	YNL025C	XP_019023231.1
OG0002437	YNL035C	XP_019024668.1
OG0002438	YNL036W	XP_019024436.1
OG0002439	YNL037C	XP_019026418.1
OG0002440	YNL039W	XP_019023587.1
OG0002441	YNL040W	XP_019023047.1
OG0002442	YNL041C	XP_019020729.1
OG0002443	YNL044W	XP_019025531.1
OG0002444	YNL045W	XP_019027367.1
OG0002445	YNL048W	XP_019024696.1
OG0002446	YNL051W	XP_019023160.1
OG0002447	YNL059C	XP_019026835.1
OG0002448	YNL061W	XP_019024195.1
OG0002449	YNL062C	XP_019023696.1
OG0002450	YNL063W	XP_019023000.1
OG0002451	YNL064C	XP_019023510.1
OG0002452	YNL070W	XP_019023048.1
OG0002453	YNL071W	XP_019027694.1
OG0002454	YNL072W	XP_019024394.1
OG0002455	YNL075W	XP_019023859.1
OG0002456	YNL081C	XP_019026453.1
OG0002457	YNL082W	XP_019025569.1
OG0002458	YNL083W	XP_019023230.1
OG0002459	YNL084C	XP_019025578.1
OG0002460	YNL088W	XP_019025950.1
OG0002461	YNL090W	XP_019020970.1
OG0002462	YNL091W	XP_019020969.1
OG0002463	YNL092W	XP_019026488.1
OG0002464	YNL094W	XP_019023161.1
OG0002465	YNL102W	XP_019025042.1
OG0002466	YNL107W	XP_019021741.1
OG0002467	YNL110C	XP_019023969.1
OG0002468	YNL111C	XP_019024938.1
OG0002469	YNL113W	XP_019025878.1
OG0002470	YNL115C	XP_019026585.1
OG0002471	YNL118C	XP_019025487.1
OG0002472	YNL119W	XP_019025491.1
OG0002473	YNL123W	XP_019026511.1
OG0002474	YNL124W	XP_019023088.1
OG0002475	YNL127W	XP_019023032.1
OG0002476	YNL128W	XP_019020915.1
OG0002477	YNL129W	XP_019021860.1
OG0002478	YNL131W	XP_019025511.1
OG0002479	YNL132W	XP_019022181.1
OG0002480	YNL135C	XP_019022613.1
OG0002481	YNL137C	XP_019026748.1
OG0002482	YNL138W	XP_019026731.1
OG0002483	YNL138W-A	XP_019026432.1
OG0002484	YNL147W	XP_019027706.1
OG0002485	YNL153C	XP_019026509.1
OG0002486	YNL154C	XP_019025358.1
OG0002487	YNL155W	XP_019022711.1
OG0002488	YNL161W	XP_019024119.1
OG0002489	YNL163C	XP_019026232.1
OG0002490	YNL168C	XP_019022201.1
OG0002491	YNL169C	XP_019027150.1
OG0002492	YNL172W	XP_019024669.1
OG0002493	YNL173C	XP_019021440.1
OG0002494	YNL175C	XP_019026011.1
OG0002495	YNL178W	XP_019022040.1
OG0002496	YNL181W	XP_019022380.1
OG0002497	YNL182C	XP_019021603.1
OG0002498	YNL185C	XP_019027218.1
OG0002499	YNL187W	XP_019024293.1
OG0002500	YNL189W	XP_019025515.1
OG0002501	YNL191W	XP_019026222.1
OG0002502	YNL193W	XP_019022488.1
OG0002503	YNL200C	XP_019026117.1
OG0002504	YNL201C	XP_019026071.1
OG0002505	YNL206C	XP_019021933.1
OG0002506	YNL207W	XP_019027109.1
OG0002507	YNL212W	XP_019027468.1
OG0002508	YNL213C	XP_019027469.1
OG0002509	YNL218W	XP_019022633.1
OG0002510	YNL219C	XP_019023089.1
OG0002511	YNL220W	XP_019024109.1
OG0002512	YNL221C	XP_019027321.1
OG0002513	YNL222W	XP_019021381.1
OG0002514	YNL223W	XP_019027699.1
OG0002515	YNL224C	XP_019027698.1
OG0002516	YNL227C	XP_019027587.1
OG0002517	YNL229C	XP_019027441.1
OG0002518	YNL232W	XP_019026160.1
OG0002519	YNL233W	XP_019026189.1
OG0002520	YNL237W	XP_019023590.1
OG0002521	YNL238W	XP_019023415.1
OG0002522	YNL240C	XP_019025814.1
OG0002523	YNL241C	XP_019022176.1
OG0002524	YNL242W	XP_019021214.1
OG0002525	YNL243W	XP_019021693.1
OG0002526	YNL244C	XP_019021697.1
OG0002527	YNL245C	XP_019021632.1
OG0002528	YNL246W	XP_019024127.1
OG0002529	YNL247W	XP_019025265.1
OG0002530	YNL248C	XP_019025657.1
OG0002531	YNL250W	XP_019027025.1
OG0002532	YNL251C	XP_019024353.1
OG0002533	YNL252C	XP_019024725.1
OG0002534	YNL256W	XP_019022646.1
OG0002535	YNL259C	XP_019023975.1
OG0002536	YNL261W	XP_019023354.1
OG0002537	YNL262W	XP_019027681.1
OG0002538	YNL263C	XP_019027384.1
OG0002539	YNL265C	XP_019025867.1
OG0002540	YNL267W	XP_019024930.1
OG0002541	YNL271C	XP_019023042.1
OG0002542	YNL272C	XP_019021621.1
OG0002543	YNL273W	XP_019023667.1
OG0002544	YNL274C	XP_019022803.1
OG0002545	YNL277W	XP_019023446.1
OG0002546	YNL279W	XP_019027429.1
OG0002547	YNL284C	XP_019026278.1
OG0002548	YNL286W	XP_019027201.1
OG0002549	YNL287W	XP_019021588.1
OG0002550	YNL288W	XP_019021533.1
OG0002551	YNL289W	XP_019024488.1
OG0002552	YNL290W	XP_019025813.1
OG0002553	YNL291C	XP_019025690.1
OG0002554	YNL292W	XP_019025424.1
OG0002555	YNL293W	XP_019022719.1
OG0002556	YNL297C	XP_019021476.1
OG0002557	YNL305C	XP_019022697.1
OG0002558	YNL308C	XP_019022020.1
OG0002559	YNL310C	XP_019021122.1
OG0002560	YNL312W	XP_019025062.1
OG0002561	YNL313C	XP_019027727.1
OG0002562	YNL315C	XP_019022217.1
OG0002563	YNL316C	XP_019022596.1
OG0002564	YNL317W	XP_019024790.1
OG0002565	YNL321W	XP_019026859.1
OG0002566	YNR001C	XP_019024352.1
OG0002567	YNR006W	XP_019024988.1
OG0002568	YNR007C	XP_019025745.1
OG0002569	YNR008W	XP_019020734.1
OG0002570	YNR013C	XP_019027480.1
OG0002571	YNR015W	XP_019026587.1
OG0002572	YNR016C	XP_019025055.1
OG0002573	YNR017W	XP_019025054.1
OG0002574	YNR018W	XP_019021306.1
OG0002575	YNR020C	XP_019024738.1
OG0002576	YNR027W	XP_019023352.1
OG0002577	YNR029C	XP_019022674.1
OG0002578	YNR030W	XP_019026634.1
OG0002579	YNR032C-A	XP_019024844.1
OG0002580	YNR033W	XP_019025995.1
OG0002581	YNR035C	XP_019025116.1
OG0002582	YNR036C	XP_019021616.1
OG0002583	YNR037C	XP_019023342.1
OG0002584	YNR039C	XP_019025483.1
OG0002585	YNR041C	XP_019025389.1
OG0002586	YNR043W	XP_019025322.1
OG0002587	YNR046W	XP_019026360.1
OG0002588	YNR052C	XP_019025621.1
OG0002589	YNR053C	XP_019022287.1
OG0002590	YNR054C	XP_019023256.1
OG0002591	YNR074C	XP_019020714.1
OG0002592	YOL003C	XP_019026617.1
OG0002593	YOL004W	XP_019026626.1
OG0002594	YOL005C	XP_019026352.1
OG0002595	YOL006C	XP_019026628.1
OG0002596	YOL008W	XP_019025772.1
OG0002597	YOL010W	XP_019024048.1
OG0002598	YOL012C	XP_019024248.1
OG0002599	YOL013C	XP_019021889.1
OG0002600	YOL018C	XP_019024814.1
OG0002601	YOL021C	XP_019027114.1
OG0002602	YOL022C	XP_019027675.1
OG0002603	YOL023W	XP_019027709.1
OG0002604	YOL026C	XP_019024134.1
OG0002605	YOL031C	XP_019023473.1
OG0002606	YOL032W	XP_019023273.1
OG0002607	YOL033W	XP_019024604.1
OG0002608	YOL038W	XP_019025164.1
OG0002609	YOL040C	XP_019023502.1
OG0002610	YOL041C	XP_019023505.1
OG0002611	YOL049W	XP_019021225.1
OG0002612	YOL052C	XP_019025183.1
OG0002613	YOL058W	XP_019027086.1
OG0002614	YOL060C	XP_019023708.1
OG0002615	YOL069W	XP_019025051.1
OG0002616	YOL071W	XP_019026059.1
OG0002617	YOL073C	XP_019024614.1
OG0002618	YOL077C	XP_019022441.1
OG0002619	YOL078W	XP_019024752.1
OG0002620	YOL080C	XP_019022536.1
OG0002621	YOL086W-A	XP_019025957.1
OG0002622	YOL090W	XP_019027540.1
OG0002623	YOL093W	XP_019027456.1
OG0002624	YOL094C	XP_019021672.1
OG0002625	YOL096C	XP_019023359.1
OG0002626	YOL097C	XP_019022618.1
OG0002627	YOL098C	XP_019022842.1
OG0002628	YOL102C	XP_019026976.1
OG0002629	YOL107W	XP_019021870.1
OG0002630	YOL108C	XP_019026972.1
OG0002631	YOL114C	XP_019027704.1
OG0002632	YOL122C	XP_019022228.1
OG0002633	YOL123W	XP_019021232.1
OG0002634	YOL124C	XP_019021472.1
OG0002635	YOL125W	XP_019026105.1
OG0002636	YOL127W	XP_019023066.1
OG0002637	YOL133W	XP_019025380.1
OG0002638	YOL135C	XP_019025017.1
OG0002639	YOL139C	XP_019022266.1
OG0002640	YOL140W	XP_019021552.1
OG0002641	YOL143C	XP_019022904.1
OG0002642	YOL144W	XP_019023475.1
OG0002643	YOL145C	XP_019025689.1
OG0002644	YOL146W	XP_019024612.1
OG0002645	YOL147C	XP_019027068.1
OG0002646	YOL148C	XP_019027316.1
OG0002647	YOL154W	XP_019024652.1
OG0002648	YOR001W	XP_019027627.1
OG0002649	YOR002W	XP_019023476.1
OG0002650	YOR004W	XP_019021927.1
OG0002651	YOR005C	XP_019025476.1
OG0002652	YOR006C	XP_019024144.1
OG0002653	YOR007C	XP_019021517.1
OG0002654	YOR014W	XP_019025268.1
OG0002655	YOR017W	XP_019025559.1
OG0002656	YOR020C	XP_019026496.1
OG0002657	YOR021C	XP_019027143.1
OG0002658	YOR022C	XP_019026013.1
OG0002659	YOR025W	XP_019021837.1
OG0002660	YOR032C	XP_019023788.1
OG0002661	YOR039W	XP_019024080.1
OG0002662	YOR042W	XP_019025367.1
OG0002663	YOR043W	XP_019021551.1
OG0002664	YOR046C	XP_019023756.1
OG0002665	YOR051C	XP_019023459.1
OG0002666	YOR056C	XP_019021115.1
OG0002667	YOR057W	XP_019027123.1
OG0002668	YOR058C	XP_019025478.1
OG0002669	YOR059C	XP_019023738.1
OG0002670	YOR063W	XP_019021872.1
OG0002671	YOR065W	XP_019026316.1
OG0002672	YOR067C	XP_019024791.1
OG0002673	YOR069W	XP_019022533.1
OG0002674	YOR070C	XP_019021235.1
OG0002675	YOR074C	XP_019026645.1
OG0002676	YOR077W	XP_019026690.1
OG0002677	YOR085W	XP_019021263.1
OG0002678	YOR087W	XP_019026556.1
OG0002679	YOR090C	XP_019023983.1
OG0002680	YOR091W	XP_019023168.1
OG0002681	YOR093C	XP_019026517.1
OG0002682	YOR095C	XP_019027461.1
OG0002683	YOR099W	XP_019023298.1
OG0002684	YOR100C	XP_019023117.1
OG0002685	YOR101W	XP_019023265.1
OG0002686	YOR103C	XP_019023481.1
OG0002687	YOR107W	XP_019023987.1
OG0002688	YOR111W	XP_019026973.1
OG0002689	YOR112W	XP_019025356.1
OG0002690	YOR115C	XP_019025533.1
OG0002691	YOR116C	XP_019025720.1
OG0002692	YOR117W	XP_019022685.1
OG0002693	YOR118W	XP_019022362.1
OG0002694	YOR119C	XP_019024859.1
OG0002695	YOR124C	XP_019022478.1
OG0002696	YOR125C	XP_019022165.1
OG0002697	YOR126C	XP_019024795.1
OG0002698	YOR128C	XP_019021226.1
OG0002699	YOR130C	XP_019023348.1
OG0002700	YOR131C	XP_019025717.1
OG0002701	YOR132W	XP_019025726.1
OG0002702	YOR134W	XP_019023758.1
OG0002703	YOR136W	XP_019024441.1
OG0002704	YOR141C	XP_019024952.1
OG0002705	YOR142W	XP_019023553.1
OG0002706	YOR143C	XP_019026399.1
OG0002707	YOR145C	XP_019022875.1
OG0002708	YOR148C	XP_019022797.1
OG0002709	YOR149C	XP_019021236.1
OG0002710	YOR150W	XP_019026800.1
OG0002711	YOR151C	XP_019027004.1
OG0002712	YOR154W	XP_019022367.1
OG0002713	YOR155C	XP_019023628.1
OG0002714	YOR157C	XP_019021150.1
OG0002715	YOR159C	XP_019027692.1
OG0002716	YOR160W	XP_019022746.1
OG0002717	YOR163W	XP_019021812.1
OG0002718	YOR164C	XP_019026696.1
OG0002719	YOR165W	XP_019021293.1
OG0002720	YOR166C	XP_019021360.1
OG0002721	YOR168W	XP_019025574.1
OG0002722	YOR175C	XP_019026694.1
OG0002723	YOR176W	XP_019026184.1
OG0002724	YOR181W	XP_019027289.1
OG0002725	YOR184W	XP_019022995.1
OG0002726	YOR187W	XP_019026256.1
OG0002727	YOR194C	XP_019026957.1
OG0002728	YOR196C	XP_019027666.1
OG0002729	YOR197W	XP_019027664.1
OG0002730	YOR198C	XP_019023133.1
OG0002731	YOR201C	XP_019026065.1
OG0002732	YOR202W	XP_019026401.1
OG0002733	YOR204W	XP_019026409.1
OG0002734	YOR206W	XP_019026923.1
OG0002735	YOR207C	XP_019024238.1
OG0002736	YOR209C	XP_019022237.1
OG0002737	YOR210W	XP_019026919.1
OG0002738	YOR211C	XP_019026230.1
OG0002739	YOR212W	XP_019025542.1
OG0002740	YOR216C	XP_019024114.1
OG0002741	YOR217W	XP_019021820.1
OG0002742	YOR222W	XP_019023559.1
OG0002743	YOR223W	XP_019021822.1
OG0002744	YOR226C	XP_019021239.1
OG0002745	YOR232W	XP_019021815.1
OG0002746	YOR236W	XP_019023233.1
OG0002747	YOR238W	XP_019025999.1
OG0002748	YOR239W	XP_019022834.1
OG0002749	YOR241W	XP_019020914.1
OG0002750	YOR243C	XP_019025939.1
OG0002751	YOR244W	XP_019025095.1
OG0002752	YOR245C	XP_019022950.1
OG0002753	YOR250C	XP_019024544.1
OG0002754	YOR251C	XP_019022345.1
OG0002755	YOR252W	XP_019022149.1
OG0002756	YOR254C	XP_019026497.1
OG0002757	YOR257W	XP_019024469.1
OG0002758	YOR258W	XP_019025417.1
OG0002759	YOR259C	XP_019026361.1
OG0002760	YOR260W	XP_019027315.1
OG0002761	YOR261C	XP_019024388.1
OG0002762	YOR262W	XP_019023264.1
OG0002763	YOR269W	XP_019024622.1
OG0002764	YOR270C	XP_019024447.1
OG0002765	YOR271C	XP_019027319.1
OG0002766	YOR272W	XP_019021217.1
OG0002767	YOR274W	XP_019023043.1
OG0002768	YOR278W	XP_019020766.1
OG0002769	YOR281C	XP_019023259.1
OG0002770	YOR283W	XP_019023062.1
OG0002771	YOR286W	XP_019026772.1
OG0002772	YOR287C	XP_019027062.1
OG0002773	YOR289W	XP_019027445.1
OG0002774	YOR291W	XP_019026756.1
OG0002775	YOR294W	XP_019022035.1
OG0002776	YOR296W	XP_019024556.1
OG0002777	YOR298C-A	XP_019025789.1
OG0002778	YOR301W	XP_019026996.1
OG0002779	YOR303W	XP_019026104.1
OG0002780	YOR304W	XP_019026041.1
OG0002781	YOR305W	XP_019025579.1
OG0002782	YOR307C	XP_019024261.1
OG0002783	YOR308C	XP_019027448.1
OG0002784	YOR310C	XP_019025920.1
OG0002785	YOR311C	XP_019025917.1
OG0002786	YOR319W	XP_019023058.1
OG0002787	YOR322C	XP_019026178.1
OG0002788	YOR323C	XP_019025994.1
OG0002789	YOR326W	XP_019023552.1
OG0002790	YOR327C	XP_019027405.1
OG0002791	YOR330C	XP_019026196.1
OG0002792	YOR332W	XP_019027340.1
OG0002793	YOR335C	XP_019022100.1
OG0002794	YOR336W	XP_019020768.1
OG0002795	YOR339C	XP_019027019.1
OG0002796	YOR340C	XP_019024444.1
OG0002797	YOR341W	XP_019025923.1
OG0002798	YOR349W	XP_019025925.1
OG0002799	YOR351C	XP_019025636.1
OG0002800	YOR352W	XP_019024520.1
OG0002801	YOR353C	XP_019023956.1
OG0002802	YOR356W	XP_019020950.1
OG0002803	YOR357C	XP_019021681.1
OG0002804	YOR358W	XP_019024576.1
OG0002805	YOR360C	XP_019022430.1
OG0002806	YOR361C	XP_019026371.1
OG0002807	YOR362C	XP_019026431.1
OG0002808	YOR367W	XP_019026046.1
OG0002809	YOR368W	XP_019027017.1
OG0002810	YOR369C	XP_019021939.1
OG0002811	YOR370C	XP_019026852.1
OG0002812	YOR373W	XP_019023165.1
OG0002813	YOR374W	XP_019023149.1
OG0002814	YOR378W	XP_019026480.1
OG0002815	YOR388C	XP_019022983.1
OG0002816	YPL001W	XP_019024773.1
OG0002817	YPL002C	XP_019025624.1
OG0002818	YPL003W	XP_019027191.1
OG0002819	YPL006W	XP_019027047.1
OG0002820	YPL008W	XP_019020773.1
OG0002821	YPL009C	XP_019027622.1
OG0002822	YPL010W	XP_019026460.1
OG0002823	YPL011C	XP_019021808.1
OG0002824	YPL012W	XP_019021855.1
OG0002825	YPL013C	XP_019026118.1
OG0002826	YPL015C	XP_019026302.1
OG0002827	YPL016W	XP_019027615.1
OG0002828	YPL022W	XP_019027363.1
OG0002829	YPL029W	XP_019025110.1
OG0002830	YPL030W	XP_019027274.1
OG0002831	YPL031C	XP_019022429.1
OG0002832	YPL040C	XP_019022280.1
OG0002833	YPL041C	XP_019025303.1
OG0002834	YPL042C	XP_019023810.1
OG0002835	YPL043W	XP_019020814.1
OG0002836	YPL045W	XP_019025436.1
OG0002837	YPL046C	XP_019023300.1
OG0002838	YPL047W	XP_019027308.1
OG0002839	YPL050C	XP_019023891.1
OG0002840	YPL054W	XP_019020759.1
OG0002841	YPL059W	XP_019025364.1
OG0002842	YPL060W	XP_019027341.1
OG0002843	YPL063W	XP_019021373.1
OG0002844	YPL065W	XP_019026898.1
OG0002845	YPL067C	XP_019024756.1
OG0002846	YPL069C	XP_019023804.1
OG0002847	YPL076W	XP_019024676.1
OG0002848	YPL078C	XP_019023496.1
OG0002849	YPL082C	XP_019022036.1
OG0002850	YPL086C	XP_019026757.1
OG0002851	YPL091W	XP_019022433.1
OG0002852	YPL093W	XP_019026503.1
OG0002853	YPL094C	XP_019026764.1
OG0002854	YPL096W	XP_019022795.1
OG0002855	YPL097W	XP_019022368.1
OG0002856	YPL098C	XP_019021605.1
OG0002857	YPL101W	XP_019023293.1
OG0002858	YPL103C	XP_019023263.1
OG0002859	YPL104W	XP_019022335.1
OG0002860	YPL107W	XP_019024955.1
OG0002861	YPL109C	XP_019024848.1
OG0002862	YPL110C	XP_019023179.1
OG0002863	YPL111W	XP_019022889.1
OG0002864	YPL116W	XP_019022629.1
OG0002865	YPL117C	XP_019027108.1
OG0002866	YPL120W	XP_019022112.1
OG0002867	YPL125W	XP_019021370.1
OG0002868	YPL126W	XP_019026920.1
OG0002869	YPL127C	XP_019022572.1
OG0002870	YPL128C	XP_019023155.1
OG0002871	YPL129W	XP_019025502.1
OG0002872	YPL131W	XP_019023939.1
OG0002873	YPL132W	XP_019021803.1
OG0002874	YPL138C	XP_019022016.1
OG0002875	YPL146C	XP_019023445.1
OG0002876	YPL151C	XP_019021530.1
OG0002877	YPL152W	XP_019023749.1
OG0002878	YPL154C	XP_019027617.1
OG0002879	YPL157W	XP_019021128.1
OG0002880	YPL160W	XP_019026890.1
OG0002881	YPL162C	XP_019021211.1
OG0002882	YPL164C	XP_019021707.1
OG0002883	YPL165C	XP_019021720.1
OG0002884	YPL166W	XP_019021722.1
OG0002885	YPL167C	XP_019021700.1
OG0002886	YPL169C	XP_019022781.1
OG0002887	YPL170W	XP_019025976.1
OG0002888	YPL172C	XP_019022381.1
OG0002889	YPL175W	XP_019025940.1
OG0002890	YPL178W	XP_019024836.1
OG0002891	YPL183C	XP_019022252.1
OG0002892	YPL183W-A	XP_019022250.1
OG0002893	YPL184C	XP_019024692.1
OG0002894	YPL188W	XP_019022704.1
OG0002895	YPL190C	XP_019027702.1
OG0002896	YPL195W	XP_019022919.1
OG0002897	YPL196W	XP_019020774.1
OG0002898	YPL199C	XP_019023798.1
OG0002899	YPL203W	XP_019024663.1
OG0002900	YPL204W	XP_019021594.1
OG0002901	YPL206C	XP_019023765.1
OG0002902	YPL207W	XP_019027209.1
OG0002903	YPL209C	XP_019024737.1
OG0002904	YPL210C	XP_019024723.1
OG0002905	YPL211W	XP_019024740.1
OG0002906	YPL212C	XP_019024741.1
OG0002907	YPL213W	XP_019024936.1
OG0002908	YPL215W	XP_019024749.1
OG0002909	YPL217C	XP_019024443.1
OG0002910	YPL218W	XP_019021835.1
OG0002911	YPL222W	XP_019024314.1
OG0002912	YPL225W	XP_019022299.1
OG0002913	YPL227C	XP_019026053.1
OG0002914	YPL228W	XP_019022398.1
OG0002915	YPL231W	XP_019027565.1
OG0002916	YPL233W	XP_019027672.1
OG0002917	YPL234C	XP_019026899.1
OG0002918	YPL235W	XP_019024242.1
OG0002919	YPL236C	XP_019025972.1
OG0002920	YPL237W	XP_019026001.1
OG0002921	YPL239W	XP_019025252.1
OG0002922	YPL243W	XP_019026576.1
OG0002923	YPL244C	XP_019021902.1
OG0002924	YPL246C	XP_019027537.1
OG0002925	YPL247C	XP_019022388.1
OG0002926	YPL254W	XP_019021283.1
OG0002927	YPL260W	XP_019024113.1
OG0002928	YPL262W	XP_019027327.1
OG0002929	YPL263C	XP_019023952.1
OG0002930	YPL266W	XP_019021274.1
OG0002931	YPL268W	XP_019023858.1
OG0002932	YPR002W	XP_019023739.1
OG0002933	YPR003C	XP_019027726.1
OG0002934	YPR004C	XP_019026765.1
OG0002935	YPR010C	XP_019021158.1
OG0002936	YPR011C	XP_019021201.1
OG0002937	YPR015C	XP_019027295.1
OG0002938	YPR016C	XP_019023541.1
OG0002939	YPR017C	XP_019025960.1
OG0002940	YPR019W	XP_019023741.1
OG0002941	YPR020W	XP_019026566.1
OG0002942	YPR021C	XP_019021863.1
OG0002943	YPR023C	XP_019027471.1
OG0002944	YPR024W	XP_019024586.1
OG0002945	YPR025C	XP_019027677.1
OG0002946	YPR028W	XP_019026675.1
OG0002947	YPR033C	XP_019026597.1
OG0002948	YPR035W	XP_019026044.1
OG0002949	YPR036W	XP_019021562.1
OG0002950	YPR037C	XP_019026429.1
OG0002951	YPR040W	XP_019024751.1
OG0002952	YPR041W	XP_019024714.1
OG0002953	YPR045C	XP_019022668.1
OG0002954	YPR047W	XP_019021816.1
OG0002955	YPR049C	XP_019021020.1
OG0002956	YPR051W	XP_019020735.1
OG0002957	YPR055W	XP_019023589.1
OG0002958	YPR056W	XP_019024882.1
OG0002959	YPR060C	XP_019023190.1
OG0002960	YPR062W	XP_019026840.1
OG0002961	YPR066W	XP_019026592.1
OG0002962	YPR067W	XP_019027317.1
OG0002963	YPR069C	XP_019023813.1
OG0002964	YPR073C	XP_019025768.1
OG0002965	YPR074C	XP_019023886.1
OG0002966	YPR079W	XP_019022010.1
OG0002967	YPR082C	XP_019025071.1
OG0002968	YPR086W	XP_019021043.1
OG0002969	YPR088C	XP_019025309.1
OG0002970	YPR091C	XP_019021695.1
OG0002971	YPR094W	XP_019024711.1
OG0002972	YPR097W	XP_019026578.1
OG0002973	YPR098C	XP_019021948.1
OG0002974	YPR100W	XP_019022519.1
OG0002975	YPR103W	XP_019021139.1
OG0002976	YPR107C	XP_019025103.1
OG0002977	YPR108W	XP_019027089.1
OG0002978	YPR110C	XP_019026590.1
OG0002979	YPR112C	XP_019027002.1
OG0002980	YPR113W	XP_019025896.1
OG0002981	YPR117W	XP_019025517.1
OG0002982	YPR118W	XP_019022935.1
OG0002983	YPR125W	XP_019023441.1
OG0002984	YPR129W	XP_019024228.1
OG0002985	YPR131C	XP_019022439.1
OG0002986	YPR133C	XP_019024298.1
OG0002987	YPR135W	XP_019024307.1
OG0002988	YPR137W	XP_019026348.1
OG0002989	YPR140W	XP_019025041.1
OG0002990	YPR141C	XP_019024956.1
