	Metschnikowia_kipukae	Saccharomyces_cerevisiae
OG0000055	snap_masked-kipT_s19-processed-gene-3.114-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.114&CDS=1-1449, snap_masked-kipT_s2-processed-gene-8.51-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.51&CDS=1-1332	YDL155W, YGR108W, YPR119W
OG0000056	snap_masked-kipT_s19-processed-gene-4.26-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.26&CDS=1-1914, snap_masked-kipT_s19-processed-gene-4.7-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.7&CDS=1-1578, snap_masked-kipT_s8-processed-gene-20.53-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-20.53&CDS=1-1542	YGR197C, YJR015W
OG0000057	snap_masked-kipT_s19-processed-gene-5.74-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.74&CDS=1-4479	YBL017C, YIL173W, YJL222W, YNR065C
OG0000058	snap_masked-kipT_s19-processed-gene-6.84-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.84&CDS=1-2481, snap_masked-kipT_s8-processed-gene-14.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-14.90&CDS=1-2490	YDR326C, YFL042C, YHR080C
OG0000059	snap_masked-kipT_s19-processed-gene-7.64-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.64&CDS=1-1155, snap_masked-kipT_s22-processed-gene-9.12-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-9.12&CDS=1-2484, snap_masked-kipT_s38-processed-gene-2.19-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-2.19&CDS=1-1545	YDR523C, YHR102W
OG0000060	genemark-kipT_s38-processed-gene-2.133-mRNA-1_1&gene=genemark-kipT_s38-processed-gene-2.133&CDS=1-2679, maker-kipT_s24-augustus-gene-3.96-mRNA-1_1&gene=maker-kipT_s24-augustus-gene-3.96&CDS=1-5643, snap_masked-kipT_s19-processed-gene-8.104-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.104&CDS=1-3534	YDR216W, YML080W
OG0000061	snap_masked-kipT_s2-processed-gene-0.54-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.54&CDS=1-1527, snap_masked-kipT_s38-processed-gene-5.11-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-5.11&CDS=1-1539	YER056C, YER060W, YER060W-A
OG0000062	snap_masked-kipT_s2-processed-gene-1.108-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-1.108&CDS=1-1950, snap_masked-kipT_s8-processed-gene-2.58-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.58&CDS=1-1911	YDR107C, YER113C, YLR083C
OG0000063	snap_masked-kipT_s2-processed-gene-3.30-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-3.30&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
OG0000064	snap_masked-kipT_s2-processed-gene-3.29-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-3.29&CDS=1-1188, snap_masked-kipT_s36-processed-gene-1.49-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-1.49&CDS=1-1191	YDR021W, YJL138C, YKR059W
OG0000065	snap_masked-kipT_s2-processed-gene-5.111-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.111&CDS=1-1098, snap_masked-kipT_s22-processed-gene-2.88-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.88&CDS=1-1086, snap_masked-kipT_s55-processed-gene-0.24-mRNA-1_1&gene=snap_masked-kipT_s55-processed-gene-0.24&CDS=1-1080	YCR105W, YMR318C
OG0000066	snap_masked-kipT_s2-processed-gene-5.136-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.136&CDS=1-1662, snap_masked-kipT_s24-processed-gene-6.109-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-6.109&CDS=1-1431, snap_masked-kipT_s36-processed-gene-0.88-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-0.88&CDS=1-1266	YHR135C, YPL204W
OG0000067	genemark-kipT_s8-processed-gene-12.137-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-12.137&CDS=1-978, snap_masked-kipT_s2-processed-gene-9.15-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.15&CDS=1-267	YBR089C-A, YDR174W, YPR052C
OG0000068	snap_masked-kipT_s2-processed-gene-9.62-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.62&CDS=1-1413, snap_masked-kipT_s36-processed-gene-0.79-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-0.79&CDS=1-1449	YCL040W, YDR516C, YGL253W
OG0000069	snap_masked-kipT_s22-processed-gene-1.47-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.47&CDS=1-3963, snap_masked-kipT_s24-processed-gene-1.105-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-1.105&CDS=1-1638, snap_masked-kipT_s42-processed-gene-1.28-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-1.28&CDS=1-1623	YLR343W, YMR307W
OG0000070	maker-kipT_s22-snap-gene-5.47-mRNA-1_1&gene=maker-kipT_s22-snap-gene-5.47&CDS=1-4104, snap_masked-kipT_s63-processed-gene-0.54-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-0.54&CDS=1-3060	YIL002C, YNL106C, YOR109W
OG0000071	snap_masked-kipT_s23-processed-gene-0.30-mRNA-1_1&gene=snap_masked-kipT_s23-processed-gene-0.30&CDS=1-1572, snap_masked-kipT_s42-processed-gene-2.214-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-2.214&CDS=1-2124, snap_masked-kipT_s8-processed-gene-17.76-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-17.76&CDS=1-2352	YGL257C, YNR059W
OG0000072	snap_masked-kipT_s24-processed-gene-1.145-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-1.145&CDS=1-1449, snap_masked-kipT_s24-processed-gene-6.84-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-6.84&CDS=1-1494	YDL159W, YOR231W, YPL140C
OG0000073	genemark-kipT_s24-processed-gene-3.135-mRNA-1_1&gene=genemark-kipT_s24-processed-gene-3.135&CDS=1-1392, snap_masked-kipT_s36-processed-gene-2.75-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-2.75&CDS=1-1278	YBL089W, YER119C, YIL088C
OG0000074	maker-kipT_s24-snap-gene-6.196-mRNA-1_1&gene=maker-kipT_s24-snap-gene-6.196&CDS=1-4731, snap_masked-kipT_s8-processed-gene-12.6-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.6&CDS=1-3558	YML072C, YNL087W, YOR086C
OG0000075	maker-kipT_s24-snap-gene-6.198-mRNA-1_1&gene=maker-kipT_s24-snap-gene-6.198&CDS=1-516, maker-kipT_s24-snap-gene-6.199-mRNA-1_1&gene=maker-kipT_s24-snap-gene-6.199&CDS=1-318, snap_masked-kipT_s36-processed-gene-0.91-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-0.91&CDS=1-1278	YHR179W, YPL171C
OG0000076	snap_masked-kipT_s25-processed-gene-1.12-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-1.12&CDS=1-915, snap_masked-kipT_s63-processed-gene-0.46-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-0.46&CDS=1-954	YDR368W, YJR096W, YOR120W
OG0000077	snap_masked-kipT_s25-processed-gene-1.40-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-1.40&CDS=1-921, snap_masked-kipT_s62-processed-gene-5.159-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.159&CDS=1-1629, snap_masked-kipT_s62-processed-gene-5.221-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.221&CDS=1-828	YDR352W, YOL092W
OG0000078	maker-kipT_s38-augustus-gene-1.9-mRNA-1_1&gene=maker-kipT_s38-augustus-gene-1.9&CDS=1-1242, snap_masked-kipT_s25-processed-gene-2.94-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-2.94&CDS=1-1527, snap_masked-kipT_s8-processed-gene-2.50-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.50&CDS=1-1665	YER133W, YML016C
OG0000079	snap_masked-kipT_s25-processed-gene-3.216-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-3.216&CDS=1-1005, snap_masked-kipT_s58-processed-gene-1.87-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-1.87&CDS=1-1491	YBL056W, YBR125C, YER089C
OG0000080	snap_masked-kipT_s25-processed-gene-3.259-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-3.259&CDS=1-1416, snap_masked-kipT_s8-processed-gene-8.98-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.98&CDS=1-3156	YBR126C, YML100W, YMR261C
OG0000081	augustus_masked-kipT_s62-processed-gene-5.303-mRNA-1_1&gene=augustus_masked-kipT_s62-processed-gene-5.303&CDS=1-1356, snap_masked-kipT_s3-processed-gene-0.151-mRNA-1_1&gene=snap_masked-kipT_s3-processed-gene-0.151&CDS=1-741	YDR319C, YGL126W, YGL127C
OG0000082	genemark-kipT_s36-processed-gene-1.102-mRNA-1_1&gene=genemark-kipT_s36-processed-gene-1.102&CDS=1-3588, snap_masked-kipT_s50-processed-gene-0.26-mRNA-1_1&gene=snap_masked-kipT_s50-processed-gene-0.26&CDS=1-3597	YJL042W, YOR227W, YPL137C
OG0000083	snap_masked-kipT_s36-processed-gene-2.68-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-2.68&CDS=1-1284, snap_masked-kipT_s8-processed-gene-10.2-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.2&CDS=1-2202, snap_masked-kipT_s8-processed-gene-13.66-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.66&CDS=1-2103	YHR206W, YOR140W
OG0000084	snap_masked-kipT_s38-processed-gene-3.56-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-3.56&CDS=1-2256, snap_masked-kipT_s62-processed-gene-4.98-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-4.98&CDS=1-2319	YAL053W, YGL139W, YPL221W
OG0000085	augustus_masked-kipT_s58-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-kipT_s58-processed-gene-0.16&CDS=1-1431, snap_masked-kipT_s8-processed-gene-20.86-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-20.86&CDS=1-2190	YCR065W, YIL131C, YNL068C
OG0000086	maker-kipT_s58-snap-gene-2.148-mRNA-1_1&gene=maker-kipT_s58-snap-gene-2.148&CDS=1-1677	YBR297W, YFL052W, YGR288W, YPR196W
OG0000087	snap_masked-kipT_s63-processed-gene-0.63-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-0.63&CDS=1-2490, snap_masked-kipT_s8-processed-gene-8.57-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.57&CDS=1-2814	YCR037C, YJL198W, YNR013C
OG0000088	snap_masked-kipT_s8-processed-gene-18.37-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-18.37&CDS=1-924	YDL244W, YFL058W, YJR156C, YNL332W
OG0000089		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000090	augustus_masked-kipT_C3583-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-kipT_C3583-processed-gene-0.1&CDS=1-885, snap_masked-kipT_s48-processed-gene-0.1-mRNA-1_1&gene=snap_masked-kipT_s48-processed-gene-0.1&CDS=1-921, snap_masked-kipT_s62-processed-gene-3.77-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-3.77&CDS=1-918	YLR286C
OG0000091	snap_masked-kipT_s11-processed-gene-0.78-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-0.78&CDS=1-1857, snap_masked-kipT_s2-processed-gene-6.62-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.62&CDS=1-1716	YGL003C, YGL116W
OG0000092	augustus_masked-kipT_s11-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-kipT_s11-processed-gene-1.11&CDS=1-1602	YOL055C, YPL258C, YPR121W
OG0000093	snap_masked-kipT_s11-processed-gene-1.69-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-1.69&CDS=1-2439, snap_masked-kipT_s38-processed-gene-3.53-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-3.53&CDS=1-2667	YDR258C, YLL026W
OG0000094	snap_masked-kipT_s11-processed-gene-3.119-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-3.119&CDS=1-1095, snap_masked-kipT_s62-processed-gene-5.172-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.172&CDS=1-1014	YNL274C, YPL113C
OG0000095	genemark-kipT_s11-processed-gene-3.158-mRNA-1_1&gene=genemark-kipT_s11-processed-gene-3.158&CDS=1-2244, snap_masked-kipT_s58-processed-gene-3.169-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.169&CDS=1-1302, snap_masked-kipT_s8-processed-gene-17.54-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-17.54&CDS=1-1533	YLR380W
OG0000096	snap_masked-kipT_s13-processed-gene-0.73-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-0.73&CDS=1-2025, snap_masked-kipT_s38-processed-gene-1.125-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-1.125&CDS=1-1194, snap_masked-kipT_s38-processed-gene-1.133-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-1.133&CDS=1-1878	YNL027W
OG0000097	snap_masked-kipT_s13-processed-gene-2.79-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-2.79&CDS=1-2943, snap_masked-kipT_s58-processed-gene-3.181-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.181&CDS=1-2931	YJL098W, YKR028W
OG0000098	snap_masked-kipT_s13-processed-gene-2.80-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-2.80&CDS=1-5070, snap_masked-kipT_s8-processed-gene-16.121-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-16.121&CDS=1-2214	YJL095W, YLR362W
OG0000099	augustus_masked-kipT_s13-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-2.128&CDS=1-2076, snap_masked-kipT_s8-processed-gene-1.72-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.72&CDS=1-2517	YIL095W, YNL020C
OG0000100	genemark-kipT_s2-processed-gene-0.18-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-0.18&CDS=1-2109, genemark-kipT_s8-processed-gene-19.12-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-19.12&CDS=1-2055, snap_masked-kipT_s13-processed-gene-3.52-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.52&CDS=1-2136, snap_masked-kipT_s36-processed-gene-0.60-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-0.60&CDS=1-2178	
OG0000101	maker-kipT_s13-snap-gene-4.1-mRNA-1_1&gene=maker-kipT_s13-snap-gene-4.1&CDS=1-1566, snap_masked-kipT_s58-processed-gene-3.216-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.216&CDS=1-1323	YBR239C, YJL103C
OG0000102	augustus_masked-kipT_s13-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-4.71&CDS=1-1851, snap_masked-kipT_s24-processed-gene-6.103-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-6.103&CDS=1-1527	YBR241C, YGL104C
OG0000103	augustus_masked-kipT_s25-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-kipT_s25-processed-gene-2.37&CDS=1-3726, snap_masked-kipT_s13-processed-gene-4.147-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.147&CDS=1-1884, snap_masked-kipT_s22-processed-gene-9.6-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-9.6&CDS=1-1455	YEL061C
OG0000104	snap_masked-kipT_s13-processed-gene-6.2-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.2&CDS=1-2247, snap_masked-kipT_s38-processed-gene-1.124-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-1.124&CDS=1-2460	YAR035W, YER024W
OG0000105	snap_masked-kipT_s13-processed-gene-6.13-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.13&CDS=1-1491, snap_masked-kipT_s2-processed-gene-6.63-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.63&CDS=1-1470	YGL202W, YHR137W
OG0000106	snap_masked-kipT_s13-processed-gene-6.16-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.16&CDS=1-849, snap_masked-kipT_s8-processed-gene-17.57-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-17.57&CDS=1-921	YIL043C, YML125C
OG0000107	snap_masked-kipT_s13-processed-gene-6.22-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.22&CDS=1-1191, snap_masked-kipT_s58-processed-gene-3.139-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.139&CDS=1-2094	YCL039W, YKL021C
OG0000108	snap_masked-kipT_s13-processed-gene-6.28-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.28&CDS=1-3012, snap_masked-kipT_s2-processed-gene-7.36-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.36&CDS=1-3081	YDR395W, YJR132W
OG0000109	snap_masked-kipT_s19-processed-gene-0.5-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.5&CDS=1-2592, snap_masked-kipT_s2-processed-gene-3.43-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-3.43&CDS=1-2337	YDL132W, YGR003W
OG0000110	genemark-kipT_s19-processed-gene-1.23-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-1.23&CDS=1-1197, snap_masked-kipT_s8-processed-gene-17.64-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-17.64&CDS=1-1212	YBR025C, YHL014C
OG0000111	maker-kipT_s2-snap-gene-6.5-mRNA-1_1&gene=maker-kipT_s2-snap-gene-6.5&CDS=1-1119, snap_masked-kipT_s19-processed-gene-2.53-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.53&CDS=1-1098	YBR249C, YDR035W
OG0000112	genemark-kipT_s58-processed-gene-1.142-mRNA-1_1&gene=genemark-kipT_s58-processed-gene-1.142&CDS=1-2322, snap_masked-kipT_s19-processed-gene-2.99-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.99&CDS=1-1506	YBL052C, YOR244W
OG0000113	snap_masked-kipT_s19-processed-gene-3.85-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.85&CDS=1-1869, snap_masked-kipT_s24-processed-gene-6.75-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-6.75&CDS=1-2568	YGL216W, YPL155C
OG0000114	augustus_masked-kipT_s19-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-3.48&CDS=1-5079, snap_masked-kipT_s2-processed-gene-7.61-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-7.61&CDS=1-2292	YLR069C, YOR165W
OG0000115	genemark-kipT_s8-processed-gene-18.124-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-18.124&CDS=1-5184, snap_masked-kipT_s19-processed-gene-4.2-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.2&CDS=1-3186	YJL050W, YLR398C
OG0000116	snap_masked-kipT_s19-processed-gene-4.11-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.11&CDS=1-6213, snap_masked-kipT_s8-processed-gene-14.48-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-14.48&CDS=1-5796	YER172C, YGR271W
OG0000117	genemark-kipT_s19-processed-gene-5.128-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-5.128&CDS=1-2016, snap_masked-kipT_s24-processed-gene-3.40-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-3.40&CDS=1-1494	YKL088W, YKR072C
OG0000118	snap_masked-kipT_s19-processed-gene-5.90-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.90&CDS=1-1482, snap_masked-kipT_s62-processed-gene-3.38-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-3.38&CDS=1-1236	YLR455W, YMR044W
OG0000119	maker-kipT_s19-snap-gene-5.141-mRNA-1_1&gene=maker-kipT_s19-snap-gene-5.141&CDS=1-2445, snap_masked-kipT_s58-processed-gene-0.51-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-0.51&CDS=1-3579	YBR114W, YOR191W
OG0000120	snap_masked-kipT_s19-processed-gene-6.88-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.88&CDS=1-1341, snap_masked-kipT_s8-processed-gene-15.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-15.90&CDS=1-2175	YIL078W, YKL194C
OG0000121	snap_masked-kipT_s19-processed-gene-6.81-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.81&CDS=1-1512, snap_masked-kipT_s8-processed-gene-14.71-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-14.71&CDS=1-2247	YGR052W, YHR082C
OG0000122	snap_masked-kipT_s19-processed-gene-7.47-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.47&CDS=1-6624, snap_masked-kipT_s22-processed-gene-1.76-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.76&CDS=1-3504	YJL130C, YJR109C
OG0000123	genemark-kipT_s24-processed-gene-2.37-mRNA-1_1&gene=genemark-kipT_s24-processed-gene-2.37&CDS=1-309, snap_masked-kipT_s19-processed-gene-7.74-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.74&CDS=1-309	YBR009C, YNL030W
OG0000124	genemark-kipT_s24-processed-gene-2.17-mRNA-1_1&gene=genemark-kipT_s24-processed-gene-2.17&CDS=1-408, snap_masked-kipT_s19-processed-gene-7.52-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.52&CDS=1-408	YBR010W, YNL031C
OG0000125	augustus_masked-kipT_s19-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-8.16&CDS=1-2850, snap_masked-kipT_s19-processed-gene-8.121-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.121&CDS=1-753	YIR038C, YJL010C
OG0000126	snap_masked-kipT_s19-processed-gene-8.91-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.91&CDS=1-4050, snap_masked-kipT_s8-processed-gene-1.82-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.82&CDS=1-4542	YDR334W, YGL150C
OG0000127	snap_masked-kipT_s19-processed-gene-8.137-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.137&CDS=1-1716	YDR144C, YLR120C, YLR121C
OG0000128	snap_masked-kipT_s2-processed-gene-0.46-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.46&CDS=1-4560, snap_masked-kipT_s8-processed-gene-0.125-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-0.125&CDS=1-4374	YDR011W, YOR153W
OG0000129	snap_masked-kipT_s2-processed-gene-0.69-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.69&CDS=1-2430, snap_masked-kipT_s25-processed-gene-3.203-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-3.203&CDS=1-2100	YKL188C, YPL147W
OG0000130	genemark-kipT_s2-processed-gene-1.29-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-1.29&CDS=1-2271, maker-kipT_s3-snap-gene-0.63-mRNA-1_1&gene=maker-kipT_s3-snap-gene-0.63&CDS=1-3300	YER041W, YGR258C
OG0000131	snap_masked-kipT_s2-processed-gene-2.58-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-2.58&CDS=1-1644, snap_masked-kipT_s22-processed-gene-9.44-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-9.44&CDS=1-1692	YEL063C, YOR348C
OG0000132	snap_masked-kipT_s2-processed-gene-2.64-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-2.64&CDS=1-1227, snap_masked-kipT_s36-processed-gene-2.73-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-2.73&CDS=1-1356	YLR090W, YNL064C
OG0000133	maker-kipT_s8-augustus-gene-4.0-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-4.0&CDS=1-10920, snap_masked-kipT_s2-processed-gene-2.70-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-2.70&CDS=1-7566	YGR100W, YLR454W
OG0000134	maker-kipT_s2-augustus-gene-3.89-mRNA-1_1&gene=maker-kipT_s2-augustus-gene-3.89&CDS=1-3360, snap_masked-kipT_s36-processed-gene-2.23-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-2.23&CDS=1-2823	YER017C, YMR089C
OG0000135	snap_masked-kipT_s2-processed-gene-3.48-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-3.48&CDS=1-1020, snap_masked-kipT_s62-processed-gene-5.158-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.158&CDS=1-1062	YDL134C, YNR032W
OG0000136	snap_masked-kipT_s2-processed-gene-3.26-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-3.26&CDS=1-1656, snap_masked-kipT_s24-processed-gene-4.129-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-4.129&CDS=1-5157	YFL008W, YKR056W
OG0000137	snap_masked-kipT_s2-processed-gene-4.52-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.52&CDS=1-2619, snap_masked-kipT_s36-processed-gene-2.0-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-2.0&CDS=1-2943	YJL092W, YOL095C
OG0000138	snap_masked-kipT_s2-processed-gene-4.54-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.54&CDS=1-2133, snap_masked-kipT_s25-processed-gene-0.97-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-0.97&CDS=1-1581	YDL138W, YDL194W
OG0000139	snap_masked-kipT_s2-processed-gene-4.94-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-4.94&CDS=1-3873, snap_masked-kipT_s62-processed-gene-4.132-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-4.132&CDS=1-6984	YBL088C, YBR136W
OG0000140	augustus_masked-kipT_s64-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-kipT_s64-processed-gene-0.44&CDS=1-1311, snap_masked-kipT_s2-processed-gene-5.144-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.144&CDS=1-1554	YER028C, YGL209W
OG0000141	maker-kipT_s2-augustus-gene-8.93-mRNA-1_1&gene=maker-kipT_s2-augustus-gene-8.93&CDS=1-1467, snap_masked-kipT_s62-processed-gene-5.218-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.218&CDS=1-1431	YBR283C, YLR378C
