	Ascoidea_asiatica	Saccharomyces_cerevisiae
OG0000034	-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-gi|1002316721|dbj|BCKQ01000015.1|-processed-gene-1.109&CDS=1-1065, -processed-gene-1.181-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.181&CDS=1-1065, -processed-gene-3.103-mRNA-1_1&gene=snap_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-3.103&CDS=1-1065	YMR303C, YOL086C
OG0000035	-processed-gene-0.19-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.19&CDS=1-1878, -processed-gene-0.61-mRNA-1_1&gene=snap_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-0.61&CDS=1-1857, -processed-gene-2.69-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-2.69&CDS=1-1869	YFL041W, YMR058W
OG0000036	-processed-gene-1.29-mRNA-1_1&gene=snap_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-1.29&CDS=1-408, -processed-gene-2.55-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.55&CDS=1-408, -processed-gene-9.17-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-9.17&CDS=1-408	YBR010W, YNL031C
OG0000037	-augustus-gene-5.111-mRNA-1_1&gene=maker-gi|1002316725|dbj|BCKQ01000011.1|-augustus-gene-5.111&CDS=1-321, -processed-gene-2.27-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.27&CDS=1-357, -processed-gene-2.28-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.28&CDS=1-357	YDL081C, YDL130W
OG0000038	-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-gi|1002316722|dbj|BCKQ01000014.1|-processed-gene-1.52&CDS=1-1479, -processed-gene-19.40-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-19.40&CDS=1-1497, -processed-gene-19.41-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-19.41&CDS=1-1599, -processed-gene-4.92-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-4.92&CDS=1-1554	YOR306C
OG0000039	-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-gi|1002316723|dbj|BCKQ01000013.1|-processed-gene-2.110&CDS=1-2166, -processed-gene-7.35-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-7.35&CDS=1-2184	YOR389W, YPL277C, YPL278C
OG0000040	-processed-gene-19.76-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-19.76&CDS=1-1053, -processed-gene-25.35-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-25.35&CDS=1-1272, -processed-gene-4.109-mRNA-1_1&gene=augustus_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-4.109&CDS=1-1170, -snap-gene-4.79-mRNA-1_1&gene=maker-gi|1002316728|dbj|BCKQ01000008.1|-snap-gene-4.79&CDS=1-1173	YOR049C
OG0000041	-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-4.102&CDS=1-2952	YBR297W, YFL052W, YGR288W, YPR196W
OG0000042	-processed-gene-2.55-mRNA-1_1&gene=snap_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-2.55&CDS=1-1530, -processed-gene-7.1-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.1&CDS=1-1458	YFR053C, YGL253W, YLR446W
OG0000043	-processed-gene-1.50-mRNA-1_1&gene=snap_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-1.50&CDS=1-540, -processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-1.51&CDS=1-810, -snap-gene-1.114-mRNA-1_1&gene=maker-gi|1002316730|dbj|BCKQ01000006.1|-snap-gene-1.114&CDS=1-735	YBR005W, YDR003W
OG0000044	-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-1.26&CDS=1-1404, -processed-gene-16.16-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-16.16&CDS=1-1956, -processed-gene-3.109-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.109&CDS=1-1395, -processed-gene-3.18-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-3.18&CDS=1-1404	YLR392C
OG0000045	-processed-gene-2.8-mRNA-1_1&gene=snap_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-2.8&CDS=1-726	YDR533C, YMR322C, YOR391C, YPL280W
OG0000046	-processed-gene-24.100-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-24.100&CDS=1-1722, -processed-gene-3.88-mRNA-1_1&gene=snap_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-3.88&CDS=1-1713	YLR237W, YOR071C, YOR192C
OG0000047	-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-1.105&CDS=1-1731, -processed-gene-1.70-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-1.70&CDS=1-2307, -processed-gene-3.2-mRNA-1_1&gene=genemark-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-3.2&CDS=1-2205, -processed-gene-3.71-mRNA-1_1&gene=genemark-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-3.71&CDS=1-1770	YBR015C
OG0000048	-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-6.106&CDS=1-4893	YBL017C, YIL173W, YJL222W, YNR065C
OG0000049	-processed-gene-7.120-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-7.120&CDS=1-1206, -processed-gene-8.108-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-8.108&CDS=1-1497, -processed-gene-8.96-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-8.96&CDS=1-1479, -processed-gene-9.26-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-9.26&CDS=1-1560	YKL221W
OG0000050	-processed-gene-10.14-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-10.14&CDS=1-1512, -processed-gene-5.13-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-5.13&CDS=1-1542	YER056C, YER060W, YER060W-A
OG0000051	-processed-gene-16.36-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-16.36&CDS=1-1101	YLR155C, YLR157C, YLR158C, YLR160C
OG0000052	-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002316682|dbj|BCKQ01000054.1|-processed-gene-0.2&CDS=1-1749, -processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002316687|dbj|BCKQ01000049.1|-processed-gene-0.2&CDS=1-1749, -processed-gene-3.14-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-3.14&CDS=1-1743	YKR039W
OG0000053	-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-gi|1002316689|dbj|BCKQ01000047.1|-processed-gene-0.7&CDS=1-894, -processed-gene-12.98-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-12.98&CDS=1-2769, -processed-gene-7.34-mRNA-1_1&gene=augustus_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-7.34&CDS=1-957	YBL086C
OG0000054	-processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|1002316694|dbj|BCKQ01000042.1|-processed-gene-0.0&CDS=1-363, -processed-gene-1.5-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-1.5&CDS=1-315, -processed-gene-6.116-mRNA-1_1&gene=snap_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-6.116&CDS=1-363	YJR086W
OG0000055	-processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|1002316694|dbj|BCKQ01000042.1|-processed-gene-0.9&CDS=1-282, -processed-gene-1.96-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-1.96&CDS=1-2769, -processed-gene-6.134-mRNA-1_1&gene=snap_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-6.134&CDS=1-282	YJL209W
OG0000056	-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-1.85&CDS=1-1446, -processed-gene-23.103-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-23.103&CDS=1-1797, -snap-gene-0.15-mRNA-1_1&gene=maker-gi|1002316694|dbj|BCKQ01000042.1|-snap-gene-0.15&CDS=1-699	YOR301W
OG0000057	-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-gi|1002316694|dbj|BCKQ01000042.1|-processed-gene-0.31&CDS=1-2937, -processed-gene-2.138-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.138&CDS=1-4329	YGL180W, YHR132C
OG0000058	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002316696|dbj|BCKQ01000040.1|-processed-gene-0.1&CDS=1-1062, -processed-gene-0.13-mRNA-1_1&gene=augustus_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-0.13&CDS=1-834, -processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|1002316696|dbj|BCKQ01000040.1|-processed-gene-0.45&CDS=1-1062	YNR021W
OG0000059	-processed-gene-0.201-mRNA-1_1&gene=augustus_masked-gi|1002316715|dbj|BCKQ01000021.1|-processed-gene-0.201&CDS=1-1575, -processed-gene-0.21-mRNA-1_1&gene=augustus_masked-gi|1002316703|dbj|BCKQ01000033.1|-processed-gene-0.21&CDS=1-396	YHR133C, YNL156C
OG0000060	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|1002316705|dbj|BCKQ01000031.1|-processed-gene-0.14&CDS=1-3168, -processed-gene-0.98-mRNA-1_1&gene=augustus_masked-gi|1002316711|dbj|BCKQ01000025.1|-processed-gene-0.98&CDS=1-3168	YDR069C, YER144C
OG0000061	-processed-gene-0.127-mRNA-1_1&gene=snap_masked-gi|1002316711|dbj|BCKQ01000025.1|-processed-gene-0.127&CDS=1-645, -processed-gene-0.51-mRNA-1_1&gene=snap_masked-gi|1002316705|dbj|BCKQ01000031.1|-processed-gene-0.51&CDS=1-645	YLR293C, YOR185C
OG0000062	-processed-gene-0.128-mRNA-1_1&gene=snap_masked-gi|1002316711|dbj|BCKQ01000025.1|-processed-gene-0.128&CDS=1-441, -processed-gene-0.52-mRNA-1_1&gene=snap_masked-gi|1002316705|dbj|BCKQ01000031.1|-processed-gene-0.52&CDS=1-441	YBR082C, YDR059C
OG0000063	-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-gi|1002316709|dbj|BCKQ01000027.1|-processed-gene-0.17&CDS=1-756, -processed-gene-0.51-mRNA-1_1&gene=augustus_masked-gi|1002316707|dbj|BCKQ01000029.1|-processed-gene-0.51&CDS=1-2859	YJL076W, YKR010C
OG0000064	-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-gi|1002316708|dbj|BCKQ01000028.1|-processed-gene-0.90&CDS=1-1290	YLL062C, YMR321C, YPL273W
OG0000065	-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-gi|1002316710|dbj|BCKQ01000026.1|-processed-gene-0.95&CDS=1-945, -processed-gene-2.14-mRNA-1_1&gene=augustus_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-2.14&CDS=1-6210	YIL151C, YKR096W
OG0000066	-processed-gene-0.99-mRNA-1_1&gene=snap_masked-gi|1002316711|dbj|BCKQ01000025.1|-processed-gene-0.99&CDS=1-768, -processed-gene-11.111-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-11.111&CDS=1-768	YLR441C, YML063W
OG0000067	-processed-gene-0.113-mRNA-1_1&gene=snap_masked-gi|1002316711|dbj|BCKQ01000025.1|-processed-gene-0.113&CDS=1-207, -processed-gene-0.114-mRNA-1_1&gene=snap_masked-gi|1002316711|dbj|BCKQ01000025.1|-processed-gene-0.114&CDS=1-243, -processed-gene-26.149-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-26.149&CDS=1-1695	YCR054C
OG0000068	-augustus-gene-0.82-mRNA-1_1&gene=maker-gi|1002316715|dbj|BCKQ01000021.1|-augustus-gene-0.82&CDS=1-2421, -processed-gene-0.10-mRNA-1_1&gene=snap_masked-gi|1002316715|dbj|BCKQ01000021.1|-processed-gene-0.10&CDS=1-1515	YMR169C, YMR170C
OG0000069	-processed-gene-0.44-mRNA-1_1&gene=snap_masked-gi|1002316716|dbj|BCKQ01000020.1|-processed-gene-0.44&CDS=1-1149, -processed-gene-1.5-mRNA-1_1&gene=snap_masked-gi|1002316716|dbj|BCKQ01000020.1|-processed-gene-1.5&CDS=1-1032, -processed-gene-12.56-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.56&CDS=1-1218	YKL128C
OG0000070	-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-gi|1002316716|dbj|BCKQ01000020.1|-processed-gene-1.166&CDS=1-906, -processed-gene-8.86-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-8.86&CDS=1-882	YLR146C, YPR069C
OG0000071	-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.8&CDS=1-4725, -processed-gene-10.138-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-10.138&CDS=1-2868, -processed-gene-2.139-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.139&CDS=1-3048	YDR150W
OG0000072	-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.49&CDS=1-1770	YOL055C, YPL258C, YPR121W
OG0000073	-processed-gene-2.24-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.24&CDS=1-3216, -processed-gene-5.48-mRNA-1_1&gene=snap_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-5.48&CDS=1-8376	YBR140C, YOL081W
OG0000074	-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.48&CDS=1-2055, -processed-gene-4.17-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-4.17&CDS=1-1380	YMR199W, YPL256C
OG0000075	-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-2.110&CDS=1-1188, -processed-gene-2.58-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.58&CDS=1-1185	YJL138C, YKR059W
OG0000076	-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-1.93&CDS=1-1083, -processed-gene-2.113-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.113&CDS=1-1035, -processed-gene-22.50-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-22.50&CDS=1-1083	YDL144C
OG0000077	-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-0.3&CDS=1-300, -processed-gene-2.38-mRNA-1_1&gene=augustus_masked-gi|1002316721|dbj|BCKQ01000015.1|-processed-gene-2.38&CDS=1-717, -snap-gene-0.95-mRNA-1_1&gene=maker-gi|1002316724|dbj|BCKQ01000012.1|-snap-gene-0.95&CDS=1-5148	YOR349W
OG0000078	-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-2.111&CDS=1-2220, -processed-gene-2.138-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.138&CDS=1-2994	YDL037C, YIR019C
OG0000079	-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-gi|1002316721|dbj|BCKQ01000015.1|-processed-gene-2.19&CDS=1-369, -processed-gene-2.20-mRNA-1_1&gene=augustus_masked-gi|1002316721|dbj|BCKQ01000015.1|-processed-gene-2.20&CDS=1-345, -processed-gene-8.64-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-8.64&CDS=1-3558	YHR182W
OG0000080	-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-gi|1002316723|dbj|BCKQ01000013.1|-processed-gene-2.95&CDS=1-5856, -processed-gene-4.17-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-4.17&CDS=1-5475	YCL068C, YCR038C
OG0000081	-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-2.21&CDS=1-471, -processed-gene-5.87-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-5.87&CDS=1-480	YER067W, YIL057C
OG0000082	-processed-gene-0.74-mRNA-1_1&gene=snap_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-0.74&CDS=1-945, -processed-gene-4.26-mRNA-1_1&gene=augustus_masked-gi|1002316727|dbj|BCKQ01000009.1|-processed-gene-4.26&CDS=1-945, -processed-gene-5.170-mRNA-1_1&gene=snap_masked-gi|1002316727|dbj|BCKQ01000009.1|-processed-gene-5.170&CDS=1-945	YCL009C
OG0000083	-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-1.90&CDS=1-3246	YDR038C, YDR039C, YDR040C
OG0000084	-processed-gene-1.17-mRNA-1_1&gene=snap_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-1.17&CDS=1-1671, -processed-gene-13.40-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.40&CDS=1-1695, -processed-gene-14.67-mRNA-1_1&gene=snap_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-14.67&CDS=1-1662	YDL210W
OG0000085	-processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-0.20&CDS=1-1236, -processed-gene-1.19-mRNA-1_1&gene=snap_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-1.19&CDS=1-1149	YGR279C, YMR305C
OG0000086	-processed-gene-3.94-mRNA-1_1&gene=snap_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-3.94&CDS=1-789, -processed-gene-5.73-mRNA-1_1&gene=snap_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-5.73&CDS=1-939	YLL023C, YLR064W
OG0000087	-processed-gene-3.105-mRNA-1_1&gene=snap_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-3.105&CDS=1-399, -processed-gene-6.12-mRNA-1_1&gene=snap_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-6.12&CDS=1-399	YBL003C, YDR225W
OG0000088	-processed-gene-4.2-mRNA-1_1&gene=snap_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-4.2&CDS=1-849, -processed-gene-5.121-mRNA-1_1&gene=genemark-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-5.121&CDS=1-864	YMR183C, YPL232W
OG0000089	-processed-gene-15.66-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-15.66&CDS=1-1782, -processed-gene-4.4-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-4.4&CDS=1-1683, -processed-gene-5.30-mRNA-1_1&gene=augustus_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-5.30&CDS=1-1770	YDR402C
OG0000090	-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-0.3&CDS=1-873, -processed-gene-19.14-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-19.14&CDS=1-3540	YKL121W, YMR102C
OG0000091	-processed-gene-0.37-mRNA-1_1&gene=genemark-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-0.37&CDS=1-1503, -processed-gene-0.65-mRNA-1_1&gene=snap_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-0.65&CDS=1-1260, -processed-gene-3.101-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-3.101&CDS=1-4668	YPL242C
OG0000092	-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-1.33&CDS=1-1398, -processed-gene-14.55-mRNA-1_1&gene=snap_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-14.55&CDS=1-1371, -processed-gene-23.19-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-23.19&CDS=1-1365	YMR238W
OG0000093	-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-gi|1002316727|dbj|BCKQ01000009.1|-processed-gene-2.50&CDS=1-1539, -processed-gene-26.117-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-26.117&CDS=1-1602	YGR197C, YJR015W
OG0000094	-processed-gene-16.108-mRNA-1_1&gene=genemark-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-16.108&CDS=1-507, -processed-gene-4.87-mRNA-1_1&gene=snap_masked-gi|1002316727|dbj|BCKQ01000009.1|-processed-gene-4.87&CDS=1-555	YDR178W, YLR164W
OG0000095	-processed-gene-1.101-mRNA-1_1&gene=snap_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-1.101&CDS=1-837, -processed-gene-19.47-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-19.47&CDS=1-1149, -processed-gene-8.27-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-8.27&CDS=1-876	YGR189C
OG0000096	-processed-gene-3.10-mRNA-1_1&gene=snap_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-3.10&CDS=1-2037, -snap-gene-4.80-mRNA-1_1&gene=maker-gi|1002316735|dbj|BCKQ01000001.1|-snap-gene-4.80&CDS=1-2895	YJL110C, YKR034W
OG0000097	-processed-gene-1.39-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-1.39&CDS=1-1062, -processed-gene-14.18-mRNA-1_1&gene=genemark-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-14.18&CDS=1-1071, -processed-gene-6.9-mRNA-1_1&gene=augustus_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-6.9&CDS=1-1065	YPL088W
OG0000098	-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-1.91&CDS=1-390, -processed-gene-2.119-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-2.119&CDS=1-669, -processed-gene-9.63-mRNA-1_1&gene=genemark-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-9.63&CDS=1-10509	YLL021W
OG0000099	-processed-gene-15.23-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-15.23&CDS=1-3114, -processed-gene-4.13-mRNA-1_1&gene=augustus_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-4.13&CDS=1-3363	YNL298W, YOL113W
OG0000100	-processed-gene-18.28-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-18.28&CDS=1-1080, -processed-gene-4.20-mRNA-1_1&gene=augustus_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-4.20&CDS=1-1128	YGR015C, YGR031W
OG0000101	-processed-gene-11.1-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-11.1&CDS=1-1431, -processed-gene-6.60-mRNA-1_1&gene=snap_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-6.60&CDS=1-1230, -processed-gene-7.98-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.98&CDS=1-1290	YMR152W
OG0000102	-processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-0.58&CDS=1-948, -processed-gene-9.80-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-9.80&CDS=1-717, -snap-gene-5.70-mRNA-1_1&gene=maker-gi|1002316732|dbj|BCKQ01000004.1|-snap-gene-5.70&CDS=1-1590	YGR058W
OG0000103	-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-2.123&CDS=1-1995, -processed-gene-3.62-mRNA-1_1&gene=snap_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-3.62&CDS=1-741	YDR501W, YLR183C
OG0000104	-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-6.64&CDS=1-702, -processed-gene-8.115-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-8.115&CDS=1-618	YLR456W, YPR172W
OG0000105	-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-3.7&CDS=1-1641, -processed-gene-8.118-mRNA-1_1&gene=snap_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-8.118&CDS=1-1632	YIR031C, YNL117W
OG0000106	-processed-gene-1.0-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-1.0&CDS=1-2160, -processed-gene-3.70-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.70&CDS=1-1257	YNL283C, YOL105C
