	Geotrichum_candidum	Saccharomyces_cerevisiae
OG0000051	genemark-CCBN010000001.1-processed-gene-4.74-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-4.74&CDS=1-1767, snap_masked-CCBN010000008.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-CCBN010000008.1-processed-gene-1.12&CDS=1-1953	YDL003W, YPR007C
OG0000052	genemark-CCBN010000001.1-processed-gene-5.69-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-5.69&CDS=1-525, genemark-CCBN010000028.1-processed-gene-5.92-mRNA-1_1&gene=genemark-CCBN010000028.1-processed-gene-5.92&CDS=1-507	YOR226C, YPL135W
OG0000053	augustus_masked-CCBN010000001.1-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-6.7&CDS=1-2979, genemark-CCBN010000017.1-processed-gene-1.88-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.88&CDS=1-2865	YDR379W, YOR127W
OG0000054	genemark-CCBN010000001.1-processed-gene-6.40-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-6.40&CDS=1-1785, genemark-CCBN010000017.1-processed-gene-1.91-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.91&CDS=1-1800	YHR117W, YNL121C
OG0000055	genemark-CCBN010000001.1-processed-gene-7.7-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.7&CDS=1-1506, genemark-CCBN010000017.1-processed-gene-1.114-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.114&CDS=1-1383	YDR200C, YLR238W
OG0000056	genemark-CCBN010000001.1-processed-gene-7.25-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.25&CDS=1-876, genemark-CCBN010000017.1-processed-gene-2.23-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-2.23&CDS=1-846	YBR183W, YPL087W
OG0000057	genemark-CCBN010000001.1-processed-gene-7.26-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.26&CDS=1-1038, genemark-CCBN010000008.1-processed-gene-1.51-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-1.51&CDS=1-1470, genemark-CCBN010000017.1-processed-gene-2.38-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-2.38&CDS=1-1272	YAL040C
OG0000058	genemark-CCBN010000001.1-processed-gene-8.15-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-8.15&CDS=1-1149, genemark-CCBN010000006.1-processed-gene-9.8-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-9.8&CDS=1-2133	YJL134W, YKR053C
OG0000059	augustus_masked-CCBN010000001.1-processed-gene-9.17-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-9.17&CDS=1-246, augustus_masked-CCBN010000015.1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-CCBN010000015.1-processed-gene-3.76&CDS=1-246	YHR021C, YKL156W
OG0000060	genemark-CCBN010000001.1-processed-gene-10.83-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.83&CDS=1-558, genemark-CCBN010000008.1-processed-gene-1.66-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-1.66&CDS=1-558	YNL301C, YOL120C
OG0000061	genemark-CCBN010000001.1-processed-gene-10.78-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.78&CDS=1-1242, genemark-CCBN010000006.1-processed-gene-5.57-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-5.57&CDS=1-1230	YCR094W, YNR048W
OG0000062	genemark-CCBN010000001.1-processed-gene-11.27-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-11.27&CDS=1-777, genemark-CCBN010000020.1-processed-gene-2.121-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-2.121&CDS=1-777	YHR203C, YJR145C
OG0000063	genemark-CCBN010000001.1-processed-gene-12.45-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.45&CDS=1-3846, snap_masked-CCBN010000012.1-processed-gene-2.72-mRNA-1_1&gene=snap_masked-CCBN010000012.1-processed-gene-2.72&CDS=1-4326	YCR073C, YNR031C
OG0000064	genemark-CCBN010000001.1-processed-gene-13.44-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.44&CDS=1-4287, genemark-CCBN010000005.1-processed-gene-12.10-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-12.10&CDS=1-2793	YJR119C, YMR176W
OG0000065	snap_masked-CCBN010000001.1-processed-gene-15.8-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-15.8&CDS=1-1944, snap_masked-CCBN010000006.1-processed-gene-2.20-mRNA-1_1&gene=snap_masked-CCBN010000006.1-processed-gene-2.20&CDS=1-1560	YBR033W, YKL038W
OG0000066	genemark-CCBN010000001.1-processed-gene-15.61-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.61&CDS=1-1479, genemark-CCBN010000001.1-processed-gene-18.87-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.87&CDS=1-1452, genemark-CCBN010000002.1-processed-gene-13.45-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-13.45&CDS=1-1464	YOL119C
OG0000067	genemark-CCBN010000001.1-processed-gene-16.35-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-16.35&CDS=1-396, genemark-CCBN010000005.1-processed-gene-15.98-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-15.98&CDS=1-396	YER074W, YIL069C
OG0000068	snap_masked-CCBN010000001.1-processed-gene-19.6-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-19.6&CDS=1-1236	YLL062C, YMR321C, YPL273W
OG0000069	genemark-CCBN010000001.1-processed-gene-19.61-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.61&CDS=1-603, genemark-CCBN010000002.1-processed-gene-12.70-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-12.70&CDS=1-603, genemark-CCBN010000003.1-processed-gene-5.43-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-5.43&CDS=1-603	YDR032C
OG0000070	genemark-CCBN010000001.1-processed-gene-20.22-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-20.22&CDS=1-1086, genemark-CCBN010000004.1-processed-gene-1.90-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-1.90&CDS=1-1068	YJL133W, YKR052C
OG0000071	genemark-CCBN010000001.1-processed-gene-23.35-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.35&CDS=1-459, genemark-CCBN010000010.1-processed-gene-6.44-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-6.44&CDS=1-459	YGL031C, YGR148C
OG0000072	augustus_masked-CCBN010000003.1-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-CCBN010000003.1-processed-gene-2.48&CDS=1-2487, snap_masked-CCBN010000001.1-processed-gene-23.63-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-23.63&CDS=1-246, snap_masked-CCBN010000028.1-processed-gene-5.2-mRNA-1_1&gene=snap_masked-CCBN010000028.1-processed-gene-5.2&CDS=1-2115	YKL054C
OG0000073	genemark-CCBN010000001.1-processed-gene-24.31-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-24.31&CDS=1-2646, genemark-CCBN010000003.1-processed-gene-1.85-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.85&CDS=1-2661	YHR047C, YKL157W
OG0000074	genemark-CCBN010000002.1-processed-gene-1.46-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-1.46&CDS=1-2382, genemark-CCBN010000003.1-processed-gene-14.13-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-14.13&CDS=1-2106	YKL188C, YPL147W
OG0000075	genemark-CCBN010000002.1-processed-gene-2.42-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-2.42&CDS=1-1548, genemark-CCBN010000012.1-processed-gene-5.84-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-5.84&CDS=1-4305	YNL082W, YNL083W
OG0000076	genemark-CCBN010000002.1-processed-gene-4.36-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-4.36&CDS=1-2733, genemark-CCBN010000021.1-processed-gene-1.107-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-1.107&CDS=1-2694	YIL109C, YNL049C
OG0000077	maker-CCBN010000002.1-augustus-gene-5.0-mRNA-1_1&gene=maker-CCBN010000002.1-augustus-gene-5.0&CDS=1-3471, snap_masked-CCBN010000015.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-CCBN010000015.1-processed-gene-0.9&CDS=1-2814	YJR127C, YML081W
OG0000078	maker-CCBN010000002.1-snap-gene-6.4-mRNA-1_1&gene=maker-CCBN010000002.1-snap-gene-6.4&CDS=1-1044, maker-CCBN010000015.1-snap-gene-0.44-mRNA-1_1&gene=maker-CCBN010000015.1-snap-gene-0.44&CDS=1-1044	YBR189W, YPL081W
OG0000079	genemark-CCBN010000002.1-processed-gene-8.21-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-8.21&CDS=1-2334, genemark-CCBN010000013.1-processed-gene-7.64-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-7.64&CDS=1-2175, genemark-CCBN010000021.1-processed-gene-1.85-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-1.85&CDS=1-2184	YIR007W
OG0000080	genemark-CCBN010000002.1-processed-gene-8.24-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-8.24&CDS=1-2334, genemark-CCBN010000008.1-processed-gene-8.39-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-8.39&CDS=1-2223	YER066W, YFL009W
OG0000081	genemark-CCBN010000002.1-processed-gene-8.14-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-8.14&CDS=1-495, snap_masked-CCBN010000008.1-processed-gene-8.78-mRNA-1_1&gene=snap_masked-CCBN010000008.1-processed-gene-8.78&CDS=1-489	YDR418W, YEL054C
OG0000082	genemark-CCBN010000002.1-processed-gene-9.40-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-9.40&CDS=1-3504, genemark-CCBN010000017.1-processed-gene-4.38-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-4.38&CDS=1-3480	YAR042W, YDL019C
OG0000083	genemark-CCBN010000002.1-processed-gene-9.41-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-9.41&CDS=1-1440, genemark-CCBN010000017.1-processed-gene-4.39-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-4.39&CDS=1-1458	YGR121C, YPR138C
OG0000084	genemark-CCBN010000002.1-processed-gene-9.56-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-9.56&CDS=1-957, genemark-CCBN010000008.1-processed-gene-6.39-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-6.39&CDS=1-945	YGR086C, YPL004C
OG0000085	snap_masked-CCBN010000002.1-processed-gene-11.73-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-11.73&CDS=1-1329	YMR316W, YNL165W, YOR385W
OG0000086	genemark-CCBN010000002.1-processed-gene-12.60-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-12.60&CDS=1-495, genemark-CCBN010000019.1-processed-gene-3.77-mRNA-1_1&gene=genemark-CCBN010000019.1-processed-gene-3.77&CDS=1-534	YDR178W, YLR164W
OG0000087	augustus_masked-CCBN010000009.1-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-CCBN010000009.1-processed-gene-2.49&CDS=1-3054, genemark-CCBN010000002.1-processed-gene-12.56-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-12.56&CDS=1-3444	YKL068W, YMR047C
OG0000088	genemark-CCBN010000002.1-processed-gene-13.31-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-13.31&CDS=1-1713, genemark-CCBN010000012.1-processed-gene-7.73-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-7.73&CDS=1-1692	YDL085W, YMR145C
OG0000089	genemark-CCBN010000002.1-processed-gene-14.74-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-14.74&CDS=1-327, genemark-CCBN010000015.1-processed-gene-3.11-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-3.11&CDS=1-324	YEL039C, YJR048W
OG0000090	genemark-CCBN010000002.1-processed-gene-15.94-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-15.94&CDS=1-1488, genemark-CCBN010000015.1-processed-gene-1.32-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-1.32&CDS=1-1488	YMR169C, YMR170C
OG0000091	augustus_masked-CCBN010000002.1-processed-gene-15.45-mRNA-1_1&gene=augustus_masked-CCBN010000002.1-processed-gene-15.45&CDS=1-2484, genemark-CCBN010000012.1-processed-gene-3.49-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-3.49&CDS=1-2526	YKL121W, YMR102C
OG0000092	augustus_masked-CCBN010000002.1-processed-gene-15.46-mRNA-1_1&gene=augustus_masked-CCBN010000002.1-processed-gene-15.46&CDS=1-1047, augustus_masked-CCBN010000012.1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-CCBN010000012.1-processed-gene-3.76&CDS=1-1059	YGR283C, YMR310C
OG0000093	genemark-CCBN010000002.1-processed-gene-15.100-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-15.100&CDS=1-606, genemark-CCBN010000004.1-processed-gene-6.28-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-6.28&CDS=1-606	YBL072C, YER102W
OG0000094	genemark-CCBN010000002.1-processed-gene-15.101-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-15.101&CDS=1-2220, genemark-CCBN010000006.1-processed-gene-9.22-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-9.22&CDS=1-2463	YFR022W, YOR018W
OG0000095	genemark-CCBN010000002.1-processed-gene-17.84-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-17.84&CDS=1-2190, genemark-CCBN010000005.1-processed-gene-7.80-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-7.80&CDS=1-2592	YJR005W, YKL135C
OG0000096	genemark-CCBN010000002.1-processed-gene-18.28-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-18.28&CDS=1-168, genemark-CCBN010000012.1-processed-gene-6.33-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-6.33&CDS=1-168	YDL061C, YLR388W
OG0000097	genemark-CCBN010000002.1-processed-gene-18.17-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-18.17&CDS=1-4404, snap_masked-CCBN010000016.1-processed-gene-2.65-mRNA-1_1&gene=snap_masked-CCBN010000016.1-processed-gene-2.65&CDS=1-4284	YNL087W, YOR086C
OG0000098	genemark-CCBN010000002.1-processed-gene-19.6-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-19.6&CDS=1-1656, genemark-CCBN010000019.1-processed-gene-3.97-mRNA-1_1&gene=genemark-CCBN010000019.1-processed-gene-3.97&CDS=1-1746	YLR260W, YOR171C
OG0000099	genemark-CCBN010000002.1-processed-gene-19.7-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-19.7&CDS=1-612, genemark-CCBN010000019.1-processed-gene-3.84-mRNA-1_1&gene=genemark-CCBN010000019.1-processed-gene-3.84&CDS=1-612	YDL082W, YMR142C
OG0000100	augustus_masked-CCBN010000002.1-processed-gene-19.35-mRNA-1_1&gene=augustus_masked-CCBN010000002.1-processed-gene-19.35&CDS=1-8664, snap_masked-CCBN010000011.1-processed-gene-5.88-mRNA-1_1&gene=snap_masked-CCBN010000011.1-processed-gene-5.88&CDS=1-8412	YLR454W, YPR117W
OG0000101	genemark-CCBN010000002.1-processed-gene-20.16-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-20.16&CDS=1-993, snap_masked-CCBN010000021.1-processed-gene-2.30-mRNA-1_1&gene=snap_masked-CCBN010000021.1-processed-gene-2.30&CDS=1-678	YPR013C, YPR015C
OG0000102	genemark-CCBN010000002.1-processed-gene-20.10-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-20.10&CDS=1-2070, genemark-CCBN010000021.1-processed-gene-2.79-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-2.79&CDS=1-2064	YIL009W, YMR246W
OG0000103	genemark-CCBN010000003.1-processed-gene-0.10-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-0.10&CDS=1-2274, snap_masked-CCBN010000015.1-processed-gene-6.125-mRNA-1_1&gene=snap_masked-CCBN010000015.1-processed-gene-6.125&CDS=1-2226	YGR143W, YPR159W
OG0000104	genemark-CCBN010000003.1-processed-gene-1.71-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.71&CDS=1-612, genemark-CCBN010000015.1-processed-gene-6.1-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.1&CDS=1-657	YAL007C, YOR016C
OG0000105	genemark-CCBN010000003.1-processed-gene-1.72-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.72&CDS=1-732, genemark-CCBN010000015.1-processed-gene-5.120-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-5.120&CDS=1-801	YDL049C, YJL174W
OG0000106	genemark-CCBN010000003.1-processed-gene-2.96-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-2.96&CDS=1-1743, genemark-CCBN010000010.1-processed-gene-2.43-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-2.43&CDS=1-1734, genemark-CCBN010000019.1-processed-gene-2.48-mRNA-1_1&gene=genemark-CCBN010000019.1-processed-gene-2.48&CDS=1-1725	YKR039W
OG0000107	genemark-CCBN010000003.1-processed-gene-3.23-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-3.23&CDS=1-2922, genemark-CCBN010000004.1-processed-gene-11.59-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-11.59&CDS=1-2232, genemark-CCBN010000011.1-processed-gene-3.16-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-3.16&CDS=1-2154	YLR144C
OG0000108	genemark-CCBN010000003.1-processed-gene-3.8-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-3.8&CDS=1-1836, genemark-CCBN010000010.1-processed-gene-8.109-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-8.109&CDS=1-2007	YDR501W, YLR183C
OG0000109	genemark-CCBN010000010.1-processed-gene-8.105-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-8.105&CDS=1-1893, maker-CCBN010000003.1-snap-gene-3.40-mRNA-1_1&gene=maker-CCBN010000003.1-snap-gene-3.40&CDS=1-1236	YDR247W, YPL026C
OG0000110	genemark-CCBN010000003.1-processed-gene-3.30-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-3.30&CDS=1-1560	YDR144C, YLR120C, YLR121C
OG0000111	genemark-CCBN010000003.1-processed-gene-4.26-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-4.26&CDS=1-1182, snap_masked-CCBN010000011.1-processed-gene-4.39-mRNA-1_1&gene=snap_masked-CCBN010000011.1-processed-gene-4.39&CDS=1-1119	YIR013C, YLR013W
OG0000112	genemark-CCBN010000003.1-processed-gene-5.51-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-5.51&CDS=1-1389, genemark-CCBN010000009.1-processed-gene-6.50-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-6.50&CDS=1-1410	YBR214W, YGL056C
OG0000113	augustus_masked-CCBN010000003.1-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-CCBN010000003.1-processed-gene-5.24&CDS=1-1926, snap_masked-CCBN010000009.1-processed-gene-6.71-mRNA-1_1&gene=snap_masked-CCBN010000009.1-processed-gene-6.71&CDS=1-2574	YBR216C, YGL060W
OG0000114	genemark-CCBN010000003.1-processed-gene-8.84-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-8.84&CDS=1-648, genemark-CCBN010000011.1-processed-gene-8.123-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-8.123&CDS=1-648	YGL135W, YPL220W
OG0000115	augustus_masked-CCBN010000003.1-processed-gene-9.55-mRNA-1_1&gene=augustus_masked-CCBN010000003.1-processed-gene-9.55&CDS=1-2511, genemark-CCBN010000020.1-processed-gene-1.77-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-1.77&CDS=1-2496	YOR256C, YPL176C
OG0000116	genemark-CCBN010000003.1-processed-gene-11.44-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-11.44&CDS=1-1824, genemark-CCBN010000027.1-processed-gene-1.23-mRNA-1_1&gene=genemark-CCBN010000027.1-processed-gene-1.23&CDS=1-1611	YIL038C, YPR072W
OG0000117	augustus_masked-CCBN010000009.1-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-CCBN010000009.1-processed-gene-5.36&CDS=1-1947, augustus_masked-CCBN010000016.1-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-CCBN010000016.1-processed-gene-3.72&CDS=1-1701, snap_masked-CCBN010000003.1-processed-gene-13.56-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-13.56&CDS=1-2019	YNL294C
OG0000118	genemark-CCBN010000003.1-processed-gene-14.10-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-14.10&CDS=1-2103, genemark-CCBN010000014.1-processed-gene-6.135-mRNA-1_1&gene=genemark-CCBN010000014.1-processed-gene-6.135&CDS=1-2157	YGR241C, YHR161C
OG0000119	genemark-CCBN010000003.1-processed-gene-14.19-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-14.19&CDS=1-1863, genemark-CCBN010000008.1-processed-gene-6.38-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-6.38&CDS=1-1881	YDR107C, YLR083C
OG0000120	snap_masked-CCBN010000003.1-processed-gene-15.87-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-15.87&CDS=1-3006, snap_masked-CCBN010000011.1-processed-gene-7.23-mRNA-1_1&gene=snap_masked-CCBN010000011.1-processed-gene-7.23&CDS=1-3222	YDR103W, YJL157C
OG0000121	genemark-CCBN010000003.1-processed-gene-16.114-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-16.114&CDS=1-2439, snap_masked-CCBN010000011.1-processed-gene-8.1-mRNA-1_1&gene=snap_masked-CCBN010000011.1-processed-gene-8.1&CDS=1-2748	YBL085W, YER114C
OG0000122	genemark-CCBN010000003.1-processed-gene-16.101-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-16.101&CDS=1-1098, genemark-CCBN010000007.1-processed-gene-11.57-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-11.57&CDS=1-1509	YLR307W, YLR308W
OG0000123	genemark-CCBN010000007.1-processed-gene-11.78-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-11.78&CDS=1-4749, maker-CCBN010000003.1-snap-gene-16.177-mRNA-1_1&gene=maker-CCBN010000003.1-snap-gene-16.177&CDS=1-3612	YLL016W, YLR310C
OG0000124	genemark-CCBN010000003.1-processed-gene-16.103-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-16.103&CDS=1-2892, genemark-CCBN010000007.1-processed-gene-11.84-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-11.84&CDS=1-2682	YLR098C, YOR337W
OG0000125	genemark-CCBN010000004.1-processed-gene-2.37-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-2.37&CDS=1-375, genemark-CCBN010000027.1-processed-gene-1.5-mRNA-1_1&gene=genemark-CCBN010000027.1-processed-gene-1.5&CDS=1-1419	YER009W, YNR051C
OG0000126	genemark-CCBN010000004.1-processed-gene-2.41-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-2.41&CDS=1-789, genemark-CCBN010000005.1-processed-gene-12.13-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-12.13&CDS=1-804	YGR214W, YLR048W
OG0000127	genemark-CCBN010000004.1-processed-gene-15.81-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-15.81&CDS=1-2220, genemark-CCBN010000004.1-processed-gene-4.45-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-4.45&CDS=1-2151	YJL082W, YKR018C
OG0000128	augustus_masked-CCBN010000004.1-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-CCBN010000004.1-processed-gene-5.4&CDS=1-3060, augustus_masked-CCBN010000015.1-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-CCBN010000015.1-processed-gene-2.75&CDS=1-3465	YML109W, YMR273C
OG0000129	augustus_masked-CCBN010000004.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-CCBN010000004.1-processed-gene-5.32&CDS=1-5721, snap_masked-CCBN010000007.1-processed-gene-6.12-mRNA-1_1&gene=snap_masked-CCBN010000007.1-processed-gene-6.12&CDS=1-5994	YIL149C, YKR095W
OG0000130	genemark-CCBN010000004.1-processed-gene-7.51-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-7.51&CDS=1-1434, genemark-CCBN010000028.1-processed-gene-2.62-mRNA-1_1&gene=genemark-CCBN010000028.1-processed-gene-2.62&CDS=1-1680	YDR463W, YHR006W
OG0000131	genemark-CCBN010000004.1-processed-gene-7.54-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-7.54&CDS=1-633, genemark-CCBN010000006.1-processed-gene-11.79-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-11.79&CDS=1-633	YER031C, YGL210W
