	Saccharomyces_cerevisiae	yHMPu5000034862_Zygotorulaspora_florentina
OG0000037	YBL003C, YDR225W	augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.17&CDS=1-393, augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-1.39&CDS=1-393
OG0000038	YBL052C, YOR244W	maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-11.57-mRNA-1_1&gene=maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-11.57&CDS=1-2592, snap_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-0.70&CDS=1-2478
OG0000039	YBL063W, YEL061C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-0.95&CDS=1-2901, augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.65&CDS=1-3393
OG0000040	YBR009C, YNL030W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.221-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.221&CDS=1-309, augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.12&CDS=1-309
OG0000041	YBR015C, YJL186W	augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.8&CDS=1-1800, augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.220-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.220&CDS=1-1773
OG0000042	YBR025C, YHL014C	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.190-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.190&CDS=1-1221, augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.43&CDS=1-1179
OG0000043	YBR059C, YNL020C	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.227-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.227&CDS=1-2049, snap_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-5.144-mRNA-1_1&gene=snap_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-5.144&CDS=1-3303
OG0000044	YBR139W, YMR297W	augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-2.142&CDS=1-1479, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.68&CDS=1-1602
OG0000045	YBR244W, YIR037W	augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-1.15&CDS=1-510, augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.218-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.218&CDS=1-486
OG0000046	YBR245C, YOR304W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.248-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.248&CDS=1-3171, augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.262-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.262&CDS=1-3132
OG0000047	YBR259W, YJL047C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.15-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.15&CDS=1-1860, augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.16-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.16&CDS=1-2361
OG0000048	YBR263W, YLR058C	augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-0.8&CDS=1-1407, augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.17-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.17&CDS=1-1518
OG0000049	YCL064C, YIL167W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.71&CDS=1-1020, augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.12&CDS=1-1011
OG0000050	YCR037C, YNR013C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-13.33-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-13.33&CDS=1-2553, augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.52-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.52&CDS=1-2664
OG0000051	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-0.21&CDS=1-1110
OG0000052	YDL131W, YDL182W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.105-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.105&CDS=1-1179, genemark-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-2.75-mRNA-1_1&gene=genemark-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-2.75&CDS=1-1515
OG0000053	YDL144C	augustus_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.5&CDS=1-1020, augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-0.62&CDS=1-1017, augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-0.68&CDS=1-1008
OG0000054	YDL178W, YEL071W	maker-NODE_7_length_539399_cov_24.5113_ID_13-augustus-gene-2.114-mRNA-1_1&gene=maker-NODE_7_length_539399_cov_24.5113_ID_13-augustus-gene-2.114&CDS=1-2523, snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.109-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.109&CDS=1-1488
OG0000055	YDL210W	augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-2.43&CDS=1-1710, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.16&CDS=1-1713, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.30&CDS=1-1704
OG0000056	YDL245C, YEL069C, YJR158W, YNR072W	
OG0000057	YDR038C, YDR039C, YDR040C	augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-5.45&CDS=1-3306
OG0000058	YDR135C, YLL015W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-5.118&CDS=1-4533, augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.22&CDS=1-4596
OG0000059	YDR155C, YDR304C, YHR057C	maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-6.0-mRNA-1_1&gene=maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-6.0&CDS=1-1458
OG0000060	YDR368W, YOR120W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-8.121&CDS=1-1347, augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-0.70&CDS=1-900
OG0000061	YDR420W, YGR014W	augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-2.149&CDS=1-5115, snap_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-3.81-mRNA-1_1&gene=snap_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-3.81&CDS=1-3210
OG0000062	YDR492W, YOL002C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-1.4&CDS=1-981, augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.124&CDS=1-948
OG0000063	YEL063C, YNL268W	augustus_masked-NODE_19_length_146505_cov_24.2614_ID_37-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NODE_19_length_146505_cov_24.2614_ID_37-processed-gene-0.146&CDS=1-1728, augustus_masked-NODE_19_length_146505_cov_24.2614_ID_37-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-NODE_19_length_146505_cov_24.2614_ID_37-processed-gene-0.169&CDS=1-1821
OG0000064	YER011W, YOR009W, YOR010C	augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-0.115&CDS=1-693
OG0000065	YER017C, YMR089C	augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-0.28&CDS=1-2496, genemark-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.167-mRNA-1_1&gene=genemark-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.167&CDS=1-2298
OG0000066	YER056C, YER060W, YER060W-A	augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-3.121&CDS=1-1611
OG0000067	YER070W, YIL066C	augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-2.115&CDS=1-5793, augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-3.132&CDS=1-2643
OG0000068	YER123W, YHR135C	augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.213&CDS=1-1500, augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-0.10&CDS=1-1737
OG0000069	YER172C, YGR271W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-4.20&CDS=1-6495, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.69&CDS=1-5871
OG0000070	YFL009W, YMR166C	augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-2.56&CDS=1-2271, augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-0.34&CDS=1-2337
OG0000071	YFL041W, YMR058W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-2.3&CDS=1-1962, augustus_masked-NODE_28_length_58683_cov_22.5322_ID_55-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_28_length_58683_cov_22.5322_ID_55-processed-gene-0.36&CDS=1-1857
OG0000072	YGL035C, YGL209W	augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.175-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-4.175&CDS=1-1344, snap_masked-NODE_15_length_189142_cov_24.5376_ID_29-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_15_length_189142_cov_24.5376_ID_29-processed-gene-0.122&CDS=1-1068
OG0000073	YGL120C, YKR086W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.26&CDS=1-2313, augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-1.127&CDS=1-3408
OG0000074	YGR059W, YHR107C	augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-2.13&CDS=1-1479, augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-8.111-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-8.111&CDS=1-1191
OG0000075	YGR086C, YPL004C	augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.49-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.49&CDS=1-984, augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-0.4&CDS=1-957
OG0000076	YGR192C, YJL052W, YJR009C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.142-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.142&CDS=1-987
OG0000077	YGR240C, YMR205C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-13.30-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-13.30&CDS=1-2874, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.1&CDS=1-2976
OG0000078	YGR249W, YOR140W	augustus_masked-NODE_39_length_16585_cov_48.1219_ID_77-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_39_length_16585_cov_48.1219_ID_77-processed-gene-0.4&CDS=1-2598, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.35&CDS=1-1503
OG0000079	YGR254W, YHR174W	augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.6&CDS=1-1335, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.29&CDS=1-1311
OG0000080	YHL003C, YKL008C	augustus_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.5&CDS=1-1212, maker-NODE_30_length_56880_cov_25.094_ID_59-snap-gene-0.56-mRNA-1_1&gene=maker-NODE_30_length_56880_cov_25.094_ID_59-snap-gene-0.56&CDS=1-2472
OG0000081	YHL028W, YOR008C	augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.33&CDS=1-1125, maker-NODE_5_length_592613_cov_24.8497_ID_9-snap-gene-4.63-mRNA-1_1&gene=maker-NODE_5_length_592613_cov_24.8497_ID_9-snap-gene-4.63&CDS=1-1368
OG0000082	YHL047C	augustus_masked-NODE_22_length_115979_cov_25.962_ID_43-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_22_length_115979_cov_25.962_ID_43-processed-gene-0.92&CDS=1-1854, augustus_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.9&CDS=1-1839, maker-NODE_24_length_88897_cov_26.004_ID_47-snap-gene-0.46-mRNA-1_1&gene=maker-NODE_24_length_88897_cov_26.004_ID_47-snap-gene-0.46&CDS=1-3777
OG0000083	YHR023W, YOR326W	augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-2.3&CDS=1-4740, augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-4.28&CDS=1-5580
OG0000084	YHR028C, YOR219C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-5.2&CDS=1-2511, augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-2.102&CDS=1-2667
OG0000085	YHR050W, YOL122C	augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-1.116&CDS=1-1617, augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-5.28&CDS=1-1578
OG0000086	YHR179W, YPL171C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.40&CDS=1-1194, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.25&CDS=1-1191
OG0000087	YHR216W, YLR432W, YML056C	maker-NODE_6_length_562868_cov_24.3835_ID_11-augustus-gene-3.10-mRNA-1_1&gene=maker-NODE_6_length_562868_cov_24.3835_ID_11-augustus-gene-3.10&CDS=1-1563
OG0000088	YIL039W, YPL074W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.98&CDS=1-2313, maker-NODE_8_length_524868_cov_24.3509_ID_15-augustus-gene-4.201-mRNA-1_1&gene=maker-NODE_8_length_524868_cov_24.3509_ID_15-augustus-gene-4.201&CDS=1-5565
OG0000089	YIL126W, YOR290C	augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.26&CDS=1-4032, maker-NODE_2_length_1190564_cov_24.2002_ID_3-snap-gene-10.104-mRNA-1_1&gene=maker-NODE_2_length_1190564_cov_24.2002_ID_3-snap-gene-10.104&CDS=1-4941
OG0000090	YIL130W, YJL206C	augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.29&CDS=1-1815, maker-NODE_20_length_143656_cov_23.9501_ID_39-snap-gene-0.120-mRNA-1_1&gene=maker-NODE_20_length_143656_cov_23.9501_ID_39-snap-gene-0.120&CDS=1-2607
OG0000091	YIL159W, YNL271C	augustus_masked-NODE_19_length_146505_cov_24.2614_ID_37-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-NODE_19_length_146505_cov_24.2614_ID_37-processed-gene-0.168&CDS=1-5712, augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-0.34&CDS=1-4026
OG0000092	YIR013C, YLR013W	augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-2.0&CDS=1-1644, augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.1&CDS=1-1281
OG0000093	YJL130C, YJR109C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-1.137&CDS=1-3339, snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-1.95&CDS=1-6675
OG0000094	YJL158C, YJL160C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-1.112&CDS=1-1185, maker-NODE_4_length_647733_cov_24.3938_ID_7-snap-gene-1.53-mRNA-1_1&gene=maker-NODE_4_length_647733_cov_24.3938_ID_7-snap-gene-1.53&CDS=1-1809
OG0000095	YJL200C, YLR304C	augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.27&CDS=1-2367, augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.21&CDS=1-2331
OG0000096	YJL213W	augustus_masked-NODE_15_length_189142_cov_24.5376_ID_29-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_15_length_189142_cov_24.5376_ID_29-processed-gene-0.75&CDS=1-1320, augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.47&CDS=1-1320, augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.14&CDS=1-1335
OG0000097	YJR045C, YLR369W	augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-2.61&CDS=1-1953, augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.41&CDS=1-1947
