	Metschnikowia_shivogae	Saccharomyces_cerevisiae
OG0000067	genemark-shi_s38-processed-gene-0.40-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.40&CDS=1-1212, genemark-shi_s51-processed-gene-4.142-mRNA-1_1&gene=genemark-shi_s51-processed-gene-4.142&CDS=1-2121, genemark-shi_s53-processed-gene-12.101-mRNA-1_1&gene=genemark-shi_s53-processed-gene-12.101&CDS=1-1947	YHR206W, YOR140W
OG0000068	genemark-shi_s38-processed-gene-1.71-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.71&CDS=1-3597, genemark-shi_s93-processed-gene-0.65-mRNA-1_1&gene=genemark-shi_s93-processed-gene-0.65&CDS=1-3573	YJL042W, YOR227W, YPL137C
OG0000069	genemark-shi_s38-processed-gene-1.95-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.95&CDS=1-3000, genemark-shi_s48-processed-gene-1.53-mRNA-1_1&gene=genemark-shi_s48-processed-gene-1.53&CDS=1-4203	YGL092W, YKL068W, YMR047C
OG0000070	augustus_masked-shi_s38-processed-gene-1.295-mRNA-1_1&gene=augustus_masked-shi_s38-processed-gene-1.295&CDS=1-1776, genemark-shi_s38-processed-gene-1.98-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.98&CDS=1-657	YCL036W, YDR514C, YKL114C
OG0000071	augustus_masked-shi_s53-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-shi_s53-processed-gene-4.107&CDS=1-1191, genemark-shi_s48-processed-gene-1.60-mRNA-1_1&gene=genemark-shi_s48-processed-gene-1.60&CDS=1-1203	YCL011C, YGR156W, YNL004W
OG0000072	genemark-shi_s48-processed-gene-2.85-mRNA-1_1&gene=genemark-shi_s48-processed-gene-2.85&CDS=1-753, genemark-shi_s96-processed-gene-0.78-mRNA-1_1&gene=genemark-shi_s96-processed-gene-0.78&CDS=1-804	YDL127W, YDL179W, YNL289W
OG0000073	genemark-shi_s48-processed-gene-2.87-mRNA-1_1&gene=genemark-shi_s48-processed-gene-2.87&CDS=1-3459	YKL222C, YLR266C, YOR162C, YOR172W
OG0000074	genemark-shi_s48-processed-gene-6.28-mRNA-1_1&gene=genemark-shi_s48-processed-gene-6.28&CDS=1-2385, genemark-shi_s53-processed-gene-3.96-mRNA-1_1&gene=genemark-shi_s53-processed-gene-3.96&CDS=1-1734, genemark-shi_s59-processed-gene-1.68-mRNA-1_1&gene=genemark-shi_s59-processed-gene-1.68&CDS=1-1686, maker-shi_s96-augustus-gene-2.8-mRNA-1_1&gene=maker-shi_s96-augustus-gene-2.8&CDS=1-3174	YHR032W
OG0000075	genemark-shi_s53-processed-gene-1.72-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.72&CDS=1-2937, maker-shi_s48-augustus-gene-6.86-mRNA-1_1&gene=maker-shi_s48-augustus-gene-6.86&CDS=1-5250	YBL060W, YEL022W, YJR031C
OG0000076	genemark-shi_s48-processed-gene-7.14-mRNA-1_1&gene=genemark-shi_s48-processed-gene-7.14&CDS=1-1077, genemark-shi_s59-processed-gene-5.161-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.161&CDS=1-1080, genemark-shi_s96-processed-gene-1.84-mRNA-1_1&gene=genemark-shi_s96-processed-gene-1.84&CDS=1-1098	YCR105W, YMR318C
OG0000077	genemark-shi_s51-processed-gene-6.89-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.89&CDS=1-3546, snap_masked-shi_s59-processed-gene-1.3-mRNA-1_1&gene=snap_masked-shi_s59-processed-gene-1.3&CDS=1-4224	YML072C, YNL087W, YOR086C
OG0000078	genemark-shi_s51-processed-gene-6.95-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.95&CDS=1-2853, genemark-shi_s54-processed-gene-0.22-mRNA-1_1&gene=genemark-shi_s54-processed-gene-0.22&CDS=1-5490, maker-shi_s79-augustus-gene-1.41-mRNA-1_1&gene=maker-shi_s79-augustus-gene-1.41&CDS=1-7527	YGR204W, YNL271C
OG0000079	genemark-shi_s53-processed-gene-4.91-mRNA-1_1&gene=genemark-shi_s53-processed-gene-4.91&CDS=1-1257, genemark-shi_s59-processed-gene-5.113-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.113&CDS=1-1191	YCR094W, YNL323W, YNR048W
OG0000080	genemark-shi_s53-processed-gene-5.32-mRNA-1_1&gene=genemark-shi_s53-processed-gene-5.32&CDS=1-408, genemark-shi_s59-processed-gene-4.99-mRNA-1_1&gene=genemark-shi_s59-processed-gene-4.99&CDS=1-408, genemark-shi_s77-processed-gene-2.145-mRNA-1_1&gene=genemark-shi_s77-processed-gene-2.145&CDS=1-408	YBR010W, YNL031C
OG0000081	genemark-shi_s53-processed-gene-11.11-mRNA-1_1&gene=genemark-shi_s53-processed-gene-11.11&CDS=1-2313, genemark-shi_s77-processed-gene-2.152-mRNA-1_1&gene=genemark-shi_s77-processed-gene-2.152&CDS=1-2295	YDR326C, YFL042C, YHR080C
OG0000082	genemark-shi_s59-processed-gene-0.66-mRNA-1_1&gene=genemark-shi_s59-processed-gene-0.66&CDS=1-1443, genemark-shi_s59-processed-gene-5.93-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.93&CDS=1-1431	YDL159W, YOR231W, YPL140C
OG0000083	genemark-shi_s59-processed-gene-3.131-mRNA-1_1&gene=genemark-shi_s59-processed-gene-3.131&CDS=1-1395, genemark-shi_s70-processed-gene-0.50-mRNA-1_1&gene=genemark-shi_s70-processed-gene-0.50&CDS=1-1272	YBL089W, YER119C, YIL088C
OG0000084	genemark-shi_s59-processed-gene-3.164-mRNA-1_1&gene=genemark-shi_s59-processed-gene-3.164&CDS=1-3438, genemark-shi_s77-processed-gene-1.113-mRNA-1_1&gene=genemark-shi_s77-processed-gene-1.113&CDS=1-3486	YDR216W, YJR127C, YML081W
OG0000085	genemark-shi_s59-processed-gene-5.160-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.160&CDS=1-1656, genemark-shi_s76-processed-gene-1.108-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.108&CDS=1-1515, snap_masked-shi_s79-processed-gene-1.104-mRNA-1_1&gene=snap_masked-shi_s79-processed-gene-1.104&CDS=1-1518	YGR260W, YIL166C
OG0000086	genemark-shi_s77-processed-gene-0.3-mRNA-1_1&gene=genemark-shi_s77-processed-gene-0.3&CDS=1-1503, maker-shi_s76-snap-gene-5.52-mRNA-1_1&gene=maker-shi_s76-snap-gene-5.52&CDS=1-1959	YMR169C, YMR170C, YOR374W
OG0000087	genemark-shi_s77-processed-gene-3.120-mRNA-1_1&gene=genemark-shi_s77-processed-gene-3.120&CDS=1-4392	YBL017C, YIL173W, YJL222W, YNR065C
OG0000088	genemark-shi_s79-processed-gene-2.257-mRNA-1_1&gene=genemark-shi_s79-processed-gene-2.257&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
OG0000089		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000090	augustus_masked-shi_s53-processed-gene-12.170-mRNA-1_1&gene=augustus_masked-shi_s53-processed-gene-12.170&CDS=1-897, genemark-shi_C10430-processed-gene-0.5-mRNA-1_1&gene=genemark-shi_C10430-processed-gene-0.5&CDS=1-819	YHL034C, YLL046C
OG0000091	genemark-shi_C10930-processed-gene-0.51-mRNA-1_1&gene=genemark-shi_C10930-processed-gene-0.51&CDS=1-1524, genemark-shi_s25-processed-gene-3.13-mRNA-1_1&gene=genemark-shi_s25-processed-gene-3.13&CDS=1-1626	YDR436W, YML016C
OG0000092	genemark-shi_C10930-processed-gene-0.58-mRNA-1_1&gene=genemark-shi_C10930-processed-gene-0.58&CDS=1-2016, genemark-shi_s59-processed-gene-4.70-mRNA-1_1&gene=genemark-shi_s59-processed-gene-4.70&CDS=1-2034	YAL054C, YLR153C
OG0000093	genemark-shi_s13-processed-gene-2.45-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.45&CDS=1-912, genemark-shi_s18-processed-gene-6.95-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.95&CDS=1-912	YBR151W, YML050W
OG0000094	genemark-shi_s13-processed-gene-2.60-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.60&CDS=1-1275, genemark-shi_s18-processed-gene-3.72-mRNA-1_1&gene=genemark-shi_s18-processed-gene-3.72&CDS=1-1221	YDL066W, YLR174W
OG0000095	genemark-shi_s13-processed-gene-2.69-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.69&CDS=1-1410, genemark-shi_s53-processed-gene-1.75-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.75&CDS=1-1467	YBR263W, YLR058C
OG0000096	genemark-shi_s13-processed-gene-3.188-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.188&CDS=1-2673	YML111W, YMR275C, YNR069C
OG0000097	genemark-shi_s13-processed-gene-3.233-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.233&CDS=1-1320, genemark-shi_s53-processed-gene-8.29-mRNA-1_1&gene=genemark-shi_s53-processed-gene-8.29&CDS=1-1320	YOL062C, YPL259C
OG0000098	augustus_masked-shi_s76-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-6.141&CDS=1-1467, genemark-shi_s13-processed-gene-3.198-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.198&CDS=1-1335	YOL030W, YOL132W
OG0000099	augustus_masked-shi_s77-processed-gene-3.202-mRNA-1_1&gene=augustus_masked-shi_s77-processed-gene-3.202&CDS=1-1011, genemark-shi_s13-processed-gene-3.204-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.204&CDS=1-1887	YDR505C, YLR177W
OG0000100	maker-shi_s13-augustus-gene-3.280-mRNA-1_1&gene=maker-shi_s13-augustus-gene-3.280&CDS=1-4344, snap_masked-shi_s96-processed-gene-2.163-mRNA-1_1&gene=snap_masked-shi_s96-processed-gene-2.163&CDS=1-3024	YLR389C, YPR122W
OG0000101	genemark-shi_s13-processed-gene-3.248-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.248&CDS=1-1062, genemark-shi_s18-processed-gene-3.57-mRNA-1_1&gene=genemark-shi_s18-processed-gene-3.57&CDS=1-1899	YKL005C, YPL181W
OG0000102	genemark-shi_s16-processed-gene-2.31-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.31&CDS=1-1278, maker-shi_s38-snap-gene-1.300-mRNA-1_1&gene=maker-shi_s38-snap-gene-1.300&CDS=1-705	YHR179W, YPL171C
OG0000103	genemark-shi_s16-processed-gene-2.41-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.41&CDS=1-2094, genemark-shi_s25-processed-gene-4.79-mRNA-1_1&gene=genemark-shi_s25-processed-gene-4.79&CDS=1-2367	YIL095W, YNL020C
OG0000104	genemark-shi_s16-processed-gene-3.59-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.59&CDS=1-2121, genemark-shi_s38-processed-gene-1.87-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.87&CDS=1-2178, genemark-shi_s53-processed-gene-7.56-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.56&CDS=1-1872, genemark-shi_s79-processed-gene-0.58-mRNA-1_1&gene=genemark-shi_s79-processed-gene-0.58&CDS=1-2109	
OG0000105	augustus_masked-shi_s16-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-shi_s16-processed-gene-4.141&CDS=1-1716, snap_masked-shi_s59-processed-gene-0.17-mRNA-1_1&gene=snap_masked-shi_s59-processed-gene-0.17&CDS=1-1527	YBR241C, YGL104C
OG0000106	augustus_masked-shi_s16-processed-gene-4.171-mRNA-1_1&gene=augustus_masked-shi_s16-processed-gene-4.171&CDS=1-1137, genemark-shi_s25-processed-gene-4.95-mRNA-1_1&gene=genemark-shi_s25-processed-gene-4.95&CDS=1-1917, genemark-shi_s48-processed-gene-8.12-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.12&CDS=1-1503	YKR034W
OG0000107	genemark-shi_s53-processed-gene-1.79-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.79&CDS=1-1668, snap_masked-shi_s16-processed-gene-4.92-mRNA-1_1&gene=snap_masked-shi_s16-processed-gene-4.92&CDS=1-1866	YDL113C, YDR425W
OG0000108	genemark-shi_s3-processed-gene-0.72-mRNA-1_1&gene=genemark-shi_s3-processed-gene-0.72&CDS=1-2583, snap_masked-shi_s16-processed-gene-4.96-mRNA-1_1&gene=snap_masked-shi_s16-processed-gene-4.96&CDS=1-1821	YER075C, YOR208W
OG0000109	genemark-shi_s16-processed-gene-4.35-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.35&CDS=1-1314, genemark-shi_s51-processed-gene-2.103-mRNA-1_1&gene=genemark-shi_s51-processed-gene-2.103&CDS=1-1605	YDL091C, YML013W
OG0000110	genemark-shi_s18-processed-gene-0.18-mRNA-1_1&gene=genemark-shi_s18-processed-gene-0.18&CDS=1-771, genemark-shi_s18-processed-gene-6.67-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.67&CDS=1-765	YCR010C, YNR002C
OG0000111	genemark-shi_s79-processed-gene-0.73-mRNA-1_1&gene=genemark-shi_s79-processed-gene-0.73&CDS=1-2430, maker-shi_s18-augustus-gene-1.43-mRNA-1_1&gene=maker-shi_s18-augustus-gene-1.43&CDS=1-2679	YKL188C, YPL147W
OG0000112	genemark-shi_s59-processed-gene-1.86-mRNA-1_1&gene=genemark-shi_s59-processed-gene-1.86&CDS=1-2337, snap_masked-shi_s18-processed-gene-1.66-mRNA-1_1&gene=snap_masked-shi_s18-processed-gene-1.66&CDS=1-2403	YJL200C, YLR304C
OG0000113	genemark-shi_s51-processed-gene-0.134-mRNA-1_1&gene=genemark-shi_s51-processed-gene-0.134&CDS=1-996, maker-shi_s18-augustus-gene-1.46-mRNA-1_1&gene=maker-shi_s18-augustus-gene-1.46&CDS=1-2484	YOR155C, YOR246C
OG0000114	maker-shi_s18-snap-gene-1.143-mRNA-1_1&gene=maker-shi_s18-snap-gene-1.143&CDS=1-783, maker-shi_s35-snap-gene-4.138-mRNA-1_1&gene=maker-shi_s35-snap-gene-4.138&CDS=1-2574	YHR203C, YJR145C
OG0000115	genemark-shi_s18-processed-gene-2.85-mRNA-1_1&gene=genemark-shi_s18-processed-gene-2.85&CDS=1-486, snap_masked-shi_s51-processed-gene-4.93-mRNA-1_1&gene=snap_masked-shi_s51-processed-gene-4.93&CDS=1-618	YDR155C, YDR304C
OG0000116	genemark-shi_s18-processed-gene-3.61-mRNA-1_1&gene=genemark-shi_s18-processed-gene-3.61&CDS=1-1080, genemark-shi_s18-processed-gene-5.87-mRNA-1_1&gene=genemark-shi_s18-processed-gene-5.87&CDS=1-1182	YGL038C, YJR075W
OG0000117	genemark-shi_s18-processed-gene-4.64-mRNA-1_1&gene=genemark-shi_s18-processed-gene-4.64&CDS=1-864, maker-shi_s77-augustus-gene-0.132-mRNA-1_1&gene=maker-shi_s77-augustus-gene-0.132&CDS=1-2271	YNL202W, YOR197W
OG0000118	genemark-shi_s18-processed-gene-4.65-mRNA-1_1&gene=genemark-shi_s18-processed-gene-4.65&CDS=1-966, snap_masked-shi_s77-processed-gene-1.94-mRNA-1_1&gene=snap_masked-shi_s77-processed-gene-1.94&CDS=1-2838	YDL226C, YDR524C
OG0000119	augustus_masked-shi_s18-processed-gene-4.145-mRNA-1_1&gene=augustus_masked-shi_s18-processed-gene-4.145&CDS=1-1500, genemark-shi_s79-processed-gene-0.54-mRNA-1_1&gene=genemark-shi_s79-processed-gene-0.54&CDS=1-1530	YHR030C, YPR054W
OG0000120	genemark-shi_s18-processed-gene-4.97-mRNA-1_1&gene=genemark-shi_s18-processed-gene-4.97&CDS=1-1392, genemark-shi_s3-processed-gene-2.107-mRNA-1_1&gene=genemark-shi_s3-processed-gene-2.107&CDS=1-1824	YKL221W, YNL125C
OG0000121	genemark-shi_s18-processed-gene-4.84-mRNA-1_1&gene=genemark-shi_s18-processed-gene-4.84&CDS=1-2346, genemark-shi_s25-processed-gene-1.81-mRNA-1_1&gene=genemark-shi_s25-processed-gene-1.81&CDS=1-2067	YKR001C, YLL001W
OG0000122	augustus_masked-shi_s35-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-shi_s35-processed-gene-1.37&CDS=1-2019, genemark-shi_s18-processed-gene-5.73-mRNA-1_1&gene=genemark-shi_s18-processed-gene-5.73&CDS=1-2022	YDR172W, YKR084C
OG0000123	augustus_masked-shi_s8-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-shi_s8-processed-gene-0.163&CDS=1-2712, genemark-shi_s18-processed-gene-6.66-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.66&CDS=1-1212	YKL132C, YMR113W
OG0000124	augustus_masked-shi_s18-processed-gene-6.151-mRNA-1_1&gene=augustus_masked-shi_s18-processed-gene-6.151&CDS=1-1281	YBR089C-A, YDL002C, YPR052C
OG0000125	genemark-shi_s18-processed-gene-6.115-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.115&CDS=1-2661, genemark-shi_s76-processed-gene-2.8-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.8&CDS=1-2538	YDR258C, YLL026W
OG0000126	genemark-shi_s19-processed-gene-0.137-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.137&CDS=1-999, genemark-shi_s29-processed-gene-0.327-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.327&CDS=1-1032	YDR541C, YOL151W
OG0000127	genemark-shi_s19-processed-gene-0.156-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.156&CDS=1-2493, genemark-shi_s25-processed-gene-4.73-mRNA-1_1&gene=genemark-shi_s25-processed-gene-4.73&CDS=1-2604	YBR073W, YGL163C
OG0000128	genemark-shi_s19-processed-gene-0.114-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.114&CDS=1-4647, genemark-shi_s93-processed-gene-0.57-mRNA-1_1&gene=genemark-shi_s93-processed-gene-0.57&CDS=1-6933	YHR023W, YOR326W
OG0000129	genemark-shi_s19-processed-gene-0.116-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.116&CDS=1-2664, genemark-shi_s97-processed-gene-0.21-mRNA-1_1&gene=genemark-shi_s97-processed-gene-0.21&CDS=1-2565	YMR266W, YOL084W
OG0000130	genemark-shi_s25-processed-gene-0.125-mRNA-1_1&gene=genemark-shi_s25-processed-gene-0.125&CDS=1-8133, snap_masked-shi_s79-processed-gene-2.120-mRNA-1_1&gene=snap_masked-shi_s79-processed-gene-2.120&CDS=1-7515	YLR454W, YPR117W
OG0000131	maker-shi_s25-augustus-gene-2.4-mRNA-1_1&gene=maker-shi_s25-augustus-gene-2.4&CDS=1-3222, snap_masked-shi_s48-processed-gene-3.71-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-3.71&CDS=1-2559	YDR471W, YHR010W
OG0000132	genemark-shi_s25-processed-gene-2.15-mRNA-1_1&gene=genemark-shi_s25-processed-gene-2.15&CDS=1-3078, genemark-shi_s97-processed-gene-0.26-mRNA-1_1&gene=genemark-shi_s97-processed-gene-0.26&CDS=1-1329	YOL087C, YOR272W
OG0000133	genemark-shi_s25-processed-gene-2.17-mRNA-1_1&gene=genemark-shi_s25-processed-gene-2.17&CDS=1-993, genemark-shi_s48-processed-gene-3.124-mRNA-1_1&gene=genemark-shi_s48-processed-gene-3.124&CDS=1-981	YCR034W, YLR372W
OG0000134	genemark-shi_s25-processed-gene-2.28-mRNA-1_1&gene=genemark-shi_s25-processed-gene-2.28&CDS=1-915, genemark-shi_s59-processed-gene-1.85-mRNA-1_1&gene=genemark-shi_s59-processed-gene-1.85&CDS=1-882	YLR146C, YPR069C
OG0000135	genemark-shi_s25-processed-gene-3.0-mRNA-1_1&gene=genemark-shi_s25-processed-gene-3.0&CDS=1-2499, genemark-shi_s59-processed-gene-2.12-mRNA-1_1&gene=genemark-shi_s59-processed-gene-2.12&CDS=1-2577	YBR033W, YKL038W
OG0000136	genemark-shi_s25-processed-gene-3.42-mRNA-1_1&gene=genemark-shi_s25-processed-gene-3.42&CDS=1-1587, genemark-shi_s53-processed-gene-5.16-mRNA-1_1&gene=genemark-shi_s53-processed-gene-5.16&CDS=1-1680	YBR212W, YHR086W
OG0000137	genemark-shi_s77-processed-gene-0.33-mRNA-1_1&gene=genemark-shi_s77-processed-gene-0.33&CDS=1-3738, maker-shi_s25-augustus-gene-3.151-mRNA-1_1&gene=maker-shi_s25-augustus-gene-3.151&CDS=1-4890	YDR334W, YGL150C
OG0000138	genemark-shi_s25-processed-gene-4.114-mRNA-1_1&gene=genemark-shi_s25-processed-gene-4.114&CDS=1-837, genemark-shi_s91-processed-gene-1.5-mRNA-1_1&gene=genemark-shi_s91-processed-gene-1.5&CDS=1-768	YIR013C, YLR013W
OG0000139	genemark-shi_s29-processed-gene-0.241-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.241&CDS=1-2076, genemark-shi_s53-processed-gene-10.49-mRNA-1_1&gene=genemark-shi_s53-processed-gene-10.49&CDS=1-2166, genemark-shi_s59-processed-gene-1.75-mRNA-1_1&gene=genemark-shi_s59-processed-gene-1.75&CDS=1-2217	YER015W
OG0000140	genemark-shi_s29-processed-gene-0.245-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.245&CDS=1-594, genemark-shi_s35-processed-gene-4.29-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.29&CDS=1-657, maker-shi_s79-snap-gene-2.92-mRNA-1_1&gene=maker-shi_s79-snap-gene-2.92&CDS=1-2448	YPR165W
OG0000141	genemark-shi_s29-processed-gene-0.328-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.328&CDS=1-570, genemark-shi_s51-processed-gene-6.104-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.104&CDS=1-636	YIR001C, YIR005W
OG0000142	genemark-shi_s29-processed-gene-0.330-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.330&CDS=1-1581, genemark-shi_s96-processed-gene-0.49-mRNA-1_1&gene=genemark-shi_s96-processed-gene-0.49&CDS=1-2133	YDL138W, YDL194W
OG0000143	genemark-shi_s3-processed-gene-0.51-mRNA-1_1&gene=genemark-shi_s3-processed-gene-0.51&CDS=1-1161, genemark-shi_s51-processed-gene-3.67-mRNA-1_1&gene=genemark-shi_s51-processed-gene-3.67&CDS=1-1866	YOR334W, YPL060W
OG0000144	genemark-shi_s3-processed-gene-1.73-mRNA-1_1&gene=genemark-shi_s3-processed-gene-1.73&CDS=1-516, genemark-shi_s48-processed-gene-4.76-mRNA-1_1&gene=genemark-shi_s48-processed-gene-4.76&CDS=1-378	YGL089C, YPL187W
OG0000145	genemark-shi_s3-processed-gene-2.67-mRNA-1_1&gene=genemark-shi_s3-processed-gene-2.67&CDS=1-2448, genemark-shi_s76-processed-gene-4.50-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.50&CDS=1-2235	YAR035W, YER024W
OG0000146	genemark-shi_s3-processed-gene-2.76-mRNA-1_1&gene=genemark-shi_s3-processed-gene-2.76&CDS=1-1290, genemark-shi_s91-processed-gene-1.40-mRNA-1_1&gene=genemark-shi_s91-processed-gene-1.40&CDS=1-2289	YER047C, YPR173C
OG0000147	augustus_masked-shi_s51-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-shi_s51-processed-gene-2.20&CDS=1-2598, genemark-shi_s3-processed-gene-2.81-mRNA-1_1&gene=genemark-shi_s3-processed-gene-2.81&CDS=1-714	YNL148C, YPL174C
OG0000148	augustus_masked-shi_s80-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-shi_s80-processed-gene-0.83&CDS=1-1683, genemark-shi_s35-processed-gene-0.70-mRNA-1_1&gene=genemark-shi_s35-processed-gene-0.70&CDS=1-1305, genemark-shi_s53-processed-gene-9.66-mRNA-1_1&gene=genemark-shi_s53-processed-gene-9.66&CDS=1-1533	YLR380W
OG0000149	genemark-shi_s35-processed-gene-0.83-mRNA-1_1&gene=genemark-shi_s35-processed-gene-0.83&CDS=1-2103, genemark-shi_s53-processed-gene-12.70-mRNA-1_1&gene=genemark-shi_s53-processed-gene-12.70&CDS=1-1719	YDR194C, YMR290C
OG0000150	genemark-shi_s35-processed-gene-1.109-mRNA-1_1&gene=genemark-shi_s35-processed-gene-1.109&CDS=1-1797, genemark-shi_s35-processed-gene-2.159-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.159&CDS=1-2160	YGR068C, YOR018W
OG0000151	genemark-shi_s35-processed-gene-1.130-mRNA-1_1&gene=genemark-shi_s35-processed-gene-1.130&CDS=1-2091, genemark-shi_s76-processed-gene-5.124-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.124&CDS=1-1176	YCL039W, YKL021C
OG0000152	genemark-shi_s59-processed-gene-1.78-mRNA-1_1&gene=genemark-shi_s59-processed-gene-1.78&CDS=1-351, maker-shi_s35-augustus-gene-1.3-mRNA-1_1&gene=maker-shi_s35-augustus-gene-1.3&CDS=1-1551, maker-shi_s59-augustus-gene-1.133-mRNA-1_1&gene=maker-shi_s59-augustus-gene-1.133&CDS=1-2142	YEL072W
OG0000153	genemark-shi_s35-processed-gene-2.148-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.148&CDS=1-5208, snap_masked-shi_s35-processed-gene-2.65-mRNA-1_1&gene=snap_masked-shi_s35-processed-gene-2.65&CDS=1-5658	YGR184C, YLR024C
OG0000154	genemark-shi_s35-processed-gene-2.150-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.150&CDS=1-1266, genemark-shi_s35-processed-gene-3.50-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.50&CDS=1-1527	YDR134C, YLR110C
OG0000155	genemark-shi_s35-processed-gene-2.126-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.126&CDS=1-1716, maker-shi_s48-augustus-gene-0.2-mRNA-1_1&gene=maker-shi_s48-augustus-gene-0.2&CDS=1-2697	YOR059C, YOR201C
OG0000156	genemark-shi_s35-processed-gene-2.129-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.129&CDS=1-1749, maker-shi_s53-snap-gene-3.41-mRNA-1_1&gene=maker-shi_s53-snap-gene-3.41&CDS=1-3333	YJL172W, YOL153C
OG0000157	genemark-shi_s35-processed-gene-2.140-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.140&CDS=1-3249	YDR038C, YDR039C, YDR040C
OG0000158	genemark-shi_s35-processed-gene-3.13-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.13&CDS=1-2271, genemark-shi_s53-processed-gene-2.16-mRNA-1_1&gene=genemark-shi_s53-processed-gene-2.16&CDS=1-1524	YBL052C, YOR244W
OG0000159	genemark-shi_s35-processed-gene-3.23-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.23&CDS=1-1479, genemark-shi_s91-processed-gene-1.68-mRNA-1_1&gene=genemark-shi_s91-processed-gene-1.68&CDS=1-1530	YER048C, YIR004W
OG0000160	genemark-shi_s35-processed-gene-4.35-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.35&CDS=1-3549, maker-shi_s77-augustus-gene-3.184-mRNA-1_1&gene=maker-shi_s77-augustus-gene-3.184&CDS=1-3006	YBR114W, YOR191W
OG0000161	genemark-shi_s35-processed-gene-4.16-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.16&CDS=1-909, genemark-shi_s48-processed-gene-6.34-mRNA-1_1&gene=genemark-shi_s48-processed-gene-6.34&CDS=1-816	YDL114W, YLR426W
